Orthogroup	Arabidopsis_thaliana	Arabidopsis_lyrata
OG0000609	AT4G19600	fgenesh2_kg.7__2339__AT4G19600.1
OG0000609	AT5G45190	fgenesh2_kg.8__277__AT5G45190.1
OG0000609	AT4G19560	fgenesh2_kg.7__2342__AT4G19560.1
OG0000610	AT5G07390	fgenesh1_pm.C_scaffold_6000574
OG0000610	AT4G25090	fgenesh2_kg.7__1760__AT4G25090.1
OG0000610	AT5G51060	fgenesh2_kg.8__988__AT5G51060.1
OG0000611	AT1G47230	fgenesh2_kg.1__3826__AT1G47230.2
OG0000611	AT2G01310, AT1G47210	fgenesh2_kg.1__3823__AT1G47210.2
OG0000611	AT5G43080	scaffold_800777.1
OG0000612	AT1G75040	scaffold_202445.1
OG0000612	AT1G75030	fgenesh2_kg.2__1771__AT1G75030.1
OG0000612	AT1G75050	fgenesh1_pm.C_scaffold_2001469
OG0000613	AT5G25950	fgenesh1_pg.C_scaffold_6002201
OG0000613	AT5G25960	fgenesh1_pg.C_scaffold_6002202
OG0000614	AT3G23220	fgenesh2_kg.3__2537__AT3G23220.1
OG0000614	AT1G04370	scaffold_100393.1
OG0000614	AT5G43410	Al_scaffold_0008_648, scaffold_800707.1
OG0000615	AT5G37680	scaffold_703652.1
OG0000615	AT3G49870	fgenesh2_kg.5__1339__AT3G49870.1
OG0000615	AT5G67560	fgenesh2_kg.8__2656__AT5G67560.1
OG0000616	AT1G02130	scaffold_100013.1
OG0000616	AT5G47200	fgenesh2_kg.8__74__AT5G47200.1
OG0000616	AT4G17530	scaffold_702702.1
OG0000617	AT1G41830	fgenesh2_kg.2__673__AT1G41830.1
OG0000617	AT1G21860, AT1G21850	fgenesh1_pm.C_scaffold_1001857
OG0000617	AT1G76160	scaffold_202568.1
OG0000618	AT1G65640	Al_scaffold_0002_1078
OG0000618	AT1G65630	fgenesh1_pm.C_scaffold_2000634, Al_scaffold_0002_1077, scaffold_201225.1
OG0000618	AT5G40560	fgenesh2_kg.7__3362__AT5G40560.1
OG0000618	AT5G36950	fgenesh2_kg.7__3120__AT5G36950.1
OG0000619	AT2G01970	scaffold_500119.1
OG0000619	AT5G37310	scaffold_703583.1
OG0000619	AT1G14670	Al_scaffold_0001_1517
OG0000620	AT5G04230	fgenesh2_kg.6__337__AT5G04230.1
OG0000620	AT3G10340	scaffold_301180.1
OG0000620	AT3G53260	scaffold_502417.1
OG0000620	AT2G37040	fgenesh2_kg.4__1750__AT2G37040.1
OG0000621	AT1G77940	fgenesh2_kg.2__2088__AT1G77940.1
OG0000621	AT1G36240	fgenesh2_kg.3__2081__AT3G18740.1, scaffold_104052.1
OG0000622	AT3G04230	fgenesh2_kg.3__384__AT3G04230.1
OG0000622	AT5G18380, AT2G09990	fgenesh2_kg.6__1842__AT2G09990.1
OG0000623	AT5G07571, AT5G07560	fgenesh2_kg.6__727__AT5G07560.1
OG0000623	AT5G07550	fgenesh2_kg.6__726__AT5G07550.1
OG0000625	AT2G32610	fgenesh1_pm.C_scaffold_4001055
OG0000625	AT4G15320, AT4G15290	fgenesh1_pm.C_scaffold_7002206
OG0000625	AT2G32540	fgenesh2_kg.4__1240__AT2G32540.1
OG0000625	AT2G32530	scaffold_401809.1
OG0000626	AT3G60960	scaffold_503373.1, scaffold_503481.1, scaffold_503472.1, Al_scaffold_0005_1798, scaffold_7300001.1
OG0000627	AT1G78580	fgenesh2_kg.2__2152__AT1G78580.1
OG0000627	AT1G16980	fgenesh1_pm.C_scaffold_1001448
OG0000627	AT4G27550	Al_scaffold_0007_1381
OG0000628	AT4G19580	fgenesh2_kg.7__2341__AT4G19580.1
OG0000629	AT4G15400	fgenesh2_kg.7__2785__AT4G15400.1
OG0000630	AT5G23010	scaffold_602363.1
OG0000630	AT5G23020	scaffold_602364.1
OG0000631	AT5G24510	fgenesh2_kg.6__2447__AT5G24510.1
OG0000631	AT4G00810	fgenesh2_kg.6__3618__AT4G00810.1
OG0000631	AT5G47700	fgenesh1_pm.C_scaffold_8000008
OG0000632	AT3G04960	fgenesh2_kg.3__474__AT3G04960.3
OG0000632	AT3G05110	fgenesh1_pg.C_scaffold_3000440
OG0000632	AT4G27980	fgenesh2_kg.7__1418__AT4G27980.1
OG0000633	AT3G02520	fgenesh2_kg.3__187__AT3G02520.1
OG0000633	AT5G16050	Al_scaffold_0006_1511
OG0000633	AT5G38480	fgenesh2_kg.7__3560__AT5G38480.1
OG0000634	AT5G37070	fgenesh2_kg.1__4750__AT5G37070.1
OG0000634	AT5G01610	fgenesh2_kg.6__47__AT5G01610.1
OG0000634	AT3G08890	scaffold_300996.1
OG0000635	AT5G41520	fgenesh2_kg.7__3266__AT5G41520.1
OG0000635	AT5G52650	fgenesh2_kg.8__1151__AT5G52650.1
OG0000635	AT4G25740	fgenesh2_kg.7__1680__AT4G25740.2
OG0000637	AT3G53870	fgenesh2_kg.5__1772__AT3G53870.1
OG0000637	AT2G31610	fgenesh2_kg.4__1148__AT2G31610.1
OG0000637	AT5G35530	fgenesh2_kg.7__3048__AT5G35530.1
OG0000638	AT2G34825	scaffold_402071.1
OG0000638	AT2G32885	scaffold_401855.1
OG0000638	AT1G61563	scaffold_200434.1
OG0000638	AT2G22055	fgenesh2_kg.8__797__AT1G61566.1
OG0000639	AT4G34510	fgenesh2_kg.7__640__AT4G34510.1
OG0000639	AT2G16280	scaffold_304257.1
OG0000639	AT1G19440	fgenesh2_kg.1__2127__AT1G19440.1
OG0000640	AT1G62180	fgenesh2_kg.2__256__AT1G62180.1
OG0000640	AT4G04610	scaffold_603774.1
OG0000640	AT4G21990	scaffold_702177.1
OG0000641	AT1G66690, AT1G66700	fgenesh2_kg.2__896__AT1G66700.1
OG0000641	AT1G66720	scaffold_201422.1, fgenesh1_pg.C_scaffold_2001001
OG0000642	AT2G47140	Al_scaffold_0004_3418
OG0000642	AT2G47150	fgenesh2_kg.4__2950__AT2G47150.1
OG0000642	AT2G47130	fgenesh2_kg.4__2948__AT2G47130.1
OG0000643	AT2G29490	fgenesh2_kg.4__924__AT2G29490.1
OG0000643	AT2G29470	fgenesh2_kg.4__923__AT2G29470.1
OG0000643	AT2G29460	scaffold_401408.1
OG0000643	AT2G29480	scaffold_401410.1
OG0000644	AT5G27100	fgenesh2_kg.7__1004__AT5G27100.1
OG0000644	AT2G24710	fgenesh1_pg.C_scaffold_4000393
OG0000644	AT2G24720	fgenesh1_pm.C_scaffold_4000336
OG0000645	AT5G13740	fgenesh2_kg.6__1329__AT5G13740.1
OG0000645	AT5G13750	fgenesh2_kg.6__1330__AT5G13750.1
OG0000646	AT3G53890	fgenesh1_pm.C_scaffold_5001471
OG0000647	AT5G44390	fgenesh1_pm.C_scaffold_8000301
OG0000647	AT5G44380	scaffold_800568.1
OG0000647	AT5G44400	fgenesh2_kg.8__362__AT5G44400.1
OG0000648	AT3G28380	scaffold_500802.1
OG0000648	AT3G28390	scaffold_500803.1
OG0000648	AT3G28345	fgenesh2_kg.5__602__AT3G28345.1
OG0000649	AT5G56870	Al_scaffold_0008_2132
OG0000649	AT3G52840	fgenesh2_kg.5__1647__AT3G52840.1
OG0000649	AT4G26140	fgenesh2_kg.7__1631__AT4G26140.1
OG0000650	AT4G13510	fgenesh2_kg.7__2989__AT4G13510.1, fgenesh1_pg.C_scaffold_9000001, fgenesh2_kg.5__185__AT4G13510.1, fgenesh2_kg.7__2997__AT4G13510.1
OG0000650	AT3G24300	fgenesh2_kg.3__2643__AT3G24300.1
OG0000650	AT3G24290	scaffold_302975.1
OG0000651	AT1G74270	fgenesh2_kg.2__1694__AT1G74270.1
OG0000651	AT3G55750, AT1G41880	fgenesh2_kg.5__2003__AT3G55750.1
OG0000651	AT1G07070	fgenesh2_kg.1__683__AT1G07070.1
OG0000652	AT2G39330	fgenesh2_kg.4__2013__AT2G39330.1, scaffold_501608.1
OG0000652	AT2G39310	fgenesh2_kg.5__1060__AT2G39310.1, fgenesh2_kg.4__2010__AT2G39310.1
OG0000653	AT4G00100	fgenesh2_kg.6__3693__AT4G00100.1
OG0000653	AT3G60770	scaffold_503311.1
OG0000654	AT3G60245	scaffold_503250.1
OG0000655	AT3G15880	fgenesh2_kg.3__1744__AT3G15880.2
OG0000655	AT1G80490	scaffold_203017.1
OG0000655	AT1G15750	fgenesh2_kg.1__1727__AT1G15750.2
OG0000656	AT3G53230	fgenesh2_kg.5__1690__AT3G53230.1
OG0000656	AT5G03340	scaffold_600258.1
OG0000656	AT3G09840	fgenesh2_kg.3__1010__AT3G09840.1
OG0000657	AT2G37600	fgenesh1_pg.C_scaffold_4001837, fgenesh1_pm.C_scaffold_4001521
OG0000657	AT3G53740	fgenesh2_kg.5__1758__AT3G53740.2
OG0000657	AT5G02450	fgenesh1_pg.C_scaffold_6000135
OG0000658	AT4G18710	scaffold_702548.1
OG0000658	AT1G06390	fgenesh2_kg.1__610__AT1G06390.1
OG0000658	AT2G30980	scaffold_401613.1
OG0000659	AT3G21410	fgenesh1_pg.C_scaffold_3002053
OG0000660	AT1G05240, AT1G05250	Al_scaffold_0001_457, fgenesh2_kg.1__476__AT1G05240.1
OG0000661	AT5G31412	Al_scaffold_0001_3436
OG0000662	AT5G23212	Al_scaffold_0006_2196, scaffold_602387.1, scaffold_604266.1
OG0000662	AT5G51845	fgenesh1_pm.C_scaffold_8000904
OG0000662	AT5G60553	scaffold_800916.1, scaffold_802691.1
OG0000663	AT4G29283, AT4G29280	fgenesh2_kg.7__1261__AT4G29280.1
OG0000663	AT4G09153, AT2G22121	fgenesh1_pm.C_scaffold_4000109
OG0000663	AT4G29273	fgenesh1_pm.C_scaffold_4000467
OG0000663	AT4G29290	fgenesh1_pm.C_scaffold_7001006
OG0000663	AT4G29305, AT4G29300	fgenesh2_kg.7__1258__AT4G29300.1
OG0000665	AT4G39260	fgenesh2_kg.7__133__AT4G39260.1
OG0000665	AT2G21660	fgenesh2_kg.4__94__AT2G21660.2
OG0000666	AT2G43900	fgenesh1_pm.C_scaffold_4002114
OG0000666	AT2G31830	fgenesh2_kg.4__1166__AT2G31830.1
OG0000666	AT1G05630	fgenesh2_kg.1__520__AT1G05630.1
OG0000667	AT4G15710	Al_scaffold_0007_2697, scaffold_702964.1
OG0000667	AT4G15715	fgenesh2_kg.7__2749__AT4G15715.1
OG0000668	AT5G14640	fgenesh2_kg.6__1439__AT5G14640.1
OG0000668	AT3G05840	fgenesh2_kg.3__579__AT3G05840.1
OG0000668	AT5G26751	fgenesh2_kg.6__2637__AT5G26751.1
OG0000669	AT5G22610	fgenesh2_kg.6__2253__AT5G22610.1
OG0000669	AT5G22600	scaffold_602310.1
OG0000669	AT5G44490	Al_scaffold_0008_516
OG0000669	AT5G22720	scaffold_602318.1
OG0000669	AT5G22730	scaffold_800002.1
OG0000670	AT4G09800	fgenesh2_kg.1__2476__AT1G22780.1
OG0000670	AT1G34030	fgenesh2_kg.1__2476__AT1G22780.1
OG0000670	AT1G22780	fgenesh2_kg.1__2476__AT1G22780.1
OG0000670	AT4G09800	fgenesh2_kg.1__3511__AT1G34030.1
OG0000670	AT1G34030	fgenesh2_kg.1__3511__AT1G34030.1
OG0000670	AT1G22780	fgenesh2_kg.1__3511__AT1G34030.1
OG0000670	AT4G09800	fgenesh2_kg.6__2966__AT4G09800.1
OG0000670	AT1G34030	fgenesh2_kg.6__2966__AT4G09800.1
OG0000670	AT1G22780	fgenesh2_kg.6__2966__AT4G09800.1
OG0000671	AT3G55380	scaffold_502660.1
OG0000671	AT5G59300	scaffold_802559.1
OG0000671	AT3G46460	fgenesh2_kg.5__1011__AT3G46460.1
OG0000672	AT3G21900	fgenesh2_kg.3__2411__AT3G21900.1
OG0000672	AT3G21910	fgenesh2_kg.3__2412__AT3G21910.1
OG0000672	AT3G21930, AT3G21920	fgenesh2_kg.3__2413__AT3G21920.1, scaffold_302623.1
OG0000673	AT5G03690	Al_scaffold_0006_279
OG0000673	AT3G52930	scaffold_502377.1
OG0000673	AT2G36460	fgenesh2_kg.4__1685__AT2G36460.1
OG0000674	AT5G27850	fgenesh2_kg.6__2680__AT5G27850.1
OG0000674	AT3G05590	fgenesh2_kg.3__551__AT3G05590.1
OG0000675	AT5G26955	fgenesh2_kg.6__2666__AT5G27945.1
OG0000675	AT5G26900, AT5G27080, AT5G27570, AT5G27945	fgenesh2_kg.6__2753__AT5G27570.1
OG0000675	AT4G33260, AT4G33270	fgenesh2_kg.7__793__AT4G33270.1
OG0000676	AT5G63820	scaffold_44600001.1, scaffold_803079.1, fgenesh1_pm.C_scaffold_8001942
OG0000677	AT3G28900	fgenesh2_kg.5__651__AT3G28900.1
OG0000677	AT1G69620	scaffold_201821.1
OG0000677	AT1G26880	fgenesh2_kg.1__2670__AT1G26880.1
OG0000679	AT2G31430	fgenesh1_pg.C_scaffold_4001254
OG0000679	AT2G31425	Al_scaffold_0004_1601
OG0000679	AT2G31432	fgenesh1_pm.C_scaffold_1001130
OG0000679	AT3G55680	fgenesh1_pm.C_scaffold_5001634
OG0000680	AT4G15540	fgenesh2_kg.7__2762__AT4G15540.1
OG0000680	AT5G40230	fgenesh1_pm.C_scaffold_7002710
OG0000680	AT5G40240	fgenesh2_kg.7__3400__AT5G40240.1
OG0000681	AT1G79990	scaffold_203073.1
OG0000681	AT3G15980	fgenesh2_kg.3__1753__AT3G15980.3
OG0000681	AT1G52360	fgenesh2_kg.1__4311__AT1G52360.1
OG0000682	AT4G35650	fgenesh2_kg.7__515__AT4G35650.1
OG0000682	AT4G35260	scaffold_700595.1
OG0000682	AT2G17130	fgenesh2_kg.3__3295__AT2G17130.1
OG0000683	AT5G60770	Al_scaffold_0008_2573
OG0000683	AT1G08090	fgenesh1_pg.C_scaffold_1000663
OG0000683	AT1G08100	fgenesh2_kg.1__820__AT1G08100.1
OG0000684	AT2G42480	fgenesh1_pm.C_scaffold_4001985
OG0000686	AT2G46860	fgenesh2_kg.4__2913__AT2G46860.1
OG0000686	AT4G01480	fgenesh2_kg.6__3560__AT4G01480.1
OG0000686	AT1G01050	Al_scaffold_0001_128
OG0000687	AT1G66235	scaffold_801472.1, fgenesh2_kg.2__857__AT1G66235.1, scaffold_801473.1
OG0000688	AT3G30280	scaffold_500990.1
OG0000688	AT5G47950	fgenesh2_kg.8__657__AT5G47950.1
OG0000689	AT1G30200	fgenesh2_kg.1__3192__AT1G30200.2
OG0000689	AT4G18380	scaffold_702591.1
OG0000689	AT5G46170	fgenesh2_kg.8__173__AT5G46170.1
OG0000690	AT5G58590	fgenesh2_kg.8__1798__AT5G58590.1
OG0000690	AT2G30060	scaffold_401482.1
OG0000691	AT1G10340	fgenesh2_kg.1__1099__AT1G10340.2
OG0000691	AT1G34050	fgenesh1_pg.C_scaffold_1003036
OG0000692	AT5G17540	fgenesh2_kg.6__1756__AT5G17540.1
OG0000692	AT3G03480	fgenesh1_pm.C_scaffold_3000246
OG0000693	AT1G28330	fgenesh2_kg.1__3000__AT1G28330.1
OG0000693	AT2G33830	fgenesh2_kg.4__1397__AT2G33830.2
OG0000693	AT5G44300	fgenesh1_pm.C_scaffold_8000313
OG0000694	AT3G22840	scaffold_302736.1
OG0000694	AT4G14690	fgenesh1_pm.C_scaffold_7002270
OG0000697	AT3G15356	fgenesh2_kg.3__1669__AT3G15356.1
OG0000697	AT3G16530	fgenesh2_kg.3__1817__AT3G16530.1
OG0000697	AT1G53080	fgenesh2_kg.1__4381__AT1G53080.1
OG0000698	AT1G63010	fgenesh2_kg.2__178__AT1G63010.1
OG0000698	AT4G11810	fgenesh2_kg.6__3131__AT4G11810.1
OG0000698	AT4G22990	scaffold_702048.1
OG0000699	AT1G17370	scaffold_101937.1
OG0000699	AT1G54080	fgenesh2_kg.1__4492__AT1G54080.1
OG0000699	AT3G14100	fgenesh2_kg.3__1524__AT3G14100.1
OG0000700	AT2G33720	fgenesh1_pm.C_scaffold_4001155
OG0000700	AT1G78635	scaffold_202840.1
OG0000701	AT1G63230, AT1G63630, AT1G64100	scaffold_200156.1
OG0000702	AT3G19000	fgenesh2_kg.3__2118__AT3G19000.1
OG0000702	AT3G19010	fgenesh2_kg.3__2119__AT3G19010.1
OG0000703	AT5G03480	Al_scaffold_0006_249, Al_scaffold_0003_2551, Al_scaffold_0006_251, Al_scaffold_0006_254
OG0000703	AT5G03495	Al_scaffold_0006_252
OG0000704	AT3G54310	fgenesh2_kg.5__1821__AT3G54310.1
OG0000704	AT2G38430	fgenesh1_pg.C_scaffold_4001968, fgenesh1_pg.C_scaffold_4001965
OG0000705	AT4G00660	fgenesh2_kg.6__3638__AT4G00660.2
OG0000705	AT2G45810	fgenesh2_kg.4__2779__AT2G45810.1
OG0000705	AT3G61240	fgenesh2_kg.5__2593__AT3G61240.1
OG0000706	AT5G04660	fgenesh2_kg.6__381__AT5G04660.1
OG0000706	AT5G04630	scaffold_600407.1
OG0000706	AT3G10560	fgenesh2_kg.3__1092__AT3G10560.1
OG0000706	AT3G10570	fgenesh2_kg.3__1093__AT3G10570.1
OG0000707	AT4G35090	fgenesh2_kg.7__577__AT4G35090.1
OG0000708	AT1G02720	fgenesh2_kg.1__185__AT1G02720.1
OG0000708	AT4G02130	fgenesh2_kg.6__3494__AT4G02130.1
OG0000708	AT3G62660	fgenesh2_kg.5__2756__AT3G62660.1
OG0000709	AT3G57260	fgenesh2_kg.5__2160__AT3G57260.1
OG0000709	AT3G57240	fgenesh1_pg.C_scaffold_5002191
OG0000710	AT4G00900	fgenesh2_kg.6__3609__AT4G00900.1
OG0000710	AT1G07810	fgenesh2_kg.1__767__AT1G07810.1
OG0000710	AT1G07670	fgenesh2_kg.1__748__AT1G07810.1
OG0000711	AT2G31420	scaffold_401677.1
OG0000711	AT2G27410, AT2G32645	scaffold_401767.1, scaffold_401824.1
OG0000711	AT2G32905	fgenesh1_pm.C_scaffold_4001083
OG0000712	AT5G05420	Al_scaffold_0006_421
OG0000712	AT5G05430	Al_scaffold_0006_418, fgenesh2_kg.6__427__AT5G05430.1
OG0000712	AT3G09160	fgenesh2_kg.3__933__AT3G09160.1
OG0000713	AT4G05540	Al_scaffold_0006_3485
OG0000713	AT5G37165, AT5G37160	fgenesh2_kg.7__3125__AT5G37160.1
OG0000713	AT5G37140	Al_scaffold_0007_3290
OG0000713	AT5G37150, AT5G52090	fgenesh1_pg.C_scaffold_7002829
OG0000714	AT4G29480	fgenesh2_kg.7__1242__AT4G29480.1
OG0000714	AT2G19680	fgenesh2_kg.3__3204__AT2G19680.1
OG0000714	AT4G26210	fgenesh1_pg.C_scaffold_7001341
OG0000715	AT4G19960	fgenesh2_kg.7__2312__AT4G19960.1
OG0000715	AT2G35060	fgenesh2_kg.4__1532__AT2G35060.2
OG0000716	AT4G39980	scaffold_700232.1
OG0000716	AT4G33510	fgenesh2_kg.7__768__AT4G33510.1
OG0000716	AT1G22410	fgenesh2_kg.1__2435__AT1G22410.1
OG0000717	AT1G15250	scaffold_101710.1
OG0000718	AT4G27140	fgenesh2_kg.7__1514__AT4G27140.1
OG0000718	AT4G27160, AT4G27150	fgenesh2_kg.7__1512__AT4G27160.1, scaffold_701572.1
OG0000719	AT5G23270	Al_scaffold_0006_2202
OG0000719	AT3G19940	fgenesh1_pm.C_scaffold_3001761
OG0000719	AT1G50310	fgenesh1_pm.C_scaffold_1003210
OG0000720	AT2G44120	fgenesh2_kg.4__2594__AT2G44120.2, fgenesh2_kg.788__1__AT2G44120.1
OG0000720	AT2G01250	fgenesh1_pm.C_scaffold_5000015
OG0000720	AT3G13580	fgenesh2_kg.3__1450__AT3G13580.2
OG0000721	AT2G40010	fgenesh2_kg.4__2101__AT2G40010.1
OG0000721	AT3G11250	fgenesh2_kg.3__1166__AT3G11250.1
OG0000721	AT3G09200	fgenesh2_kg.3__936__AT3G09200.1
OG0000722	AT3G46070	scaffold_501490.1
OG0000722	AT3G46090, AT3G46080	fgenesh2_kg.5__981__AT3G46090.1
OG0000722	AT5G59820	scaffold_802618.1
OG0000723	AT2G19750	Al_scaffold_0007_1181
OG0000723	AT5G56670	Al_scaffold_0007_1181
OG0000723	AT4G29390	Al_scaffold_0007_1181
OG0000723	AT2G19750	fgenesh2_kg.3__3195__AT2G19750.1
OG0000723	AT5G56670	fgenesh2_kg.3__3195__AT2G19750.1
OG0000723	AT4G29390	fgenesh2_kg.3__3195__AT2G19750.1
OG0000723	AT2G19750	scaffold_802225.1
OG0000723	AT5G56670	scaffold_802225.1
OG0000723	AT4G29390	scaffold_802225.1
OG0000724	AT5G17150, AT5G17120	fgenesh2_kg.6__1709__AT5G17120.1
OG0000724	AT5G17110, AT5G17100	Al_scaffold_0006_1617, fgenesh1_pm.C_scaffold_6001363
OG0000725	AT2G26880	fgenesh1_pg.C_scaffold_4000735
OG0000726	AT1G78520	fgenesh1_pm.C_scaffold_2001787
OG0000726	AT2G43670	fgenesh2_kg.4__2540__AT2G43670.1
OG0000726	AT2G43660	scaffold_703580.1, fgenesh1_pm.C_scaffold_677000001, fgenesh2_kg.4__2538__AT2G43660.2
OG0000726	AT3G28250	fgenesh1_pg.C_scaffold_5000585
OG0000727	AT4G36840	fgenesh1_pm.C_scaffold_7000311
OG0000728	AT5G22440	Al_scaffold_0006_2113
OG0000728	AT1G08360	scaffold_100861.1
OG0000728	AT2G27530	fgenesh2_kg.4__817__AT2G27530.1
OG0000729	AT2G21390	scaffold_400058.1, scaffold_400057.1
OG0000729	AT1G62020	fgenesh2_kg.2__264__AT1G62020.1
OG0000730	AT2G46070	fgenesh1_pm.C_scaffold_4002318
OG0000730	AT1G01560	scaffold_100086.1
OG0000730	AT4G01370	scaffold_604153.1
OG0000731	AT1G02110	fgenesh2_kg.1__13__AT1G02110.1
OG0000731	AT3G60320	fgenesh2_kg.5__2496__AT3G60320.1
OG0000732	AT4G12870	fgenesh2_kg.9__79__AT4G12870.1
OG0000732	AT4G12960	fgenesh2_kg.9__74__AT4G12960.1
OG0000732	AT4G12900	fgenesh2_kg.9__76__AT4G12900.1
OG0000732	AT4G12890	fgenesh1_pm.C_scaffold_9000071
OG0000734	AT5G13580	fgenesh2_kg.6__1311__AT5G13580.1
OG0000734	AT3G55090	scaffold_502629.1
OG0000734	AT2G39350	fgenesh2_kg.4__2015__AT2G39350.1
OG0000735	AT5G39440	fgenesh1_pm.C_scaffold_7002776
OG0000735	AT3G29160	fgenesh2_kg.5__675__AT3G29160.2
OG0000735	AT3G01090	fgenesh1_pm.C_scaffold_3000097
OG0000736	AT4G37050	fgenesh2_kg.7__349__AT4G37050.1
OG0000736	AT4G37060	fgenesh2_kg.7__350__AT4G37070.2
OG0000737	AT3G45790, AT3G46140	scaffold_501500.1
OG0000737	AT3G45670, AT4G04632	Al_scaffold_0005_1348, scaffold_501459.1
OG0000738	AT3G58650	fgenesh1_pm.C_scaffold_5001887
OG0000738	AT3G05750	Al_scaffold_0004_1194, fgenesh2_kg.3__568__AT3G05750.1
OG0000738	AT5G26910	fgenesh2_kg.6__2654__AT5G26910.1
OG0000739	AT1G13200	fgenesh2_kg.1__1429__AT1G13200.1
OG0000740	AT1G74090	Al_scaffold_0002_2117
OG0000743	AT1G36675, AT5G33390	scaffold_303748.1, Al_scaffold_0003_3061
OG0000743	AT2G10975	scaffold_800939.1
OG0000745	AT1G34560	fgenesh1_pg.C_scaffold_1003170
OG0000745	AT1G35365	scaffold_103975.1, scaffold_103965.1, Al_scaffold_0001_3647
OG0000745	AT3G27900, AT1G35353	scaffold_103970.1
OG0000746	AT2G34480	fgenesh2_kg.4__1470__AT2G34480.1
OG0000746	AT3G14600	fgenesh2_kg.3__1580__AT3G14600.1
OG0000747	AT1G22000	scaffold_102836.1, scaffold_102841.1
OG0000749	AT1G61580	fgenesh2_kg.2__299__AT1G61580.1
OG0000749	AT1G43170	fgenesh2_kg.1__3711__AT1G43170.1
OG0000750	AT2G28760	fgenesh2_kg.4__850__AT2G28760.2
OG0000750	AT5G59290	fgenesh2_kg.8__1872__AT5G59290.1
OG0000750	AT3G46440	fgenesh2_kg.5__1008__AT3G46440.1
OG0000751	AT2G32220	scaffold_401771.1
OG0000751	AT3G22230	fgenesh2_kg.3__2437__AT3G22230.1
OG0000752	AT2G30150	fgenesh2_kg.4__986__AT2G30150.1
OG0000752	AT2G30140	fgenesh2_kg.4__985__AT2G30140.2
OG0000753	AT1G27020	fgenesh2_kg.1__2653__AT1G27020.1
OG0000753	AT1G27030	scaffold_102809.1
OG0000754	AT2G35736	scaffold_402186.1
OG0000754	AT4G25225	fgenesh2_kg.7__1743__AT4G25225.1
OG0000755	AT5G66210	fgenesh2_kg.8__2805__AT5G66210.2
OG0000755	AT4G36070	fgenesh1_pm.C_scaffold_7000373
OG0000755	AT2G17890	Al_scaffold_0003_3749
OG0000756	AT2G17790	fgenesh2_kg.3__3378__AT2G17790.1
OG0000756	AT3G51310	fgenesh2_kg.5__1474__AT3G51310.1
OG0000756	AT1G75850	scaffold_202534.1
OG0000757	AT2G29200	fgenesh2_kg.4__898__AT2G29200.1
OG0000757	AT2G29140	fgenesh2_kg.4__893__AT2G29140.1, scaffold_4100004.1
OG0000758	AT1G66530	scaffold_201252.1, fgenesh2_kg.2__889__AT1G66530.1, fgenesh2_kg.3__2997__AT1G66530.1
OG0000758	AT4G26300	scaffold_500176.1, fgenesh1_pm.C_scaffold_7001275
OG0000759	AT1G29310	fgenesh2_kg.1__3095__AT1G29310.1
OG0000759	AT2G34250	fgenesh2_kg.4__1427__AT2G34250.1
OG0000760	AT2G05220, AT5G04800, AT2G04390	fgenesh2_kg.6__397__AT2G04390.1
OG0000760	AT3G10610	fgenesh2_kg.3__1096__AT3G10610.1
OG0000761	AT4G00240	fgenesh2_kg.6__3676__AT4G00240.1
OG0000761	AT2G42010	scaffold_403049.1
OG0000761	AT4G11850	fgenesh2_kg.6__3133__AT4G11840.1
OG0000761	AT4G11840, AT4G11830	fgenesh1_pg.C_scaffold_6002860
OG0000762	AT1G55120	fgenesh2_kg.1__4519__AT1G55120.1
OG0000762	AT3G13790	fgenesh2_kg.3__1482__AT3G13790.1
OG0000762	AT3G13784	fgenesh1_pg.C_scaffold_3001269
OG0000763	AT5G56530	fgenesh2_kg.8__1559__AT5G56530.1
OG0000763	AT1G55360	fgenesh2_kg.1__4551__AT1G55360.1
OG0000763	AT3G13510	scaffold_301553.1
OG0000764	AT5G45080	Al_scaffold_0008_404, scaffold_6500005.1, Al_scaffold_0065_3, Al_scaffold_0008_406
OG0000764	AT5G45070	scaffold_800439.1, fgenesh2_kg.8__292__AT5G45070.1, fgenesh2_kg.65__2__AT5G45070.1
OG0000764	AT5G45090	Al_scaffold_0065_2
OG0000765	AT1G50780, AT1G48150	scaffold_501151.1, scaffold_501175.1
OG0000765	AT5G27130	scaffold_602973.1
OG0000766	AT1G61560	fgenesh1_pm.C_scaffold_2000254
OG0000766	AT3G45290	Al_scaffold_0005_1288
OG0000766	AT1G11310	fgenesh2_kg.1__1220__AT1G11310.1
OG0000767	AT1G23100	fgenesh2_kg.1__2517__AT1G23100.1
OG0000767	AT1G14980	fgenesh2_kg.1__1640__AT1G14980.1
OG0000768	AT4G23470	fgenesh2_kg.7__1958__AT4G23470.1
OG0000768	AT1G63830	scaffold_200130.1
OG0000768	AT5G41390	fgenesh1_pm.C_scaffold_7002609
OG0000769	AT5G25030	scaffold_602603.1
OG0000769	AT5G56075	fgenesh2_kg.8__1509__AT5G56075.1
OG0000770	AT4G32100	Al_scaffold_0007_890
OG0000770	AT4G32105	fgenesh2_kg.7__956__AT4G32105.1, scaffold_700987.1
OG0000771	AT2G42600	scaffold_403134.1
OG0000771	AT1G53310	fgenesh2_kg.1__4413__AT1G53310.2
OG0000771	AT3G14940	fgenesh2_kg.3__1618__AT3G14940.1
OG0000772	AT5G45740	scaffold_800285.1, fgenesh1_pg.C_scaffold_8000219
