Orthogroup	Arabidopsis_thaliana	Eutrema_salsugineum
OG0002289	AT3G17920	EUTSA_v10019973mg
OG0002289	AT1G48540	EUTSA_v10011201mg
OG0002290	AT3G07195	EUTSA_v10021478mg
OG0002290	AT5G48657	EUTSA_v10004864mg
OG0002291	AT5G65925	EUTSA_v10005632mg
OG0002291	AT3G49820	EUTSA_v10011022mg
OG0002292	AT1G58080	EUTSA_v10023501mg
OG0002292	AT1G09795	EUTSA_v10007791mg
OG0002293	AT1G59725	EUTSA_v10023552mg
OG0002293	AT1G10350	EUTSA_v10008066mg
OG0002294	AT2G34355	EUTSA_v10016523mg
OG0002294	AT2G34350	EUTSA_v10016511mg
OG0002295	AT1G59980	EUTSA_v10023496mg
OG0002295	AT1G24120	EUTSA_v10007684mg
OG0002296	AT1G54340	EUTSA_v10012325mg
OG0002296	AT1G65930	EUTSA_v10018635mg
OG0002297	AT1G76300	EUTSA_v10019312mg
OG0002297	AT1G20580	EUTSA_v10009078mg
OG0002298	AT4G20390	EUTSA_v10026298mg
OG0002298	AT5G44550	EUTSA_v10001033mg
OG0002299	AT2G26160, AT3G25750, AT1G44080, AT4G35733	EUTSA_v10027241mg
OG0002300	AT3G26960	EUTSA_v10005021mg
OG0002300	AT5G41050	EUTSA_v10027964mg
OG0002301	AT2G29990	EUTSA_v10016537mg
OG0002301	AT1G07180	EUTSA_v10007398mg
OG0002302	AT2G45440	EUTSA_v10001510mg
OG0002302	AT3G60880	EUTSA_v10006047mg
OG0002303	AT4G32380	EUTSA_v10027434mg
OG0002303	AT4G32370	EUTSA_v10027449mg
OG0002304	AT4G28420	EUTSA_v10025166mg
OG0002304	AT2G20610	EUTSA_v10001981mg
OG0002305	AT5G65750	EUTSA_v10003576mg
OG0002306	AT4G15765	EUTSA_v10025376mg
OG0002306	AT4G15760	EUTSA_v10025403mg
OG0002307	AT4G21880	EUTSA_v10024397mg
OG0002307	AT4G04790	EUTSA_v10028431mg
OG0002308	AT1G19710	EUTSA_v10007509mg
OG0002308	AT1G75420	EUTSA_v10018489mg
OG0002309	AT2G41140	EUTSA_v10016437mg
OG0002309	AT3G56760	EUTSA_v10005861mg
OG0002310	AT1G69990	EUTSA_v10018330mg
OG0002310	AT1G27190	EUTSA_v10009684mg
OG0002311	AT3G53690	EUTSA_v10000966mg
OG0002312	AT1G70370	EUTSA_v10018277mg
OG0002313	AT5G16470	EUTSA_v10015095mg
OG0002314	AT5G67500	EUTSA_v10004631mg
OG0002315	AT1G10970	EUTSA_v10007788mg
OG0002315	AT1G60960	EUTSA_v10023475mg
OG0002316	AT4G38200	EUTSA_v10024199mg
OG0002316	AT4G35380	EUTSA_v10024200mg
OG0002317	AT2G03480	EUTSA_v10003873mg
OG0002318	AT3G50800	EUTSA_v10010783mg
OG0002319	AT1G33770	EUTSA_v10007077mg
OG0002319	AT4G10010	EUTSA_v10028507mg
OG0002320	AT5G09660	EUTSA_v10013748mg
OG0002320	AT2G22780	EUTSA_v10000218mg
OG0002321	AT1G76100	EUTSA_v10019237mg
OG0002321	AT1G20340	EUTSA_v10008749mg
OG0002322	AT2G24060	EUTSA_v10000269mg
OG0002322	AT4G30690	EUTSA_v10025935mg
OG0002323	AT3G49960	EUTSA_v10010538mg
OG0002323	AT5G67400	EUTSA_v10004576mg
OG0002324	AT4G30550	EUTSA_v10026083mg
OG0002324	AT2G23970	EUTSA_v10000640mg
OG0002325	AT5G13210, AT3G24780	EUTSA_v10015490mg, EUTSA_v10012951mg
OG0002326	AT5G04130	EUTSA_v10012781mg
OG0002326	AT3G10270	EUTSA_v10020150mg
OG0002327	AT3G28500	EUTSA_v10005165mg
OG0002327	AT5G40040	EUTSA_v10028149mg
OG0002328	AT5G03890	EUTSA_v10014801mg
OG0002328	AT3G10120	EUTSA_v10021626mg
OG0002329	AT5G27470	EUTSA_v10004203mg
OG0002330	AT2G39280	EUTSA_v10017641mg
OG0002330	AT3G55020	EUTSA_v10010127mg
OG0002331	AT4G39550	EUTSA_v10002964mg, EUTSA_v10002584mg
OG0002332	AT1G51040	EUTSA_v10012090mg
OG0002332	AT1G49340	EUTSA_v10011177mg
OG0002333	AT2G16230	EUTSA_v10022641mg
OG0002333	AT4G34480	EUTSA_v10024968mg
OG0002334	AT2G36680	EUTSA_v10017224mg
OG0002334	AT3G53120	EUTSA_v10010721mg, EUTSA_v10023701mg
OG0002335	AT2G44010	EUTSA_v10001750mg
OG0002335	AT3G59880	EUTSA_v10006503mg
OG0002336	AT2G28860, AT2G28850, AT2G34490, AT2G34500	EUTSA_v10016552mg, EUTSA_v10016547mg
OG0002337	AT1G37130	EUTSA_v10003628mg
OG0002337	AT1G77760	EUTSA_v10018092mg
OG0002338	AT5G16800	EUTSA_v10014541mg
OG0002339	AT2G32960	EUTSA_v10017110mg
OG0002339	AT1G05000	EUTSA_v10008768mg
OG0002340	AT3G63380	EUTSA_v10005762mg
OG0002340	AT3G22910	EUTSA_v10022129mg
OG0002341	AT3G03010	EUTSA_v10021622mg
OG0002341	AT5G16870	EUTSA_v10014859mg
OG0002342	AT5G26120	EUTSA_v10015637mg
OG0002342	AT3G10740	EUTSA_v10020209mg
OG0002343	AT1G32610	EUTSA_v10008943mg
OG0002343	AT2G35230	EUTSA_v10016759mg
OG0002344	AT1G33480	EUTSA_v10009296mg
OG0002344	AT4G10150, AT4G10160	EUTSA_v10028921mg
OG0002345	AT4G12000	EUTSA_v10028910mg
OG0002345	AT4G22850	EUTSA_v10025848mg
OG0002346	AT2G46940	EUTSA_v10001588mg
OG0002346	AT3G62070	EUTSA_v10006193mg
OG0002347	AT5G25450	EUTSA_v10005137mg
OG0002347	AT4G32470	EUTSA_v10023759mg, EUTSA_v10026575mg
OG0002348	AT5G46610	EUTSA_v10001180mg
OG0002348	AT4G17970	EUTSA_v10024816mg
OG0002349	AT1G31660	EUTSA_v10007604mg
OG0002350	AT4G08510	EUTSA_v10028540mg
OG0002350	AT1G36990	EUTSA_v10003900mg
OG0002351	AT5G37050, AT5G58440	EUTSA_v10013051mg
OG0002352	AT1G61930	EUTSA_v10023699mg
OG0002352	AT1G11700	EUTSA_v10008790mg
OG0002353	AT5G09670	EUTSA_v10013049mg
OG0002353	AT5G64550	EUTSA_v10003819mg
OG0002354	AT3G20760	EUTSA_v10022149mg
OG0002354	AT1G51130	EUTSA_v10011541mg
OG0002355	AT5G66910	EUTSA_v10020099mg, EUTSA_v10005443mg
OG0002355	AT5G66900	EUTSA_v10003662mg
OG0002356	AT3G62990	EUTSA_v10006446mg
OG0002356	AT2G47950	EUTSA_v10001672mg
OG0002357	AT3G16650	EUTSA_v10022263mg
OG0002357	AT4G15900	EUTSA_v10025068mg
OG0002358	AT1G15770, AT1G15780	EUTSA_v10006572mg
OG0002359	AT4G17410	EUTSA_v10024408mg
OG0002359	AT5G47430	EUTSA_v10000768mg
OG0002360	AT2G20260	EUTSA_v10002106mg
OG0002360	AT4G28750	EUTSA_v10026332mg
OG0002361	AT3G04550	EUTSA_v10020727mg
OG0002361	AT5G28500	EUTSA_v10004236mg
OG0002362	AT4G37580	EUTSA_v10025368mg
OG0002362	AT2G23060	EUTSA_v10000180mg
OG0002364	AT2G31730	EUTSA_v10017421mg
OG0002364	AT1G05710	EUTSA_v10009016mg
OG0002365	AT3G01520	EUTSA_v10021628mg
OG0002365	AT5G14680	EUTSA_v10014824mg
OG0002366	AT5G23700	EUTSA_v10003911mg
OG0002366	AT3G48860	EUTSA_v10010238mg
OG0002367	AT3G50650	EUTSA_v10011122mg
OG0002367	AT5G66770	EUTSA_v10003860mg
OG0002368	AT1G10360	EUTSA_v10009674mg
OG0002368	AT1G10370	EUTSA_v10008682mg
OG0002369	AT5G45240	EUTSA_v10001191mg
OG0002370	AT3G23340	EUTSA_v10020765mg
OG0002370	AT4G14340	EUTSA_v10025130mg
OG0002371	AT1G32470	EUTSA_v10008944mg
OG0002371	AT2G35370	EUTSA_v10017333mg
OG0002372	AT1G56010	EUTSA_v10011659mg
OG0002372	AT3G12977	EUTSA_v10021297mg
OG0002373	AT1G25400	EUTSA_v10008406mg
OG0002373	AT1G68440	EUTSA_v10018918mg
OG0002374	AT4G38840	EUTSA_v10026657mg
OG0002375	AT5G27330	EUTSA_v10003823mg
OG0002376	AT1G72330	EUTSA_v10019459mg
OG0002376	AT1G17290	EUTSA_v10007290mg
OG0002377	AT3G22520	EUTSA_v10020335mg
OG0002378	AT4G26100	EUTSA_v10025148mg
OG0002378	AT5G57015	EUTSA_v10013573mg
OG0002379	AT3G16140	EUTSA_v10021715mg
OG0002380	AT3G56860	EUTSA_v10005930mg
OG0002380	AT2G41060	EUTSA_v10016684mg
OG0002381	AT5G64650	EUTSA_v10005089mg, EUTSA_v10014895mg
OG0002382	AT4G31670	EUTSA_v10024675mg
OG0002382	AT2G24640	EUTSA_v10000088mg
OG0002383	AT4G25810	EUTSA_v10025720mg
OG0002383	AT5G57560	EUTSA_v10014326mg
OG0002384	AT4G25990	EUTSA_v10025322mg
OG0002384	AT5G57180	EUTSA_v10013517mg
OG0002385	AT3G61560	EUTSA_v10006190mg
OG0002385	AT2G46170	EUTSA_v10001599mg
OG0002386	AT1G74560	EUTSA_v10019538mg, EUTSA_v10019016mg
OG0002386	AT1G18800	EUTSA_v10008524mg
OG0002387	AT1G70140	EUTSA_v10018164mg
OG0002387	AT1G24150	EUTSA_v10006885mg
OG0002388	AT4G38950	EUTSA_v10024409mg
OG0002388	AT2G21300	EUTSA_v10000043mg
OG0002389	AT4G25440	EUTSA_v10025269mg
OG0002389	AT5G51980	EUTSA_v10013582mg
OG0002390	AT4G37450	EUTSA_v10026340mg
OG0002391	AT1G16380	EUTSA_v10010021mg
OG0002391	AT1G79400	EUTSA_v10018147mg
OG0002392	AT1G71770	EUTSA_v10018219mg
OG0002393	AT1G51900	EUTSA_v10012376mg
OG0002393	AT2G14830	EUTSA_v10002252mg
OG0002394	AT4G30130	EUTSA_v10024537mg
OG0002394	AT2G19090	EUTSA_v10022561mg
OG0002395	AT5G19110	EUTSA_v10013760mg
OG0002396	AT3G15630	EUTSA_v10021593mg
OG0002396	AT1G52720	EUTSA_v10012366mg
OG0002397	AT2G18969	EUTSA_v10022885mg
OG0002397	AT4G30180	EUTSA_v10026906mg
OG0002398	AT2G02810	EUTSA_v10004564mg
OG0002398	AT1G14360	EUTSA_v10008161mg
OG0002399	AT1G04450	EUTSA_v10008832mg
OG0002399	AT2G33460	EUTSA_v10017223mg
OG0002400	AT1G04470	EUTSA_v10006651mg
OG0002400	AT2G33420	EUTSA_v10017527mg
OG0002401	AT4G04910	EUTSA_v10028462mg
OG0002402	AT5G49020	EUTSA_v10003986mg
OG0002402	AT3G06930	EUTSA_v10020486mg
OG0002403	AT3G59890	EUTSA_v10006083mg
OG0002403	AT2G44040	EUTSA_v10001534mg
OG0002404	AT3G05820	EUTSA_v10020291mg
OG0002404	AT1G56560	EUTSA_v10017815mg
OG0002405	AT5G61390	EUTSA_v10004100mg
OG0002405	AT5G07710	EUTSA_v10013435mg
OG0002406	AT1G80820	EUTSA_v10018849mg
OG0002406	AT1G15950	EUTSA_v10008111mg
OG0002407	AT3G01015	EUTSA_v10020582mg
OG0002407	AT5G15510	EUTSA_v10013627mg
OG0002408	AT4G21810	EUTSA_v10026097mg
OG0002408	AT4G04860	EUTSA_v10028917mg
OG0002409	AT2G33330	EUTSA_v10017042mg
OG0002409	AT1G04520	EUTSA_v10008311mg
OG0002410	AT3G01516	EUTSA_v10021959mg
OG0002410	AT5G14690	EUTSA_v10014646mg
OG0002411	AT1G25560	EUTSA_v10007983mg
OG0002411	AT1G68840	EUTSA_v10019566mg
OG0002412	AT1G10940	EUTSA_v10007985mg
OG0002413	AT1G02800	EUTSA_v10007402mg
OG0002413	AT4G02290	EUTSA_v10028585mg
OG0002414	AT3G49970	EUTSA_v10010248mg
OG0002414	AT5G67385	EUTSA_v10003858mg
OG0002415	AT1G66460	EUTSA_v10019672mg
OG0002415	AT5G37790	EUTSA_v10027710mg
OG0002416	AT3G22380	EUTSA_v10019888mg
OG0002417	AT5G21090	EUTSA_v10014631mg
OG0002418	AT1G70440	EUTSA_v10019788mg
OG0002418	AT1G23550	EUTSA_v10008227mg
OG0002419	AT3G21980, AT3G21990, AT4G20640, AT4G20630, AT4G20580, AT4G20600, AT4G20620, AT4G20610, AT4G20590, AT4G20570, AT4G20560, AT4G20540, AT4G20645, AT4G20530, AT4G20550, AT4G20670	EUTSA_v10021973mg
OG0002421	AT2G21490	EUTSA_v10000340mg
OG0002421	AT4G39130	EUTSA_v10026916mg
OG0002422	AT5G40720	EUTSA_v10028205mg
OG0002422	AT3G27330	EUTSA_v10003629mg
OG0002423	AT3G60620	EUTSA_v10006014mg
OG0002423	AT2G45150	EUTSA_v10001472mg
OG0002424	AT1G05830	EUTSA_v10006646mg
OG0002424	AT2G31650	EUTSA_v10016217mg
OG0002425	AT2G46660	EUTSA_v10001398mg
OG0002425	AT3G61880	EUTSA_v10005883mg
OG0002426	AT2G14880	EUTSA_v10022904mg
OG0002426	AT4G34290	EUTSA_v10026522mg
OG0002427	AT5G44700	EUTSA_v10000741mg
OG0002427	AT4G20140	EUTSA_v10027256mg
OG0002428	AT4G36870	EUTSA_v10024509mg
OG0002428	AT2G23760	EUTSA_v10000076mg
OG0002429	AT5G43810	EUTSA_v10003139mg
OG0002429	AT1G48410	EUTSA_v10011196mg
OG0002430	AT1G23880	EUTSA_v10007420mg
OG0002430	AT1G70280	EUTSA_v10018442mg
OG0002431	AT1G47250	EUTSA_v10011712mg
OG0002431	AT5G42790	EUTSA_v10003255mg
OG0002432	AT5G58850	EUTSA_v10027294mg, EUTSA_v10015404mg
OG0002432	AT5G11050	EUTSA_v10016057mg
OG0002433	AT4G39170	EUTSA_v10024693mg
OG0002433	AT2G21520	EUTSA_v10000082mg
OG0002434	AT1G55680	EUTSA_v10011474mg
OG0002434	AT3G13340	EUTSA_v10020726mg
OG0002435	AT1G06250	EUTSA_v10007767mg
OG0002436	AT1G79210	EUTSA_v10018943mg
OG0002436	AT1G16470	EUTSA_v10008648mg
OG0002437	AT5G36940	EUTSA_v10027685mg
OG0002437	AT1G58030	EUTSA_v10023348mg
OG0002438	AT2G25130	EUTSA_v10000153mg
OG0002438	AT4G31890	EUTSA_v10024943mg
OG0002439	AT1G55475	EUTSA_v10011881mg
OG0002439	AT3G13480	EUTSA_v10021633mg
OG0002440	AT3G27190	EUTSA_v10004106mg
OG0002440	AT5G40870	EUTSA_v10027737mg
OG0002441	AT2G36350	EUTSA_v10016202mg
OG0002441	AT3G52890	EUTSA_v10010106mg
OG0002442	AT2G15090	EUTSA_v10022669mg
OG0002442	AT4G34250	EUTSA_v10025022mg
OG0002443	AT1G53290	EUTSA_v10011624mg
OG0002443	AT3G14960	EUTSA_v10021058mg
OG0002444	AT3G56580	EUTSA_v10006102mg
OG0002444	AT2G40830	EUTSA_v10016932mg
OG0002445	AT4G00520	EUTSA_v10029128mg
OG0002445	AT1G01710	EUTSA_v10007689mg
OG0002446	AT5G17550	EUTSA_v10014511mg
OG0002447	AT4G34265	EUTSA_v10026653mg
OG0002447	AT2G15000	EUTSA_v10022939mg
OG0002448	AT1G21870	EUTSA_v10009473mg
OG0002448	AT1G77610	EUTSA_v10018828mg
OG0002449	AT5G26860	EUTSA_v10003617mg
OG0002450	AT3G60860	EUTSA_v10005735mg
OG0002450	AT1G01960	EUTSA_v10006576mg
OG0002451	AT3G50020	EUTSA_v10011104mg, EUTSA_v10010855mg, EUTSA_v10011021mg, EUTSA_v10011141mg, EUTSA_v10011057mg, EUTSA_v10011101mg, EUTSA_v10011083mg
OG0002451	AT5G45277	EUTSA_v10001147mg, EUTSA_v10001145mg
OG0002452	AT5G28290	EUTSA_v10003908mg
OG0002452	AT3G04810	EUTSA_v10020328mg
OG0002453	AT3G12170	EUTSA_v10021344mg
OG0002453	AT5G06910	EUTSA_v10014343mg
OG0002454	AT5G18180	EUTSA_v10021561mg
OG0002454	AT3G03920	EUTSA_v10014755mg
OG0002455	AT5G06290	EUTSA_v10014403mg
OG0002455	AT3G11630	EUTSA_v10021326mg
OG0002456	AT5G40810	EUTSA_v10027856mg
OG0002456	AT3G27240	EUTSA_v10004628mg
OG0002457	AT1G11940	EUTSA_v10007925mg
OG0002457	AT1G62305	EUTSA_v10023967mg
OG0002458	AT4G17280	EUTSA_v10025356mg
OG0002458	AT5G47530	EUTSA_v10000911mg
OG0002459	AT1G75120, AT1G75110	EUTSA_v10018600mg
OG0002459	AT1G19360	EUTSA_v10007712mg
OG0002460	AT2G24290	EUTSA_v10000399mg
OG0002460	AT4G30996	EUTSA_v10026395mg
OG0002461	AT2G35765	EUTSA_v10017498mg
OG0002461	AT1G19500	EUTSA_v10009239mg
OG0002462	AT1G33170	EUTSA_v10007044mg
OG0002462	AT4G10440	EUTSA_v10028495mg
OG0002463	AT1G49840	EUTSA_v10011429mg
OG0002463	AT3G19540	EUTSA_v10020616mg
OG0002464	AT4G02330	EUTSA_v10028546mg
OG0002464	AT1G02810	EUTSA_v10007177mg
OG0002465	AT1G04410	EUTSA_v10009880mg
OG0002465	AT5G43330	EUTSA_v10003243mg, EUTSA_v10003244mg
OG0002466	AT1G72760	EUTSA_v10019640mg
OG0002466	AT1G17540	EUTSA_v10006957mg
OG0002467	AT1G05200	EUTSA_v10006709mg
OG0002467	AT2G32390	EUTSA_v10016205mg
OG0002468	AT1G17060	EUTSA_v10007523mg
OG0002469	AT5G26140	EUTSA_v10004916mg
OG0002469	AT5G11950	EUTSA_v10014490mg
OG0002470	AT4G04200	EUTSA_v10028970mg
OG0002470	AT2G39960	EUTSA_v10017265mg
OG0002471	AT1G76670	EUTSA_v10018800mg
OG0002471	AT1G21070	EUTSA_v10008081mg
OG0002472	AT1G79630	EUTSA_v10018625mg
OG0002472	AT1G16220	EUTSA_v10007474mg
OG0002473	AT1G74890	EUTSA_v10019119mg
OG0002473	AT1G19050	EUTSA_v10021491mg
OG0002474	AT1G10650	EUTSA_v10008132mg
OG0002474	AT1G60610	EUTSA_v10023576mg
OG0002475	AT4G28320	EUTSA_v10025261mg
OG0002475	AT2G20680	EUTSA_v10001990mg
OG0002476	AT1G31420	EUTSA_v10007149mg
OG0002476	AT2G35620	EUTSA_v10016417mg
OG0002477	AT5G65810	EUTSA_v10004790mg
OG0002477	AT3G49720	EUTSA_v10010641mg
OG0002478	AT4G12050	EUTSA_v10029174mg
OG0002478	AT4G22810	EUTSA_v10025672mg
OG0002480	AT4G13100	EUTSA_v10026173mg
OG0002480	AT3G25030	EUTSA_v10002955mg
OG0002481	AT3G22400	EUTSA_v10020023mg
OG0002482	AT1G18620	EUTSA_v10009952mg
OG0002482	AT1G74160	EUTSA_v10018061mg
OG0002483	AT4G04040	EUTSA_v10028543mg
OG0002483	AT1G12000	EUTSA_v10007237mg
OG0002484	AT1G20880	EUTSA_v10008444mg
OG0002484	AT1G76460	EUTSA_v10018983mg
OG0002485	AT3G03090	EUTSA_v10020565mg
OG0002485	AT5G17010	EUTSA_v10013319mg
OG0002487	AT5G09320, AT5G09315	EUTSA_v10012815mg
OG0002487	AT3G19770	EUTSA_v10020497mg
OG0002488	AT3G11770	EUTSA_v10021553mg
OG0002489	AT2G20750	EUTSA_v10002071mg
OG0002489	AT4G28250	EUTSA_v10025985mg
OG0002490	AT2G21380	EUTSA_v10000024mg
OG0002490	AT4G39050	EUTSA_v10024289mg
OG0002491	AT3G60290	EUTSA_v10006360mg
OG0002491	AT2G44800	EUTSA_v10001518mg
OG0002492	AT1G76580	EUTSA_v10018065mg, EUTSA_v10018054mg
OG0002492	AT1G20980	EUTSA_v10006656mg
OG0002493	AT3G47890, AT3G47910	EUTSA_v10010059mg, EUTSA_v10010060mg
OG0002494	AT4G30340	EUTSA_v10025025mg
OG0002494	AT2G18730	EUTSA_v10022666mg
OG0002495	AT4G23100	EUTSA_v10024916mg
OG0002496	AT4G24715	EUTSA_v10027123mg
OG0002496	AT5G50200	EUTSA_v10014669mg
OG0002497	AT2G45470	EUTSA_v10001463mg
OG0002497	AT3G60900	EUTSA_v10005998mg
OG0002498	AT5G04140	EUTSA_v10012425mg
OG0002498	AT2G41220	EUTSA_v10016134mg
OG0002499	AT1G68870	EUTSA_v10019276mg
OG0002500	AT2G39782, AT5G39010, AT3G26390	EUTSA_v10010912mg, EUTSA_v10028071mg
OG0002501	AT5G32670	EUTSA_v10006792mg
OG0002501	AT2G34710	EUTSA_v10016241mg
OG0002502	AT2G21940	EUTSA_v10000262mg
OG0002503	AT3G60780	EUTSA_v10006225mg
OG0002503	AT2G45360	EUTSA_v10001622mg
OG0002504	AT3G03180	EUTSA_v10021727mg
OG0002504	AT3G49420, AT5G01430	EUTSA_v10015462mg, EUTSA_v10005317mg
OG0002505	AT1G62430	EUTSA_v10023471mg
OG0002505	AT4G22340	EUTSA_v10025295mg, EUTSA_v10026913mg, EUTSA_v10017526mg
OG0002506	AT3G28830	EUTSA_v10003975mg
OG0002506	AT3G28790	EUTSA_v10003856mg
OG0002507	AT1G29540	EUTSA_v10009457mg
OG0002507	AT2G34330	EUTSA_v10017387mg
OG0002508	AT3G11180	EUTSA_v10022012mg
OG0002508	AT5G05600	EUTSA_v10013861mg
OG0002509	AT5G22900	EUTSA_v10012709mg
OG0002509	AT3G44900	EUTSA_v10002900mg
OG0002510	AT5G08230	EUTSA_v10012451mg
OG0002510	AT5G23150	EUTSA_v10003519mg
OG0002511	AT2G42830	EUTSA_v10017047mg
OG0002511	AT3G58780	EUTSA_v10006196mg
OG0002512	AT4G10310	EUTSA_v10028767mg, EUTSA_v10028594mg
OG0002513	AT1G61700	EUTSA_v10023792mg
OG0002513	AT1G11475	EUTSA_v10009269mg
OG0002514	AT1G54170	EUTSA_v10011331mg
OG0002514	AT3G14010	EUTSA_v10020519mg
OG0002515	AT3G18300	EUTSA_v10021275mg
OG0002515	AT1G48780	EUTSA_v10012350mg
OG0002516	AT3G13430	EUTSA_v10021230mg
OG0002516	AT1G55530	EUTSA_v10012351mg
OG0002517	AT3G11550	EUTSA_v10021542mg
OG0002517	AT5G06200	EUTSA_v10015967mg
OG0002518	AT5G15320	EUTSA_v10015231mg
OG0002519	AT1G06200	EUTSA_v10008791mg
OG0002519	AT2G31140	EUTSA_v10017243mg
OG0002520	AT3G46640	EUTSA_v10002605mg
OG0002521	AT5G24390	EUTSA_v10003978mg
OG0002521	AT3G49350	EUTSA_v10010270mg
OG0002522	AT2G25650, AT4G00270, AT5G14280	EUTSA_v10027890mg
OG0002523	AT5G27840	EUTSA_v10004612mg
OG0002523	AT3G05580	EUTSA_v10021158mg
OG0002524	AT1G80340	EUTSA_v10019816mg
OG0002524	AT1G15550	EUTSA_v10008008mg
OG0002525	AT1G62200	EUTSA_v10023384mg
OG0002525	AT2G02040	EUTSA_v10003893mg
OG0002526	AT3G01690	EUTSA_v10021231mg
OG0002526	AT5G14390	EUTSA_v10013880mg
OG0002527	AT4G27270	EUTSA_v10026307mg
OG0002527	AT5G54500	EUTSA_v10014706mg
OG0002528	AT1G63030	EUTSA_v10023865mg
OG0002528	AT1G12610	EUTSA_v10009978mg
OG0002529	AT1G18940	EUTSA_v10007356mg
OG0002529	AT1G74780	EUTSA_v10018391mg
OG0002530	AT4G14230	EUTSA_v10025066mg
OG0002530	AT4G14240	EUTSA_v10025003mg
OG0002531	AT2G22750	EUTSA_v10000426mg
OG0002531	AT4G37850	EUTSA_v10025715mg
OG0002532	AT3G50080	EUTSA_v10011152mg
OG0002532	AT5G67250	EUTSA_v10003994mg
OG0002533	AT5G54970	EUTSA_v10015018mg
OG0002534	AT4G28280	EUTSA_v10026448mg
OG0002534	AT2G20700	EUTSA_v10002112mg
OG0002535	AT4G15560	EUTSA_v10024542mg
OG0002535	AT3G21500	EUTSA_v10020205mg
OG0002536	AT2G36850	EUTSA_v10016126mg
OG0002536	AT3G07160	EUTSA_v10019878mg
OG0002537	AT3G22330	EUTSA_v10020290mg
OG0002537	AT3G22310	EUTSA_v10020296mg
OG0002538	AT1G32760	EUTSA_v10009787mg
OG0002538	AT4G10630	EUTSA_v10028781mg
OG0002539	AT1G69360	EUTSA_v10018101mg
OG0002539	AT1G26620	EUTSA_v10006734mg
OG0002540	AT1G79520	EUTSA_v10018658mg
OG0002540	AT1G16310	EUTSA_v10009396mg
OG0002541	AT5G44130	EUTSA_v10003262mg
OG0002541	AT1G03870	EUTSA_v10008582mg
OG0002542	AT5G67360	EUTSA_v10003693mg
OG0002543	AT1G18460	EUTSA_v10006963mg
OG0002543	AT1G73920	EUTSA_v10018209mg
OG0002544	AT5G24280	EUTSA_v10003512mg
OG0002544	AT5G24275	EUTSA_v10003513mg
OG0002545	AT5G25460	EUTSA_v10004442mg
OG0002545	AT5G11420	EUTSA_v10013887mg
OG0002546	AT4G11960	EUTSA_v10028695mg
OG0002546	AT4G22890	EUTSA_v10025739mg
OG0002547	AT2G28620	EUTSA_v10016147mg
OG0002547	AT3G45850	EUTSA_v10002384mg
OG0002548	AT3G10720	EUTSA_v10020324mg
OG0002548	AT5G04970	EUTSA_v10013020mg
OG0002549	AT2G22170	EUTSA_v10000731mg
OG0002549	AT4G39730	EUTSA_v10026128mg
OG0002550	AT1G80810	EUTSA_v10018162mg
OG0002550	AT1G15940	EUTSA_v10006733mg
OG0002551	AT5G20885	EUTSA_v10014811mg
OG0002552	AT5G04770	EUTSA_v10013075mg
OG0002552	AT3G10600	EUTSA_v10020371mg
OG0002553	AT2G18110, AT1G30230	EUTSA_v10026150mg, EUTSA_v10008675mg
OG0002554	AT1G32920	EUTSA_v10009241mg
OG0002554	AT1G32928	EUTSA_v10009742mg, EUTSA_v10009230mg
OG0002564	AT3G27300	EUTSA_v10004014mg
OG0002564	AT5G40760	EUTSA_v10027727mg
OG0002565	AT1G55200	EUTSA_v10011319mg
OG0002565	AT3G13690	EUTSA_v10020139mg
OG0002566	AT5G59740	EUTSA_v10014012mg
OG0002566	AT3G46180	EUTSA_v10002597mg
OG0002567	AT3G22240, AT3G22235, AT3G22231	EUTSA_v10021881mg
OG0002568	AT1G11250	EUTSA_v10008327mg
OG0002568	AT1G61290	EUTSA_v10023607mg
OG0002569	AT4G14130	EUTSA_v10025705mg
OG0002569	AT3G23730	EUTSA_v10003088mg
OG0002570	AT5G54490	EUTSA_v10015021mg
OG0002570	AT4G27280	EUTSA_v10026554mg
OG0002571	AT3G02410	EUTSA_v10020771mg
OG0002571	AT5G15860	EUTSA_v10013599mg
OG0002572	AT5G19380	EUTSA_v10015536mg
OG0002572	AT5G12170	EUTSA_v10015653mg
OG0002573	AT5G51790	EUTSA_v10014694mg
OG0002573	AT4G25410	EUTSA_v10027549mg
OG0002574	AT5G59550	EUTSA_v10013762mg
OG0002574	AT3G46620	EUTSA_v10002566mg
OG0002575	AT4G32610	EUTSA_v10025336mg
OG0002575	AT2G25670	EUTSA_v10000247mg
OG0002576	AT1G23770, AT1G23780	EUTSA_v10009461mg
OG0002577	AT1G61130	EUTSA_v10023955mg, EUTSA_v10023439mg
OG0002577	AT1G11080, AT4G15100	EUTSA_v10007471mg
OG0002578	AT2G24360	EUTSA_v10000182mg
OG0002578	AT4G31170	EUTSA_v10025332mg
OG0002579	AT1G10870	EUTSA_v10006873mg
OG0002579	AT1G60860	EUTSA_v10023294mg
OG0002580	AT1G03920	EUTSA_v10007188mg
OG0002580	AT2G20470	EUTSA_v10001948mg
OG0002581	AT1G17420	EUTSA_v10006732mg
OG0002581	AT1G72520	EUTSA_v10018089mg
OG0002582	AT2G43410	EUTSA_v10001307mg
OG0002583	AT4G34570	EUTSA_v10024973mg
OG0002583	AT2G16370	EUTSA_v10022646mg
OG0002584	AT1G72620	EUTSA_v10018986mg
