Orthogroup	Arabidopsis_thaliana	Tarenaya_hassleriana
OG0001532	AT5G04990, AT3G10730	Th2v20168, Th2v14379, Th2v22207, Th2v20169
OG0001533	AT3G14060, AT1G54120	Th2v23690, Th2v26117
OG0001534	AT4G26080, AT5G57050	Th2v05550, Th2v09557, Th2v21722
OG0001535	AT1G19400, AT1G75180	Th2v05858, Th2v20959
OG0001536	AT5G53030, AT4G27810	Th2v09703, Th2v26951
OG0001537	AT1G06760	Th2v00734
OG0001537	AT2G30620	Th2v10460, Th2v15853, Th2v01141, Th2v08220
OG0001539	AT3G02160, AT5G15570	Th2v24653, Th2v18620, Th2v23076
OG0001540	AT4G32030	Th2v01860, Th2v02059, Th2v11106
OG0001541	AT1G55546, AT3G13410	Th2v00993, Th2v23634, Th2v26150
OG0001542	AT4G36680, AT2G18520	Th2v12254, Th2v21517, Th2v03037, Th2v21516
OG0001543	AT3G46130, AT5G59780	Th2v18804, Th2v21280
OG0001544	AT4G12120	Th2v16740
OG0001544	AT1G12360	Th2v04896, Th2v20562
OG0001545	AT3G58560	Th2v03490, Th2v13246, Th2v25881
OG0001545	AT3G58580	Th2v06849, Th2v15546
OG0001546	AT4G30980, AT2G24260	Th2v01789, Th2v12365
OG0001547	AT5G02840, AT3G09600	Th2v08904
OG0001548	AT4G25620, AT5G52430	Th2v26912, Th2v09757, Th2v28932
OG0001550	AT1G69760, AT1G26920	Th2v25010, Th2v25637
OG0001552	AT3G10525, AT5G04470	Th2v20127
OG0001553	AT1G48260, AT3G17510	Th2v12638
OG0001554	AT1G72740, AT1G17520	Th2v09996, Th2v23261
OG0001555	AT1G55570, AT3G13390	Th2v23631, Th2v26147
OG0001556	AT1G56110, AT3G12860	Th2v23581, Th2v19843, Th2v23795, Th2v27367
OG0001558	AT5G43090, AT5G43110, AT4G08560	Th2v10326, Th2v01249, Th2v26432
OG0001559	AT1G52890, AT3G15500	Th2v23813, Th2v27350, Th2v21996
OG0001560	AT2G22425, AT4G40042	Th2v12718, Th2v12716, Th2v12715, Th2v12714
OG0001561	AT5G23960	Th2v23915, Th2v23919, Th2v17335, Th2v08642, Th2v08644
OG0001567	AT1G70420, AT1G23710	Th2v25047
OG0001568	AT5G17220, AT3G03190	Th2v22962
OG0001569	AT1G72770, AT1G17550	Th2v09994, Th2v05948, Th2v21069
OG0001570	AT2G41300, AT3G57010	Th2v28449, Th2v06785, Th2v15483, Th2v19938, Th2v31299
OG0001571	AT1G71130, AT1G22985	Th2v08651
OG0001572	AT2G40420, AT3G56200	Th2v22436
OG0001573	AT4G16600, AT2G35710	Th2v10586, Th2v01533, Th2v29524
OG0001574	AT5G05460, AT3G61010, AT3G11040	Th2v20209
OG0001576	AT5G22980, AT3G45010	Th2v18863, Th2v21231
OG0001577	AT5G16500, AT3G02810	Th2v09080, Th2v23002
OG0001578	AT5G59270, AT5G59260	Th2v17829, Th2v18756
OG0001579	AT4G14500, AT3G23080	Th2v19390, Th2v28747
OG0001580	AT1G23330	Th2v04037
OG0001580	AT1G10740	Th2v20702
OG0001581	AT5G47230, AT4G17490	Th2v10626
OG0001582	AT3G56300, AT5G38830	Th2v02005, Th2v02355
OG0001583	AT4G04605, AT4G04555, AT4G04580	Th2v03782
OG0001584	AT5G16400, AT3G02730	Th2v18601, Th2v23010
OG0001585	AT3G11320, AT5G05820	Th2v20236, Th2v08785, Th2v14365, Th2v22190
OG0001586	AT2G45870, AT3G61320	Th2v12870, Th2v22565
OG0001587	AT1G75680, AT1G19940	Th2v05826, Th2v20921, Th2v28056
OG0001588	AT3G12915, AT1G56070	Th2v01032
OG0001589	AT1G75370, AT1G19650	Th2v28037
OG0001590	AT2G35240, AT1G32580	Th2v01499, Th2v10556
OG0001591	AT3G23990	Th2v25348, Th2v28813
OG0001591	AT2G33210	Th2v08070, Th2v16075
OG0001592	AT1G18040, AT1G73690	Th2v21028
OG0001593	AT5G62920, AT3G48100	Th2v14020
OG0001594	AT2G31360, AT1G06080	Th2v15922
OG0001595	AT1G11340, AT1G11410	Th2v14693
OG0001596	AT1G55730, AT1G55720, AT3G13320	Th2v23621, Th2v26164
OG0001597	AT1G03980, AT5G44070	Th2v16162, Th2v27056
OG0001598	AT3G55110, AT3G55130	Th2v22306
OG0001599	AT3G62270, AT2G47160	Th2v20386, Th2v07262, Th2v12988, Th2v22690
OG0001600	AT3G48360, AT5G63160	Th2v09267, Th2v17379, Th2v14049
OG0001601	AT5G23130, AT5G08200	Th2v24116, Th2v11857, Th2v13819
OG0001603	AT1G60780, AT1G10730	Th2v06111, Th2v14820, Th2v04987, Th2v20701
OG0001604	AT1G02890, AT4G02480	Th2v27023, Th2v07940, Th2v16283
OG0001605	AT5G18320, AT5G18330, AT5G18340	Th2v09170, Th2v22844
OG0001606	AT1G65240, AT5G36260	Th2v00624
OG0001608	AT3G23840, AT4G13840	Th2v19483, Th2v28791
OG0001609	AT5G05657, AT5G06330, AT3G11660	Th2v14340, Th2v22164, Th2v20291
OG0001610	AT2G19210, AT2G19230, AT4G29990, AT2G19190	Th2v01697
OG0001611	AT4G11920, AT4G22910	Th2v04504, Th2v10836
OG0001612	AT4G26760, AT5G55230	Th2v21646
OG0001613	AT1G27080, AT1G69870	Th2v24992
OG0001614	AT4G35370, AT4G18900, AT4G18905	Th2v14172, Th2v26713
OG0001615	AT3G48680, AT5G63510	Th2v09284, Th2v17359
OG0001616	AT2G01610, AT1G14890	Th2v05423
OG0001617	AT3G14350, AT1G53730	Th2v00915, Th2v23727
OG0001618	AT1G76590, AT1G21000	Th2v09808
OG0001619	AT3G27630, AT5G40460	Th2v00312, Th2v28915
OG0001620	AT1G03700, AT4G03540	Th2v27050
OG0001621	AT1G18770, AT1G18760	Th2v04803
OG0001622	AT2G46260, AT3G61600	Th2v16396
OG0001623	AT3G25420, AT4G12910	Th2v08580, Th2v25266, Th2v25265, Th2v30841, Th2v30843
OG0001624	AT3G02310, AT5G15800	Th2v09044, Th2v23059
OG0001625	AT5G44310, AT4G21020	Th2v04334
OG0001626	AT5G43460, AT1G04340	Th2v16108, Th2v27077
OG0001627	AT2G44180, AT3G59990	Th2v13398, Th2v26014
OG0001628	AT1G12880, AT3G26690	Th2v00245
OG0001630	AT5G37475, AT1G66070	Th2v05256
OG0001631	AT3G50100, AT5G67240	Th2v00115, Th2v13522
OG0001632	AT5G08000, AT5G61130	Th2v11879, Th2v24092
OG0001633	AT3G26520, AT2G36830	Th2v30813
OG0001635	AT2G17150, AT4G35270	Th2v12143, Th2v02911, Th2v02912
OG0001636	AT5G10040, AT5G65207	Th2v13644, Th2v24230
OG0001637	AT1G35710, AT4G08850	Th2v04749, Th2v04747, Th2v04748
OG0001638	AT1G49000, AT3G18560	Th2v25573, Th2v31302
OG0001639	AT2G34600, AT1G30135	Th2v01374, Th2v10406
OG0001640	AT4G14990, AT3G22270	Th2v18652, Th2v29417, Th2v19325, Th2v29416
OG0001641	AT3G09570, AT5G18520	Th2v03668, Th2v16896
OG0001642	AT1G06920, AT2G30400	Th2v10443, Th2v15839
OG0001643	AT1G62450, AT1G12070	Th2v20591
OG0001644	AT1G63450, AT5G41250	Th2v20505
OG0001645	AT2G28680, AT1G07750	Th2v07567, Th2v15719
OG0001646	AT4G17270, AT5G47540	Th2v17095, Th2v27219
OG0001647	AT5G65690	Th2v30234, Th2v30235
OG0001647	AT4G37870	Th2v12742
OG0001648	AT3G06868, AT5G49100	Th2v11395, Th2v18362
OG0001649	AT5G21950	Th2v17967
OG0001649	AT4G33180	Th2v01931
OG0001650	AT1G02390, AT4G01950	Th2v16324, Th2v16325, Th2v27010
OG0001651	AT5G45630, AT4G18980	Th2v16568
OG0001652	AT2G44430, AT3G60110	Th2v27478, Th2v07117, Th2v07116, Th2v18062
OG0001653	AT5G25810, AT5G11590	Th2v17618, Th2v19284
OG0001654	AT3G03800	Th2v22877
OG0001654	AT5G08080	Th2v00679, Th2v05179
OG0001655	AT4G04450, AT4G22070	Th2v10797, Th2v04427, Th2v16702
OG0001656	AT5G09410, AT5G64220	Th2v13727, Th2v11813, Th2v24184
OG0001657	AT1G12040, AT1G62440	Th2v06005, Th2v14714, Th2v20595
OG0001658	AT4G40060, AT2G22430	Th2v02357, Th2v12720
OG0001659	AT1G06180, AT2G31180	Th2v01161
OG0001660	AT1G76640, AT1G76650	Th2v09811
OG0001661	AT2G37550, AT3G53710	Th2v25253
OG0001662	AT2G18640, AT2G23800	Th2v02410, Th2v03053
OG0001663	AT1G06770	Th2v24583
OG0001663	AT2G30580	Th2v01138, Th2v10459, Th2v15852, Th2v08222
OG0001664	AT2G35020, AT1G31070	Th2v01415, Th2v27842
OG0001665	AT5G10030, AT5G65210	Th2v13645, Th2v24229
OG0001666	AT4G18290, AT5G46240	Th2v27145, Th2v07406, Th2v10672
OG0001667	AT2G47650, AT3G62830	Th2v07299, Th2v29937, Th2v30284
OG0001668	AT4G26570	Th2v21679
OG0001668	AT4G26560, AT5G55990	Th2v09485
OG0001669	AT5G59410	Th2v18774, Th2v21288
OG0001669	AT2G29020	Th2v07534, Th2v15744, Th2v08282
OG0001670	AT5G07940, AT5G07980	Th2v24088, Th2v24089
OG0001671	AT2G14860, AT4G33905	Th2v02743, Th2v12008
OG0001672	AT3G23805, AT4G13950	Th2v19478, Th2v28786
OG0001673	AT2G42380, AT3G58120	Th2v13259, Th2v25894, Th2v06860, Th2v03501
OG0001674	AT3G16980, AT4G16265	Th2v26298, Th2v27673, Th2v25518
OG0001675	AT1G51400, AT3G21055	Th2v24384, Th2v21861
OG0001676	AT3G50160, AT3G50150, AT3G50200, AT3G50170, AT3G50120	Th2v13520
OG0001677	AT1G61150, AT1G11110, AT4G09300	Th2v04969, Th2v20677
OG0001678	AT5G41180, AT1G63430	Th2v06041, Th2v14750, Th2v20502
OG0001679	AT2G42500, AT3G58500	Th2v03492, Th2v06853, Th2v13250
OG0001680	AT4G04260, AT4G22140	Th2v16705, Th2v04432, Th2v06001, Th2v14710
OG0001681	AT5G19360, AT5G12180	Th2v17557, Th2v19212
OG0001682	AT1G49500, AT3G19030	Th2v29538, Th2v30875
OG0001683	AT5G55090, AT4G26890	Th2v21633
OG0001684	AT5G13440, AT5G13430	Th2v03861, Th2v28163
OG0001685	AT3G09620, AT1G20920	Th2v05758, Th2v20851, Th2v31209, Th2v04117, Th2v04118
OG0001686	AT4G10500, AT4G10490	Th2v10902
OG0001687	AT3G07470	Th2v11470, Th2v24779
OG0001688	AT1G02820, AT4G02380	Th2v16292
OG0001689	AT2G45290, AT3G60750	Th2v07052, Th2v18120, Th2v12827, Th2v22515
OG0001690	AT4G11990, AT4G22860	Th2v10834, Th2v04497, Th2v16746
OG0001691	AT1G51913, AT1G51915	Th2v23889, Th2v27436
OG0001691	AT3G21351, AT3G21352	Th2v23887, Th2v27438
OG0001692	AT4G20810, AT4G20340, AT1G03280	Th2v09411, Th2v29730
OG0001693	AT1G74080, AT1G18570	Th2v09886
OG0001694	AT3G57140	Th2v28462
OG0001694	AT5G04040	Th2v14426, Th2v22254
OG0001695	AT5G66480, AT3G50910	Th2v13451, Th2v11680, Th2v14177, Th2v26708
OG0001696	AT4G18425, AT5G46090	Th2v27250
OG0001697	AT1G17455, AT1G72630	Th2v05952, Th2v21073, Th2v10005
OG0001698	AT2G42230, AT3G57890	Th2v03482, Th2v13218, Th2v25856
OG0001699	AT3G12500	Th2v12619
OG0001700	AT3G01020, AT4G04080, AT4G22220	Th2v10806
OG0001701	AT3G61830, AT2G46530	Th2v07210, Th2v12933, Th2v22630
OG0001702	AT4G13520, AT3G24280	Th2v19522, Th2v20728, Th2v25355
OG0001703	AT5G65430, AT5G10450	Th2v11773, Th2v29344
OG0001704	AT5G42880, AT1G45545	Th2v01231, Th2v10317
OG0001705	AT5G52470, AT4G25630	Th2v26914, Th2v28952
OG0001706	AT3G49780, AT5G65870	Th2v13558, Th2v26619
OG0001707	AT3G51330, AT3G51350, AT3G51340	Th2v26752, Th2v14137, Th2v26751
OG0001708	AT1G17950, AT1G73410	Th2v09948
OG0001709	AT1G28395, AT2G33847	Th2v10353
OG0001710	AT3G15890, AT1G52540	Th2v21961
OG0001711	AT2G41630	Th2v06802, Th2v15501, Th2v13175, Th2v25818
OG0001711	AT3G10330	Th2v08818
OG0001712	AT1G10570, AT2G10625, AT1G60220	Th2v06118, Th2v14827
OG0001713	AT3G27430, AT5G40580	Th2v00301, Th2v06384, Th2v15084, Th2v28907
OG0001714	AT3G02880, AT5G16590	Th2v09089, Th2v18587
OG0001715	AT1G27440	Th2v03859
OG0001715	AT5G61840	Th2v24035
OG0001716	AT2G24420, AT4G31340	Th2v02087, Th2v01815, Th2v12383
OG0001717	AT5G49230, AT3G06760	Th2v11383, Th2v08994
OG0001718	AT1G76700, AT1G21080	Th2v09814
OG0001719	AT1G16490, AT1G79180	Th2v10110, Th2v23340
OG0001720	AT2G34030, AT2G34020, AT1G29020, AT1G29025	Th2v26512
OG0001721	AT5G41730, AT1G64300	Th2v04828, Th2v06070, Th2v14779
OG0001722	AT1G51560, AT3G21140	Th2v21870, Th2v24378, Th2v29096
OG0001723	AT4G18970, AT5G45670	Th2v07374, Th2v10705, Th2v27290
OG0001724	AT1G17240, AT1G17250, AT1G72300	Th2v05966, Th2v21088
OG0001725	AT4G26430, AT5G56280	Th2v09508, Th2v21693
OG0001726	AT1G53230, AT3G15030	Th2v30079, Th2v23768, Th2v27395
OG0001727	AT1G63090, AT1G12710	Th2v06038, Th2v14747, Th2v04877, Th2v20538
OG0001728	AT1G22500, AT1G72200	Th2v21151
OG0001729	AT1G44100	Th2v17185, Th2v31323
OG0001729	AT1G77380	Th2v09863
OG0001730	AT2G41860, AT3G57530	Th2v03469, Th2v13191, Th2v25833
OG0001732	AT3G03060, AT5G16930	Th2v18572, Th2v09114, Th2v22976
OG0001733	AT3G11330, AT5G05850	Th2v20239
OG0001734	AT5G25280, AT5G11090	Th2v17457, Th2v18016
OG0001735	AT2G33775, AT1G28270	Th2v10349
OG0001736	AT1G22330, AT1G78260	Th2v04201
OG0001737	AT3G50920, AT5G66450	Th2v11678, Th2v13450
OG0001738	AT1G48440, AT3G17780	Th2v25547
OG0001739	AT1G07480, AT1G07470	Th2v17828, Th2v18754
OG0001740	AT2G17530, AT4G35500	Th2v02479, Th2v02932
OG0001741	AT5G07680, AT5G61430	Th2v13880, Th2v11886, Th2v24064
OG0001742	AT3G02560, AT5G16130	Th2v07039, Th2v18131, Th2v09061
OG0001743	AT1G55920, AT3G13110	Th2v23600, Th2v26195
OG0001744	AT1G21390, AT1G76980	Th2v05727, Th2v20815
OG0001745	AT1G50630, AT3G20300	Th2v21799
OG0001746	AT2G32340, AT1G05270	Th2v16004
OG0001747	AT3G15760, AT1G52565	Th2v00853, Th2v23835, Th2v27328
OG0001748	AT1G12540, AT1G62975	Th2v04885, Th2v06029, Th2v14737
OG0001749	AT3G03160, AT5G17190	Th2v22965, Th2v09121, Th2v18565
OG0001750	AT1G12320, AT1G62840	Th2v04899, Th2v20567
OG0001751	AT5G01280, AT3G09000	Th2v19909
OG0001752	AT2G24320, AT4G31020	Th2v12370
OG0001753	AT5G19420, AT5G12350	Th2v05454, Th2v29003, Th2v17543, Th2v19196
OG0001754	AT1G22480, AT1G72230	Th2v04192, Th2v21150
OG0001755	AT4G23373, AT4G23370, AT4G23390, AT2G20170	Th2v16802
OG0001756	AT5G48640	Th2v24800
OG0001756	AT5G48630	Th2v11447, Th2v24799
OG0001757	AT3G47690, AT5G62500	Th2v11915, Th2v11916, Th2v13977
OG0001758	AT5G61780, AT5G07350	Th2v13908, Th2v11893, Th2v24039
OG0001759	AT5G61590, AT5G07580	Th2v13893, Th2v24054
OG0001760	AT3G22630, AT4G14800	Th2v18672
OG0001761	AT4G12770, AT4G12780	Th2v19605, Th2v25239
OG0001762	AT3G28930, AT3G28940	Th2v05373
OG0001763	AT2G23590, AT2G23600, AT2G23620	Th2v29116, Th2v03070, Th2v12278
OG0001764	AT3G53310	Th2v02792, Th2v02855
OG0001765	AT1G04240, AT5G43700	Th2v16123, Th2v27071
OG0001766	AT2G03760	Th2v28726, Th2v28733, Th2v29990
OG0001767	AT5G08730	Th2v11833
OG0001768	AT2G22630, AT4G37940	Th2v03156, Th2v12736
OG0001773	AT5G51860, AT5G51870	Th2v09301, Th2v26890
OG0001774	AT2G39300, AT3G55060	Th2v03527, Th2v22300
OG0001775	AT5G51480, AT4G25240	Th2v09330, Th2v23500
OG0001776	AT5G14610, AT3G01540	Th2v23162, Th2v06998, Th2v18164
OG0001777	AT5G60520	Th2v18842
OG0001777	AT5G60530	Th2v21246
OG0001778	AT4G38220	Th2v12627
OG0001779	AT3G09810, AT5G03290	Th2v08828, Th2v14445, Th2v20025
OG0001780	AT3G09940, AT5G03630	Th2v20047
OG0001781	AT4G32880	Th2v01972
OG0001781	AT1G52150	Th2v23874, Th2v27453, Th2v21913
OG0001782	AT1G55560, AT3G13400	Th2v23632, Th2v26148
OG0001783	AT4G25660, AT4G25680	Th2v09748, Th2v26916
OG0001784	AT4G20920, AT4G20910	Th2v04329
OG0001785	AT1G77180	Th2v01625, Th2v01627
OG0001786	AT5G01410	Th2v14503, Th2v08969, Th2v19895
OG0001786	AT2G38230, AT2G38210	Th2v14571
OG0001788	AT5G19250, AT3G06035	Th2v18420
OG0001789	AT5G04340, AT1G27730	Th2v10331, Th2v26438
OG0001790	AT3G02780, AT5G16440	Th2v18600, Th2v23007
OG0001791	AT5G61880	Th2v11894, Th2v13913, Th2v30911
OG0001791	AT3G59280	Th2v06904
OG0001792	AT5G05580, AT3G11170	Th2v19898, Th2v08775, Th2v20218
OG0001794	AT4G35360, AT2G17340, AT2G17320	Th2v02922
OG0001795	AT2G20810	Th2v28226
OG0001795	AT1G18580	Th2v05900, Th2v21010, Th2v09885
OG0001796	AT4G31740, AT2G17980	Th2v02709, Th2v11979
OG0001797	AT2G23290, AT4G37260	Th2v03092
OG0001798	AT5G49680	Th2v31577
OG0001798	AT1G58250	Th2v06148, Th2v14856
OG0001800	AT1G12020, AT1G62422	Th2v04913, Th2v06003, Th2v14712
OG0001801	AT3G43110, AT5G20790	Th2v17999, Th2v18977
OG0001802	AT1G50370, AT3G19980	Th2v29976, Th2v25110, Th2v08461
OG0001803	AT1G78870, AT1G16890	Th2v05673, Th2v23309
OG0001804	AT3G04860, AT5G28150	Th2v25409, Th2v11142, Th2v29629
OG0001805	AT5G10740	Th2v17449
OG0001805	AT4G31750	Th2v02071, Th2v12409
OG0001806	AT1G09930	Th2v06145, Th2v14852
OG0001806	AT5G64410	Th2v13703
OG0001807	AT1G59860, AT1G07400, AT2G29500	Th2v07498, Th2v15773
OG0001808	AT1G24190, AT1G70060	Th2v04010, Th2v24970
OG0001809	AT1G70810, AT1G70800, AT1G23140	Th2v04049
OG0001810	AT1G62420, AT1G12030	Th2v04912, Th2v06004, Th2v14713
OG0001811	AT5G13850, AT3G12390	Th2v14295, Th2v22118
OG0001812	AT3G27380, AT5G40650	Th2v28903, Th2v00297, Th2v06387, Th2v15087, Th2v06389
OG0001813	AT5G57625, AT4G25790	Th2v09603
OG0001814	AT1G67920, AT1G24600	Th2v03920
OG0001816	AT2G02180, AT1G14530	Th2v00074, Th2v06514, Th2v15212, Th2v28665
OG0001817	AT1G29160, AT2G34140	Th2v01321, Th2v26521
OG0001818	AT2G17870, AT4G36020	Th2v02448, Th2v02986, Th2v21568
OG0001819	AT3G49370, AT5G24430	Th2v30398
OG0001820	AT4G24010, AT4G24000, AT4G23990	Th2v10877
OG0001821	AT4G30910, AT4G30920, AT2G24200	Th2v01786, Th2v02105
OG0001822	AT4G29730, AT2G19520	Th2v01668, Th2v12484
OG0001823	AT2G16500, AT4G34710	Th2v02525, Th2v12090, Th2v02808
OG0001824	AT1G76090, AT1G20330	Th2v04094, Th2v05803, Th2v20897, Th2v28124
OG0001825	AT1G80780, AT2G32070	Th2v10176, Th2v21404, Th2v30384
OG0001826	AT3G13030, AT3G13020, AT3G13010	Th2v09326, Th2v26204, Th2v30966
OG0001827	AT4G08520, AT3G09800	Th2v09999, Th2v05950, Th2v21071
OG0001828	AT1G21590, AT1G77280	Th2v04123, Th2v09855
OG0001829	AT3G47380, AT5G62350	Th2v13957, Th2v24014
OG0001831	AT4G14290, AT3G23540	Th2v19445
OG0001832	AT1G76020, AT1G20225	Th2v05806, Th2v20900
OG0001833	AT5G44620, AT4G12330	Th2v02672, Th2v19933, Th2v26020, Th2v26021, Th2v26022, Th2v08656, Th2v24407
OG0001834	AT1G05320, AT2G32240	Th2v15996, Th2v27139
OG0001835	AT2G41490, AT3G57220	Th2v03454, Th2v28470
OG0001836	AT4G21280, AT4G05180	Th2v04359, Th2v10767
OG0001837	AT4G04210, AT4G22150	Th2v04433, Th2v16706
OG0001838	AT5G56640, AT4G26260	Th2v09533
OG0001839	AT5G56140, AT4G26480	Th2v21684
OG0001840	AT4G31730, AT2G24762	Th2v01828
OG0001841	AT1G48450, AT3G17800	Th2v26330, Th2v27639
OG0001843	AT2G44670	Th2v07105, Th2v18072, Th2v12775, Th2v22462
OG0001844	AT4G33790	Th2v17936, Th2v18900
OG0001845	AT5G12980	Th2v19138
OG0001845	AT3G20800	Th2v24416, Th2v21840
OG0001846	AT2G32430, AT1G05170	Th2v08116, Th2v16014
OG0001847	AT2G44770, AT3G60260	Th2v27492
OG0001848	AT1G15730	Th2v27299
OG0001848	AT1G80480	Th2v05618
OG0001849	AT4G23800, AT4G11080	Th2v16823, Th2v10866, Th2v10865
OG0001850	AT5G65120, AT5G10110	Th2v11785, Th2v29351
OG0001851	AT4G30430	Th2v12448
OG0001851	AT2G23810	Th2v01749, Th2v02126
OG0001852	AT1G80440, AT1G15670	Th2v10217, Th2v23414
OG0001853	AT5G10050, AT5G65205	Th2v24231
OG0001854	AT2G30440, AT1G06870	Th2v19286, Th2v17306, Th2v29104
OG0001856	AT1G04170, AT4G18330, AT2G18720	Th2v08020, Th2v16136
OG0001857	AT1G51660, AT3G21220	Th2v24406
OG0001858	AT1G19120, AT3G14080	Th2v26119
OG0001859	AT3G20190, AT1G50610	Th2v29912
OG0001861	AT2G21480, AT4G39110	Th2v02317, Th2v12557
OG0001862	AT4G04630, AT4G21970	Th2v04411
OG0001863	AT5G04960, AT3G10710	Th2v20165, Th2v08869, Th2v20166
OG0001864	AT3G58620, AT2G42580	Th2v06865
OG0001865	AT3G61900, AT2G46690	Th2v07219, Th2v12950, Th2v22648
OG0001866	AT1G06120, AT1G06090, AT1G06100	Th2v15925, Th2v15923, Th2v15924
OG0001867	AT1G06750, AT2G30630	Th2v10461, Th2v15854
OG0001868	AT5G19000, AT3G06190	Th2v18407, Th2v24645
OG0001869	AT5G63470, AT3G48590	Th2v23941, Th2v09281, Th2v17362, Th2v14072
OG0001870	AT4G22030, AT4G04480	Th2v16699, Th2v16700
OG0001871	AT2G02955, AT1G42615	Th2v00107
OG0001872	AT2G21640	Th2v12545
OG0001872	AT3G05570, AT4G39235	Th2v02326
OG0001873	AT1G10530, AT1G60010	Th2v05004, Th2v06120, Th2v14829
OG0001874	AT5G39500	Th2v00407, Th2v05361
OG0001874	AT1G13980	Th2v00128, Th2v06491, Th2v15188
OG0001875	AT4G35700, AT4G35610	Th2v12178, Th2v12179
OG0001876	AT5G41100, AT3G26910	Th2v28500
OG0001877	AT3G61760	Th2v20452
OG0001877	AT5G42080	Th2v04824, Th2v20447
OG0001878	AT5G67020, AT3G50340	Th2v13501, Th2v14221, Th2v26661
OG0001879	AT2G41560, AT3G57330	Th2v13172, Th2v25815
OG0001880	AT5G25540, AT5G11440	Th2v17637, Th2v21444
OG0001881	AT3G52770	Th2v30508
OG0001882	AT2G15770, AT2G15340	Th2v02868
OG0001882	AT2G15780	Th2v02866
OG0001883	AT1G16240, AT1G79590	Th2v10147
OG0001884	AT1G72960	Th2v09984
OG0001884	AT3G13870	Th2v00959, Th2v26097
OG0001885	AT1G50040, AT3G19680	Th2v08451, Th2v25082
OG0001886	AT3G15480, AT1G52910	Th2v23810, Th2v27353, Th2v00867, Th2v21998
OG0001887	AT1G23350, AT1G70540	Th2v25059, Th2v25699
OG0001888	AT5G15380, AT5G14620	Th2v23161, Th2v31009
OG0001889	AT3G45610, AT5G60200	Th2v18830, Th2v21253
OG0001890	AT3G53040, AT2G36640	Th2v03642, Th2v29303
OG0001891	AT5G15700	Th2v09039
OG0001891	AT1G68990	Th2v24901, Th2v30760
OG0001892	AT3G19380, AT1G49780	Th2v10725
OG0001893	AT5G06460	Th2v08720
OG0001893	AT2G30110	Th2v01121, Th2v07455, Th2v15814
OG0001894	AT5G03470, AT3G09880	Th2v08840, Th2v20040
OG0001895	AT4G25940, AT5G57200	Th2v09576, Th2v21733
OG0001896	AT1G18900, AT1G74750	Th2v20340
OG0001897	AT2G34300, AT1G29470	Th2v20317, Th2v30277, Th2v31416
OG0001898	AT1G03680, AT4G03520	Th2v07993, Th2v27048, Th2v16192
OG0001899	AT1G78190, AT1G22270	Th2v21141, Th2v27961
OG0001900	AT3G60120	Th2v27480, Th2v12762, Th2v07113, Th2v31453
OG0001901	AT5G19430, AT5G12310	Th2v29005
OG0001902	AT1G16860, AT1G78880	Th2v23311, Th2v05671, Th2v10081
OG0001903	AT5G48580	Th2v24793
OG0001903	AT3G25220	Th2v25272
OG0001904	AT5G47100	Th2v27201, Th2v17054, Th2v10637
OG0001905	AT1G16320, AT1G79510	Th2v05646, Th2v23346
OG0001906	AT4G18670, AT3G24480, AT4G13340	Th2v19543, Th2v25321
OG0001907	AT1G19350, AT1G75080	Th2v05863, Th2v20965
OG0001908	AT4G39640, AT4G39650, AT1G69820	Th2v03212
OG0001909	AT3G12740, AT1G54320	Th2v24492, Th2v13415, Th2v23589
OG0001910	AT1G14460, AT2G02480	Th2v00081
OG0001912	AT3G11850, AT5G06560	Th2v14325, Th2v22149, Th2v17684
OG0001913	AT3G53600, AT2G37430	Th2v16966
OG0001914	AT5G08500, AT5G23575	Th2v11844, Th2v24146
OG0001915	AT5G05350, AT3G10980	Th2v14393, Th2v22221, Th2v20199
OG0001916	AT3G25990, AT1G13450	Th2v00210, Th2v06444, Th2v15143
OG0001917	AT4G23870	Th2v04586, Th2v04585, Th2v10868
OG0001918	AT3G08620	Th2v08988
OG0001918	AT2G38610	Th2v17027
OG0001919	AT1G49390, AT5G20400, AT5G20550	Th2v19001
OG0001920	AT5G65160, AT5G10090	Th2v13641, Th2v24234
OG0001921	AT1G12640, AT1G63050	Th2v04878, Th2v06032, Th2v14740
OG0001922	AT1G22020	Th2v27985
OG0001922	AT1G36370	Th2v04767, Th2v17165
OG0001923	AT2G37890, AT3G53940	Th2v03691, Th2v14594
OG0001924	AT3G47980, AT5G62720	Th2v14009
OG0001925	AT3G55880, AT2G40095	Th2v03387, Th2v06710, Th2v15408
OG0001926	AT2G33790, AT1G28290	Th2v01287, Th2v26479
OG0001927	AT5G11110	Th2v28987
OG0001927	AT5G20280	Th2v18027
OG0001928	AT3G11430, AT5G06090	Th2v08751, Th2v14356, Th2v22180
OG0001929	AT2G19160, AT4G30060	Th2v01703, Th2v02153
OG0001930	AT5G07070, AT5G58380	Th2v17783
OG0001931	AT4G36580, AT2G18330	Th2v02419, Th2v03025, Th2v21530
OG0001932	AT1G49580, AT3G19100	Th2v29985
OG0001933	AT1G49140, AT3G18410	Th2v25563, Th2v26382, Th2v27725
OG0001934	AT3G46600, AT5G59450	Th2v18769, Th2v18770, Th2v21289
OG0001935	AT5G38700, AT4G02170	Th2v07913, Th2v16310
OG0001936	AT4G30470, AT2G23910	Th2v01756, Th2v02124
OG0001937	AT3G27280, AT5G40770	Th2v06395, Th2v15094, Th2v28895
OG0001938	AT5G53540, AT4G27680	Th2v26962, Th2v28352
