Orthogroup	Arabidopsis_thaliana	Thellungiella_parvula
OG0001785	AT1G77180	Sp5g32360.1
OG0001786	AT5G01410	Sp6g40720.1
OG0001786	AT2G38230, AT2G38210	Sp5g15190.1, Sp4g20520.1
OG0001788	AT5G19250	Sp6g25160.1
OG0001788	AT3G06035	Sp3g04980.1
OG0001789	AT5G04340	Sp6g38390.1
OG0001789	AT1G27730	Sp1g23960.1
OG0001790	AT3G02780	Sp3g01810.1
OG0001791	AT5G61880	Sp2g25070.1
OG0001791	AT3G59280	Sp5g03820.1
OG0001792	AT5G05580	Sp6g37280.1
OG0001792	AT3G11170	Sp3g09460.1
OG0001793	AT1G72130	Sp5g27205.1, Sp5g27210.1
OG0001794	AT4G35360	Sp7g33150.1
OG0001794	AT2G17340, AT2G17320	Sp3g30660.1
OG0001795	AT1G18580	Sp1g16540.1, Sp1g16550.1
OG0001796	AT2G17980	Sp3g31410.1
OG0001797	AT2G23290	Sp4g02280.1
OG0001797	AT4G37260	Sp7g34920.1
OG0001798	AT5G49680	Sp4g01560.1
OG0001798	AT1G58250	Sp1g33855.1, Sp1g33860.1, Sp2g05360.1
OG0001800	AT1G12020	Sp1g10690.1
OG0001800	AT1G62422	Sp2g02190.1
OG0001801	AT3G43110	Sp5g18750.1
OG0001801	AT5G20790	Sp6g23730.1
OG0001802	AT1G50370	Sp3g18000.1
OG0001803	AT1G16890	Sp1g15030.1
OG0001804	AT3G04860	Sp3g03680.1
OG0001804	AT5G28150	Sp2g20240.1
OG0001805	AT5G10740	Sp6g32710.1
OG0001805	AT4G31750	Sp7g29540.1
OG0001806	AT1G09930	Sp1g08570.1
OG0001806	AT5G64410	Sp2g27500.1
OG0001807	AT1G59860, AT1G07400, AT2G29500	Sp4g12220.1
OG0001808	AT1G70060	Sp5g25180.1
OG0001809	AT1G70810, AT1G70800	Sp5g25990.1
OG0001809	AT1G23140	Sp1g20600.1
OG0001810	AT1G62420	Sp2g02180.1
OG0001810	AT1G12030	Sp1g10700.1
OG0001811	AT5G13850	Sp6g30150.1
OG0001811	AT3G12390	Sp3g10580.1
OG0001812	AT3G27380	Sp2g16570.1
OG0001812	AT5G40650	Sp7g01210.1
OG0001813	AT5G57625	Sp6g19320.1
OG0001813	AT4G25790	Sp7g23820.1
OG0001814	AT1G24600	Sp1g23170.1
OG0001815	AT2G26865	Sp5g35340.1
OG0001816	AT2G02180	Sp2g13590.1
OG0001816	AT1G14530	Sp1g12890.1
OG0001817	AT1G29160	Sp1g25090.1
OG0001818	AT2G17870	Sp3g31330.1
OG0001818	AT4G36020	Sp7g33800.1
OG0001819	AT3G49370	Sp5g12700.1
OG0001819	AT5G24430	Sp2g22900.1
OG0001820	AT4G24000	Sp7g21960.1
OG0001820	AT4G23990	Sp7g21930.1, Sp7g21950.1
OG0001821	AT4G30910, AT4G30920	Sp7g28790.1
OG0001821	AT2G24200	Sp4g03140.1
OG0001822	AT2G19520	Sp3g32900.1
OG0001823	AT2G16500	Sp3g29770.1
OG0001823	AT4G34710	Sp7g32490.1
OG0001824	AT1G76090	Sp5g31210.1
OG0001824	AT1G20330	Sp1g18050.1
OG0001825	AT1G80780	Sp5g34960.1
OG0001825	AT2G32070	Sp4g14480.1
OG0001826	AT3G13030, AT3G13020, AT3G13010	Sp3g11180.1, Sp3g11170.1
OG0001827	AT4G08520	Sp6g09340.1
OG0001827	AT3G09800	Sp3g08130.1
OG0001828	AT1G21590	Sp1g19120.1
OG0001828	AT1G77280	Sp5g32450.1
OG0001829	AT3G47380	Sp5g14510.1
OG0001829	AT5G62350	Sp2g25520.1
OG0001830	AT1G16760	Sp1g14910.1
OG0001830	AT1G78940	Sp7g07250.1, Sp5g33980.1
OG0001831	AT4G14290	Sp7g12300.1
OG0001831	AT3G23540	Sp3g21200.1
OG0001832	AT1G76020	Sp5g31130.1
OG0001832	AT1G20225	Sp1g17990.1
OG0001834	AT1G05320	Sp1g04190.1
OG0001834	AT2G32240	Sp4g14610.1
OG0001835	AT2G41490	Sp4g23760.1
OG0001835	AT3G57220	Sp5g05360.1
OG0001836	AT4G21280	Sp7g19360.1
OG0001836	AT4G05180	Sp6g03810.1
OG0001837	AT4G04210	Sp6g04570.1, SpUn0110_0010.1
OG0001837	AT4G22150	Sp7g20310.1
OG0001838	AT5G56640	Sp6g18420.1
OG0001838	AT4G26260	Sp7g24250.1
OG0001839	AT5G56140	Sp6g17990.1
OG0001839	AT4G26480	Sp7g24420.1
OG0001840	AT4G31730	Sp7g29530.1
OG0001840	AT2G24762	Sp4g03730.1
OG0001841	AT1G48450	Sp1g35400.1
OG0001841	AT3G17800	Sp3g15920.1
OG0001842	AT2G15830	Sp3g29150.1
OG0001843	AT2G44670	Sp4g26750.1
OG0001844	AT4G33790	Sp7g31530.1
OG0001845	AT5G12980	Sp6g30990.1
OG0001845	AT3G20800	Sp3g18820.1
OG0001846	AT2G32430	Sp4g14800.1
OG0001846	AT1G05170	SpUn0024_0120.1, Sp1g04020.1
OG0001847	AT2G44770	Sp4g26840.1
OG0001847	AT3G60260	Sp5g02940.1
OG0001848	AT1G15730	Sp1g14020.1
OG0001848	AT1G80480	Sp5g35320.1
OG0001849	AT4G23800	Sp7g21760.1
OG0001849	AT4G11080	Sp6g06370.1
OG0001850	AT5G65120	Sp2g28200.1
OG0001850	AT5G10110	Sp6g33290.1
OG0001851	AT2G23810	Sp4g02770.1, Sp4g02750.1, Sp4g02760.1
OG0001852	AT1G80440	Sp5g35380.1
OG0001852	AT1G15670	Sp1g13980.1
OG0001853	AT5G10050	Sp6g33350.1, SpUn0247_0020.1
OG0001853	AT5G65205	Sp2g28290.1
OG0001854	AT2G30440	Sp4g12990.1
OG0001854	AT1G06870	Sp1g05590.1
OG0001855	AT1G31340	Sp1g27180.1
OG0001855	AT2G35635	Sp4g17880.1
OG0001856	AT1G04170, AT4G18330, AT2G18720	Sp1g02990.1
OG0001857	AT1G51660	Sp1g38310.1
OG0001857	AT3G21220	Sp3g19220.1
OG0001858	AT1G19120	Sp1g17040.1
OG0001859	AT3G20190	Sp3g18220.1
OG0001859	AT1G50610	Sp1g37430.1
OG0001861	AT2G21480	Sp4g00640.1
OG0001861	AT4G39110	Sp7g36710.1
OG0001862	AT4G04630	Sp6g04250.1
OG0001862	AT4G21970	Sp7g20160.1
OG0001863	AT5G04960	Sp6g37840.1
OG0001863	AT3G10710	Sp3g09030.1
OG0001864	AT3G58620	Sp5g04250.1
OG0001864	AT2G42580	Sp4g24720.1
OG0001865	AT3G61900	Sp5g01450.1
OG0001865	AT2G46690	Sp4g28730.1
OG0001866	AT1G06120, AT1G06090	Sp1g04900.1
OG0001867	AT1G06750	Sp1g05480.1
OG0001867	AT2G30630	Sp4g13170.1
OG0001868	AT5G19000	Sp6g25390.1
OG0001868	AT3G06190	Sp3g05130.1
OG0001869	AT5G63470	Sp2g26550.1
OG0001870	AT4G04480	Sp6g04420.1
OG0001871	AT2G02955, AT1G42615	Sp2g13990.1
OG0001872	AT3G05570	Sp3g04420.1
OG0001872	AT4G39235	Sp7g36600.1
OG0001873	AT1G10530	Sp1g09170.1
OG0001873	AT1G60010	Sp2g04570.1
OG0001874	AT5G39500	Sp7g02460.1
OG0001874	AT1G13980	Sp1g12340.1
OG0001875	AT4G35610	Sp7g33380.1
OG0001876	AT5G41100	Sp7g00800.1
OG0001876	AT3G26910	Sp2g16030.1
OG0001877	AT3G61760	Sp5g01610.1
OG0001877	AT5G42080	Sp7g00050.1
OG0001878	AT5G67020	Sp2g29650.1
OG0001878	AT3G50340	Sp5g11850.1
OG0001879	AT2G41560	Sp4g23840.1
OG0001879	AT3G57330	Sp4g08220.1, Sp5g05270.1
OG0001880	AT5G25540	Sp2g22000.1
OG0001880	AT5G11440	Sp6g32160.1
OG0001881	AT3G52770	Sp5g09560.1
OG0001882	AT2G15770, AT2G15340	Sp3g29020.1, Sp3g29030.1, Sp3g29040.1
OG0001882	AT2G15780	Sp3g29050.1
OG0001883	AT1G16240	Sp1g14450.1
OG0001883	AT1G79590	Sp5g34650.1
OG0001884	AT1G72960	Sp5g27930.1
OG0001884	AT3G13870	Sp3g12090.1
OG0001885	AT1G50040	Sp1g36900.1
OG0001885	AT3G19680	Sp3g17720.1
OG0001886	AT3G15480	Sp3g13730.1
OG0001886	AT1G52910	Sp1g39480.1
OG0001887	AT1G23350	Sp1g20800.1
OG0001887	AT1G70540	Sp5g25690.1
OG0001888	AT5G15380	Sp5g24600.1
OG0001888	AT5G14620	Sp6g29410.1
OG0001889	AT3G45610	Sp5g15880.1
OG0001889	AT5G60200	Sp6g21830.1
OG0001890	AT3G53040	Sp5g09280.1
OG0001890	AT2G36640	Sp4g18920.1
OG0001891	AT5G15700	Sp6g28430.1
OG0001891	AT1G68990	Sp5g24110.1
OG0001892	AT3G19380	Sp3g17440.1
OG0001892	AT1G49780	Sp1g36680.1
OG0001893	AT5G06460	Sp6g36400.1
OG0001893	AT2G30110	Sp4g12690.1
OG0001894	AT5G03470	Sp6g39260.1
OG0001894	AT3G09880	Sp3g08230.1
OG0001895	AT4G25940	Sp7g23950.1
OG0001895	AT5G57200	Sp6g18930.1
OG0001896	AT1G18900	Sp1g16880.1
OG0001896	AT1G74750	Sp5g29870.1
OG0001897	AT2G34300	Sp4g16560.1
OG0001897	AT1G29470	Sp1g25400.1
OG0001898	AT1G03680	Sp1g02560.1
OG0001898	AT4G03520	Sp6g03540.1
OG0001899	AT1G78190	Sp5g33330.1
OG0001899	AT1G22270	Sp1g19780.1
OG0001900	AT3G60120	Sp5g03090.1
OG0001901	AT5G19430	Sp6g24980.1
OG0001901	AT5G12310	Sp6g31330.1
OG0001902	AT1G16860	Sp1g15000.1
OG0001902	AT1G78880	Sp5g33890.1
OG0001903	AT5G48580	Sp2g18940.1
OG0001903	AT3G25220	Sp3g22850.1, Sp3g22840.1
OG0001904	AT5G47100	Sp2g11910.1
OG0001905	AT1G16320	Sp1g14510.1
OG0001905	AT1G79510	Sp5g34560.1
OG0001906	AT3G24480	Sp3g22250.1
OG0001906	AT4G13340	Sp7g10890.1
OG0001907	AT1G19350	Sp1g17260.1
OG0001907	AT1G75080	Sp5g30210.1
OG0001908	AT4G39650	Sp7g36240.1
OG0001909	AT3G12740	Sp3g10900.1
OG0001909	AT1G54320	Sp1g41860.1
OG0001910	AT1G14460	Sp1g12830.1
OG0001910	AT2G02480	Sp2g13710.1
OG0001911	AT1G31630, AT1G33070, AT1G31640, AT5G26580, AT5G27960, AT5G26650	Sp3g24480.1, Sp2g21290.1
OG0001911	AT1G65330, AT1G65300	Sp6g13570.1
OG0001912	AT3G11850	Sp3g10080.1
OG0001912	AT5G06560	Sp6g36300.1
OG0001913	AT3G53600	Sp5g08750.1
OG0001913	AT2G37430	Sp4g19770.1
OG0001914	AT5G08500	Sp6g34400.1
OG0001914	AT5G23575	Sp2g23620.1
OG0001915	AT5G05350	Sp6g37480.1
OG0001915	AT3G10980	Sp3g09310.1
OG0001916	AT3G25990	Sp2g15210.1
OG0001916	AT1G13450	Sp1g11920.1
OG0001917	AT4G23870	Sp7g21820.1
OG0001918	AT3G08620	Sp3g07070.1
OG0001918	AT2G38610	Sp4g20940.1
OG0001919	AT1G49390	Sp6g24020.1
OG0001919	AT5G20400, AT5G20550	Sp4g12070.1
OG0001920	AT5G65160	Sp2g28240.1
OG0001920	AT5G10090	Sp6g33310.1
OG0001921	AT1G12640	Sp1g11230.1
OG0001921	AT1G63050	Sp2g01520.1
OG0001922	AT1G22020	Sp1g19530.1
OG0001922	AT1G36370	Sp1g30960.1
OG0001923	AT2G37890	Sp4g20200.1
OG0001923	AT3G53940	Sp5g08460.1
OG0001924	AT3G47980	Sp5g14000.1
OG0001924	AT5G62720	Sp2g25890.1
OG0001925	AT3G55880	Sp5g06620.1
OG0001925	AT2G40095	Sp4g22400.1
OG0001926	AT2G33790	Sp4g16170.1
OG0001927	AT5G11110	Sp6g32390.1
OG0001927	AT5G20280	Sp6g24130.1
OG0001928	AT3G11430	Sp3g09660.1
OG0001928	AT5G06090	Sp6g36820.1
OG0001929	AT2G19160	Sp3g32550.1
OG0001929	AT4G30060	Sp7g27840.1
OG0001930	AT5G07070	Sp6g35810.1, Sp6g35800.1
OG0001930	AT5G58380	Sp6g20050.1
OG0001931	AT4G36580	Sp7g34220.1
OG0001931	AT2G18330	SpUn0030_0100.1, Sp3g31730.1
OG0001932	AT1G49580	Sp1g36450.1
OG0001932	AT3G19100	Sp3g17180.1
OG0001933	AT3G18410	Sp1g36030.1, Sp3g16520.1
OG0001934	AT3G46600	Sp5g15090.1
OG0001934	AT5G59450	Sp6g21140.1
OG0001935	AT5G38700	Sp1g01670.1
OG0001935	AT4G02170	Sp6g02070.1
OG0001936	AT4G30470	Sp7g28350.1
OG0001936	AT2G23910	Sp4g02810.1
OG0001937	AT3G27280	Sp2g16430.1
OG0001937	AT5G40770	Sp7g01130.1
OG0001938	AT5G53540	Sp6g15680.1
OG0001938	AT4G27680	Sp7g25660.1
OG0001939	AT5G08300	Sp6g34660.1
OG0001939	AT5G23250	Sp2g23900.1
OG0001940	AT1G17810	Sp1g15890.1
OG0001940	AT1G73190	Sp5g28160.1
OG0001941	AT2G37790	Sp4g20160.1
OG0001941	AT2G37770	Sp4g20140.1
OG0001942	AT2G37960	Sp4g20270.1
OG0001942	AT3G54060	Sp5g08320.1, Sp5g18210.1
OG0001943	AT2G31820	Sp4g14120.1
OG0001944	AT2G18860	Sp3g32330.1
OG0001944	AT4G30240	Sp7g28120.1
OG0001945	AT3G54600	Sp5g07860.1
OG0001945	AT2G38860	Sp4g21240.1
OG0001946	AT5G45810	Sp2g10730.1
OG0001946	AT4G18700	Sp7g17410.1
OG0001947	AT1G77500	Sp5g32660.1
OG0001947	AT1G21740	Sp1g19300.1
OG0001948	AT3G20060	Sp3g18090.1
OG0001948	AT1G50490	Sp1g37330.1
OG0001949	AT5G19510	Sp6g24890.1
OG0001951	AT2G25250	Sp4g04350.1
OG0001951	AT4G32020	Sp7g29820.1
OG0001952	AT4G39950	Sp7g35940.1
OG0001952	AT2G22330	Sp4g01380.1
OG0001953	AT1G20925	Sp1g18630.1
OG0001953	AT1G76530, AT1G76520	Sp5g31690.1, Sp5g31680.1
OG0001954	AT1G15960	Sp1g14270.1
OG0001954	AT1G80830	Sp5g34930.1
OG0001955	AT4G10480	Sp6g06980.1
OG0001956	AT1G14720	Sp1g13160.1
OG0001956	AT2G01850	Sp2g13270.1
OG0001957	AT3G56700	Sp5g05860.1, Sp5g05870.1
OG0001958	AT1G23840, AT1G23830	Sp1g21200.1
OG0001959	AT1G27360	Sp1g23580.1
OG0001959	AT1G27370	Sp1g23590.1
OG0001960	AT1G04810	Sp1g03660.1
OG0001960	AT2G32730	Sp4g15070.1
OG0001961	AT1G24170	Sp1g21520.1
OG0001961	AT1G70090	Sp5g25210.1
OG0001962	AT2G17620	Sp3g30950.1
OG0001962	AT4G35620	Sp7g33390.1
OG0001963	AT2G43240	Sp4g25370.1
OG0001963	AT3G59360	Sp5g03760.1
OG0001964	AT5G47490	Sp2g12210.1
OG0001964	AT5G47480	SpUn0698_0010.1
OG0001965	AT1G76510	Sp5g31670.1
OG0001965	AT1G20910	Sp1g18610.1
OG0001966	AT5G44560	Sp2g09360.1
OG0001967	AT2G46330	Sp4g28370.1
OG0001968	AT5G45130	Sp2g09950.1
OG0001968	AT4G19640	Sp7g18190.1
OG0001969	AT5G18620	Sp6g25710.1
OG0001969	AT3G06400	Sp3g05320.1
OG0001970	AT1G16460	Sp1g14610.1
OG0001970	AT1G79230	Sp5g34280.1
OG0001971	AT1G07160	Sp1g05930.1
OG0001971	AT2G30020	Sp4g12590.1
OG0001972	AT3G15270	Sp3g13470.1
OG0001972	AT1G53160	Sp1g39700.1
OG0001973	AT3G57950	Sp5g04770.1
OG0001973	AT2G42180	Sp4g24360.1
OG0001974	AT1G22520	Sp1g20030.1
OG0001975	AT2G18690, AT2G18680	Sp3g32170.1
OG0001976	AT3G47820	Sp5g14140.1
OG0001976	AT5G62560	Sp2g25730.1
OG0001977	AT5G44480	Sp2g09290.1
OG0001977	AT4G20460	Sp7g18810.1
OG0001978	AT4G15165	Sp7g13390.1
OG0001979	AT3G30775	Sp2g18240.1
OG0001979	AT5G38710	Sp7g03210.1
OG0001980	AT3G03980	Sp3g02950.1
OG0001980	AT5G18210	Sp6g26110.1
OG0001981	AT2G03340	Sp2g14270.1
OG0001981	AT1G13960	Sp1g12320.1
OG0001982	AT4G26010	Sp7g24040.1, Sp7g24030.1
OG0001983	AT5G55120	Sp6g17050.1
OG0001983	AT4G26850	Sp7g24810.1
OG0001984	AT1G14970	Sp1g13360.1
OG0001984	AT2G01480	Sp2g12930.1
OG0001985	AT1G14910	Sp1g13350.1
OG0001985	AT2G01600	Sp2g13040.1
OG0001986	AT1G80050	Sp5g35820.1
OG0001987	AT5G05790	Sp6g37110.1
OG0001987	AT3G11280	Sp3g09550.1
OG0001988	AT2G21330	Sp4g00510.1
OG0001988	AT4G38970	Sp7g36870.1
OG0001989	AT4G14830	Sp7g12980.1
OG0001989	AT3G22530	Sp3g20290.1
OG0001990	AT1G18300	Sp1g16270.1
OG0001990	AT1G73540	Sp5g28700.1
OG0001992	AT3G60800	Sp5g02450.1
OG0001993	AT1G08200	Sp1g06850.1
OG0001993	AT2G27860	Sp4g10690.1
OG0001994	AT3G47710	Sp5g14210.1
OG0001994	AT1G74500	Sp5g29680.1
OG0001995	AT1G02816	Sp1g01790.1
OG0001995	AT4G02370	Sp6g02250.1
OG0001996	AT5G14740	Sp6g29300.1
OG0001996	AT3G01500	Sp3g00570.1
OG0001997	AT4G17980	Sp7g16130.1
OG0001997	AT5G46590	Sp2g11420.1
OG0001998	AT4G28440	Sp7g26420.1
OG0001998	AT1G03810	Sp1g02660.1
OG0001999	AT4G26590	Sp7g24550.1
OG0001999	AT5G55930	Sp6g17780.1
OG0002000	AT1G77240	Sp5g32410.1
OG0002000	AT1G21530	Sp1g19075.1
OG0002001	AT2G02870	Sp2g13950.1
OG0002001	AT1G14330	Sp1g12680.1
OG0002004	AT1G31710	Sp1g27360.1
OG0002005	AT2G43460, AT3G59540	Sp5g03600.1, Sp4g25540.1
OG0002006	AT2G32835	Sp2g04110.1
OG0002007	AT5G18170	Sp6g26150.1
OG0002007	AT3G03910	Sp3g02880.1
OG0002008	AT4G27780	Sp7g25740.1
OG0002008	AT5G53470	Sp6g15600.1
OG0002009	AT1G73200	Sp5g28170.1
OG0002009	AT1G17820	Sp1g15900.1
OG0002010	AT5G01390	Sp6g40700.1
OG0002010	AT3G08910	Sp3g07300.1
OG0002011	AT1G52190	Sp1g38740.1
OG0002011	AT3G16180	Sp3g14550.1
OG0002012	AT4G26600	Sp7g24560.1
OG0002012	AT5G55920	Sp6g17770.1
OG0002013	AT3G62720	Sp5g00800.1
OG0002013	AT4G02500	Sp6g02410.1
OG0002014	AT5G45720	Sp2g10610.1
OG0002014	AT4G18820	Sp7g17530.1
OG0002015	AT3G14310	Sp3g12600.1
OG0002015	AT1G53830	Sp1g40320.1
OG0002016	AT5G50250	Sp6g12350.1
OG0002016	AT4G24770	Sp7g22750.1
OG0002017	AT2G29970	Sp4g12530.1
OG0002017	AT1G07200	Sp1g05960.1
OG0002018	AT5G66310	Sp2g30350.1
OG0002018	AT3G51150	Sp5g11060.1
OG0002019	AT5G65530	Sp2g28630.1
OG0002019	AT5G10520	Sp6g32910.1
OG0002020	AT1G03610	Sp1g02520.1
OG0002020	AT4G03420	Sp6g03480.1
OG0002021	AT2G42960	Sp4g25090.1
OG0002021	AT3G59110	Sp5g03880.1
OG0002022	AT1G53840	Sp1g40330.1
OG0002023	AT3G15950	Sp3g14290.1
OG0002023	AT1G52410	Sp1g39030.1
OG0002024	AT5G04510	Sp6g38240.1
OG0002024	AT3G10540	Sp3g08820.1
OG0002025	AT3G22810	Sp3g20510.1
OG0002025	AT4G14740	Sp7g12850.1
OG0002026	AT4G38350	Sp7g37420.1
OG0002026	AT1G42470	Sp4g10810.1
OG0002027	AT1G76970	Sp5g32130.1
OG0002027	AT1G21380	Sp1g18930.1
OG0002028	AT4G20360	Sp7g18700.1
OG0002029	AT2G46800	Sp4g28830.1
OG0002030	AT1G48940	Sp1g35850.1
OG0002030	AT3G18590	Sp3g16670.1
OG0002031	AT5G20810	Sp6g23720.1
OG0002031	AT3G43120	Sp5g18660.1
OG0002032	AT5G54900	Sp6g16870.1
OG0002032	AT4G27000	Sp7g24960.1
OG0002033	AT1G73950	Sp5g29150.1
OG0002033	AT1G18470	Sp1g16410.1
OG0002034	AT3G45690, AT3G45680	Sp5g15810.1
OG0002035	AT4G27320	Sp7g25240.1
OG0002035	AT5G54430	Sp6g16430.1
OG0002037	AT5G45280	Sp2g10220.1
OG0002037	AT4G19410	Sp7g18030.1
OG0002038	AT1G56030, AT1G56040	Sp1g41640.1
OG0002039	AT1G22810	Sp1g20300.1
OG0002040	AT1G21610	Sp1g19140.1
OG0002040	AT1G77310	Sp5g32490.1
OG0002041	AT5G19090	Sp6g25290.1
OG0002041	AT3G06130	Sp3g05080.1
OG0002042	AT5G06050	Sp6g36860.1
OG0002042	AT2G39750	Sp4g22020.1
OG0002043	AT5G55550	Sp6g17440.1
OG0002043	AT4G26650	Sp7g24620.1
OG0002044	AT1G50930	Sp1g37670.1
OG0002044	AT3G20557	Sp3g18570.1
OG0002046	AT5G60080, AT5G60090	Sp6g21740.1
OG0002047	AT1G22570	Sp1g20075.1
OG0002047	AT1G22550	Sp1g20070.1
OG0002048	AT2G34790	Sp4g17080.1
OG0002048	AT1G30760	Sp1g26650.1
OG0002049	AT1G17530	Sp1g15670.1
OG0002049	AT1G72750	Sp5g27810.1
OG0002050	AT2G40800	Sp4g23120.1
OG0002050	AT3G56430	Sp5g06060.1
OG0002051	AT2G43230	Sp4g25340.1
OG0002052	AT1G23340	Sp1g20790.1
OG0002052	AT1G70550	Sp5g25700.1
OG0002053	AT3G59970	Sp5g03210.1
OG0002053	AT2G44160	Sp4g26240.1
OG0002054	AT3G54250	Sp5g08150.1
OG0002054	AT2G38700	Sp4g21060.1
OG0002056	AT5G06770	Sp6g36080.1
OG0002056	AT3G12130	Sp3g10360.1
OG0002057	AT1G18360	Sp1g16320.1
OG0002057	AT1G73480	Sp5g28660.1
OG0002059	AT5G06510	Sp6g36350.1
OG0002059	AT3G05690	Sp3g04570.1
OG0002060	AT5G04540	Sp6g38220.1
OG0002060	AT3G10550	Sp3g08830.1
OG0002061	AT2G22400	Sp4g01430.1
OG0002061	AT4G40000	Sp7g35870.1
OG0002062	AT4G14440	Sp7g12520.1
OG0002062	AT4G14430	Sp7g12510.1, Sp7g12500.1
OG0002063	AT5G37550	Sp7g04570.1
OG0002063	AT1G66190	Sp5g21250.1
OG0002064	AT5G05610	Sp6g37250.1
OG0002064	AT3G11200	Sp3g09480.1
OG0002065	AT1G15310	Sp1g13630.1
OG0002065	AT5G49500	Sp1g35810.1
OG0002066	AT3G49410	Sp5g12660.1
OG0002066	AT5G24450	Sp2g22880.1
OG0002067	AT1G76940	Sp5g32060.1
OG0002067	AT1G21320	Sp1g18870.1
OG0002068	AT4G24810	Sp7g22800.1
OG0002068	AT5G50330	Sp6g12410.1
OG0002070	AT2G44570	Sp4g26650.1
OG0002070	AT2G44540, AT2G44550, AT2G44560	Sp4g26640.1
OG0002071	AT4G24800	Sp7g22780.1
OG0002071	AT5G63190, AT3G48390	Sp5g13660.1
OG0002072	AT4G20780	Sp7g18850.1
OG0002073	AT1G20030	Sp1g17800.1
OG0002073	AT1G75800	Sp5g30920.1
OG0002074	AT1G49270	Sp1g36160.1
OG0002074	AT3G18810	Sp3g16900.1
OG0002075	AT2G42350	Sp4g24510.1
OG0002075	AT2G42360	Sp4g24520.1
OG0002076	AT5G17600	Sp6g26620.1
OG0002076	AT3G03550	Sp3g02530.1
OG0002077	AT5G46340	Sp2g11190.1
OG0002077	AT1G29890, AT2G34410	Sp4g16680.1
OG0002078	AT5G19160	Sp6g25200.1
OG0002078	AT3G06080	Sp3g05030.1
OG0002079	AT2G19350	Sp3g32720.1
OG0002079	AT4G29850	Sp7g27660.1
OG0002080	AT4G34131	Sp7g31860.1
OG0002080	AT4G34135	Sp7g31870.1
OG0002081	AT4G24960	Sp7g22940.1
OG0002081	AT5G50720	Sp6g12800.1
OG0002082	AT1G53700	Sp1g40240.1
OG0002082	AT3G14370	Sp3g12660.1
OG0002083	AT2G41880	Sp4g24150.1
OG0002083	AT3G57550	Sp5g05040.1
OG0002084	AT3G58000	Sp5g04720.1
OG0002085	AT1G06740	Sp1g05470.1
OG0002086	AT2G20670	Sp3g33910.1
OG0002086	AT4G32480	Sp7g26310.1
OG0002087	AT1G29230	Sp1g25160.1
OG0002087	AT2G34180	Sp4g16490.1
OG0002088	AT1G76140	Sp5g31270.1
OG0002088	AT1G20380	Sp1g18120.1
OG0002089	AT4G37250	Sp7g34910.1
OG0002089	AT2G23300	Sp4g02300.1
OG0002090	AT5G49945	Sp6g11590.1
OG0002090	AT4G24330	Sp7g22330.1
OG0002091	AT5G49910, AT4G24280	Sp7g22280.1
OG0002092	AT5G15080	Sp6g28990.1
OG0002092	AT3G01300	Sp3g00790.1
OG0002093	AT3G09710	Sp3g08050.1
OG0002093	AT5G03040	Sp6g39650.1
OG0002094	AT4G38680	Sp4g00200.1
OG0002095	AT1G50400	Sp1g37230.1
OG0002096	AT2G30575	Sp4g13120.1
OG0002096	AT1G06780	Sp1g05510.1
OG0002097	AT5G14040	Sp6g29960.1
OG0002098	AT1G49475	Sp1g36310.1
OG0002098	AT4G01580, AT3G18960	Sp3g17070.1
OG0002099	AT1G04550	Sp1g03380.1
OG0002099	AT2G33310	Sp4g15620.1
OG0002100	AT1G34180	Sp1g29410.1
OG0002100	AT1G34190	Sp1g29420.1
OG0002101	AT2G32270	Sp4g14660.1, Sp4g11980.1
OG0002101	AT1G05300	Sp1g04160.1
OG0002102	AT5G41600	Sp7g00440.1
OG0002102	AT1G64090	Sp2g00620.1
OG0002103	AT3G06740	Sp3g05710.1
OG0002103	AT5G49300	Sp2g19650.1
OG0002104	AT4G25400	Sp7g23420.1
OG0002104	AT5G51780	Sp6g14020.1
OG0002105	AT3G59050	Sp5g03930.1
OG0002105	AT2G43020	Sp4g25150.1
OG0002106	AT4G04020	Sp6g04720.1
OG0002106	AT4G22240	Sp7g20360.1
OG0002107	AT5G28040	Sp2g20280.1
OG0002107	AT3G04930	Sp3g03750.1
OG0002108	AT1G15760	Sp1g14060.1
OG0002108	AT1G80520	Sp5g35280.1
OG0002109	AT5G42140	Sp5g25570.1
OG0002109	AT1G76950	Sp5g32070.1
OG0002110	AT1G53090	Sp1g39640.1
OG0002110	AT3G15354	Sp3g13540.1
OG0002111	AT4G00850	Sp6g01270.1
OG0002111	AT1G01160	Sp1g01130.1
OG0002112	AT3G44260	Sp5g17030.1
OG0002112	AT5G22250	Sp6g22990.1
OG0002113	AT4G23020	Sp7g21110.1
OG0002113	AT4G11780	Sp6g05680.1
OG0002114	AT1G54220	Sp1g40660.1
OG0002114	AT3G13930	Sp3g12170.1
OG0002115	AT5G16770	Sp6g27350.1
OG0002115	AT3G02940	Sp3g02000.1
OG0002116	AT3G01700	Sp3g00350.1
OG0002116	AT5G14380	Sp6g29640.1
OG0002117	AT4G32940	Sp7g30720.1
OG0002117	AT2G25940	Sp4g05830.1, SpUn0059_0020.1
OG0002118	AT5G05780	Sp6g37120.1
OG0002119	AT1G11990	Sp1g10660.1
OG0002119	AT1G62330	Sp2g02280.1
OG0002120	AT1G63840	Sp2g00850.1
OG0002120	AT5G41400	SpUn0010_0020.1, Sp7g00550.1
OG0002121	AT4G10140	Sp6g07270.1
