Orthogroup	Arabidopsis_thaliana	Camelina_sativa
OG0002213	AT2G37940	Csa06g040680, Csa04g051560
OG0002213	AT3G54020	Csa06g028500, Csa04g040050, Csa09g062480
OG0002214	AT3G49700	Csa04g035220
OG0002214	AT5G65800	Csa11g103040
OG0002215	AT4G25150	Csa10g017830, Csa12g028080, Csa11g019450
OG0002215	AT5G51260	Csa18g022060, Csa02g042950, Csa11g082750
OG0002216	AT2G31910	Csa07g010900, Csa05g029240
OG0002216	AT1G05580	Csa03g006960, Csa14g006900
OG0002217	AT3G01270	Csa19g003310, Csa01g001230, Csa15g001210
OG0002217	AT5G15110	Csa13g017940
OG0002218	AT4G27240	Csa11g016960, Csa12g024680, Csa10g015650
OG0002218	AT5G54630	Csa11g087670, Csa02g055900, Csa18g025920
OG0002219	AT4G26830	Csa11g017370, Csa12g025030, Csa10g015970
OG0002219	AT5G55180	Csa18g026560, Csa11g088350
OG0002220	AT3G02930	Csa15g002650, Csa19g005070
OG0002220	AT5G16730	Csa08g008920, Csa13g019530
OG0002221	AT3G19310	Csa15g027050, Csa19g026830, Csa01g022330
OG0002221	AT1G49740	Csa03g055630, Csa17g085530, Csa14g055970
OG0002222	AT5G23090	Csa20g038010, Csa08g017450, Csa13g027700
OG0002222	AT5G08190	Csa08g056180
OG0002223	AT5G24610	Csa08g020180, Csa13g030340, Csa13g030360, Csa13g030350, Csa20g043780
OG0002223	AT3G49550	Csa09g052170, Csa04g035020, Csa06g023550
OG0002224	AT5G41315	Csa10g049840, Csa02g054680
OG0002224	AT1G63650	Csa16g056360, Csa07g065130, Csa09g098460
OG0002225	AT4G26630	Csa12g025240, Csa11g017630
OG0002225	AT5G55660	Csa11g088900
OG0002226	AT1G13280	Csa17g018610, Csa03g017090, Csa14g016250
OG0002226	AT3G25780	Csa09g008880, Csa04g011010, Csa06g005340
OG0002227	AT5G06480	Csa13g008500, Csa20g008770, Csa08g057990
OG0002227	AT3G11780	Csa19g015950, Csa01g012890, Csa15g015630
OG0002228	AT5G56570	Csa02g059840, Csa18g029480, Csa11g090000
OG0002229	AT1G14230	Csa14g017200
OG0002230	AT3G09380	Csa15g010790
OG0002230	AT1G68310	Csa07g033930, Csa05g084640, Csa16g028330
OG0002231	AT1G71050	Csa09g072380, Csa16g032740, Csa07g037960
OG0002231	AT1G22990	Csa24739s010, Csa14g029230
OG0002232	AT2G19830	Csa15g084530, Csa19g049050, Csa01g044680
OG0002232	AT4G29160	Csa12g020300, Csa11g014350, Csa10g013410
OG0002233	AT5G47550	Csa18g002260, Csa20g082040, Csa11g064170
OG0002234	AT1G54300, AT3G05770	Csa01g006690, Csa04g018500, Csa19g008300, Csa15g007180, Csa19g008310, Csa15g007190
OG0002236	AT1G62380	Csa16g055120, Csa07g063680, Csa09g097000
OG0002236	AT1G12010	Csa03g015710
OG0002237	AT3G16860	Csa15g021780, Csa01g019540, Csa19g023760
OG0002237	AT4G16120	Csa10g029750, Csa12g053320, Csa11g034010
OG0002238	AT3G59500	Csa05g090030, Csa07g005670
OG0002238	AT1G30890	Csa03g034270, Csa14g038770, Csa17g047370
OG0002239	AT2G24400	Csa16g046060, Csa09g088590, Csa07g054370
OG0002239	AT4G31320	Csa10g011220, Csa12g015810, Csa11g012080
OG0002240	AT1G10950	Csa17g014860, Csa14g013670, Csa03g014590
OG0002241	AT5G63680	Csa18g037290
OG0002241	AT5G08570	Csa20g012120, Csa13g010700, Csa08g055660
OG0002242	AT4G22758	Csa12g033940, Csa12g034000, Csa11g023400, Csa11g023420, Csa11g023390, Csa10g020350
OG0002243	AT1G26770	Csa17g034120, Csa14g031940, Csa03g028750
OG0002243	AT1G69530	Csa05g086260, Csa16g030920, Csa07g036260
OG0002244	AT1G49750	Csa14g055980, Csa03g055640, Csa17g085520
OG0002244	AT3G19320	Csa19g026840, Csa01g022340, Csa15g027060
OG0002245	AT1G53470	Csa14g064050, Csa03g060750, Csa17g093900
OG0002245	AT3G14810	Csa01g017350, Csa15g019190
OG0002246	AT5G58930	Csa11g092710, Csa18g032130
OG0002246	AT3G46990	Csa09g045350, Csa06g020790, Csa04g029860
OG0002247	AT4G22050	Csa10g021190, Csa12g036020, Csa12g035980, Csa10g021200, Csa11g026340, Csa11g026390, Csa11g026400, Csa10g023310, Csa12g040560, Csa12g040550
OG0002248	AT5G19060	Csa20g028450, Csa08g011640, Csa13g021950
OG0002248	AT3G06150	Csa15g007720, Csa19g009810
OG0002249	AT4G36590	Csa15g046880, Csa01g028310, Csa19g034350, Csa01g028320, Csa01g028330, Csa19g035360, Csa19g034360, Csa01g028340, Csa10g004680, Csa11g005200, Csa12g004890, Csa12g004870, Csa10g004660, Csa11g005190, Csa11g005170, Csa01g029340
OG0002250	AT1G59610	Csa05g052010
OG0002250	AT1G10290	Csa14g011770
OG0002251	AT5G13090	Csa08g004950, Csa13g015670, Csa20g018430
OG0002251	AT1G24270	Csa17g035940, Csa14g034800, Csa03g030460
OG0002252	AT3G23830	Csa19g035570, Csa19g035560, Csa01g029600, Csa15g047130
OG0002252	AT4G13850	Csa10g032930, Csa00382s100, Csa12g061580
OG0002253	AT5G55050	Csa11g088170, Csa18g026360, Csa02g057440
OG0002254	AT2G38170	Csa06g040930, Csa05g015370, Csa04g051870
OG0002254	AT3G51860	Csa09g058900, Csa04g037680, Csa06g026060
OG0002255	AT3G59920	Csa07g005140
OG0002255	AT2G44100	Csa06g050410, Csa05g006190
OG0002256	AT2G17390	Csa01g032360, Csa15g075640, Csa19g054220
OG0002256	AT4G35450	Csa12g008090, Csa10g006690, Csa11g006320
OG0002257	AT2G20560	Csa19g048150, Csa15g082470
OG0002257	AT4G28480	Csa11g015330, Csa10g014150
OG0002258	AT5G13860	Csa20g019280, Csa13g016590, Csa08g005840
OG0002258	AT3G12400	Csa15g016280, Csa19g016640, Csa01g013500, Csa17987s010
OG0002259	AT1G17790	Csa03g021610, Csa17g023560
OG0002259	AT1G73150	Csa09g077700, Csa07g040300, Csa16g035850
OG0002260	AT1G80160	Csa16g050350, Csa07g059680, Csa09g094860
OG0002260	AT1G15380	Csa17g020960, Csa14g018530, Csa03g019200
OG0002261	AT1G11362	Csa02g042760
OG0002262	AT4G11510	Csa02g020010, Csa02g020040, Csa13g048660
OG0002263	AT1G33607, AT5G08055, AT5G08315	Csa20g011750
OG0002263	AT5G19315	Csa08g011970, Csa20g028960
OG0002267	AT3G57780	Csa09g070350, Csa04g044290, Csa09g069220, Csa06g033590, Csa10g027330
OG0002267	AT2G42320	Csa04g057800, Csa06g048350, Csa05g009280
OG0002268	AT1G20610	Csa17g026410, Csa14g025800
OG0002268	AT1G76310	Csa09g081020, Csa16g040440, Csa07g047850
OG0002269	AT4G14368	Csa10g032190
OG0002269	AT3G23270	Csa15g044290, Csa01g027850, Csa19g033760
OG0002270	AT3G25585	Csa06g005050
OG0002270	AT1G13560	Csa03g017310, Csa17g018860, Csa14g016490
OG0002271	AT1G15270	Csa14g018420
OG0002271	AT1G15270	Csa03g019060
OG0002271	AT3G16040	Csa01g018670
OG0002272	AT1G07510	Csa17g010880
OG0002272	AT2G29080	Csa07g015300, Csa05g035170
OG0002273	AT4G38780	Csa10g030830, Csa12g055410
OG0002273	AT1G80070	Csa16g050450, Csa01176s010
OG0002274	AT3G25230	Csa01g031280, Csa15g052990
OG0002274	AT5G48570	Csa20g041540, Csa11g074730, Csa18g014700
OG0002275	AT5G01570	Csa13g001340, Csa20g001450, Csa08g063230, Csa20g001460
OG0002275	AT3G08880	Csa01g009560, Csa15g010160, Csa19g012240
OG0002276	AT4G03950	Csa14g014380, Csa03g015260, Csa17g015680, Csa17g015670
OG0002276	AT1G61800	Csa09g096350, Csa07g063090, Csa16g053570
OG0002277	AT2G25430	Csa09g091630, Csa16g047060, Csa07g056460
OG0002277	AT4G32285	Csa11g011030, Csa10g010210, Csa12g013760
OG0002278	AT4G17900	Csa10g027390, Csa12g045630, Csa11g030650
OG0002279	AT2G19780	Csa15g084560, Csa16560s010, Csa01g044710, Csa19g049080
OG0002279	AT4G29240	Csa12g019240, Csa10g013340, Csa11g014280
OG0002280	AT3G60350	Csa05g092140, Csa07g004700
OG0002280	AT2G44900	Csa04g062770, Csa05g004370
OG0002281	AT4G03010	Csa13g054150, Csa02g006370, Csa08g050300
OG0002281	AT1G03440	Csa17g005490, Csa03g004540, Csa14g004500
OG0002282	AT2G35585	Csa05g018680, Csa06g038070
OG0002282	AT1G31940	Csa17g050200, Csa03g036330, Csa14g041900
OG0002283	AT4G24630	Csa12g029690, Csa11g020090, Csa10g018410
OG0002283	AT5G50020	Csa18g020590, Csa02g037420, Csa11g081410
OG0002284	AT1G76405	Csa16g040540, Csa07g047960, Csa09g081130
OG0002284	AT1G20816	Csa03g024670, Csa14g026010, Csa17g026670
OG0002285	AT1G12780	Csa17g017030, Csa03g016580
OG0002285	AT1G63180	Csa16g055900, Csa09g097920, Csa07g064570
OG0002286	AT1G68650	Csa16g028690, Csa05g085120, Csa07g034340
OG0002286	AT1G25520	Csa03g029550, Csa14g032850, Csa17g034950
OG0002287	AT5G04410	Csa13g006410
OG0002287	AT3G10500	Csa15g014000, Csa01g011380
OG0002288	AT1G69460	Csa05g086170, Csa16g030820, Csa07g036170
OG0002288	AT1G26690	Csa14g032020, Csa03g028840, Csa17g034210
OG0002289	AT3G17920	Csa19g025160, Csa01g020680, Csa04497s010
OG0002289	AT1G48540	Csa03g053340, Csa14g054620
OG0002290	AT3G07195	Csa01g008210, Csa19g010900, Csa15g008920
OG0002290	AT5G48657	Csa18g014800, Csa20g041650, Csa11g074830
OG0002291	AT5G65925	Csa18g039780, Csa11g103210, Csa02g075020
OG0002291	AT3G49820	Csa09g052550, Csa06g023860, Csa04g035360
OG0002292	AT1G58080	Csa07g019440, Csa05g066150
OG0002292	AT1G09795	Csa17g013360, Csa03g013150
OG0002293	AT1G59725	Csa07g017220, Csa16g017650, Csa05g050960
OG0002293	AT1G10350	Csa14g011850, Csa17g013980, Csa03g013770
OG0002294	AT2G34355	Csa04g046610, Csa05g020930
OG0002294	AT2G34350	Csa05g020940, Csa04g046600, Csa06g036780, Csa13766s010
OG0002295	AT1G59980	Csa07g016840, Csa05g048500
OG0002295	AT1G24120	Csa03g028060, Csa14g031220, Csa17g032330
OG0002296	AT1G54340	Csa17g097100
OG0002296	AT1G65930	Csa16g023270, Csa07g029870
OG0002297	AT1G76300	Csa07g047840, Csa09g081010, Csa16g040430
OG0002297	AT1G20580	Csa14g025790, Csa03g024410, Csa17g026400
OG0002298	AT4G20390	Csa12g038900, Csa11g025830, Csa10g022830
OG0002298	AT5G44550	Csa18g009130, Csa11g070130, Csa29110s010, Csa20g071700
OG0002299	AT2G26160	Csa06g026620
OG0002299	AT1G44080	Csa17g070780
OG0002299	AT4G35733	Csa10g006350, Csa12g007710, Csa11g005990
OG0002300	AT3G26960	Csa06g006840, Csa09g011710, Csa04g013700
OG0002300	AT5G41050	Csa10g049590, Csa11g059600, Csa12g077530
OG0002301	AT2G29990	Csa05g033920, Csa16g014960
OG0002301	AT1G07180	Csa17g010580, Csa14g008600
OG0002302	AT2G45440	Csa05g003840
OG0002302	AT3G60880	Csa05g092770, Csa16g004020, Csa07g004000
OG0002303	AT4G32380	Csa12g013640, Csa10g010080
OG0002303	AT4G32370	Csa10g010090, Csa12g013650, Csa11g010920
OG0002304	AT4G28420	Csa11g015430, Csa12g022110, Csa10g014210
OG0002304	AT2G20610	Csa04672s010, Csa01g043660, Csa19g048070, Csa15g082360
OG0002305	AT5G65750	Csa18g039580
OG0002305	AT3G55410	Csa04g041670, Csa09g067400, Csa06g030030
OG0002306	AT4G15760	Csa12g053840, Csa10g030210, Csa11g034530
OG0002307	AT4G21880	Csa12g036270, Csa11g024400, Csa10g021440
OG0002307	AT4G04790	Csa08g048820, Csa02g011250, Csa13g052650
OG0002308	AT1G19710	Csa17g025530, Csa03g023550, Csa14g025000
OG0002308	AT1G75420	Csa09g080040, Csa07g046900, Csa16g039330
OG0002309	AT2G41140	Csa05g011520
OG0002309	AT3G56760	Csa04g043140, Csa09g069170
OG0002310	AT1G69990	Csa07g036770, Csa05g088930, Csa16g031580
OG0002310	AT1G27190	Csa17g033520, Csa03g028250, Csa14g031420
OG0002311	AT3G53690	Csa09g062100, Csa06g028150, Csa04g039720
OG0002312	AT1G23760	Csa17g030880, Csa14g030870, Csa03g027580
OG0002312	AT1G70370	Csa07g037210, Csa09g071620
OG0002313	AT3G02790	Csa15g002480, Csa01g002390, Csa19g004890
OG0002313	AT5G16470	Csa16826s010, Csa20g024330, Csa13g019260, Csa08g008630
OG0002314	AT5G67500	Csa18g039940, Csa11g103350, Csa02g075160
OG0002315	AT1G10970	Csa03g014610, Csa14g013690, Csa17g014880
OG0002315	AT1G60960	Csa09g095480, Csa07g062120, Csa16g052840
OG0002316	AT4G38200	Csa12g001020, Csa11g001100
OG0002316	AT4G35380	Csa10g006740, Csa12g008140
OG0002317	AT1G13860	Csa03g017610, Csa17g019250, Csa14g016840
OG0002317	AT2G03480	Csa04g009060, Csa04852s010, Csa09g006790, Csa06g004450
OG0002318	AT3G50800	Csa06g024890, Csa04g036510, Csa09g002590
OG0002319	AT1G33770	Csa17g058170, Csa14g043670, Csa03g037990
OG0002319	AT4G10010	Csa02g026900, Csa08g038870, Csa13g047040
OG0002320	AT5G09660	Csa08g054980, Csa13g011350, Csa20g012840
OG0002320	AT2G22780	Csa09g087070, Csa16g044530, Csa07g052870
OG0002321	AT1G20340	Csa14g025600, Csa17g026190, Csa37955s010, Csa03g024200
OG0002322	AT2G24060	Csa07g053990, Csa09g088180, Csa16g045670
OG0002322	AT4G30690	Csa12g016430, Csa10g011800, Csa11g012650
OG0002323	AT3G49960	Csa04g035540, Csa09g052760, Csa06g024030, Csa16588s010
OG0002323	AT5G67400	Csa11g103460, Csa18g040050, Csa02g075280, Csa02g075270
OG0002324	AT4G30550	Csa11g012830, Csa12g016610, Csa02593s010
OG0002324	AT2G23970	Csa09g088090, Csa07g053900, Csa16g045590
OG0002325	AT3G24780	Csa20g018460, Csa05g030390, Csa15g051580, Csa01g030870
OG0002326	AT5G04130	Csa13g006160, Csa20g005320, Csa08g060390
OG0002326	AT3G10270	Csa01g011130, Csa15g012770
OG0002327	AT3G28500	Csa09g019790, Csa06g009720
OG0002327	AT5G40040	Csa12g081130, Csa11g057170, Csa10g047640
OG0002328	AT5G03890	Csa13g003990, Csa20g005080, Csa08g060600
OG0002328	AT3G10120	Csa01g010940, Csa15g012570, Csa19g013650
OG0002329	AT5G27470	Csa20g055680, Csa08g028170, Csa13g036380
OG0002330	AT2G39280	Csa05g013970, Csa06g043250, Csa04g053270
OG0002330	AT3G55020	Csa06g029530, Csa04g041200
OG0002331	AT4G39550	Csa11g002560, Csa11g002570
OG0002332	AT1G51040	Csa14g059340
OG0002332	AT1G49340	Csa17g081040
OG0002333	AT2G16230	Csa15g072060, Csa19g050790
OG0002333	AT4G34480	Csa12g009100, Csa10g007650, Csa12g009090, Csa11g007450
OG0002334	AT2G36680	Csa04g050200, Csa06g039300, Csa05g017360
OG0002334	AT3G53120	Csa09g061390, Csa04g039060, Csa06g027570
OG0002335	AT2G44010	Csa06g050340, Csa05g006280, Csa04g061850
OG0002335	AT3G59880	Csa05g091500, Csa16g006070, Csa07g005200, Csa07g005190
OG0002336	AT2G28860, AT2G28850	Csa05g035540, Csa16g016150
OG0002336	AT2G34490	Csa06g036930, Csa05g020780
OG0002336	AT2G34500	Csa05g020770
OG0002337	AT1G37130	Csa03g040490
OG0002337	AT1G77760	Csa07g050440
OG0002338	AT3G02980	Csa01g002640, Csa19g005120, Csa15g002690
OG0002338	AT5G16800	Csa08g009000, Csa20g024720, Csa13g019610
OG0002339	AT2G32960	Csa16g008390, Csa05g023630
OG0002339	AT1G05000	Csa14g006240, Csa03g006330
OG0002340	AT3G63380	Csa07g001250
OG0002340	AT3G22910	Csa01g027280, Csa19g033190, Csa15g040690
OG0002341	AT3G03010	Csa15g002730, Csa19g005150, Csa01g002680
OG0002341	AT5G16870	Csa13g019700, Csa08g009080, Csa20g024800
OG0002342	AT5G26120	Csa20g051510, Csa08g023950, Csa13g034120
OG0002342	AT3G10740	Csa01g011670, Csa19g014420, Csa15g014280
OG0002343	AT1G32610	Csa03g037180, Csa14g042850
OG0002343	AT2G35230	Csa06g037740, Csa04g047540, Csa05g020030
OG0002344	AT1G33480	Csa17g055840, Csa14g043470, Csa03g037760
OG0002344	AT4G10150, AT4G10160	Csa02g026700, Csa08g039100, Csa13g047230
OG0002345	AT4G12000	Csa13g050190, Csa02g015960, Csa08g044290
OG0002345	AT4G22850	Csa10g020230, Csa11g023250, Csa12g033830
OG0002346	AT2G46940	Csa04g066090, Csa05g002190, Csa06g053470
OG0002346	AT3G62070	Csa07g002550, Csa16g002580, Csa05g094320
OG0002347	AT5G25450	Csa20g048850, Csa08g023140
OG0002347	AT4G32470	Csa10g009990, Csa11g010790, Csa12g013550
OG0002348	AT5G46610	Csa20g080750, Csa18g003430, Csa11g065360
OG0002348	AT4G17970	Csa11g030570, Csa12g045560, Csa10g027270, Csa10g027260
OG0002349	AT1G31660	Csa14g041610, Csa03g035020, Csa17g061140, Csa10g003430
OG0002350	AT4G08510	Csa02g024640, Csa13g041660, Csa08g034540
OG0002350	AT1G36990	Csa17g067040, Csa14g047400, Csa03g040450
OG0002351	AT5G07120	Csa13g009140, Csa20g009490, Csa08g057320
OG0002351	AT5G37050, AT5G58440	Csa11g092140, Csa18g031600, Csa02g064060
OG0002352	AT1G61930	Csa09g096480, Csa16g053680, Csa07g063240
OG0002352	AT1G11700	Csa03g015370, Csa17g015780, Csa14g014490
OG0002353	AT5G09670	Csa20g012850, Csa08g054970, Csa13g011360
OG0002353	AT5G64550	Csa02g073320, Csa18g038200, Csa11g101680
OG0002354	AT3G20760	Csa15g031110, Csa01g023830, Csa19g028730
OG0002354	AT1G51130	Csa14g049130, Csa14g059480, Csa03g058040, Csa17g089900
OG0002355	AT5G66910	Csa18g040610
OG0002356	AT3G62990	Csa07g001620, Csa16g001630
OG0002356	AT2G47950	Csa05g001210, Csa04g068070, Csa11g016090, Csa06g054460
OG0002357	AT4G15900	Csa11g034320, Csa10g030050, Csa12g053660
OG0002358	AT1G15770	Csa17g021360, Csa20g078010, Csa11g066040
OG0002358	AT1G15780	Csa14g019030, Csa14g018870, Csa03g019550, Csa17g021370
OG0002359	AT4G17410	Csa11g031310, Csa10g028030, Csa12g048300
OG0002359	AT5G47430	Csa20g081890, Csa11g064330, Csa18g002400, Csa01173s010
OG0002360	AT2G20260	Csa00441s070, Csa01g044170, Csa19g048590
OG0002360	AT4G28750	Csa11g014780, Csa10g013820, Csa12g020660
OG0002361	AT3G04550	Csa19g006710, Csa15g005510, Csa01g005270
OG0002361	AT5G28500	Csa20g057520, Csa08g029950, Csa13g038040
OG0002362	AT4G37580	Csa10g003540, Csa11g003970
OG0002362	AT2G23060	Csa16g044760, Csa07g053090, Csa09g087330
OG0002363	AT5G03790	Csa08g060700, Csa13g003850, Csa20g003940
OG0002364	AT2G31730	Csa16g009840, Csa05g029430
OG0002364	AT1G05710	Csa14g007070, Csa03g007120, Csa17g009110
OG0002365	AT3G01520	Csa19g001410, Csa10g042370, Csa00532s250, Csa03360s010
OG0002365	AT5G14680	Csa20g021220, Csa08g006740, Csa13g017510
OG0002366	AT5G23700	Csa13g028220, Csa08g018020, Csa20g038730
OG0002366	AT3G48860	Csa06g022680, Csa09g051060, Csa04g034070
OG0002367	AT3G50650	Csa09g053620, Csa04g036270, Csa06g024650
OG0002367	AT5G66770	Csa02g075990, Csa11g104190, Csa12301s010, Csa18g040790, Csa18g040770
OG0002368	AT1G10360	Csa14g011860, Csa03g013780, Csa17g013990
OG0002368	AT1G10370	Csa03g013800, Csa14g011890, Csa17g014010
OG0002370	AT3G23340	Csa15g044440, Csa01g027930, Csa19g033850
OG0002370	AT4G14340	Csa10g032240, Csa12g057570
OG0002372	AT1G56010	Csa17g095950, Csa03g062660, Csa14g067910
OG0002372	AT3G12977	Csa15g016960, Csa01g014150, Csa19g017210
OG0002373	AT1G25400	Csa03g029710, Csa17g035110, Csa14g034020
OG0002373	AT1G68440	Csa16g028460, Csa05g084810, Csa07g034090
OG0002374	AT2G21210	Csa07g051400, Csa09g085590, Csa16g043010
OG0002374	AT4G38840	Csa11g001740, Csa10g001560, Csa12g001640
OG0002375	AT3G05130	Csa15g006350, Csa19g007390, Csa01g005920
OG0002375	AT5G27330	Csa19g040270, Csa20g055890, Csa13g036570, Csa08g028360, Csa09g008790
OG0002376	AT1G72330	Csa16g035030, Csa09g075930
OG0002376	AT1G17290	Csa14g021540, Csa03g021080
OG0002377	AT4G14840	Csa10g031500, Csa11g037000
OG0002377	AT3G22520	Csa15g038150, Csa19g031760, Csa01g025770
OG0002378	AT4G26100	Csa12g025970
OG0002378	AT5G57015	Csa18g029970, Csa02g061440, Csa11g090560
OG0002379	AT1G52230	Csa03g059240, Csa14g060480, Csa17g092190
OG0002379	AT3G16140	Csa15g020980, Csa19g023010, Csa01g018790
OG0002380	AT3G56860	Csa06g031570, Csa09g069260, Csa04g043240
OG0002380	AT2G41060	Csa06g046950, Csa04g055490
OG0002381	AT5G09770	Csa20g012950, Csa13g011440, Csa08g054890
OG0002381	AT5G64650	Csa11g101770, Csa18g038290, Csa02g074140
OG0002382	AT4G31670	Csa10g010870, Csa12g014400, Csa11g011750
OG0002382	AT2G24640	Csa07g054630, Csa16g046290
OG0002383	AT5G57560	Csa18g030580, Csa02g062070
OG0002384	AT4G25990	Csa12g026100, Csa10g016920, Csa11g018400
OG0002384	AT5G57180	Csa02g061630, Csa11g090740, Csa18g030160
OG0002385	AT3G61560	Csa16g003590, Csa05g093610, Csa07g003170
OG0002385	AT2G46170	Csa06g052590, Csa05g003040, Csa04g065190
OG0002386	AT1G74560	Csa16g038490, Csa07g045960, Csa09g079150
OG0002386	AT1G18800	Csa03g022680, Csa17g024620, Csa14g024160
OG0002387	AT1G70140	Csa05g089150, Csa07g036970, Csa16g031760
OG0002387	AT1G24150	Csa17g032400, Csa14g031260, Csa03g028110
OG0002388	AT4G38950	Csa10g001660, Csa12g001730, Csa11g001830
OG0002388	AT2G21300	Csa09g085680, Csa07g051480, Csa16g043090
OG0002389	AT4G25440	Csa10g017500, Csa12g027720
OG0002389	AT5G51980	Csa02g044950, Csa11g083620, Csa18g022860
OG0002390	AT2G23130	Csa16g044850, Csa07g053170, Csa09g087410
OG0002390	AT4G37450	Csa10g003690, Csa12g003890, Csa11g004150
OG0002391	AT1G16380	Csa17g021940, Csa03g020100
OG0002391	AT1G79400	Csa07g058470, Csa16g049010
OG0002392	AT1G71770	Csa07g038650, Csa16g034390
OG0002392	AT1G22760	Csa03g026620, Csa14g027960, Csa17g029690
OG0002393	AT1G51900	Csa14g060160, Csa14g062040, Csa17g092840
OG0002393	AT2G14830	Csa01g035580, Csa19g046070, Csa15g069960
OG0002394	AT4G30130	Csa10g012400, Csa11g013300, Csa12g017080
OG0002394	AT2G19090	Csa15g079830, Csa01g042300, Csa19g056150
OG0002395	AT5G19110	Csa00641s010, Csa20g028670, Csa08g011720, Csa08g011710, Csa13g022010, Csa20g028640
OG0002396	AT3G15630	Csa15g020230, Csa01g018260, Csa19g022420
OG0002396	AT1G52720	Csa17g092800, Csa03g059700, Csa14g061990
OG0002397	AT2G18969	Csa01g042200, Csa19g056030, Csa15g079730
OG0002397	AT4G30180	Csa10g012320, Csa12g017010, Csa11g013230
OG0002398	AT2G02810	Csa06g002820, Csa09g005040, Csa04g008320
OG0002398	AT1G14360	Csa03g018070, Csa17g019770, Csa14g017350
OG0002399	AT1G04450	Csa17g007670, Csa03g005760, Csa14g005640
OG0002399	AT2G33460	Csa07g007920, Csa05g022950, Csa16g007780
OG0002400	AT1G04470	Csa17g007690
OG0002400	AT2G33420	Csa07g007970
OG0002401	AT4G04910	Csa13g052790, Csa02g011100
OG0002402	AT5G49020	Csa11g078240
OG0002402	AT3G06930	Csa15g008580, Csa01g007920, Csa19g010630, Csa19g010610
OG0002403	AT3G59890	Csa07g005170, Csa05g091510
OG0002403	AT2G44040	Csa06g050360, Csa05g006260, Csa04g061870
OG0002404	AT3G05820	Csa01g006730, Csa19g008350, Csa15g007240
OG0002404	AT1G56560	Csa05g063340, Csa07g026500
OG0002405	AT5G61390	Csa18g034700, Csa11g097170, Csa02g068340
OG0002405	AT5G07710	Csa20g010140, Csa13g009740, Csa08g056680
OG0002406	AT1G80820	Csa09g094110, Csa15363s010, Csa16g049560, Csa07g059000
OG0002406	AT1G15950	Csa03g019750, Csa17g021540, Csa14g020080
OG0002407	AT3G01015	Csa15g001600, Csa01g001560, Csa19g002650
OG0002407	AT5G15510	Csa08g007650, Csa20g022020, Csa13g018320
OG0002408	AT4G21810	Csa12g036400, Csa10g021520, Csa11g024490
OG0002408	AT4G04860	Csa02g011180, Csa08g048860, Csa13g052710, Csa13g052700
OG0002409	AT2G33330	Csa05g023130, Csa07g008120, Csa16g007960
OG0002409	AT1G04520	Csa17g007740, Csa14g005720, Csa03g005830
OG0002410	AT3G01516	Csa10g042360, Csa00532s260, Csa19g001420
OG0002410	AT5G14690	Csa13g017520, Csa20g021230, Csa08g006750
OG0002411	AT1G25560	Csa17g034910, Csa03g029510, Csa14g032810
OG0002411	AT1G68840	Csa16g028940, Csa07g034530, Csa05g085430, Csa05g085440
OG0002412	AT1G10940	Csa17g014850, Csa14g013660, Csa03g014580
OG0002412	AT1G60940	Csa09g095460
OG0002413	AT1G02800	Csa03g002830
OG0002413	AT4G02290	Csa02g005520, Csa08g052180, Csa13g054940
OG0002414	AT3G49970	Csa06g024050, Csa09g052790, Csa04g035550
OG0002414	AT5G67385	Csa18g040070, Csa02g075300
OG0002415	AT1G66460	Csa07g030640, Csa05g072090, Csa16g023940
OG0002415	AT5G37790	Csa10g042840, Csa12g076260, Csa11g051620
OG0002416	AT3G22380	Csa19g031610, Csa15g036970, Csa01g025610
OG0002417	AT5G21090	Csa20g033150, Csa13g025100, Csa08g014920
OG0002417	AT3G43740	Csa04g022570, Csa06g015520, Csa09g032900
OG0002418	AT1G70440	Csa09g071700, Csa07g037290, Csa16g032020
OG0002418	AT1G23550	Csa17g030680, Csa03g027430, Csa14g030790
OG0002420	AT2G16300, AT2G16290	Csa19g050860, Csa15g072120, Csa01g034740, Csa01g033350, Csa15g027660, Csa19g039950, Csa15g056880, Csa01g036560
OG0002421	AT2G21490	Csa09g085890, Csa07g051650, Csa16g043300, Csa33030s010
OG0002421	AT4G39130	Csa10g001880, Csa12g001960, Csa11g002070
OG0002422	AT5G40720	Csa10g049240, Csa11g059160, Csa12g078160
OG0002422	AT3G27330	Csa09g014260, Csa04g015280
OG0002423	AT3G60620	Csa07g004320, Csa16g004280, Csa05g092430
OG0002423	AT2G45150	Csa04g063050, Csa06g051540, Csa05g004120
OG0002424	AT1G05830	Csa14g007190, Csa17g009230, Csa03g007250, Csa13g037970, Csa03g007260
OG0002424	AT2G31650	Csa16g009920, Csa05g029520, Csa07g011200
OG0002425	AT2G46660	Csa04g065780, Csa05g002490
OG0002425	AT3G61880	Csa07g002720, Csa05g094070
OG0002426	AT2G14880	Csa01g035670, Csa19g046180, Csa00567s030
OG0002426	AT4G34290	Csa11g008660, Csa12g009380, Csa10g007890
OG0002427	AT5G44700	Csa20g071970
OG0002427	AT4G20140	Csa11g026090, Csa12g039150, Csa10g023040
OG0002428	AT4G36870	Csa12g004570
OG0002428	AT2G23760	Csa09g087930, Csa16g045430, Csa07g053750
OG0002429	AT5G43810	Csa20g068720, Csa18g010080
OG0002429	AT1G48410	Csa14g054450, Csa17g079090, Csa03g053190
OG0002430	AT1G23880	Csa03g027680
