Orthogroup	Arabidopsis_thaliana	Boechera_stricta
OG0001067	AT3G49340	Bostr.18473s0014.1.p
OG0001068	AT1G17610	Bostr.7128s0370.1.p
OG0001068	AT5G40090	Bostr.3751s0038.1.p, Bostr.3751s0027.1.p, Bostr.3751s0036.1.p, Bostr.3751s0042.1.p, Bostr.3751s0041.1.p, Bostr.3751s0024.1.p, Bostr.3751s0033.1.p, Bostr.3751s0029.1.p
OG0001069	AT3G23260	Bostr.19424s0315.1.p
OG0001070	AT1G17920	Bostr.7128s0399.1.p
OG0001070	AT1G73360	Bostr.10273s0021.1.p
OG0001071	AT2G16225	Bostr.18351s0041.1.p
OG0001071	AT2G41415	Bostr.11568s0039.1.p
OG0001071	AT1G10747	Bostr.1774s0021.1.p
OG0001072	AT1G65660	Bostr.26959s0345.1.p
OG0001074	AT2G43840	Bostr.25993s0391.1.p
OG0001074	AT2G43820	Bostr.25993s0392.1.p
OG0001075	AT4G25760	Bostr.7867s0392.1.p
OG0001075	AT5G57685	Bostr.26833s0486.1.p
OG0001076	AT1G74950	Bostr.3288s0143.1.p
OG0001076	AT1G19180	Bostr.7128s0524.1.p
OG0001077	AT5G39850	Bostr.10058s0010.1.p
OG0001077	AT5G15200	Bostr.2902s0255.1.p
OG0001078	AT5G15250	Bostr.2902s0260.1.p
OG0001078	AT1G06430	Bostr.25219s0314.1.p
OG0001078	AT2G30950	Bostr.24513s0135.1.p
OG0001079	AT3G60600	Bostr.13158s0060.1.p
OG0001079	AT2G45140	Bostr.25993s0260.1.p
OG0001080	AT2G25760	Bostr.26326s0077.1.p
OG0001080	AT3G13670	Bostr.3640s0159.1.p
OG0001081	AT1G29520	Bostr.15697s0245.1.p
OG0001081	AT5G46530	Bostr.4485s0014.1.p
OG0001082	AT5G05370	Bostr.13129s0426.1.p
OG0001082	AT3G10860	Bostr.19424s1011.1.p
OG0001083	AT1G18486	Bostr.7128s0455.1.p
OG0001083	AT4G02655	Bostr.2983s0193.1.p
OG0001084	AT3G53330	Bostr.11793s0062.1.p
OG0001085	AT5G52130	Bostr.7305s0005.1.p
OG0001085	AT5G52155	Bostr.7305s0052.1.p
OG0001085	AT5G52140	Bostr.13083s0052.1.p, Bostr.7305s0054.1.p
OG0001086	AT3G26870	Bostr.0556s0358.1.p
OG0001086	AT3G26860	Bostr.0556s0357.1.p
OG0001086	AT3G27329, AT3G27331, AT2G24870, AT3G27680, AT2G24880	Bostr.0556s0413.1.p
OG0001088	AT4G24260	Bostr.7867s0233.1.p
OG0001088	AT5G49720	Bostr.15774s0104.1.p
OG0001089	AT4G34650	Bostr.7867s1326.1.p
OG0001089	AT4G34640	Bostr.7867s1325.1.p
OG0001090	AT3G23810	Bostr.19424s0256.1.p
OG0001090	AT4G13940	Bostr.9017s0018.1.p
OG0001091	AT3G26590	Bostr.0556s0329.1.p
OG0001091	AT1G12950	Bostr.13671s0155.1.p
OG0001092	AT1G77510, AT3G62510	Bostr.20129s0186.1.p
OG0001092	AT1G21750	Bostr.12659s0026.1.p
OG0001093	AT2G18550	Bostr.18351s0323.1.p
OG0001093	AT4G36740	Bostr.7867s1530.1.p
OG0001096	AT3G63030	Bostr.13158s0305.1.p
OG0001096	AT4G22745	Bostr.7867s0060.1.p
OG0001097	AT5G53870	Bostr.26833s0890.1.p
OG0001097	AT4G27520	Bostr.7867s0574.1.p
OG0001098	AT3G04510	Bostr.2570s0251.1.p
OG0001098	AT5G28490	Bostr.29827s0004.1.p
OG0001099	AT1G48750	Bostr.26675s0294.1.p
OG0001099	AT3G18280	Bostr.19424s0834.1.p
OG0001100	AT4G27090	Bostr.7867s0531.1.p
OG0001100	AT2G20450	Bostr.22687s0001.1.p
OG0001101	AT3G45960	Bostr.18473s0342.1.p
OG0001101	AT3G45970	Bostr.24950s0001.1.p
OG0001101	AT4G38400	Bostr.25542s0026.1.p
OG0001102	AT3G09360	Bostr.22252s0131.1.p
OG0001103	AT1G67600	Bostr.26959s0148.1.p
OG0001103	AT1G24350	Bostr.4766s0002.1.p
OG0001104	AT3G62410	Bostr.13158s0248.1.p
OG0001104	AT2G47400	Bostr.25993s0020.1.p
OG0001105	AT4G14560	Bostr.23794s0624.1.p, Bostr.0597s0068.1.p
OG0001105	AT3G23030	Bostr.19424s0351.1.p
OG0001106	AT3G53460	Bostr.11793s0047.1.p
OG0001106	AT2G37220	Bostr.23794s0362.1.p
OG0001107	AT3G28980, AT3G28810, AT3G28820	Bostr.1693s0001.1.p
OG0001108	AT4G12410	Bostr.25463s0071.1.p
OG0001109	AT5G28060	Bostr.29827s0036.1.p
OG0001109	AT3G04920	Bostr.2570s0202.1.p
OG0001110	AT1G17345	Bostr.7128s0345.1.p
OG0001110	AT1G72430	Bostr.10273s0108.1.p
OG0001111	AT1G22840	Bostr.12659s0138.1.p
OG0001111	AT4G10040	Bostr.25463s0319.1.p
OG0001112	AT1G66270, AT1G66280	Bostr.24564s0001.1.p
OG0001113	AT4G02840	Bostr.2983s0164.1.p
OG0001113	AT3G07590	Bostr.22252s0269.1.p
OG0001114	AT4G08990, AT4G14140, AT4G13610, AT5G49160	Bostr.15774s0046.1.p
OG0001115	AT4G11910	Bostr.25463s0120.1.p
OG0001115	AT4G11911	Bostr.25463s0119.1.p
OG0001115	AT4G22920	Bostr.7867s0079.1.p
OG0001116	AT5G26620	Bostr.29827s0155.1.p, Bostr.29827s0153.1.p
OG0001116	AT3G05858	Bostr.2570s0084.1.p
OG0001117	AT4G37240	Bostr.7867s1544.1.p
OG0001117	AT2G23690	Bostr.27895s0123.1.p
OG0001118	AT4G25480	Bostr.7867s0360.1.p
OG0001119	AT5G54960	Bostr.26833s0767.1.p
OG0001119	AT4G33070	Bostr.7867s1158.1.p
OG0001119	AT5G01330, AT5G01320	Bostr.6251s0102.1.p
OG0001120	AT5G60142	Bostr.26833s0220.1.p
OG0001120	AT5G60130	Bostr.25219s0556.1.p, Bostr.26833s0221.1.p, Bostr.7867s0314.1.p
OG0001121	AT5G49200, AT5G40880	Bostr.18994s0001.1.p
OG0001122	AT1G15930	Bostr.26833s0750.1.p, Bostr.7128s0212.1.p
OG0001122	AT2G32060	Bostr.24513s0012.1.p
OG0001123	AT3G09930	Bostr.22252s0072.1.p
OG0001123	AT5G03610	Bostr.2128s0089.1.p
OG0001124	AT5G15740	Bostr.2902s0308.1.p
OG0001124	AT3G02250	Bostr.1460s0141.1.p
OG0001125	AT1G23410	Bostr.12659s0202.1.p
OG0001125	AT2G47110, AT3G62250	Bostr.25993s0056.1.p
OG0001126	AT3G04060	Bostr.2570s0302.1.p
OG0001126	AT5G18270	Bostr.26527s0381.1.p
OG0001127	AT2G37900	Bostr.23794s0285.1.p
OG0001127	AT3G53960	Bostr.0697s0006.1.p
OG0001128	AT3G17100	Bostr.19424s0958.1.p
OG0001129	AT1G73580	Bostr.10273s0004.1.p
OG0001129	AT3G17980	Bostr.19424s0872.1.p
OG0001130	AT2G04410	Bostr.19424s0062.1.p
OG0001130	AT5G55850	Bostr.29044s0011.1.p, Bostr.26833s0676.1.p
OG0001131	AT3G55610	Bostr.20505s0190.1.p
OG0001131	AT2G39800	Bostr.23794s0087.1.p
OG0001132	AT2G38900	Bostr.23794s0180.1.p, Bostr.12645s0012.1.p
OG0001133	AT3G56220	Bostr.20505s0130.1.p
OG0001133	AT2G40435	Bostr.23794s0017.1.p
OG0001134	AT5G46430, AT4G18100	Bostr.2633s0001.1.p
OG0001135	AT1G64583	Bostr.29223s0020.1.p
OG0001135	AT1G64580	Bostr.29223s0021.1.p
OG0001135	AT5G16640	Bostr.2618s0002.1.p
OG0001136	AT1G76380	Bostr.20129s0074.1.p
OG0001136	AT1G20670	Bostr.7128s0660.1.p
OG0001137	AT5G20020	Bostr.26527s0198.1.p
OG0001137	AT5G20010	Bostr.26527s0199.1.p
OG0001138	AT2G30810	Bostr.24513s0147.1.p, Bostr.27991s0193.1.p
OG0001138	AT3G02885	Bostr.1460s0209.1.p
OG0001139	AT5G24880	Bostr.5763s0031.1.p
OG0001139	AT5G10680, AT5G10660	Bostr.13175s0035.1.p
OG0001140	AT1G19790	Bostr.7128s0578.1.p
OG0001140	AT1G75520	Bostr.3288s0204.1.p
OG0001141	AT1G56580	Bostr.8169s0006.1.p
OG0001141	AT1G09310	Bostr.25219s0013.1.p
OG0001142	AT5G54470	Bostr.26833s0826.1.p
OG0001142	AT4G27310	Bostr.7867s0551.1.p
OG0001143	AT1G68600	Bostr.26959s0029.1.p
OG0001143	AT2G17470	Bostr.18351s0208.1.p
OG0001143	AT1G25480	Bostr.12659s0406.1.p
OG0001144	AT2G17880	Bostr.18351s0256.1.p
OG0001144	AT4G36040	Bostr.7867s1470.1.p
OG0001145	AT5G02380	Bostr.6251s0038.1.p
OG0001145	AT3G09390	Bostr.22252s0128.1.p
OG0001146	AT4G27970	Bostr.7867s0628.1.p
OG0001146	AT5G24030	Bostr.10199s0031.1.p
OG0001147	AT1G67290	Bostr.26959s0178.1.p
OG0001147	AT5G19580	Bostr.26527s0242.1.p
OG0001148	AT2G33090, AT2G33300	Bostr.23794s0794.1.p
OG0001148	AT2G32820	Bostr.23794s0817.1.p
OG0001149	AT5G62070	Bostr.26833s0032.1.p
OG0001149	AT5G07240	Bostr.13129s0242.1.p
OG0001150	AT4G35160	Bostr.7867s1375.1.p
OG0001150	AT4G35150	Bostr.7867s1374.1.p
OG0001151	AT3G26280, AT3G26270	Bostr.0556s0301.1.p
OG0001151	AT3G26230	Bostr.0556s0300.1.p
OG0001152	AT2G42870	Bostr.25993s0495.1.p
OG0001152	AT3G58850	Bostr.20903s0126.1.p
OG0001154	AT2G19360	Bostr.1040s0012.1.p
OG0001156	AT5G22990	Bostr.10199s0147.1.p
OG0001156	AT2G15740	Bostr.18351s0050.1.p
OG0001156	AT2G18490	Bostr.18351s0316.1.p
OG0001161	AT5G20690	Bostr.26527s0136.1.p
OG0001161	AT3G42880	Bostr.0556s0659.1.p
OG0001162	AT1G17880	Bostr.7128s0397.1.p
OG0001162	AT1G73230	Bostr.10273s0031.1.p
OG0001163	AT3G61100, AT3G61090	Bostr.13158s0097.1.p
OG0001165	AT1G22200	Bostr.12659s0071.1.p
OG0001165	AT1G36050	Bostr.20910s0011.1.p
OG0001166	AT1G48640	Bostr.25219s0529.1.p
OG0001166	AT5G40780	Bostr.7200s0085.1.p
OG0001168	AT3G60550	Bostr.13158s0056.1.p
OG0001168	AT2G45080	Bostr.25993s0265.1.p
OG0001169	AT1G77440	Bostr.20129s0179.1.p
OG0001170	AT5G22670	Bostr.26527s0007.1.p
OG0001170	AT5G22660, AT5G22700	Bostr.26527s0008.1.p
OG0001172	AT1G72810	Bostr.10273s0071.1.p
OG0001172	AT4G29840	Bostr.7867s0832.1.p
OG0001173	AT1G53420	Bostr.0124s0132.1.p
OG0001173	AT3G14840	Bostr.28625s0223.1.p
OG0001174	AT3G05310	Bostr.2570s0153.1.p
OG0001174	AT5G27540	Bostr.29827s0075.1.p
OG0001175	AT5G49620	Bostr.15774s0093.1.p
OG0001175	AT3G06490	Bostr.2570s0008.1.p
OG0001176	AT5G59030	Bostr.26833s0339.1.p
OG0001176	AT3G46900	Bostr.18473s0270.1.p
OG0001177	AT3G14260	Bostr.28625s0274.1.p
OG0001178	AT3G05540	Bostr.2570s0128.1.p
OG0001178	AT3G16640	Bostr.28625s0028.1.p
OG0001179	AT5G61890	Bostr.26833s0047.1.p
OG0001179	AT5G07310	Bostr.13129s0235.1.p
OG0001180	AT1G73460, AT1G73450	Bostr.20559s0001.1.p
OG0001180	AT3G17750	Bostr.19424s0895.1.p
OG0001181	AT4G00620	Bostr.10064s0044.1.p
OG0001181	AT4G00600	Bostr.10064s0006.1.p, Bostr.19424s0053.1.p, Bostr.10064s0045.1.p, Bostr.15654s0045.1.p
OG0001182	AT5G64890	Bostr.0568s0304.1.p
OG0001182	AT5G64900	Bostr.24513s0096.1.p
OG0001183	AT3G50210	Bostr.6864s0224.1.p
OG0001184	AT1G52690	Bostr.0124s0058.1.p
OG0001184	AT3G15670	Bostr.28625s0124.1.p
OG0001185	AT5G41610	Bostr.7200s0189.1.p
OG0001185	AT4G23700	Bostr.7867s0168.1.p
OG0001186	AT4G08170	Bostr.3877s0044.1.p
OG0001186	AT4G33770	Bostr.7867s1226.1.p
OG0001187	AT1G23170	Bostr.12659s0178.1.p
OG0001187	AT1G70770	Bostr.10273s0277.1.p
OG0001188	AT2G35700	Bostr.23794s0528.1.p
OG0001188	AT4G16750	Bostr.30275s0134.1.p
OG0001189	AT5G07880	Bostr.13129s0180.1.p
OG0001189	AT5G61210	Bostr.26833s0118.1.p
OG0001190	AT1G49640	Bostr.26675s0207.1.p
OG0001190	AT1G49650	Bostr.26675s0206.1.p
OG0001190	AT1G49660	Bostr.26675s0205.1.p
OG0001191	AT4G17880	Bostr.30275s0255.1.p
OG0001191	AT5G46760	Bostr.28243s0060.1.p
OG0001192	AT5G15180	Bostr.2902s0252.1.p
OG0001192	AT3G01190	Bostr.1460s0097.1.p
OG0001193	AT1G12240	Bostr.13671s0236.1.p
OG0001193	AT1G62660	Bostr.22157s0069.1.p
OG0001194	AT5G66570	Bostr.0568s0068.1.p
OG0001194	AT3G50820	Bostr.6864s0165.1.p
OG0001195	AT3G30390	Bostr.0556s0627.1.p
OG0001195	AT5G38820	Bostr.11774s0006.1.p, Bostr.17775s0010.1.p
OG0001196	AT2G41980	Bostr.25993s0580.1.p
OG0001196	AT3G58040	Bostr.20903s0056.1.p
OG0001197	AT4G21590	Bostr.10689s0105.1.p
OG0001197	AT4G21600	Bostr.10689s0106.1.p
OG0001197	AT4G21585	Bostr.10689s0104.1.p
OG0001198	AT3G02170	Bostr.1460s0132.1.p
OG0001198	AT5G15580	Bostr.2902s0294.1.p
OG0001199	AT1G14860	Bostr.7128s0099.1.p
OG0001199	AT2G01670	Bostr.7903s0010.1.p
OG0001200	AT2G20080	Bostr.7903s0160.1.p
OG0001200	AT4G28840	Bostr.7867s0730.1.p
OG0001201	AT4G14245	Bostr.0597s0028.1.p
OG0001201	AT1G59550, AT4G14250	Bostr.0597s0029.1.p
OG0001202	AT1G66260	Bostr.26959s0290.1.p
OG0001202	AT5G37720	Bostr.9638s0091.1.p
OG0001203	AT5G43175	Bostr.3148s0158.1.p
OG0001203	AT1G27740	Bostr.15697s0100.1.p
OG0001204	AT1G29870	Bostr.15697s0282.1.p
OG0001204	AT1G29880	Bostr.15697s0283.1.p, Bostr.0556s0763.1.p
OG0001205	AT1G64220	Bostr.29223s0102.1.p
OG0001205	AT5G41685	Bostr.7200s0197.1.p
OG0001206	AT3G13210, AT5G45990	Bostr.8819s0134.1.p
OG0001206	AT5G41770	Bostr.25375s0031.1.p
OG0001207	AT2G38180	Bostr.23794s0254.1.p
OG0001207	AT3G11210	Bostr.19424s1054.1.p
OG0001208	AT2G28210	Bostr.27991s0106.1.p
OG0001208	AT1G08080	Bostr.25219s0139.1.p
OG0001209	AT5G57940	Bostr.26833s0457.1.p
OG0001209	AT4G30560	Bostr.22798s0001.1.p
OG0001209	AT2G23980	Bostr.27895s0089.1.p
OG0001210	AT1G29350, AT1G29370	Bostr.15697s0233.1.p
OG0001211	AT5G17820	Bostr.26527s0426.1.p, Bostr.26527s0424.1.p
OG0001211	AT3G03670	Bostr.19046s0086.1.p
OG0001212	AT2G45840	Bostr.25993s0186.1.p
OG0001212	AT3G61280	Bostr.13158s0120.1.p
OG0001212	AT3G61290	Bostr.13158s0121.1.p
OG0001213	AT1G65165, AT1G65160	Bostr.26959s0426.1.p
OG0001213	AT1G65170	Bostr.26959s0425.1.p
OG0001213	AT1G65140	Bostr.17783s0001.1.p
OG0001214	AT2G23570	Bostr.27895s0132.1.p
OG0001214	AT2G23550, AT2G23580	Bostr.27895s0131.1.p
OG0001215	AT1G07150	Bostr.25219s0240.1.p
OG0001215	AT2G30040	Bostr.29246s0011.1.p
OG0001216	AT4G18620	Bostr.30275s0338.1.p
OG0001216	AT5G45870	Bostr.8819s0115.1.p
OG0001216	AT5G45860	Bostr.8819s0114.1.p
OG0001217	AT3G05060	Bostr.2570s0181.1.p
OG0001217	AT5G27120, AT5G27140	Bostr.7867s1295.1.p, Bostr.29827s0024.1.p
OG0001218	AT2G14060	Bostr.13083s0018.1.p
OG0001218	AT5G38020, AT3G21950	Bostr.0597s0149.1.p
OG0001219	AT5G45210	Bostr.8819s0017.1.p, Bostr.8819s0011.1.p
OG0001220	AT1G29660	Bostr.15697s0258.1.p
OG0001220	AT1G29670	Bostr.15697s0259.1.p
OG0001221	AT1G48210	Bostr.15654s0011.1.p
OG0001221	AT3G17410	Bostr.19424s0923.1.p
OG0001222	AT1G54450	Bostr.13404s0017.1.p
OG0001223	AT1G23540	Bostr.12659s0211.1.p
OG0001223	AT1G70450, AT1G70460	Bostr.10273s0312.1.p
OG0001224	AT5G19520	Bostr.4965s0001.1.p, Bostr.26527s0248.1.p
OG0001225	AT1G18870	Bostr.7128s0494.1.p
OG0001225	AT1G74710	Bostr.3288s0116.1.p
OG0001226	AT3G02800	Bostr.1460s0199.1.p
OG0001226	AT5G16480	Bostr.2902s0383.1.p
OG0001227	AT1G26450	Bostr.12659s0350.1.p
OG0001227	AT1G69295	Bostr.10273s0440.1.p
OG0001228	AT1G06970	Bostr.25219s0261.1.p
OG0001228	AT2G30240	Bostr.24513s0218.1.p
OG0001229	AT1G48330	Bostr.25219s0565.1.p
OG0001229	AT3G17580	Bostr.19424s0912.1.p
OG0001230	AT4G14580	Bostr.0597s0070.1.p
OG0001231	AT3G27850	Bostr.0556s0461.1.p
OG0001231	AT3G27830	Bostr.0556s0460.1.p
OG0001232	AT2G02720	Bostr.0556s0086.1.p
OG0001232	AT1G14420	Bostr.13671s0009.1.p
OG0001233	AT4G19450	Bostr.30275s0422.1.p
OG0001234	AT1G17147	Bostr.7128s0325.1.p
OG0001234	AT1G78410	Bostr.20129s0276.1.p
OG0001235	AT1G20860	Bostr.7128s0676.1.p
OG0001235	AT1G76430	Bostr.20129s0082.1.p
OG0001236	AT1G14580	Bostr.24340s0006.1.p
OG0001236	AT2G02080	Bostr.0556s0034.1.p
OG0001237	AT5G05100	Bostr.13129s0455.1.p
OG0001237	AT3G10770	Bostr.19424s1000.1.p
OG0001238	AT3G29035	Bostr.0556s0555.1.p
OG0001238	AT5G39610	Bostr.10058s0039.1.p
OG0001239	AT5G64850	Bostr.0568s0308.1.p
OG0001239	AT5G09960	Bostr.13175s0107.1.p
OG0001240	AT3G01240	Bostr.1460s0092.1.p
OG0001240	AT3G01230	Bostr.1460s0093.1.p
OG0001241	AT3G26100	Bostr.0556s0287.1.p
OG0001243	AT5G27030	Bostr.29827s0114.1.p
OG0001243	AT3G16830	Bostr.28625s0011.1.p
OG0001244	AT1G77640	Bostr.20129s0200.1.p
OG0001244	AT1G21910	Bostr.12659s0041.1.p
OG0001245	AT5G27420	Bostr.29827s0061.1.p
OG0001245	AT3G05200	Bostr.2570s0167.1.p
OG0001246	AT1G58420	Bostr.10040s0321.1.p
OG0001246	AT1G10140	Bostr.13671s0474.1.p
OG0001247	AT3G45200	Bostr.21132s0010.1.p
OG0001247	AT1G64870, AT5G11220	Bostr.23997s0018.1.p
OG0001248	AT3G58680	Bostr.20903s0108.1.p
OG0001248	AT2G42680	Bostr.25993s0513.1.p
OG0001249	AT1G73620	Bostr.3288s0003.1.p
OG0001249	AT1G18250	Bostr.7128s0424.1.p
OG0001250	AT5G11150	Bostr.23997s0012.1.p
OG0001250	AT4G32150	Bostr.7867s1069.1.p
OG0001251	AT1G01420, AT1G01390	Bostr.5325s0058.1.p
OG0001251	AT4G01070	Bostr.7365s0059.1.p
OG0001252	AT5G04690, AT5G04680, AT5G04700	Bostr.13129s0492.1.p
OG0001253	AT5G26780	Bostr.29827s0143.1.p
OG0001253	AT4G37930	Bostr.25542s0227.1.p
OG0001254	AT1G22160	Bostr.12659s0067.1.p
OG0001254	AT1G78020	Bostr.20129s0236.1.p
OG0001255	AT1G31450	Bostr.15697s0458.1.p
OG0001255	AT2G35615	Bostr.23794s0538.1.p
OG0001256	AT5G66280	Bostr.0568s0040.1.p
OG0001256	AT3G51160	Bostr.6864s0129.1.p
OG0001257	AT1G73100	Bostr.10273s0046.1.p
OG0001257	AT5G04940	Bostr.13129s0467.1.p
OG0001258	AT1G19970	Bostr.7128s0597.1.p
OG0001258	AT1G75760	Bostr.20129s0009.1.p
OG0001259	AT1G70470	Bostr.10273s0311.1.p
OG0001259	AT1G23530	Bostr.12659s0210.1.p
OG0001260	AT2G24550	Bostr.27895s0032.1.p
OG0001260	AT4G31510	Bostr.7867s1005.1.p
OG0001261	AT4G25250	Bostr.7867s0332.1.p
OG0001261	AT5G51520	Bostr.15774s0290.1.p
OG0001262	AT2G36410	Bostr.23794s0450.1.p
OG0001262	AT3G52920	Bostr.11793s0097.1.p
OG0001263	AT2G23440	Bostr.27895s0143.1.p
OG0001264	AT1G72920, AT1G72940, AT1G72900, AT1G72910, AT1G72930	Bostr.10273s0061.1.p, Bostr.10273s0063.1.p, Bostr.10273s0062.1.p
OG0001264	AT1G72950	Bostr.10273s0060.1.p
OG0001265	AT3G45285, AT3G44428, AT2G25312	Bostr.18473s0393.1.p
OG0001265	AT3G45275	Bostr.18473s0394.1.p
OG0001265	AT3G45252, AT3G45248	Bostr.18473s0396.1.p
OG0001265	AT3G45243	Bostr.21132s0017.1.p
OG0001265	AT3G45245	Bostr.21132s0018.1.p
OG0001268	AT2G42190	Bostr.25993s0560.1.p
OG0001268	AT3G57930	Bostr.20903s0044.1.p
OG0001269	AT5G23900	Bostr.10199s0046.1.p
OG0001269	AT3G49010	Bostr.18473s0054.1.p
OG0001270	AT1G17560	Bostr.7128s0367.1.p
OG0001270	AT5G46160	Bostr.8819s0152.1.p
OG0001271	AT3G51440	Bostr.6864s0101.1.p
OG0001271	AT3G51450	Bostr.6864s0100.1.p
OG0001271	AT3G51430, AT3G51420	Bostr.6864s0102.1.p
OG0001272	AT5G55300	Bostr.26833s0729.1.p
OG0001273	AT5G06250	Bostr.13129s0349.1.p
OG0001273	AT3G11580	Bostr.19424s1090.1.p
OG0001274	AT2G47485	Bostr.25993s0008.1.p
OG0001274	AT3G62650	Bostr.13158s0265.1.p
OG0001275	AT1G32420, AT5G50220	Bostr.15774s0165.1.p
OG0001276	AT3G48950	Bostr.18473s0059.1.p
OG0001276	AT2G23900	Bostr.27895s0105.1.p
OG0001277	AT2G28590	Bostr.27991s0064.1.p
OG0001277	AT1G07870	Bostr.25219s0162.1.p
OG0001278	AT1G01010	Bostr.5325s0019.1.p, Bostr.5325s0009.1.p
OG0001279	AT4G20370	Bostr.10689s0016.1.p
OG0001279	AT1G65480	Bostr.26959s0371.1.p
OG0001280	AT5G35680	Bostr.29044s0051.1.p
OG0001281	AT2G24570	Bostr.27895s0029.1.p
OG0001281	AT4G31550	Bostr.7867s1009.1.p
OG0001282	AT1G13020	Bostr.13671s0150.1.p
OG0001282	AT3G26400	Bostr.0556s0312.1.p
OG0001283	AT4G17730	Bostr.30275s0237.1.p
OG0001283	AT5G46860	Bostr.28243s0048.1.p
OG0001284	AT5G25220	Bostr.29827s0294.1.p
OG0001284	AT5G11060	Bostr.23997s0006.1.p
OG0001285	AT1G57620	Bostr.30057s0011.1.p
OG0001285	AT1G09580	Bostr.25494s0017.1.p
OG0001286	AT3G61630	Bostr.13158s0163.1.p
OG0001286	AT2G46310	Bostr.25993s0138.1.p
OG0001287	AT3G53670	Bostr.11793s0025.1.p
OG0001287	AT2G37480	Bostr.23794s0334.1.p, Bostr.23794s0332.1.p, Bostr.25993s0606.1.p
OG0001288	AT2G29740, AT2G29750	Bostr.29246s0032.1.p
OG0001288	AT1G07260	Bostr.25219s0347.1.p
OG0001290	AT5G65900	Bostr.0568s0194.1.p
OG0001290	AT3G18600	Bostr.19424s0802.1.p
OG0001291	AT3G52800	Bostr.11793s0108.1.p
OG0001291	AT2G36320	Bostr.23794s0462.1.p
OG0001292	AT4G11770	Bostr.25463s0146.1.p
OG0001293	AT5G23660	Bostr.10199s0067.1.p
OG0001293	AT3G48740	Bostr.18473s0077.1.p
OG0001294	AT5G57240	Bostr.26833s0534.1.p
OG0001294	AT4G25860	Bostr.7867s0406.1.p
OG0001295	AT1G56340	Bostr.8169s0047.1.p
OG0001295	AT1G09210	Bostr.10846s0001.1.p
OG0001297	AT5G37560	Bostr.9638s0077.1.p
OG0001298	AT3G56320	Bostr.20505s0120.1.p
OG0001298	AT2G40520	Bostr.23794s0005.1.p
OG0001299	AT2G35760	Bostr.23794s0520.1.p
OG0001299	AT4G16442	Bostr.30275s0094.1.p
OG0001300	AT5G63400	Bostr.0568s0470.1.p
OG0001300	AT5G50370	Bostr.15774s0184.1.p
OG0001301	AT1G57610	Bostr.30057s0010.1.p
OG0001301	AT1G09575	Bostr.25494s0016.1.p
OG0001303	AT2G23250, AT2G23210	Bostr.11387s0001.1.p
OG0001304	AT1G64830	Bostr.10180s0006.1.p
OG0001304	AT5G33340	Bostr.29044s0114.1.p
OG0001305	AT5G19340	Bostr.26527s0272.1.p
OG0001305	AT3G05980	Bostr.2570s0064.1.p
OG0001306	AT1G19220	Bostr.7128s0527.1.p
OG0001306	AT5G20730	Bostr.26527s0132.1.p
OG0001307	AT1G63300	Bostr.9600s0031.1.p
OG0001307	AT5G41140	Bostr.7200s0132.1.p
OG0001308	AT1G19660	Bostr.7128s0566.1.p
OG0001308	AT1G75380	Bostr.3288s0188.1.p
OG0001309	AT3G09340, AT3G09330	Bostr.22252s0133.1.p
OG0001309	AT5G02170	Bostr.6251s0055.1.p
OG0001309	AT5G02180	Bostr.6251s0054.1.p
OG0001311	AT2G19910, AT2G19920	Bostr.18351s0412.1.p
OG0001311	AT2G19930	Bostr.25281s0001.1.p
OG0001313	AT1G70300	Bostr.10273s0326.1.p
OG0001313	AT5G14880	Bostr.2902s0221.1.p
OG0001315	AT4G19230	Bostr.30275s0408.1.p
OG0001315	AT5G45340	Bostr.8819s0055.1.p
OG0001316	AT5G22060	Bostr.26527s0069.1.p
OG0001316	AT3G44110	Bostr.0556s0712.1.p
OG0001317	AT3G10480	Bostr.22252s0012.1.p
OG0001317	AT3G10490	Bostr.22252s0011.1.p
OG0001320	AT5G62660	Bostr.0568s0556.1.p
OG0001321	AT2G25820	Bostr.26326s0067.1.p
OG0001321	AT4G32800	Bostr.7867s1130.1.p
OG0001322	AT4G35840	Bostr.7867s1448.1.p
OG0001322	AT2G17730	Bostr.18351s0237.1.p
OG0001323	AT1G61640	Bostr.10040s0019.1.p
OG0001323	AT1G11390	Bostr.13671s0328.1.p
OG0001324	AT3G21160	Bostr.19424s0539.1.p
OG0001324	AT1G51590	Bostr.26675s0047.1.p
OG0001325	AT1G27310	Bostr.15697s0058.1.p
OG0001325	AT1G27970	Bostr.15697s0119.1.p
OG0001326	AT2G03040, AT2G03290	Bostr.0556s0146.1.p
OG0001326	AT1G14010	Bostr.13671s0054.1.p
OG0001327	AT4G17565	Bostr.30275s0216.1.p, Bostr.30275s0217.1.p
OG0001327	AT2G05970	Bostr.1460s0114.1.p
OG0001328	AT1G51355	Bostr.26675s0061.1.p
OG0001328	AT3G20898	Bostr.19424s0557.1.p
OG0001329	AT5G56810	Bostr.26833s0579.1.p
OG0001330	AT1G07990, AT1G08005	Bostr.25219s0147.1.p
OG0001330	AT2G28360	Bostr.27991s0088.1.p
OG0001331	AT5G41570	Bostr.7200s0184.1.p
OG0001331	AT2G46130	Bostr.25993s0157.1.p
OG0001331	AT1G64000	Bostr.29223s0134.1.p
OG0001332	AT3G48180	Bostr.18473s0135.1.p
OG0001332	AT1G19020	Bostr.7128s0507.1.p
OG0001333	AT4G11220	Bostr.25463s0200.1.p
