Orthogroup	Arabidopsis_thaliana	Brassica_oleracea
OG0002316	AT4G35380	Bo1g006510
OG0002317	AT2G03480	Bo9g073150, Bo2g136990, Bo7g081260
OG0002318	AT5G66580	Bo9g021870, Bo7g064800
OG0002318	AT3G50800	Bo8g080200, Bo7g100510, Bo6g018420
OG0002319	AT1G33770	Bo6g046790, Bo5g086650
OG0002319	AT4G10010	Bo2g110690, Bo9g088060
OG0002320	AT5G09660	Bo2g009460, Bo9g173890
OG0002320	AT2G22780	Bo4g151040
OG0002321	AT1G76100	Bo6g120130
OG0002321	AT1G20340	Bo5g030190, Bo7g061650
OG0002322	AT2G24060	Bo4g154230
OG0002322	AT4G30690	Bo7g114730
OG0002323	AT5G67400	Bo2g168010
OG0002324	AT4G30550	Bo3g175520
OG0002324	AT2G23970	Bo8g100200
OG0002325	AT5G13210, AT3G24780	Bo9g168930
OG0002326	AT5G04130	Bo2g005450
OG0002326	AT3G10270	Bo5g137640
OG0002327	AT3G28500	Bo9g008500, Bo2g146340, Bo7g091370
OG0002328	AT5G03890	Bo9g181630
OG0002328	AT3G10120	Bo1g144160, Bo5g137750
OG0002329	AT5G27470	Bo2g155310
OG0002330	AT3G55020	Bo8g087330
OG0002331	AT4G39550	Bo7g119110, Bo1g002610, Bo1g002630
OG0002332	AT1G51040	Bo6g023600
OG0002332	AT1G49340	Bo5g074100, Bo6g018240
OG0002333	AT2G16230	Bo01242s010
OG0002333	AT4G34480	Bo1g007240
OG0002334	AT2G36680	Bo4g032350
OG0002335	AT2G44010	Bo3g037040, Bo4g021220
OG0002335	AT3G59880	Bo8g094610
OG0002336	AT2G28860, AT2G28850, AT2G34490, AT2G34500	Bo4g182650, Bo4g039770
OG0002337	AT1G77760	Bo6g121460, Bo6g082020, Bo2g092980
OG0002338	AT3G02980	Bo5g150310
OG0002338	AT5G16800	Bo9g161790, Bo3g012190
OG0002339	AT2G32960	Bo4g045410, Bo4g179560
OG0002339	AT1G05000	Bo5g005130
OG0002340	AT3G63380	Bo4g097020
OG0002340	AT3G22910	Bo5g093390, Bo1g103650
OG0002341	AT3G03010	Bo1g154970
OG0002341	AT5G16870	Bo9g161710
OG0002342	AT5G26120	Bo9g177730, Bo9g177680
OG0002342	AT3G10740	Bo3g062830, Bo1g141510
OG0002343	AT2G35230	Bo3g028220, Bo4g183130, Bo4g038820
OG0002344	AT1G33480	Bo6g047940
OG0002344	AT4G10150, AT4G10160	Bo2g110530
OG0002345	AT4G22850	Bo1g031770
OG0002346	AT2G46940	Bo3g039440, Bo11575s010, Bo4g006850
OG0002346	AT3G62070	Bo8g097610
OG0002347	AT5G25450	Bo2g158680
OG0002347	AT4G32470	Bo3g172390, Bo1g010380
OG0002348	AT5G46610	Bo7g075550
OG0002348	AT4G17970	Bo7g105620
OG0002349	AT1G31660	Bo7g040960
OG0002350	AT4G08510	Bo3g047250
OG0002350	AT1G36990	Bo6g043970
OG0002351	AT5G07120	Bo3g004200, Bo9g175160
OG0002351	AT5G37050, AT5G58440	Bo9g135080
OG0002352	AT1G61930	Bo9g040810
OG0002352	AT1G11700	Bo8g108790, Bo5g014930
OG0002353	AT5G64550	Bo9g018150, Bo3g101200, Bo2g166290
OG0002354	AT1G51130	Bo6g024780, Bo5g081280
OG0002355	AT5G66910	Bo7g085830
OG0002355	AT5G66900	Bo9g021540, Bo9g021570
OG0002356	AT3G62990	Bo8g098300
OG0002356	AT2G47950	Bo3g039850, Bo4g200830
OG0002357	AT3G16650	Bo8g091290
OG0002357	AT4G15900	Bo7g104100
OG0002358	AT1G15770, AT1G15780	Bo8g066560, Bo8g105890, Bo5g021280, Bo5g021270
OG0002359	AT4G17410	Bo1g051700
OG0002359	AT5G47430	Bo9g069520
OG0002360	AT4G28750	Bo8g054500, Bo1g017150
OG0002361	AT3G04550	Bo1g152060
OG0002361	AT5G28500	Bo7g093190
OG0002362	AT4G37580	Bo1g003520, Bo7g118590, Bo3g153400
OG0002362	AT2G23060	Bo4g151280
OG0002364	AT2G31730	Bo4g049510
OG0002364	AT1G05710	Bo8g005780, Bo5g006930
OG0002365	AT3G01520	Bo5g155060
OG0002365	AT5G14680	Bo9g165720
OG0002366	AT5G23700	Bo7g097470
OG0002366	AT3G48860	Bo8g077320
OG0002367	AT5G66770	Bo7g064520
OG0002368	AT1G10360	Bo8g109610
OG0002368	AT1G10370	Bo5g010800, Bo5g010810
OG0002369	AT5G45240	Bo2g126980
OG0002370	AT3G23340	Bo01215s010
OG0002370	AT4G14340	Bo4g127040, Bo3g149090
OG0002371	AT1G32470	Bo5g049100, Bo8g028680
OG0002371	AT2G35370	Bo4g038690
OG0002372	AT1G56010	Bo3g185760
OG0002372	AT3G12977	Bo5g132990, Bo3g065240
OG0002373	AT1G25400	Bo7g050600
OG0002373	AT1G68440	Bo2g057880, Bo6g106880
OG0002374	AT4G38840	Bo7g119580, Bo1g002190
OG0002375	AT3G05130	Bo3g162630, Bo5g146660
OG0002375	AT5G27330	Bo7g093480
OG0002376	AT1G17290	Bo8g067070, Bo5g023670, Bo8g104970
OG0002377	AT4G14840	Bo6g055850
OG0002377	AT3G22520	Bo5g096890, Bo5g095780, Bo1g105040, Bo3g080210
OG0002378	AT5G57015	Bo2g032810, Bo9g130600
OG0002380	AT3G56860	Bo4g112680, Bo8g091180
OG0002380	AT2G41060	Bo4g190680
OG0002381	AT5G64650	Bo3g101060, Bo3g005270
OG0002382	AT4G31670	Bo1g011070
OG0002382	AT2G24640	Bo8g099640, Bo4g154800
OG0002383	AT4G25810	Bo1g040530
OG0002383	AT5G57560	Bo9g133270, Bo9g133260, Bo2g030310
OG0002384	AT4G25990	Bo7g110610, Bo1g040710
OG0002384	AT5G57180	Bo2g032630
OG0002385	AT3G61560	Bo6g077810
OG0002385	AT2G46170	Bo4g012490
OG0002386	AT1G18800	Bo5g025860, Bo8g068100
OG0002387	AT1G70140	Bo6g110800
OG0002387	AT1G24150	Bo5g041160
OG0002388	AT4G38950	Bo1g002250
OG0002388	AT2G21300	Bo4g145890, Bo8g101860
OG0002389	AT4G25440	Bo1g040220
OG0002389	AT5G51980	Bo3g023510, Bo9g104760
OG0002390	AT2G23130	Bo8g100620
OG0002390	AT4G37450	Bo1g003610, Bo7g118530
OG0002391	AT1G16380	Bo8g066690, Bo5g021800
OG0002391	AT1G79400	Bo6g123830, Bo2g095260
OG0002392	AT1G71770	Bo6g093050, Bo2g074010, Bo6g113250
OG0002392	AT1G22760	Bo8g071610
OG0002393	AT1G51900	Bo6g026420
OG0002393	AT2G14830	Bo3g008960
OG0002394	AT4G30130	Bo1g014540
OG0002394	AT2G19090	Bo9g027540, Bo7g002100
OG0002395	AT5G19110	Bo2g017660, Bo9g154190, Bo9g154120, Bo9g154160, Bo9g154030, Bo9g154060, Bo2g017720
OG0002396	AT3G15630	Bo3g066930
OG0002396	AT1G52720	Bo6g039460
OG0002397	AT2G18969	Bo9g027490
OG0002397	AT4G30180	Bo3g175740, Bo1g014450
OG0002398	AT2G02810	Bo2g136550
OG0002399	AT1G04450	Bo8g115540
OG0002399	AT2G33460	Bo4g043690, Bo4g181970
OG0002400	AT1G04470	Bo8g115530, Bo5g004610
OG0002400	AT2G33420	Bo3g027310, Bo4g181920
OG0002401	AT4G04910	Bo3g048330, Bo9g076640
OG0002402	AT5G49020	Bo7g089780, Bo2g150420
OG0002402	AT3G06930	Bo5g143090
OG0002403	AT2G44040	Bo4g194770, Bo3g037050
OG0002404	AT3G05820	Bo1g150310
OG0002404	AT1G56560	Bo4g081070
OG0002405	AT5G61390	Bo9g014580
OG0002405	AT5G07710	Bo9g175690
OG0002406	AT1G15950	Bo8g105700
OG0002407	AT3G01015	Bo3g055360
OG0002407	AT5G15510	Bo2g012600
OG0002408	AT4G21810	Bo3g163930
OG0002408	AT4G04860	Bo9g077730
OG0002409	AT2G33330	Bo4g043810
OG0002409	AT1G04520	Bo5g004650
OG0002410	AT3G01516	Bo5g155070
OG0002410	AT5G14690	Bo2g012120, Bo9g165710
OG0002411	AT1G25560	Bo5g043120, Bo3g138550
OG0002411	AT1G68840	Bo2g061320
OG0002412	AT1G10940	Bo5g013380, Bo8g109190
OG0002413	AT1G02800	Bo8g117290
OG0002413	AT4G02290	Bo2g100410, Bo9g005630
OG0002414	AT3G49970	Bo8g079370
OG0002414	AT5G67385	Bo2g167990, Bo7g063670
OG0002415	AT1G66460	Bo6g100970
OG0002415	AT5G37790	Bo6g058690, Bo4g136820
OG0002416	AT3G22380	Bo5g098070, Bo3g080160, Bo1g105170
OG0002417	AT5G21090	Bo3g015510, Bo9g150060
OG0002417	AT3G43740	Bo01820s010
OG0002418	AT1G70440	Bo6g111040
OG0002418	AT1G23550	Bo5g039720, Bo7g056110
OG0002421	AT2G21490	Bo8g101720
OG0002421	AT4G39130	Bo1g002400, Bo1g002390, Bo13604s010
OG0002422	AT5G40720	Bo6g064700
OG0002422	AT3G27330	Bo7g084460, Bo2g140630
OG0002423	AT3G60620	Bo8g095330
OG0002423	AT2G45150	Bo3g037590
OG0002424	AT1G05830	Bo8g114930
OG0002424	AT2G31650	Bo4g176210
OG0002425	AT2G46660	Bo4g007070, Bo4g197250
OG0002425	AT3G61880	Bo8g097370, Bo4g100090
OG0002426	AT4G34290	Bo3g168970, Bo1g007410, Bo7g116810
OG0002427	AT5G44700	Bo2g124590, Bo00613s040
OG0002427	AT4G20140	Bo1g022200
OG0002428	AT4G36870	Bo1g005330, Bo3g153820
OG0002428	AT2G23760	Bo8g100290, Bo4g151860
OG0002429	AT5G43810	Bo00928s020
OG0002429	AT1G48410	Bo5g072610, Bo8g015090
OG0002430	AT1G23880	Bo5g039920
OG0002430	AT1G70280	Bo6g110890, Bo6g094760
OG0002431	AT1G47250	Bo8g019190
OG0002431	AT5G42790	Bo4g078740, Bo9g058600
OG0002432	AT5G58850	Bo2g028290, Bo3g018490
OG0002433	AT4G39170	Bo3g149930
OG0002433	AT2G21520	Bo8g101680
OG0002434	AT1G55680	Bo6g051410
OG0002434	AT3G13340	Bo5g132620, Bo3g065480
OG0002435	AT1G06250	Bo8g006020, Bo5g007370
OG0002436	AT1G16470	Bo2g095110
OG0002437	AT5G36940	Bo4g136240
OG0002437	AT1G58030	Bo9g032180, Bo9g031020
OG0002438	AT2G25130	Bo8g099370
OG0002438	AT4G31890	Bo1g010860
OG0002439	AT1G55475	Bo3g185260
OG0002439	AT3G13480	Bo3g065570, Bo5g132460, Bo1g138280
OG0002440	AT3G27190	Bo2g140450, Bo7g084300
OG0002440	AT5G40870	Bo4g140610
OG0002441	AT2G36350	Bo4g034770
OG0002441	AT3G52890	Bo6g066970, Bo8g082330
OG0002442	AT2G15090	Bo7g024220
OG0002442	AT4G34250	Bo7g116790, Bo1g007470
OG0002443	AT1G53290	Bo6g029450
OG0002443	AT3G14960	Bo3g066510, Bo5g127570
OG0002444	AT3G56580	Bo8g090920
OG0002444	AT2G40830	Bo4g012800, Bo3g035210
OG0002445	AT4G00520	Bo3g054710, Bo2g097660
OG0002445	AT1G01710	Bo5g001090
OG0002446	AT5G17550	Bo9g160130
OG0002446	AT3G03490	Bo3g057090
OG0002447	AT2G15000	Bo3g088560, Bo7g024230
OG0002448	AT1G21870	Bo8g071120
OG0002449	AT3G05780, AT3G05790	Bo1g150340
OG0002449	AT5G26860	Bo7g094950, Bo2g155680
OG0002450	AT3G60860	Bo4g103610
OG0002450	AT1G01960	Bo8g118180
OG0002451	AT3G50020	Bo7g071330
OG0002452	AT5G28290	Bo2g152990, Bo7g093260
OG0002452	AT3G04810	Bo5g146970, Bo3g058600
OG0002453	AT3G12170, AT5G06910	Bo1g139530, Bo5g133600
OG0002454	AT3G03920	Bo2g155620, Bo3g013000, Bo2g015370
OG0002455	AT5G06290	Bo9g176340
OG0002455	AT3G11630	Bo3g064490, Bo3g064370, Bo1g139920, Bo5g136300
OG0002456	AT3G27240	Bo2g140510, Bo9g008180
OG0002457	AT1G11940	Bo00957s040
OG0002457	AT1G62305	Bo4g092670
OG0002458	AT4G17280	Bo1g051800
OG0002458	AT5G47530	Bo2g132440, Bo9g069590
OG0002459	AT1G19360	Bo8g068500, Bo5g027420
OG0002460	AT4G30996	Bo7g114900, Bo1g011700, Bo3g175240
OG0002461	AT2G35765	Bo3g028530
OG0002461	AT1G19500	Bo8g068560, Bo5g027520
OG0002462	AT1G33170	Bo8g027490, Bo6g049490
OG0002462	AT4G10440	Bo9g088330, Bo2g109330
OG0002463	AT1G49840	Bo8g011120
OG0002463	AT3G19540	Bo5g114040, Bo1g114600
OG0002464	AT4G02330	Bo9g005670
OG0002464	AT1G02810	Bo8g001160, Bo5g003390
OG0002465	AT1G04410	Bo8g002940, Bo5g004570
OG0002465	AT5G43330	Bo9g059040
OG0002466	AT1G72760	Bo2g078990, Bo6g116170
OG0002466	AT1G17540	Bo5g023880, Bo8g067300
OG0002467	AT1G05200	Bo8g115270, Bo5g005320
OG0002468	AT1G17060	Bo8g105140, Bo5g023420, Bo8g105160, Bo8g105180, Bo8g066930
OG0002469	AT5G26140	Bo9g011090
OG0002469	AT5G11950	Bo2g010730, Bo9g169740
OG0002470	AT2G39960	Bo3g034580, Bo4g188700, Bo4g025730
OG0002471	AT1G76670	Bo6g120770
OG0002471	AT1G21070	Bo8g070610
OG0002472	AT1G79630	Bo2g095470, Bo6g124020
OG0002472	AT1G16220	Bo5g021600
OG0002473	AT1G74890	Bo6g119070, Bo6g086770
OG0002473	AT1G19050	Bo8g068270, Bo5g027070
OG0002474	AT1G10650	Bo8g059590, Bo5g012190
OG0002474	AT1G60610	Bo1g093110
OG0002475	AT4G28320	Bo1g051390
OG0002475	AT2G20680	Bo8g102220, Bo7g003210
OG0002476	AT2G35620	Bo3g028390, Bo4g183420, Bo4g037330
OG0002477	AT5G65810	Bo3g097670, Bo9g018950
OG0002477	AT3G49720	Bo1g080190
OG0002478	AT4G22810	Bo1g031740, Bo7g108250
OG0002480	AT3G25030	Bo7g031560
OG0002481	AT3G22400	Bo5g098060, Bo1g105160
OG0002482	AT1G18620	Bo8g067980, Bo8g104280
OG0002482	AT1G74160	Bo2g080970
OG0002483	AT4G04040	Bo9g078270
OG0002483	AT1G12000	Bo5g017360
OG0002484	AT1G20880	Bo5g030800, Bo8g070450
OG0002484	AT1G76460	Bo6g120570
OG0002485	AT3G03090	Bo5g150250, Bo1g154920
OG0002485	AT5G17010	Bo2g013390
OG0002486	AT1G28030	Bo1g127350
OG0002487	AT5G09320, AT5G09315	Bo9g174110
OG0002487	AT3G19770	Bo5g113670
OG0002488	AT5G06450	Bo3g003890
OG0002488	AT3G11770	Bo1g139810, Bo5g135150
OG0002489	AT2G20750	Bo7g003160
OG0002489	AT4G28250	Bo1g051330, Bo7g111990
OG0002490	AT2G21380	Bo8g101810
OG0002490	AT4G39050	Bo7g119380, Bo3g149780
OG0002491	AT3G60290	Bo4g105110
OG0002491	AT2G44800	Bo4g195200, Bo4g024080
OG0002492	AT1G76580	Bo6g120690, Bo2g091010
OG0002492	AT1G20980	Bo5g030930
OG0002493	AT3G47890, AT3G47910	Bo1g072530, Bo3g137010, Bo3g135960, Bo01977s010
OG0002494	AT4G30340	Bo1g014280
OG0002494	AT2G18730	Bo9g025750, Bo7g009680
OG0002495	AT4G23100	Bo1g033120, Bo7g108500
OG0002496	AT4G24715	Bo1g039260
OG0002496	AT5G50200	Bo3g042740, Bo9g096970, Bo2g050860
OG0002497	AT2G45470	Bo4g024680
OG0002497	AT3G60900	Bo8g095590, Bo6g077380
OG0002498	AT5G04140	Bo9g181380
OG0002498	AT2G41220	Bo4g190740, Bo3g035470
OG0002499	AT1G68870	Bo6g108350, Bo2g061350, Bo6g095820
OG0002499	AT1G26210	Bo3g138360, Bo7g052740
OG0002500	AT2G39782, AT5G39010, AT3G26390	Bo7g072700, Bo4g144170
OG0002501	AT5G32670, AT1G30490	Bo5g063050
OG0002501	AT2G34710	Bo4g182800, Bo4g039380
OG0002502	AT2G21940	Bo4g148230
OG0002502	AT4G39540	Bo1g009960, Bo1g002590
OG0002503	AT3G60780	Bo8g095500
OG0002503	AT2G45360	Bo4g024560, Bo4g195480
OG0002504	AT3G03180	Bo1g154840
OG0002505	AT1G62430	Bo9g037340, Bo4g092980
OG0002505	AT4G22340	Bo1g027220
OG0002506	AT3G28830	Bo7g086940
OG0002506	AT3G28790	Bo9g008630, Bo2g146480
OG0002507	AT1G29540	Bo7g045370
OG0002507	AT2G34330	Bo4g182490, Bo3g027670
OG0002508	AT3G11180	Bo5g136760, Bo1g141170
OG0002508	AT5G05600	Bo2g007010, Bo3g003410
OG0002509	AT5G22900	Bo2g024550
OG0002509	AT3G44900	Bo1g063860
OG0002510	AT5G08230	Bo9g174650
OG0002510	AT5G23150	Bo2g161030, Bo7g097870
OG0002511	AT3G58780	Bo4g108190, Bo6g076090
OG0002512	AT4G10310	Bo9g088270, Bo9g088230
OG0002513	AT1G61700	Bo1g098480
OG0002513	AT1G11475	Bo8g060110, Bo5g014800
OG0002514	AT1G54170	Bo6g033090, Bo6g050990
OG0002514	AT3G14010	Bo1g134660
OG0002515	AT3G18300	Bo5g118860, Bo3g071480
OG0002515	AT1G48780	Bo6g015680
OG0002516	AT3G13430	Bo5g132540
OG0002516	AT1G55530	Bo6g051370, Bo3g185300
OG0002517	AT3G11550	Bo1g140980, Bo5g136390, Bo3g064280
OG0002518	AT5G15320	Bo3g010240, Bo9g164210
OG0002519	AT1G06200	Bo8g005990
OG0002519	AT2G31140	Bo3g025020
OG0002520	AT3G46640	Bo3g132770, Bo1g070860
OG0002521	AT5G24390	Bo7g096910, Bo02554s010
OG0002521	AT3G49350	Bo1g078870
OG0002522	AT2G25650, AT4G00270, AT5G14280	Bo6g064770, Bo7g043690
OG0002523	AT5G27840	Bo7g094790
OG0002523	AT3G05580	Bo5g145260, Bo1g150500, Bo3g059010
OG0002524	AT1G80340	Bo2g096080
OG0002524	AT1G15550	Bo8g105980, Bo5g021060
OG0002525	AT2G02040	Bo7g080140
OG0002526	AT3G01690	Bo00851s060
OG0002526	AT5G14390	Bo9g165950, Bo2g011830
OG0002527	AT4G27270	Bo1g048140
OG0002527	AT5G54500	Bo3g022100
OG0002528	AT1G12610	Bo5g016750, Bo8g108050, Bo01335s010
OG0002529	AT1G18940	Bo5g026980
OG0002529	AT1G74780	Bo6g086810
OG0002530	AT4G14230	Bo3g149170
OG0002530	AT4G14240	Bo4g127200
OG0002531	AT2G22750	Bo8g100910, Bo4g150960
OG0002531	AT4G37850	Bo3g153150, Bo1g003350
OG0002532	AT3G50080	Bo1g083530
OG0002532	AT5G67250	Bo9g020320
OG0002533	AT4G26960	Bo8g051530
OG0002533	AT5G54970	Bo3g021820
OG0002534	AT4G28280	Bo7g112020, Bo1g051360, Bo8g054190
OG0002535	AT4G15560	Bo1g056630, Bo7g103850
OG0002535	AT3G21500	Bo3g078640
OG0002536	AT2G36850	Bo4g031130
OG0002536	AT3G07160	Bo3g061100, Bo5g141800, Bo1g147530
OG0002537	AT3G22330	Bo1g105200
OG0002537	AT3G22310	Bo5g098110
OG0002538	AT1G32760	Bo5g049330
OG0002538	AT4G10630	Bo3g044840
OG0002539	AT1G69360	Bo6g108790
OG0002539	AT1G26620	Bo5g042710, Bo7g054130
OG0002540	AT1G79520	Bo6g123940
OG0002540	AT1G16310	Bo5g021680, Bo8g105550
OG0002541	AT5G44130	Bo9g059630, Bo2g152960
OG0002541	AT1G03870	Bo5g004170
OG0002542	AT5G67360	Bo7g063680, Bo9g007870, Bo9g020230, Bo9g020210, Bo9g020240, Bo9g020260, Bo2g167970
OG0002543	AT1G18460	Bo8g104400
OG0002543	AT1G73920	Bo6g118210, Bo6g087410
OG0002544	AT5G24280	Bo7g097060
OG0002544	AT5G24275	Bo7g097100
OG0002545	AT5G25460	Bo7g095960, Bo2g158650
OG0002545	AT5G11420	Bo2g010390
OG0002546	AT4G11960	Bo3g045510
OG0002546	AT4G22890	Bo1g031800, Bo7g108310
OG0002547	AT2G28620	Bo4g165530
OG0002547	AT3G45850	Bo1g067300
OG0002548	AT3G10720	Bo1g141540
OG0002548	AT5G04970	Bo9g177520, Bo3g003090, Bo3g003100
OG0002549	AT2G22170	Bo8g101280, Bo4g148350
OG0002549	AT4G39730	Bo3g151440
OG0002550	AT1G80810	Bo6g124210
OG0002550	AT1G15940	Bo5g021440, Bo8g105710, Bo8g066610
OG0002551	AT5G20885	Bo3g015410, Bo9g150410, Bo2g023220
OG0002552	AT5G04770	Bo3g002970
OG0002552	AT3G10600	Bo1g142590
OG0002553	AT1G30230	Bo5g062610
OG0002554	AT1G32920	Bo5g049440
OG0002554	AT1G32928	Bo5g086810, Bo5g049450
OG0002556	AT3G08750, AT3G10430, AT4G04690	Bo1g143890, Bo1g143900
OG0002564	AT3G27300	Bo7g084410, Bo9g008230
OG0002564	AT5G40760	Bo6g064730
OG0002565	AT1G55200	Bo3g184790
OG0002565	AT3G13690	Bo1g135020, Bo5g132240
OG0002566	AT5G59740	Bo9g140720, Bo2g025480, Bo3g017780
OG0002567	AT3G22240, AT3G22235, AT3G22231	Bo1g105310, Bo03118s010, Bo9g151420, Bo3g080060
OG0002568	AT1G11250	Bo5g013600, Bo8g109020
OG0002569	AT4G14130	Bo8g036840
OG0002569	AT3G23730	Bo7g039110
OG0002570	AT5G54490	Bo2g041760, Bo9g117420
OG0002570	AT4G27280	Bo1g048150
OG0002571	AT3G02410	Bo5g152640
OG0002571	AT5G15860	Bo2g012820
OG0002572	AT5G19380	Bo2g017990
OG0002572	AT5G12170	Bo2g010850
OG0002573	AT4G25410	Bo7g110290, Bo8g050700, Bo1g040100
OG0002574	AT5G59550	Bo9g139480, Bo2g026660
OG0002574	AT3G46620	Bo3g132730
OG0002575	AT4G32610	Bo3g172290, Bo7g115790, Bo1g010010, Bo1g010220
OG0002575	AT2G25670	Bo8g099020
OG0002576	AT1G23770, AT1G23780	Bo3g091460, Bo4g145410, Bo7g055970
OG0002577	AT1G61130	Bo1g094720
OG0002577	AT1G11080, AT4G15100	Bo8g059790, Bo5g013460
OG0002578	AT4G31170	Bo1g011550, Bo3g175050, Bo7g115000
OG0002579	AT1G10870	Bo5g013320
OG0002579	AT1G60860	Bo9g043660
OG0002580	AT1G03920	Bo5g004210
OG0002580	AT2G20470	Bo7g003540, Bo8g102360
OG0002581	AT1G17420	Bo8g067210, Bo8g104870
OG0002581	AT1G72520	Bo2g076880
OG0002583	AT4G34570	Bo1g007160
OG0002583	AT2G16370	Bo3g090180
OG0002584	AT1G72620	Bo6g091380
OG0002585	AT5G49215	Bo9g072720, Bo7g092600
OG0002585	AT3G06770	Bo3g060810
OG0002586	AT5G27930	Bo2g155520, Bo9g010610
OG0002587	AT2G17780	Bo9g024720
OG0002587	AT4G35920	Bo7g117680, Bo1g006090
OG0002588	AT1G01170	Bo5g002660
OG0002588	AT4G00860	Bo3g053340, Bo9g003930
OG0002589	AT1G14650	Bo5g019860, Bo8g066150
OG0002590	AT2G42310	Bo3g035980
OG0002591	AT2G33000	Bo2g155170, Bo01029s020
OG0002592	AT1G78820	Bo6g122350, Bo6g081510
OG0002593	AT1G61740	Bo9g040940, Bo1g098520
OG0002594	AT1G01790	Bo5g001160, Bo8g118080, Bo5g001180
OG0002595	AT2G41960	Bo4g014640
OG0002596	AT3G13062	Bo1g138630, Bo3g065310
OG0002596	AT1G55960	Bo6g035900
OG0002597	AT1G17730, AT1G73030	Bo2g079240, Bo6g116430, Bo6g088100
OG0002598	AT1G18790	Bo8g068090
OG0002599	AT4G16155	Bo1g055050
OG0002599	AT3G16950	Bo3g068570
OG0002600	AT4G01510	Bo9g004060
OG0002600	AT1G01020	Bo5g002800
OG0002601	AT1G53590	Bo6g037260
OG0002601	AT3G14590	Bo5g129060, Bo1g131140, Bo1g131200
OG0002602	AT2G18450	Bo3g094190
OG0002602	AT5G66760	Bo2g167770, Bo9g021680, Bo7g064530
OG0002603	AT3G50570	Bo1g084880, Bo8g080000
OG0002604	AT1G28695, AT1G28700, AT1G28710	Bo9g120340, Bo8g016740
OG0002605	AT2G46400	Bo3g039240, Bo4g009350, Bo4g009270
OG0002606	AT1G54070	Bo6g050880
OG0002607	AT1G76860	Bo6g120860, Bo6g083710
OG0002608	AT3G59950	Bo4g106460, Bo8g094700
OG0002608	AT2G44140	Bo4g021300
OG0002609	AT5G10060	Bo2g009690, Bo3g005410
OG0002610	AT5G19480	Bo9g153720
OG0002610	AT5G12230	Bo9g169540, Bo3g007600
OG0002612	AT1G51770	Bo6g042390
OG0002612	AT3G21310	Bo5g101200
OG0002613	AT4G21902	Bo1g025730
OG0002613	AT4G04745	Bo3g048390
OG0002614	AT5G49560	Bo1g055370
OG0002615	AT3G47060	Bo3g134190
OG0002615	AT5G58870	Bo9g135680
OG0002616	AT4G33650	Bo7g116290, Bo1g007960, Bo3g170550
OG0002617	AT2G27070, AT5G07210	Bo2g007540, Bo3g004250, Bo9g175250
OG0002618	AT5G47610	Bo7g077750, Bo2g133500
OG0002618	AT4G17245	Bo8g047240
OG0002619	AT2G20580	Bo7g003400
OG0002619	AT4G28470	Bo8g054340, Bo1g017470, Bo7g113140
OG0002620	AT1G16300	Bo5g021670
OG0002620	AT1G79530	Bo2g095350, Bo6g080970
OG0002621	AT3G09820	Bo1g144260
OG0002621	AT5G03300	Bo3g002270
OG0002622	AT3G04700	Bo3g058540, Bo00828s030, Bo00834s060
OG0002622	AT5G28690	Bo7g093060
OG0002623	AT5G36970	Bo6g057620, Bo4g136300
OG0002623	AT1G65690	Bo2g052500
OG0002624	AT4G33230	Bo7g116070
OG0002624	AT2G26450	Bo3g041880
OG0002625	AT5G35700	Bo4g134730, Bo8g030450
OG0002625	AT2G04750	Bo9g028410
OG0002626	AT5G17440	Bo2g013720, Bo9g160220
OG0002627	AT3G44720	Bo3g119580
OG0002627	AT5G22630	Bo2g024140, Bo9g148270
OG0002628	AT5G18220	Bo9g157380
OG0002628	AT3G04010	Bo5g148460
OG0002629	AT2G42290	Bo4g191400
OG0002629	AT3G57830	Bo8g092260
OG0002630	AT4G37730	Bo1g003470, Bo7g118720
OG0002631	AT2G47630	Bo4g199730
OG0002631	AT3G62860	Bo4g098470
OG0002632	AT5G41900	Bo6g066570, Bo4g142700
OG0002632	AT1G64670	Bo9g031090
OG0002633	AT1G18830	Bo8g068120
OG0002633	AT3G63460	Bo4g097000, Bo8g098660, Bo6g079860
OG0002634	AT1G07090	Bo8g114290, Bo5g007930
OG0002635	AT1G15150, AT1G15160, AT1G15180, AT1G15170	Bo5g020590, Bo8g066260, Bo8g106200
OG0002636	AT5G54510	Bo3g022080, Bo2g041710
OG0002636	AT4G27260	Bo7g111320, Bo1g048130
OG0002637	AT1G80180	Bo2g096200
OG0002637	AT1G15400	Bo5g020860, Bo8g106040
OG0002638	AT3G05490	Bo3g058950, Bo1g151560, Bo5g145350
OG0002639	AT4G19840	Bo1g022000, Bo3g160910
OG0002640	AT3G05830	Bo5g145050
OG0002640	AT5G26770	Bo7g095010, Bo9g010790
OG0002641	AT2G36026	Bo4g035130, Bo4g185940
OG0002642	AT2G35690	Bo3g028490
OG0002642	AT4G16760	Bo1g053250
OG0002643	AT5G23380	Bo9g014200
OG0002644	AT3G06750	Bo5g143180, Bo3g060790
OG0002644	AT5G49280	Bo7g092640
OG0002645	AT1G29980	Bo5g061140
OG0002645	AT2G34510	Bo4g039760
OG0002646	AT5G18150	Bo3g012990, Bo2g014300
OG0002646	AT5G14602	Bo2g012020, Bo2g012030
OG0002647	AT5G15460	Bo3g010280
OG0002648	AT1G32380	Bo5g088280, Bo5g049020
OG0002648	AT2G35390	Bo4g038650
OG0002649	AT1G52730	Bo6g030670
OG0002650	AT1G72660	Bo6g116080
OG0002650	AT1G17470	Bo5g023820
