Orthogroup	Arabidopsis_thaliana	Brassica_rapa
OG0001411	AT4G17460	Bra026255, Bra012663
OG0001411	AT5G47370	Bra017489, Bra024948
OG0001412	AT3G61260	Bra007589
OG0001412	AT2G45820	Bra039311, Bra004940
OG0001413	AT2G33850	Bra021883
OG0001413	AT1G28400	Bra032906, Bra010876
OG0001414	AT5G04390	Bra028791, Bra005803, Bra009457
OG0001414	AT3G10470	Bra034116, Bra029843
OG0001415	AT1G05860	Bra015458, Bra030629
OG0001415	AT2G31600, AT3G53860	Bra022857
OG0001416	AT2G18080	Bra037239
OG0001416	AT4G36190, AT4G36195	Bra017751, Bra011669
OG0001417	AT3G18035	Bra021288
OG0001417	AT1G48620	Bra018744, Bra032258
OG0001418	AT1G59940	Bra027829
OG0001418	AT1G10470	Bra019932, Bra031714, Bra036963, Bra018439
OG0001419	AT1G77000	Bra003692, Bra015699
OG0001419	AT1G21410	Bra016422
OG0001420	AT1G66120	Bra039743
OG0001420	AT1G68270, AT1G65890, AT1G65880	Bra038189
OG0001421	AT5G64570	Bra031912, Bra024311, Bra037782
OG0001421	AT5G09700, AT5G09730	Bra004202
OG0001422	AT2G47560	Bra004446, Bra021404, Bra010023
OG0001422	AT3G62690	Bra007694, Bra003507
OG0001423	AT3G04050	Bra007286, Bra001095, Bra031951, Bra036411
OG0001424	AT5G48360	Bra037491
OG0001424	AT3G07540	Bra001256, Bra012246, Bra029655
OG0001425	AT2G14610	Bra013123
OG0001426	AT1G04180	Bra032524, Bra015293
OG0001426	AT5G43890	Bra036002, Bra033703
OG0001427	AT1G70560	Bra016203, Bra007924
OG0001427	AT1G23320	Bra024585, Bra024582
OG0001428	AT1G70780	Bra003942, Bra007943, Bra016187
OG0001428	AT1G23150	Bra016360
OG0001429	AT2G14760	Bra039819
OG0001429	AT4G33880	Bra036969, Bra011476, Bra034587
OG0001430	AT2G46494, AT2G46493	Bra039282
OG0001430	AT2G46495	Bra039281
OG0001431	AT3G59440	Bra003376, Bra007450
OG0001431	AT2G43290	Bra035972, Bra037722, Bra034870, Bra019554
OG0001432	AT5G03530	Bra009524, Bra028830
OG0001432	AT3G09910	Bra029804
OG0001433	AT1G01540	Bra033255, Bra032639
OG0001433	AT4G01330	Bra037362
OG0001434	AT1G06170	Bra015480
OG0001434	AT2G31220	Bra018270, Bra021711
OG0001435	AT4G17960	Bra013271
OG0001435	AT5G46620	Bra022049, Bra025010
OG0001436	AT5G25470, AT5G25475	Bra022263, Bra001690, Bra021284, Bra020501, Bra009842
OG0001437	AT1G53380	Bra039667
OG0001437	AT3G14870	Bra001571, Bra027298
OG0001438	AT1G16710	Bra026708, Bra016634
OG0001438	AT1G79000	Bra008389, Bra035082
OG0001439	AT5G17970	Bra023647
OG0001439	AT5G18360	Bra022850
OG0001440	AT1G53360, AT1G53370	Bra020852, Bra020853, Bra009402, Bra020849
OG0001441	AT1G31180, AT5G14200	Bra023450
OG0001441	AT1G80560	Bra008463, Bra035169
OG0001442	AT5G55440, AT5G67040	Bra040901
OG0001443	AT1G74660	Bra003791, Bra015898
OG0001443	AT1G18835	Bra031051, Bra016538, Bra025688
OG0001444	AT3G24100	Bra028361
OG0001444	AT4G13615	Bra032721
OG0001445	AT3G07490	Bra001254, Bra040379
OG0001445	AT4G12860	Bra000299, Bra032677, Bra034907
OG0001446	AT4G03570, AT4G03590	Bra038104, Bra034221
OG0001447	AT1G63170	Bra027625
OG0001447	AT1G12760	Bra016759, Bra019784, Bra026955
OG0001448	AT5G17260	Bra008567, Bra006392
OG0001448	AT3G03200	Bra021366, Bra032009
OG0001449	AT2G45310	Bra000385
OG0001449	AT4G00110	Bra037315
OG0001450	AT5G37200	Bra028140, Bra028138, Bra015233, Bra028139
OG0001451	AT1G51980	Bra014305, Bra030405, Bra018939
OG0001451	AT3G16480	Bra022162
OG0001452	AT3G27390	Bra025273, Bra033007
OG0001452	AT5G40640	Bra025556, Bra028468
OG0001453	AT3G60966	Bra014508, Bra007511
OG0001453	AT2G44581, AT2G44578	Bra037644, Bra004847
OG0001454	AT2G43255	Bra037725
OG0001454	AT2G38995	Bra000110, Bra000109
OG0001455	AT2G40370	Bra017010, Bra004966
OG0001455	AT5G05390	Bra028760, Bra009111
OG0001456	AT1G32100	Bra023237, Bra033856
OG0001457	AT1G58270	Bra003837, Bra003836, Bra015981
OG0001458	AT2G35510	Bra033139, Bra017317, Bra005336
OG0001458	AT1G32230	Bra035511, Bra023252
OG0001459	AT5G05670	Bra009124, Bra005862
OG0001459	AT2G18770	Bra038817
OG0001460	AT2G23180	Bra039187, Bra038413
OG0001460	AT4G39490	Bra033623
OG0001460	AT4G39480	Bra033622
OG0001461	AT2G17370	Bra002053
OG0001461	AT1G76490	Bra015739, Bra008261
OG0001462	AT3G24260, AT3G28870	Bra014994, Bra014993, Bra028349, Bra028354
OG0001463	AT4G21940	Bra013575
OG0001463	AT4G04740, AT4G04720	Bra018504
OG0001464	AT1G15800	Bra026101
OG0001464	AT1G80610	Bra035167, Bra008451
OG0001465	AT5G10270	Bra009045
OG0001465	AT5G64960	Bra024341, Bra031892, Bra028333
OG0001466	AT5G26690	Bra020527
OG0001466	AT3G05920	Bra040245, Bra020799
OG0001467	AT2G42300	Bra004679
OG0001467	AT3G57800	Bra014603, Bra003300, Bra007358
OG0001468	AT1G33610	Bra010209
OG0001468	AT1G33590	Bra028006
OG0001469	AT1G27180, AT1G27170	Bra016314, Bra024651
OG0001470	AT1G15690	Bra016653, Bra026115
OG0001471	AT5G39560	Bra024184, Bra024185
OG0001472	AT1G07380	Bra030680
OG0001472	AT2G38010	Bra017143, Bra005143
OG0001473	AT1G04070	Bra015286
OG0001473	AT5G43970	Bra027518, Bra033708
OG0001474	AT3G48000	Bra019522, Bra018090
OG0001474	AT1G23800	Bra024619, Bra016330
OG0001475	AT5G61320, AT1G64900, AT1G64930, AT1G64940, AT2G12190, AT1G64950	Bra008510
OG0001476	AT2G34160	Bra005449
OG0001476	AT1G29250	Bra032296, Bra030127, Bra010843
OG0001477	AT2G46210	Bra004560
OG0001477	AT3G61580	Bra003457, Bra014430, Bra007615
OG0001478	AT2G19980	Bra036696, Bra039032
OG0001478	AT2G19970	Bra039031
OG0001479	AT3G01340	Bra039126
OG0001479	AT2G30050	Bra021603, Bra022774, Bra018343
OG0001480	AT1G31850	Bra033872, Bra023213
OG0001480	AT4G19120	Bra013374, Bra012557, Bra020975
OG0001482	AT3G10820	Bra001382, Bra029870
OG0001482	AT5G05140	Bra009090, Bra028770, Bra005842
OG0001483	AT5G19550	Bra002245, Bra020047
OG0001483	AT1G62800	Bra027015, Bra034522, Bra036647
OG0001484	AT2G44735	Bra022633
OG0001484	AT3G18720	Bra038847, Bra012170
OG0001485	AT3G01040	Bra039149, Bra001025
OG0001485	AT5G15470	Bra006301, Bra008696, Bra023519
OG0001487	AT3G02000	Bra000980
OG0001487	AT5G14070	Bra023448, Bra006236, Bra008782
OG0001488	AT4G15800	Bra012764
OG0001488	AT3G16570	Bra022168, Bra001636
OG0001489	AT1G14880, AT1G14870, AT5G35525	Bra026795, Bra026181, Bra026796
OG0001490	AT3G60250	Bra007520, Bra003407
OG0001490	AT2G44680	Bra000359
OG0001491	AT3G01220	Bra039135
OG0001491	AT5G15150	Bra006285, Bra023506, Bra008717
OG0001492	AT4G10430	Bra033173
OG0001492	AT1G33230	Bra040009, Bra036730
OG0001493	AT2G29130	Bra018408
OG0001493	AT5G60020	Bra002515, Bra020269, Bra006683
OG0001494	AT1G22430	Bra031390
OG0001495	AT1G76350	Bra015758
OG0001495	AT1G20640	Bra012241, Bra016458, Bra025834
OG0001496	AT5G60440	Bra002480
OG0001497	AT4G37790	Bra011786, Bra017853, Bra010612
OG0001497	AT2G22800	Bra030200
OG0001498	AT2G35600	Bra017311, Bra005326
OG0001498	AT2G21030, AT1G31880	Bra033869, Bra035521, Bra023219
OG0001499	AT1G60787, AT2G21810, AT2G21850, AT2G21840, AT2G21830	Bra033990
OG0001500	AT1G75220	Bra008184, Bra003761, Bra015858
OG0001500	AT1G19450	Bra025740
OG0001501	AT1G60590	Bra027148
OG0001501	AT1G10640	Bra019912, Bra018429, Bra031724
OG0001502	AT5G15950	Bra008662
OG0001502	AT3G17717, AT3G02470	Bra021458, Bra039176, Bra001046
OG0001503	AT2G19670	Bra039010
OG0001503	AT4G29510	Bra011118, Bra024143
OG0001504	AT3G48450	Bra018058, Bra019544
OG0001504	AT5G63270	Bra038620, Bra029233
OG0001505	AT3G05230	Bra039451, Bra001141
OG0001505	AT5G27430	Bra020590
OG0001506	AT2G35850	Bra017286, Bra023034
OG0001506	AT3G52360	Bra006919, Bra033440
OG0001507	AT3G15358	Bra021103
OG0001507	AT1G53035	Bra038096, Bra019009
OG0001508	AT1G70510	Bra007920
OG0001508	AT1G23380	Bra016348, Bra024591, Bra024592, Bra024593
OG0001509	AT5G15790	Bra008675, Bra006321
OG0001509	AT3G02290	Bra039168
OG0001510	AT3G01650	Bra000997, Bra039105
OG0001510	AT5G14420	Bra006253, Bra023465, Bra008758
OG0001511	AT1G07900	Bra018675, Bra031599
OG0001511	AT2G28500	Bra011942, Bra035698, Bra000491
OG0001512	AT5G54100	Bra003016, Bra029043, Bra022695, Bra022696
OG0001513	AT4G14819	Bra039709, Bra036906
OG0001513	AT3G22540	Bra001872
OG0001514	AT3G59580	Bra003382
OG0001514	AT2G43500	Bra000308, Bra000307, Bra004767, Bra037708, Bra037711
OG0001515	AT1G59900	Bra035416
OG0001515	AT1G24180	Bra024643, Bra012418
OG0001516	AT2G18600	Bra038542
OG0001516	AT4G36800	Bra010575, Bra011708, Bra014836, Bra017784, Bra036361
OG0001517	AT2G41210	Bra000219, Bra004606
OG0001517	AT3G56960	Bra007288, Bra014660, Bra003258
OG0001518	AT2G16900	Bra002003, Bra013042
OG0001518	AT4G35110	Bra034676, Bra011586
OG0001519	AT5G45750	Bra021984, Bra025060
OG0001519	AT4G18800	Bra012576, Bra013349
OG0001520	AT1G72110	Bra023022
OG0001521	AT4G37740	Bra017851, Bra011781
OG0001521	AT2G22840	Bra000575
OG0001522	AT2G20110	Bra041042, Bra041164
OG0001522	AT4G29000	Bra010348, Bra025590, Bra011075, Bra024171
OG0001523	AT1G72370	Bra003882, Bra008030
OG0001524	AT1G50640	Bra018864
OG0001524	AT3G20310	Bra035792, Bra038261, Bra001784
OG0001525	AT1G69523	Bra004391
OG0001525	AT1G69526	Bra003996
OG0001527	AT2G19500	Bra040677, Bra036719
OG0001527	AT4G29740	Bra024135
OG0001528	AT5G17810	Bra023638, Bra002108
OG0001528	AT3G03660	Bra036446, Bra031980
OG0001529	AT3G30180	Bra025409, Bra020747, Bra036203
OG0001529	AT5G38970	Bra025427
OG0001530	AT3G24310	Bra001941, Bra028369, Bra015029
OG0001531	AT1G60670	Bra027143, Bra031487
OG0001531	AT1G10820	Bra019900, Bra031746, Bra018421
OG0001532	AT5G04990	Bra009405
OG0001532	AT3G10730	Bra029862
OG0001533	AT3G14060	Bra021528
OG0001533	AT1G54120	Bra030903
OG0001534	AT4G26080	Bra019121, Bra013945, Bra010441
OG0001534	AT5G57050	Bra002766
OG0001535	AT1G19400	Bra031080
OG0001535	AT1G75180	Bra003765, Bra015862
OG0001536	AT5G53030	Bra003089, Bra022620
OG0001536	AT4G27810	Bra019025, Bra026305
OG0001537	AT2G30620	Bra018301, Bra021654, Bra022809
OG0001539	AT3G02160	Bra001033, Bra039159
OG0001539	AT5G15570	Bra023525, Bra008690
OG0001540	AT4G32030	Bra011316, Bra040065
OG0001541	AT3G13410	Bra027438, Bra039391, Bra001505
OG0001542	AT4G36680	Bra010568
OG0001542	AT2G18520	Bra037216
OG0001543	AT3G46130	Bra018223
OG0001543	AT5G59780	Bra002533, Bra006694, Bra020289
OG0001544	AT4G12120	Bra029438, Bra038812, Bra000761
OG0001544	AT1G12360	Bra026974, Bra019760
OG0001545	AT3G58560	Bra003342
OG0001545	AT3G58580	Bra007403, Bra014566, Bra003344
OG0001546	AT4G30980	Bra011237
OG0001546	AT2G24260	Bra007863, Bra032111
OG0001547	AT5G02840	Bra005754, Bra005751, Bra009562
OG0001547	AT3G09600	Bra029778
OG0001548	AT4G25620	Bra019149, Bra013904
OG0001548	AT5G52430	Bra028308
OG0001549	AT2G25295	Bra005830, Bra037447
OG0001550	AT1G69760	Bra007879, Bra016267
OG0001550	AT1G26920	Bra024675, Bra016296
OG0001551	AT3G01329, AT3G01324	Bra040511
OG0001551	AT3G27425	Bra004703
OG0001552	AT3G10525	Bra029848, Bra001367, Bra034123
OG0001552	AT5G04470	Bra028788, Bra005808, Bra009451
OG0001553	AT1G48260	Bra032246, Bra014124
OG0001553	AT3G17510	Bra022219, Bra001665
OG0001554	AT1G72740	Bra016037
OG0001554	AT1G17520	Bra016598, Bra025967, Bra030992
OG0001555	AT1G55570	Bra038001
OG0001555	AT3G13390	Bra001503, Bra039388, Bra034680
OG0001556	AT1G56110	Bra030816, Bra040785
OG0001556	AT3G12860	Bra001474
OG0001557	AT1G51055, AT1G50980	Bra014284, Bra018884, Bra018883, Bra036569
OG0001558	AT5G43090, AT5G43110	Bra027472, Bra033659
OG0001558	AT4G08560	Bra030058, Bra032843
OG0001559	AT1G52890	Bra018998
OG0001559	AT3G15500	Bra021113, Bra001596, Bra027238
OG0001560	AT2G22425	Bra038525
OG0001560	AT4G40042	Bra011812
OG0001561	AT5G23960	Bra040582, Bra040354, Bra040920, Bra009717
OG0001564	AT2G06166, AT4G17718	Bra012648, Bra012647
OG0001567	AT1G70420	Bra007913, Bra016221
OG0001567	AT1G23710	Bra024611
OG0001568	AT5G17220	Bra023602, Bra008570
OG0001568	AT3G03190	Bra032010
OG0001569	AT1G72770	Bra016034
OG0001569	AT1G17550	Bra016595, Bra025964
OG0001570	AT2G41300	Bra000223, Bra004614
OG0001570	AT3G57010	Bra014655
OG0001571	AT1G71130	Bra007963, Bra003936
OG0001571	AT1G22985	Bra016367, Bra012352
OG0001572	AT2G40420	Bra017005
OG0001572	AT3G56200	Bra007226, Bra007225
OG0001573	AT4G16600	Bra038490
OG0001573	AT2G35710	Bra005312, Bra017301
OG0001574	AT5G05460	Bra005854
OG0001574	AT3G61010, AT3G11040	Bra034160, Bra034162
OG0001576	AT5G22980	Bra006646, Bra020227
OG0001576	AT3G45010	Bra019415
OG0001577	AT5G16500	Bra006358, Bra008617
OG0001577	AT3G02810	Bra001065, Bra040602
OG0001578	AT5G59270, AT5G59260	Bra020338, Bra002597
OG0001579	AT4G14500	Bra039856, Bra036864
OG0001579	AT3G23080	Bra023766, Bra033882
OG0001580	AT1G23330	Bra016352, Bra024588
OG0001580	AT1G10740	Bra018424, Bra031751
OG0001581	AT5G47230	Bra024953, Bra017493
OG0001581	AT4G17490	Bra021049, Bra040158
OG0001582	AT3G56300	Bra033384
OG0001582	AT5G38830	Bra028978, Bra028205, Bra028421
OG0001583	AT4G04605	Bra018498
OG0001583	AT4G04555, AT4G04580	Bra029503
OG0001584	AT5G16400	Bra023564
OG0001584	AT3G02730	Bra040596, Bra021417
OG0001585	AT3G11320	Bra034851
OG0001585	AT5G05820	Bra009137, Bra005868
OG0001586	AT2G45870	Bra039307
OG0001586	AT3G61320	Bra007596, Bra014443
OG0001587	AT1G75680	Bra015827, Bra008214
OG0001587	AT1G19940	Bra025783, Bra012198
OG0001589	AT1G75370	Bra003757
OG0001589	AT1G19650	Bra012186, Bra025754
OG0001590	AT2G35240	Bra005357, Bra017328
OG0001591	AT3G23990	Bra001934
OG0001591	AT2G33210	Bra022931, Bra005514
OG0001592	AT1G73690	Bra015974
OG0001593	AT5G62920	Bra010132
OG0001593	AT3G48100	Bra019524, Bra018084, Bra033773
OG0001594	AT2G31360	Bra018251, Bra022837, Bra021736
OG0001594	AT1G06080	Bra032439, Bra015472
OG0001595	AT1G11340	Bra019855, Bra019856, Bra019863
OG0001595	AT1G11410	Bra019854
OG0001596	AT1G55730, AT1G55720	Bra030840
OG0001596	AT3G13320	Bra039385, Bra001499, Bra034690
OG0001597	AT1G03980	Bra032535
OG0001597	AT5G44070	Bra033718, Bra036010
OG0001598	AT3G55110	Bra014775, Bra003208, Bra007141
OG0001598	AT3G55130	Bra035353, Bra014773
OG0001599	AT3G62270	Bra014404
OG0001599	AT2G47160	Bra000442, Bra021386, Bra004476
OG0001600	AT3G48360	Bra018065
OG0001600	AT5G63160	Bra038612, Bra029235
OG0001601	AT5G23130	Bra008537, Bra013019
OG0001601	AT5G08200	Bra009329, Bra005977, Bra028667
OG0001603	AT1G60780	Bra031481
OG0001603	AT1G10730	Bra031752
OG0001604	AT1G02890	Bra032579, Bra033356
OG0001604	AT4G02480	Bra000878, Bra036265, Bra018548
OG0001605	AT5G18320, AT5G18330, AT5G18340	Bra002153, Bra006451
OG0001606	AT1G65240	Bra040466
OG0001606	AT5G36260	Bra039497, Bra035522, Bra035359
OG0001607	AT4G26350	Bra007575, Bra007397
OG0001607	AT4G26340	Bra019111, Bra026446
OG0001608	AT3G23840	Bra014988
OG0001608	AT4G13840	Bra032743
OG0001609	AT5G05657, AT5G06330	Bra005892
OG0001609	AT3G11660	Bra038671, Bra034822
OG0001610	AT2G19210	Bra012171
OG0001610	AT4G29990	Bra011156
OG0001610	AT2G19190	Bra012169
OG0001611	AT4G11920	Bra000756, Bra029426
OG0001611	AT4G22910	Bra019347, Bra013655
OG0001612	AT4G26760	Bra026405, Bra010428
OG0001612	AT5G55230	Bra035564, Bra002922, Bra028986
OG0001613	AT1G27080	Bra012429
OG0001613	AT1G69870	Bra016259, Bra007886
OG0001614	AT4G18900	Bra020985
OG0001614	AT4G18905	Bra020984, Bra013360
OG0001615	AT3G48680	Bra018042
OG0001615	AT5G63510	Bra035840, Bra038640, Bra029221
OG0001616	AT2G01610	Bra017437, Bra026646
OG0001616	AT1G14890	Bra016678, Bra026180
OG0001617	AT3G14350	Bra021551, Bra027347
OG0001617	AT1G53730	Bra039687, Bra030923
OG0001618	AT1G76590	Bra015731
OG0001618	AT1G21000	Bra012263, Bra016441, Bra025865
OG0001619	AT3G27630	Bra025292, Bra039074
OG0001619	AT5G40460	Bra025573
OG0001620	AT1G03700	Bra015256
OG0001620	AT4G03540	Bra034215
OG0001621	AT1G18770, AT1G18760	Bra038122, Bra016543, Bra025686, Bra018734, Bra018733
OG0001622	AT2G46260	Bra000417, Bra004551
OG0001622	AT3G61600	Bra007618, Bra003459
OG0001623	AT3G25420	Bra015124
OG0001623	AT4G12910	Bra032681
OG0001624	AT3G02310	Bra039170, Bra021470
OG0001624	AT5G15800	Bra006322, Bra008674
OG0001625	AT5G44310	Bra027542, Bra036021
OG0001625	AT4G21020	Bra041061, Bra020879, Bra013489
OG0001626	AT5G43460	Bra027498
OG0001626	AT1G04340	Bra030565
OG0001627	AT2G44180	Bra000344
OG0001627	AT3G59990	Bra003398, Bra014520, Bra007499
OG0001628	AT1G12880	Bra019796
OG0001628	AT3G26690	Bra025222, Bra032941
OG0001629	AT5G50800	Bra040489
OG0001629	AT4G25010	Bra019197, Bra010477, Bra013854
OG0001630	AT5G37475	Bra025446, Bra028118
OG0001630	AT1G66070	Bra039748, Bra004143
OG0001631	AT3G50100	Bra036055
OG0001632	AT5G08000	Bra009313
OG0001632	AT5G61130	Bra035941, Bra029334, Bra012981
OG0001633	AT3G26520	Bra025210, Bra032937
OG0001633	AT2G36830	Bra017222
OG0001634	AT1G19070, AT4G22280	Bra019388
OG0001635	AT2G17150	Bra002025, Bra009659
OG0001635	AT4G35270	Bra011600, Bra017705
OG0001636	AT5G10040	Bra009062
OG0001636	AT5G65207	Bra037808, Bra031873, Bra024364
OG0001637	AT1G35710	Bra034404
OG0001637	AT4G08850	Bra000657
OG0001638	AT1G49000	Bra018771, Bra014167
OG0001638	AT3G18560	Bra037578
OG0001639	AT2G34600	Bra021923, Bra022981
OG0001639	AT1G30135	Bra032362, Bra010794
OG0001640	AT4G14990	Bra036918
OG0001640	AT3G22270	Bra023839, Bra031345
OG0001641	AT3G09570	Bra029775
OG0001641	AT5G18520	Bra023680, Bra006464
OG0001642	AT1G06920	Bra031546
OG0001642	AT2G30400	Bra018316, Bra022796, Bra021632
OG0001643	AT1G62450	Bra027043, Bra036660, Bra034515
OG0001643	AT1G12070	Bra016793, Bra026994, Bra019740
OG0001644	AT1G63450	Bra027802
OG0001644	AT5G41250	Bra028492
OG0001645	AT2G28680	Bra011933, Bra035679
OG0001645	AT1G07750	Bra018688, Bra031591, Bra030698
OG0001646	AT4G17270	Bra026241, Bra012670
OG0001646	AT5G47540	Bra014431, Bra024936, Bra022139
OG0001647	AT5G65690	Bra024410, Bra031848
OG0001647	AT4G37870	Bra011792, Bra017856
OG0001648	AT3G06868	Bra040297, Bra029609, Bra001222
OG0001648	AT5G49100	Bra020663, Bra037437
OG0001649	AT5G21950	Bra020161, Bra002376
OG0001649	AT4G33180	Bra037017, Bra011425
OG0001650	AT1G02390	Bra033323
OG0001650	AT4G01950	Bra036303, Bra000903
OG0001651	AT5G45630	Bra017599
OG0001651	AT4G18980	Bra013366
OG0001652	AT2G44430	Bra004831
OG0001652	AT3G60110	Bra007506, Bra014512
OG0001653	AT5G25810	Bra009862, Bra036552
OG0001653	AT5G11590	Bra008952, Bra023332
OG0001654	AT3G03800	Bra031972, Bra036431
OG0001654	AT5G08080	Bra005968, Bra028672, Bra009318
OG0001655	AT4G04450	Bra029491, Bra000793
OG0001655	AT4G22070	Bra013584
OG0001656	AT5G09410	Bra009382
OG0001656	AT5G64220	Bra016887, Bra037769
OG0001657	AT1G12040	Bra019737, Bra016796, Bra026996
OG0001657	AT1G62440	Bra027044
OG0001658	AT4G40060	Bra011808, Bra010642
OG0001658	AT2G22430	Bra038523, Bra030238
OG0001659	AT1G06180	Bra015481
OG0001659	AT2G31180	Bra022831
OG0001660	AT1G76640	Bra015728, Bra008268, Bra008269
OG0001661	AT2G37550	Bra026910, Bra017179, Bra005187, Bra000005
OG0001661	AT3G53710	Bra039812, Bra007020
OG0001662	AT2G18640	Bra038544
OG0001662	AT2G23800	Bra032140, Bra039216
OG0001663	AT2G30580	Bra018304, Bra021651
OG0001664	AT2G35020	Bra005373
OG0001664	AT1G31070	Bra038405, Bra023160
OG0001665	AT5G10030	Bra009063, Bra028604
OG0001665	AT5G65210	Bra024366, Bra031871
OG0001666	AT4G18290	Bra021012, Bra013296
OG0001666	AT5G46240	Bra025028, Bra017567
OG0001667	AT2G47650	Bra000457
OG0001667	AT3G62830	Bra003511, Bra014390
OG0001668	AT4G26570	Bra019099, Bra026421
OG0001668	AT5G55990	Bra028949
OG0001669	AT2G29020	Bra028387, Bra035656
OG0001671	AT2G14860	Bra039827, Bra039828
OG0001671	AT4G33905	Bra036971
OG0001672	AT3G23805	Bra028344, Bra014983
OG0001672	AT4G13950	Bra014003
OG0001673	AT2G42380	Bra004689
OG0001673	AT3G58120	Bra007380
OG0001674	AT4G16265	Bra040570, Bra033550
OG0001675	AT1G51400	Bra018907
OG0001675	AT3G21055	Bra031247, Bra001809, Bra023909
OG0001676	AT3G50160, AT3G50150	Bra036057
OG0001676	AT3G50200, AT3G50170	Bra012904
OG0001676	AT3G50120	Bra036056, Bra012907
OG0001677	AT1G61150	Bra038574, Bra031450, Bra040665, Bra007765
OG0001678	AT5G41180	Bra028489
OG0001678	AT1G63430	Bra027640, Bra040943
OG0001679	AT2G42500	Bra016870
OG0001680	AT4G22140	Bra020856, Bra019395, Bra013592
OG0001681	AT5G19360	Bra002231, Bra020035
OG0001681	AT5G12180	Bra023367, Bra006142, Bra008910
OG0001682	AT1G49500	Bra032288, Bra014195
OG0001682	AT3G19030	Bra037542, Bra022380, Bra001732
OG0001683	AT5G55090	Bra002933, Bra028991, Bra035552
OG0001683	AT4G26890	Bra026395, Bra010423
OG0001684	AT5G13440, AT5G13430	Bra023411, Bra006198, Bra006199, Bra023412, Bra008830
OG0001685	AT3G09620	Bra029779
OG0001685	AT1G20920	Bra025856
OG0001686	AT4G10500	Bra000713
OG0001686	AT4G10490	Bra000712, Bra037921
OG0001687	AT3G07470	Bra029650, Bra001253
OG0001688	AT1G02820	Bra033350
OG0001688	AT4G02380	Bra000884, Bra036272, Bra018556
OG0001689	AT2G45290	Bra004898
OG0001689	AT3G60750	Bra014473, Bra007555
OG0001690	AT4G11990	Bra029429
OG0001690	AT4G22860	Bra013651, Bra020830
OG0001691	AT3G21352	Bra031278
OG0001692	AT4G20810, AT4G20340	Bra013383
OG0001692	AT1G03280	Bra033381
OG0001693	AT1G74080	Bra015939, Bra008131
OG0001693	AT1G18570	Bra025666, Bra031035, Bra016553
OG0001694	AT3G57140	Bra003269
OG0001694	AT5G04040	Bra028805, Bra005789
OG0001695	AT5G66480	Bra037167
OG0001695	AT3G50910	Bra012880, Bra036850
OG0001696	AT4G18425	Bra013307, Bra021010
OG0001696	AT5G46090	Bra025040, Bra025039
OG0001697	AT1G17455	Bra025974, Bra030990
OG0001697	AT1G72630	Bra008041, Bra003872
OG0001698	AT2G42230	Bra004676
OG0001698	AT3G57890	Bra003303, Bra014600, Bra007365
OG0001699	AT3G12500	Bra034754
OG0001700	AT4G04080	Bra029483
OG0001700	AT4G22220	Bra013601, Bra020855
OG0001701	AT3G61830	Bra014419
OG0001701	AT2G46530	Bra004530
OG0001702	AT4G13520	Bra036772
OG0001702	AT3G24280	Bra035983
OG0001703	AT5G65430	Bra024384, Bra037818
OG0001703	AT5G10450	Bra028586, Bra006061
OG0001704	AT5G42880	Bra041137, Bra033647
OG0001704	AT1G45545	Bra014049, Bra040259
OG0001705	AT5G52470	Bra022595
OG0001705	AT4G25630	Bra013905, Bra019148
OG0001706	AT3G49780	Bra029971
OG0001706	AT5G65870	Bra024425, Bra031844
OG0001707	AT3G51330	Bra012857
OG0001707	AT3G51340	Bra036815
OG0001708	AT1G17950	Bra031008, Bra016575
OG0001708	AT1G73410	Bra008096, Bra015992
OG0001709	AT1G28395	Bra010877
OG0001709	AT2G33847	Bra005466
OG0001710	AT3G15890	Bra001614, Bra021143
OG0001710	AT1G52540	Bra018971, Bra030378
OG0001711	AT2G41630	Bra000232, Bra004630
OG0001711	AT3G10330	Bra001354
OG0001712	AT1G10570	Bra019923
OG0001712	AT2G10625, AT1G60220	Bra027164
OG0001713	AT3G27430	Bra033011
OG0001714	AT3G02880	Bra040609, Bra021408
OG0001714	AT5G16590	Bra023574, Bra008611
OG0001715	AT1G27440	Bra030051
OG0001715	AT5G61840	Bra019618
OG0001716	AT2G24420	Bra007856, Bra032096
OG0001716	AT4G31340	Bra011260, Bra024012
OG0001717	AT5G49230	Bra036148
OG0001717	AT3G06760	Bra001214, Bra029603, Bra040289
OG0001718	AT1G76700	Bra015724
OG0001718	AT1G21080	Bra016434, Bra025872
OG0001719	AT1G16490	Bra026720, Bra026048
OG0001719	AT1G79180	Bra035097, Bra003619
OG0001720	AT2G34020	Bra022963
OG0001720	AT1G29020, AT1G29025	Bra032925
OG0001721	AT5G41730	Bra025468, Bra025469
OG0001721	AT1G64300	Bra027745, Bra027691
OG0001722	AT1G51560	Bra030435
OG0001722	AT3G21140	Bra023902, Bra031254, Bra001814
OG0001723	AT4G18970	Bra012563
OG0001723	AT5G45670	Bra025064, Bra017597
OG0001724	AT1G17250	Bra016611
OG0001724	AT1G72300	Bra008027, Bra016068
OG0001725	AT4G26430	Bra019106, Bra026439
OG0001725	AT5G56280	Bra002827
OG0001726	AT1G53230	Bra030952
OG0001726	AT3G15030	Bra001579, Bra027284, Bra021586
OG0001727	AT1G63090	Bra027618, Bra027000
OG0001727	AT1G12710	Bra019781
OG0001728	AT1G22500	Bra012330, Bra040855
OG0001728	AT1G72200	Bra008015, Bra008016, Bra003887
OG0001729	AT1G44100	Bra036939, Bra032199, Bra014020
