Orthogroup	Arabidopsis_thaliana	Arabis_alpina
OG0001877	AT5G42080	AALP_AA6G313000
OG0001878	AT5G67020	AALP_AA8G503800
OG0001878	AT3G50340	AALP_AA2G030600
OG0001879	AT2G41560	AALP_AA4G199500
OG0001879	AT3G57330	AALP_AA5G217200
OG0001882	AT2G15770, AT2G15340	AALP_AA3G321200
OG0001882	AT2G15780	AALP_AA3G321300
OG0001884	AT1G72960	AALP_AA2G166000
OG0001884	AT3G13870	AALP_AA3G153600
OG0001885	AT3G19680	AALP_AA3G226300
OG0001886	AT3G15480	AALP_AA3G174400
OG0001886	AT1G52910	AALP_AA4G032700
OG0001887	AT1G23350	AALP_AA1G255100
OG0001887	AT1G70540	AALP_AA2G134300
OG0001888	AT5G15380	AALP_AA3G006800
OG0001888	AT5G14620	AALP_AA8G148700
OG0001889	AT5G60200	AALP_AA8G397200
OG0001890	AT3G53040	AALP_AA5G161400
OG0001891	AT5G15700	AALP_AA8G162000
OG0001891	AT1G68990	AALP_AA2G115700
OG0001892	AT3G19380	AALP_AA3G223600
OG0001892	AT1G49780	AALP_AA4G062500
OG0001894	AT5G03470	AALP_AA8G026900
OG0001894	AT3G09880	AALP_AA3G106000
OG0001895	AT4G25940	AALP_AA7G089800
OG0001895	AT5G57200	AALP_AA8G360900
OG0001896	AT1G18900	AALP_AAs52369U000300
OG0001898	AT4G03520	AALP_AA6G047500
OG0001899	AT1G22270	AALP_AA1G243700
OG0001901	AT5G19430	AALP_AA8G216300
OG0001901	AT5G12310	AALP_AA8G123400
OG0001903	AT5G48580	AALP_AA6G098200
OG0001903	AT3G25220	AALP_AA3G293900
OG0001904	AT5G47100	AALP_AA6G106700
OG0001905	AT1G16320	AALP_AA1G181900
OG0001905	AT1G79510	AALP_AA2G245400
OG0001906	AT4G18670	AALP_AA7G009800
OG0001906	AT4G13340	AALP_AA4G093700
OG0001907	AT1G75080	AALP_AA2G192600
OG0001908	AT4G39650	AALP_AA7G274900
OG0001909	AT3G12740	AALP_AA3G137900
OG0001909	AT1G54320	AALP_AA4G002400
OG0001910	AT1G14460	AALP_AA1G160400, AALP_AA1G160500
OG0001911	AT1G65330, AT1G65300	AALP_AA2G069700
OG0001914	AT5G08500	AALP_AA8G082400
OG0001914	AT5G23575	AALP_AA8G412600
OG0001915	AT5G05350	AALP_AA8G047600
OG0001915	AT3G10980	AALP_AA3G119000
OG0001916	AT3G25990	AALP_AA5G027200
OG0001916	AT1G13450	AALP_AA1G147900
OG0001917	AT4G23870	AALP_AA7G068600
OG0001918	AT2G38610	AALP_AA4G167700
OG0001919	AT1G49390	AALP_AA6G351900
OG0001920	AT5G65160	AALP_AA8G485200
OG0001920	AT5G10090	AALP_AA8G095000
OG0001921	AT1G12640	AALP_AA1G138000
OG0001921	AT1G63050	AALP_AA2G010000, AALP_AAs39384U000100
OG0001922	AT1G36370	AALP_AAs71746U000700
OG0001923	AT2G37890	AALP_AA7G127300, AALP_AA4G156200
OG0001923	AT3G53940	AALP_AA5G172100
OG0001924	AT3G47980	AALP_AA5G101900
OG0001926	AT1G28290	AALP_AA1G291300
OG0001927	AT5G11110	AALP_AA8G106300
OG0001927	AT5G20280	AALP_AA8G221000
OG0001928	AT3G11430	AALP_AA3G121100
OG0001928	AT5G06090	AALP_AA8G055300
OG0001930	AT5G07070	AALP_AA8G066200
OG0001931	AT4G36580	AALP_AA7G240700
OG0001931	AT2G18330	AALP_AA3G346900
OG0001932	AT1G49580	AALP_AA4G064700
OG0001932	AT3G19100	AALP_AA3G220000
OG0001933	AT3G18410	AALP_AAs69884U000100
OG0001934	AT3G46600	AALP_AA5G087800
OG0001934	AT5G59450	AALP_AA8G387900
OG0001935	AT5G38700	AALP_AA1G019300
OG0001935	AT4G02170	AALP_AA6G026500
OG0001936	AT4G30470	AALP_AA7G157400
OG0001936	AT2G23910	AALP_AA6G276900, AALP_AA6G277400
OG0001938	AT5G53540	AALP_AA8G318300
OG0001938	AT4G27680	AALP_AA7G114300
OG0001939	AT5G08300, AT5G23250	AALP_AA8G410300
OG0001940	AT1G73190	AALP_AA2G168300
OG0001941	AT2G37790	AALP_AA4G154800
OG0001941	AT2G37770	AALP_AA4G154600
OG0001942	AT2G37960	AALP_AA4G157300
OG0001943	AT1G05640	AALP_AA1G053200
OG0001943	AT2G31820	AALP_AA6G079100
OG0001944	AT2G18860	AALP_AA3G352600
OG0001944	AT4G30240	AALP_AA7G152900
OG0001945	AT3G54600	AALP_AA5G180300
OG0001945	AT2G38860	AALP_AA4G170700
OG0001946	AT4G18700	AALP_AA7G010200
OG0001947	AT1G77500	AALP_AA2G216900
OG0001947	AT1G21740	AALP_AA1G238200
OG0001948	AT3G20060	AALP_AA4G057000
OG0001949	AT5G12110	AALP_AA8G121000
OG0001949	AT5G19510	AALP_AA8G243400
OG0001951	AT2G25250	AALP_AA6G262800
OG0001951	AT4G32020	AALP_AA7G182700
OG0001952	AT4G39950	AALP_AA7G279100
OG0001952	AT2G22330	AALP_AA6G292300
OG0001954	AT1G15960	AALP_AA1G179700
OG0001954	AT1G80830	AALP_AA2G260000, AALP_AA2G261200
OG0001955	AT4G10480	AALP_AA6G166200
OG0001956	AT1G14720	AALP_AA1G167300
OG0001956	AT2G01850	AALP_AA5G010000
OG0001958	AT1G23840, AT1G23830	AALP_AA1G259200
OG0001958	AT1G23850	AALP_AA1G259100
OG0001960	AT1G04810	AALP_AA1G043400
OG0001960	AT2G32730	AALP_AA8G240200
OG0001961	AT1G24170	AALP_AA1G261800
OG0001961	AT1G70090	AALP_AA2G131100
OG0001962	AT2G17620	AALP_AA3G335700
OG0001962	AT4G35620	AALP_AA7G231800
OG0001964	AT5G47490	AALP_AA6G103400
OG0001964	AT5G47480	AALP_AA6G103500
OG0001966	AT5G44560	AALP_AA6G141000
OG0001967	AT2G46330	AALP_AA4G252200
OG0001967	AT3G61640	AALP_AA5G272800
OG0001968	AT4G19640	AALP_AA7G022300
OG0001969	AT5G18620	AALP_AA8G202800
OG0001969	AT3G06400	AALP_AA3G069200
OG0001970	AT1G79230	AALP_AA2G238100
OG0001971	AT1G07160	AALP_AA1G069900
OG0001971	AT2G30020	AALP_AAs67696U000400
OG0001972	AT3G15270	AALP_AA3G171000
OG0001972	AT1G53160	AALP_AA4G030800
OG0001973	AT3G57950	AALP_AA5G233500
OG0001973	AT2G42180	AALP_AA4G210800
OG0001974	AT1G22520	AALP_AA1G245900
OG0001976	AT3G47820	AALP_AA5G100100
OG0001976	AT5G62560	AALP_AA8G456800
OG0001979	AT3G30775	AALP_AA5G064900
OG0001979	AT5G38710	AALP_AA6G348000
OG0001980	AT3G03980	AALP_AA3G035400
OG0001980	AT5G18210	AALP_AA8G197900
OG0001982	AT4G26010	AALP_AA7G091200
OG0001983	AT5G55120	AALP_AA8G336300
OG0001983	AT4G26850	AALP_AA7G101600
OG0001984	AT1G14970	AALP_AA1G168900
OG0001984	AT2G01480	AALP_AA5G004000
OG0001985	AT1G14910	AALP_AA6G310300
OG0001985	AT2G01600	AALP_AA5G005800
OG0001986	AT5G11160	AALP_AA8G108700
OG0001987	AT5G05790	AALP_AA8G054600
OG0001989	AT4G14830, AT3G22530	AALP_AA3G257800
OG0001990	AT1G73540	AALP_AA2G172400
OG0001991	AT2G22050	AALP_AA6G294500
OG0001992	AT3G60800	AALP_AA5G264300
OG0001993	AT1G08200	AALP_AA1G084500
OG0001994	AT3G47710	AALP_AA5G098800
OG0001994	AT1G74500	AALP_AA2G185600
OG0001995	AT1G02816	AALP_AA1G020800
OG0001995	AT4G02370	AALP_AA6G030800
OG0001996	AT3G01500	AALP_AAs64867U000100, AALP_AAs48398U000100
OG0001997	AT4G17980	AALP_AA7G001800
OG0001997	AT5G46590	AALP_AA6G114100
OG0001998	AT4G28440	AALP_AA7G125200
OG0001998	AT1G03810	AALP_AA1G031700
OG0001999	AT4G26590	AALP_AA7G099400
OG0001999	AT5G55930	AALP_AA8G344300
OG0002000	AT1G77240	AALP_AA2G213800
OG0002000	AT1G21540, AT1G21530	AALP_AA1G234200
OG0002001	AT1G14330	AALP_AA1G158500, AALP_AA1G158600
OG0002002	AT4G19690	AALP_AA7G023400
OG0002004	AT1G31710	AALP_AA1G323600
OG0002007	AT5G18170	AALP_AA8G197400
OG0002007	AT3G03910	AALP_AA3G034400
OG0002008	AT4G27780, AT5G53470	AALP_AA8G316300
OG0002009	AT1G73200	AALP_AA2G168400
OG0002010	AT5G01390	AALP_AA8G006800
OG0002010	AT3G08910	AALP_AA3G093400
OG0002011	AT1G52190	AALP_AA4G038900
OG0002011	AT3G16180	AALP_AA3G183300
OG0002012	AT5G55920	AALP_AA8G344200
OG0002013	AT4G02500	AALP_AA6G033100
OG0002014	AT5G45720	AALP_AA6G124300
OG0002014	AT4G18820	AALP_AA7G011300
OG0002015	AT3G14310	AALP_AA3G161500
OG0002015	AT1G53830	AALP_AA4G024900
OG0002016	AT4G24770	AALP_AA7G078100
OG0002017	AT2G29970	AALP_AAs72209U000500
OG0002017	AT1G07200	AALP_AA1G071200
OG0002018	AT5G66310	AALP_AA8G498700
OG0002019	AT5G65530	AALP_AA8G488500
OG0002019	AT5G10520	AALP_AA8G098100
OG0002020	AT1G03610	AALP_AA1G029800
OG0002020	AT4G03420	AALP_AA6G045300
OG0002022	AT1G53840	AALP_AA4G024800
OG0002023	AT3G15950	AALP_AA3G180600
OG0002023	AT1G52410	AALP_AA4G037400
OG0002024	AT5G04510	AALP_AA8G039300
OG0002024	AT3G10540	AALP_AA3G114200
OG0002025	AT3G22810	AALP_AA3G261000
OG0002025	AT4G14740	AALP_AAs55843U000200
OG0002026	AT4G38350	AALP_AA7G261500
OG0002026	AT1G42470	AALP_AA7G094700
OG0002028	AT4G20360	AALP_AA7G030600
OG0002030	AT3G18590	AALP_AA3G213600
OG0002032	AT5G54900	AALP_AA8G334500
OG0002032	AT4G27000	AALP_AA7G103000
OG0002033	AT1G73950	AALP_AA2G177200
OG0002033	AT1G18470	AALP_AA1G202400
OG0002034	AT3G45690, AT3G45680	AALP_AA5G081600
OG0002036	AT1G62820	AALP_AA2G011800
OG0002038	AT1G56030, AT1G56040	AALP_AA4G004100
OG0002039	AT1G22810	AALP_AA1G248600
OG0002040	AT1G21610	AALP_AA1G235600
OG0002040	AT1G77310	AALP_AA2G214600, AALP_AA2G073700
OG0002042	AT5G06050	AALP_AA8G053000
OG0002042	AT2G39750	AALP_AA4G181900
OG0002044	AT3G20557	AALP_AA3G235000
OG0002045	AT3G09110	AALP_AA3G096700
OG0002047	AT1G22570	AALP_AA1G246300
OG0002047	AT1G22550	AALP_AA1G246200
OG0002048	AT2G34790	AALP_AA4G116000
OG0002048	AT1G30760	AALP_AA1G315000
OG0002049	AT1G17530	AALP_AA1G193600
OG0002050	AT2G40800	AALP_AA4G193200
OG0002051	AT2G43230	AALP_AA4G221200
OG0002052	AT1G23340	AALP_AA1G255000
OG0002052	AT1G70550	AALP_AA2G134400
OG0002053	AT3G59970	AALP_AA5G254300
OG0002053	AT2G44160	AALP_AA4G231000
OG0002054	AT3G54250	AALP_AA5G177200
OG0002054	AT2G38700	AALP_AA4G169000
OG0002055	AT1G27350, AT1G27330	AALP_AA5G206800
OG0002056	AT5G06770	AALP_AA8G061900
OG0002056	AT3G12130	AALP_AA3G131500
OG0002057	AT1G73480	AALP_AA2G172000
OG0002059	AT3G05690	AALP_AA3G054200
OG0002060	AT5G04540	AALP_AA8G039600
OG0002060	AT3G10550	AALP_AA3G114400
OG0002061	AT2G22400	AALP_AA6G291900
OG0002061	AT4G40000	AALP_AA7G279900
OG0002062	AT4G14440	AALP_AAs60878U000100
OG0002062	AT4G14430	AALP_AAs74096U000700
OG0002063	AT5G37550	AALP_AA6G357900
OG0002063	AT1G66190	AALP_AA2G077700
OG0002064	AT5G05610	AALP_AA8G050700
OG0002064	AT3G11200	AALP_AA3G122600
OG0002065	AT1G15310	AALP_AA8G455400
OG0002066	AT5G24450	AALP_AA8G423100
OG0002067	AT1G76940	AALP_AA2G209400
OG0002068	AT4G24810	AALP_AA7G078300
OG0002070	AT2G44570	AALP_AA4G234600
OG0002070	AT2G44540, AT2G44550, AT2G44560	AALP_AA4G234400
OG0002073	AT1G75800	AALP_AA2G201100
OG0002074	AT1G49270	AALP_AA4G068600
OG0002074	AT3G18810	AALP_AA7G244700
OG0002075	AT2G42350, AT2G42360	AALP_AA4G206800
OG0002076	AT5G17600	AALP_AA8G188400
OG0002076	AT3G03550	AALP_AA3G029000
OG0002078	AT5G19160	AALP_AA8G211000
OG0002078	AT3G06080	AALP_AA3G062900
OG0002079	AT2G19350	AALP_AA3G357100
OG0002079	AT4G29850	AALP_AA7G147800
OG0002080	AT4G34131, AT4G34135	AALP_AA7G209900, AALP_AA7G210800, AALP_AA7G210700, AALP_AA7G210600
OG0002081	AT4G24960	AALP_AA7G079200
OG0002081	AT5G50720	AALP_AA8G491100
OG0002082	AT1G53700	AALP_AA4G026000
OG0002082	AT3G14370	AALP_AA3G162000
OG0002084	AT3G58000	AALP_AA5G224300
OG0002084	AT2G42140	AALP_AA4G206000
OG0002086	AT2G20670	AALP_AA3G373400
OG0002086	AT4G32480	AALP_AA7G123500
OG0002087	AT1G29230	AALP_AA1G301500
OG0002087	AT2G34180	AALP_AA4G108000
OG0002088	AT1G20380	AALP_AA1G222100
OG0002089	AT4G37250	AALP_AA7G250200
OG0002089	AT2G23300	AALP_AA6G284500
OG0002090	AT5G49945	AALP_AA8G273300
OG0002090	AT4G24330	AALP_AA7G074000
OG0002091	AT5G49910	AALP_AA6G318800
OG0002091	AT4G24280	AALP_AA4G141500
OG0002092	AT5G15080	AALP_AA8G154000
OG0002094	AT4G38680	AALP_AA7G264900
OG0002095	AT3G20000	AALP_AA3G230100
OG0002096	AT2G30575	AALP_AAs64694U000500
OG0002096	AT1G06780	AALP_AA1G065600
OG0002097	AT5G14040	AALP_AA8G140400
OG0002098	AT1G49475	AALP_AA4G065900
OG0002098	AT4G01580, AT3G18960	AALP_AA6G009400, AALP_AAs71535U000100
OG0002099	AT1G04550	AALP_AA1G039800
OG0002099	AT2G33310	AALP_AA6G062800
OG0002100	AT1G34180	AALP_AA1G347000
OG0002100	AT1G34190	AALP_AA1G347100
OG0002101	AT2G32270	AALP_AA6G073900
OG0002101	AT1G05300	AALP_AA1G050300
OG0002102	AT5G41600	AALP_AA6G316900
OG0002103	AT3G06740	AALP_AA3G074400
OG0002104	AT5G51780	AALP_AA8G293300
OG0002105	AT3G59050	AALP_AA5G244200
OG0002105	AT2G43020	AALP_AA4G218700
OG0002106	AT4G04020	AALP_AA6G049300
OG0002107	AT5G28040	AALP_AA8G251800
OG0002107	AT3G04930	AALP_AA3G044100
OG0002108	AT1G15760	AALP_AA4G138300
OG0002108	AT1G80520	AALP_AA2G260500
OG0002109	AT5G42140	AALP_AA6G309800
OG0002109	AT1G76950	AALP_AA2G209500
OG0002110	AT1G53090	AALP_AA8G217800
OG0002110	AT3G15354	AALP_AA3G171700
OG0002111	AT4G00850	AALP_AA6G012200
OG0002111	AT1G01160	AALP_AA1G002100
OG0002112	AT3G44260	AALP_AA5G071300
OG0002112	AT5G22250	AALP_AA8G234200
OG0002113	AT4G23020	AALP_AA7G058900
OG0002113	AT4G11780	AALP_AA6G176700
OG0002114	AT1G54220	AALP_AA4G019200
OG0002114	AT3G13930	AALP_AA3G155100
OG0002116	AT3G01700, AT5G14380	AALP_AA8G145000
OG0002117	AT4G32940	AALP_AA7G193600
OG0002117	AT2G25940	AALP_AA6G255400
OG0002118	AT3G11270, AT5G05780	AALP_AA3G123400
OG0002119	AT1G11990	AALP_AA1G128400
OG0002119	AT1G62330	AALP_AA2G017600
OG0002120	AT1G63840	AALP_AA3G060000
OG0002121	AT1G33490	AALP_AA1G341200
OG0002121	AT4G10140	AALP_AA6G190100
OG0002122	AT3G09770	AALP_AA3G104700
OG0002124	AT5G63085, AT5G63087	AALP_AA8G462700
OG0002125	AT1G80300	AALP_AA2G254500
OG0002126	AT3G05910	AALP_AA3G057300
OG0002126	AT5G26670	AALP_AA8G247000
OG0002127	AT5G58270	AALP_AA8G372400
OG0002129	AT4G32830	AALP_AA7G192400
OG0002129	AT2G25880	AALP_AA6G255800
OG0002130	AT2G40740	AALP_AA4G192500
OG0002131	AT2G17110	AALP_AA3G329900
OG0002131	AT4G35240	AALP_AA7G225400
OG0002132	AT3G05290	AALP_AA3G049000
OG0002132	AT5G27520	AALP_AA8G255300
OG0002133	AT5G47070	AALP_AA6G107700
OG0002134	AT4G05523	AALP_AA8G235500
OG0002135	AT5G22930	AALP_AA8G407000
OG0002136	AT3G06380	AALP_AA3G066700
OG0002136	AT5G18680	AALP_AA8G394000
OG0002138	AT2G36170	AALP_AA4G133700
OG0002138	AT3G52590	AALP_AA4G133700
OG0002139	AT3G11070	AALP_AA3G120000
OG0002139	AT5G05520	AALP_AA8G049200
OG0002140	AT1G45145, AT5G42980	AALP_AA6G156100
OG0002141	AT3G05020	AALP_AA3G045500
OG0002141	AT5G27200	AALP_AA8G252600
OG0002142	AT1G24265	AALP_AA8G473100
OG0002142	AT1G24267	AALP_AA8G473200
OG0002143	AT1G06680	AALP_AA1G064500
OG0002144	AT1G22600	AALP_AA1G246500
OG0002144	AT1G72100	AALP_AA2G152200
OG0002145	AT2G46930	AALP_AA4G259200
OG0002145	AT3G62060	AALP_AA5G279000
OG0002146	AT4G35630	AALP_AA7G231900
OG0002146	AT2G17630	AALP_AA3G335800
OG0002148	AT1G51630	AALP_AA4G043000
OG0002149	AT3G44320, AT3G44310, AT3G44300	AALP_AA1G330900, AALP_AA5G071600
OG0002150	AT3G24550	AALP_AA3G286200
OG0002151	AT2G24000	AALP_AA6G275800
OG0002151	AT4G30610	AALP_AA7G159500
OG0002152	AT4G27100	AALP_AA7G104200
OG0002153	AT5G47050	AALP_AA6G108300
OG0002154	AT2G22660	AALP_AA5G202400
OG0002155	AT1G55230, AT1G55240, AT5G19870	AALP_AA8G218800
OG0002156	AT5G47190	AALP_AAs67888U000300, AALP_AA6G105900, AALP_AAs49758U000200
OG0002157	AT3G04080	AALP_AA3G036300
OG0002158	AT5G23490	AALP_AA8G411900
OG0002158	AT5G08440	AALP_AA8G081800
OG0002159	AT1G24140	AALP_AA1G261400
OG0002159	AT1G70170	AALP_AA2G130300
OG0002160	AT4G35780	AALP_AA7G231400
OG0002160	AT2G17700	AALP_AA3G336800
OG0002162	AT2G03280	AALP_AA5G021200
OG0002162	AT1G14020	AALP_AA1G154300
OG0002163	AT5G21105	AALP_AA8G238700
OG0002163	AT5G21100	AALP_AA8G238600
OG0002164	AT5G26990	AALP_AA8G250900
OG0002164	AT3G05700	AALP_AA3G054400
OG0002165	AT2G16700	AALP_AA3G326800
OG0002165	AT4G34970	AALP_AA7G221300
OG0002166	AT3G44190	AALP_AA5G070800
OG0002166	AT5G22140	AALP_AA8G234800
OG0002167	AT4G26670	AALP_AA7G100000
OG0002167	AT5G55510	AALP_AA8G339800
OG0002168	AT4G18530	AALP_AA7G007900
OG0002170	AT4G25700	AALP_AA7G084400
OG0002172	AT2G01980	AALP_AA5G009500
OG0002172	AT1G14660	AALP_AA1G163100
OG0002174	AT2G47250	AALP_AA4G264500
OG0002174	AT5G14900	AALP_AA1G305300, AALP_AA2G198700
OG0002174	AT3G62310	AALP_AA5G281500
OG0002175	AT2G39240, AT1G30590	AALP_AA1G312900
OG0002176	AT3G08640, AT3G08630	AALP_AA3G091000
OG0002177	AT3G45210	AALP_AA5G079000
OG0002177	AT5G60680	AALP_AA8G404000
OG0002178	AT2G02470	AALP_AA5G014100
OG0002178	AT1G14510	AALP_AA1G161000
OG0002179	AT5G59240, AT5G20290	AALP_AA6G169300, AALP_AA8G225000
OG0002181	AT2G41640	AALP_AA4G199900
OG0002182	AT3G06300	AALP_AA3G065700
OG0002182	AT5G18900	AALP_AA8G207300
OG0002183	AT3G50230	AALP_AA5G124600
OG0002183	AT5G67200	AALP_AA8G511600
OG0002184	AT4G02650	AALP_AA6G035200
OG0002184	AT1G03050	AALP_AA1G024000
OG0002190	AT1G63480, AT1G63470	AALP_AA2G004500
OG0002191	AT5G42540	AALP_AA6G306200
OG0002191	AT1G75660	AALP_AA2G199000
OG0002192	AT1G67110	AALP_AA2G087500
OG0002192	AT5G38450	AALP_AA6G349900
OG0002193	AT3G05937	AALP_AA3G058200
OG0002194	AT5G52882	AALP_AA8G306800
OG0002195	AT5G55200	AALP_AA8G337600
OG0002196	AT1G03040	AALP_AA1G023700
OG0002197	AT4G34950	AALP_AA7G221100
OG0002197	AT2G16660	AALP_AA3G326700
OG0002198	AT5G64260	AALP_AA8G474900
OG0002199	AT3G27080	AALP_AA5G038400
OG0002199	AT5G40930	AALP_AA6G323500, AALP_AA6G323200, AALP_AA6G325600
OG0002202	AT1G50460	AALP_AA4G057200
OG0002203	AT5G35740, AT2G04910	AALP_AA8G497200
OG0002204	AT1G04510	AALP_AA1G039400
OG0002205	AT2G01270	AALP_AA5G002100
OG0002205	AT1G15020	AALP_AA1G169600
OG0002206	AT1G49230	AALP_AA4G069000
OG0002207	AT3G20010	AALP_AA3G230200
OG0002208	AT3G08510	AALP_AA3G090100
OG0002208	AT3G55940	AALP_AA5G198900
OG0002209	AT3G11500	AALP_AA3G124400
OG0002212	AT1G50090	AALP_AA4G059400
OG0002212	AT1G50110	AALP_AA4G059100
OG0002213	AT2G37940	AALP_AA4G157100
OG0002214	AT5G65800	AALP_AA8G517100
OG0002215	AT5G51260	AALP_AA8G286300
OG0002216	AT2G31910	AALP_AA6G078200
OG0002216	AT1G05580	AALP_AA1G052600
OG0002217	AT3G01270	AALP_AA3G002600
OG0002217	AT5G15110	AALP_AA8G154300
OG0002218	AT4G27240	AALP_AA7G106800
OG0002218	AT5G54630	AALP_AA8G330700
OG0002219	AT4G26830	AALP_AA7G101400
OG0002219	AT5G55180	AALP_AA8G337200
OG0002220	AT3G02930	AALP_AA3G023400
OG0002220	AT5G16730	AALP_AA8G177200
OG0002221	AT3G19310	AALP_AA3G224100
OG0002221	AT1G49740	AALP_AA4G062800
OG0002224	AT5G41315	AALP_AA6G320200
OG0002225	AT5G55660	AALP_AA8G342500
OG0002226	AT1G13280	AALP_AA1G146300
OG0002226	AT3G25780	AALP_AA5G232400
OG0002227	AT3G11780	AALP_AA3G127800
OG0002229	AT1G14230	AALP_AA1G157400
OG0002231	AT1G71050	AALP_AA2G141400
OG0002233	AT5G47550	AALP_AA2G092800
OG0002234	AT1G54300, AT3G05770	AALP_AA3G055300
OG0002235	AT4G18610	AALP_AA7G008800
OG0002236	AT1G62380	AALP_AA2G017200
OG0002236	AT1G12010	AALP_AA1G128800
OG0002237	AT3G16860	AALP_AA3G191400, AALP_AA4G251700
OG0002237	AT4G16120	AALP_AA8G398700
OG0002239	AT4G31320	AALP_AA7G169300
OG0002240	AT1G10950	AALP_AA1G119800
OG0002241	AT5G63680	AALP_AA8G468100
OG0002242	AT4G22758	AALP_AA7G056700
OG0002243	AT1G69530	AALP_AA2G122700
OG0002244	AT1G49750	AALP_AA4G062700
OG0002244	AT3G19320	AALP_AA3G224000
OG0002245	AT1G53470	AALP_AA4G028700
OG0002245	AT3G14810	AALP_AA3G166200
OG0002246	AT5G58930	AALP_AA8G380500
OG0002246	AT3G46990	AALP_AA5G091500
OG0002250	AT1G10290	AALP_AA1G108600
OG0002251	AT5G13090	AALP_AA8G129200
OG0002253	AT5G55050	AALP_AA8G336400
OG0002254	AT2G38170	AALP_AA4G160000
OG0002254	AT3G51860	AALP_AA5G144200
OG0002255	AT3G59920	AALP_AA5G253800
OG0002255	AT2G44100	AALP_AA4G230400
OG0002257	AT2G20560	AALP_AA3G372300
OG0002257	AT4G28480	AALP_AA7G127400
OG0002258	AT5G13860	AALP_AA8G138200
OG0002258	AT3G12400	AALP_AA3G134300
OG0002259	AT1G73150	AALP_AA2G167800
OG0002260	AT1G80160	AALP_AA2G253600
OG0002260	AT1G15380	AALP_AA1G173300
OG0002269	AT4G14368	AALP_AAs63887U000400
OG0002269	AT3G23270	AALP_AA3G267000
OG0002271	AT1G15270	AALP_AA1G172000
OG0002271	AT3G16040	AALP_AA3G182000
OG0002272	AT1G07510	AALP_AA1G075200
OG0002272	AT2G29080	AALP_AA6G216200, AALP_AA2G026000
OG0002273	AT1G80070	AALP_AA2G251900
OG0002275	AT3G08880	AALP_AA3G093100
OG0002276	AT4G03950	AALP_AA6G180100
OG0002276	AT1G61800	AALP_AA2G023600
OG0002277	AT4G32285	AALP_AA7G185200
OG0002279	AT4G29240	AALP_AA7G140000
OG0002280	AT3G60350	AALP_AA5G259200
OG0002281	AT4G03010	AALP_AA6G040400
OG0002281	AT1G03440	AALP_AA1G028200
OG0002282	AT1G31940	AALP_AA1G325000
OG0002283	AT4G24630, AT5G50020	AALP_AA8G274100
OG0002284	AT1G76405	AALP_AA2G206200
OG0002285	AT1G12780	AALP_AA1G140000
OG0002287	AT5G04410	AALP_AA8G038000
OG0002287	AT3G10500	AALP_AA3G113300
OG0002288	AT1G69460	AALP_AA8G464800
OG0002288	AT1G26690	AALP_AA1G277100
OG0002289	AT3G17920	AALP_AA3G203300
OG0002289	AT1G48540	AALP_AA4G075800
OG0002291	AT5G65925	AALP_AA8G515800
OG0002291	AT3G49820	AALP_AA5G120600
OG0002292	AT1G58080	AALP_AA2G059700
OG0002293	AT1G59725	AALP_AA2G050800
OG0002293	AT1G10350	AALP_AA1G109800
OG0002294	AT2G34355	AALP_AA4G108400
OG0002295	AT1G59980	AALP_AA2G046600
OG0002295	AT1G24120	AALP_AA1G261200
OG0002296	AT1G54340	AALP_AA4G002200
OG0002297	AT1G20580	AALP_AA1G224100
OG0002298	AT4G20390	AALP_AA7G030900
OG0002298	AT5G44550	AALP_AA6G140800
OG0002300	AT3G26960	AALP_AA5G035900
OG0002300	AT5G41050	AALP_AA6G322300
OG0002301	AT2G29990	AALP_AAs39947U000200
OG0002301	AT1G07180	AALP_AA1G071300
OG0002302	AT2G45440	AALP_AA4G243400
OG0002302	AT3G60880	AALP_AA5G265100
OG0002304	AT4G28420	AALP_AA7G125100
OG0002304	AT2G20610	AALP_AA3G373000
OG0002306	AT4G15760	AALP_AAs48803U000100
OG0002307	AT4G21880	AALP_AA7G044600
OG0002307	AT4G04790	AALP_AAs68705U000100, AALP_AAs47510U000100
OG0002308	AT1G19710	AALP_AA1G214600
OG0002308	AT1G75420	AALP_AA2G196400
OG0002309	AT2G41140	AALP_AA4G195100
OG0002309	AT3G56760	AALP_AA5G210000
OG0002310	AT1G69990	AALP_AA2G128900
OG0002310	AT1G27190	AALP_AA1G281300
OG0002311	AT3G53690	AALP_AA6G251700
OG0002312	AT1G23760	AALP_AA1G258600
OG0002312	AT1G70370	AALP_AAs65095U000100, AALP_AA2G132700
OG0002313	AT5G16470	AALP_AA8G172200
OG0002314	AT5G67500	AALP_AA8G514300
OG0002315	AT1G60960	AALP_AA2G035300
OG0002316	AT4G38200	AALP_AA7G260100
OG0002316	AT4G35380	AALP_AA7G227800
OG0002318	AT5G66580	AALP_AA8G502300
OG0002319	AT4G10010	AALP_AA6G191700
OG0002320	AT5G09660	AALP_AA8G092700
OG0002320	AT2G22780	AALP_AA6G317500
OG0002321	AT1G76100	AALP_AA5G147400
OG0002321	AT1G20340	AALP_AA1G221700
OG0002322	AT2G24060	AALP_AA2G120300
OG0002322	AT4G30690	AALP_AA7G161000
OG0002323	AT5G67400	AALP_AA8G508800
OG0002324	AT4G30550	AALP_AA7G158900
OG0002324	AT2G23970	AALP_AA6G276100
OG0002325	AT5G13210, AT3G24780	AALP_AA8G130500, AALP_AA8G130100, AALP_AA8G130300, AALP_AA8G130400
OG0002326	AT5G04130	AALP_AA8G034500
