Orthogroup	Thellungiella_parvula	Brassica_oleracea
OG0000867	Sp2g03170.1	Bo01022s040, Bo1g098100, Bo1g098080
OG0000868	Sp6g33230.1	Bo2g009740
OG0000868	Sp7g36090.1	Bo1g002870
OG0000868	Sp4g01280.1	Bo4g149430, Bo8g101260
OG0000869	Sp4g26300.1	Bo4g021370, Bo4g021360
OG0000870	Sp3g08880.1	Bo5g137270
OG0000870	Sp6g38130.1	Bo3g002930, Bo2g006640
OG0000870	Sp5g06260.1	Bo8g090660, Bo4g115290, Bo6g070060
OG0000871	Sp4g18900.1	Bo3g030250, Bo4g034480
OG0000871	Sp5g09300.1	Bo8g082460, Bo6g067100, Bo4g122870
OG0000872	Sp1g39020.1	Bo6g028090, Bo6g039700
OG0000872	Sp5g31060.1	Bo2g086540
OG0000873	Sp7g34020.1	Bo3g154170
OG0000873	Sp3g31570.1	Bo9g026220, Bo7g011560
OG0000874	Sp7g34350.1	Bo1g005480, Bo3g153960
OG0000874	Sp2g03730.1	Bo9g043500, Bo01203s020, Bo1g094380
OG0000875	Sp7g07790.1	Bo7g001030, Bo2g094920, Bo2g085270, Bo7g054470
OG0000878	Sp4g02130.1, SpUn1093_0010.1, Sp1g30560.1, Sp3g23880.1	Bo5g049280
OG0000880	Sp1g29930.1	Bo5g085200
OG0000880	Sp5g15180.1	Bo3g181140
OG0000881	Sp6g01120.1	Bo3g054410
OG0000881	Sp5g01720.1	Bo6g077890
OG0000881	Sp1g00930.1	Bo5g034970, Bo5g002530
OG0000882	Sp1g12970.1	Bo3g137340, Bo8g066130, Bo8g106690, Bo5g019840
OG0000883	Sp2g26720.1	Bo3g103220
OG0000883	Sp6g34260.1	Bo9g174310
OG0000884	Sp5g12140.1	Bo8g079280
OG0000885	Sp5g30730.1	Bo2g085150, Bo6g119750
OG0000885	Sp1g17690.1	Bo8g069860, Bo7g062060
OG0000886	Sp4g12810.1	Bo4g171870, Bo4g059630, Bo3g024420
OG0000886	Sp1g05680.1	Bo5g007840, Bo8g114320, Bo8g007310
OG0000887	Sp7g37180.1	Bo7g119700
OG0000887	Sp3g30000.1	Bo3g091620
OG0000887	Sp7g32770.1	Bo7g117160, Bo1g006810
OG0000888	Sp7g31570.1	Bo3g170420
OG0000888	Sp7g31560.1	Bo3g170450, Bo3g170430, Bo7g116450, Bo7g116420, Bo02941s010
OG0000889	Sp1g11620.1	Bo9g025970, Bo8g107720, Bo8g065200, Bo4g150920, Bo4g147100
OG0000890	Sp3g21060.1, Sp7g12350.1	Bo7g040570, Bo1g101930, Bo3g149110, Bo4g127060, Bo3g081770
OG0000891	Sp5g31970.1	Bo2g091170
OG0000892	Sp4g20870.1	Bo04728s010
OG0000892	Sp4g20860.1	Bo4g027240, Bo4g187660
OG0000893	Sp5g14190.1	Bo1g072350, Bo3g135840
OG0000893	Sp2g24910.1	Bo7g098980
OG0000893	Sp2g24930.1	Bo7g099010
OG0000894	Sp5g16335.1	Bo5g021120
OG0000895	Sp7g37570.1	Bo3g034290
OG0000895	Sp7g37580.1	Bo3g172260
OG0000895	Sp4g09780.1, SpUn0012_0050.1, SpUn0122_0020.1	Bo3g041650
OG0000896	Sp1g08660.1	Bo5g010500
OG0000896	Sp1g08650.1	Bo5g010470, Bo8g110810, Bo1g091790
OG0000896	Sp2g05220.1	Bo9g048850, Bo4g082380, Bo1g089120
OG0000897	Sp4g14370.1, Sp1g04390.1	Bo8g004580
OG0000897	Sp7g12030.1	Bo3g149300, Bo4g127260
OG0000898	Sp5g14710.1	Bo3g134160
OG0000898	Sp5g14700.1	Bo1g071130
OG0000898	Sp5g14720.1	Bo3g134130
OG0000899	Sp5g25850.1	Bo6g094630, Bo6g112250, Bo2g068430
OG0000900	Sp4g11920.1	Bo4g065800, Bo4g168090, Bo4g168140
OG0000900	Sp4g11930.1	Bo4g169140
OG0000901	Sp7g03800.1	Bo4g143980, Bo4g137030
OG0000901	Sp5g21870.1	Bo2g053980, Bo2g054040
OG0000902	Sp7g16800.1, Sp7g15360.1	Bo1g053330, Bo8g045800, Bo7g105080, Bo7g104700
OG0000903	Sp1g33240.1, Sp1g33260.1	Bo5g070860
OG0000903	Sp1g33300.1	Bo6g002140
OG0000904	Sp1g32890.1	Bo8g024250
OG0000904	Sp3g26590.1	Bo3g087030, Bo3g172210, Bo2g042130, Bo9g022380
OG0000905	Sp4g04130.1	Bo8g099360
OG0000905	Sp6g28650.1	Bo9g164120, Bo2g012570
OG0000906	Sp3g03670.1, Sp7g32460.1	Bo5g146950, Bo3g058640, Bo1g007080, Bo7g116980, Bo3g168690
OG0000907	Sp6g01460.1	Bo00853s060, Bo9g004110, Bo6g119090, Bo9g004100, Bo6g119080, Bo9g004090, Bo9g004080
OG0000908	Sp7g29780.1	Bo8g099290, Bo3g173520
OG0000909	Sp5g05130.1	Bo4g111160, Bo8g091900
OG0000909	Sp4g24050.1	Bo01231s010
OG0000910	Sp4g08200.1	Bo1g102150, Bo1g131250, Bo2g149410, Bo7g074070, Bo5g049300, Bo4g092890, Bo01068s020, Bo7g093160, Bo01120s010, Bo3g055160, Bo3g036580, Bo8g035530, Bo3g036570, Bo9g095820, Bo9g120430, Bo9g120420, Bo5g034550
OG0000911	Sp2g22290.1	Bo2g158890
OG0000911	Sp2g27950.1	Bo6g121350, Bo2g166460, Bo3g100810
OG0000912	Sp5g14010.1	Bo3g113800, Bo3g137030, Bo1g076800
OG0000912	Sp2g25860.1	Bo3g107270, Bo9g015100
OG0000913	Sp1g09980.1	Bo8g108930, Bo5g013660, Bo21396s010, Bo01628s010, Bo8g108940, Bo8g060010, Bo9g112770, Bo5g013650
OG0000914	Sp2g15640.1	Bo2g139090
OG0000915	Sp2g28650.1	Bo9g018780
OG0000916	Sp6g31000.1	Bo3g008920, Bo9g169160
OG0000916	Sp5g04840.1	Bo4g109730, Bo6g073230
OG0000917	Sp5g22400.1	Bo6g103820, Bo6g098940, Bo2g055870
OG0000917	Sp1g23640.1	Bo7g049870, Bo3g141520, Bo5g052040
OG0000919	Sp4g07530.1	Bo17902s010
OG0000919	Sp4g06710.1, Sp4g04190.1, SpUn0025_0040.1, Sp4g07270.1, SpUn0025_0050.1, Sp7g09660.1, SpUn0045_0020.1, SpUn0043_0030.1, Sp6g09660.1, Sp4g06700.1	Bo23147s010
OG0000920	Sp4g05040.1	Bo8g101370, Bo8g101380, Bo8g101650, Bo4g158670, Bo9g003590, Bo4g158680
OG0000925	Sp7g00100.1	Bo3g024930, Bo3g031630, Bo7g033050
OG0000925	Sp2g00210.1	Bo6g066670
OG0000927	Sp1g34170.1	Bo7g030420, Bo3g064130, Bo3g064140
OG0000928	Sp6g38100.1	Bo9g178960
OG0000928	Sp7g31030.1	Bo1g008240, Bo3g170840
OG0000929	Sp3g00650.1	Bo1g158880
OG0000929	Sp1g21400.1, Sp1g21405.1	Bo5g041070
OG0000930	Sp7g35030.1	Bo7g118510
OG0000930	Sp7g35020.1	Bo1g004770
OG0000931	Sp6g19280.1	Bo9g133280, Bo2g030260
OG0000931	Sp3g32250.1	Bo9g027350, Bo3g095320
OG0000932	Sp7g25630.1	Bo1g050690, Bo7g111590
OG0000932	Sp6g16200.1	Bo12228s010, Bo9g115060, Bo9g115090, Bo3g022370, Bo3g022280
OG0000933	Sp7g11850.1	Bo4g127380, Bo8g036770
OG0000933	Sp7g11830.1	Bo8g036740, Bo4g128400, Bo8g036710
OG0000934	Sp6g37240.1	Bo9g177040
OG0000934	Sp1g27540.1	Bo5g068240
OG0000935	Sp1g13400.1	Bo5g020480, Bo8g063760
OG0000935	Sp2g12760.1	Bo2g134060, Bo7g078180, Bo9g069900
OG0000936	Sp6g06960.1	Bo4g149710
OG0000938	Sp3g03760.1	Bo3g058700
OG0000938	Sp2g20310.1	Bo2g153010, Bo7g093340, Bo9g010160
OG0000938	Sp2g20300.1	Bo9g010150
OG0000939	Sp2g18380.1, Sp1g37740.1	Bo7g088910
OG0000939	Sp2g15730.1	Bo9g007980
OG0000939	Sp1g11490.1	Bo8g065090
OG0000940	Sp6g00360.1	Bo9g002210
OG0000940	Sp1g00730.1	Bo8g117930
OG0000940	Sp1g00740.1	Bo5g002390, Bo8g117920
OG0000941	Sp3g25190.1	Bo2g130300
OG0000941	Sp3g32500.1	Bo2g100400, Bo9g120650, Bo9g088600
OG0000942	Sp4g12410.1	Bo3g039910
OG0000942	Sp6g37170.1	Bo3g003470, Bo9g176940
OG0000943	Sp2g20230.1	Bo7g093270
OG0000944	Sp5g26140.1	Bo6g112620
OG0000944	Sp1g20490.1	Bo5g039210, Bo7g056470
OG0000946	Sp6g00710.1	Bo3g054630, Bo9g002480
OG0000946	Sp5g02230.1	Bo6g077480
OG0000946	Sp4g27810.1	Bo4g024940
OG0000947	Sp6g38880.1, Sp2g27200.1	Bo3g101590
OG0000948	Sp6g28980.1	Bo9g165430, Bo9g112650, Bo2g012360
OG0000948	Sp3g00820.1	Bo1g158790, Bo3g055210, Bo5g156300
OG0000949	Sp5g25240.1	Bo6g110790
OG0000949	Sp5g25230.1	Bo6g110780
OG0000950	Sp2g18760.1	Bo9g009450, Bo9g009400, Bo9g009430, Bo7g089240, Bo2g149920, Bo2g149910, Bo2g149900
OG0000952	Sp7g20680.1	Bo3g164510
OG0000952	Sp7g20670.1	Bo1g028500
OG0000953	Sp7g25690.1	Bo1g050810
OG0000953	Sp5g12760.1	Bo3g109690
OG0000954	Sp6g35210.1	Bo9g175680, Bo3g004500
OG0000954	Sp2g24620.1	Bo7g098590, Bo9g014610, Bo2g161590
OG0000955	Sp3g10120.1	Bo1g139760, Bo3g064670, Bo5g135050
OG0000955	Sp6g36260.1	Bo9g176000, Bo3g003920, Bo2g007280
OG0000956	Sp3g09440.1	Bo5g136830, Bo1g141210, Bo3g064010
OG0000956	Sp3g07010.1	Bo5g139850
OG0000957	Sp6g37920.1	Bo9g177580
OG0000957	Sp2g12600.1	Bo7g078060
OG0000957	Sp1g35630.1	Bo6g015600
OG0000958	Sp6g34190.1	Bo2g009190, Bo2g009200, Bo3g005080, Bo9g174260, Bo9g174270, Bo3g005090
OG0000960	Sp2g11600.1, SpUn0036_0010.1	Bo9g065550, Bo7g075740
OG0000960	Sp7g16250.1	Bo7g105520, Bo8g049770, Bo1g017970
OG0000961	Sp6g18300.1	Bo9g126040, Bo3g020870
OG0000961	Sp3g11680.1	Bo3g065560
OG0000961	Sp1g41100.1	Bo3g185270, Bo6g051350
OG0000962	Sp5g12860.1	Bo8g077590, Bo1g078730
OG0000963	Sp6g17910.1	Bo2g036550, Bo9g123330
OG0000963	Sp7g24430.1	Bo1g045290
OG0000963	Sp6g37850.1	Bo3g003070
OG0000964	Sp7g18910.1	Bo01178s060
OG0000964	Sp2g09270.1	Bo9g059990
OG0000965	Sp3g23020.1	Bo3g171170, Bo7g030990, Bo3g084060, Bo3g084070
OG0000966	Sp6g21100.1	Bo9g139360
OG0000966	Sp3g07680.1	Bo5g139390, Bo3g062100, Bo1g144580
OG0000967	Sp4g10050.1	Bo4g162590
OG0000967	Sp1g07080.1	Bo8g055810, Bo5g009000
OG0000968	Sp3g30240.1	Bo9g024300
OG0000968	Sp3g30270.1	Bo7g016090, Bo3g091950
OG0000969	Sp1g22170.1	Bo3g137090
OG0000969	Sp5g24460.1	Bo6g108830
OG0000970	Sp4g23610.1	Bo3g035570, Bo4g013160, Bo4g190810
OG0000970	Sp5g05540.1	Bo6g072620
OG0000971	Sp7g14010.1	Bo1g055470, Bo8g040960
OG0000971	Sp7g14040.1	Bo7g103940
OG0000971	Sp7g14030.1	Bo7g103930
OG0000971	Sp7g14020.1	Bo1g055460, Bo1g072500, Bo8g040970
OG0000971	SpUn0665_0010.1	Bo1g055500
OG0000972	Sp6g15610.1	Bo9g111270
OG0000972	SpUn0909_0010.1	Bo5g139640
OG0000973	Sp3g04010.1	Bo5g146610
OG0000973	Sp2g20560.1	Bo2g155220, Bo2g155110, Bo7g093490
OG0000974	Sp2g01070.1	Bo4g096730, Bo9g029170, Bo9g029180
OG0000974	Sp2g01040.1	Bo9g035480
OG0000975	Sp1g18660.1	Bo2g095290, Bo2g041810, Bo7g061230, Bo3g165580
OG0000977	Sp1g03260.1	Bo02992s010, Bo5g004600, Bo8g115570
OG0000977	Sp2g08130.1	Bo9g059030, Bo2g119250
OG0000978	Sp6g30640.1	Bo3g009140, Bo9g166800, Bo7g011450
OG0000979	Sp6g07010.1	Bo9g088340, Bo2g109310
OG0000979	Sp1g28650.1, Sp1g28640.1	Bo9g059150, Bo2g119340, Bo6g049550
OG0000980	Sp2g29230.1	Bo5g132850, Bo9g019150, Bo2g168020, Bo7g063630
OG0000980	Sp5g12170.1	Bo8g079200, Bo7g099150
OG0000982	Sp7g25910.1	Bo8g053000, Bo1g051080, Bo7g111760
OG0000982	Sp6g15440.1	Bo9g111050, Bo3g022760, Bo2g045930
OG0000983	Sp5g02650.1	Bo6g077260, Bo6g077190, Bo4g104940, Bo8g095300
OG0000983	Sp4g27180.1	Bo4g195370, Bo3g037560
OG0000984	Sp7g27580.1	Bo1g011940, Bo3g175440
OG0000985	Sp7g17030.1	Bo1g052930, Bo7g104990
OG0000986	Sp5g29920.1	Bo6g118990, Bo6g086800
OG0000986	Sp5g14090.1, SpUn0103_0030.1	Bo3g135940
OG0000986	Sp2g25800.1	Bo3g107370
OG0000987	Sp5g00770.1	Bo8g098080, Bo4g098540
OG0000987	Sp5g00780.1	Bo8g098070
OG0000988	Sp3g29380.1	Bo7g019870, Bo7g019810
OG0000990	Sp2g04510.1	Bo1g091710, Bo4g084820
OG0000990	Sp5g25400.1	Bo2g116200, Bo2g068060
OG0000990	Sp1g21220.1	Bo8g075000
OG0000991	Sp3g15410.1	Bo5g123300
OG0000991	Sp3g15440.1, Sp3g15450.1	Bo5g123260
OG0000992	Sp6g15660.1	Bo2g044700, Bo3g022580
OG0000992	Sp7g25700.1	Bo1g050820
OG0000992	Sp6g15650.1	Bo9g111330
OG0000993	Sp2g19190.1	Bo9g009600
OG0000993	Sp4g15060.1	Bo3g026780, Bo4g179420, Bo4g045690
OG0000995	Sp1g20730.1	Bo5g039390, Bo7g056220, Bo8g073720
OG0000995	Sp5g25760.1	Bo6g094670, Bo2g068380, Bo6g112200
OG0000996	Sp7g00130.1	Bo6g066640
OG0000996	Sp1g01050.1	Bo8g117780, Bo5g002620
OG0000997	Sp4g21690.1	Bo4g188130, Bo4g026430, Bo4g026470, Bo4g026510, Bo4g026480
OG0000997	Sp5g07270.1	Bo8g089490
OG0000998	SpUn0105_0010.1, SpUn0154_0020.1, Sp4g09790.1, SpUn0012_0040.1, SpUn0105_0020.1, SpUn0093_0020.1, SpUn0093_0010.1, SpUn0154_0010.1, Sp4g09770.1, SpUn0122_0010.1, SpUn0012_0060.1	Bo4g161320, Bo4g077060
OG0000999	Sp6g19040.1	Bo3g019360, Bo2g032470, Bo9g133020
OG0000999	Sp7g28020.1	Bo1g014490, Bo7g114230, Bo3g175750
OG0001000	Sp7g23320.1	Bo8g050600
OG0001000	Sp1g15140.1	Bo8g105190
OG0001001	Sp5g25040.1	Bo6g110590, Bo6g095030
OG0001001	SpUn0220_0010.1	Bo6g110580
OG0001001	Sp1g21640.1	Bo7g054590, Bo5g041460
OG0001002	Sp6g37320.1	Bo9g177060
OG0001002	Sp3g09420.1	Bo4g087110, Bo9g102500, Bo22802s010, Bo6g056220, Bo8g024350, Bo1g141220, Bo5g136850
OG0001003	Sp5g31570.1	Bo6g084910, Bo6g120450, Bo2g089880
OG0001003	Sp1g18520.1	Bo5g030670, Bo01640s010, Bo01640s020, Bo7g061360
OG0001004	Sp5g01520.1	Bo6g078170, Bo8g097330, Bo4g100110
OG0001004	Sp4g28640.1	Bo4g197200, Bo4g007120, Bo3g039340
OG0001005	Sp5g12100.1	Bo8g079380, Bo1g082420
OG0001006	Sp6g05270.1	Bo9g094260, Bo2g105190
OG0001008	Sp5g04090.1	Bo6g076080, Bo8g092900
OG0001008	Sp4g24910.1	Bo4g017330
OG0001009	Sp5g34460.1	Bo2g095270, Bo6g081040, Bo6g123860
OG0001009	Sp1g14540.1	Bo5g021790, Bo5g021740, Bo09984s010
OG0001010	SpUn0227_0010.1	Bo5g074090
OG0001011	Sp1g22720.1	Bo7g052910, Bo3g138620
OG0001011	Sp1g11830.1, Sp2g15040.1	Bo9g075890
OG0001012	Sp6g18730.1	Bo9g130610
OG0001013	Sp7g34160.1	Bo1g005620, Bo7g117990, Bo1g005610
OG0001013	Sp7g34150.1	Bo3g154130
OG0001014	Sp3g14700.1	Bo1g123570, Bo3g068330, Bo02952s010, Bo5g126220
OG0001014	Sp1g38690.1	Bo6g040000, Bo3g181150, Bo6g027640
OG0001015	Sp4g27840.1	Bo4g195780, Bo4g024960, Bo3g038980
OG0001015	Sp5g02180.1	Bo4g101520
OG0001016	Sp1g01970.1	Bo5g003530, Bo3g169230, Bo2g161040
OG0001016	Sp6g02480.1	Bo01031s010, Bo9g005920
OG0001017	Sp1g11980.1	Bo8g107310, Bo5g017580
OG0001017	Sp2g14790.1	Bo7g081750, Bo9g075700, Bo2g138370
OG0001018	Sp3g31580.1	Bo03652s010, Bo7g011540, Bo7g011550, Bo17747s010
OG0001018	Sp7g34090.1	Bo7g117960
OG0001019	Sp6g09230.1	Bo2g046210
OG0001019	Sp1g19650.1	Bo5g035260
OG0001019	Sp5g33140.1	Bo6g121660
OG0001020	SpUn0074_0050.1	Bo6g122180
OG0001020	Sp5g33740.1, SpUn0074_0020.1	Bo2g094630
OG0001021	Sp1g34270.1	Bo6g008130, Bo8g019320, Bo4g043520
OG0001021	Sp2g07820.1	Bo2g117970, Bo4g078510
OG0001022	Sp4g23480.1	Bo3g035430, Bo4g013010
OG0001022	Sp5g05850.1	Bo6g072330
OG0001023	Sp1g37850.1	Bo3g179890, Bo6g024770, Bo5g081270
OG0001024	Sp1g02740.1	Bo5g004180
OG0001024	Sp2g08950.1, Sp2g08960.1	Bo2g120860, Bo7g067090
OG0001025	Sp2g14410.1	Bo7g081390
OG0001025	Sp1g12110.1	Bo8g107210, Bo8g107200, Bo8g065690, Bo8g065670, Bo5g017880
OG0001026	Sp7g02205.1	Bo15171s010, Bo18089s010, Bo20331s010
OG0001026	Sp7g06753.1	Bo3g027510, Bo9g021830, Bo28182s010
OG0001027	SpUn0309_0020.1	Bo4g030110
OG0001027	SpUn0309_0030.1	Bo3g032000
OG0001028	Sp1g19050.1	Bo7g059360
OG0001028	Sp1g19060.1	Bo5g034510, Bo8g070910, Bo01074s020, Bo7g059810
OG0001029	Sp4g13250.1	Bo4g173390, Bo4g053980, Bo3g024800
OG0001029	Sp1g05430.1	Bo5g007670
OG0001030	Sp3g14040.1	Bo1g126050
OG0001030	Sp1g39160.1	Bo6g030560
OG0001031	Sp5g19310.1	Bo00579s170
OG0001032	Sp6g15260.1	Bo2g046160
OG0001032	Sp7g25730.1	Bo1g050880
OG0001033	Sp3g02840.1	Bo1g153460, Bo5g148620
OG0001033	Sp6g26180.1	Bo3g012980, Bo01471s010, Bo2g014290
OG0001034	Sp4g23220.1	Bo4g190580, Bo3g035260, Bo4g012830, Bo4g012840
OG0001034	Sp5g05940.1	Bo8g090970, Bo4g112900, Bo6g072210
OG0001035	Sp1g15850.1	Bo03924s010, Bo6g105260
OG0001036	Sp6g30410.1	Bo2g011410, Bo2g011440, Bo9g171960, Bo9g166610
OG0001036	Sp1g36170.1	Bo7g003840, Bo5g075150, Bo6g018140
OG0001037	Sp6g26190.1	Bo9g157450, Bo3g012970
OG0001037	Sp3g02830.1	Bo1g153470, Bo3g057200, Bo5g148630
OG0001038	Sp1g02010.1	Bo8g117190, Bo5g003570
OG0001038	Sp5g00590.1	Bo4g098420, Bo8g098240, Bo6g079680
OG0001039	Sp2g24420.1	Bo2g161370
OG0001039	Sp2g24430.1	Bo7g098380, Bo7g098370, Bo9g014510
OG0001040	Sp3g23600.1	Bo3g085600
OG0001040	Sp2g16810.1	Bo2g144900, Bo9g008350, Bo7g085890
OG0001041	Sp2g28690.1	Bo3g097940
OG0001041	Sp6g32900.1	Bo9g153700, Bo2g009920, Bo3g006690
OG0001042	Sp2g13470.1	Bo2g134900
OG0001042	Sp1g12950.1	Bo8g106700
OG0001043	Sp5g34740.1	Bo6g124040
OG0001044	Sp4g06960.1	Bo8g098760
OG0001044	Sp6g35720.1	Bo9g175200
OG0001044	Sp2g25430.1	Bo3g107820
OG0001045	Sp1g30630.1	Bo6g043920, Bo8g025670
OG0001045	Sp6g09220.1	Bo3g047220, Bo9g083170, Bo4g120190, Bo2g111860
OG0001046	Sp5g12200.1	Bo8g079180, Bo1g081340, Bo7g099120
OG0001047	Sp4g23150.1	Bo4g012790, Bo4g190510
OG0001047	Sp5g06090.1	Bo6g071150, Bo8g090870
OG0001048	Sp7g25080.1	Bo1g047950, Bo9g165820, Bo8g052650
OG0001048	Sp3g18600.1	Bo3g076110, Bo1g108810
OG0001049	Sp7g24720.1	Bo8g051400, Bo7g111110, Bo7g111070, Bo7g111140, Bo7g111100, Bo7g111120
OG0001049	Sp2g29660.1	Bo7g064150
OG0001050	Sp1g24020.1	Bo3g142920
OG0001050	Sp4g01980.1	Bo8g100700
OG0001050	Sp7g35290.1	Bo3g153370, Bo7g118640
OG0001051	Sp5g27390.1	Bo2g075650
OG0001051	Sp1g15420.1	Bo8g104980, Bo5g023660
OG0001052	Sp1g12460.1	Bo14089s010, Bo5g018190, Bo5g019230
OG0001052	Sp1g12470.1	Bo11245s010, Bo5g018200, Bo13207s010, Bo5g019270, Bo8g107010, Bo8g107020, Bo8g065930
OG0001053	Sp5g16750.1	Bo3g122110
OG0001053	Sp4g10340.1	Bo01196s010
OG0001053	Sp1g06940.1	Bo5g008900, Bo5g008920, Bo8g011040
OG0001054	Sp5g14325.1	Bo3g134680, Bo3g134660
OG0001054	Sp5g14320.1	Bo3g114960
OG0001055	Sp7g37500.1	Bo7g120850
OG0001055	Sp3g30640.1	Bo9g024430, Bo3g092310
OG0001055	Sp7g33110.1	Bo7g117330, Bo1g006550
OG0001056	Sp3g34080.1	Bo8g102170
OG0001056	Sp1g39430.1	Bo6g030880
OG0001058	Sp2g30010.1	Bo9g021740, Bo01228s010
OG0001058	SpUn0083_0040.1	Bo7g099440, Bo1g062660
OG0001059	Sp3g10150.1	Bo3g064690
OG0001059	Sp4g19590.1	Bo4g186790, Bo3g031660, Bo4g030710
OG0001060	Sp6g06330.1	Bo21950s010
OG0001060	Sp2g19880.1, Sp2g19510.1	Bo7g092850, Bo7g092540
OG0001060	Sp1g36460.1	Bo5g077560, Bo8g011140
OG0001061	Sp4g04070.1	Bo8g099420
OG0001061	Sp7g29650.1	Bo7g115430, Bo3g173600, Bo1g010900
OG0001062	Sp6g29220.1	Bo3g009950, Bo9g165610
OG0001062	Sp3g30170.1	Bo3g091760
OG0001063	Sp2g05320.1	Bo1g088030
OG0001063	Sp3g04740.1	Bo4g030240, Bo1g150260
OG0001063	Sp3g04730.1	Bo5g145010
OG0001064	Sp5g35180.1	Bo2g095820
OG0001065	Sp4g19330.1	Bo4g030930, Bo00703s070, Bo4g186580, Bo3g122050, Bo3g031470
OG0001065	Sp5g09090.1	Bo6g067240, Bo8g082610, Bo3g054650
OG0001066	Sp4g16420.1	Bo4g041200, Bo3g027570, Bo4g182380
OG0001066	Sp1g24990.1	Bo5g057320, Bo7g045830
OG0001067	Sp5g12730.1	Bo8g080550, Bo8g077730, Bo03773s010, Bo1g078830, Bo1g078860
OG0001068	Sp7g01910.1	Bo4g139600
OG0001070	Sp1g15990.1	Bo00831s050, Bo1g131210, Bo8g067530
OG0001070	Sp5g28290.1	Bo6g116760, Bo6g087810
OG0001072	Sp5g18770.1	Bo3g129960
OG0001072	SpUn0003_0030.1	Bo8g002640
OG0001074	Sp4g25910.1	Bo4g021070
OG0001074	Sp4g25900.1	Bo3g036890, Bo3g036930, Bo3g036870, Bo4g021060
OG0001075	Sp7g23790.1	Bo1g040480, Bo7g110530
OG0001075	Sp6g19370.1	Bo3g019180, Bo9g133420, Bo2g029180
OG0001076	Sp5g30090.1	Bo6g086720, Bo2g082410, Bo6g119140
OG0001076	Sp1g17080.1	Bo5g027170, Bo8g102890, Bo8g068340
OG0001077	Sp6g28870.1	Bo3g010160, Bo00958s040, Bo2g012450
OG0001078	Sp1g05190.1	Bo8g007130, Bo5g007510
OG0001078	Sp4g13440.1	Bo4g053800
OG0001079	Sp5g02630.1	Bo4g104920, Bo6g077270
OG0001079	Sp4g27200.1	Bo3g037580, Bo4g195390
OG0001079	Sp2g05150.1	Bo6g074400
OG0001080	Sp4g05430.1	Bo3g042050, Bo8g098980
OG0001080	Sp3g11870.1	Bo3g065700, Bo5g132250, Bo1g135050
OG0001081	Sp1g25460.1	Bo5g059800, Bo3g144150, Bo7g045390
OG0001081	Sp2g11360.1	Bo9g065390, Bo2g130190
OG0001082	Sp6g37450.1, Sp6g37680.1	Bo3g003310
OG0001082	Sp3g09180.1	Bo1g141420
OG0001083	Sp5g29200.1	Bo3g111080, Bo3g111060
OG0001085	Sp6g14370.1	Bo2g048050
OG0001085	Sp6g14400.1	Bo4g182730, Bo2g048040
OG0001085	Sp6g14380.1	Bo9g104840
OG0001086	Sp2g16000.1	Bo7g083940
OG0001088	Sp7g22240.1	Bo7g109450, Bo1g037760
OG0001088	Sp6g10990.1	Bo3g042560, Bo9g095420
OG0001089	Sp7g32440.1	Bo3g140230
OG0001089	Sp7g32430.1	Bo1g007100, Bo3g168710
OG0001090	Sp7g11740.1	Bo4g129520, Bo8g023140
OG0001090	Sp3g21520.1	Bo7g039010, Bo3g081910, Bo1g101280
OG0001091	Sp2g15700.1	Bo7g082750
OG0001091	Sp1g11520.1	Bo8g065110, Bo8g107860
OG0001092	Sp5g32690.1, Sp5g32680.1, Sp5g32670.1	Bo2g092570, Bo6g121360
OG0001092	Sp1g19310.1	Bo8g071060, Bo7g059890, Bo5g034780
OG0001093	Sp3g32030.1	Bo9g025880, Bo7g009960
OG0001093	Sp7g34400.1	Bo3g153930, Bo1g005450, Bo7g118140
OG0001095	Sp6g04270.1	Bo2g134320, Bo2g134310
OG0001095	Sp1g31080.1	Bo3g034530
OG0001096	Sp5g00490.1	Bo8g098350, Bo4g098290
OG0001097	Sp6g15930.1	Bo2g043390, Bo01233s030, Bo3g022460
OG0001097	Sp7g25460.1	Bo7g111470, Bo1g049450
OG0001098	Sp3g03360.1	Bo3g057460, Bo1g152070, Bo5g148130
OG0001098	Sp2g20180.1	Bo9g009940, Bo7g093200
OG0001099	Sp1g35670.1	Bo5g072820, Bo8g012900
OG0001099	Sp3g16400.1	Bo1g117740, Bo1g118820, Bo3g071470, Bo5g118890
OG0001100	Sp7g25060.1	Bo1g047930, Bo8g052640
OG0001101	Sp7g37370.1	Bo1g001080, Bo7g119780
OG0001102	Sp1g06510.1, Sp7g13230.1	Bo4g004600
OG0001102	Sp3g07740.1	Bo3g062020
OG0001103	Sp5g22620.1	Bo6g103990, Bo2g056070
OG0001103	Sp1g23420.1	Bo7g050120, Bo3g141270
OG0001104	Sp5g01000.1	Bo6g079440, Bo8g097820
OG0001104	Sp4g29340.1	Bo3g039670, Bo4g004540, Bo4g198610
OG0001105	Sp7g12650.1	Bo8g038110
OG0001105	Sp3g20710.1	Bo1g103500, Bo3g081550, Bo5g093140
OG0001106	Sp5g08880.1	Bo00576s040, Bo8g082860, Bo6g067380
OG0001106	Sp4g19540.1	Bo4g030760, Bo4g186760, Bo3g031610
OG0001108	Sp7g20660.1	Bo7g108050, Bo1g028450, Bo3g164490
OG0001108	Sp6g05140.1	Bo3g153460, Bo9g079660
OG0001109	Sp3g03730.1, Sp2g20260.1	Bo3g058690, Bo9g010140, Bo1g151830, Bo5g146890, Bo7g093320, Bo2g153000
