Orthogroup	Thellungiella_parvula	Capsella_rubella
OG0002613	Sp7g20070.1	Carub.0007s1945.1.p
OG0002613	Sp6g04195.1	Carub.0006s3264.1.p
OG0002614	Sp7g14210.1	Carub.0008s2796.1.p
OG0002615	Sp5g14670.1	Carub.0005s1330.1.p
OG0002615	Sp6g20570.1	Carub.0008s1951.1.p
OG0002616	Sp3g27480.1	Carub.0003s2837.1.p
OG0002616	Sp7g31380.1	Carub.0007s0678.1.p
OG0002617	SpUn0636_0010.1, SpUn1082_0010.1, SpUn0315_0010.1, Sp4g01010.1	Carub.0006s0614.1.p, Carub.0007s2972.1.p, Carub.0007s2971.1.p
OG0002618	Sp7g16940.1	Carub.0007s2416.1.p
OG0002619	Sp3g33820.1	Carub.0003s3506.1.p
OG0002619	Sp7g26440.1	Carub.0007s1223.1.p
OG0002620	Sp1g14490.1	Carub.0001s1604.1.p
OG0002620	Sp5g34590.1	Carub.0002s2639.1.p
OG0002621	Sp3g08150.1	Carub.0003s0891.1.p
OG0002621	Sp6g39440.1	Carub.0006s0211.1.p
OG0002622	Sp3g03545.1	Carub.0003s0385.1.p
OG0002622	Sp2g20080.1	Carub.0006s2595.1.p
OG0002623	Sp7g05520.1	Carub.0007s3222.1.p
OG0002623	Sp5g20630.1	Carub.0002s1151.1.p
OG0002624	Sp7g30970.1	Carub.0007s0723.1.p
OG0002624	Sp4g07300.1	Carub.0004s0635.1.p
OG0002625	Sp7g06540.1	Carub.0007s3144.1.p
OG0002625	Sp3g23380.1	Carub.0003s2636.1.p
OG0002626	Sp6g26780.1	Carub.0006s1566.1.p
OG0002627	Sp5g16460.1	Carub.0005s1040.1.p, Carub.0015s0005.1.p
OG0002627	Sp6g22710.1	Carub.0006s2035.1.p
OG0002628	Sp6g26100.1	Carub.0006s1650.1.p
OG0002628	Sp3g02990.1	Carub.0003s0326.1.p
OG0002629	Sp4g24460.1	Carub.0004s2463.1.p
OG0002629	Sp5g04870.1	Carub.0005s2468.1.p
OG0002630	Sp4g01890.1, SpUn0042_0040.1	Carub.0004s0198.1.p
OG0002630	Sp7g35380.1	Carub.0007s0252.1.p
OG0002631	Sp4g29570.1	Carub.0004s3036.1.p
OG0002631	Sp5g00660.1	Carub.0005s2951.1.p
OG0002632	Sp7g00210.1	Carub.0007s3346.1.p
OG0002632	Sp2g00040.1	Carub.0002s0006.1.p
OG0002633	Sp5g00090.1	Carub.0005s3007.1.p
OG0002634	Sp1g05810.1	Carub.0001s0638.1.p
OG0002634	Sp4g12700.1	Carub.0004s1126.1.p
OG0002635	Sp1g13490.1	Carub.0001s1492.1.p, Carub.0001s1493.1.p
OG0002636	Sp6g16480.1	Carub.0008s1479.1.p
OG0002636	Sp7g25180.1	Carub.0007s1361.1.p
OG0002637	Sp5g35620.1	Carub.0002s2734.1.p
OG0002637	Sp1g13750.1	Carub.0001s1518.1.p
OG0002638	Sp3g04320.1	Carub.0003s0478.1.p
OG0002639	Sp7g18340.1	Carub.0007s2137.1.p
OG0002640	Sp3g04690.1	Carub.0003s0519.1.p
OG0002640	Sp2g21210.1	Carub.0006s2442.1.p
OG0002641	Sp5g09770.1	Carub.0005s1892.1.p
OG0002641	Sp4g18290.1	Carub.0004s1778.1.p
OG0002642	Sp4g17950.1	Carub.0004s1742.1.p
OG0002642	Sp7g17360.1	Carub.0007s2462.1.p
OG0002643	Sp6g34580.1	Carub.0006s0726.1.p
OG0002643	Sp2g23790.1	Carub.0006s2116.1.p
OG0002644	Sp3g05720.1	Carub.0003s0629.1.p
OG0002644	Sp2g19640.1	Carub.0008s0910.1.p
OG0002645	Sp1g25860.1	Carub.0001s2823.1.p
OG0002645	Sp4g16770.1	Carub.0004s1618.1.p
OG0002647	Sp6g28640.1	Carub.0006s1362.1.p
OG0002647	Sp3g01090.1	Carub.0003s0113.1.p
OG0002648	Sp1g28500.1	Carub.0001s3078.1.p
OG0002648	Sp4g17620.1	Carub.0004s1708.1.p
OG0002649	Sp3g13900.1	Carub.0003s1536.1.p
OG0002650	Sp5g27720.1	Carub.0002s1951.1.p
OG0002650	Sp1g15610.1	Carub.0001s1724.1.p
OG0002651	Sp1g26570.1	Carub.0001s2893.1.p
OG0002652	Sp1g33840.1	Carub.0001s3550.1.p
OG0002652	Sp1g29900.1	Carub.0001s3280.1.p
OG0002653	Sp5g09750.1	Carub.0005s1897.1.p
OG0002654	Sp5g00820.1	Carub.0005s2937.1.p
OG0002654	Sp1g35270.1	Carub.0002s1179.1.p, Carub.0004s3051.1.p
OG0002655	Sp5g11940.1	Carub.0005s1654.1.p
OG0002655	Sp2g29460.1	Carub.0008s2730.1.p
OG0002656	Sp1g02340.1	Carub.0001s0246.1.p
OG0002656	Sp6g02960.1	Carub.0006s3415.1.p
OG0002657	Sp3g06540.1	Carub.0003s0717.1.p
OG0002658	Sp1g24200.1	Carub.0001s2646.1.p
OG0002658	Sp1g24120.1	Carub.0001s2639.1.p
OG0002659	Sp2g29110.1	Carub.0008s2693.1.p
OG0002659	Sp5g12230.1	Carub.0005s1624.1.p
OG0002660	Sp7g30810.1	Carub.0007s0740.1.p
OG0002660	Sp4g06290.1	Carub.0004s0604.1.p
OG0002661	Sp1g36850.1, SpUn0137_0030.1, Sp2g04630.1	Carub.0005s1587.1.p, Carub.0151s0001.1.p
OG0002662	Sp1g30180.1	Carub.0001s3306.1.p
OG0002663	Sp1g07060.1	Carub.0001s0776.1.p
OG0002663	Sp4g10000.1	Carub.0004s0777.1.p
OG0002664	Sp3g31160.1, Sp4g27540.1	Carub.0004s2812.1.p
OG0002665	Sp3g32770.1	Carub.0003s3365.1.p
OG0002665	Sp7g27600.1	Carub.0004s1484.1.p
OG0002666	Sp6g41190.1	Carub.0024s0009.1.p
OG0002666	Sp1g05570.1	Carub.0001s0615.1.p
OG0002667	Sp1g39210.1	Carub.0001s4166.1.p
OG0002667	Sp3g13990.1	Carub.0003s1544.1.p
OG0002668	Sp2g17280.1	Carub.0005s0715.1.p
OG0002669	Sp2g20990.1	Carub.0006s2471.1.p
OG0002669	Sp3g04490.1	Carub.0003s0493.1.p
OG0002670	Sp5g22540.1	Carub.0002s1387.1.p
OG0002670	Sp1g23440.1	Carub.0001s2574.1.p
OG0002671	Sp2g15230.1	Carub.0005s0387.1.p
OG0002671	Sp1g11930.1	Carub.0001s1316.1.p
OG0002672	Sp4g02570.1, Sp4g03670.1	Carub.0004s0415.1.p
OG0002673	Sp7g28860.1	Carub.0007s0955.1.p
OG0002674	SpUn0654_0010.1	Carub.0001s3334.1.p
OG0002674	Sp6g08040.1	Carub.0006s2802.1.p
OG0002675	Sp7g25570.1	Carub.0007s1323.1.p
OG0002675	Sp7g25560.1	Carub.0007s1324.1.p
OG0002676	Sp6g28180.1	Carub.0006s1412.1.p
OG0002677	Sp6g05830.1	Carub.0006s3073.1.p
OG0002678	Sp5g12770.1	Carub.0005s1552.1.p
OG0002678	Sp5g12780.1, Sp5g12790.1	Carub.0005s1554.1.p
OG0002679	Sp7g17830.1	Carub.0007s2202.1.p
OG0002679	Sp2g10350.1	Carub.0008s0271.1.p
OG0002680	Sp5g09330.1	Carub.0005s1949.1.p
OG0002681	Sp1g20350.1	Carub.0001s2237.1.p
OG0002681	Sp5g26570.1	Carub.0002s1826.1.p
OG0002682	Sp5g05900.1	Carub.0005s2341.1.p
OG0002682	Sp4g23270.1	Carub.0004s2327.1.p
OG0002683	Sp4g05670.1	Carub.0004s0568.1.p
OG0002683	Sp7g30620.1	Carub.0007s0764.1.p
OG0002684	Sp5g05670.1	Carub.0005s2366.1.p
OG0002684	Sp4g23310.1	Carub.0004s2331.1.p
OG0002685	Sp2g28710.1	Carub.0008s2649.1.p
OG0002685	Sp6g32890.1	Carub.0006s0902.1.p
OG0002687	Sp4g12120.1	Carub.0004s1045.1.p
OG0002687	Sp1g06160.1	Carub.0001s0673.1.p
OG0002688	Sp6g24590.1	Carub.0006s1816.1.p
OG0002689	Sp1g37190.1, Sp1g37180.1	Carub.0001s3944.1.p
OG0002689	Sp3g17980.1	Carub.0003s1986.1.p
OG0002690	Sp6g00730.1	Carub.0006s3647.1.p
OG0002690	Sp4g27800.1	Carub.0004s2843.1.p
OG0002691	Sp3g21390.1	Carub.0003s2397.1.p
OG0002692	Sp1g14430.1	Carub.0001s1595.1.p
OG0002692	Sp5g34720.1	Carub.0002s2653.1.p
OG0002693	Sp3g23270.1	Carub.0003s2613.1.p
OG0002693	Sp7g06260.1	Carub.0007s3167.1.p
OG0002694	Sp5g16060.1	Carub.0005s1102.1.p
OG0002694	Sp6g22120.1	Carub.0008s2124.1.p
OG0002695	Sp1g37170.1	Carub.0001s3943.1.p
OG0002695	Sp3g17970.1	Carub.0003s1985.1.p
OG0002696	Sp6g05110.1	Carub.0006s3158.1.p
OG0002696	Sp7g20640.1	Carub.0007s1872.1.p
OG0002697	Sp4g24180.1	Carub.0004s2422.1.p
OG0002697	Sp5g04940.1	Carub.0005s2453.1.p
OG0002698	Sp3g09530.1	Carub.0003s1057.1.p
OG0002698	Sp6g37130.1	Carub.0006s0467.1.p
OG0002699	Sp6g30080.1	Carub.0006s1211.1.p
OG0002700	Sp2g02040.1, Sp2g02030.1, Sp2g02010.1	Carub.0002s0240.1.p
OG0002701	Sp4g24070.1	Carub.0004s2408.1.p
OG0002701	Sp4g24060.1	Carub.0004s2407.1.p
OG0002702	Sp5g10370.1	Carub.0005s1825.1.p
OG0002703	Sp2g11490.1	Carub.0008s0124.1.p
OG0002703	Sp7g16190.1	Carub.0007s2342.1.p
OG0002704	Sp7g27480.1	Carub.0007s1081.1.p
OG0002704	Sp3g22800.1	Carub.0007s1082.1.p
OG0002705	Sp1g41130.1	Carub.0001s4401.1.p
OG0002705	Sp3g11650.1	Carub.0003s1289.1.p
OG0002706	Sp7g28140.1	Carub.0007s1035.1.p
OG0002706	Sp3g32300.1	Carub.0003s3307.1.p
OG0002707	Sp3g00100.1	Carub.0003s0008.1.p
OG0002707	Sp6g29940.1	Carub.0006s1225.1.p
OG0002708	Sp1g03370.1	Carub.0001s0375.1.p
OG0002708	Sp4g15630.1	Carub.0004s1494.1.p
OG0002710	Sp6g33480.1	Carub.0006s0837.1.p
OG0002710	Sp2g27920.1	Carub.0008s2567.1.p
OG0002711	Sp6g26130.1	Carub.0006s1647.1.p
OG0002711	Sp3g02910.1	Carub.0003s0319.1.p
OG0002712	Sp7g12530.1	Carub.0007s2777.1.p
OG0002712	Sp3g20820.1	Carub.0003s2339.1.p
OG0002713	Sp6g15340.1	Carub.0008s1336.1.p
OG0002714	Sp2g09200.1	Carub.0008s0411.1.p
OG0002714	Sp7g18950.1	Carub.0007s2057.1.p, Carub.0007s2058.1.p
OG0002715	Sp3g29400.1	Carub.0003s2990.1.p
OG0002715	Sp7g32250.1	Carub.0007s0585.1.p
OG0002716	Sp5g13800.1	Carub.0005s1438.1.p
OG0002716	Sp2g26240.1	Carub.0008s2386.1.p
OG0002717	Sp4g14410.1	Carub.0004s1335.1.p
OG0002717	Sp1g04350.1	Carub.0001s0480.1.p
OG0002719	Sp1g09840.1	Carub.0001s1075.1.p
OG0002719	Sp2g03240.1	Carub.0002s0392.1.p
OG0002720	Sp7g22590.1	Carub.0007s1648.1.p
OG0002721	SpUn0010_0120.1, Sp7g00640.1	Carub.0007s3419.1.p
OG0002721	Sp2g01030.1	Carub.0002s0122.1.p
OG0002722	Sp1g16010.1	Carub.0001s1764.1.p
OG0002722	Sp5g28320.1	Carub.0002s2013.1.p
OG0002723	Sp1g38350.1	Carub.0001s4058.1.p
OG0002723	Sp3g19320.1	Carub.0003s2128.1.p, Carub.0003s2129.1.p
OG0002724	Sp2g07200.1	Carub.0008s0630.1.p
OG0002725	Sp2g03230.1	Carub.0002s0391.1.p
OG0002725	Sp1g09850.1	Carub.0001s1076.1.p
OG0002726	Sp7g32870.1	Carub.0003s3065.1.p
OG0002727	Sp6g22950.1	Carub.0006s2003.1.p
OG0002727	Sp5g16980.1	Carub.0005s1001.1.p
OG0002728	Sp7g24540.1	Carub.0007s1430.1.p
OG0002728	Sp6g17820.1	Carub.0008s1631.1.p
OG0002729	Sp4g12520.1	Carub.0004s1104.1.p
OG0002729	Sp6g20400.1	Carub.0008s1933.1.p
OG0002730	Sp7g19910.1	Carub.0007s1966.1.p
OG0002730	Sp6g04060.1, SpUn0051_0040.1	Carub.0006s3282.1.p
OG0002731	Sp2g10907.1, Sp2g10900.1	Carub.0008s0188.1.p
OG0002732	Sp4g20970.1	Carub.0004s2061.1.p
OG0002732	Sp5g08210.1	Carub.0005s2078.1.p
OG0002734	Sp2g00110.1	Carub.0002s0013.1.p
OG0002734	Sp7g00110.1	Carub.0007s3336.1.p
OG0002735	Sp1g36620.1	Carub.0001s3894.1.p
OG0002735	Sp3g17380.1	Carub.0003s1913.1.p
OG0002736	Sp3g00760.1	Carub.0003s0081.1.p
OG0002736	Sp6g29020.1	Carub.0006s1318.1.p
OG0002737	Sp2g11470.1	Carub.0008s0127.1.p
OG0002737	Sp7g16160.1	Carub.0007s2339.1.p
OG0002738	Sp1g15260.1	Carub.0001s1687.1.p
OG0002739	Sp3g29610.1	Carub.0003s3014.1.p
OG0002739	Sp7g32370.1	Carub.0007s0571.1.p
OG0002740	Sp5g30860.1	Carub.0002s2259.1.p, Carub.0003s3257.1.p
OG0002741	Sp6g23840.1	Carub.0006s1898.1.p
OG0002741	Sp3g24300.1	Carub.0003s2706.1.p
OG0002743	SpUn0647_0010.1	Carub.0002s2037.1.p
OG0002743	Sp1g16200.1	Carub.0001s1785.1.p
OG0002744	Sp5g26530.1	Carub.0002s1822.1.p
OG0002744	Sp1g20360.1	Carub.0001s2239.1.p
OG0002745	Sp2g04090.1	Carub.0002s0470.1.p
OG0002745	Sp1g09550.1	Carub.0001s1039.1.p
OG0002746	Sp6g37950.1	Carub.0006s0378.1.p
OG0002746	Sp3g08980.1	Carub.0003s0989.1.p
OG0002747	Sp3g30510.1	Carub.0003s3113.1.p
OG0002748	Sp2g22160.1	Carub.0006s2320.1.p
OG0002749	Sp1g22330.1	Carub.0001s2465.1.p
OG0002749	Sp5g24290.1	Carub.0002s1583.1.p
OG0002750	Sp3g05670.1, Sp3g05680.1	Carub.0003s0623.1.p, Carub.0003s0624.1.p
OG0002751	Sp3g21490.1	Carub.0003s2409.1.p
OG0002751	Sp7g11870.1	Carub.0007s2836.1.p
OG0002752	Sp6g28060.1	Carub.0055s0007.1.p, Carub.0006s1426.1.p
OG0002752	Sp3g01560.1	Carub.0003s0164.1.p
OG0002753	Sp2g26940.1	Carub.0008s2465.1.p
OG0002753	Sp6g34050.1	Carub.0006s0781.1.p
OG0002754	Sp6g07040.1	Carub.0006s2904.1.p
OG0002754	Sp1g28710.1	Carub.0001s3145.1.p
OG0002755	Sp5g15860.1, Sp5g15830.1	Carub.0005s1148.1.p
OG0002756	Sp5g25590.1	Carub.0002s1718.1.p
OG0002756	Sp1g20890.1	Carub.0001s2303.1.p
OG0002757	Sp7g14570.1	Carub.0007s2550.1.p
OG0002757	Sp3g15100.1	Carub.0003s1657.1.p
OG0002758	Sp4g14310.1	Carub.0004s1325.1.p
OG0002759	Sp2g21500.1	Carub.0006s2407.1.p
OG0002760	Sp5g09920.1	Carub.0005s1872.1.p
OG0002760	Sp4g18120.1	Carub.0004s1762.1.p
OG0002761	Sp1g01460.1	Carub.0001s0143.1.p
OG0002761	Sp6g01840.1	Carub.0006s3527.1.p
OG0002762	Sp6g27060.1	Carub.0006s1535.1.p
OG0002762	Sp3g02190.1	Carub.0003s0230.1.p
OG0002763	Sp4g17400.1	Carub.0004s1685.1.p
OG0002763	Sp4g01730.1	Carub.0004s0187.1.p
OG0002764	Sp7g33870.1	Carub.0007s0414.1.p
OG0002764	Sp3g31380.1	Carub.0003s3209.1.p
OG0002765	Sp1g35690.1	Carub.0001s3792.1.p
OG0002765	Sp3g16430.1	Carub.0003s1808.1.p
OG0002766	Sp4g01950.1	Carub.0004s0206.1.p
OG0002766	Sp7g35320.1	Carub.0007s0260.1.p
OG0002767	Sp6g06410.1	Carub.0006s2982.1.p
OG0002767	Sp2g00340.1	Carub.0002s0038.1.p
OG0002768	Sp1g03560.1	Carub.0001s0397.1.p
OG0002768	Sp4g15450.1	Carub.0004s1458.1.p
OG0002769	Sp4g25220.1	Carub.0004s2557.1.p
OG0002770	Sp4g21960.1	Carub.0004s2175.1.p
OG0002771	Sp7g33430.1	Carub.0007s0464.1.p
OG0002771	Sp3g31000.1	Carub.0003s3176.1.p
OG0002772	Sp2g05690.1	Carub.0002s0688.1.p
OG0002772	Sp1g08250.1	Carub.0001s0899.1.p
OG0002773	Sp7g34950.1	Carub.0007s0300.1.p
OG0002774	Sp2g20110.1	Carub.0006s2592.1.p
OG0002774	Sp3g03480.1	Carub.0003s0379.1.p
OG0002775	Sp7g22480.1	Carub.0007s1658.1.p, Carub.0003s1254.1.p
OG0002776	Sp2g16660.1, Sp4g28330.1	Carub.0004s2899.1.p
OG0002777	Sp4g19470.1	Carub.0004s1905.1.p
OG0002777	Sp5g08950.1	Carub.0005s1994.1.p
OG0002778	Sp3g02150.1	Carub.0003s0226.1.p
OG0002778	Sp6g27120.1	Carub.0006s1522.1.p
OG0002779	Sp3g29810.1	Carub.0003s3032.1.p
OG0002779	Sp7g32520.1	Carub.0007s0555.1.p
OG0002780	Sp6g21280.1	Carub.0008s2026.1.p, Carub.0008s2025.1.p
OG0002781	Sp6g33605.1	Carub.0006s0822.1.p
OG0002782	Sp2g03270.1	Carub.0002s0395.1.p
OG0002782	Sp1g09830.1	Carub.0001s1074.1.p
OG0002783	Sp5g15250.1	Carub.0005s1223.1.p
OG0002783	Sp6g21320.1	Carub.0005s1223.1.p
OG0002783	Sp5g15250.1	Carub.0008s2029.1.p
OG0002783	Sp6g21320.1	Carub.0008s2029.1.p
OG0002784	Sp3g22700.1	Carub.0003s2544.1.p
OG0002784	Sp7g10310.1	Carub.0007s2970.1.p
OG0002785	Sp5g34030.1	Carub.0002s2585.1.p
OG0002786	Sp3g23750.1	Carub.0003s2671.1.p
OG0002786	Sp7g06390.1	Carub.0007s3153.1.p
OG0002787	Sp2g21590.1	Carub.0006s2393.1.p
OG0002787	Sp6g31590.1	Carub.0006s1054.1.p
OG0002788	Sp6g36460.1	Carub.0006s0528.1.p
OG0002788	Sp3g09930.1	Carub.0003s1104.1.p
OG0002789	Sp6g02680.1, Sp7g27330.1	Carub.0007s0593.1.p
OG0002790	Sp5g22180.1	Carub.0002s1352.1.p
OG0002791	Sp3g05220.1	Carub.0003s0574.1.p
OG0002791	Sp6g25590.1	Carub.0006s1710.1.p
OG0002792	Sp1g03460.1	Carub.0004s1468.1.p
OG0002792	Sp4g15520.1	Carub.0001s0386.1.p
OG0002793	Sp4g02470.1	Carub.0004s0271.1.p, Carub.0004s0272.1.p, Carub.0004s0273.1.p
OG0002794	Sp5g00890.1	Carub.0005s2927.1.p
OG0002794	Sp4g29400.1	Carub.0004s3018.1.p
OG0002795	Sp5g02680.1	Carub.0004s2766.1.p
OG0002796	Sp7g33350.1	Carub.0007s0475.1.p
OG0002796	Sp3g30920.1	Carub.0003s3165.1.p
OG0002797	Sp5g09700.1	Carub.0005s1902.1.p
OG0002797	Sp4g18410.1	Carub.0004s1795.1.p
OG0002799	Sp2g22580.1	Carub.0006s2272.1.p
OG0002799	Sp6g32800.1	Carub.0006s0913.1.p
OG0002800	Sp6g03720.1	Carub.0006s3324.1.p
OG0002800	Sp7g19240.1	Carub.0007s2027.1.p
OG0002801	Sp1g07510.1	Carub.0001s0822.1.p
OG0002801	SpUn0002_0190.1	Carub.0002s0891.1.p
OG0002802	Sp2g07850.1	Carub.0008s0565.1.p
OG0002802	Sp1g34320.1	Carub.0001s3596.1.p
OG0002803	Sp4g15870.1	Carub.0004s1516.1.p
OG0002803	Sp1g24300.1	Carub.0001s2654.1.p
OG0002804	Sp4g19670.1	Carub.0004s1926.1.p
OG0002804	Sp5g08820.1	Carub.0005s2009.1.p
OG0002805	Sp4g02850.1	Carub.0004s0312.1.p
OG0002805	Sp7g28410.1	Carub.0007s1006.1.p
OG0002806	Sp2g03210.1	Carub.0002s0390.1.p
OG0002807	Sp1g14840.1	Carub.0001s1643.1.p
OG0002807	Sp5g34060.1	Carub.0002s2588.1.p
OG0002808	Sp5g07590.1	Carub.0005s2143.1.p
OG0002808	Sp4g21480.1	Carub.0004s2118.1.p
OG0002809	Sp1g17830.1	Carub.0005s0380.1.p
OG0002810	Sp6g25830.1	Carub.0006s1677.1.p
OG0002810	Sp3g03250.1	Carub.0003s0356.1.p
OG0002811	Sp6g06100.1	Carub.0006s3025.1.p
OG0002811	Sp7g21380.1	Carub.0007s1767.1.p
OG0002812	Sp7g16830.1	Carub.0007s2406.1.p
OG0002813	Sp7g33230.1	Carub.0007s0487.1.p
OG0002813	Sp3g30750.1	Carub.0003s3146.1.p
OG0002814	Sp1g16190.1	Carub.0001s1784.1.p
OG0002814	Sp5g28810.1	Carub.0002s2038.1.p
OG0002815	Sp1g19330.1	Carub.0001s2123.1.p
OG0002815	Sp5g32720.1	Carub.0002s2444.1.p
OG0002816	Sp3g32000.1	Carub.0003s3274.1.p
OG0002816	Sp7g34370.1	Carub.0007s0361.1.p
OG0002817	Sp7g04230.1	Carub.0007s3299.1.p
OG0002818	Sp2g25090.1	Carub.0008s2258.1.p
OG0002818	Sp6g35590.1	Carub.0006s0626.1.p
OG0002819	Sp5g13110.1	Carub.0005s1512.1.p
OG0002819	Sp2g23470.1	Carub.0006s2150.1.p
OG0002820	Sp2g16620.1	Carub.0005s0577.1.p
OG0002820	Sp7g01270.1	Carub.0007s3489.1.p
OG0002821	Sp7g15890.1	Carub.0007s2311.1.p, Carub.0004s0791.1.p, Carub.0007s2312.1.p
OG0002822	Sp2g18060.1	Carub.0005s0834.1.p
OG0002823	Sp4g17000.1	Carub.0004s1641.1.p
OG0002824	Sp7g23590.1	Carub.0007s1542.1.p
OG0002824	Sp6g14510.1	Carub.0008s1235.1.p
OG0002825	Sp3g19150.1	Carub.0003s2113.1.p
OG0002825	Sp1g38240.1	Carub.0001s4045.1.p
OG0002827	Sp6g07280.1, SpUn0121_0030.1	Carub.0004s3009.1.p
OG0002828	Sp7g24610.1	Carub.0007s1423.1.p
OG0002828	Sp6g17480.1	Carub.0008s1593.1.p
OG0002829	Sp5g33600.1	Carub.0002s2536.1.p
OG0002829	Sp1g15170.1	Carub.0001s1677.1.p
OG0002830	Sp5g34520.1	Carub.0002s2633.1.p
OG0002830	Sp1g14530.1	Carub.0001s1609.1.p
OG0002831	Sp7g11230.1	Carub.0007s2896.1.p
OG0002832	Sp4g17890.1	Carub.0004s1736.1.p
OG0002832	Sp1g27130.1	Carub.0001s2974.1.p
OG0002833	Sp7g03880.1, Sp7g13280.1, Sp7g03230.1	Carub.0007s3716.1.p
OG0002834	Sp7g18800.1	Carub.0007s2072.1.p
OG0002837	Sp5g31710.1	Carub.0002s2346.1.p
OG0002837	Sp1g18650.1	Carub.0001s2042.1.p
OG0002838	Sp1g10400.1	Carub.0001s1144.1.p
OG0002838	Sp1g00320.1	Carub.0001s0026.1.p
OG0002839	Sp4g25870.1	Carub.0004s2633.1.p
OG0002839	Sp5g03340.1	Carub.0005s2652.1.p
OG0002840	Sp4g00010.1	Carub.0004s2434.1.p
OG0002840	Sp7g37470.1	Carub.0007s0019.1.p
OG0002841	Sp5g22470.1	Carub.0002s1382.1.p
OG0002841	Sp1g23450.1, Sp1g06290.1	Carub.0001s2575.1.p
OG0002842	Sp7g20970.1	Carub.0007s1838.1.p
OG0002842	Sp6g05560.1	Carub.0006s3105.1.p
OG0002843	Sp3g18630.1, Sp3g18650.1, Sp3g18640.1, Sp3g18610.1	Carub.0003s2058.1.p, Carub.0003s2057.1.p
OG0002844	Sp6g31570.1	Carub.0002s1248.1.p, Carub.0006s1055.1.p
OG0002845	Sp5g26190.1	Carub.0002s1783.1.p
OG0002845	Sp1g20480.1	Carub.0001s2253.1.p
OG0002846	Sp6g10450.1	Carub.0006s2652.1.p
OG0002846	Sp1g23720.1	Carub.0001s2603.1.p
OG0002847	Sp1g08780.1	Carub.0001s0956.1.p
OG0002847	Sp2g05040.1	Carub.0002s0592.1.p
OG0002848	Sp7g18230.1	Carub.0007s2149.1.p
OG0002848	Sp2g09920.1	Carub.0008s0310.1.p
OG0002849	Sp2g13010.1	Carub.0005s0051.1.p
OG0002852	Sp2g15770.1	Carub.0005s0466.1.p
OG0002852	Sp1g11470.1	Carub.0001s1267.1.p
OG0002853	Sp3g22920.1	Carub.0003s2568.1.p
OG0002853	Sp7g09990.1	Carub.0007s2978.1.p
OG0002854	Sp4g14980.1, Sp4g14560.1	Carub.0004s1401.1.p
OG0002855	Sp2g12620.1	Carub.0005s0013.1.p
OG0002856	Sp6g06760.1	Carub.0006s2950.1.p
OG0002856	Sp7g22060.1	Carub.0007s1700.1.p
OG0002857	Sp4g30030.1	Carub.0004s3082.1.p
OG0002857	Sp3g21240.1	Carub.0003s2380.1.p
OG0002858	Sp6g32690.1	Carub.0006s0927.1.p
OG0002859	Sp6g35370.1	Carub.0006s0648.1.p
OG0002859	Sp2g24840.1	Carub.0008s2233.1.p
OG0002860	Sp7g35970.1	Carub.0004s0325.1.p, Carub.0007s0186.1.p
OG0002861	Sp6g05600.1	Carub.0006s3096.1.p
OG0002861	Sp7g21040.1	Carub.0007s1832.1.p
OG0002867	Sp4g11530.1	Carub.0004s0967.1.p
OG0002868	Sp7g18390.1	Carub.0007s2120.1.p
OG0002868	Sp2g09690.1	Carub.0008s0339.1.p
OG0002869	Sp7g29670.1	Carub.0007s0869.1.p
OG0002869	Sp4g04080.1	Carub.0004s0465.1.p
OG0002870	SpUn0013_0100.1, SpUn0007_0070.1, Sp6g23910.1	Carub.0006s1889.1.p
OG0002871	Sp7g19690.1	Carub.0007s1985.1.p
OG0002871	Sp6g03940.1	Carub.0006s3297.1.p
OG0002872	Sp7g15030.1	Carub.0007s2502.1.p
OG0002873	Sp3g04860.1	Carub.0003s0534.1.p
OG0002873	Sp2g21400.1	Carub.0006s2419.1.p
OG0002874	Sp1g23070.1	Carub.0001s2535.1.p
OG0002875	Sp3g20310.1, Sp5g19970.1, Sp3g20320.1	Carub.0007s0683.1.p, Carub.0004s2743.1.p
OG0002875	Sp3g21890.1	Carub.0001s3637.1.p
OG0002876	SpUn0001_0780.1	Carub.0002s0944.1.p
OG0002876	Sp7g06250.1	Carub.0007s3168.1.p
OG0002877	Sp6g29520.1	Carub.0006s1267.1.p
OG0002877	Sp3g00450.1	Carub.0003s0046.1.p
OG0002878	Sp6g21850.1	Carub.0005s1879.1.p
OG0002878	Sp5g15890.1	Carub.0005s1145.1.p
OG0002880	Sp5g01980.1	Carub.0005s2811.1.p
OG0002881	Sp2g25140.1	Carub.0008s2265.1.p
OG0002881	Sp6g35600.1	Carub.0006s0625.1.p
OG0002882	Sp3g01000.1	Carub.0003s0105.1.p
OG0002883	Sp4g04880.1, Sp2g01400.1, Sp1g05910.1	Carub.0002s1368.1.p, Carub.0002s1372.1.p, Carub.0002s1369.1.p, Carub.0002s1367.1.p, Carub.0002s1371.1.p
OG0002884	Sp7g26410.1	Carub.0007s1227.1.p
OG0002884	Sp3g33840.1	Carub.0003s3508.1.p
OG0002885	Sp4g26350.1	Carub.0004s2687.1.p
OG0002885	Sp5g03140.1	Carub.0005s2680.1.p
OG0002887	Sp7g36640.1, Sp1g18340.1	Carub.0007s0106.1.p
OG0002887	Sp4g00700.1	Carub.0004s0058.1.p
OG0002888	Sp4g03740.1	Carub.0004s0441.1.p
OG0002889	Sp3g08560.1	Carub.0003s0948.1.p
OG0002889	Sp6g38580.1	Carub.0006s0312.1.p
