Orthogroup	Thellungiella_parvula	Arabidopsis_halleri
OG0002183	Sp2g29470.1	g07305
OG0002184	Sp6g02560.1	g09080
OG0002184	Sp1g02040.1	g01929
OG0002185	Sp3g01260.1	g02559
OG0002185	Sp6g28500.1	g00212
OG0002186	Sp3g28100.1	g14190
OG0002186	Sp7g31620.1	g00556, g32524
OG0002187	Sp5g13180.1	g16739
OG0002187	Sp6g13090.1	g08459
OG0002188	Sp4g16580.1	g03330
OG0002188	Sp1g25470.1	g13112
OG0002189	SpUn0341_0010.1	g19368
OG0002189	Sp3g08160.1	g06077
OG0002190	Sp2g01140.1	g22922, g22921
OG0002191	Sp1g12700.1	g25374
OG0002191	Sp5g30760.1	g01109
OG0002192	Sp5g22040.1	g23326
OG0002192	Sp7g03600.1	g25059
OG0002193	Sp2g21390.1	g21855
OG0002193	Sp3g04850.1	g06379
OG0002194	Sp7g25940.1	g04455
OG0002194	Sp6g15050.1	g08218
OG0002195	Sp6g17130.1	g09304
OG0002195	Sp7g24760.1	g04586
OG0002196	Sp1g02030.1	g01928
OG0002196	Sp6g02500.1	g09086
OG0002197	Sp7g32710.1	g00433
OG0002197	Sp3g30090.1	g23279
OG0002198	Sp2g27320.1	g07570
OG0002198	Sp6g33890.1	g19116
OG0002199	Sp2g16210.1, Sp2g16205.1	g20506
OG0002199	Sp7g01020.1	g22397
OG0002200	Sp4g11740.1	g07019
OG0002200	Sp1g06300.1	g02418
OG0002201	Sp5g14910.1	g12758
OG0002202	Sp3g18070.1	g28997
OG0002202	Sp1g37290.1	g25628
OG0002203	Sp7g06430.1	g16336
OG0002204	Sp1g03340.1	g02081
OG0002204	Sp4g15650.1	g03233
OG0002205	Sp2g12730.1	g14511
OG0002205	Sp1g13410.1	g10082
OG0002206	Sp3g16860.1	g21631
OG0002206	Sp1g36110.1	g24336
OG0002207	Sp3g18040.1	g22570
OG0002207	Sp1g37240.1	g25633
OG0002208	Sp3g07000.1	g11747
OG0002208	Sp7g11290.1, Sp5g06590.1	g11626
OG0002209	Sp3g09730.1	g05887
OG0002209	Sp4g02830.1	g08751
OG0002210	Sp6g38650.1	g15779
OG0002210	Sp3g08520.1	g06026
OG0002212	Sp1g36980.1, Sp1g36940.1	g15295, g15298
OG0002212	Sp1g36990.1	g15299
OG0002213	Sp4g20250.1	g18333
OG0002213	Sp5g08370.1	g11413
OG0002214	Sp5g12390.1	g22287
OG0002214	Sp2g28890.1	g07370
OG0002215	Sp7g23150.1	g10305
OG0002215	Sp6g13450.1	g08423
OG0002216	Sp4g14270.1	g07947
OG0002216	Sp1g04430.1	g02342
OG0002217	Sp3g00830.1	g02602
OG0002217	Sp6g28960.1	g00264
OG0002218	Sp7g25160.1	g04542
OG0002218	Sp6g16590.1	g09375
OG0002219	Sp6g17110.1	g09306
OG0002220	Sp3g01990.1	g31838
OG0002220	Sp6g27420.1	g00096
OG0002221	Sp3g17390.1	g22501
OG0002221	Sp1g36630.1	g15263
OG0002222	Sp2g24030.1	g27313
OG0002222	Sp6g34750.1	g23821
OG0002223	Sp2g22770.1	g27611
OG0002224	SpUn0010_0110.1, Sp7g00630.1	g22443
OG0002225	Sp7g24590.1	g04602
OG0002225	Sp6g17570.1	g09260
OG0002226	Sp1g11790.1	g04740
OG0002226	Sp2g15020.1	g19575
OG0002227	Sp6g36380.1	g15578
OG0002229	Sp1g12600.1, Sp1g12590.1	g10178
OG0002229	Sp1g12580.1	g10179
OG0002231	Sp5g26220.1	g03852
OG0002231	Sp1g20450.1	g13705
OG0002232	Sp7g27090.1	g04326
OG0002233	Sp2g12280.1	g07849
OG0002234	Sp2g07670.1	g23308, g26079
OG0002235	Sp2g10790.1	g07631
OG0002236	Sp1g10680.1	g04878
OG0002237	Sp3g15110.1	g16237
OG0002238	Sp5g03660.1	g22853
OG0002238	Sp1g26790.1	g18834
OG0002239	Sp4g03430.1	g08828
OG0002239	Sp7g29170.1	g00863
OG0002240	Sp1g09670.1	g31788
OG0002241	Sp2g26780.1	g12380
OG0002241	Sp6g34290.1	g19061
OG0002242	Sp6g05400.1	g29516
OG0002242	Sp7g20810.1	g14394
OG0002243	Sp1g22030.1	g08060
OG0002243	Sp5g24650.1	g25195
OG0002244	Sp1g36640.1	g15264
OG0002244	Sp3g17400.1	g22502
OG0002245	Sp1g40010.1	g15028
OG0002245	Sp3g13030.1	g06768
OG0002246	Sp6g20630.1	g11070
OG0002246	Sp5g14730.1	g12780
OG0002248	Sp6g25320.1	g13171
OG0002248	Sp3g05110.1	g31319, g06412
OG0002249	Sp4g11470.1, Sp7g34230.1	g03065
OG0002250	Sp2g04970.1	g25152
OG0002250	Sp1g08880.1	g05083
OG0002251	Sp6g30890.1	g10745
OG0002251	Sp1g23490.1	g26708
OG0002252	Sp3g21550.1	g24026
OG0002253	Sp6g16990.1, Sp6g16980.1	g09326
OG0002254	Sp4g20490.1	g18359
OG0002254	Sp5g10410.1	g14842
OG0002255	Sp5g03250.1	g29826
OG0002255	Sp4g26180.1	g18085
OG0002256	Sp3g30720.1	g22198
OG0002256	Sp7g33220.1	g00371
OG0002257	Sp3g33770.1	g25830
OG0002257	Sp7g26450.1	g04402
OG0002258	Sp6g30140.1	g19311
OG0002258	Sp3g10590.1	g05792
OG0002259	Sp1g15870.1	g25912
OG0002260	Sp1g13710.1	g10043
OG0002267	Sp5g04910.1	g16611
OG0002267	Sp4g24490.1	g17298
OG0002268	Sp1g18300.1	g13509
OG0002268	Sp5g31450.1	g01183
OG0002269	Sp7g12450.1	g23173
OG0002269	Sp3g20920.1, Sp5g23260.1	g27144
OG0002270	Sp2g14850.1	g19605
OG0002270	Sp1g11950.1	g04706
OG0002271	Sp1g13580.1	g10056
OG0002271	Sp3g14390.1	g06617
OG0002272	Sp1g06240.1	g02412
OG0002272	Sp4g11900.1	g07008
OG0002273	Sp5g35830.1	g01645
OG0002274	Sp3g22860.1	g23353
OG0002274	Sp2g18930.1	g15951
OG0002275	Sp3g07270.1	g11713
OG0002276	Sp1g10220.1	g04924
OG0002276	Sp2g02730.1	g17747
OG0002277	Sp7g30040.1	g00744
OG0002278	Sp7g16210.1	g22646
OG0002279	Sp3g33130.1	g20918
OG0002279	Sp7g27170.1	g04315
OG0002280	Sp5g02870.1, SpUN0080_0050.1	g05591
OG0002280	Sp4g26970.1	g28028
OG0002281	Sp6g03050.1	g09038
OG0002281	Sp1g02410.1	g01972
OG0002282	Sp4g17800.1	g03452
OG0002282	Sp1g27670.1	g16064
OG0002283	Sp7g22620.1	g10360
OG0002283	Sp6g11850.1	g30395
OG0002284	Sp5g31560.1	g01192
OG0002284	Sp1g18510.1	g13484
OG0002285	Sp1g11340.1	g04791
OG0002285	Sp2g01390.1	g18700
OG0002286	Sp5g23750.1	g14724
OG0002286	Sp1g22690.1	g08143
OG0002287	Sp6g38330.1	g15739
OG0002287	Sp3g08760.1	g05994
OG0002288	Sp5g24530.1	g25207
OG0002288	Sp1g22110.1	g08070
OG0002289	Sp3g16040.1	g16110
OG0002289	Sp1g35480.1	g17412
OG0002290	Sp3g06140.1	g11847
OG0002290	Sp2g19070.1	g15965
OG0002291	Sp2g29000.1	g07356
OG0002291	Sp5g12270.1	g22273
OG0002292	Sp2g05490.1	g30688
OG0002292	Sp1g08400.1	g28861
OG0002293	Sp2g04820.1	g25173
OG0002293	Sp1g08950.1	g05077
OG0002294	Sp4g16620.1	g03334
OG0002294	Sp4g16610.1	g03333
OG0002295	Sp2g04620.1	g26669
OG0002295	Sp1g21450.1	g13591
OG0002296	Sp1g41880.1	g24624
OG0002296	Sp5g21000.1	g25968
OG0002297	Sp5g31440.1	g01181
OG0002297	Sp1g18290.1	g13510
OG0002298	Sp7g18760.1	g05190
OG0002298	SpUn0524_0010.1	g23624
OG0002300	Sp2g16110.1	g20493
OG0002300	Sp7g00860.1	g22410
OG0002301	Sp4g12550.1	g24262
OG0002301	Sp1g05950.1	g02374
OG0002302	Sp4g27470.1	g09798
OG0002302	Sp5g02370.1	g05530
OG0002303	Sp7g30160.1, Sp7g30140.1	g00731
OG0002304	Sp7g26400.1	g04408
OG0002304	Sp3g33870.1	g25820
OG0002305	Sp2g28850.1	g07375
OG0002305	Sp5g07060.1	g11568
OG0002306	Sp7g14100.1	g32321, g20233
OG0002306	Sp7g14090.1	g20234
OG0002307	Sp7g20030.1	g21789
OG0002307	Sp6g04150.1	g21468
OG0002308	Sp1g17540.1	g13876
OG0002308	Sp5g30560.1	g01083
OG0002309	Sp4g23450.1	g24508
OG0002309	Sp5g05810.1	g21182
OG0002310	Sp5g25100.1	g03738
OG0002310	Sp1g21580.1	g30500
OG0002311	Sp4g07320.1	g18630, g11376
OG0002312	Sp5g25480.1	g03775
OG0002313	Sp3g01820.1	g02487
OG0002313	Sp6g27710.1	g00128
OG0002314	Sp5g12190.1	g22262
OG0002314	Sp2g29150.1	g07340
OG0002315	Sp1g09690.1	g31790
OG0002315	Sp2g03620.1	g19914
OG0002316	Sp7g37550.1	g31715, g02695
OG0002316	Sp7g33170.1	g00377
OG0002317	Sp1g12100.1	g04674
OG0002317	Sp2g14390.1	g23592
OG0002318	Sp2g30130.1	g07232
OG0002319	Sp1g29110.1	g17718
OG0002319	Sp6g07370.1	g28414
OG0002320	Sp6g33720.1	g19139
OG0002321	Sp5g31220.1	g01161
OG0002321	Sp1g18060.1	g13546
OG0002322	Sp4g02970.1	g08767
OG0002322	Sp7g28600.1	g04154
OG0002323	Sp5g12150.1	g22257
OG0002323	Sp2g29260.1	g07328
OG0002324	Sp7g28430.1	g04170
OG0002324	Sp4g02880.1	g08756
OG0002326	Sp6g38620.1	g15776
OG0002326	Sp3g08540.1	g06013, g06024
OG0002327	Sp2g17260.1	g28930
OG0002327	Sp7g02060.1	g29027
OG0002328	Sp6g38840.1	g15800
OG0002328	Sp3g08400.1	g06038
OG0002329	Sp2g09790.1	g17955
OG0002329	Sp6g20110.1	g26147, g30145
OG0002329	Sp2g20690.1	g17954
OG0002330	Sp4g21600.1, SpUn0018_0070.1	g12483
OG0002330	Sp5g07400.1	g11529
OG0002331	Sp7g36330.1	g02831, g02830, g27471
OG0002332	Sp1g37760.1	g25744
OG0002332	Sp1g36200.1	g15210, g15198
OG0002333	Sp3g29420.1	g26941
OG0002333	Sp7g32270.1	g00481
OG0002334	Sp4g18950.1	g03573
OG0002334	Sp5g09200.1	g20406
OG0002335	Sp4g26100.1	g18076
OG0002335	Sp5g03270.1	g29820
OG0002336	Sp4g16760.1	g07028, g03346, g03347
OG0002337	Sp1g31260.1	g30407
OG0002337	Sp5g32930.1	g01336
OG0002338	Sp3g02040.1	g02465
OG0002338	Sp6g27330.1	g00089
OG0002339	Sp4g15320.1	g03187
OG0002339	Sp1g03880.1	g02137
OG0002340	Sp5g00170.1	g30189
OG0002340	Sp3g20600.1, SpUn0119_0020.1	g22772
OG0002341	Sp3g02070.1	g02461
OG0002341	Sp6g27230.1	g00082
OG0002342	Sp6g37780.1	g21821
OG0002342	Sp3g09070.1	g05972
OG0002343	Sp4g17450.1	g03415
OG0002344	Sp6g07260.1	g30095, g30093
OG0002345	Sp6g05510.1	g26550
OG0002345	Sp7g20930.1	g14385
OG0002346	Sp5g01300.1	g05385
OG0002347	Sp4g05010.1, Sp7g30260.1	g00722
OG0002348	Sp2g11440.1	g07725
OG0002348	Sp7g16140.1	g22638
OG0002349	Sp1g27340.1	g16097
OG0002350	Sp6g09350.1	g20334
OG0002350	Sp1g31190.1	g26173
OG0002352	Sp2g02630.1	g17758
OG0002352	Sp1g10310.1	g04912
OG0002353	Sp6g33710.1	g19140
OG0002353	Sp2g27620.1	g07535
OG0002354	Sp3g18780.1	g11163
OG0002354	Sp1g37860.1	g21896
OG0002355	Sp2g29750.1	g07269
OG0002356	Sp5g00530.1	g05286
OG0002356	Sp4g29870.1	g09527
OG0002357	Sp3g14940.1	g06539
OG0002357	Sp7g14350.1	g20214
OG0002358	Sp1g14070.1	g10004, g10003
OG0002359	Sp7g16790.1	g17129
OG0002359	Sp2g12130.1	g07833
OG0002360	Sp3g33490.1	g20864
OG0002360	Sp7g26760.1	g04370
OG0002361	Sp3g03390.1	g06200
OG0002361	Sp2g20170.1	g27879
OG0002362	Sp7g35250.1	g02961
OG0002362	Sp4g02080.1	g20989
OG0002363	Sp6g38930.1	g15810, g15812
OG0002364	Sp4g14190.1	g07924
OG0002364	Sp1g04530.1	g02214
OG0002365	Sp3g00530.1	g02635
OG0002365	Sp6g29360.1	g19223
OG0002366	Sp2g23530.1	g29110
OG0002366	Sp5g13190.1	g16737
OG0002367	Sp5g11570.1	g14977
OG0002367	Sp2g29910.1	g07254
OG0002368	Sp1g08970.1	g05074
OG0002369	Sp2g10080.1, Sp2g10130.1	g26410, g30962
OG0002370	Sp3g21010.1	g27152
OG0002370	Sp7g12370.1	g23169
OG0002371	Sp1g28430.1	g16000
OG0002371	Sp4g17590.1	g03432
OG0002372	Sp1g41620.1	g24591
OG0002372	Sp3g11130.1	g05724
OG0002373	Sp1g22820.1	g08156
OG0002373	Sp5g23510.1	g14751
OG0002374	Sp4g00390.1	g23928
OG0002374	Sp7g36990.1	g02757
OG0002375	Sp3g03950.1	g06275
OG0002375	Sp2g20550.1	g29587
OG0002376	Sp5g27420.1	g03990
OG0002376	Sp1g15430.1	g09859
OG0002377	Sp7g12990.1	g20127
OG0002377	Sp3g20280.1	g22732
OG0002378	Sp7g24120.1	g10209
OG0002378	Sp6g18720.1	g24131
OG0002379	Sp1g38770.1	g15170
OG0002379	Sp3g14500.1	g06608, g06604
OG0002380	Sp5g05730.1	g21169
OG0002380	Sp4g23390.1	g24515
OG0002381	Sp2g27710.1, Sp6g33620.1	g07514
OG0002382	Sp7g29480.1	g00818
OG0002382	Sp4g03620.1	g08883
OG0002383	Sp7g23830.1	g10239
OG0002383	Sp6g19250.1, Sp6g19260.1	g16844
OG0002384	Sp7g24010.1	g10220
OG0002384	Sp6g18910.1	g24153
OG0002385	Sp5g01850.1	g05453
OG0002385	Sp4g28230.1	g09716
OG0002386	Sp1g16780.1	g13964
OG0002387	Sp5g25250.1	g03752
OG0002387	Sp1g21500.1	g13582
OG0002388	Sp7g36890.1	g02767
OG0002388	Sp4g00490.1	g23939
OG0002389	Sp7g23490.1	g10279
OG0002389	Sp6g14230.1	g08325
OG0002390	Sp4g02190.1	g20998
OG0002390	Sp7g35110.1	g02971
OG0002391	Sp1g14550.1	g09958
OG0002391	Sp5g34450.1	g01507
OG0002392	Sp5g26790.1, SpUn0095_0020.1	g03921
OG0002392	Sp1g20270.1	g13730
OG0002393	Sp1g38540.1	g28787
OG0002393	Sp3g34140.1	g19628
OG0002394	Sp7g27980.1	g04211
OG0002394	Sp3g32490.1	g22690
OG0002395	Sp1g33270.1, Sp6g25250.1, Sp4g23360.1	g13162
OG0002396	Sp3g13930.1	g06661
OG0002396	Sp1g39280.1	g15111
OG0002397	Sp3g32420.1	g22680
OG0002397	Sp7g28050.1	g32438
OG0002398	Sp2g13910.1	g14671
OG0002398	Sp1g12730.1	g10164
OG0002399	Sp4g15800.1	g03243
OG0002400	Sp1g03300.1	g02078
OG0002400	Sp4g15750.1	g31762
OG0002401	Sp1g30090.1	g21768, g21656, g21817
OG0002401	Sp6g04050.1, SpUn0051_0030.1	g21454
OG0002402	Sp2g19400.1	g27476
OG0002402	Sp3g05880.1	g06503
OG0002403	Sp4g26120.1	g18078
OG0002404	Sp3g04680.1	g06363
OG0002404	Sp2g06210.1	g16258
OG0002405	Sp2g24600.1	g10810
OG0002405	Sp6g35190.1	g23869
OG0002406	Sp5g34940.1	g01560
OG0002407	Sp3g01130.1	g02571
OG0002407	Sp6g28590.1	g00220
OG0002408	Sp6g04120.1	g21463
OG0002409	Sp4g15640.1	g03232
OG0002409	Sp1g03350.1	g02082
OG0002410	Sp3g00540.1	g02634
OG0002410	Sp6g29350.1	g19222
OG0002411	Sp1g22650.1	g08138
OG0002411	Sp5g23950.1	g14702
OG0002412	Sp1g09660.1	g05007
OG0002413	Sp1g01770.1	g01889
OG0002413	Sp6g02180.1	g09120
OG0002414	Sp5g12120.1	g22255
OG0002414	Sp2g29280.1	g07326
OG0002415	Sp5g21520.1	g22053
OG0002415	Sp7g04250.1	g20618
OG0002416	Sp3g20150.1	g11361
OG0002417	Sp6g23430.1	g12010
OG0002417	Sp5g17460.1	g29152
OG0002418	Sp5g25520.1	g03782
OG0002418	Sp1g20990.1	g13642
OG0002420	Sp3g29510.1, Sp3g29520.1	g26935
OG0002421	Sp4g00650.1	g23957
OG0002422	Sp2g16520.1	g20555
OG0002423	Sp5g02620.1	g05560
OG0002423	Sp4g27210.1	g09832
OG0002424	Sp1g04640.1	g02230
OG0002424	Sp4g14050.1	g07915
OG0002425	Sp4g28710.1	g09658
OG0002425	Sp5g01470.1	g05410
OG0002426	Sp3g28300.1	g14198
OG0002427	Sp2g09510.1	g11191, g23658
OG0002427	Sp7g18570.1	g05164
OG0002428	Sp7g34520.1	g03035
OG0002428	Sp4g02690.1	g08728
OG0002429	Sp2g08610.1	g17554
OG0002429	Sp1g35360.1	g17428
OG0002430	Sp1g21230.1	g13616
OG0002430	Sp5g25390.1	g03765
OG0002431	Sp1g34380.1	g18984
OG0002431	Sp2g07450.1	g22132
OG0002432	Sp6g20540.1	g30277
OG0002433	Sp7g36650.1	g02794
OG0002433	Sp4g00680.1	g23961, g31801
OG0002434	Sp1g41290.1	g24542
OG0002434	Sp3g11540.1	g05679
OG0002435	Sp4g13580.1	g25769
OG0002437	Sp7g05580.1	g27855
OG0002437	Sp2g00120.1	g31707
OG0002438	SpUn0318_0010.1	g22379
OG0002438	Sp7g29710.1	g00790
OG0002439	Sp1g41080.1	g27957
OG0002439	Sp3g11690.1	g05658
OG0002440	Sp2g16320.1	g20519
OG0002440	Sp7g01060.1	g22391
OG0002441	Sp4g18620.1	g03537
OG0002441	Sp5g09450.1	g20437
OG0002442	Sp3g28440.1	g14217
OG0002442	Sp7g32030.1	g00511
OG0002443	Sp3g13170.1	g06750
OG0002444	Sp5g05980.1	g21200
OG0002444	Sp4g23160.1	g12673
OG0002445	Sp6g00550.1	g19801
OG0002445	Sp1g00600.1	g01739
OG0002446	Sp6g26670.1	g00013, g07715
OG0002446	Sp3g02480.1	g26819
OG0002447	Sp7g32050.1	g00508
OG0002447	Sp3g28420.1	g14206
OG0002448	Sp1g19410.1	g13371
OG0002448	Sp5g32760.1	g01319
OG0002449	Sp2g21140.1	g17880
OG0002450	Sp5g02390.1	g05532
OG0002450	Sp1g00340.1	g01715
OG0002451	Sp2g10200.1	g26393
OG0002452	Sp2g20220.1	g27868
OG0002452	Sp3g03640.1	g06237
OG0002453	Sp3g10410.1	g05813
OG0002454	Sp3g02890.1	g13278
OG0002454	Sp6g26140.1	g06132
OG0002455	Sp6g36560.1	g15554
OG0002455	Sp3g09860.1	g05875
OG0002456	Sp7g01100.1	g26878
OG0002457	Sp1g10630.1	g04886
OG0002457	Sp2g02320.1	g17813
OG0002458	Sp7g16890.1	g17142
OG0002458	Sp2g12260.1	g07847
OG0002459	Sp5g30240.1	g01049
OG0002459	Sp1g17270.1	g13913
OG0002460	Sp4g03290.1	g08811
OG0002460	Sp7g28890.1	g00891
OG0002461	Sp4g18020.1	g03477
OG0002462	Sp1g28670.1	g17643
OG0002462	Sp6g07020.1	g25341
OG0002463	Sp1g36730.1	g15274
OG0002463	Sp3g17590.1	g22531
OG0002464	Sp6g02210.1	g09115
OG0002464	Sp1g01780.1	g01891
OG0002465	Sp1g03230.1	g02070
OG0002465	Sp2g08140.1	g30354
OG0002466	Sp5g27820.1	g04034
OG0002466	Sp1g15680.1	g25937
OG0002467	SpUn0024_0090.1, Sp1g04050.1	g02152
OG0002468	Sp1g15180.1	g09888
OG0002469	Sp2g21600.1	g21823
OG0002469	Sp6g31640.1	g10668
OG0002470	SpUn0110_0020.1, Sp6g04580.1	g31435
OG0002470	Sp4g22270.1	g12563
OG0002471	Sp5g31830.1	g01220
OG0002471	Sp1g18740.1	g13459
OG0002472	Sp5g34700.1	g01531
OG0002472	Sp1g14440.1	g09974
OG0002473	Sp1g17000.1	g13942
OG0002474	Sp1g09340.1	g05039
OG0002474	Sp2g04120.1	g25437
OG0002475	Sp7g26280.1	g04419
OG0002475	Sp3g33920.1	g25810
OG0002476	Sp1g27220.1	g27575
OG0002476	Sp4g17860.1	g03459
OG0002477	Sp2g28900.1	g07369
OG0002477	Sp5g12370.1	g22285
OG0002478	Sp6g05450.1	g29508
OG0002478	Sp7g20860.1	g14388
OG0002480	Sp7g10480.1	g19933
OG0002480	SpUN0027_0090.1, Sp3g22610.1	g28244
OG0002481	Sp3g20160.1	g11362
OG0002482	Sp1g16590.1	g13987
OG0002482	Sp5g29370.1	g00956
OG0002483	Sp6g04690.1	g29668
OG0002483	Sp1g10670.1	g04879
OG0002484	Sp1g18580.1	g13476
OG0002484	Sp5g31630.1	g01199
OG0002485	Sp3g02130.1	g31040
OG0002485	Sp6g27130.1	g00070
OG0002486	Sp3g13830.1	g12953
OG0002487	Sp6g34000.1	g19106
OG0002487	Sp3g17790.1	g22557
OG0002488	Sp6g36410.1	g15575
OG0002488	Sp3g10000.1	g05860
OG0002489	Sp7g26210.1	g04426
OG0002490	Sp4g00550.1	g23945
OG0002490	Sp7g36780.1	g02780
OG0002491	Sp5g02930.1	g05597
OG0002491	Sp4g26890.1	g28040
OG0002492	Sp1g18680.1	g13465
OG0002493	Sp5g14050.1, Sp5g14040.1	g12870, g12871
OG0002494	Sp7g28210.1	g04191
OG0002494	Sp3g32220.1	g22039
OG0002495	Sp7g21160.1	g14354
OG0002496	Sp6g12300.1	g25523
OG0002497	Sp4g27500.1	g09795
OG0002497	Sp5g02350.1	g05528
OG0002498	Sp6g38610.1	g15775
OG0002498	Sp4g23520.1	g24500
OG0002499	Sp5g23975.1	g14697
OG0002499	Sp1g22450.1	g08118
OG0002501	Sp1g26330.1	g18780
OG0002501	Sp4g16990.1	g03371
OG0002502	Sp4g01020.1	g28086
OG0002502	Sp7g36340.1	g02828
OG0002503	Sp5g02470.1	g05542
OG0002503	Sp4g27400.1	g09812
OG0002504	Sp3g02220.1	g31079
OG0002504	Sp6g40730.1	g28635
OG0002505	Sp2g02170.1	g17831
OG0002505	Sp7g20460.1	g14442
OG0002506	Sp2g17450.1	g08654
OG0002506	Sp2g17440.1	g08657
OG0002507	Sp1g25480.1	g13113
OG0002507	Sp4g16590.1	g03331
OG0002508	Sp3g09470.1	g05923
OG0002508	Sp6g37260.1	g26008
OG0002509	Sp6g22500.1	g27281
OG0002509	Sp5g16310.1	g11893
OG0002510	Sp6g34730.1	g23818
OG0002510	Sp2g23970.1	g27319
OG0002511	Sp4g24950.1	g17370
OG0002511	Sp5g04060.1	g16509
OG0002512	Sp6g07110.1, Sp6g07120.1	g25357
OG0002513	Sp1g10090.1	g04937
OG0002514	Sp1g40620.1	g24881
OG0002514	Sp3g12260.1	g06852
OG0002515	Sp3g16440.1	g21578
OG0002515	Sp1g35700.1	g24283
OG0002516	Sp3g11620.1	g05666
OG0002516	Sp1g41140.1	g27963
OG0002517	Sp3g09790.1	g05882
OG0002517	Sp6g36690.1	g15542
OG0002518	Sp6g28750.1	g00236
OG0002518	Sp3g00990.1	g02589
OG0002519	Sp1g05010.1	g02264
OG0002519	Sp4g13620.1	g25773
OG0002520	Sp5g15040.1	g12727
OG0002521	Sp2g22940.1	g25311
OG0002521	Sp5g12720.1	g16799
OG0002522	SpUn0053_0010.1, Sp7g05370.1	g21515, g19269
OG0002523	Sp2g20960.1	g17908
OG0002523	Sp3g04450.1	g06332
OG0002524	Sp1g13910.1	g10024
OG0002525	Sp2g13450.1	g14599
OG0002526	Sp3g00360.1	g31847
OG0002526	Sp6g29630.1	g19257
OG0002527	Sp7g25190.1	g04539
OG0002527	Sp6g16470.1	g09392
OG0002528	Sp2g01550.1	g18723
OG0002528	Sp1g11200.1	g04819
OG0002529	Sp1g16900.1	g13950
OG0002529	Sp5g29890.1	g01016
OG0002530	Sp7g12110.1	g23153
OG0002530	Sp7g12200.1	g23154, g29855
OG0002531	Sp4g01740.1	g31270
OG0002532	Sp5g12030.1	g22241
OG0002532	Sp2g29420.1	g07310
OG0002533	Sp1g13240.1, Sp7g24900.1	g04569
OG0002533	Sp6g16920.1	g09341
OG0002534	Sp7g26240.1	g04423
OG0002534	Sp3g33950.1	g25812
OG0002535	Sp7g13820.1	g20265
OG0002535	Sp3g19540.1	g11258
OG0002536	Sp4g19130.1	g03591
OG0002536	Sp3g06100.1	g11851
OG0002537	Sp3g20120.1	g11356
OG0002537	Sp5g15100.1, Sp3g20100.1	g11353
OG0002538	Sp1g28200.1	g15972
OG0002538	Sp6g06820.1	g25317
OG0002539	Sp1g22180.1	g08079
OG0002540	Sp5g34570.1	g01519
OG0002540	Sp1g14500.1	g09965
OG0002541	Sp1g02730.1	g02015
OG0002542	Sp2g29300.1	g07323
OG0002543	Sp1g16400.1	g14008
OG0002543	Sp5g29120.1	g04146
OG0002544	Sp2g23080.1	g25296
OG0002545	Sp2g22070.1	g14099
OG0002545	Sp6g32180.1	g10607
OG0002546	Sp6g05550.1	g26554
OG0002546	Sp7g20960.1	g14382
OG0002547	Sp4g11450.1	g07060
OG0002547	Sp5g15680.1	g27980
OG0002548	Sp3g09040.1	g05974
OG0002549	Sp7g36160.1	g02855
OG0002550	Sp5g34950.1	g01561
OG0002551	Sp5g17820.1	g27335
OG0002551	Sp6g23640.1	g12031
OG0002552	Sp6g38050.1	g15700
OG0002564	Sp2g16460.1	g20543
OG0002564	Sp7g01140.1	g26883
OG0002565	Sp1g40880.1	g24846
OG0002565	Sp3g11890.1	g06900
OG0002566	Sp6g21410.1	g10983
OG0002566	Sp5g15450.1	g29059
OG0002567	Sp3g20030.1	g14194, g11346, g11345, g11344, g11342, g11343
OG0002568	Sp1g09910.1	g04972
OG0002568	Sp2g03190.1	g19852
OG0002569	Sp7g11970.1	g21390
OG0002569	Sp3g21440.1	g24006
OG0002570	Sp6g16460.1	g09393
OG0002570	Sp7g25200.1	g04538
OG0002571	Sp3g01450.1	g02532
OG0002572	Sp6g25030.1	g13130
OG0002572	Sp6g31470.1	g10686
OG0002573	Sp6g14030.1, Sp6g14000.1	g08348
OG0002573	Sp7g23430.1	g10283
OG0002574	Sp6g21250.1	g11003
OG0002574	Sp5g15060.1	g12725, g03606
OG0002576	Sp7g01980.1, Sp1g21160.1	g13627, g13626
OG0002577	Sp1g09770.1	g04997
OG0002578	Sp4g03360.1	g08824
OG0002578	Sp7g29050.1	g00875
OG0002579	Sp1g09570.1	g05014
OG0002579	Sp2g03810.1	g25465, g19921
OG0002580	Sp1g02780.1	g02021
OG0002580	Sp3g33670.1	g25841
OG0002581	Sp1g15560.1	g25948
OG0002581	Sp5g27600.1	g04011
OG0002582	Sp5g03620.1	g22848
OG0002582	Sp4g25510.1	g18006
OG0002583	Sp7g32360.1	g00471
OG0002583	Sp3g29600.1	g26517
OG0002584	Sp5g27680.1	g04019
OG0002584	Sp1g15570.1	g25947
OG0002585	Sp2g19590.1	g25102
OG0002585	Sp3g05740.1	g06487
OG0002586	Sp3g04530.1	g06340
OG0002586	Sp2g21030.1	g17896
OG0002587	Sp3g31190.1	g22152
OG0002587	Sp7g33700.1	g00313
OG0002588	Sp1g01120.1	g01811
OG0002588	Sp6g01260.1	g19766
OG0002589	Sp1g13010.1	g10130, g27239, g15625
OG0002590	Sp5g04900.1	g16610
OG0002591	Sp4g15370.1	g03191
OG0002592	Sp7g12390.1, Sp5g33860.1	g01444, g01443
OG0002593	Sp2g02810.1	g17741
OG0002594	Sp1g00500.1, Sp1g00490.1	g01729
OG0002595	Sp5g04670.1	g16586
OG0002595	Sp4g24230.1	g17262
