Orthogroup	Thellungiella_parvula	Arabidopsis_lyrata
OG0001594	Sp1g04890.1	scaffold_100596.1
OG0001595	Sp1g09990.1	fgenesh2_kg.1__1224__AT1G11340.1
OG0001595	Sp1g10060.1	fgenesh2_kg.1__1233__AT1G11410.1
OG0001596	Sp1g41310.1	Al_scaffold_0001_4953, fgenesh2_kg.1__4585__AT1G55720.1
OG0001596	Sp3g11520.1	scaffold_301527.1
OG0001597	Sp1g02810.1	fgenesh1_pg.C_scaffold_1000285
OG0001597	Sp2g08890.1	scaffold_800617.1
OG0001598	Sp5g07310.1	fgenesh2_kg.5__1924__AT3G55110.1
OG0001598	Sp5g07290.1	scaffold_502633.1
OG0001599	Sp5g01110.1	fgenesh2_kg.5__2725__AT3G62270.1
OG0001599	Sp4g29140.1	fgenesh2_kg.4__2951__AT2G47160.1
OG0001600	Sp5g13690.1	fgenesh1_pm.C_scaffold_5000980
OG0001600	Sp2g26290.1	scaffold_803004.1
OG0001601	Sp2g23990.1	fgenesh2_kg.6__2304__AT5G23130.1
OG0001601	Sp6g34740.1	fgenesh2_kg.6__790__AT5G08200.1
OG0001603	Sp2g03970.1	fgenesh2_kg.2__384__AT1G60780.1
OG0001603	Sp1g09430.1	scaffold_101153.1
OG0001604	Sp1g01890.1	fgenesh2_kg.1__213__AT1G02890.1
OG0001604	Sp6g02380.1	fgenesh2_kg.6__3452__AT4G02480.1
OG0001605	Sp6g25990.1, Sp6g25980.1, Sp6g25970.1	Al_scaffold_0006_1748, fgenesh1_pg.C_scaffold_6001531, scaffold_601900.1, Al_scaffold_0006_1751
OG0001606	Sp5g19920.1	fgenesh1_pm.C_scaffold_2000520
OG0001606	Sp7g05910.1	Al_scaffold_0007_3225
OG0001608	Sp3g21560.1, Sp3g21570.1	fgenesh2_kg.3__2597__AT3G23840.1, fgenesh2_kg.520__1__AT3G23840.1
OG0001608	Sp7g11670.1	fgenesh2_kg.7__2964__AT4G13840.1
OG0001609	Sp6g36520.1	scaffold_602580.1, scaffold_600615.1
OG0001609	Sp3g09890.1	Al_scaffold_0003_1176
OG0001611	Sp6g05570.1	scaffold_603626.1
OG0001611	Sp7g20980.1	scaffold_702057.1
OG0001612	Sp7g24740.1	fgenesh2_kg.7__1559__AT4G26760.1
OG0001612	Sp6g17160.1	fgenesh2_kg.8__1424__AT5G55230.1
OG0001613	Sp1g21700.1	Al_scaffold_0001_2570
OG0001613	Sp5g24980.1	fgenesh2_kg.22__7__AT1G69870.1
OG0001614	Sp7g33160.1	scaffold_700583.1
OG0001614	Sp7g17610.1	fgenesh2_kg.7__2403__AT4G18905.1
OG0001615	Sp5g13330.1	fgenesh2_kg.5__1215__AT3G48680.1
OG0001615	Sp2g26590.1	fgenesh2_kg.8__2354__AT5G63510.1
OG0001616	Sp2g13060.1	scaffold_500072.1
OG0001616	Sp1g13330.1	fgenesh2_kg.1__1632__AT1G14890.1
OG0001617	Sp3g12640.1	fgenesh2_kg.3__1553__AT3G14350.1
OG0001617	Sp1g40260.1	fgenesh2_kg.1__4461__AT1G53730.2
OG0001618	Sp5g31760.1	fgenesh2_kg.2__1947__AT1G76590.1
OG0001618	Sp1g18700.1	scaffold_102351.1
OG0001619	Sp2g16760.1	scaffold_500718.1
OG0001619	Sp7g01460.1	scaffold_703934.1
OG0001620	Sp1g02580.1	fgenesh2_kg.1__295__AT1G03700.1
OG0001620	Sp6g03550.1	fgenesh1_pm.C_scaffold_6002691
OG0001622	Sp4g28310.1	fgenesh2_kg.4__2834__AT2G46260.1
OG0001622	Sp5g01810.1	fgenesh2_kg.5__2639__AT3G61600.1
OG0001623	Sp3g22960.1	fgenesh2_kg.3__2742__AT3G25420.1
OG0001623	Sp7g09690.1	fgenesh1_pm.C_scaffold_9000068
OG0001624	Sp3g01370.1	scaffold_300166.1
OG0001624	Sp6g28320.1	scaffold_601612.1
OG0001625	Sp2g09140.1	fgenesh2_kg.8__375__AT5G44310.2
OG0001625	Sp7g19070.1	fgenesh2_kg.7__2218__AT4G21020.1
OG0001626	Sp2g08340.1	fgenesh2_kg.349__1__AT5G43460.1
OG0001626	Sp1g03150.1	scaffold_100390.1
OG0001627	Sp4g26260.1	fgenesh1_pg.C_scaffold_4002569, fgenesh2_kg.4__2601__AT2G44180.1
OG0001627	Sp5g03190.1	fgenesh2_kg.5__2459__AT3G59990.3
OG0001628	Sp1g11450.1	fgenesh2_kg.1__1395__AT1G12880.1
OG0001628	Sp2g15810.1	scaffold_500569.1
OG0001629	Sp6g12910.1	fgenesh2_kg.91__1__AT5G50800.1, scaffold_801508.1
OG0001629	Sp7g23010.1	fgenesh2_kg.7__1770__AT4G25010.1
OG0001630	Sp7g04760.1	fgenesh2_kg.7__3156__AT5G37475.1
OG0001630	Sp5g21120.1	fgenesh1_pg.C_scaffold_2000916, fgenesh2_kg.2__841__AT1G66070.1
OG0001631	Sp5g12020.1	fgenesh1_pm.C_scaffold_5001130
OG0001631	Sp2g29430.1	scaffold_803385.1
OG0001632	Sp6g34950.1	fgenesh1_pg.C_scaffold_6000644
OG0001632	Sp2g24380.1	scaffold_802753.1
OG0001633	Sp2g15650.1	fgenesh2_kg.5__409__AT3G26520.1
OG0001633	Sp4g19080.1	fgenesh2_kg.4__1723__AT2G36830.1
OG0001635	Sp3g30490.1	Al_scaffold_0003_3669
OG0001635	Sp7g33050.1	fgenesh2_kg.7__555__AT4G35270.1
OG0001636	Sp6g33360.1, SpUn0247_0030.1	scaffold_601014.1
OG0001636	Sp2g28300.1	fgenesh2_kg.8__2563__AT5G65207.1
OG0001637	Sp6g08910.1	fgenesh2_kg.6__2914__AT4G08850.1
OG0001638	Sp1g35910.1	fgenesh2_kg.1__3998__AT1G49000.1
OG0001638	Sp3g16640.1	scaffold_302195.1
OG0001639	Sp4g16870.1	fgenesh1_pm.C_scaffold_270000001, fgenesh2_kg.4__1483__AT2G34600.1
OG0001639	Sp1g26000.1	Al_scaffold_0001_3081
OG0001640	Sp7g13150.1	scaffold_703073.1
OG0001640	Sp3g20060.1	fgenesh2_kg.3__2441__AT3G22270.1
OG0001641	Sp3g07920.1	fgenesh2_kg.3__978__AT3G09570.1
OG0001641	Sp6g25810.1	fgenesh2_kg.6__1867__AT5G18520.1
OG0001642	Sp1g05860.1	fgenesh2_kg.1__667__AT1G06920.1
OG0001642	Sp4g12980.1	fgenesh2_kg.136__1__AT2G30400.1, fgenesh2_kg.4__1012__AT2G30400.1
OG0001643	Sp2g02150.1	fgenesh2_kg.2__228__AT1G62450.1
OG0001644	Sp2g01160.1	scaffold_200172.1
OG0001644	SpUn0010_0170.1, Sp7g00690.1	fgenesh2_kg.7__3286__AT5G41250.1
OG0001645	Sp4g11550.1	fgenesh2_kg.1__762__AT1G07750.1, fgenesh2_kg.4__842__AT2G28680.1
OG0001646	Sp7g16900.1	fgenesh2_kg.7__2581__AT4G17270.1
OG0001646	Sp2g12270.1	scaffold_800035.1
OG0001647	Sp2g28770.1	fgenesh2_kg.8__2618__AT5G65690.1
OG0001647	Sp7g35510.1	fgenesh2_kg.7__262__AT4G37870.1
OG0001648	Sp3g05830.1	fgenesh2_kg.3__708__AT3G06868.1
OG0001648	Sp2g19450.1	scaffold_801276.1
OG0001649	Sp6g23240.1	Al_scaffold_0006_2059
OG0001649	Sp7g30930.1	fgenesh2_kg.7__800__AT4G33180.1
OG0001650	Sp1g01470.1	fgenesh2_kg.1__152__AT1G02390.1
OG0001650	Sp6g01830.1	scaffold_604094.1
OG0001651	Sp2g10520.1	fgenesh2_kg.8__237__AT5G45630.1
OG0001652	Sp4g26500.1	fgenesh2_kg.4__2627__AT2G44430.1
OG0001652	Sp5g03100.1	scaffold_503237.1
OG0001653	Sp6g32020.1	fgenesh2_kg.6__1130__AT5G11590.1
OG0001654	Sp3g02780.1	fgenesh1_pm.C_scaffold_3000276
OG0001654	Sp6g34870.1	fgenesh2_kg.6__775__AT5G08080.1
OG0001655	Sp6g04460.1	fgenesh1_pm.C_scaffold_6002616
OG0001655	Sp7g20220.1	fgenesh1_pm.C_scaffold_7001638
OG0001656	Sp6g33920.1	fgenesh2_kg.6__888__AT5G09410.2
OG0001656	Sp2g27280.1	scaffold_803130.1
OG0001657	Sp1g10710.1	fgenesh1_pm.C_scaffold_1001011
OG0001657	Sp2g02160.1	fgenesh2_kg.2__229__AT1G62440.1
OG0001658	Sp7g35790.1	fgenesh2_kg.7__226__AT4G40060.1
OG0001658	Sp4g01450.1	fgenesh2_kg.4__165__AT2G22430.1
OG0001659	Sp1g04990.1	fgenesh2_kg.1__590__AT1G06180.1
OG0001659	Sp4g13670.1	Al_scaffold_0004_1573
OG0001660	Sp5g31800.1	scaffold_402738.1, scaffold_202621.1
OG0001661	Sp4g19870.1	fgenesh2_kg.4__1810__AT2G37550.1
OG0001661	Sp5g08670.1	fgenesh2_kg.5__1752__AT3G53710.1
OG0001662	Sp4g02740.1	scaffold_400366.1
OG0001663	Sp1g05500.1	scaffold_100673.1
OG0001663	Sp4g13130.1	scaffold_401548.1
OG0001664	Sp4g17300.1	fgenesh2_kg.4__1527__AT2G35020.1
OG0001664	SpUn0157_0030.1	fgenesh2_kg.1__3303__AT1G31070.2
OG0001665	Sp6g33370.1	fgenesh2_kg.6__963__AT5G10030.1
OG0001665	Sp2g28310.1	Al_scaffold_0008_3070
OG0001666	Sp7g15770.1	fgenesh1_pm.C_scaffold_7001934
OG0001666	Sp2g11110.1	fgenesh2_kg.8__166__AT5G46240.1
OG0001667	Sp4g29590.1	fgenesh2_kg.4__3008__AT2G47650.1
OG0001667	Sp5g00680.1	fgenesh2_kg.5__2778__AT3G62830.2
OG0001668	Sp7g24530.1	fgenesh2_kg.7__1584__AT4G26570.2
OG0001668	Sp6g17840.1	fgenesh2_kg.8__1495__AT5G55990.1
OG0001669	Sp6g21090.1	scaffold_802571.1
OG0001669	Sp4g11830.1	fgenesh2_kg.146__3__AT2G29020.1, fgenesh2_kg.4__880__AT2G29020.1
OG0001671	Sp3g28110.1, Sp3g28220.1	fgenesh2_kg.3__3075__AT2G14860.1
OG0001671	Sp7g31630.1	fgenesh2_kg.7__721__AT4G33905.1
OG0001672	Sp3g21510.1	scaffold_302888.1
OG0001672	Sp7g11750.1	fgenesh2_kg.7__2951__AT4G13950.1
OG0001673	Sp4g24530.1	fgenesh2_kg.4__2390__AT2G42380.2
OG0001673	Sp5g04600.1	fgenesh2_kg.5__2254__AT3G58120.1
OG0001674	Sp7g14780.1, SpUn0413_0020.1	fgenesh2_kg.7__2692__AT4G16265.1
OG0001675	Sp1g38070.1	scaffold_104902.1
OG0001675	Sp3g19010.1	scaffold_24900002.1, scaffold_302510.1
OG0001676	Sp5g11960.1	fgenesh2_kg.5__1365__AT3G50150.1
OG0001676	Sp5g12000.1	fgenesh2_kg.5__1362__AT3G50120.1
OG0001677	Sp2g03320.1, SpUn0101_0020.1	fgenesh2_kg.2__338__AT1G61150.4
OG0001678	SpUn0010_0210.1, Sp7g00730.1	scaffold_703830.1
OG0001678	Sp2g01180.1	fgenesh2_kg.2__139__AT1G63430.1
OG0001679	Sp4g24630.1	scaffold_403121.1
OG0001679	Sp5g04370.1	fgenesh2_kg.5__2291__AT3G58500.1
OG0001680	Sp6g04540.1	fgenesh1_pm.C_scaffold_6002608
OG0001680	Sp7g20290.1	fgenesh1_pm.C_scaffold_7001632
OG0001681	Sp6g25050.1	fgenesh1_pm.C_scaffold_6001554
OG0001681	Sp6g31460.1	fgenesh2_kg.6__1194__AT5G12180.1
OG0001683	Sp6g17020.1	fgenesh2_kg.8__1407__AT5G55090.1
OG0001683	Sp7g24840.1	fgenesh2_kg.7__1545__AT4G26890.1
OG0001684	Sp6g30590.1	fgenesh2_kg.6__1297__AT5G13440.1, scaffold_601353.1
OG0001685	Sp1g18620.1	fgenesh2_kg.1__2282__AT1G20920.2
OG0001686	Sp6g06950.1	fgenesh1_pg.C_scaffold_6002718
OG0001686	Sp6g06970.1	Al_scaffold_0002_1216, Al_scaffold_0006_3185, scaffold_503470.1, scaffold_602738.1
OG0001687	Sp3g06380.1	fgenesh2_kg.3__767__AT3G07470.1
OG0001688	Sp1g01800.1	scaffold_100219.1
OG0001688	Sp6g02260.1	fgenesh1_pm.C_scaffold_6002783
OG0001689	Sp6g00180.1	scaffold_604296.1
OG0001689	Sp5g02500.1	fgenesh2_kg.5__2540__AT3G60750.1
OG0001690	Sp6g05520.1	fgenesh2_kg.6__3152__AT4G11990.1
OG0001690	Sp7g20940.1	fgenesh2_kg.7__2016__AT4G22860.1
OG0001691	Sp1g38570.1	fgenesh2_kg.1__4266__AT1G51913.1
OG0001692	Sp7g18890.1	fgenesh1_pg.C_scaffold_7001893
OG0001692	Sp1g02280.1	scaffold_100275.1
OG0001693	Sp5g29310.1	fgenesh2_kg.2__1680__AT1G74080.1
OG0001693	Sp1g16520.1	fgenesh2_kg.1__2031__AT1G18570.1
OG0001694	Sp5g05430.1	scaffold_502876.1
OG0001694	Sp6g38720.1	fgenesh2_kg.6__318__AT5G04040.1
OG0001695	Sp5g11320.1	Al_scaffold_0005_1956
OG0001696	Sp7g15610.1	scaffold_702582.1, scaffold_702583.1
OG0001696	Sp2g10940.1, Sp2g10950.1	scaffold_800229.1
OG0001697	Sp1g15590.1	fgenesh2_kg.1__1906__AT1G17455.1
OG0001697	Sp5g27690.1	fgenesh1_pg.C_scaffold_2001580
OG0001698	Sp4g24410.1	fgenesh2_kg.4__2372__AT2G42230.1
OG0001698	Sp5g04830.1	fgenesh2_kg.5__2233__AT3G57890.1
OG0001699	Sp3g10630.1	fgenesh1_pm.C_scaffold_3001035
OG0001700	Sp7g20350.1	scaffold_702136.1
OG0001701	Sp5g01540.1	fgenesh1_pg.C_scaffold_5002633
OG0001701	Sp4g28570.1	scaffold_403621.1
OG0001702	Sp7g11110.1	fgenesh2_kg.7__2990__AT4G13520.1
OG0001702	Sp3g22050.1	scaffold_302974.1
OG0001703	Sp2g28510.1	fgenesh2_kg.8__2590__AT5G65430.1
OG0001703	Sp6g33000.1	scaffold_601057.1
OG0001704	Sp2g07610.1	fgenesh1_pm.C_scaffold_8000455
OG0001704	Sp1g34150.1	fgenesh2_kg.1__3810__AT1G45545.1
OG0001705	Sp6g14680.1	fgenesh2_kg.8__1133__AT5G52470.1
OG0001705	Sp7g23660.1	fgenesh2_kg.7__1697__AT4G25630.1
OG0001706	Sp5g12310.1	scaffold_501996.1
OG0001706	Sp2g28960.1	Al_scaffold_0334_2, fgenesh1_pm.C_scaffold_8002145
OG0001707	Sp5g10880.1	Al_scaffold_0005_2002
OG0001708	Sp1g16020.1	scaffold_102001.1
OG0001708	Sp5g28620.1	Al_scaffold_0002_2037
OG0001709	Sp1g24670.1	fgenesh1_pm.C_scaffold_1002323
OG0001709	Sp4g16250.1	scaffold_401974.1
OG0001710	Sp3g14220.1	fgenesh2_kg.3__1746__AT3G15890.1
OG0001710	Sp1g39090.1	fgenesh1_pg.C_scaffold_1003971
OG0001711	Sp4g23870.1	scaffold_402985.1
OG0001711	Sp3g08600.1	fgenesh2_kg.3__1064__AT3G10330.1
OG0001712	Sp1g09220.1	fgenesh2_kg.1__1127__AT1G10570.1
OG0001712	SpUn0106_0010.1, Sp2g04460.1	fgenesh2_kg.2__428__AT1G60220.1
OG0001713	Sp2g16630.1	fgenesh2_kg.2__899__AT3G27430.2, Al_scaffold_0002_1271, Al_scaffold_0398_1, scaffold_500692.1
OG0001713	Sp7g01280.1	fgenesh2_kg.7__3358__AT5G40580.2
OG0001714	Sp3g01920.1	scaffold_300236.1
OG0001714	Sp6g27580.1	fgenesh1_pg.C_scaffold_7003354
OG0001715	Sp1g23680.1	fgenesh2_kg.1__2902__AT1G27440.1
OG0001715	Sp2g25040.1	fgenesh2_kg.8__2168__AT5G61840.1
OG0001716	Sp4g03440.1	fgenesh2_kg.4__356__AT2G24420.1
OG0001716	Sp7g29200.1	fgenesh2_kg.7__1041__AT4G31340.2
OG0001717	Sp2g19610.1	Al_scaffold_0008_1246
OG0001717	Sp3g05730.1	fgenesh2_kg.3__692__AT3G06760.1
OG0001718	Sp5g31850.1	fgenesh2_kg.2__1960__AT1G76700.1
OG0001718	Sp1g18750.1	fgenesh2_kg.1__2300__AT1G21080.1
OG0001719	Sp1g14640.1	fgenesh1_pg.C_scaffold_1001492
OG0001719	Sp5g34230.1	fgenesh2_kg.2__2216__AT1G79180.1
OG0001720	Sp4g16370.1	fgenesh2_kg.4__1409__AT2G34020.1
OG0001721	Sp7g00360.1	fgenesh2_kg.7__3245__AT5G41730.1
OG0001721	Sp2g00460.1	fgenesh2_kg.2__52__AT1G64300.2
OG0001722	Sp1g38210.1	scaffold_104923.1
OG0001722	Sp3g19100.1	fgenesh2_kg.3__2332__AT3G21140.1
OG0001723	Sp7g17680.1	fgenesh2_kg.7__2397__AT4G18970.1
OG0001723	Sp2g10560.1	fgenesh2_kg.8__233__AT5G45670.1
OG0001724	Sp5g27370.1	fgenesh2_kg.2__1488__AT1G72300.1
OG0001725	Sp7g24340.1	fgenesh2_kg.7__1603__AT4G26430.1
OG0001725	Sp6g18130.1	fgenesh2_kg.8__1534__AT5G56280.1
OG0001726	Sp1g39800.1	fgenesh2_kg.1__4401__AT1G53230.1
OG0001726	Sp3g13230.1	scaffold_301743.1
OG0001727	Sp2g01500.1	scaffold_200234.1
OG0001727	Sp1g11290.1	fgenesh2_kg.1__1376__AT1G12710.1
OG0001728	Sp1g20010.1	fgenesh2_kg.1__2444__AT1G22500.1
OG0001728	Sp5g27290.1	fgenesh2_kg.2__1483__AT1G72200.1
OG0001729	Sp1g33370.1	fgenesh2_kg.1__3752__AT1G44100.1
OG0001729	Sp5g32530.1	fgenesh2_kg.2__2032__AT1G77380.1
OG0001730	Sp4g24130.1	fgenesh2_kg.4__2329__AT2G41860.2
OG0001730	Sp5g05060.1	scaffold_502926.1
OG0001731	Sp1g34880.1, SpUn1086_0010.1, Sp1g34780.1, Sp1g34730.1	fgenesh2_kg.7__3246__AT5G41720.1
OG0001732	Sp3g02100.1	fgenesh1_pg.C_scaffold_3000217
OG0001732	Sp6g27180.1	Al_scaffold_0006_1601
OG0001733	Sp3g09590.1	fgenesh1_pm.C_scaffold_3000938
OG0001733	Sp6g37050.1	fgenesh2_kg.6__519__AT5G05850.1
OG0001734	Sp2g22250.1	fgenesh2_kg.6__2513__AT5G25280.2
OG0001734	Sp6g32410.1	fgenesh2_kg.6__1075__AT5G11090.1
OG0001735	Sp4g16140.1	scaffold_401954.1
OG0001735	Sp1g24470.1	fgenesh2_kg.1__2990__AT1G28270.1
OG0001736	Sp1g19820.1	fgenesh1_pm.C_scaffold_1001899
OG0001736	Sp5g33390.1	fgenesh2_kg.2__2123__AT1G78260.1
OG0001737	Sp5g11310.1	fgenesh2_kg.5__1437__AT3G50920.1
OG0001737	Sp2g30280.1	Al_scaffold_0008_3283
OG0001738	Sp1g35390.1	fgenesh2_kg.1__3937__AT1G48440.1
OG0001738	Sp3g15900.1	fgenesh2_kg.3__1962__AT3G17780.1
OG0001739	Sp1g06200.1	fgenesh2_kg.1__728__AT1G07470.1, fgenesh2_kg.1__725__AT1G07480.2
OG0001740	Sp7g33280.1	fgenesh2_kg.7__530__AT4G35500.1
OG0001741	Sp6g35220.1	fgenesh2_kg.6__736__AT5G07680.1
OG0001741	Sp2g24630.1	fgenesh2_kg.8__2118__AT5G61430.1
OG0001742	Sp3g01600.1	fgenesh2_kg.3__193__AT3G02560.1
OG0001742	Sp6g28010.1	fgenesh2_kg.6__1596__AT5G16130.1
OG0001743	Sp1g41530.1	fgenesh2_kg.1__4616__AT1G55920.1
OG0001743	Sp3g11280.1	scaffold_301498.1
OG0001744	Sp1g18940.1	fgenesh2_kg.1__2329__AT1G21390.1
OG0001744	Sp5g32140.1	fgenesh2_kg.2__1987__AT1G76980.1, fgenesh2_kg.402__1__AT1G76980.1
OG0001745	Sp1g37450.1	Al_scaffold_0001_4428
OG0001745	Sp3g18330.1	fgenesh2_kg.3__2254__AT3G20300.1
OG0001746	Sp4g14710.1	Al_scaffold_0125_4, fgenesh1_pg.C_scaffold_4001334
OG0001746	SpUn0024_0010.1, Sp1g04125.1	scaffold_100503.1
OG0001747	Sp3g14090.1	Al_scaffold_0003_1648
OG0001747	Sp1g39120.1	fgenesh1_pg.C_scaffold_1003975
OG0001748	Sp1g11120.1	fgenesh2_kg.1__1357__AT1G12540.1
OG0001748	Sp2g01630.1	fgenesh2_kg.2__186__AT1G62975.1
OG0001749	Sp3g02200.1	fgenesh2_kg.3__264__AT3G03160.1
OG0001749	Sp6g27040.1	fgenesh2_kg.6__1715__AT5G17190.1
OG0001750	Sp1g10940.1	fgenesh2_kg.1__1335__AT1G12320.1
OG0001751	Sp6g40610.1	scaffold_600087.1
OG0001752	Sp4g03320.1	fgenesh1_pm.C_scaffold_4000299
OG0001752	Sp7g28910.1	fgenesh1_pm.C_scaffold_7000842
OG0001753	Sp6g24990.1	fgenesh2_kg.6__1965__AT5G19420.1
OG0001753	Sp6g31290.1	scaffold_601268.1
OG0001754	Sp1g19960.1	fgenesh2_kg.1__2442__AT1G22480.1
OG0001754	Sp5g27320.1	fgenesh2_kg.2__1484__AT1G72230.1
OG0001755	Sp7g21300.1	fgenesh2_kg.7__1970__AT4G23390.1, fgenesh2_kg.3__3153__AT2G20170.1, fgenesh1_pm.C_scaffold_3002565
OG0001756	Sp2g19020.1	fgenesh2_kg.8__742__AT5G48640.1
OG0001756	Sp2g19010.1	fgenesh1_pg.C_scaffold_8000858, scaffold_801172.1
OG0001757	Sp5g14240.1	fgenesh2_kg.5__1125__AT3G47690.1
OG0001757	Sp2g25680.1	fgenesh2_kg.8__2244__AT5G62500.1
OG0001758	Sp2g24980.1	scaffold_802828.1
OG0001758	Sp6g35530.1	scaffold_600738.1
OG0001759	Sp2g24800.1	fgenesh2_kg.8__2142__AT5G61590.1
OG0001759	Sp6g35290.1	scaffold_600764.1
OG0001760	Sp3g20390.1	scaffold_302707.1
OG0001760	Sp7g12930.1	fgenesh2_kg.7__2849__AT4G14800.1
OG0001761	Sp7g09310.1, SpUn2041_0010.1, Sp7g09210.1	fgenesh2_kg.9__90__AT4G12770.1, fgenesh1_pm.C_scaffold_9000084
OG0001762	Sp2g17570.1	Al_scaffold_0005_802, scaffold_500883.1
OG0001763	Sp4g02540.1	fgenesh2_kg.4__286__AT2G23600.1
OG0001763	Sp4g02550.1, Sp4g02560.1	fgenesh2_kg.4__289__AT2G23620.1
OG0001764	Sp5g09020.1	scaffold_502422.1
OG0001765	Sp1g03050.1	scaffold_100381.1
OG0001765	Sp2g08490.1	fgenesh2_kg.8__455__AT5G43700.1
OG0001766	Sp2g14590.1, Sp2g17690.1	fgenesh2_kg.5__277__AT2G03760.1
OG0001767	Sp4g18730.1, Sp5g15510.1, Sp5g15490.1, Sp5g15470.1, Sp6g34140.1	fgenesh2_kg.6__849__AT5G08730.1
OG0001768	Sp4g01670.1	fgenesh1_pm.C_scaffold_4000157
OG0001768	Sp7g35590.1	fgenesh2_kg.7__253__AT4G37940.1
OG0001769	Sp3g12620.1	scaffold_302257.1
OG0001769	Sp3g27200.1, Sp1g39290.1, Sp3g12630.1	fgenesh2_kg.3__1549__AT3G14320.1
OG0001773	Sp6g14110.1	scaffold_801621.1
OG0001773	Sp6g14130.1, Sp6g14120.1	Al_scaffold_0008_1558, scaffold_60400001.1
OG0001774	Sp4g21620.1, SpUn0018_0050.1	scaffold_402673.1, fgenesh2_kg.4__2009__AT2G39300.1
OG0001774	Sp5g07360.1	fgenesh2_kg.5__1917__AT3G55060.1
OG0001775	Sp6g13640.1	scaffold_801582.1
OG0001775	Sp7g23260.1	fgenesh2_kg.7__1740__AT4G25240.1
OG0001776	Sp6g29420.1	scaffold_601485.1
OG0001776	Sp3g00510.1	fgenesh2_kg.3__63__AT3G01540.2
OG0001778	Sp4g17660.1	scaffold_402150.1, fgenesh1_pg.C_scaffold_4001618
OG0001778	Sp7g37520.1	fgenesh1_pm.C_scaffold_7000011
OG0001779	Sp3g08140.1	scaffold_301115.1
OG0001779	Sp6g39450.1	fgenesh2_kg.6__235__AT5G03290.1
OG0001780	Sp6g39120.1	fgenesh2_kg.6__276__AT5G03630.1
OG0001781	Sp7g30650.1	fgenesh2_kg.7__841__AT4G32880.1
OG0001781	Sp1g38700.1	fgenesh1_pm.C_scaffold_1003335
OG0001782	Sp3g11590.1	fgenesh2_kg.3__1422__AT3G13400.1
OG0001783	Sp7g23700.1, Sp7g23720.1	scaffold_701749.1, fgenesh2_kg.7__1691__AT4G25680.1
OG0001784	Sp7g19005.1	Al_scaffold_0007_2086
OG0001784	Sp7g19000.1	fgenesh2_kg.7__2228__AT4G20910.1
OG0001785	Sp5g32360.1	fgenesh2_kg.2__2012__AT1G77180.1
OG0001786	Sp6g40720.1	scaffold_600071.1
OG0001786	Sp5g15190.1, Sp4g20520.1	scaffold_402521.1
OG0001788	Sp6g25160.1	fgenesh2_kg.6__1942__AT5G19250.1, scaffold_602015.1
OG0001788	Sp3g04980.1	fgenesh2_kg.3__603__AT3G06035.1
OG0001789	Sp6g38390.1	scaffold_600374.1
OG0001789	Sp1g23960.1	fgenesh2_kg.1__2932__AT1G27730.1
OG0001790	Sp3g01810.1	fgenesh2_kg.3__221__AT3G02780.1
OG0001791	Sp2g25070.1	scaffold_802837.1
OG0001791	Sp5g03820.1	scaffold_503133.1
OG0001792	Sp6g37280.1	fgenesh2_kg.6__487__AT5G05580.1
OG0001792	Sp3g09460.1	fgenesh2_kg.3__1157__AT3G11170.1
OG0001793	Sp5g27220.1	fgenesh1_pg.C_scaffold_2001533
OG0001793	Sp5g27205.1, Sp5g27210.1	fgenesh1_pg.C_scaffold_2001532, fgenesh1_pm.C_scaffold_2001215
OG0001794	Sp7g33150.1	fgenesh2_kg.7__544__AT4G35360.1
OG0001794	Sp3g30660.1	fgenesh2_kg.3__3319__AT2G17340.1, scaffold_304044.1
OG0001795	Sp1g16540.1, Sp1g16550.1	fgenesh1_pm.C_scaffold_1001587
OG0001796	Sp3g31410.1	fgenesh2_kg.6__2970__AT2G17980.1, fgenesh2_kg.3__3399__AT2G17980.1
OG0001797	Sp4g02280.1	fgenesh2_kg.4__260__AT2G23290.1
OG0001798	Sp4g01560.1	Al_scaffold_0008_1304
OG0001798	Sp1g33855.1, Sp1g33860.1, Sp2g05360.1	fgenesh2_kg.2__569__AT1G58250.1
OG0001800	Sp1g10690.1	fgenesh2_kg.1__1305__AT1G12020.1
OG0001800	Sp2g02190.1	fgenesh2_kg.2__232__AT1G62422.1
OG0001801	Sp5g18750.1	scaffold_501115.1
OG0001801	Sp6g23730.1	fgenesh2_kg.6__2118__AT5G20790.1
OG0001802	Sp3g18000.1	fgenesh2_kg.1__4118__AT1G50370.1
OG0001803	Sp1g15030.1	scaffold_101876.1
OG0001804	Sp3g03680.1	fgenesh2_kg.3__458__AT3G04860.1
OG0001804	Sp2g20240.1	fgenesh2_kg.6__2777__AT5G28150.1
OG0001805	Sp6g32710.1	fgenesh2_kg.6__1042__AT5G10740.1
OG0001805	Sp7g29540.1	fgenesh2_kg.7__999__AT4G31750.1
OG0001806	Sp1g08570.1	fgenesh1_pg.C_scaffold_1000840
OG0001806	Sp2g27500.1	fgenesh2_kg.8__2465__AT5G64410.1
OG0001807	Sp4g12220.1	scaffold_200638.1, fgenesh2_kg.4__926__AT2G29500.1
OG0001808	Sp5g25180.1	fgenesh2_kg.2__1260__AT1G70060.1
OG0001809	Sp5g25990.1	fgenesh1_pm.C_scaffold_2001103, fgenesh1_pm.C_scaffold_2001102
OG0001809	Sp1g20600.1	fgenesh2_kg.1__2523__AT1G23140.1
OG0001810	Sp2g02180.1	fgenesh2_kg.2__231__AT1G62420.1
