Orthogroup	Thellungiella_parvula	Boechera_stricta
OG0001313	Sp5g25430.1	Bostr.10273s0326.1.p
OG0001313	Sp6g29200.1	Bostr.2902s0221.1.p
OG0001314	Sp6g12060.1	Bostr.0556s0470.1.p, Bostr.3359s0057.1.p
OG0001315	Sp7g17950.1	Bostr.30275s0408.1.p
OG0001315	Sp2g10290.1	Bostr.8819s0055.1.p
OG0001316	Sp6g23130.1	Bostr.26527s0069.1.p
OG0001316	Sp5g17220.1	Bostr.0556s0712.1.p
OG0001317	Sp3g08740.1, Sp3g08750.1	Bostr.22252s0012.1.p, Bostr.22252s0011.1.p
OG0001321	Sp4g05630.1	Bostr.26326s0067.1.p
OG0001321	Sp7g30570.1	Bostr.7867s1130.1.p
OG0001322	Sp7g33620.1	Bostr.7867s1448.1.p
OG0001322	Sp3g31140.1	Bostr.18351s0237.1.p
OG0001323	Sp2g02920.1	Bostr.10040s0019.1.p
OG0001323	Sp1g10020.1	Bostr.13671s0328.1.p
OG0001324	Sp3g19120.1	Bostr.19424s0539.1.p
OG0001324	Sp1g38230.1	Bostr.26675s0047.1.p
OG0001325	Sp1g23550.1	Bostr.15697s0058.1.p
OG0001325	Sp1g24160.1	Bostr.15697s0119.1.p
OG0001326	Sp2g14220.1, Sp2g14230.1	Bostr.0556s0146.1.p
OG0001326	Sp1g12370.1	Bostr.13671s0054.1.p
OG0001328	Sp1g38020.1	Bostr.26675s0061.1.p
OG0001328	Sp3g18930.1	Bostr.19424s0557.1.p
OG0001330	Sp1g06630.1	Bostr.25219s0147.1.p
OG0001330	Sp4g11150.1	Bostr.27991s0088.1.p
OG0001331	Sp7g00470.1	Bostr.7200s0184.1.p
OG0001331	Sp2g00690.1	Bostr.29223s0134.1.p
OG0001332	Sp5g13860.1	Bostr.18473s0135.1.p
OG0001333	Sp6g06220.1	Bostr.25463s0200.1.p
OG0001333	Sp7g21560.1	Bostr.7867s0161.1.p
OG0001334	Sp5g07390.1	Bostr.0697s0120.1.p, Bostr.9686s0001.1.p
OG0001334	Sp4g21610.1, SpUn0018_0060.1	Bostr.23794s0145.1.p
OG0001336	Sp5g07470.1	Bostr.0697s0111.1.p
OG0001336	Sp4g21550.1, SpUn0018_0120.1	Bostr.23794s0151.1.p
OG0001337	Sp6g01520.1	Bostr.4825s0014.1.p
OG0001337	Sp1g01380.1	Bostr.5325s0002.1.p
OG0001338	Sp6g29110.1	Bostr.2902s0228.1.p
OG0001338	Sp3g00720.1	Bostr.1460s0074.1.p
OG0001339	Sp1g28150.1	Bostr.3359s0077.1.p
OG0001339	Sp6g06860.1	Bostr.25463s0264.1.p
OG0001340	Sp2g11870.1	Bostr.28243s0016.1.p
OG0001340	Sp7g16470.1	Bostr.30275s0229.1.p
OG0001341	Sp3g01630.1	Bostr.1460s0177.1.p
OG0001341	Sp3g01620.1	Bostr.1460s0176.1.p
OG0001342	Sp1g06480.1	Bostr.25219s0186.1.p
OG0001342	Sp4g11490.1	Bostr.27991s0057.1.p
OG0001343	Sp1g05370.1	Bostr.27840s0001.1.p, Bostr.25219s0294.1.p
OG0001344	Sp1g33830.1	Bostr.12302s0104.1.p
OG0001344	Sp2g07780.1	Bostr.3148s0177.1.p
OG0001345	Sp4g19730.1	Bostr.23794s0344.1.p
OG0001346	SpUn0193_0010.1	Bostr.10273s0409.1.p
OG0001346	Sp1g22020.1	Bostr.12659s0321.1.p
OG0001347	Sp1g40040.1	Bostr.0124s0140.1.p
OG0001347	Sp3g12950.1	Bostr.28625s0235.1.p
OG0001348	Sp6g12810.1	Bostr.15774s0212.1.p
OG0001348	Sp2g26620.1	Bostr.0568s0455.1.p
OG0001349	Sp3g11920.1	Bostr.3640s0167.1.p
OG0001349	Sp1g40870.1	Bostr.7128s0040.1.p
OG0001350	Sp2g03630.1	Bostr.10040s0110.1.p
OG0001350	Sp1g09680.1	Bostr.13671s0373.1.p
OG0001351	Sp1g12740.1	Bostr.13671s0014.1.p
OG0001351	Sp2g13900.1	Bostr.0556s0097.1.p
OG0001352	Sp5g35440.1	Bostr.20129s0478.1.p
OG0001352	Sp1g13940.1	Bostr.7128s0171.1.p
OG0001353	Sp4g14780.1	Bostr.23794s0872.1.p
OG0001353	SpUn0024_0110.1, Sp1g04030.1	Bostr.25219s0452.1.p
OG0001354	Sp7g33260.1	Bostr.7867s1406.1.p
OG0001354	Sp3g30810.1	Bostr.18351s0207.1.p
OG0001355	Sp1g11670.1	Bostr.13671s0137.1.p
OG0001355	Sp2g15340.1	Bostr.0556s0291.1.p
OG0001356	Sp5g25900.1	Bostr.10273s0282.1.p
OG0001356	Sp1g20670.1	Bostr.12659s0182.1.p
OG0001357	Sp6g26750.1	Bostr.26527s0466.1.p
OG0001357	Sp3g02400.1	Bostr.19046s0054.1.p
OG0001358	Sp7g23840.1	Bostr.7867s0400.1.p
OG0001359	Sp1g22010.1	Bostr.12659s0320.1.p
OG0001359	Sp5g24690.1	Bostr.10273s0408.1.p
OG0001360	Sp6g40450.1	Bostr.6251s0075.1.p
OG0001360	Sp3g07620.1	Bostr.22252s0144.1.p
OG0001361	Sp7g29500.1	Bostr.7867s1019.1.p
OG0001362	Sp7g30700.1	Bostr.7867s1144.1.p
OG0001362	Sp6g31910.1	Bostr.20055s0067.1.p
OG0001363	Sp7g36300.1	Bostr.15774s0283.1.p
OG0001364	Sp7g02530.1	Bostr.10058s0051.1.p, Bostr.10058s0050.1.p
OG0001365	Sp7g21640.1	Bostr.7867s0169.1.p
OG0001365	Sp3g00680.1	Bostr.1460s0070.1.p
OG0001366	Sp2g01610.1	Bostr.22157s0025.1.p
OG0001366	Sp1g11150.1	Bostr.13671s0203.1.p
OG0001367	Sp1g04700.1	Bostr.25219s0377.1.p
OG0001367	Sp4g14030.1	Bostr.24513s0067.1.p
OG0001368	Sp1g39860.1	Bostr.0124s0121.1.p
OG0001369	Sp4g27870.1	Bostr.25993s0190.1.p
OG0001369	Sp5g02140.1	Bostr.13158s0115.1.p
OG0001370	Sp5g03960.1	Bostr.20903s0134.1.p
OG0001370	Sp4g14060.1	Bostr.24513s0061.1.p
OG0001371	Sp5g22900.1	Bostr.26959s0115.1.p
OG0001371	Sp1g11550.1	Bostr.13671s0152.1.p
OG0001372	Sp7g24570.1	Bostr.7867s0483.1.p
OG0001372	Sp6g17760.1	Bostr.26833s0670.1.p
OG0001373	Sp4g00720.1	Bostr.5022s0075.1.p
OG0001374	Sp7g12950.1	Bostr.0597s0101.1.p
OG0001374	Sp3g20370.1	Bostr.19424s0395.1.p
OG0001375	Sp7g24140.1	Bostr.7867s0431.1.p
OG0001375	Sp2g00470.1	Bostr.29223s0093.1.p, Bostr.29223s0098.1.p, Bostr.29223s0068.1.p, Bostr.29223s0082.1.p
OG0001376	Sp2g26530.1	Bostr.0568s0466.1.p
OG0001376	Sp5g13460.1	Bostr.18473s0097.1.p
OG0001377	Sp4g22600.1	Bostr.8398s0001.1.p
OG0001377	Sp5g06490.1	Bostr.20505s0149.1.p
OG0001378	Sp2g04280.1	Bostr.10040s0171.1.p
OG0001378	Sp3g22910.1	Bostr.19424s0104.1.p
OG0001379	Sp5g32050.1, Sp5g32055.1	Bostr.20129s0130.1.p
OG0001379	Sp1g18860.1	Bostr.25570s0004.1.p
OG0001380	Sp5g02330.1	Bostr.13158s0091.1.p
OG0001380	Sp4g27560.1	Bostr.25993s0222.1.p
OG0001381	Sp6g06190.1	Bostr.25463s0197.1.p
OG0001381	Sp7g21490.1	Bostr.7867s1480.1.p, Bostr.7867s0154.1.p
OG0001382	Sp4g18600.1, Sp7g04640.1, SpUn0053_0030.1, Sp7g05390.1	Bostr.23794s0459.1.p
OG0001383	Sp6g33780.1	Bostr.13129s0035.1.p
OG0001383	Sp7g35550.1	Bostr.25542s0230.1.p
OG0001384	Sp5g23530.1	Bostr.26959s0047.1.p
OG0001384	Sp3g17230.1	Bostr.19424s0747.1.p
OG0001385	Sp4g17110.1	Bostr.23794s0620.1.p
OG0001385	Sp1g26550.1	Bostr.15697s0365.1.p
OG0001386	Sp7g16230.1	Bostr.30275s0256.1.p
OG0001386	Sp2g11560.1, SpUn0036_0050.1	Bostr.28243s0061.1.p
OG0001387	Sp3g33060.1	Bostr.18351s0430.1.p
OG0001387	Sp7g27290.1	Bostr.7867s0792.1.p
OG0001389	Sp3g17200.1	Bostr.19424s0752.1.p
OG0001389	Sp1g36480.1	Bostr.26675s0212.1.p
OG0001390	Sp6g41140.1	Bostr.24513s0213.1.p
OG0001390	Sp5g09490.1	Bostr.11793s0104.1.p
OG0001391	Sp1g35430.1	Bostr.25219s0550.1.p
OG0001391	Sp3g15960.1	Bostr.19424s0886.1.p
OG0001392	Sp4g16600.1	Bostr.23794s0676.1.p
OG0001392	Sp1g25540.1	Bostr.15697s0257.1.p
OG0001393	Sp5g31240.1	Bostr.20129s0047.1.p
OG0001393	Sp1g18110.1	Bostr.21077s0001.1.p
OG0001394	Sp2g14700.1	Bostr.0556s0203.1.p, Bostr.0556s0206.1.p
OG0001395	Sp2g08520.1, Sp4g27160.1	Bostr.25993s0263.1.p
OG0001395	Sp5g02660.1	Bostr.13158s0057.1.p
OG0001396	Sp6g33680.1	Bostr.13129s0022.1.p, Bostr.13129s0021.1.p
OG0001396	Sp2g27630.1	Bostr.0568s0342.1.p
OG0001397	Sp5g02290.1	Bostr.13158s0095.1.p
OG0001397	Sp4g27790.1	Bostr.25993s0198.1.p
OG0001398	Sp3g02320.1	Bostr.19046s0040.1.p
OG0001399	Sp7g24870.1	Bostr.7867s0514.1.p
OG0001399	Sp6g17010.1	Bostr.26833s0757.1.p
OG0001400	Sp6g37800.1	Bostr.13129s0461.1.p
OG0001401	Sp1g09810.1	Bostr.13671s0359.1.p
OG0001401	Sp2g03290.1	Bostr.10040s0080.1.p
OG0001407	Sp3g33390.1	Bostr.7903s0159.1.p
OG0001407	Sp7g27030.1	Bostr.7867s0753.1.p
OG0001408	Sp1g39270.1	Bostr.0124s0059.1.p
OG0001408	Sp3g13950.1	Bostr.28625s0126.1.p
OG0001409	Sp5g01270.1	Bostr.13158s0215.1.p
OG0001409	Sp4g28990.1	Bostr.25993s0067.1.p
OG0001411	Sp7g16730.1	Bostr.30275s0201.1.p
OG0001411	Sp2g12090.1	Bostr.14419s0034.1.p
OG0001412	Sp5g02110.1	Bostr.13158s0118.1.p
OG0001412	Sp4g27890.1	Bostr.25993s0188.1.p
OG0001413	Sp4g16260.1	Bostr.23794s0707.1.p
OG0001413	Sp1g24680.1, Sp2g03920.1	Bostr.15697s0163.1.p
OG0001414	Sp6g38340.1	Bostr.2128s0009.1.p
OG0001414	Sp3g08730.1	Bostr.22252s0013.1.p
OG0001415	Sp1g04680.1	Bostr.25219s0378.1.p
OG0001415	Sp4g14000.1	Bostr.24513s0064.1.p
OG0001416	Sp3g31510.1	Bostr.18351s0275.1.p
OG0001416	Sp7g33940.1	Bostr.7867s1485.1.p
OG0001417	Sp3g16150.1	Bostr.19424s0867.1.p
OG0001417	Sp1g35590.1	Bostr.25219s0537.1.p
OG0001418	Sp2g04670.1	Bostr.10040s0233.1.p
OG0001418	Sp1g09100.1	Bostr.13671s0438.1.p
OG0001419	Sp5g32170.1	Bostr.20129s0138.1.p
OG0001419	Sp1g18960.1	Bostr.25570s0021.1.p
OG0001420	Sp5g20890.1	Bostr.26959s0309.1.p, Bostr.26959s0329.1.p
OG0001420	Sp5g20920.1	Bostr.26959s0328.1.p
OG0001421	Sp3g28270.1, Sp2g27640.1	Bostr.0568s0341.1.p
OG0001421	Sp6g33670.1	Bostr.13129s0020.1.p
OG0001422	Sp4g29500.1	Bostr.4241s0001.1.p
OG0001422	Sp5g00830.1	Bostr.13158s0269.1.p
OG0001423	Sp5g05630.1, Sp3g03020.1	Bostr.2570s0303.1.p
OG0001424	Sp2g18710.1	Bostr.13083s0054.1.p
OG0001424	Sp3g06450.1	Bostr.22252s0277.1.p
OG0001426	Sp1g03000.1, SpUn1380_0010.1	Bostr.26675s0337.1.p
OG0001426	Sp2g08700.1	Bostr.3148s0075.1.p
OG0001427	Sp5g25710.1	Bostr.10273s0300.1.p
OG0001427	Sp1g20760.1	Bostr.12659s0194.1.p
OG0001428	Sp5g25960.1	Bostr.10273s0275.1.p
OG0001428	Sp1g20610.1	Bostr.12659s0175.1.p
OG0001429	Sp3g27940.1	Bostr.2199s0029.1.p
OG0001429	Sp7g31600.1	Bostr.7867s1234.1.p
OG0001430	Sp1g24220.1	Bostr.15697s0121.1.p
OG0001430	Sp4g28500.1	Bostr.25993s0119.1.p, Bostr.25993s0118.1.p
OG0001431	Sp5g03700.1	Bostr.20903s0170.1.p
OG0001431	Sp4g25400.1	Bostr.25993s0450.1.p
OG0001432	Sp6g39220.1	Bostr.2128s0101.1.p
OG0001432	Sp3g08260.1	Bostr.22252s0075.1.p
OG0001433	Sp1g00780.1	Bostr.5325s0072.1.p, Bostr.15697s0375.1.p
OG0001433	Sp6g00810.1	Bostr.10064s0019.1.p
OG0001434	Sp1g04980.1	Bostr.25219s0340.1.p
OG0001434	Sp4g13710.1	Bostr.24513s0102.1.p
OG0001435	Sp7g16150.1	Bostr.30275s0265.1.p
OG0001435	Sp2g11450.1	Bostr.28243s0071.1.p
OG0001436	Sp3g16060.1, Sp2g22060.1	Bostr.7867s0846.1.p, Bostr.29827s0261.1.p, Bostr.29827s0262.1.p
OG0001437	Sp1g39930.1	Bostr.0124s0129.1.p
OG0001437	Sp3g13080.1	Bostr.28625s0220.1.p
OG0001438	Sp1g14860.1	Bostr.7128s0275.1.p
OG0001438	Sp5g34050.1	Bostr.20129s0337.1.p
OG0001441	Sp6g29830.1, SpUn0049_0030.1	Bostr.2902s0156.1.p
OG0001441	Sp5g35220.1	Bostr.26959s0005.1.p
OG0001443	Sp5g29780.1	Bostr.3288s0111.1.p
OG0001443	Sp1g16810.1	Bostr.7128s0489.1.p
OG0001444	Sp7g11280.1	Bostr.2021s0121.1.p
OG0001445	Sp3g06400.1	Bostr.22252s0283.1.p
OG0001445	Sp7g09590.1	Bostr.2021s0021.1.p
OG0001447	Sp2g01410.1	Bostr.22157s0003.1.p
OG0001447	Sp1g11320.1	Bostr.13671s0182.1.p
OG0001448	Sp6g26970.1	Bostr.2618s0061.1.p
OG0001448	Sp3g02240.1	Bostr.19046s0031.1.p
OG0001449	Sp4g27330.1	Bostr.25993s0245.1.p
OG0001449	Sp6g00170.1	Bostr.14547s0019.1.p
OG0001449	Sp1g00300.1	Bostr.5325s0120.1.p
OG0001450	Sp6g06800.1, Sp6g10420.1	Bostr.9638s0042.1.p, Bostr.9638s0044.1.p
OG0001450	Sp7g04410.1, Sp3g29000.1, Sp7g04420.1	Bostr.9638s0041.1.p
OG0001451	Sp1g38620.1	Bostr.26675s0002.1.p
OG0001451	Sp3g14830.1	Bostr.28625s0040.1.p
OG0001452	Sp2g16580.1	Bostr.0556s0420.1.p
OG0001452	Sp7g01230.1	Bostr.7200s0064.1.p
OG0001453	Sp5g03040.1	Bostr.13158s0002.1.p
OG0001453	Sp4g26660.1	Bostr.25993s0314.1.p
OG0001454	SpUn0366_0010.1, SpUn0005_0310.1, SpUn0040_0020.1	Bostr.9638s0048.1.p
OG0001454	Sp4g21350.1	Bostr.23794s0171.1.p, Bostr.23794s0172.1.p, Bostr.23794s0173.1.p
OG0001455	Sp4g22690.1	Bostr.23794s0025.1.p
OG0001455	Sp6g37430.1	Bostr.13129s0424.1.p
OG0001456	Sp7g11400.1	Bostr.2021s0127.1.p
OG0001456	Sp1g27770.1	Bostr.3359s0148.1.p
OG0001458	Sp4g17730.1	Bostr.23794s0551.1.p
OG0001458	Sp1g27910.1	Bostr.3359s0132.1.p
OG0001459	Sp6g37220.1	Bostr.13129s0404.1.p
OG0001459	Sp3g32260.1	Bostr.19424s0273.1.p, Bostr.18351s0344.1.p
OG0001460	Sp7g36390.1	Bostr.25542s0136.1.p
OG0001460	Sp7g36400.1	Bostr.25542s0135.1.p
OG0001461	Sp5g31650.1	Bostr.20129s0088.1.p
OG0001462	Sp3g21630.1, Sp3g21960.1, Sp3g21640.1	Bostr.19424s0241.1.p, Bostr.19424s0242.1.p
OG0001463	Sp7g20130.1	Bostr.9017s0012.1.p
OG0001463	Sp6g04200.1	Bostr.2983s0011.1.p
OG0001464	Sp1g14100.1	Bostr.7128s0200.1.p
OG0001464	Sp5g35160.1	Bostr.20129s0453.1.p
OG0001465	Sp6g33160.1	Bostr.13175s0072.1.p
OG0001465	Sp2g28040.1, Sp2g28050.1	Bostr.0568s0295.1.p
OG0001466	Sp2g21330.1	Bostr.29827s0164.1.p
OG0001466	Sp3g04810.1	Bostr.2570s0076.1.p
OG0001467	Sp4g24470.1	Bostr.25993s0549.1.p
OG0001467	Sp5g04890.1	Bostr.20903s0035.1.p
OG0001469	Sp1g21590.1	Bostr.12659s0277.1.p
OG0001470	Sp5g35350.1	Bostr.20129s0467.1.p
OG0001470	Sp1g13990.1	Bostr.7128s0184.1.p
OG0001472	Sp1g06130.1	Bostr.25219s0217.1.p
OG0001472	Sp4g20330.1	Bostr.23794s0272.1.p
OG0001473	Sp1g02890.1	Bostr.26675s0347.1.p
OG0001473	Sp2g08800.1	Bostr.3148s0063.1.p
OG0001474	Sp5g13980.1	Bostr.18473s0152.1.p
OG0001474	Sp1g21180.1	Bostr.12659s0225.1.p
OG0001475	Sp5g19200.1	Bostr.26833s0108.1.p, Bostr.21554s0013.1.p, Bostr.21554s0009.1.p
OG0001476	Sp4g16470.1	Bostr.23794s0690.1.p
OG0001476	Sp1g25130.1	Bostr.15697s0216.1.p
OG0001477	Sp4g28250.1	Bostr.25993s0148.1.p
OG0001477	Sp5g01830.1	Bostr.13158s0156.1.p
OG0001478	Sp3g33300.1	Bostr.7903s0169.1.p
OG0001478	Sp3g33280.1	Bostr.7903s0170.1.p
OG0001479	Sp3g00730.1	Bostr.1460s0075.1.p
OG0001480	Sp1g27560.1	Bostr.3359s0166.1.p
OG0001480	Sp7g17820.1	Bostr.30275s0394.1.p
OG0001481	Sp4g04570.1, Sp4g04480.1	Bostr.1040s0052.1.p, Bostr.15774s0314.1.p, Bostr.1040s0030.1.p, Bostr.1040s0029.1.p
OG0001482	Sp3g09150.1	Bostr.19424s1007.1.p
OG0001482	Sp6g37700.1	Bostr.13129s0451.1.p
OG0001483	Sp6g24830.1	Bostr.1040s0007.1.p, Bostr.26527s0245.1.p
OG0001483	Sp2g01810.1, Sp2g01800.1	Bostr.22157s0055.1.p
OG0001485	Sp3g01100.1	Bostr.1460s0116.1.p
OG0001485	Sp6g28630.1	Bostr.2902s0282.1.p
OG0001487	Sp3g00110.1	Bostr.1460s0012.1.p
OG0001487	Sp6g29930.1	Bostr.2902s0143.1.p
OG0001488	Sp7g14170.1	Bostr.30275s0003.1.p
OG0001488	Sp3g14900.1	Bostr.28625s0032.1.p
OG0001489	Sp1g13310.1	Bostr.7128s0101.1.p, Bostr.7128s0100.1.p, Bostr.7128s0102.1.p
OG0001490	Sp5g02950.1	Bostr.13158s0012.1.p
OG0001490	Sp4g26760.1	Bostr.25993s0304.1.p
OG0001491	Sp3g00880.1	Bostr.1460s0094.1.p
OG0001491	Sp6g28920.1	Bostr.2902s0249.1.p
OG0001492	Sp6g07030.1	Bostr.25463s0278.1.p
OG0001492	Sp1g28680.1	Bostr.3359s0048.1.p
OG0001493	Sp4g11950.1	Bostr.27991s0177.1.p
OG0001493	Sp6g21680.1	Bostr.26833s0233.1.p
OG0001494	Sp7g20260.1	Bostr.10089s0030.1.p
OG0001494	SpUn0658_0010.1	Bostr.12659s0097.1.p
OG0001495	Sp5g31480.1	Bostr.20129s0072.1.p
OG0001495	Sp1g18360.1	Bostr.7128s0657.1.p
OG0001496	SpUn0001_0620.1, SpUn0001_0530.1, Sp6g22020.1, Sp6g22010.1	Bostr.26833s0197.1.p
OG0001497	Sp7g35440.1	Bostr.25542s0240.1.p
OG0001497	Sp4g01820.1	Bostr.19427s0048.1.p
OG0001498	Sp4g17810.1	Bostr.23794s0543.1.p
OG0001498	Sp1g27600.1	Bostr.3359s0163.1.p
OG0001500	Sp5g30380.1	Bostr.3288s0170.1.p
OG0001500	Sp1g17340.1	Bostr.7128s0548.1.p
OG0001501	Sp2g04160.1	Bostr.10040s0157.1.p
OG0001501	Sp1g09330.1	Bostr.13671s0416.1.p
OG0001502	Sp6g28160.1	Bostr.2902s0331.1.p
OG0001502	Sp3g01490.1	Bostr.1460s0161.1.p
OG0001503	Sp3g33020.1	Bostr.18351s0424.1.p
OG0001503	Sp7g27370.1	Bostr.7867s0801.1.p
OG0001504	Sp5g13580.1	Bostr.18473s0105.1.p
OG0001504	Sp2g26390.1	Bostr.0568s0480.1.p
OG0001505	Sp3g04080.1	Bostr.2570s0162.1.p
OG0001505	Sp2g20650.1	Bostr.29827s0062.1.p
OG0001506	Sp4g18110.1	Bostr.23794s0510.1.p
OG0001506	Sp5g09930.1	Bostr.6864s0009.1.p
OG0001507	Sp3g13560.1	Bostr.28625s0199.1.p
OG0001507	Sp1g39590.1	Bostr.0124s0093.1.p
OG0001508	Sp5g25630.1	Bostr.10273s0307.1.p
OG0001508	Sp1g20820.1	Bostr.12659s0199.1.p
OG0001509	Sp6g28330.1	Bostr.2902s0313.1.p
OG0001509	Sp3g01350.1	Bostr.1460s0145.1.p
OG0001510	Sp3g00400.1	Bostr.1460s0046.1.p
OG0001510	Sp6g29600.1	Bostr.2902s0179.1.p
OG0001511	Sp1g06580.1	Bostr.25219s0157.1.p
OG0001511	Sp4g11330.1	Bostr.27991s0074.1.p
OG0001512	Sp7g25510.1	Bostr.7867s0580.1.p
OG0001512	Sp6g16130.1	Bostr.26833s0868.1.p
OG0001513	Sp7g12960.1	Bostr.0597s0102.1.p
OG0001513	Sp3g20300.1, Sp1g29460.1	Bostr.19424s0398.1.p
OG0001514	Sp5g03570.1	Bostr.20903s0181.1.p
OG0001514	Sp4g25590.1	Bostr.25993s0430.1.p
OG0001515	Sp2g04690.1	Bostr.10040s0235.1.p
OG0001515	Sp1g21530.1	Bostr.12659s0265.1.p
OG0001516	Sp3g32100.1	Bostr.18351s0328.1.p
OG0001516	Sp7g34460.1	Bostr.7867s1537.1.p
OG0001517	Sp4g23510.1	Bostr.9345s0010.1.p
OG0001517	Sp5g05620.1	Bostr.20505s0057.1.p
OG0001518	Sp3g30180.1	Bostr.18351s0146.1.p
OG0001518	Sp7g32880.1	Bostr.7867s1370.1.p
OG0001519	Sp2g10620.1	Bostr.8819s0099.1.p
OG0001519	Sp7g17500.1	Bostr.30275s0355.1.p
OG0001520	Sp5g27190.1, Sp5g27170.1	Bostr.10273s0142.1.p
OG0001521	Sp7g35390.1	Bostr.7867s1635.1.p
OG0001521	Sp4g01880.1, SpUn0042_0030.1	Bostr.19427s0054.1.p
OG0001522	Sp3g33400.1	Bostr.7903s0158.1.p
OG0001522	Sp7g26940.1	Bostr.7867s0740.1.p
OG0001523	Sp5g27460.1	Bostr.10273s0114.1.p
OG0001524	Sp1g37460.1	Bostr.26675s0113.1.p
OG0001524	Sp3g18340.1	Bostr.1040s0083.1.p
OG0001525	Sp5g24630.1	Bostr.10273s0414.1.p
OG0001525	Sp5g24640.1	Bostr.10273s0413.1.p
OG0001526	Sp5g14990.1	Bostr.18473s0286.1.p
OG0001527	Sp3g32880.1	Bostr.18351s0409.1.p
OG0001527	Sp7g27520.1	Bostr.7867s0823.1.p
OG0001528	Sp3g02640.1	Bostr.19046s0084.1.p
OG0001529	Sp2g18100.1	Bostr.0556s0616.1.p
OG0001529	Sp7g02910.1	Bostr.17775s0024.1.p
OG0001530	Sp7g11070.1	Bostr.2021s0106.1.p
OG0001530	Sp3g22080.1	Bostr.19424s0195.1.p
OG0001531	Sp2g04050.1	Bostr.10040s0147.1.p
OG0001531	Sp1g09520.1	Bostr.13671s0389.1.p
OG0001532	Sp6g37810.1, Sp7g10590.1	Bostr.13129s0462.1.p
OG0001532	Sp3g09060.1	Bostr.19424s0996.1.p
OG0001533	Sp3g12300.1	Bostr.28625s0300.1.p
OG0001533	Sp1g40570.1	Bostr.7128s0070.1.p
OG0001534	Sp7g24100.1, Sp6g00090.1	Bostr.7867s0426.1.p
OG0001534	Sp6g18770.1	Bostr.26833s0555.1.p, Bostr.7867s0545.1.p
OG0001535	Sp1g17300.1	Bostr.7128s0545.1.p
OG0001535	Sp5g30330.1	Bostr.3288s0166.1.p
OG0001536	Sp6g15180.1	Bostr.26833s0979.1.p
OG0001536	Sp7g25790.1	Bostr.7867s0611.1.p
OG0001537	Sp1g05490.1	Bostr.25219s0283.1.p
OG0001537	Sp4g13160.1	Bostr.24513s0173.1.p
OG0001539	Sp3g01240.1	Bostr.1460s0131.1.p
OG0001539	Sp6g28520.1	Bostr.2902s0293.1.p
OG0001540	Sp4g04360.1	Bostr.26326s0141.1.p
OG0001540	Sp7g29830.1	Bostr.7867s1057.1.p
OG0001541	Sp1g41170.1	Bostr.6758s0022.1.p
OG0001541	Sp3g11600.1	Bostr.3640s0124.1.p
OG0001542	Sp7g34340.1	Bostr.7867s1524.1.p
OG0001542	Sp7g16020.1, Sp3g31980.1	Bostr.18351s0319.1.p
OG0001543	Sp5g15520.1	Bostr.18473s0331.1.p
OG0001543	Sp6g21450.1	Bostr.26833s0259.1.p
OG0001544	Sp6g05380.1	Bostr.25463s0095.1.p
OG0001544	Sp1g10960.1	Bostr.13671s0224.1.p
OG0001545	Sp5g04320.1	Bostr.20903s0097.1.p
OG0001545	Sp5g04300.1	Bostr.20903s0099.1.p
OG0001546	Sp7g28850.1	Bostr.7867s0954.1.p
OG0001546	Sp4g03250.1	Bostr.27895s0056.1.p
OG0001547	Sp6g39740.1	Bostr.2128s0168.1.p
OG0001547	Sp3g07950.1	Bostr.22252s0109.1.p
OG0001548	Sp7g23650.1	Bostr.7867s0373.1.p
OG0001548	Sp6g14650.1	Bostr.7305s0027.1.p
OG0001549	Sp1g24280.1	Bostr.26326s0127.1.p
OG0001550	Sp5g24880.1	Bostr.10273s0388.1.p
OG0001550	Sp1g21860.1	Bostr.12659s0304.1.p
OG0001551	Sp3g00750.1	Bostr.1460s0081.1.p, Bostr.0556s0698.1.p, Bostr.1460s0080.1.p
OG0001552	Sp3g08800.1	Bostr.22252s0008.1.p
OG0001552	Sp6g38280.1	Bostr.2128s0002.1.p
OG0001553	Sp1g35210.1	Bostr.15654s0008.1.p
OG0001553	Sp3g15670.1	Bostr.19424s0915.1.p
OG0001554	Sp5g27800.1	Bostr.10273s0077.1.p
OG0001554	Sp1g15660.1	Bostr.7128s0363.1.p
OG0001555	Sp3g11580.1	Bostr.3640s0121.1.p
OG0001556	Sp1g41760.1	Bostr.6758s0069.1.p
OG0001556	Sp3g11000.1	Bostr.3640s0059.1.p
OG0001557	Sp6g13790.1	Bostr.26833s0618.1.p, Bostr.2021s0126.1.p
OG0001558	Sp2g07870.1	Bostr.3148s0167.1.p
OG0001559	SpUn0602_0010.1	Bostr.0124s0082.1.p
OG0001559	Sp3g13750.1	Bostr.28625s0149.1.p
OG0001560	SpUn0131_0010.1	Bostr.19427s0012.1.p
OG0001560	Sp7g35820.1	Bostr.25542s0198.1.p
OG0001560	Sp3g12740.1	Bostr.28625s0255.1.p
OG0001561	Sp5g14640.1	Bostr.10199s0039.1.p
OG0001564	Sp7g16400.1, Sp7g16410.1	Bostr.30275s0235.1.p
OG0001564	Sp7g16000.1	Bostr.30275s0234.1.p
OG0001565	Sp6g04890.1	Bostr.15774s0089.1.p, Bostr.25463s0042.1.p, Bostr.25463s0040.1.p, Bostr.25463s0041.1.p
OG0001567	Sp5g25500.1	Bostr.10273s0315.1.p
OG0001567	Sp1g21110.1	Bostr.12659s0215.1.p
OG0001568	Sp6g27010.1	Bostr.2618s0057.1.p
