Orthogroup	Thellungiella_parvula	Arabidopsis_thaliana
OG0001369	Sp5g02140.1	AT3G61230
OG0001370	Sp5g03960.1	AT3G59020
OG0001370	Sp4g14060.1	AT2G31660
OG0001371	Sp5g22900.1	AT1G67880
OG0001371	Sp1g11550.1	AT1G12990
OG0001372	Sp7g24570.1	AT4G26610
OG0001372	Sp6g17760.1	AT5G55910
OG0001373	Sp4g00720.1	AT2G21560
OG0001374	Sp7g12950.1	AT3G22570, AT3G22580, AT4G14815
OG0001374	Sp3g20370.1	AT3G22600
OG0001375	Sp7g24140.1	AT4G26120
OG0001375	Sp2g00470.1	AT1G64280
OG0001376	Sp2g26530.1	AT5G63450
OG0001376	Sp5g13460.1	AT3G48520
OG0001377	Sp4g22600.1	AT2G40270
OG0001377	Sp5g06490.1	AT3G56050
OG0001378	Sp3g22910.1	AT3G25260
OG0001379	Sp5g32050.1, Sp5g32055.1	AT1G76930
OG0001379	Sp1g18860.1	AT1G21310
OG0001380	Sp5g02330.1	AT3G60920
OG0001380	Sp4g27560.1	AT2G45540
OG0001381	Sp6g06190.1	AT4G11260
OG0001381	Sp7g21490.1	AT4G23570
OG0001382	Sp4g18600.1, Sp7g04640.1, SpUn0053_0030.1, Sp7g05390.1	AT2G36340
OG0001383	Sp6g33780.1	AT4G32208, AT5G09590
OG0001383	Sp7g35550.1	AT4G37910
OG0001384	Sp5g23530.1	AT1G68460
OG0001384	Sp3g17230.1	AT3G19160
OG0001385	Sp4g17110.1	AT2G34830
OG0001385	Sp1g26550.1	AT1G30650
OG0001386	Sp7g16230.1	AT4G17890
OG0001386	Sp2g11560.1, SpUn0036_0050.1	AT5G46750
OG0001387	Sp3g33060.1	AT2G19730
OG0001387	Sp7g27290.1	AT4G29410
OG0001389	Sp3g17200.1	AT3G19130
OG0001389	Sp1g36480.1	AT1G49600
OG0001390	Sp6g41140.1	AT2G30290
OG0001390	Sp5g09490.1	AT3G52850
OG0001391	Sp1g35430.1	AT1G48480
OG0001391	Sp3g15960.1	AT3G17840
OG0001392	Sp4g16600.1	AT2G34340
OG0001392	Sp1g25540.1	AT1G29640
OG0001393	Sp5g31240.1	AT1G76120
OG0001393	Sp1g18110.1	AT1G20370
OG0001395	Sp2g08520.1, Sp4g27160.1	AT2G45110, AT1G65681
OG0001395	Sp5g02660.1	AT3G60570
OG0001396	Sp6g33680.1	AT5G09720, AT5G09690
OG0001396	Sp2g27630.1	AT5G64560
OG0001397	Sp5g02290.1	AT3G61070
OG0001397	Sp4g27790.1	AT2G45740
OG0001398	Sp3g02320.1	AT3G03280
OG0001398	Sp6g26870.1	AT5G17350
OG0001399	Sp7g24870.1	AT4G26910
OG0001399	Sp6g17010.1	AT5G55070
OG0001400	Sp6g37800.1	AT5G05000
OG0001401	Sp1g09810.1	AT1G11125
OG0001401	Sp2g03290.1	AT1G61170
OG0001407	Sp3g33390.1	AT2G20100
OG0001407	Sp7g27030.1	AT4G29100
OG0001408	Sp1g39270.1	AT1G52700
OG0001408	Sp3g13950.1	AT3G15650
OG0001409	Sp5g01270.1	AT3G62100
OG0001409	Sp4g28990.1	AT2G46990
OG0001410	Sp6g36000.1, Sp6g35990.1	AT5G06870
OG0001411	Sp7g16730.1	AT4G17460
OG0001411	Sp2g12090.1	AT5G47370
OG0001412	Sp5g02110.1	AT3G61260
OG0001412	Sp4g27890.1	AT2G45820
OG0001413	Sp4g16260.1	AT2G33850
OG0001413	Sp1g24680.1, Sp2g03920.1	AT1G28400
OG0001414	Sp6g38340.1	AT5G04390
OG0001414	Sp3g08730.1	AT3G10470
OG0001415	Sp1g04680.1	AT1G05860
OG0001415	Sp4g14000.1	AT2G31600, AT3G53860
OG0001416	Sp3g31510.1	AT2G18080
OG0001416	Sp7g33940.1	AT4G36190, AT4G36195
OG0001417	Sp3g16150.1	AT3G18035
OG0001417	Sp1g35590.1	AT1G48620
OG0001418	Sp2g04670.1	AT1G59940
OG0001418	Sp1g09100.1	AT1G10470
OG0001419	Sp5g32170.1	AT1G77000
OG0001419	Sp1g18960.1	AT1G21410
OG0001420	Sp5g20890.1	AT1G66120
OG0001420	Sp5g20920.1	AT1G68270, AT1G65890, AT1G65880
OG0001421	Sp3g28270.1, Sp2g27640.1	AT5G64570
OG0001421	Sp6g33670.1	AT5G09700, AT5G09730
OG0001422	Sp4g29500.1	AT2G47560
OG0001422	Sp5g00830.1	AT3G62690
OG0001423	Sp5g05630.1, Sp3g03020.1	AT3G04050
OG0001424	Sp2g18710.1	AT5G48360
OG0001424	Sp3g06450.1	AT3G07540
OG0001425	Sp3g27740.1	AT2G14610
OG0001426	Sp1g03000.1, SpUn1380_0010.1	AT1G04180
OG0001426	Sp2g08700.1	AT5G43890
OG0001427	Sp5g25710.1	AT1G70560
OG0001427	Sp1g20760.1	AT1G23320
OG0001428	Sp5g25960.1	AT1G70780
OG0001428	Sp1g20610.1	AT1G23150
OG0001429	Sp3g27940.1	AT2G14760
OG0001429	Sp7g31600.1	AT4G33880
OG0001430	Sp1g24220.1	AT1G28040
OG0001430	Sp1g24210.1	AT2G46494, AT2G46493
OG0001430	Sp4g28500.1	AT2G46495
OG0001431	Sp5g03700.1	AT3G59440
OG0001431	Sp4g25400.1	AT2G43290
OG0001432	Sp6g39220.1	AT5G03530
OG0001432	Sp3g08260.1	AT3G09910
OG0001433	Sp1g00780.1	AT1G01540
OG0001433	Sp6g00810.1	AT4G01330
OG0001434	Sp1g04980.1	AT1G06170
OG0001434	Sp4g13710.1	AT2G31220
OG0001435	Sp7g16150.1	AT4G17960
OG0001435	Sp2g11450.1	AT5G46620
OG0001436	Sp3g16060.1, Sp2g22060.1	AT5G25470, AT5G25475
OG0001437	Sp1g39930.1	AT1G53380
OG0001437	Sp3g13080.1	AT3G14870
OG0001438	Sp1g14860.1	AT1G16710
OG0001438	Sp5g34050.1	AT1G79000
OG0001441	Sp6g29830.1, SpUn0049_0030.1	AT1G31180, AT5G14200
OG0001441	Sp5g35220.1	AT1G80560
OG0001443	Sp5g29780.1	AT1G74660
OG0001443	Sp1g16810.1	AT1G18835
OG0001444	Sp7g11280.1	AT4G13615
OG0001445	Sp3g06400.1	AT3G07490
OG0001445	Sp7g09590.1	AT4G12860
OG0001447	Sp2g01410.1	AT1G63170
OG0001447	Sp1g11320.1	AT1G12760
OG0001448	Sp6g26970.1	AT5G17260
OG0001448	Sp3g02240.1	AT3G03200
OG0001449	Sp4g27330.1	AT2G45310
OG0001449	Sp6g00170.1	AT4G00110
OG0001449	Sp1g00300.1	AT1G02000
OG0001450	Sp6g06800.1, Sp6g10420.1	AT5G37220, AT5G37250, AT5G37230, AT5G37270
OG0001450	Sp7g04410.1, Sp3g29000.1, Sp7g04420.1	AT5G37200
OG0001451	Sp1g38620.1	AT1G51980
OG0001451	Sp3g14830.1	AT3G16480
OG0001452	Sp2g16580.1	AT3G27390
OG0001452	Sp7g01230.1	AT5G40640
OG0001453	Sp5g03040.1	AT3G60966
OG0001453	Sp4g26660.1	AT2G44581, AT2G44578
OG0001454	SpUn0366_0010.1, SpUn0005_0310.1, SpUn0040_0020.1	AT5G37300
OG0001454	Sp4g21350.1	AT2G38995
OG0001455	Sp4g22690.1	AT2G40370
OG0001455	Sp6g37430.1	AT5G05390
OG0001456	Sp7g11400.1	AT4G13660
OG0001456	Sp1g27770.1	AT1G32100
OG0001457	Sp5g28780.1, Sp5g28770.1	AT1G58270
OG0001458	Sp4g17730.1	AT2G35510
OG0001458	Sp1g27910.1	AT1G32230
OG0001459	Sp6g37220.1	AT5G05670
OG0001459	Sp3g32260.1	AT2G18770
OG0001460	Sp7g36390.1	AT4G39490
OG0001460	Sp7g36400.1	AT4G39480
OG0001461	Sp5g31650.1	AT1G76490
OG0001462	Sp3g21630.1, Sp3g21960.1, Sp3g21640.1	AT3G24260, AT3G28870
OG0001463	Sp7g20130.1	AT4G21940
OG0001463	Sp6g04200.1	AT4G04740, AT4G04720
OG0001464	Sp1g14100.1	AT1G15800
OG0001464	Sp5g35160.1	AT1G80610
OG0001465	Sp6g33160.1	AT5G10270
OG0001465	Sp2g28040.1, Sp2g28050.1	AT5G64960
OG0001466	Sp2g21330.1	AT5G26690
OG0001466	Sp3g04810.1	AT3G05920
OG0001467	Sp4g24470.1	AT2G42300
OG0001467	Sp5g04890.1	AT3G57800
OG0001468	Sp6g07180.1	AT1G33600, AT2G26380
OG0001468	Sp1g29040.1	AT1G33590
OG0001469	Sp1g21590.1	AT1G27180, AT1G27170
OG0001470	Sp1g13990.1	AT1G15690
OG0001472	Sp1g06130.1	AT1G07380
OG0001472	Sp4g20330.1	AT2G38010
OG0001473	Sp1g02890.1	AT1G04070
OG0001473	Sp2g08800.1	AT5G43970
OG0001474	Sp5g13980.1	AT3G48000
OG0001474	Sp1g21180.1	AT1G23800
OG0001475	Sp5g19200.1	AT5G61320, AT1G64900, AT1G64930, AT1G64940, AT2G12190, AT1G64950
OG0001476	Sp4g16470.1	AT2G34160
OG0001476	Sp1g25130.1	AT1G29250
OG0001477	Sp4g28250.1	AT2G46210
OG0001477	Sp5g01830.1	AT3G61580
OG0001478	Sp3g33300.1	AT2G19980
OG0001478	Sp3g33280.1	AT2G19970
OG0001479	Sp3g00730.1	AT3G01340
OG0001479	Sp4g12610.1	AT2G30050
OG0001480	Sp1g27560.1	AT1G31850
OG0001480	Sp7g17820.1	AT4G19120
OG0001481	Sp4g04570.1, Sp4g04480.1	AT1G34170, AT1G43950, AT1G35540, AT1G34310, AT1G34390, AT1G35520, AT1G35240, AT1G34410
OG0001482	Sp3g09150.1	AT3G10820
OG0001482	Sp6g37700.1	AT5G05140
OG0001483	Sp6g24830.1	AT5G19550
OG0001483	Sp2g01810.1, Sp2g01800.1	AT1G62800
OG0001484	Sp3g32580.1	AT3G18720
OG0001485	Sp3g01100.1	AT3G01040
OG0001485	Sp6g28630.1	AT5G15470
OG0001487	Sp3g00110.1	AT3G02000
OG0001487	Sp6g29930.1	AT5G14070
OG0001488	Sp7g14170.1	AT4G15800
OG0001488	Sp3g14900.1	AT3G16570
OG0001489	Sp1g13310.1	AT1G14880, AT1G14870, AT5G35525
OG0001490	Sp5g02950.1	AT3G60250
OG0001490	Sp4g26760.1	AT2G44680
OG0001491	Sp3g00880.1	AT3G01220
OG0001491	Sp6g28920.1	AT5G15150
OG0001492	Sp6g07030.1	AT4G10430
OG0001492	Sp1g28680.1	AT1G33230
OG0001493	Sp4g11950.1	AT2G29130
OG0001493	Sp6g21680.1	AT5G60020
OG0001494	Sp7g20260.1	AT4G22110
OG0001494	SpUn0658_0010.1	AT1G22430
OG0001495	Sp5g31480.1	AT1G76350
OG0001495	Sp1g18360.1	AT1G20640
OG0001496	SpUn0001_0620.1, SpUn0001_0530.1, Sp6g22020.1, Sp6g22010.1	AT5G60440
OG0001497	Sp7g35440.1	AT4G37790
OG0001497	Sp4g01820.1	AT2G22800
OG0001498	Sp4g17810.1	AT2G35600
OG0001498	Sp1g27600.1	AT2G21030, AT1G31880
OG0001499	Sp4g01290.1	AT2G21810, AT2G21850, AT2G21840
OG0001500	Sp5g30380.1	AT1G75220
OG0001500	Sp1g17340.1	AT1G19450
OG0001501	Sp2g04160.1	AT1G60590
OG0001501	Sp1g09330.1	AT1G10640
OG0001502	Sp6g28160.1	AT5G15950
OG0001502	Sp3g01490.1	AT3G17717, AT3G02470
OG0001503	Sp3g33020.1	AT2G19670
OG0001503	Sp7g27370.1	AT4G29510
OG0001504	Sp5g13580.1	AT3G48450
OG0001504	Sp2g26390.1	AT5G63270
OG0001505	Sp3g04080.1	AT3G05230
OG0001505	Sp2g20650.1	AT5G27430
OG0001506	Sp4g18110.1	AT2G35850
OG0001506	Sp5g09930.1	AT3G52360
OG0001507	Sp3g13560.1	AT3G15358
OG0001507	Sp1g39590.1	AT1G53035
OG0001508	Sp5g25630.1	AT1G70510
OG0001508	Sp1g20820.1	AT1G23380
OG0001509	Sp6g28330.1	AT5G15790
OG0001509	Sp3g01350.1	AT3G02290
OG0001510	Sp3g00400.1	AT3G01650
OG0001510	Sp6g29600.1	AT5G14420
OG0001511	Sp1g06580.1	AT1G07900
OG0001511	Sp4g11330.1	AT2G28500
OG0001512	Sp7g25510.1	AT4G27585
OG0001512	Sp6g16130.1	AT5G54100
OG0001513	Sp7g12960.1	AT4G14819
OG0001513	Sp3g20300.1, Sp1g29460.1	AT3G22540
OG0001514	Sp5g03570.1	AT3G59580
OG0001514	Sp4g25590.1	AT2G43500
OG0001515	Sp2g04690.1	AT1G59900
OG0001515	Sp1g21530.1	AT1G24180
OG0001516	Sp3g32100.1	AT2G18600
OG0001516	Sp7g34460.1	AT4G36800
OG0001517	Sp4g23510.1	AT2G41210
OG0001517	Sp5g05620.1	AT3G56960
OG0001518	Sp3g30180.1	AT2G16900
OG0001518	Sp7g32880.1	AT4G35110
OG0001519	Sp2g10620.1	AT5G45750
OG0001519	Sp7g17500.1	AT4G18800
OG0001520	Sp5g27190.1, Sp5g27170.1	AT1G72110
OG0001521	Sp7g35390.1	AT4G37740
OG0001521	Sp4g01880.1, SpUn0042_0030.1	AT2G22840
OG0001522	Sp3g33400.1	AT2G20110
OG0001522	Sp7g26940.1	AT4G29000
OG0001523	Sp5g27460.1	AT1G72370
OG0001524	Sp1g37460.1	AT1G50640
OG0001525	Sp5g24630.1	AT1G69523
OG0001525	Sp5g24640.1	AT1G69526
OG0001526	Sp5g14990.1	AT3G46530, AT3G46710, AT3G46730
OG0001527	Sp3g32880.1	AT2G19500
OG0001527	Sp7g27520.1	AT4G29740
OG0001528	Sp6g26440.1	AT5G17810
OG0001528	Sp3g02640.1	AT3G03660
OG0001529	Sp2g18100.1	AT3G30180
OG0001529	Sp7g02910.1	AT5G38970
OG0001530	Sp7g11070.1	AT4G13480
OG0001530	Sp3g22080.1	AT3G24310
OG0001531	Sp2g04050.1	AT1G60670
OG0001531	Sp1g09520.1	AT1G10820
OG0001532	Sp6g37810.1, Sp7g10590.1	AT5G04990
OG0001532	Sp3g09060.1	AT3G10730
OG0001533	Sp3g12300.1	AT3G14060
OG0001533	Sp1g40570.1	AT1G54120
OG0001534	Sp7g24100.1, Sp6g00090.1	AT4G26080
OG0001534	Sp6g18770.1	AT5G57050
OG0001535	Sp1g17300.1	AT1G19400
OG0001535	Sp5g30330.1	AT1G75180
OG0001536	Sp6g15180.1	AT5G53030
OG0001536	Sp7g25790.1	AT4G27810
OG0001537	Sp1g05490.1	AT1G06760
OG0001537	Sp4g13160.1	AT2G30620
OG0001539	Sp3g01240.1	AT3G02160
OG0001539	Sp6g28520.1	AT5G15570
OG0001540	Sp7g29830.1	AT4G32030
OG0001541	Sp1g41170.1	AT1G55546
OG0001541	Sp3g11600.1	AT3G13410
OG0001542	Sp7g34340.1	AT4G36680
OG0001542	Sp7g16020.1, Sp3g31980.1	AT2G18520
OG0001543	Sp5g15520.1	AT3G46130
OG0001543	Sp6g21450.1	AT5G59780
OG0001544	Sp6g05380.1	AT4G12120
OG0001544	Sp1g10960.1	AT1G12360
OG0001545	Sp5g04320.1	AT3G58560
OG0001545	Sp5g04300.1	AT3G58580
OG0001546	Sp7g28850.1	AT4G30980
OG0001546	Sp4g03250.1	AT2G24260
OG0001547	Sp6g39740.1	AT5G02840
OG0001547	Sp3g07950.1	AT3G09600
OG0001548	Sp7g23650.1	AT4G25620
OG0001548	Sp6g14650.1	AT5G52430
OG0001550	Sp5g24880.1	AT1G69760
OG0001550	Sp1g21860.1	AT1G26920
OG0001551	Sp3g00750.1	AT3G01322, AT3G01328, AT3G01326, AT3G01327, AT3G01323
OG0001552	Sp3g08800.1	AT3G10525
OG0001552	Sp6g38280.1	AT5G04470
OG0001553	Sp1g35210.1	AT1G48260
OG0001553	Sp3g15670.1	AT3G17510
OG0001554	Sp5g27800.1	AT1G72740
OG0001554	Sp1g15660.1	AT1G17520
OG0001555	Sp3g11580.1	AT3G13390
OG0001556	Sp1g41760.1	AT1G56110
OG0001556	Sp3g11000.1	AT3G12860
OG0001557	Sp6g13790.1	AT5G56800
OG0001558	Sp2g07870.1	AT5G43090, AT5G43110
OG0001559	SpUn0602_0010.1	AT1G52890
OG0001559	Sp3g13750.1	AT3G15500
OG0001560	SpUn0131_0010.1	AT2G22425
OG0001560	Sp7g35820.1	AT4G40042
OG0001561	Sp5g14640.1	AT5G23960
OG0001564	Sp7g16400.1, Sp7g16410.1	AT2G06166, AT4G17718
OG0001564	Sp7g16420.1, Sp7g16000.1	AT4G17713
OG0001565	Sp6g04890.1	AT4G05630, AT4G12617
OG0001567	Sp5g25500.1	AT1G70420
OG0001567	Sp1g21110.1	AT1G23710
OG0001568	Sp6g27010.1	AT5G17220
OG0001568	Sp3g02230.1	AT3G03190
OG0001569	Sp5g27830.1	AT1G72770
OG0001569	Sp1g15690.1	AT1G17550
OG0001570	Sp4g23600.1	AT2G41300
OG0001570	Sp5g05560.1	AT3G57010
OG0001571	Sp5g26300.1	AT1G71130
OG0001571	Sp1g20440.1	AT1G22985
OG0001572	Sp4g22760.1	AT2G40420
OG0001572	Sp5g06300.1	AT3G56200
OG0001573	Sp7g15220.1	AT4G16600
OG0001573	Sp4g17980.1	AT2G35710
OG0001574	Sp6g37380.1	AT5G05460
OG0001574	Sp3g09370.1	AT3G61010, AT3G11040
OG0001576	Sp6g22430.1, Sp6g22420.1	AT5G22980
OG0001576	Sp5g16250.1	AT3G45010
OG0001577	Sp6g27660.1	AT5G16500
OG0001577	Sp3g01840.1	AT3G02810
OG0001579	Sp7g12580.1	AT4G14500
OG0001579	Sp3g20760.1	AT3G23080
OG0001580	Sp1g20780.1	AT1G23330
OG0001580	Sp1g09580.1	AT1G10740
OG0001581	Sp2g12030.1	AT5G47230
OG0001581	Sp7g16670.1	AT4G17490
OG0001582	Sp7g03100.1	AT5G38830
OG0001583	Sp6g04330.1	AT4G04605
OG0001583	Sp6g04340.1	AT4G04555, AT4G04580
OG0001584	Sp6g27770.1	AT5G16400
OG0001584	Sp3g01760.1	AT3G02730
OG0001585	Sp3g09580.1	AT3G11320
OG0001585	Sp6g37080.1	AT5G05820
OG0001586	Sp4g27940.1	AT2G45870
OG0001586	Sp5g02060.1	AT3G61320
OG0001587	Sp5g30780.1	AT1G75680
OG0001587	Sp1g17720.1	AT1G19940
OG0001589	Sp5g30510.1	AT1G75370
OG0001589	Sp1g17490.1	AT1G19650
OG0001590	Sp4g17460.1	AT2G35240
OG0001591	Sp3g21970.1	AT3G23990
OG0001591	Sp4g15510.1	AT2G33210
OG0001592	Sp5g28870.1	AT1G73690
OG0001593	Sp2g26060.1	AT5G62920
OG0001593	Sp5g13920.1	AT3G48100
OG0001594	Sp4g13840.1	AT2G31360
OG0001594	Sp1g04890.1	AT1G06080
OG0001595	Sp1g09990.1	AT1G11340
OG0001595	Sp1g10060.1	AT1G11410
OG0001596	Sp1g41310.1	AT1G55730, AT1G55720
OG0001596	Sp3g11520.1	AT3G13320
OG0001597	Sp1g02810.1	AT1G03980
OG0001597	Sp2g08890.1	AT5G44070
OG0001598	Sp5g07310.1	AT3G55110
OG0001598	Sp5g07290.1	AT3G55130
OG0001599	Sp5g01110.1	AT3G62270
OG0001599	Sp4g29140.1	AT2G47160
OG0001600	Sp5g13690.1	AT3G48360
OG0001600	Sp2g26290.1	AT5G63160
OG0001601	Sp2g23990.1	AT5G23130
OG0001601	Sp6g34740.1	AT5G08200
OG0001603	Sp2g03970.1	AT1G60780
OG0001603	Sp1g09430.1	AT1G10730
OG0001604	Sp1g01890.1	AT1G02890
OG0001604	Sp6g02380.1	AT4G02480
OG0001605	Sp6g25990.1, Sp6g25980.1, Sp6g25970.1	AT5G18320, AT5G18330, AT5G18340
OG0001606	Sp5g19920.1	AT1G65240
OG0001606	Sp7g05910.1	AT5G36260
OG0001608	Sp3g21560.1, Sp3g21570.1	AT3G23840
OG0001608	Sp7g11670.1	AT4G13840
OG0001609	Sp6g36520.1	AT5G05657, AT5G06330
OG0001609	Sp3g09890.1	AT3G11660
OG0001610	Sp3g32600.1	AT2G19210
OG0001610	Sp7g27790.1	AT4G29990
OG0001611	Sp6g05570.1	AT4G11920
OG0001611	Sp7g20980.1	AT4G22910
OG0001612	Sp7g24740.1	AT4G26760
OG0001612	Sp6g17160.1	AT5G55230
OG0001613	Sp1g21700.1	AT1G27080
OG0001613	Sp5g24980.1	AT1G69870
OG0001614	Sp7g33160.1	AT4G35370
OG0001614	Sp7g17610.1	AT4G18905
OG0001615	Sp5g13330.1	AT3G48680
OG0001615	Sp2g26590.1	AT5G63510
OG0001616	Sp2g13060.1	AT2G01610
OG0001616	Sp1g13330.1	AT1G14890
OG0001617	Sp3g12640.1	AT3G14350
OG0001617	Sp1g40260.1	AT1G53730
OG0001618	Sp5g31760.1	AT1G76590
OG0001618	Sp1g18700.1	AT1G21000
OG0001619	Sp2g16760.1	AT3G27630
OG0001619	Sp7g01460.1	AT5G40460
OG0001620	Sp1g02580.1	AT1G03700
OG0001620	Sp6g03550.1	AT4G03540
OG0001622	Sp4g28310.1	AT2G46260
OG0001622	Sp5g01810.1	AT3G61600
OG0001623	Sp3g22960.1	AT3G25420
OG0001623	Sp7g09690.1	AT4G12910
OG0001624	Sp3g01370.1	AT3G02310
OG0001624	Sp6g28320.1	AT5G15800
OG0001625	Sp2g09140.1	AT5G44310
OG0001625	Sp7g19070.1	AT4G21020
OG0001626	Sp2g08340.1	AT5G43460
OG0001626	Sp1g03150.1	AT1G04340
OG0001627	Sp4g26260.1	AT2G44180
OG0001627	Sp5g03190.1	AT3G59990
OG0001628	Sp1g11450.1	AT1G12880
OG0001628	Sp2g15810.1	AT3G26690
OG0001629	Sp6g12910.1	AT5G50800
OG0001629	Sp7g23010.1	AT4G25010
OG0001630	Sp7g04760.1	AT5G37475
OG0001630	Sp5g21120.1	AT1G66070
OG0001631	Sp5g12020.1	AT3G50100
OG0001631	Sp2g29430.1	AT5G67240
OG0001632	Sp6g34950.1	AT5G08000
OG0001632	Sp2g24380.1	AT5G61130
OG0001633	Sp2g15650.1	AT3G26520
OG0001633	Sp4g19080.1	AT2G36830
OG0001635	Sp3g30490.1	AT2G17150
OG0001635	Sp7g33050.1	AT4G35270
OG0001636	Sp6g33360.1, SpUn0247_0030.1	AT5G10040
OG0001636	Sp2g28300.1	AT5G65207
OG0001637	Sp6g08910.1	AT4G08850
OG0001638	Sp1g35910.1	AT1G49000
OG0001638	Sp3g16640.1	AT3G18560
OG0001639	Sp4g16870.1	AT2G34600
OG0001639	Sp1g26000.1	AT1G30135
OG0001640	Sp7g13150.1	AT4G14990
OG0001640	Sp3g20060.1	AT3G22270
OG0001641	Sp3g07920.1	AT3G09570
OG0001641	Sp6g25810.1	AT5G18520
OG0001642	Sp1g05860.1	AT1G06920
OG0001642	Sp4g12980.1	AT2G30400
OG0001643	Sp2g02150.1	AT1G62450
OG0001644	Sp2g01160.1	AT1G63450
OG0001644	SpUn0010_0170.1, Sp7g00690.1	AT5G41250
OG0001645	Sp4g11550.1	AT2G28680
OG0001645	Sp4g02870.1	AT1G07750
OG0001646	Sp7g16900.1	AT4G17270
OG0001646	Sp2g12270.1	AT5G47540
OG0001647	Sp2g28770.1	AT5G65690
OG0001647	Sp7g35510.1	AT4G37870
OG0001648	Sp3g05830.1	AT3G06868
OG0001648	Sp2g19450.1	AT5G49100
OG0001649	Sp6g23240.1	AT5G21950
OG0001649	Sp7g30930.1	AT4G33180
OG0001650	Sp1g01470.1	AT1G02390
OG0001650	Sp6g01830.1	AT4G01950
OG0001651	Sp2g10520.1	AT5G45630
OG0001652	Sp4g26500.1	AT2G44430
OG0001652	Sp5g03100.1	AT3G60110
OG0001653	Sp2g21820.1	AT5G25810
OG0001653	Sp6g32020.1	AT5G11590
OG0001654	Sp3g02780.1	AT3G03800
OG0001654	Sp6g34870.1	AT5G08080
OG0001655	Sp6g04460.1	AT4G04450
OG0001655	Sp7g20220.1	AT4G22070
OG0001656	Sp6g33920.1	AT5G09410
OG0001656	Sp2g27280.1	AT5G64220
OG0001657	Sp1g10710.1	AT1G12040
OG0001657	Sp2g02160.1	AT1G62440
OG0001658	Sp7g35790.1	AT4G40060
OG0001658	Sp4g01450.1	AT2G22430
OG0001659	Sp1g04990.1	AT1G06180
OG0001659	Sp4g13670.1	AT2G31180
OG0001660	Sp5g31800.1	AT1G76640
OG0001661	Sp4g19870.1	AT2G37550
OG0001661	Sp5g08670.1	AT3G53710
OG0001662	Sp4g02740.1	AT2G23800
OG0001663	Sp1g05500.1	AT1G06770
OG0001663	Sp4g13130.1	AT2G30580
OG0001664	Sp4g17300.1	AT2G35020
OG0001664	SpUn0157_0030.1	AT1G31070
OG0001665	Sp6g33370.1	AT5G10030
OG0001665	Sp2g28310.1	AT5G65210
OG0001666	Sp7g15770.1	AT4G18290
OG0001666	Sp2g11110.1	AT5G46240
OG0001667	Sp4g29590.1	AT2G47650
OG0001667	Sp5g00680.1	AT3G62830
OG0001668	Sp7g24530.1	AT4G26570
OG0001669	Sp6g21090.1	AT5G59410
OG0001669	Sp4g11830.1	AT2G29020
OG0001671	Sp3g28110.1, Sp3g28220.1	AT2G14860
OG0001671	Sp7g31630.1	AT4G33905
OG0001672	Sp3g21510.1	AT3G23805
OG0001672	Sp7g11750.1	AT4G13950
OG0001673	Sp4g24530.1	AT2G42380
OG0001673	Sp5g04600.1	AT3G58120
OG0001674	Sp7g14780.1, SpUn0413_0020.1	AT4G16265
OG0001675	Sp1g38070.1	AT1G51400
OG0001675	Sp3g19010.1	AT3G21055
OG0001676	Sp5g11960.1	AT3G50160, AT3G50150
OG0001676	Sp5g12000.1	AT3G50120
OG0001677	Sp2g03320.1, SpUn0101_0020.1	AT1G61150
OG0001678	SpUn0010_0210.1, Sp7g00730.1	AT5G41180
OG0001678	Sp2g01180.1	AT1G63430
OG0001679	Sp4g24630.1	AT2G42500
OG0001679	Sp5g04370.1	AT3G58500
OG0001680	Sp6g04540.1	AT4G04260
OG0001680	Sp7g20290.1	AT4G22140
OG0001681	Sp6g25050.1	AT5G19360
OG0001681	Sp6g31460.1	AT5G12180
OG0001682	Sp1g36340.1	AT1G49500
OG0001683	Sp6g17020.1	AT5G55090
OG0001683	Sp7g24840.1	AT4G26890
OG0001684	Sp6g30590.1	AT5G13440, AT5G13430
OG0001685	Sp1g18620.1	AT1G20920
OG0001686	Sp6g06950.1	AT4G10500
OG0001686	Sp6g06970.1	AT4G10490
OG0001687	Sp3g06380.1	AT3G07470
OG0001688	Sp1g01800.1	AT1G02820
OG0001688	Sp6g02260.1	AT4G02380
OG0001689	Sp4g27310.1	AT2G45290
OG0001689	Sp5g02500.1	AT3G60750
OG0001690	Sp6g05520.1	AT4G11990
OG0001690	Sp7g20940.1	AT4G22860
OG0001691	Sp1g38570.1	AT1G51913
OG0001692	Sp7g18890.1	AT4G20810, AT4G20340
OG0001692	Sp1g02280.1	AT1G03280
OG0001693	Sp5g29310.1	AT1G74080
OG0001693	Sp1g16520.1	AT1G18570
OG0001694	Sp5g05430.1	AT3G57140
OG0001694	Sp6g38720.1	AT5G04040
OG0001695	Sp5g11320.1	AT3G50910
OG0001696	Sp7g15610.1	AT4G18425
OG0001696	Sp2g10940.1, Sp2g10950.1	AT5G46090
OG0001697	Sp1g15590.1	AT1G17455
OG0001697	Sp5g27690.1	AT1G72630
OG0001698	Sp4g24410.1	AT2G42230
OG0001698	Sp5g04830.1	AT3G57890
OG0001699	Sp3g10630.1	AT3G12500
OG0001700	Sp7g20350.1	AT4G22220
OG0001701	Sp5g01540.1	AT3G61830
OG0001701	Sp4g28570.1	AT2G46530
OG0001702	Sp7g11110.1	AT4G13520
OG0001702	Sp3g22050.1	AT3G24280
OG0001703	Sp2g28510.1	AT5G65430
OG0001703	Sp6g33000.1	AT5G10450
