Orthogroup	Thellungiella_parvula	Aethionema_arabicum
OG0003281	Sp3g28780.1	AA123G00075
OG0003281	Sp7g31770.1	AA118G00050
OG0003282	Sp4g00870.1	AA28G00028, AA46G00091
OG0003283	Sp6g07760.1, Sp1g29370.1	AA54G00142
OG0003284	Sp5g33630.1	AA31G00726
OG0003284	Sp1g15160.1	AA39G00006
OG0003285	Sp7g30990.1, Sp3g12580.1	AA26G00151
OG0003287	Sp4g14840.1, SpUn0024_0150.1, Sp1g03990.1	AA19G00032
OG0003288	Sp1g29280.1	AA54G00148
OG0003289	Sp4g11880.1, Sp1g06250.1	AA90G00080
OG0003290	Sp3g08080.1	AA93G00134
OG0003291	Sp6g08200.1, Sp1g30230.1	AA54G00102
OG0003292	Sp7g22130.1, SpUn0014_0050.1, Sp2g06900.1, SpUn0090_0010.1	AA3G00200
OG0003293	Sp3g07470.1	AA93G00086
OG0003294	Sp1g07070.1, Sp4g10010.1	AA32G00951
OG0003296	Sp1g25490.1	AA54G00371
OG0003297	Sp6g38690.1, Sp3g08480.1	AA93G00190
OG0003298	Sp2g11890.1, Sp5g31520.1, Sp7g16500.1	AA57G00037
OG0003299	Sp5g04620.1	AA21G00034
OG0003300	Sp7g28240.1, Sp3g32160.1	AA33G00115
OG0003301	Sp6g25360.1	AA40G00221
OG0003301	Sp3g05140.1	AA29G00007
OG0003302	Sp7g23540.1, Sp7g23530.1	AA471G00001
OG0003303	Sp5g29880.1	AA31G00474
OG0003303	Sp1g16890.1	AA39G00178
OG0003304	Sp4g18810.1, Sp5g09380.1	AA36G00014, AA62G00051
OG0003305	Sp2g19040.1, Sp3g06180.1	AA29G00108
OG0003306	Sp5g26210.1, Sp1g20470.1	AA39G00497
OG0003307	Sp2g08750.1	AA32G00392
OG0003307	Sp1g02960.1	AA19G00136
OG0003308	Sp1g14760.1, Sp5g34140.1	AA31G00775
OG0003309	Sp2g07520.1	AA3G00226
OG0003309	Sp1g23860.1	AA281G00001
OG0003310	Sp2g09440.1	AA40G00134
OG0003311	Sp5g16880.1	AA24G00050
OG0003311	Sp7g30410.1	AA121G00012
OG0003312	Sp1g03980.1	AA19G00037, AA123G00128, AA19G00036
OG0003313	Sp1g33980.1, Sp2g07690.1	AA3G00238
OG0003314	SpUn0030_0060.1, Sp3g31770.1	AA33G00140
OG0003314	Sp7g34260.1	AA30G00170
OG0003315	Sp5g34850.1, Sp1g14310.1	AA37G00148
OG0003316	Sp3g13430.1	AA26G00231
OG0003316	Sp1g39720.1	AA15G00094
OG0003317	Sp1g06120.1, Sp4g12300.1	AA32G00739
OG0003319	Sp7g30230.1, Sp4g05000.1	AA1601G00001
OG0003320	Sp4g11700.1	AA32G00803
OG0003321	Sp6g25410.1	AA40G00226
OG0003322	Sp1g15830.1	AA39G00073
OG0003322	Sp5g28040.1	AA47G00008, AA31G00639
OG0003323	Sp6g35130.1, Sp2g24520.1	AA5G00158
OG0003324	Sp6g37150.1, Sp5g05260.1	AA61G00192
OG0003325	Sp7g24700.1	AA10G00434
OG0003325	Sp6g17190.1	AA25G00065
OG0003326	Sp1g27040.1	AA9G00081, AA79G00048
OG0003326	Sp7g18310.1	AA57G00228
OG0003327	Sp7g14590.1	AA18G00180
OG0003328	Sp7g27310.1, Sp3g33050.1	AA33G00249
OG0003329	Sp7g26320.1	AA228G00019
OG0003331	Sp5g29260.1	AA31G00538
OG0003331	Sp1g16450.1	AA39G00135
OG0003332	Sp2g10410.1	AA6G00049
OG0003332	Sp7g17810.1	AA57G00182
OG0003333	Sp6g01020.1	AA32G00124
OG0003335	Sp7g29680.1, Sp4g04090.1	AA142G00007
OG0003336	Sp6g16840.1, Sp7g24980.1	AA32G01126
OG0003337	Sp7g21360.1	AA54G00307
OG0003337	Sp6g06070.1	AA3G00030
OG0003338	Sp5g24900.1, Sp1g21800.1	AA39G00604
OG0003339	Sp4g19380.1	AA60G00072
OG0003340	Sp5g33870.1	AA315G00002, AA31G00749
OG0003341	Sp6g13600.1, Sp7g23220.1	AA131G00005
OG0003344	Sp7g24130.1, Sp6g18650.1	AA44G00692
OG0003345	Sp3g15220.1, Sp7g14760.1	AA18G00196
OG0003346	Sp5g13840.1	AA96G00080
OG0003347	Sp5g08470.1	AA204G00007
OG0003349	Sp1g24370.1, Sp4g16070.1	AA31G00465
OG0003350	Sp2g24310.1, Sp6g34920.1	AA44G00068
OG0003351	Sp7g34670.1	AA30G00215
OG0003351	Sp4g02490.1	AA22G00023
OG0003352	Sp3g13740.1, Sp3g23580.1	AA26G00261
OG0003354	Sp6g35420.1, Sp2g24860.1	AA5G00133
OG0003355	Sp1g21270.1, Sp5g25380.1	AA39G00569
OG0003356	Sp6g21370.1, Sp5g15370.1	AA16G00056
OG0003357	Sp1g04920.1, Sp4g13830.1	AA32G00595
OG0003358	Sp6g37190.1	AA35G00074
OG0003358	Sp3g09520.1	AA63G00011
OG0003359	Sp7g01880.1, Sp2g17100.1	AA53G01042
OG0003360	Sp7g24630.1	AA10G00429
OG0003360	Sp6g17410.1	AA25G00093
OG0003361	Sp2g21000.1	AA40G00128
OG0003362	Sp1g22510.1	AA39G00669
OG0003362	Sp5g23790.1	AA112G00007
OG0003364	Sp3g30600.1	AA33G00041
OG0003364	Sp7g33080.1	AA79G00021
OG0003365	Sp3g02460.1, Sp6g26710.1	AA40G00358
OG0003366	Sp1g23660.1	AA44G00520
OG0003367	Sp7g10460.1	AA109G00027
OG0003368	Sp6g05240.1	AA6G00317
OG0003369	Sp6g20490.1, Sp5g14610.1	AA5G00016
OG0003370	Sp1g12900.1	AA14G00052
OG0003371	Sp2g21200.1, Sp3g04670.1	AA4G00225, AA10G00041
OG0003372	Sp7g16770.1	AA57G00015, AA244G00006
OG0003374	Sp5g07440.1	AA91G00006
OG0003375	Sp5g25460.1	AA38G00060
OG0003376	Sp3g11500.1, Sp3g11490.1	AA15G00280, AA26G00049
OG0003377	Sp2g18560.1, Sp3g06710.1	AA29G00163
OG0003378	Sp6g35100.1	AA44G00051
OG0003379	Sp5g28220.1, Sp1g15980.1	AA39G00086
OG0003380	Sp1g14170.1, Sp5g35030.1	AA31G00861
OG0003382	Sp3g14460.1	AA26G00316
OG0003382	Sp1g38800.1	AA15G00026
OG0003383	Sp2g20450.1	AA40G00066
OG0003383	Sp3g03840.1	AA10G00119
OG0003384	Sp3g09800.1	AA52G00026
OG0003384	Sp6g36660.1	AA105G00039
OG0003385	Sp2g12140.1	AA338G00003
OG0003385	Sp7g16820.1	AA57G00010
OG0003386	Sp7g32220.1, Sp3g28990.1	AA123G00065
OG0003387	Sp1g09380.1, Sp7g23970.1	AA9G00130
OG0003388	Sp1g40740.1	AA15G00200
OG0003389	Sp3g27410.1	AA100G00001
OG0003390	Sp6g25695.1, Sp6g25700.1	AA40G00249
OG0003391	Sp2g04130.1	AA53G00496
OG0003392	Sp4g22620.1	AA35G00057
OG0003393	Sp5g13900.1	AA96G00076
OG0003395	Sp5g07420.1, Sp5g07430.1	AA91G00009
OG0003396	Sp1g12190.1, Sp2g14480.1	AA53G00772
OG0003397	Sp2g23940.1, Sp6g34690.1	AA44G00150
OG0003398	Sp7g11550.1, Sp7g11560.1	AA87G00369, AA87G00366
OG0003399	Sp1g14590.1	AA37G00104
OG0003399	Sp5g34330.1	AA31G00790
OG0003400	Sp6g39090.1, Sp4g18680.1	AA60G00153
OG0003402	Sp7g10440.1	AA69G00015
OG0003403	Sp6g28090.1	AA40G00498
OG0003403	Sp3g01540.1	AA10G00361
OG0003405	Sp7g17620.1	AA57G00164
OG0003407	Sp5g01250.1	AA61G00564
OG0003409	Sp4g26360.1	AA21G00189
OG0003410	Sp1g15800.1	AA31G00647, AA1087G00002, AA39G00069
OG0003411	Sp3g00740.1, Sp6g29080.1	AA40G00587
OG0003412	Sp6g29120.1, Sp6g29130.1	AA40G00590
OG0003413	Sp3g18540.1, Sp1g37600.1	AA2G00204
OG0003414	Sp2g28800.1	AA4G00290
OG0003416	Sp1g12820.1, Sp2g13760.1	AA14G00045, AA53G00711
OG0003417	Sp3g09570.1	AA52G00001
OG0003417	Sp6g37100.1	AA105G00002
OG0003418	Sp4g03580.1	AA149G00006
OG0003419	Sp3g31540.1, Sp7g33960.1	AA30G00139
OG0003420	Sp1g39130.1, Sp3g14080.1	AA26G00285
OG0003422	Sp2g06000.1, Sp1g08050.1	AA42G00013
OG0003423	Sp5g00930.1	AA61G00591
OG0003423	Sp4g29390.1	AA21G00470
OG0003424	Sp7g14500.1, Sp7g14490.1	AA18G00169
OG0003425	Sp3g20970.1	AA17G00131
OG0003425	Sp7g12420.1	AA87G00287
OG0003426	Sp4g13030.1, Sp4g13040.1	AA32G00657
OG0003427	Sp4g13570.1	AA32G00614
OG0003428	Sp7g33600.1	AA30G00105
OG0003428	Sp3g31130.1	AA33G00077
OG0003429	Sp3g12290.1	AA26G00121
OG0003429	Sp1g40580.1	AA15G00167
OG0003430	Sp6g29890.1, SpUn0049_0090.1	AA40G00625
OG0003431	Sp4g14820.1	AA32G00527
OG0003431	SpUn0024_0140.1, Sp1g04000.1	AA19G00031
OG0003432	Sp1g20620.1, Sp6g30670.1	AA44G00540
OG0003434	Sp5g34760.1	AA31G00833
OG0003434	Sp1g14370.1	AA37G00143
OG0003435	Sp6g26650.1	AA40G00350
OG0003436	Sp6g23320.1	AA8G00227
OG0003436	Sp4g08370.1	AA32G00925
OG0003438	Sp1g17580.1, Sp5g30610.1	AA31G00406
OG0003439	Sp7g12810.1, Sp7g12805.1	AA87G00249
OG0003440	Sp3g16580.1	AA1G00056, AA26G00517, AA26G00522, AA26G00524, AA26G00523, AA26G00518
OG0003442	Sp2g04260.1	AA53G00482
OG0003443	Sp2g22740.1	AA12G00032
OG0003443	Sp5g12550.1	AA13G00124
OG0003450	Sp1g10830.1	AA125G00001, AA65G00277
OG0003451	Sp5g25730.1, Sp1g20750.1	AA39G00526
OG0003452	Sp1g28370.1, Sp4g17530.1	AA9G00142
OG0003454	Sp5g24100.1, Sp5g24350.1	AA47G00035
OG0003457	Sp6g09690.1, Sp1g33640.1	AA43G00088
OG0003458	Sp1g09120.1, Sp5g04780.1	AA53G00452
OG0003462	Sp4g09400.1	AA32G01002
OG0003462	Sp1g38940.1, Sp1g41730.1	AA34G00048
OG0003463	Sp4g00930.1	AA46G00096
OG0003463	Sp7g36500.1	AA20G00012
OG0003464	Sp2g10510.1	AA6G00036
OG0003465	Sp7g37200.1	AA20G00078
OG0003466	Sp3g15460.1	AA26G00407
OG0003466	Sp1g35010.1	AA18G00210
OG0003467	Sp1g09060.1	AA65G00093
OG0003467	Sp2g04750.1	AA53G00442
OG0003468	Sp5g07530.1	AA108G00005
OG0003469	Sp3g12250.1	AA26G00117
OG0003470	Sp5g15980.1	AA16G00112
OG0003470	Sp6g21960.1	AA8G00340
OG0003471	Sp2g23950.1	AA5G00211
OG0003473	Sp6g02280.1	AA32G00270
OG0003474	Sp4g29970.1, Sp5g00480.1	AA61G00632
OG0003475	Sp5g14560.1	AA34G00015
OG0003475	Sp3g25300.1	AA580G00001
OG0003476	Sp5g09370.1, Sp4g18820.1	AA60G00137
OG0003477	Sp5g22770.1	AA134G00042
OG0003477	Sp1g23280.1	AA39G00734
OG0003479	Sp6g32170.1	AA44G00399
OG0003481	Sp5g13870.1	AA96G00079
OG0003481	Sp5g30060.1	AA31G00460
OG0003482	Sp5g21850.1, Sp7g03890.1	AA27G00038
OG0003483	Sp1g36770.1	AA2G00110
OG0003484	Sp2g20700.1, Sp3g04130.1	AA10G00086
OG0003485	Sp6g28840.1	AA40G00565
OG0003487	Sp4g29210.1	AA21G00450
OG0003490	Sp6g36200.1, Sp3g10250.1	AA219G00005
OG0003491	Sp7g28590.1	AA102G00220
OG0003492	Sp1g24590.1	AA127G00019
OG0003493	Sp1g20550.1	AA39G00502
OG0003493	Sp5g26070.1	AA38G00015
OG0003494	Sp3g20260.1	AA17G00055
OG0003495	Sp3g11570.1	AA26G00057
OG0003495	Sp1g41230.1	AA15G00271
OG0003496	Sp6g27110.1	AA40G00400
OG0003498	Sp7g27950.1	AA102G00151
OG0003499	Sp3g11710.1	AA26G00068
OG0003500	Sp1g35440.1, Sp3g15970.1	AA26G00459
OG0003502	Sp5g01840.1, Sp5g32820.1	AA21G00353
OG0003503	Sp7g33060.1	AA79G00018
OG0003504	Sp5g05960.1	AA61G00126
OG0003504	Sp4g23180.1	AA93G00043
OG0003505	Sp4g17780.1	AA9G00115
OG0003505	Sp1g27710.1	AA53G00058, AA53G00059
OG0003506	Sp3g33580.1	AA33G00308, AA33G00307
OG0003507	Sp3g30690.1	AA30G00066
OG0003508	Sp4g18830.1, Sp4g18840.1	AA60G00136
OG0003509	Sp5g06755.1, Sp5g06760.1	AA61G00055
OG0003510	Sp1g22100.1	AA32G01093
OG0003510	Sp6g15830.1	AA11G00043
OG0003511	Sp1g41450.1, Sp1g41440.1	AA15G00296
OG0003512	Sp1g05100.1	AA23G00027
OG0003513	Sp3g32230.1, Sp7g32070.1	AA102G00163
OG0003516	Sp6g18920.1	AA44G00667
OG0003519	Sp6g36680.1, Sp6g37390.1	AA35G00055
OG0003520	Sp4g21560.1, SpUn0018_0110.1	AA91G00005
OG0003521	Sp6g20150.1	AA198G00023
OG0003522	Sp4g01400.1, Sp4g01390.1, Sp7g35910.1	AA30G00341
OG0003524	Sp7g28900.1, Sp4g03300.1	AA22G00111
OG0003525	Sp2g24660.1, Sp7g06190.1	AA5G00145
OG0003526	Sp7g25540.1, Sp5g19380.1	AA53G01213
OG0003527	Sp1g14330.1	AA37G00146
OG0003527	Sp5g34830.1	AA31G00840
OG0003529	Sp3g03220.1	AA10G00178
OG0003529	Sp6g25840.1	AA40G00262
OG0003530	Sp1g21190.1	AA39G00562
OG0003530	Sp5g25440.1	AA39G00560
OG0003531	Sp3g04370.1	AA10G00076
OG0003532	Sp4g21780.1	AA29G00333
OG0003532	Sp5g07160.1	AA61G00020
OG0003533	Sp1g04400.1	AA4G00023
OG0003535	Sp7g29100.1, Sp4g03400.1	AA205G00009
OG0003536	Sp6g27840.1	AA53G00040
OG0003537	Sp1g35380.1, Sp3g15890.1	AA26G00451
OG0003538	Sp1g12270.1, Sp2g14690.1	AA53G00787
OG0003539	Sp4g22490.1	AA29G00263
OG0003539	Sp5g06550.1	AA61G00075
OG0003542	Sp3g02900.1	AA10G00207, AA10G00206
OG0003543	Sp1g37540.1	AA2G00169
OG0003543	Sp3g18420.1	AA26G00708
OG0003544	Sp7g21870.1, Sp6g06450.1	AA3G00058
OG0003545	Sp5g25840.1	AA38G00033
OG0003545	Sp1g20720.1	AA39G00523
OG0003546	Sp2g14450.1	AA53G00768
OG0003547	Sp3g22000.1, SpUn0225_0010.1	AA87G00388
OG0003548	Sp4g19840.1, Sp5g08690.1	AA62G00016, AA62G00015
OG0003549	Sp4g28180.1, Sp5g01880.1	AA61G00498
OG0003550	Sp2g17250.1	AA53G01053
OG0003551	Sp5g12410.1	AA13G00113
OG0003552	Sp6g06090.1	AA3G00031
OG0003553	Sp6g36210.1, Sp3g10260.1	AA219G00004
OG0003554	Sp7g25130.1	AA32G01113
OG0003554	Sp6g16630.1	AA25G00004
OG0003555	Sp4g16330.1, Sp1g24920.1	AA49G00043
OG0003556	Sp7g24490.1	AA10G00467
OG0003556	Sp6g17860.1	AA25G00136
OG0003557	Sp3g00550.1	AA32G01151
OG0003557	Sp6g29310.1	AA40G00606
OG0003558	Sp7g24500.1	AA25G00135, AA10G00466
OG0003560	Sp3g13710.1	AA26G00258, AA15G00075
OG0003561	Sp5g27430.1, Sp1g40370.1	AA15G00146
OG0003562	Sp6g17300.1, Sp6g17290.1	AA25G00086
OG0003563	Sp1g16870.1	AA39G00180
OG0003563	Sp5g29860.1	AA31G00476
OG0003564	Sp1g39990.1	AA26G00197
OG0003565	Sp7g17100.1	AA53G00260
OG0003566	Sp3g30580.1	AA33G00039
OG0003567	Sp3g33200.1	AA33G00261
OG0003568	Sp2g07840.1	AA3G00248
OG0003569	Sp5g09960.1, Sp4g18080.1	AA18G00061
OG0003570	Sp1g36500.1, Sp3g17240.1	AA26G00590
OG0003572	Sp5g28670.1	AA31G00606
OG0003574	Sp3g20190.1	AA17G00050
OG0003577	Sp4g11040.1	AA591G00002
OG0003578	Sp1g34440.1, Sp4g06500.1	AA32G01044
OG0003579	Sp1g12780.1, Sp2g13850.1	AA53G00719
OG0003580	Sp1g17350.1, Sp5g30390.1	AA31G00432
OG0003581	Sp1g36380.1	AA2G00086
OG0003582	Sp6g01590.1	AA32G00211
OG0003583	Sp4g20710.1, Sp4g20700.1	AA59G00015
OG0003584	Sp7g30300.1	AA61G00051
OG0003585	Sp6g33100.1, Sp2g28370.1	AA4G00257
OG0003586	Sp6g33580.1, Sp2g27750.1	AA4G00204
OG0003588	Sp5g32200.1	AA31G00270
OG0003588	Sp1g18980.1	AA39G00357
OG0003589	Sp6g23690.1, Sp5g18490.1	AA74G00006
OG0003590	Sp3g06890.1, Sp3g11740.1	AA15G00180, AA26G00070
OG0003591	Sp1g24230.1	AA347G00006
OG0003592	Sp2g19840.1, SpUn0021_0010.1	AA40G00005
OG0003595	Sp1g18230.1, Sp5g31360.1	AA31G00343
OG0003596	Sp7g35520.1	AA30G00294
OG0003598	Sp3g17140.1, Sp1g28210.1	AA46G00045, AA53G00256
OG0003599	Sp1g41590.1, Sp3g11140.1	AA26G00020
OG0003600	Sp7g31470.1, Sp7g31460.1	AA118G00004, AA118G00003
OG0003601	Sp3g15610.1	AA26G00424
OG0003602	Sp2g28540.1, Sp6g32970.1	AA44G00304
OG0003603	Sp1g17590.1	AA39G00243
OG0003604	Sp5g03150.1	AA53G01332
OG0003604	Sp1g41250.1	AA15G00273
OG0003605	Sp4g15600.1	AA32G00471
OG0003605	Sp7g11030.1	AA87G00396
OG0003606	Sp2g22820.1	AA12G00017, AA12G00015
OG0003607	Sp5g01130.1	AA44G00565
OG0003607	Sp5g04850.1	AA61G00225
OG0003608	Sp1g20680.1	AA39G00519
OG0003608	Sp5g25890.1	AA38G00029
OG0003609	Sp2g09320.1	AA6G00154
OG0003609	Sp7g18790.1	AA57G00280
OG0003610	Sp6g05090.1, Sp7g20570.1	AA57G00450
OG0003611	Sp3g13200.1	AA61G00073
OG0003612	Sp4g08170.1, Sp4g21750.1	AA29G00337, AA60G00264
OG0003613	Sp1g27100.1, Sp1g27110.1	AA131G00043, AA53G00001
OG0003614	Sp1g41540.1, Sp3g11240.1	AA26G00027
OG0003615	Sp5g21240.1	AA53G01124
OG0003615	Sp7g04610.1	AA27G00069
OG0003616	Sp1g27020.1	AA79G00047
OG0003616	Sp1g08790.1	AA9G00077
OG0003617	Sp2g02310.1, Sp1g10640.1	AA65G00243
OG0003618	Sp2g16590.1, SpUn0633_0010.1	AA53G00920
OG0003619	Sp7g36660.1, Sp1g18350.1, Sp3g07810.1, Sp5g17020.1	AA46G00073, AA20G00029
OG0003620	Sp1g06900.1, Sp4g10420.1	AA32G00917
OG0003621	Sp3g16790.1	AA26G00542
OG0003622	Sp4g29580.1	AA61G00606, AA21G00493
OG0003623	Sp2g07710.1	AA3G00239
OG0003624	Sp5g22810.1, Sp1g23240.1	AA39G00731
OG0003625	Sp6g24390.1	AA34G00038
OG0003626	Sp6g38750.1	AA54G00433
OG0003627	Sp1g10540.1	AA32G00985, AA32G00978, AA332G00005, AA48G00033, AA61G00017, AA332G00004, AA60G00140, AA60G00138, AA30G00001, AA123G00136, AA60G00139
OG0003629	Sp7g19180.1, Sp6g03670.1	AA6G00214
OG0003630	Sp2g11930.1	AA164G00006
OG0003631	Sp2g26160.1	AA5G00022
OG0003632	Sp7g10060.1, Sp3g22900.1	AA98G00017
OG0003633	Sp1g18840.1	AA39G00340
OG0003634	Sp3g22170.1	AA50G00046
OG0003634	Sp7g10940.1	AA166G00011
OG0003635	Sp5g09520.1	AA18G00002, AA796G00001, AA18G00004
OG0003635	Sp5g09510.1	AA18G00006
OG0003636	Sp6g24960.1, Sp6g31120.1	AA44G00499
OG0003637	Sp6g06050.1, Sp3g07790.1	AA93G00106
OG0003638	Sp1g34900.1, Sp3g15360.1	AA26G00401
OG0003639	Sp1g14560.1	AA37G00107
OG0003640	Sp1g36520.1	AA2G00096
OG0003640	Sp3g17340.1	AA26G00599, AA31G00285
OG0003641	Sp5g21810.1, Sp7g03910.1	AA27G00042
OG0003642	Sp2g16670.1	AA87G00108
OG0003643	Sp2g27430.1	AA4G00168
OG0003643	Sp7g31310.1	AA100G00004
OG0003644	Sp4g22250.1	AA61G00063, AA29G00287
OG0003645	Sp2g30670.1	AA38G00055
OG0003645	Sp5g10780.1	AA21G00191
OG0003646	Sp1g03040.1	AA19G00126
OG0003646	Sp2g08570.1	AA32G00409
OG0003647	Sp2g03660.1, Sp1g09640.1	AA65G00150
OG0003648	Sp1g11480.1, Sp2g15760.1	AA65G00320
OG0003649	Sp7g02880.1	AA9G00004
OG0003650	Sp1g11610.1	AA65G00333, AA53G00853
OG0003651	Sp5g24310.1	AA15G00281
OG0003652	Sp5g01160.1	AA25G00018
OG0003653	Sp2g12750.1	AA53G00613
OG0003654	Sp5g04930.1	AA61G00214
OG0003655	Sp5g06510.1	AA61G00079
OG0003656	Sp6g26370.1	AA40G00315
OG0003658	Sp3g32110.1, Sp7g34470.1	AA30G00190
OG0003659	Sp4g05260.1	AA21G00272
OG0003660	Sp1g20920.1, Sp5g28790.1	AA31G00364, AA55G00041
OG0003661	Sp5g24720.1	AA38G00115
OG0003662	Sp1g13460.1	AA14G00101
OG0003664	Sp7g20250.1	AA20G00018
OG0003665	Sp2g26740.1	AA4G00103
OG0003665	Sp6g34270.1	AA44G00187
OG0003670	Sp1g03950.1, Sp4g14910.1	AA32G00521
OG0003671	Sp7g26080.1, Sp2g09760.1, Sp3g34170.1	AA33G00354
OG0003672	Sp5g22430.1, Sp5g22410.1	AA1312G00002
OG0003673	Sp7g11730.1	AA87G00346
OG0003674	Sp3g00490.1	AA32G01162
OG0003675	Sp1g05400.1	AA32G00636
OG0003676	Sp5g13470.1	AA96G00112
OG0003676	Sp2g26460.1	AA4G00067
OG0003677	Sp5g00870.1	AA61G00597
OG0003678	Sp3g16290.1	AA26G00488
OG0003680	Sp7g17010.1, Sp2g12470.1	AA303G00005
OG0003682	Sp1g09130.1	AA65G00097
OG0003683	Sp4g02350.1	AA46G00198
OG0003684	Sp3g07440.1	AA19G00355
OG0003685	Sp3g14180.1, Sp3g14200.1	AA26G00295
OG0003686	Sp6g23580.1	AA111G00009
OG0003686	Sp6g23570.1	AA8G00196
OG0003687	Sp3g27810.1	AA539G00002
OG0003690	Sp7g37030.1	AA20G00060
OG0003691	Sp4g12360.1	AA32G00735
OG0003691	Sp1g06050.1	AA90G00043
OG0003692	Sp2g25010.1, Sp6g35560.1	AA44G00014
OG0003693	Sp7g01990.1	AA87G00164
OG0003694	Sp2g27670.1	AA4G00196
OG0003694	Sp6g33660.1	AA44G00239
OG0003695	Sp6g04830.1, Sp7g20410.1	AA57G00434
OG0003696	Sp4g17160.1, Sp1g26690.1	AA30G00034
OG0003697	Sp2g24850.1	AA5G00134
OG0003698	Sp5g34500.1	AA31G00808
OG0003699	Sp7g21480.1	AA54G00297
OG0003700	Sp3g06550.1	AA23G00060, AA29G00148
OG0003701	Sp6g08420.1, Sp6g08410.1	AA9G00198
OG0003703	Sp4g00600.1, Sp7g36740.1	AA20G00036
OG0003711	Sp1g27810.1, Sp4g17740.1	AA9G00123
OG0003712	Sp6g29250.1	AA40G00599
OG0003714	Sp4g03210.1	AA22G00100
OG0003716	Sp1g27440.1	AA9G00103
OG0003718	Sp6g34360.1	AA44G00179
OG0003720	Sp1g04380.1, Sp4g14390.1	AA4G00020
OG0003721	Sp1g35680.1	AA2G00055
OG0003721	Sp3g16410.1	AA26G00500
OG0003722	Sp1g18440.1, Sp1g18450.1	AA39G00306
OG0003724	Sp7g27430.1	AA102G00105
OG0003724	Sp3g32950.1	AA33G00239
OG0003726	Sp1g18160.1	AA39G00289
OG0003727	Sp1g20310.1, Sp5g26640.1	AA39G00478
OG0003728	Sp5g12950.1, Sp2g23320.1	AA231G00016, AA5G00269, AA231G00015, AA231G00014, AA179G00005
OG0003729	Sp2g15070.1	AA53G00821
OG0003730	SpUn0033_0050.1, Sp1g15500.1	AA39G00035
OG0003731	Sp2g25590.1, Sp5g14420.1	AA96G00021
OG0003732	Sp7g01290.1	AA87G00107
OG0003734	Sp7g19350.1, Sp6g03800.1	AA6G00224
OG0003735	Sp6g02310.1, Sp4g24640.1	AA53G01270
OG0003736	Sp5g05180.1, Sp4g24040.1	AA19G00476
OG0003737	Sp6g15760.1, Sp6g15750.1	AA446G00002
OG0003738	Sp1g06980.1, Sp4g10230.1	AA32G00964
OG0003739	Sp4g20510.1	AA68G00043
OG0003742	Sp5g13300.1	AA96G00127
OG0003742	Sp2g26650.1	AA4G00092
OG0003743	Sp7g15740.1	AA57G00114, AA57G00109
OG0003743	Sp2g11070.1	AA56G00060
OG0003744	Sp5g29490.1	AA31G00515
OG0003744	Sp1g16650.1	AA39G00158
OG0003746	Sp3g02080.1	AA10G00311
OG0003746	Sp6g27220.1	AA40G00411
OG0003747	SpUn0400_0010.1, SpUn0831_0010.1	AA115G00003
OG0003749	Sp7g05890.1	AA27G00198
OG0003749	Sp5g19950.1	AA53G01175
OG0003750	Sp6g40750.1	AA19G00407
OG0003752	Sp5g24560.1, Sp1g22070.1	AA39G00628
OG0003753	Sp3g03470.1	AA10G00155
OG0003755	Sp2g00260.1	AA53G01300
OG0003756	Sp4g26000.1, Sp4g26010.1	AA21G00161
OG0003757	Sp3g07330.1	AA29G00217
OG0003758	Sp6g01340.1, Sp6g00780.1	AA32G00104
OG0003759	Sp6g20340.1, Sp5g14550.1	AA96G00010
OG0003762	Sp4g21540.1, SpUn0018_0130.1	AA60G00287
OG0003764	Sp7g24970.1	AA32G01127
OG0003765	Sp1g02150.1, Sp6g02800.1	AA32G00310
OG0003766	Sp5g24770.1, Sp1g21930.1	AA38G00112
OG0003767	Sp3g08550.1	AA93G00201
OG0003767	Sp6g38590.1	AA19G00185
OG0003768	Sp2g27490.1	AA4G00173
OG0003770	SpUn0039_0010.1, Sp6g12550.1, SpUn0015_0090.1, Sp7g22870.1	AA131G00044
OG0003771	Sp1g23950.1, Sp2g07910.1	AA3G00252
OG0003772	Sp4g00530.1, Sp7g36790.1	AA20G00040
OG0003773	Sp7g30270.1, Sp4g05080.1	AA33G00012
OG0003774	Sp6g22960.1	AA8G00253
OG0003775	Sp3g02370.1	AA10G00271
OG0003776	Sp1g08800.1	AA9G00078
OG0003777	Sp1g35080.1, Sp5g06880.1	AA29G00304
OG0003778	Sp5g24700.1, Sp1g22000.1	AA39G00621
OG0003779	Sp3g30290.1	AA33G00014
OG0003780	Sp6g28490.1	AA40G00534
OG0003780	Sp3g01270.1	AA10G00386
OG0003781	Sp2g23720.1, Sp6g34530.1	AA44G00165
OG0003782	Sp5g35260.1	AA31G00877
OG0003783	Sp1g11750.1, Sp2g14930.1	AA53G00808
OG0003784	Sp2g01110.1	AA53G01360
OG0003786	Sp2g22550.1	AA12G00054
OG0003787	Sp6g39510.1	AA19G00254
OG0003789	Sp1g29670.1	AA54G00124
OG0003790	Sp3g09940.1	AA119G00022
OG0003791	Sp7g06500.1	AA883G00001
OG0003792	Sp5g21530.1	AA27G00055
OG0003793	Sp7g13310.1	AA87G00210
OG0003794	Sp1g40340.1	AA26G00153
OG0003795	Sp5g03110.1	AA61G00376
OG0003795	Sp4g26410.1	AA21G00192
OG0003796	Sp1g32060.1, Sp4g16010.1	AA3G00317
OG0003798	Sp3g30980.1	AA40G00600
OG0003798	Sp6g29260.1	AA40G00601
