Orthogroup	Thellungiella_parvula	Camelina_sativa
OG0003275	Sp5g34080.1	Csa09g093250
OG0003276	Sp3g15600.1	Csa01g020060, Csa15g023610, Csa19g024540
OG0003277	Sp3g19200.1	Csa17g090550, Csa14g059910, Csa03g058560
OG0003278	Sp6g15410.1	Csa11g085090, Csa02g049580
OG0003279	Sp7g31440.1	Csa11g009350
OG0003279	Sp3g27720.1	Csa15g064720, Csa19g043800
OG0003280	Sp4g15280.1	Csa16g008430
OG0003280	Sp1g03850.1	Csa17g008230, Csa14g006210, Csa03g006300
OG0003281	Sp3g28780.1	Csa01g035250, Csa01g035260
OG0003281	Sp7g31770.1	Csa12g009660, Csa11g008960, Csa10g008180
OG0003283	Sp6g07760.1	Csa02g028250, Csa13g044690, Csa08g037550
OG0003283	Sp1g29370.1	Csa03g038260, Csa17g059370, Csa14g043970
OG0003284	Sp5g33630.1	Csa09g092630, Csa07g057520, Csa16g048110
OG0003284	Sp1g15160.1	Csa17g022670, Csa14g021180, Csa03g020790
OG0003285	Sp7g30990.1	Csa12g011550, Csa11g009870
OG0003285	Sp3g12580.1	Csa15g018630
OG0003286	Sp5g22890.1, Sp5g22870.1	Csa16g027850, Csa07g033390, Csa05g082040, Csa05g082050, Csa16g027870, Csa07g033400, Csa16g027880, Csa07g033420, Csa05g083070
OG0003287	Sp4g14840.1	Csa16g008930, Csa07g010170, Csa05g024400
OG0003287	SpUn0024_0150.1, Sp1g03990.1	Csa03g006510, Csa17g008410, Csa14g006410
OG0003288	Sp1g29280.1	Csa17g058280, Csa14g043840, Csa03g038140
OG0003289	Sp4g11880.1	Csa16g015870
OG0003289	Sp1g06250.1	Csa14g008900, Csa03g010920, Csa17g010890
OG0003290	Sp3g08080.1	Csa15g011150, Csa01g010530, Csa19g013190
OG0003291	Sp6g08200.1	Csa02g022860, Csa13g043310
OG0003291	Sp1g30230.1	Csa03g039010, Csa17g064660, Csa14g046820
OG0003292	Sp7g22130.1	Csa12g030240, Csa10g018890, Csa11g020610
OG0003292	SpUn0014_0050.1, Sp2g06900.1, SpUn0090_0010.1	Csa20g063250, Csa11g073690, Csa18g012460
OG0003293	Sp3g07470.1	Csa19g012640, Csa01g009910, Csa18988s010, Csa15g010550, Csa19g011190, Csa15g010390, Csa01g009760, Csa19g012460
OG0003294	Sp1g07070.1	Csa17g011870, Csa03g011870
OG0003294	Sp4g10010.1	Csa05g041770
OG0003296	Sp1g25490.1	Csa18g016380, Csa14g037170, Csa03g032710, Csa17g042470, Csa17g042440, Csa03g032680, Csa18g016400, Csa14g037140
OG0003297	Sp6g38690.1	Csa08g060450, Csa20g005260
OG0003297	Sp3g08480.1	Csa15g012700, Csa01g011060, Csa19g013770
OG0003298	Sp2g11890.1	Csa18g002860, Csa08g048770
OG0003298	Sp5g31520.1, Sp7g16500.1	Csa10g027730
OG0003299	Sp5g04620.1	Csa05g009220, Csa06g048410, Csa04g057880, Csa04g057910, Csa06g033940, Csa09g070680, Csa06g033930, Csa04g044630, Csa37822s010
OG0003300	Sp7g28240.1	Csa11g013030, Csa12g016790
OG0003300	Sp3g32160.1	Csa15g079370
OG0003301	Sp6g25360.1	Csa08g011600, Csa20g028410, Csa13g021900
OG0003301	Sp3g05140.1	Csa15g007740, Csa19g009830, Csa01g007190
OG0003302	Sp7g23540.1, Sp7g23530.1	Csa12g026650, Csa10g017400, Csa12g026640, Csa10g017390, Csa11g018990
OG0003303	Sp5g29880.1	Csa07g046200, Csa09g079350
OG0003303	Sp1g16890.1	Csa17g024740, Csa03g022800
OG0003304	Sp4g18810.1	Csa04g050020, Csa05g017520, Csa06g039150
OG0003304	Sp5g09380.1	Csa04g038870, Csa09g061200, Csa06g027350
OG0003305	Sp2g19040.1, Sp3g06180.1	Csa01g008280, Csa15g009000, Csa19g010990, Csa01g008240, Csa15g008960, Csa19g010940
OG0003306	Sp5g26210.1	Csa09g072370, Csa16g032730, Csa07g037950
OG0003306	Sp1g20470.1	Csa17g030070, Csa14g029250, Csa03g026850
OG0003307	Sp2g08750.1	Csa20g068900, Csa18g009910, Csa11g070840
OG0003307	Sp1g02960.1	Csa14g005260
OG0003308	Sp1g14760.1	Csa03g020360, Csa14g020710
OG0003308	Sp5g34140.1	Csa09g093320, Csa07g058180, Csa16g048700
OG0003309	Sp1g23860.1	Csa14g035200, Csa17g037380, Csa03g030870
OG0003310	Sp2g09440.1	Csa20g071910, Csa18g008770, Csa11g069980, Csa20g071900, Csa11g069990, Csa18g008760
OG0003311	Sp5g16880.1	Csa09g034190, Csa06g017010, Csa04g024080
OG0003311	Sp7g30410.1	Csa12g013370
OG0003312	Sp1g03980.1	Csa14g002710, Csa03g002700, Csa17g003610, Csa03g006490, Csa17g008390, Csa14g006400
OG0003313	Sp1g33980.1	Csa14g049740, Csa03g047370, Csa17g071360
OG0003313	Sp2g07690.1	Csa18g010960, Csa11g072060
OG0003314	SpUn0030_0060.1, Sp3g31770.1	Csa15g077890, Csa19g057950
OG0003314	Sp7g34260.1	Csa12g004850, Csa10g004640, Csa11g005150
OG0003315	Sp5g34850.1, Sp1g14310.1	Csa17g021590, Csa03g019810, Csa14g020130, Csa16g049460
OG0003316	Sp3g13430.1	Csa19g021940
OG0003316	Sp1g39720.1	Csa17g093430, Csa03g060320
OG0003317	Sp1g06120.1	Csa14g008780, Csa03g010780
OG0003317	Sp4g12300.1	Csa16g015370, Csa07g014900, Csa05g034620
OG0003318	Sp5g10270.1	Csa09g059030, Csa04g037810, Csa06g026230, Csa06g026220, Csa06g022910, Csa04g034280, Csa09g051360
OG0003319	Sp7g30230.1	Csa10g010020, Csa11g010840, Csa12g013580
OG0003319	Sp4g05000.1	Csa08g061550, Csa07g056620, Csa19290s010, Csa16g047220, Csa14389s010
OG0003320	Sp4g11700.1	Csa05g035450, Csa09527s010, Csa07g015520
OG0003321	Sp6g25410.1	Csa13g021820, Csa00641s060, Csa08g011500
OG0003322	Sp1g15830.1	Csa17g023520
OG0003322	Sp5g28040.1	Csa07g040210, Csa09g077630, Csa16g035800
OG0003323	Sp6g35130.1	Csa13g009790, Csa08g056630, Csa20g010190
OG0003324	Sp6g37150.1	Csa08g058730, Csa13g007750, Csa20g008010
OG0003324	Sp5g05260.1	Csa06g033070, Csa04g043760, Csa09g069800
OG0003325	Sp7g24700.1	Csa10g016080, Csa11g017490, Csa12g025130
OG0003325	Sp6g17190.1	Csa11g088500, Csa02g057730, Csa18g026710
OG0003326	Sp1g27040.1	Csa03g034640
OG0003326	Sp7g18310.1	Csa11g027590, Csa12g041770
OG0003327	Sp7g14590.1	Csa10g029740, Csa12g053300, Csa11g034000, Csa11g033990
OG0003328	Sp7g27310.1	Csa12g017960, Csa11g014070, Csa10g013050
OG0003328	Sp3g33050.1	Csa00441s280, Csa19g049150, Csa01g044770
OG0003329	Sp7g26320.1	Csa11g010770, Csa10g009970, Csa12g013530, Csa10g014310, Csa12g022220, Csa11g015540
OG0003331	Sp5g29260.1	Csa09g078640, Csa16g037970
OG0003331	Sp1g16450.1	Csa17g024310, Csa03g022350, Csa14g023830
OG0003332	Sp2g10410.1	Csa11g066860
OG0003332	Sp7g17810.1	Csa12g042500
OG0003333	Sp6g01020.1	Csa13g056310, Csa02g002190, Csa08g053460
OG0003334	Sp7g20050.1	Csa11g024370, Csa12g036240, Csa10g021410
OG0003334	Sp3g30103.1	Csa19g052230, Csa01g033420
OG0003335	Sp7g29680.1	Csa12g014170, Csa11g011450, Csa10g010630, Csa02490s010
OG0003335	Sp4g04090.1	Csa07g055110, Csa16g046700, Csa09g090270
OG0003336	Sp6g16840.1	Csa02g057260, Csa18g026180
OG0003336	Sp7g24980.1	Csa10g015810, Csa12g024860, Csa11g017140
OG0003337	Sp7g21360.1	Csa10g019740
OG0003337	Sp6g06070.1	Csa02g020210, Csa13g048540
OG0003338	Sp5g24900.1	Csa16g031320, Csa07g036540, Csa05g087640
OG0003338	Sp1g21800.1	Csa03g028470, Csa17g033810, Csa17g033770
OG0003339	Sp4g19380.1	Csa12099s010, Csa06g039740, Csa05g016790
OG0003340	Sp5g33870.1	Csa07g057860, Csa16g048390, Csa09g093030, Csa09g093010, Csa07g057850
OG0003341	Sp6g13600.1	Csa18g022260, Csa02g043250, Csa11g082960
OG0003341	Sp7g23220.1	Csa10g017780, Csa12g028030
OG0003342	Sp7g16840.1	Csa10g028090, Csa12g048400
OG0003342	Sp2g12160.1	Csa20g081940, Csa11g064300, Csa18g002370
OG0003343	Sp6g35690.1	Csa08g057240, Csa20g009560, Csa13g009220
OG0003344	Sp7g24130.1	Csa12g025960
OG0003344	Sp6g18650.1	Csa18g029840, Csa02g061300
OG0003345	Sp3g15220.1	Csa19g023940, Csa01g019690, Csa15g023040
OG0003345	Sp7g14760.1	Csa12g052000, Csa10g029530, Csa11g033800
OG0003346	Sp5g13850.1	Csa04g031260, Csa09g048800, Csa04g031230, Csa06g021880, Csa09g048790
OG0003347	Sp5g08470.1	Csa09g062350, Csa06g028380, Csa04g039940
OG0003348	Sp1g39200.1	Csa03g059630, Csa14g061910, Csa17g092710
OG0003348	Sp3g14010.1	Csa19g022500, Csa15g020320, Csa01g018340
OG0003349	Sp1g24370.1	Csa14g035770, Csa17g038000, Csa03g031440
OG0003349	Sp4g16070.1	Csa16g007430, Csa05g021620, Csa07g007650
OG0003351	Sp7g34670.1	Csa12g004380, Csa10g004130
OG0003351	Sp4g02490.1	Csa16g045260, Csa09g087780
OG0003352	Sp3g13740.1	Csa07g026570, Csa12g055460, Csa15g020030, Csa19g022260, Csa01g018080, Csa20g071600
OG0003353	Sp5g12940.1	Csa06g023090, Csa09g051520, Csa04g034570
OG0003354	Sp6g35420.1	Csa20g009850, Csa13g009480, Csa08g056960
OG0003354	Sp2g24860.1	Csa02g068640, Csa11g097500, Csa18g035000
OG0003355	Sp1g21270.1	Csa17g031090, Csa14g031040, Csa03g027740
OG0003355	Sp5g25380.1	Csa07g037080, Csa05g089280, Csa16g031870
OG0003356	Sp6g21370.1	Csa02g065420, Csa11g093520
OG0003356	Sp5g15370.1	Csa04g029070, Csa09g042430, Csa06g020080
OG0003357	Sp1g04920.1	Csa03g008490, Csa14g007510, Csa17g009530
OG0003357	Sp4g13830.1	Csa16g012000
OG0003358	Sp6g37190.1	Csa13g007700, Csa08g058780, Csa20g006910
OG0003358	Sp3g09520.1	Csa15g014970, Csa19g015290, Csa01g012280
OG0003359	Sp7g01880.1	Csa10g047520, Csa12g081010
OG0003359	Sp2g17100.1	Csa09g017360, Csa06g009390, Csa04g016330
OG0003360	Sp7g24630.1	Csa12g025210, Csa10g016160, Csa11g017570
OG0003360	Sp6g17410.1	Csa11g088710, Csa18g026980, Csa02g058040
OG0003361	Sp2g21000.1	Csa20g055330, Csa13g035000, Csa08g027800
OG0003362	Sp1g22510.1	Csa14g032660
OG0003362	Sp5g23790.1	Csa05g085180, Csa16g028730, Csa07g034380
OG0003363	Sp3g15690.1	Csa09g088670, Csa16g046150, Csa07g054490, Csa15g023740, Csa15g023420, Csa19g024360
OG0003364	Sp3g30600.1	Csa15g074350
OG0003364	Sp7g33080.1	Csa10g006840, Csa12g008210, Csa11g006500
OG0003365	Sp3g02460.1	Csa15g003240, Csa19g005590
OG0003365	Sp6g26710.1	Csa08g009720, Csa20g025680, Csa13g020290
OG0003366	Sp1g23660.1	Csa17g036140, Csa14g034990, Csa03g030650, Csa03g030420, Csa14g034780, Csa17g035910
OG0003367	Sp7g10460.1	Csa01g031030, Csa19g037870, Csa15g052750
OG0003368	Sp6g05240.1	Csa02g014580, Csa13g050660
OG0003369	Sp6g20490.1	Csa18g031980, Csa11g092530
OG0003369	Sp5g14610.1	Csa06g020960, Csa09g045510, Csa04g030090
OG0003370	Sp1g12900.1	Csa03g018310, Csa17g019990, Csa14g017600
OG0003371	Sp2g21200.1	Csa08g027540, Csa13g034760
OG0003371	Sp3g04670.1	Csa01g006720, Csa15g007220, Csa19g008340
OG0003372	Sp2g12120.1	Csa20g081870, Csa11g064340, Csa18g002410
OG0003372	Sp7g16770.1	Csa11g031300, Csa10g028020, Csa12g048290
OG0003373	Sp6g36650.1	Csa13g008210, Csa08g058300, Csa20g008440
OG0003373	Sp3g09810.1	Csa19g015720, Csa01g012660, Csa15g015390
OG0003374	Sp5g07440.1	Csa09g065810, Csa06g029500, Csa04g041170
OG0003375	Sp5g25460.1	Csa09g071590, Csa16g031940, Csa07g037180
OG0003376	Sp3g11500.1, Sp3g11490.1	Csa15g017340, Csa01g015560, Csa19g018610
OG0003377	Sp2g18560.1	Csa20g041030, Csa18g014230, Csa11g074300
OG0003377	Sp3g06710.1	Csa15g009530, Csa01g008840, Csa19g011550
OG0003378	Sp6g35100.1	Csa20g010220, Csa13g009820, Csa08g056600
OG0003379	Sp5g28220.1	Csa16g036000, Csa09g077800, Csa07g040440
OG0003379	Sp1g15980.1	Csa17g023670, Csa14g022230
OG0003380	Sp1g14170.1	Csa14g018960, Csa03g019650, Csa17g021460
OG0003380	Sp5g35030.1	Csa09g094230, Csa16g049680, Csa07g059120
OG0003381	Sp1g21280.1, Sp1g21290.1	Csa14g031060, Csa17g031120, Csa17g031160, Csa03g027760, Csa03g027880
OG0003382	Sp3g14460.1	Csa15g020930, Csa01g018750, Csa17g093450
OG0003382	Sp1g38800.1	Csa17g092220, Csa14g060500, Csa03g059270
OG0003383	Sp2g20450.1	Csa20g055980, Csa13g036660
OG0003383	Sp3g03840.1	Csa15g006190, Csa01g005800, Csa19g007260
OG0003384	Sp3g09800.1	Csa19g015710, Csa01g012650
OG0003384	Sp6g36660.1	Csa08g058310, Csa13g008200
OG0003385	Sp2g12140.1	Csa20g081910, Csa11g064320, Csa18g002390
OG0003385	Sp7g16820.1	Csa11g031350, Csa12g048340, Csa10g028070
OG0003386	Sp7g32220.1	Csa19367s010, Csa10g007710, Csa11g007510
OG0003386	Sp3g28990.1	Csa15g071670, Csa19g050460
OG0003387	Sp1g09380.1	Csa17g014460, Csa03g014260
OG0003387	Sp7g23970.1	Csa12g026130
OG0003388	Sp1g40740.1	Csa17g094810, Csa03g061640
OG0003389	Sp3g27410.1	Csa01g036090, Csa15g064500, Csa19g043550
OG0003390	Sp6g25695.1	Csa08g011200, Csa13g021560
OG0003390	Sp6g25700.1	Csa20g027020, Csa08g011190
OG0003391	Sp2g04130.1	Csa11g046520, Csa12g074260, Csa10g040420
OG0003392	Sp4g22620.1	Csa05g012490, Csa06g044660, Csa04g054610, Csa20g006720, Csa08g059030, Csa13g007430
OG0003393	Sp5g22650.1	Csa07g033080, Csa05g081740, Csa16g027500
OG0003393	Sp5g13900.1	Csa06g021780, Csa09g048700, Csa04g031180
OG0003394	Sp3g01650.1	Csa15g002290, Csa01g002210, Csa19g004740
OG0003394	Sp6g27930.1	Csa13g019040, Csa08g008360, Csa20g023910
OG0003395	Sp5g07420.1	Csa09g065840
OG0003395	Sp5g07430.1	Csa09g065830
OG0003396	Sp1g12190.1	Csa14g016720, Csa17g019080, Csa03g017510
OG0003396	Sp2g14480.1	Csa06g004550, Csa09g006960, Csa04g009210
OG0003397	Sp2g23940.1	Csa13g027790, Csa08g017560, Csa20g038140
OG0003397	Sp6g34690.1	Csa20g011650, Csa13g010270, Csa13g010290
OG0003398	Sp7g11550.1, Sp7g11560.1	Csa10g033000, Csa12g061690, Csa00382s010, Csa00908s020
OG0003399	Sp1g14590.1	Csa17g022010, Csa14g020560, Csa03g020180
OG0003399	Sp5g34330.1	Csa07g058360, Csa16g048870, Csa09g093470
OG0003400	Sp6g39090.1	Csa13g003690, Csa08g060850, Csa20g003740
OG0003400	Sp4g18680.1	Csa06g039030
OG0003401	Sp1g15410.1	Csa14g021520, Csa03g021060, Csa17g022990
OG0003402	Sp7g10440.1	Csa00462s110, Csa11g043170, Csa12g081930, Csa16g016190, Csa12g065740
OG0003403	Sp6g28090.1	Csa08g008180, Csa20g023640, Csa13g018850
OG0003403	Sp3g01540.1	Csa15g002160, Csa01g002090
OG0003404	Sp3g25120.1	Csa19g036640, Csa10g038700, Csa12g069530, Csa11g044720, Csa01g038420, Csa19g040920, Csa15g060800, Csa10g036010
OG0003405	Sp7g17620.1	Csa10g025340, Csa12g042830, Csa11g028370, Csa10g025160
OG0003406	Sp7g02290.1	Csa11g055740, Csa10g046820, Csa12g081690
OG0003407	Sp5g01250.1	Csa16g002530, Csa17g095050, Csa05g094370, Csa07g002490
OG0003408	Sp6g28040.1	Csa02g045390, Csa11g084030, Csa18g023250, Csa13g018910, Csa20g023720, Csa08g008230
OG0003409	Sp4g26360.1	Csa05g005960, Csa06g050620, Csa04g062120
OG0003409	Sp4g26370.1	Csa05g005950, Csa06g050630, Csa04g062130
OG0003410	Sp1g15800.1	Csa17g023480, Csa14g022050, Csa03g021530
OG0003411	Sp3g00740.1	Csa01g001130, Csa15g001120, Csa19g003230
OG0003411	Sp6g29080.1	Csa13g017780, Csa20g021460
OG0003412	Sp6g29130.1	Csa08g007000, Csa20g021430, Csa13g017750
OG0003413	Sp3g18540.1	Csa01g023600, Csa15g030790, Csa19g028460
OG0003414	Sp2g28800.1	Csa11g102950, Csa18g039530
OG0003415	Sp1g41650.1, Sp7g07030.1	Csa01g017910, Csa01g017900, Csa15g019860, Csa15g019850, Csa19g022080
OG0003416	Sp1g12820.1	Csa03g018180, Csa17g019870, Csa14g017470
OG0003416	Sp2g13760.1	Csa06g002640, Csa04g008040, Csa09g004830
OG0003417	Sp3g09570.1	Csa19g015360
OG0003417	Sp6g37100.1	Csa13g007810, Csa20g008060, Csa08g058680
OG0003418	Sp4g03580.1	Csa09g088770, Csa07g054600, Csa16g046260
OG0003418	Sp7g29410.1	Csa10g010940
OG0003419	Sp3g31540.1	Csa19g057690
OG0003419	Sp7g33960.1	Csa11g005460, Csa10g004930
OG0003420	Sp1g39130.1	Csa17g092600
OG0003420	Sp3g14080.1	Csa01g018370, Csa15g020390
OG0003421	Sp5g17900.1	Csa06g019320
OG0003422	Sp2g06000.1	Csa17g099190, Csa17g099180, Csa07g027680, Csa05g063560
OG0003422	Sp1g08050.1	Csa17g012940, Csa14g010870, Csa03g012820
OG0003423	Sp5g00930.1	Csa05g094890, Csa07g002120, Csa16g002140
OG0003424	Sp7g14500.1	Csa12g053500, Csa10g029880
OG0003424	Sp7g14490.1	Csa11g034190, Csa10g029910, Csa12g053540
OG0003425	Sp3g20970.1	Csa19g033810, Csa15g044360
OG0003425	Sp7g12420.1	Csa12g057540, Csa11g038830, Csa10g032220
OG0003426	Sp4g13030.1, Sp4g13040.1	Csa07g012660, Csa16g014410, Csa05g032270
OG0003427	Sp4g13570.1	Csa05g030300, Csa16g012550, Csa05g030290, Csa07g011810, Csa16g012540
OG0003428	Sp7g33600.1	Csa10g006250, Csa11g005890
OG0003428	Sp3g31130.1	Csa15g076120, Csa01g031950, Csa19g054630
OG0003429	Sp1g40580.1	Csa17g094650
OG0003430	Sp6g29890.1, SpUn0049_0090.1	Csa13g016890
OG0003431	Sp4g14820.1	Csa05g024420, Csa16g008950, Csa07g010190
OG0003431	SpUn0024_0140.1, Sp1g04000.1	Csa03g006530, Csa14g006420, Csa17g008420
OG0003432	Sp1g20620.1	Csa17g030270
OG0003432	Sp6g30670.1	Csa20g018690, Csa08g005200, Csa13g015920
OG0003433	Sp6g16580.1	Csa18g025910, Csa11g087660, Csa02g055890, Csa11g087650, Csa02g055860, Csa18g025900, Csa11g012930, Csa12g016710, Csa10g012060
OG0003434	Sp1g14370.1	Csa14g020190, Csa03g019870, Csa17g021650
OG0003435	Sp6g26650.1	Csa20g025740, Csa08g009780, Csa13g020350
OG0003436	Sp6g23320.1	Csa20g033310
OG0003436	Sp4g08370.1	Csa16g051130, Csa05g043230
OG0003437	Sp3g22520.1	Csa15g051560, Csa19g036740
OG0003438	Sp1g17580.1	Csa17g025570, Csa03g023590, Csa14g025040
OG0003438	Sp5g30610.1	Csa09g080100, Csa07g046950, Csa16g039400
OG0003440	Sp3g16580.1	Csa15g025050, Csa19g025880, Csa01g021330
OG0003441	Sp7g35000.1, Sp7g35010.1	Csa12g004010
OG0003441	Sp7g34990.1	Csa11g004300, Csa12g004030
OG0003442	Sp2g04260.1	Csa05g046100, Csa07g061680, Csa16g052330
OG0003443	Sp2g22740.1	Csa13g030390, Csa08g020210
OG0003443	Sp5g12550.1	Csa06g023560, Csa04g035030, Csa09g052180
OG0003444	Sp1g33930.1, SpUn0058_0010.1	Csa05g094570, Csa16g002290, Csa07g002280, Csa07g038300, Csa07g038440, Csa09g072830, Csa16g034190, Csa07g038270, Csa09g072320
OG0003445	Sp5g13140.1, SpUn1526_0010.1	Csa09g014160, Csa09g064780, Csa09g064750, Csa04g041130
OG0003450	Sp1g10830.1	Csa07g063840, Csa03g015930, Csa14g015110, Csa17g016390
OG0003451	Sp5g25730.1	Csa09g071840
OG0003451	Sp1g20750.1	Csa17g030490, Csa14g030600
OG0003452	Sp1g28370.1	Csa17g051950, Csa14g042540, Csa03g036910
OG0003452	Sp4g17530.1	Csa05g018920, Csa06g037840, Csa04g047670
OG0003453	Sp6g08370.1	Csa02g022900, Csa08g035190, Csa13g043240
OG0003453	Sp1g30150.1	Csa17g063560, Csa03g038950, Csa14g046730
OG0003454	Sp5g24100.1	Csa07g035670, Csa16g030320, Csa05g085640
OG0003454	Sp5g24350.1	Csa16g030600, Csa07g035950
OG0003457	Sp6g09690.1	Csa02g024460, Csa08g034370, Csa13g041470
OG0003457	Sp1g33640.1	Csa17g071080, Csa03g047110, Csa14g049460
OG0003458	Sp1g09120.1	Csa17g014190, Csa14g012030
OG0003458	Sp5g04780.1	Csa06g033750, Csa04g044430
OG0003460	SpUn1768_0010.1, Sp3g06770.1	Csa01g008900, Csa01g008910, Csa19g011600, Csa19g011610, Csa15g009580
OG0003461	Sp3g05230.1, Sp6g25600.1	Csa01g007350, Csa13g021640, Csa19g009990, Csa15g007890, Csa20g027250, Csa20g027230
OG0003462	Sp4g09400.1	Csa16g050820, Csa05g044610
OG0003462	Sp1g38940.1, Sp1g41730.1	Csa09g028340
OG0003463	Sp4g00930.1	Csa16g043550
OG0003463	Sp7g36500.1	Csa11g002380
OG0003464	Sp2g10510.1	Csa11g066530
OG0003465	Sp7g37200.1	Csa12g001380, Csa11g001480, Csa10g001330
OG0003465	Sp5g23020.1	Csa05g083370, Csa16g028120, Csa07g033690
OG0003466	Sp3g15460.1	Csa19g024290
OG0003466	Sp1g35010.1	Csa03g051790, Csa14g051960
OG0003467	Sp1g09060.1	Csa14g011960
OG0003467	Sp2g04750.1	Csa16g017490, Csa05g049640
OG0003468	Sp5g07530.1	Csa06g029400, Csa09g064680, Csa04g041070
OG0003469	Sp3g12250.1	Csa01g016480, Csa17543s010
OG0003470	Sp5g15980.1	Csa09g039330, Csa06g019090
OG0003470	Sp6g21960.1	Csa02g067270
OG0003471	Sp2g23950.1	Csa20g038120, Csa13g027780, Csa08g017550
OG0003473	Sp6g02280.1	Csa08g052070, Csa02g005630, Csa13g054830, Csa20g012160, Csa13g010730, Csa08g055620
OG0003474	Sp4g29970.1	Csa04g068170, Csa02024s020
OG0003474	Sp5g00480.1	Csa05g095360, Csa07g001570, Csa17379s010, Csa16g001540
OG0003475	Sp3g25300.1	Csa19g041020, Csa15g060870, Csa01g038520
OG0003476	Sp4g18820.1	Csa04g050030
OG0003477	Sp1g23280.1	Csa14g034570
OG0003478	SpUn1164_0010.1, Sp1g17220.1, Sp1g17230.1	Csa14g024650, Csa17g025110
OG0003479	Sp6g32170.1	Csa20g016970, Csa08g002570, Csa13g014250
OG0003480	Sp2g01730.1	Csa07g064220
OG0003480	Sp1g10990.1	Csa14g015300
OG0003481	Sp5g13870.1	Csa06g021810
OG0003481	Sp5g30060.1	Csa09g079500, Csa16g038810
OG0003482	Sp5g21850.1	Csa05g079550
OG0003482	Sp7g03890.1	Csa10g043170, Csa12g086560
OG0003483	Sp1g36770.1	Csa17g085740, Csa14g057230, Csa03g055850
OG0003484	Sp2g20700.1	Csa20g055670, Csa13g036370
OG0003484	Sp3g04130.1	Csa15g006540, Csa19g007600, Csa01g006110
OG0003485	Sp5g29790.1	Csa07g046090
OG0003485	Sp6g28840.1	Csa08g007310, Csa13g018070, Csa20g021720
OG0003486	Sp3g29950.1	Csa15g073660, Csa19g053490
OG0003487	Sp4g29210.1	Csa05g001930, Csa04g066390, Csa06g053760
OG0003488	Sp4g13110.1	Csa16g014300, Csa26660s010, Csa11g051030
OG0003488	Sp1g05520.1	Csa16g014320
OG0003490	Sp6g36200.1	Csa20g008980, Csa08g057810
OG0003490	Sp3g10250.1	Csa01g013130, Csa15g015910
OG0003491	Sp7g28590.1	Csa12g016440, Csa11g012660, Csa10g011810
OG0003492	Sp1g24590.1	Csa14g035980, Csa03g031660, Csa17g039210, Csa05g021430, Csa16g007270, Csa07g007470
OG0003493	Sp1g20550.1	Csa14g030350, Csa03g026990, Csa17g030190
OG0003493	Sp5g26070.1	Csa09g072210, Csa07g037800, Csa16g032560
OG0003494	Sp3g20260.1	Csa19g031740, Csa01g025750, Csa15g038130, Csa15g038120, Csa01g025740, Csa19g031730
OG0003495	Sp3g11570.1	Csa19g018690, Csa01g015640
OG0003495	Sp1g41230.1	Csa14g067490
OG0003496	Sp6g27110.1	Csa08g009240, Csa13g019830, Csa20g024920, Csa13g019810, Csa08g009220
OG0003497	Sp5g11240.1	Csa06g025080, Csa09g057920, Csa04g036720, Csa11g104580
OG0003498	Sp7g27950.1	Csa15g079860, Csa01g042330, Csa15g079870, Csa19g056190, Csa03487s010, Csa11g013330, Csa10g012440, Csa12g017120
OG0003499	Sp1g41045.1	Csa17g095210, Csa14g066220, Csa03g061980
OG0003500	Sp1g35440.1	Csa17g079250, Csa03g053300
OG0003500	Sp3g15970.1	Csa15g024140, Csa19g025010
OG0003502	Sp5g32820.1	Csa05g003030, Csa06g052600, Csa04g065210
OG0003503	Sp7g33060.1	Csa10g006850, Csa11g006510, Csa12g008220
OG0003504	Sp5g05960.1	Csa09g068950, Csa06g031320, Csa04g043000
OG0003504	Sp4g23180.1	Csa05g011810, Csa06g045310, Csa04g055270
OG0003505	Sp1g27710.1	Csa03g036390, Csa17g050350, Csa14g041950
OG0003506	Sp3g33580.1	Csa16g027730, Csa19g048460, Csa15g082790, Csa01g044050, Csa15g082810
OG0003507	Sp3g30690.1	Csa15g075630, Csa19g054210
OG0003507	Sp7g33190.1	Csa12g008120, Csa11g006350, Csa10g006720
OG0003508	Sp4g18830.1, Sp4g18840.1	Csa05g017500, Csa06g039170, Csa04g050060, Csa09g087680
OG0003509	Sp5g06755.1	Csa04g042050
OG0003509	Sp5g06760.1	Csa09g067760
OG0003510	Sp1g22100.1	Csa17g034200
OG0003510	Sp6g15830.1	Csa02g051130, Csa18g024980, Csa11g085620
OG0003511	Sp1g41450.1, Sp1g41440.1	Csa14g067720, Csa03g062470, Csa17g095780
OG0003512	Sp1g05100.1	Csa14g007700, Csa03g009740
OG0003513	Sp3g32230.1, Sp7g32070.1	Csa06g005040, Csa09g008510, Csa04g009780, Csa01g042220, Csa15g079750, Csa19g056050, Csa04g009770
OG0003515	Sp7g32890.1	Csa11g017620, Csa11g006750, Csa12g008480, Csa11g006760
OG0003516	Sp6g18920.1	Csa02g061640
OG0003517	Sp6g20560.1	Csa02g064510, Csa18g032040, Csa11g092600
OG0003517	Sp5g14660.1	Csa04g029980, Csa06g020880, Csa09g045450
OG0003518	Sp5g30450.1	Csa07g046730, Csa09g079880, Csa07g046720, Csa09g079870
OG0003520	Sp4g21560.1, SpUn0018_0110.1	Csa06g043190, Csa04g053200
OG0003521	Sp6g20150.1	Csa11g092160, Csa10g040670, Csa12g074510, Csa11g050810
OG0003522	Sp4g01400.1, Sp4g01390.1	Csa16g044110, Csa09g086710, Csa07g052470
