Orthogroup	Thellungiella_parvula	Brassica_rapa
OG0000512	Sp5g27360.1	Bra016075, Bra016073
OG0000514	Sp7g25100.1	Bra010410, Bra019068
OG0000514	Sp6g16900.1	Bra029001
OG0000515	Sp2g19790.1, SpUn0021_0060.1	Bra036141
OG0000515	Sp3g05580.1, Sp3g05570.1	Bra001205
OG0000515	Sp3g05550.1	Bra029593, Bra040281
OG0000517	Sp6g35780.1, Sp4g20620.1, Sp3g30680.1	Bra020369, Bra005923, Bra028708
OG0000518	Sp7g04990.1, SpUn0312_0010.1, SpUn0321_0010.1, SpUn0312_0020.1, SpUn0887_0010.1, SpUn1264_0010.1, Sp2g11690.1	Bra024983, Bra024981, Bra024982, Bra024980
OG0000519	Sp1g29890.1	Bra028068, Bra034430
OG0000519	Sp5g33420.1	Bra008355, Bra003649, Bra035027
OG0000520	Sp6g20480.1	Bra002618
OG0000520	Sp4g08330.1	Bra033131
OG0000520	Sp6g20470.1	Bra020353
OG0000521	Sp5g04640.1, SpUn0003_0290.1	Bra014587
OG0000522	Sp6g08210.1	Bra000677
OG0000523	SpUn0001_0800.1, Sp7g10830.1	Bra005192
OG0000523	Sp5g19230.1	Bra015080
OG0000524	Sp4g29670.1	Bra000461, Bra021441
OG0000525	Sp5g09240.1	Bra019623, Bra019627, Bra033748, Bra014579
OG0000526	Sp1g17640.1	Bra016493, Bra025774
OG0000526	Sp6g32500.1	Bra028556, Bra008999
OG0000526	Sp5g30710.1	Bra008209, Bra015831
OG0000527	Sp4g22420.1	Bra017032
OG0000527	Sp5g06610.1	Bra007199, Bra003223
OG0000527	Sp3g09510.1	Bra034171, Bra034857, Bra001396
OG0000529	Sp1g38330.1	Bra018924, Bra030425
OG0000529	Sp1g15810.1	Bra025952, Bra016590, Bra031003
OG0000530	Sp3g23060.1	Bra015133
OG0000531	Sp4g11155.1	Bra027097
OG0000532	SpUn0014_0080.1, SpUn0077_0010.1, Sp2g06930.1	Bra033639
OG0000532	Sp5g30810.1	Bra015825, Bra008217
OG0000532	Sp1g17730.1	Bra025784, Bra016486
OG0000533	Sp6g11130.1	Bra037952, Bra000592
OG0000534	Sp2g22350.1	Bra020488, Bra020489
OG0000534	Sp2g22390.1	Bra020484, Bra009820
OG0000535	Sp7g24930.1	Bra010419
OG0000535	Sp3g24150.1	Bra019845
OG0000535	Sp7g33610.1	Bra011642, Bra010508
OG0000536	Sp4g12100.1	Bra039975, Bra039968
OG0000536	Sp4g12140.1, Sp4g12150.1	Bra018392, Bra018395
OG0000536	Sp2g30760.1	Bra031802
OG0000542	Sp6g30970.1	Bra008864, Bra023386
OG0000542	Sp3g27070.1	Bra037213
OG0000542	Sp4g14330.1	Bra005624
OG0000542	Sp1g04410.1	Bra015436
OG0000543	Sp1g25830.1	Bra032347
OG0000544	Sp7g27970.1	Bra024103, Bra011165
OG0000544	Sp3g32510.1	Bra038842, Bra024449
OG0000544	Sp7g27960.1	Bra024107, Bra011164
OG0000546	Sp4g10510.1, Sp4g10490.1	Bra000501, Bra034363, Bra012004
OG0000547	Sp7g27710.1	Bra024117, Bra011144
OG0000547	Sp6g18840.1	Bra035649, Bra002762
OG0000547	Sp3g19160.1	Bra031259, Bra023899
OG0000548	Sp3g31300.1	Bra040871, Bra002097
OG0000548	Sp5g07175.1, Sp5g07170.1	Bra014762, Bra014757, Bra014760, Bra014761
OG0000550	Sp5g23000.1	Bra033967, Bra033968, Bra004273
OG0000550	Sp1g23100.1	Bra010977, Bra039853, Bra012494
OG0000551	Sp3g16160.1	Bra022276
OG0000551	Sp1g16140.1	Bra031017, Bra016567, Bra025929
OG0000551	Sp5g28850.1	Bra003834
OG0000553	Sp3g04770.1	Bra041021
OG0000553	Sp3g04780.1	Bra040247
OG0000554	Sp2g12860.1	Bra026669
OG0000554	Sp1g20520.1	Bra016366, Bra012358
OG0000554	Sp5g26110.1	Bra016173
OG0000555	Sp6g33030.1	Bra006059
OG0000555	Sp2g28465.1	Bra024380, Bra037814, Bra024381
OG0000556	Sp3g03290.1, Sp4g15680.1, Sp1g03310.1	Bra040138, Bra015319, Bra032506, Bra030573
OG0000557	Sp4g13820.1	Bra022835, Bra018256, Bra013097, Bra018254
OG0000558	Sp6g04950.1	Bra018485
OG0000558	Sp7g20530.1	Bra020847
OG0000559	Sp1g21660.1	Bra016247
OG0000559	Sp2g04740.1	Bra027833
OG0000559	Sp1g09070.1	Bra019934, Bra031712
OG0000560	Sp5g21460.1	Bra001917, Bra039763, Bra004162
OG0000561	Sp1g18010.1	Bra012223, Bra025804
OG0000561	Sp5g31140.1	Bra015797
OG0000562	Sp6g28450.1	Bra008682
OG0000563	Sp6g23770.1	Bra002325
OG0000563	Sp1g27410.1, Sp1g27420.1	Bra018721, Bra003370, Bra021198, Bra003545, Bra015236, Bra003354, Bra030047, Bra003128
OG0000564	Sp2g21540.1	Bra036568, Bra009887
OG0000564	SpUn0007_0200.1, SpUn0127_0010.1	Bra034950
OG0000564	Sp6g23950.1	Bra020107, Bra002307
OG0000565	Sp7g31390.1	Bra011459, Bra036990
OG0000565	Sp4g14580.1, Sp4g14570.1	Bra005572, Bra021775
OG0000565	Sp1g04210.1	Bra015419
OG0000566	Sp5g02750.1	Bra014486, Bra014485, Bra014544
OG0000566	Sp5g02760.1	Bra007537
OG0000567	Sp2g08380.1	Bra033684
OG0000567	Sp1g28310.1	Bra023279, Bra010174
OG0000567	Sp1g03110.1	Bra032518, Bra030564, Bra015302
OG0000568	Sp2g04170.1	Bra031517, Bra027149
OG0000569	Sp3g19080.1	Bra040923
OG0000570	Sp5g25600.1	Bra003953, Bra016209, Bra016212, Bra016211, Bra007918
OG0000570	Sp2g18030.1	Bra025403
OG0000571	Sp5g27790.1	Bra008045
OG0000571	Sp1g40700.1	Bra030893, Bra014365
OG0000571	Sp3g12160.1	Bra021517, Bra027387, Bra001530
OG0000572	Sp4g04400.1	Bra000549, Bra007805
OG0000572	Sp7g29870.1	Bra011320, Bra023964
OG0000572	Sp2g02220.1	Bra019727
OG0000573	Sp1g25020.1, Sp1g25030.1	Bra040772
OG0000573	Sp1g25040.1	Bra030118
OG0000573	Sp4g16430.1	Bra005454, Bra021893
OG0000574	Sp5g33660.1	Bra035048
OG0000574	Sp1g40030.1	Bra038127, Bra039675
OG0000574	Sp3g13010.1	Bra027310, Bra021578
OG0000574	Sp1g15120.1	Bra026009
OG0000575	Sp1g16490.1	Bra016555, Bra031034, Bra025895
OG0000575	Sp5g29290.1, Sp6g12740.1	Bra008128
OG0000575	SpUn0834_0010.1	Bra015940
OG0000576	Sp3g10220.1	Bra038692, Bra034792, Bra034791, Bra034788, Bra034787
OG0000578	Sp3g05280.1	Bra020755
OG0000578	Sp2g20430.1	Bra036110, Bra009975, Bra020599
OG0000578	Sp3g03860.1	Bra039469
OG0000579	Sp3g27510.1	Bra005517, Bra013666, Bra005519
OG0000581	Sp6g05150.1	Bra018477
OG0000581	Sp1g10890.1	Bra026980
OG0000581	Sp2g01900.1	Bra027022, Bra036648
OG0000582	Sp4g25620.1	Bra037700
OG0000583	Sp2g21490.1	Bra020540, Bra020541, Bra009894, Bra009895, Bra036573
OG0000584	Sp7g09060.1	Bra034632, Bra032871, Bra032256
OG0000585	Sp5g28880.1	Bra003832, Bra015973
OG0000585	Sp6g14670.1	Bra028310, Bra028309, Bra022594
OG0000585	Sp4g16640.1	Bra005432
OG0000586	Sp1g08010.1	Bra030773, Bra030774
OG0000586	Sp6g27290.1	Bra008591
OG0000586	Sp5g31840.1	Bra008271
OG0000587	Sp6g21000.1, Sp6g21010.1	Bra006736
OG0000587	Sp6g20990.1	Bra029172, Bra020322, Bra020323
OG0000588	Sp6g01380.1	Bra008545
OG0000588	Sp1g01230.1	Bra033290, Bra032617
OG0000588	Sp1g01220.1	Bra032618
OG0000589	SpUn0165_0010.1, Sp4g21730.1	Bra017076, Bra000132
OG0000589	Sp4g21710.1	Bra017077
OG0000589	Sp5g07260.1	Bra007148
OG0000591	Sp7g17430.1	Bra014558, Bra012580, Bra013342, Bra025058
OG0000591	Sp5g04150.1, Sp2g10690.1	Bra021990
OG0000592	Sp1g06150.1	Bra015578, Bra031573
OG0000592	Sp5g14900.1	Bra018190
OG0000592	Sp6g20840.1	Bra020334, Bra002589
OG0000593	Sp7g20510.1	Bra018487, Bra013616, Bra000781
OG0000594	Sp2g16710.1	Bra025284
OG0000594	Sp3g00430.1	Bra039107
OG0000594	Sp6g29530.1	Bra008753, Bra023467, Bra006256
OG0000595	Sp5g28760.1	Bra003840, Bra003838
OG0000595	Sp3g16110.1	Bra022266
OG0000595	Sp1g35550.1	Bra018740
OG0000598	Sp7g28130.1	Bra011177
OG0000598	Sp6g19180.1	Bra006818, Bra002726
OG0000598	Sp7g23860.1	Bra013925, Bra019140
OG0000599	Sp3g29350.1	Bra001960
OG0000599	Sp2g16830.1	Bra039068, Bra033024
OG0000599	Sp7g32160.1	Bra011524
OG0000600	Sp3g11840.1	Bra021494
OG0000600	Sp7g17930.1	Bra020966, Bra012553
OG0000601	Sp1g28590.1	Bra035481
OG0000601	Sp6g16210.1	Bra022700, Bra003007, Bra029041
OG0000603	Sp1g18390.1	Bra022940, Bra016407
OG0000604	Sp5g26310.1	Bra003935, Bra007965, Bra007964, Bra016158
OG0000605	Sp4g20440.1	Bra017136, Bra005136, Bra000039
OG0000606	Sp1g18770.1	Bra025875
OG0000606	Sp1g18780.1	Bra016432, Bra012270
OG0000607	Sp1g28630.1	Bra040000, Bra040001, Bra035477
OG0000607	Sp1g28610.1	Bra040003
OG0000608	Sp4g26680.1	Bra037643
OG0000608	Sp5g03020.1	Bra007513, Bra014507
OG0000608	Sp1g13270.1	Bra026801, Bra016679
OG0000609	Sp7g18170.1	Bra020954
OG0000609	Sp2g10000.1	Bra021950, Bra025087
OG0000609	Sp7g18140.1	Bra031514, Bra013402
OG0000610	Sp6g35480.1	Bra009266
OG0000610	Sp7g23080.1	Bra019191, Bra019189
OG0000610	Sp6g13240.1	Bra029194
OG0000611	Sp1g34350.1	Bra040710, Bra040792
OG0000611	Sp1g34340.1	Bra040793, Bra040753, Bra032220
OG0000612	Sp5g30170.1	Bra015874
OG0000612	Sp5g30180.1	Bra008175, Bra015871
OG0000613	Sp2g21720.1	Bra020521, Bra020520
OG0000613	Sp2g21710.1	Bra020522
OG0000614	Sp3g20870.1	Bra023749, Bra014924
OG0000614	Sp1g03180.1	Bra032512, Bra015310
OG0000614	Sp2g08290.1	Bra027493
OG0000615	Sp7g04390.1	Bra028142
OG0000615	Sp5g12240.1	Bra012918
OG0000615	Sp2g29090.1	Bra024440, Bra037841
OG0000616	Sp2g12000.1	Bra024956, Bra017497, Bra022113
OG0000617	Sp1g31990.1	Bra034943
OG0000617	Sp1g18140.1	Bra025818
OG0000617	Sp5g31290.1	Bra008241, Bra015781
OG0000618	Sp5g20580.1	Bra004122
OG0000618	Sp7g05540.1	Bra028101
OG0000619	SpUn0005_0230.1, SpUn0035_0050.1	Bra038957
OG0000619	Sp1g13050.1	Bra016687, Bra016689
OG0000620	Sp3g08610.1	Bra029831
OG0000620	Sp5g09080.1	Bra006985, Bra003126
OG0000620	Sp4g19350.1	Bra017210
OG0000621	Sp5g33090.1	Bra003662
OG0000622	Sp3g03140.1	Bra001098, Bra006454, Bra040145, Bra040207
OG0000623	Sp6g35350.1	Bra028695, Bra009255, Bra016576, Bra009256
OG0000623	Sp6g35300.1	Bra028691, Bra028692
OG0000623	Sp6g35310.1	Bra005945
OG0000625	Sp4g14880.1	Bra021798, Bra021797, Bra021796
OG0000627	Sp5g33670.1	Bra008366, Bra035049
OG0000627	Sp3g28650.1	Bra026011
OG0000627	Sp7g25490.1	Bra019043
OG0000628	Sp7g18150.1	Bra020955
OG0000629	Sp7g13510.1	Bra038086
OG0000629	Sp7g13490.1	Bra012794, Bra039556
OG0000630	Sp2g24110.1	Bra013011, Bra013009
OG0000630	Sp6g02930.1	Bra018524
OG0000631	Sp6g01310.1	Bra037409, Bra000929
OG0000631	Sp1g01170.1	Bra030495, Bra033285, Bra032620
OG0000632	Sp3g03780.1	Bra039476, Bra039477
OG0000633	Sp3g01550.1	Bra040592, Bra001049
OG0000633	Sp7g03570.1	Bra028187, Bra028409
OG0000634	Sp4g20630.1	Bra005117, Bra017126
OG0000634	Sp6g40870.1	Bra009641, Bra005676
OG0000634	Sp3g07280.1	Bra029727
OG0000635	Sp7g23770.1	Bra025492
OG0000635	Sp6g14820.1	Bra003118, Bra029112
OG0000637	Sp7g06820.1	Bra018226, Bra022859, Bra021722, Bra021724, Bra022851
OG0000638	Sp2g03040.1	Bra031425
OG0000639	Sp7g32300.1	Bra034634
OG0000639	Sp3g29500.1	Bra037304, Bra001974
OG0000639	Sp1g17330.1	Bra031081, Bra025738
OG0000640	Sp2g02490.1	Bra034466
OG0000640	Sp6g04320.1	Bra029505
OG0000640	Sp7g20180.1	Bra013579, Bra019406
OG0000641	Sp5g21630.1	Bra019711
OG0000641	Sp5g21670.1	Bra004184, Bra004183, Bra004175
OG0000642	Sp4g29120.1	Bra004477
OG0000642	Sp4g29110.1	Bra007823
OG0000643	Sp4g12210.1	Bra039982
OG0000644	Sp4g03690.1	Bra032072
OG0000645	Sp6g30280.1	Bra006212
OG0000645	Sp6g30270.1	Bra008805, Bra008804, Bra006213
OG0000646	Sp2g20860.1	Bra036618, Bra020579, Bra009947
OG0000646	Sp5g08510.1	Bra014858, Bra003158, Bra007033
OG0000647	Sp2g09230.1	Bra033743
OG0000647	Sp2g09260.1	Bra027553
OG0000647	Sp2g09240.1	Bra006964
OG0000648	Sp2g17180.1	Bra025331, Bra025328, Bra039055, Bra027534
OG0000648	Sp2g17160.1	Bra025326, Bra033043
OG0000649	Sp6g18590.1	Bra006850, Bra035634
OG0000649	Sp5g09500.1	Bra019644
OG0000649	Sp7g24160.1	Bra019120, Bra013956
OG0000650	Sp7g11100.1	Bra040801
OG0000650	Sp3g22060.1	Bra015028, Bra028368
OG0000650	Sp3g22070.1	Bra001940
OG0000651	Sp5g29450.1	Bra007188
OG0000652	Sp4g21630.1, SpUn0018_0040.1	Bra017017
OG0000652	Sp4g21640.1, SpUn0018_0030.1	Bra000129, Bra005053
OG0000653	Sp6g00160.1, Sp5g02480.1	Bra003427, Bra014472, Bra007556
OG0000653	Sp4g27370.1	Bra004901, Bra040316
OG0000654	Sp5g02960.1	Bra014503, Bra007519, Bra003406
OG0000655	Sp3g14210.1	Bra001613, Bra021142
OG0000655	Sp6g34310.1	Bra028653
OG0000655	Sp5g35310.1	Bra003569
OG0000655	Sp1g14040.1	Bra026112, Bra026751
OG0000656	Sp5g09110.1	Bra006978
OG0000656	Sp6g39400.1	Bra005733
OG0000656	Sp3g08170.1	Bra001297, Bra034089, Bra029795
OG0000657	Sp5g08640.1	Bra003155
OG0000658	Sp7g17420.1	Bra012581, Bra013341, Bra020994
OG0000658	Sp4g13470.1	Bra021685
OG0000659	Sp3g20410.1	Bra001876
OG0000659	Sp6g23470.1	Bra001829, Bra005858, Bra034111, Bra034113
OG0000660	SpUn0024_0040.1, Sp1g04100.1	Bra032476, Bra032475, Bra030607, Bra030606
OG0000660	SpUn0024_0030.1, Sp1g04110.1, SpUn0024_0050.1, Sp1g04090.1	Bra015403, Bra015402, Bra032477
OG0000665	Sp7g36580.1	Bra011869, Bra010693
OG0000665	Sp4g00820.1	Bra031210
OG0000665	Sp3g29450.1	Bra001972
OG0000666	Sp4g25990.1	Bra000333
OG0000666	Sp4g14110.1	Bra005638
OG0000666	Sp1g04480.1	Bra015445, Bra030617, Bra032456
OG0000668	Sp6g29400.1	Bra006263
OG0000668	Sp3g04700.1	Bra040251, Bra001169, Bra039407
OG0000668	Sp2g21230.1	Bra036593, Bra009916
OG0000670	Sp6g07730.1, Sp1g29290.1	Bra037884
OG0000671	Sp5g07090.1	Bra007157, Bra003210, Bra014751
OG0000671	Sp6g20970.1	Bra020324
OG0000672	Sp5g14760.1	Bra031320, Bra031319, Bra033915, Bra031318, Bra029094, Bra031316, Bra023854, Bra023855
OG0000673	Sp6g39030.1	Bra009517
OG0000673	Sp5g09400.1	Bra019639, Bra006960
OG0000673	Sp4g18760.1	Bra028543
OG0000674	Sp2g20970.1	Bra036611, Bra009940
OG0000674	Sp3g04470.1	Bra039423, Bra001156, Bra040533
OG0000675	Sp7g31010.1, Sp5g22460.1	Bra037011
OG0000677	Sp2g17520.1	Bra039041
OG0000677	Sp1g21890.1	Bra003991, Bra007871, Bra016295
OG0000678	Sp6g06460.1	Bra031660, Bra035261, Bra028115
OG0000680	Sp7g01740.1	Bra030338
OG0000680	Sp7g01720.1	Bra028451, Bra030337
OG0000680	Sp7g01710.1	Bra028452
OG0000681	Sp5g35770.1	Bra003542
OG0000681	Sp3g14330.1	Bra038070, Bra019286, Bra021150
OG0000681	Sp1g38970.1	Bra030388
OG0000682	Sp7g33420.1	Bra010527
OG0000682	Sp7g33040.1	Bra011599, Bra020810
OG0000682	Sp3g30470.1	Bra002023
OG0000683	Sp6g22350.1	Bra002453
OG0000684	Sp5g21580.1	Bra016872, Bra004698, Bra004697, Bra004695, Bra004696
OG0000685	Sp2g17270.1	Bra033051, Bra025340, Bra039053
OG0000686	Sp4g28880.1	Bra004502, Bra040479
OG0000686	Sp6g01430.1	Bra037416, Bra008551
OG0000686	Sp1g01260.1	Bra033292
OG0000688	SpUn0325_0010.1	Bra039555
OG0000689	Sp1g26020.1	Bra032364
OG0000689	Sp7g15660.1	Bra013303
OG0000689	Sp2g11030.1	Bra022022, Bra025034
OG0000690	Sp4g12620.1	Bra022775
OG0000690	Sp1g05900.1	Bra015554, Bra030675, Bra031555
OG0000691	Sp1g08940.1	Bra018444, Bra018445
OG0000692	Sp6g26680.1	Bra006412
OG0000693	Sp4g16220.1	Bra022956, Bra005469
OG0000693	Sp2g09130.1	Bra036020
OG0000694	Sp3g20540.1	Bra023798
OG0000697	Sp3g13550.1	Bra021101, Bra027257
OG0000698	Sp2g01570.1	Bra036635, Bra027004
OG0000698	Sp6g05640.1	Bra014869
OG0000698	Sp7g21080.1	Bra013668
OG0000699	SpUn0033_0030.1, Sp1g15520.1	Bra030985
OG0000699	Sp1g40520.1	Bra037962, Bra030908
OG0000700	Sp4g16060.1	Bra022951, Bra005477
OG0000700	Sp7g10240.1	Bra008374
OG0000702	Sp3g17100.1	Bra022377
OG0000702	Sp3g17110.1	Bra022378
OG0000704	Sp5g08080.1	Bra007065
OG0000704	Sp4g20750.1	Bra017118
OG0000704	Sp4g20755.1	Bra000062
OG0000705	Sp6g00650.1	Bra000965, Bra008527, Bra037351
OG0000705	Sp4g27880.1	Bra039312
OG0000705	Sp5g02130.1	Bra007587, Bra003442
OG0000706	Sp6g38150.1	Bra005811
OG0000706	Sp3g08850.1	Bra009437
OG0000706	Sp3g08860.1	Bra029852
OG0000707	Sp1g18320.1	Bra016459, Bra012238, Bra025832
OG0000707	Sp1g18330.1	Bra012239, Bra025833
OG0000707	Sp7g32860.1	Bra017693, Bra034674, Bra011584
OG0000708	Sp1g01700.1	Bra032589
OG0000708	Sp6g02030.1	Bra030163
OG0000708	Sp5g00850.1	Bra041026, Bra003504
OG0000709	Sp5g05340.1	Bra007313, Bra007314, Bra007315
OG0000709	Sp5g05350.1	Bra003273
OG0000710	Sp6g01220.1	Bra037404
OG0000710	SpUn0899_0010.1	Bra031583, Bra029645, Bra031593
OG0000711	Sp4g13910.1	Bra021731
OG0000713	Sp6g04820.1	Bra029475
OG0000713	Sp7g05340.1	Bra028111
OG0000714	Sp7g27350.1	Bra024144, Bra011116, Bra010326
OG0000714	Sp7g24210.1	Bra010437
OG0000715	Sp1g26950.1	Bra038410
OG0000715	Sp4g17330.1	Bra005370
OG0000716	Sp7g35890.1	Bra011819
OG0000716	Sp7g31250.1	Bra011449
OG0000716	Sp1g19890.1	Bra016381, Bra031389
OG0000717	Sp3g14430.1	Bra027192
OG0000717	Sp1g38830.1	Bra030393
OG0000718	Sp7g25120.1, Sp7g25110.1	Bra026373, Bra026375, Bra026374, Bra026372, Bra006444, Bra038483, Bra010409, Bra019067
OG0000719	Sp2g23880.1	Bra013029
OG0000719	Sp3g17960.1	Bra038245, Bra038243
OG0000719	Sp1g37150.1	Bra018841, Bra039642
OG0000720	Sp4g26200.1	Bra004806, Bra037665
OG0000720	Sp2g12700.1	Bra024895, Bra014334, Bra017461
OG0000721	Sp4g22320.1	Bra000159
OG0000721	Sp3g07580.1	Bra029752, Bra034055, Bra001324
OG0000722	Sp5g15530.1	Bra019477
OG0000722	Sp5g15540.1	Bra018225
OG0000722	Sp6g21500.1	Bra006692, Bra006691, Bra002528, Bra020284
OG0000723	Sp6g18440.1, Sp7g27260.1, Sp3g33080.1	Bra035628, Bra031096
OG0000724	Sp6g27080.1	Bra008577
OG0000725	Sp3g10030.1, Sp3g10040.1	Bra034809
OG0000726	Sp5g33610.1	Bra035043
OG0000727	Sp5g25620.1	Bra013554
OG0000728	Sp6g22810.1	Bra020193, Bra002411
OG0000728	Sp4g10330.1	Bra012012, Bra034356
OG0000729	Sp4g00570.1	Bra031186
OG0000730	Sp4g28130.1	Bra039292, Bra004959
OG0000730	Sp6g00790.1	Bra000955
OG0000731	Sp5g02910.1	Bra007523, Bra014497
OG0000731	Sp4g26930.1	Bra000365
OG0000732	Sp7g09670.1	Bra017379
OG0000732	Sp7g09630.1	Bra032679
OG0000732	Sp7g09680.1	Bra034904
OG0000733	Sp1g27310.1	Bra017984
OG0000734	Sp6g30450.1	Bra008817
OG0000734	Sp4g21660.1, SpUn0018_0010.1	Bra005049, Bra005051, Bra005048
OG0000735	Sp7g02540.1	Bra028245
OG0000735	Sp2g17770.1	Bra025379, Bra033085, Bra033088
OG0000735	Sp3g01020.1	Bra039146, Bra001022
OG0000736	Sp7g34710.1	Bra017799, Bra011732
OG0000737	Sp5g15480.1	Bra018010
OG0000738	Sp5g04200.1	Bra003348
OG0000738	Sp3g04640.1	Bra039412
OG0000738	Sp2g21130.1	Bra036598, Bra020563
OG0000739	SpUn0138_0020.1	Bra026918, Bra016737
OG0000740	Sp5g29320.1	Bra015938, Bra015936
OG0000740	Sp2g03700.1	Bra027117
OG0000740	Sp2g03720.1	Bra027118
OG0000740	Sp2g05340.1	Bra027880
OG0000746	Sp4g16750.1, Sp1g25840.1	Bra010805
OG0000746	Sp3g12870.1	Bra001559
OG0000749	Sp2g03000.1	Bra038589, Bra031423
OG0000749	SpUn1572_0010.1	Bra035298, Bra027986, Bra024986, Bra024985
OG0000750	Sp4g11610.1	Bra011928, Bra035672
OG0000750	Sp6g20960.1	Bra006722
OG0000751	Sp3g20020.1, Sp7g13160.1	Bra001857, Bra031339, Bra036919, Bra023843, Bra037080, Bra039703
OG0000752	Sp4g12750.1	Bra018333
OG0000752	Sp4g12740.1, Sp4g12730.1	Bra022781, Bra018334
OG0000753	Sp1g21785.1	Bra016303, Bra024666
OG0000753	Sp1g21780.1	Bra012432
OG0000754	Sp7g15100.1	Bra038482
OG0000755	Sp2g30480.1	Bra012058, Bra037181
OG0000755	Sp7g33850.1	Bra017746
OG0000755	SpUn0281_0010.1, SpUn0190_0010.1	Bra024487
OG0000756	Sp3g31200.1	Bra002092
OG0000756	Sp5g10920.1	Bra036818
OG0000756	Sp5g30990.1	Bra015806
OG0000757	Sp4g11960.1, Sp4g11970.1, Sp4g12000.1	Bra039965
OG0000758	Sp7g24270.1	Bra026449, Bra019115, Bra010435
OG0000759	Sp1g25250.1	Bra032303
OG0000759	Sp4g16530.1	Bra022969, Bra005441
OG0000760	Sp6g36620.1	Bra005887
OG0000760	Sp6g38030.1	Bra005820, Bra009431, Bra028778
OG0000761	Sp6g00330.1	Bra008515
OG0000761	Sp1g00400.1	Bra033225
OG0000761	Sp6g05620.1	Bra014871
OG0000762	Sp1g40780.1	Bra037980
OG0000762	Sp3g12010.1	Bra027397, Bra021508
OG0000762	Sp3g12000.1	Bra027398
OG0000763	Sp6g18320.1	Bra002809
OG0000763	Sp1g41040.1	Bra030866
OG0000763	Sp3g11720.1	Bra027426
OG0000764	Sp2g09850.1, Sp2g09860.1	Bra027586, Bra025095
OG0000766	Sp2g03050.1	Bra027082, Bra038585
OG0000766	Sp1g09960.1	Bra031763, Bra019869
OG0000767	Sp1g20540.1	Bra024563
OG0000767	Sp1g13370.1	Bra026789, Bra016677
OG0000768	Sp7g21370.1	Bra013693, Bra019301
OG0000768	Sp2g00860.1	Bra027663
OG0000768	Sp7g00560.1	Bra025501
OG0000769	Sp1g40230.1	Bra039686
OG0000769	Sp6g17900.1	Bra035600
OG0000770	Sp2g10650.1, Sp2g10630.1	Bra025059
OG0000770	Sp2g10660.1	Bra011322, Bra011278, Bra011277, Bra011323
OG0000771	Sp4g24740.1	Bra004710, Bra016866
OG0000771	Sp1g39890.1	Bra030945
OG0000771	Sp3g13150.1	Bra001575, Bra027293
OG0000772	Sp1g15100.1	Bra016622
OG0000772	Sp1g39950.1	Bra038123
OG0000773	Sp5g01210.1	Bra003491, Bra007665, Bra014410
OG0000773	Sp4g29030.1	Bra040474, Bra004481, Bra000438
OG0000774	Sp6g22490.1	Bra002439
OG0000774	Sp6g22480.1	Bra006640
OG0000774	Sp5g16300.1	Bra019463
OG0000775	Sp5g14540.1	Bra019500, Bra018160
OG0000775	Sp2g28090.1	Bra024345
OG0000775	Sp6g33170.1	Bra006053
OG0000776	Sp3g22760.1	Bra039403
OG0000776	Sp3g22770.1	Bra012569, Bra015112
OG0000777	Sp2g03010.1	Bra015081
OG0000777	Sp2g03030.1	Bra038592, Bra040715
OG0000779	Sp5g06800.1	Bra003218, Bra004278, Bra007182, Bra030761
OG0000780	Sp5g16470.1	Bra019421
OG0000780	Sp3g33860.1	Bra040559, Bra014982, Bra031133
OG0000783	Sp3g28410.1	Bra039832
OG0000783	Sp4g02220.1	Bra039186
OG0000783	Sp7g35050.1	Bra041046
OG0000786	Sp6g32720.1	Bra009009, Bra028571
OG0000786	Sp2g17290.1	Bra039050
OG0000786	Sp3g29073.1	Bra025626
OG0000787	Sp1g02820.1	Bra015282
OG0000787	Sp3g33650.1	Bra031119, Bra036678, Bra036471
OG0000788	Sp2g05160.1	Bra027863
OG0000788	Sp4g01850.1, SpUn0042_0010.1	Bra030198
OG0000788	Sp7g35410.1	Bra011783
OG0000789	Sp7g02680.1	Bra030353
OG0000789	Sp7g02700.1	Bra028232
OG0000790	Sp3g13940.1	Bra027224, Bra027223, Bra021123
OG0000791	Sp6g35180.1	Bra009305
OG0000791	Sp1g16670.1	Bra025677
OG0000791	Sp5g29540.1	Bra003804, Bra015915
OG0000792	Sp6g06770.1	Bra035284
OG0000793	Sp2g16640.1	Bra039077
OG0000793	Sp6g17870.1	Bra002854
OG0000793	Sp7g24470.1	Bra026427
OG0000793	Sp1g41380.1	Bra030832
OG0000794	Sp2g19160.1	Bra007431, Bra007443
OG0000795	Sp1g26240.1	Bra014879
OG0000795	Sp4g16940.1	Bra005402
OG0000795	Sp1g26230.1	Bra032385, Bra010773
OG0000796	Sp2g27700.1	Bra002149, Bra034569
OG0000796	Sp6g33640.1	Bra028619, Bra009400, Bra009401, Bra028617, Bra006031
OG0000797	Sp3g16560.1	Bra022323
OG0000797	Sp1g35940.1	Bra018774
OG0000798	Sp2g00330.1	Bra027700
OG0000798	Sp6g06430.1	Bra035259, Bra033159
OG0000798	Sp7g21800.1	Bra013735
OG0000799	Sp6g03760.1	Bra036232
OG0000799	Sp6g02990.1	Bra034606, Bra029569
OG0000799	Sp6g03000.1	Bra036231, Bra000852, Bra000851
OG0000799	Sp6g03010.1	Bra036230
OG0000800	Sp2g08590.1	Bra033696
OG0000800	Sp7g12780.1	Bra036882
OG0000800	Sp3g20590.1, SpUn0119_0010.1	Bra033901, Bra001891
