Orthogroup	Thellungiella_parvula	Tarenaya_hassleriana
OG0003725	Sp7g03970.1, Sp5g21700.1	Th2v05313, Th2v06293, Th2v14994
OG0003728	Sp5g12950.1, Sp2g23320.1	Th2v23917
OG0003729	Sp2g15070.1	Th2v00199, Th2v28553
OG0003730	SpUn0033_0050.1, Sp1g15500.1	Th2v23697, Th2v10024, Th2v23277
OG0003731	Sp2g25590.1, Sp5g14420.1	Th2v24013, Th2v13967, Th2v13964
OG0003732	Sp7g01290.1	Th2v00302
OG0003733	Sp2g26280.1, Sp5g13710.1	Th2v26809, Th2v30180
OG0003734	Sp7g19350.1, Sp6g03800.1	Th2v04358, Th2v16658
OG0003735	Sp6g02310.1, Sp4g24640.1	Th2v05163, Th2v30111
OG0003736	Sp5g05180.1, Sp4g24040.1	Th2v13183, Th2v25826
OG0003737	Sp6g15760.1, Sp6g15750.1	Th2v09685, Th2v26966
OG0003738	Sp1g06980.1, Sp4g10230.1	Th2v08380, Th2v24486
OG0003739	Sp4g20510.1	Th2v16989
OG0003740	Sp6g33730.1	Th2v13692, Th2v24198
OG0003742	Sp5g13300.1, Sp2g26650.1	Th2v14077
OG0003743	Sp7g15740.1, Sp2g11070.1	Th2v16527, Th2v27238
OG0003744	Sp5g29490.1, Sp1g16650.1	Th2v21002
OG0003745	Sp5g15840.1	Th2v18827
OG0003746	Sp3g02080.1, Sp6g27220.1	Th2v09110, Th2v18575, Th2v22978
OG0003747	SpUn0400_0010.1, SpUn0831_0010.1	Th2v01064
OG0003749	Sp7g05890.1, Sp5g19950.1	Th2v05237, Th2v06259, Th2v14960
OG0003750	Sp3g07320.1, Sp6g40750.1	Th2v14504, Th2v19892
OG0003752	Sp5g24560.1, Sp1g22070.1	Th2v03993
OG0003753	Sp2g20120.1	Th2v25391
OG0003753	Sp3g03470.1	Th2v17675
OG0003754	Sp4g29050.1, Sp5g01170.1	Th2v07253, Th2v27556
OG0003755	Sp2g00260.1	Th2v06076, Th2v14785
OG0003756	Sp4g26000.1, Sp4g26010.1	Th2v25998
OG0003757	Sp6g40810.1, Sp3g07330.1	Th2v08972
OG0003758	Sp6g01340.1, Sp6g00780.1	Th2v16409, Th2v19806, Th2v01938, Th2v28569
OG0003759	Sp6g20340.1, Sp5g14550.1	Th2v17793
OG0003761	Sp2g20140.1	Th2v09187, Th2v17671
OG0003762	Sp4g21540.1, SpUn0018_0130.1	Th2v03535, Th2v22282
OG0003764	Sp7g24970.1	Th2v21624
OG0003765	Sp1g02150.1, Sp6g02800.1	Th2v16251, Th2v27029
OG0003766	Sp5g24770.1, Sp1g21930.1	Th2v25017, Th2v25631
OG0003767	Sp3g08550.1, Sp6g38590.1	Th2v20094
OG0003768	Sp2g27490.1	Th2v11807
OG0003769	Sp6g10570.1, Sp1g34230.1	Th2v16439, Th2v01239
OG0003770	SpUn0039_0010.1, Sp6g12550.1, SpUn0015_0090.1, Sp7g22870.1	Th2v09400
OG0003771	Sp1g23950.1, Sp2g07910.1	Th2v10328
OG0003772	Sp4g00530.1, Sp7g36790.1	Th2v03255
OG0003773	Sp7g30270.1, Sp4g05080.1	Th2v11125
OG0003774	Sp6g22960.1	Th2v17948
OG0003775	Sp3g02370.1	Th2v22935
OG0003776	Sp1g08800.1	Th2v01428, Th2v27829
OG0003777	Sp1g35080.1, Sp5g06880.1	Th2v22350, Th2v22352
OG0003778	Sp5g24700.1, Sp1g22000.1	Th2v24956, Th2v25623
OG0003779	Sp3g30290.1	Th2v02898, Th2v12123
OG0003780	Sp6g28490.1, Sp3g01270.1	Th2v24651
OG0003781	Sp2g23720.1, Sp6g34530.1	Th2v11846, Th2v13787
OG0003782	Sp5g35260.1	Th2v10206, Th2v23403
OG0003783	Sp1g11750.1, Sp2g14930.1	Th2v28565
OG0003784	Sp2g01110.1	Th2v06043, Th2v14752
OG0003786	Sp2g22550.1	Th2v17453, Th2v21386
OG0003787	Sp6g39510.1	Th2v05228
OG0003788	Sp5g26130.1, Sp1g20500.1	Th2v04055
OG0003789	Sp1g29670.1	Th2v10937, Th2v17148
OG0003790	Sp3g09940.1	Th2v02144, Th2v12433
OG0003791	Sp3g23410.1, Sp7g06500.1	Th2v25213, Th2v19635, Th2v08551
OG0003792	Sp5g21530.1	Th2v00530, Th2v05296
OG0003793	Sp7g13310.1	Th2v19317
OG0003794	Sp1g40340.1	Th2v00922, Th2v23715
OG0003795	Sp5g03110.1, Sp4g26410.1	Th2v13140
OG0003796	Sp1g32060.1, Sp4g16010.1	Th2v11012, Th2v29619, Th2v30829
OG0003798	Sp3g30980.1, Sp6g29260.1	Th2v24706
OG0003799	Sp5g33040.1	Th2v27983
OG0003800	Sp7g31320.1, Sp7g31330.1	Th2v02696
OG0003801	Sp2g07640.1, SpUn0117_0010.1	Th2v10315, Th2v01229, Th2v29077
OG0003802	Sp4g08390.1	Th2v24465, Th2v07732, Th2v15569
OG0003803	Sp5g21410.1, Sp3g08460.1	Th2v20083
OG0003804	Sp2g28340.1, Sp6g33140.1	Th2v13620
OG0003805	Sp3g16460.1, Sp1g35730.1	Th2v22043
OG0003806	Sp6g15150.1	Th2v26949, Th2v28369
OG0003807	Sp3g02930.1	Th2v18518
OG0003809	SpUn0005_0160.1, Sp6g22770.1	Th2v05259
OG0003810	Sp4g02150.1, Sp4g02160.1	Th2v12328
OG0003811	Sp7g29960.1	Th2v30071, Th2v29959, Th2v31461
OG0003812	Sp2g02820.1	Th2v20640
OG0003814	Sp7g23680.1, Sp6g14700.1	Th2v09751, Th2v28957
OG0003815	Sp2g11000.1	Th2v27246, Th2v07394, Th2v10683, Th2v16531
OG0003816	Sp2g21370.1	Th2v11260
OG0003817	Sp3g14140.1	Th2v23840, Th2v27323
OG0003818	Sp3g11670.1	Th2v23638, Th2v00990, Th2v26155
OG0003819	Sp6g35060.1	Th2v24082
OG0003820	Sp1g13850.1, Sp5g35530.1	Th2v10234, Th2v23427
OG0003821	Sp6g00500.1	Th2v16456, Th2v29279
OG0003822	Sp3g03660.1	Th2v11139
OG0003823	Sp3g14870.1, Sp5g21070.1	Th2v26253
OG0003824	Sp2g01330.1, Sp5g20200.1	Th2v00614
OG0003825	Sp3g18380.1, Sp1g37510.1	Th2v21805
OG0003826	Sp5g15820.1, Sp6g22650.1	Th2v18882, Th2v17920, Th2v21224
OG0003827	Sp4g23110.1, Sp5g06050.1	Th2v28404
OG0003829	Sp6g23520.1	Th2v17980, Th2v18959
OG0003830	Sp4g16130.1, Sp1g24450.1	Th2v01285, Th2v26474
OG0003831	Sp6g36130.1, Sp6g36140.1	Th2v17708
OG0003832	Sp6g02060.1	Th2v07914
OG0003833	Sp3g29550.1, Sp7g32310.1	Th2v02827, Th2v12077
OG0003834	Sp1g29080.1	Th2v04667, Th2v17118
OG0003835	Sp4g26280.1	Th2v30770, Th2v30725, Th2v30856
OG0003836	Sp5g23170.1, Sp1g22990.1	Th2v03938
OG0003837	Sp2g19730.1, SpUn0021_0120.1, Sp3g05660.1	Th2v09004, Th2v11376, Th2v18375
OG0003838	Sp1g15720.1, Sp5g27870.1	Th2v05946, Th2v21067
OG0003840	Sp4g24010.1, Sp5g05190.1	Th2v03462, Th2v06811, Th2v15509
OG0003841	Sp6g31450.1	Th2v17558, Th2v19213
OG0003843	Sp6g18180.1	Th2v05531, Th2v09515
OG0003844	Sp1g18430.1	Th2v04111
OG0003846	Sp4g18210.1, Sp5g09830.1	Th2v31459
OG0003847	Sp1g06370.1	Th2v10474, Th2v15866
OG0003848	Sp7g29770.1, Sp4g04200.1	Th2v02061
OG0003849	Sp2g30430.1	Th2v11657, Th2v14156, Th2v26730
OG0003850	Sp6g20350.1	Th2v18709
OG0003851	Sp1g13130.1, Sp2g13310.1	Th2v00051
OG0003852	Sp6g13660.1, Sp6g13650.1	Th2v23501
OG0003854	Sp4g20030.1	Th2v16945
OG0003854	Sp6g40220.1	Th2v08937, Th2v19965
OG0003855	Sp2g24160.1	Th2v13831, Th2v24108
OG0003856	Sp1g23190.1	Th2v28265
OG0003857	Sp4g01360.1, Sp7g35980.1	Th2v02352
OG0003858	Sp4g15540.1, Sp1g03440.1	Th2v16077
OG0003859	Sp1g21750.1, Sp5g24960.1	Th2v24996, Th2v25648
OG0003860	Sp2g25250.1, Sp6g35660.1	Th2v24024
OG0003861	Sp4g19200.1	Th2v06229, Th2v14930
OG0003863	Sp6g33280.1, Sp2g28180.1	Th2v13637, Th2v24239, Th2v29352
OG0003864	Sp2g03490.1, Sp1g09750.1	Th2v20693
OG0003865	Sp5g09340.1, Sp3g23730.1	Th2v19629
OG0003866	Sp7g16880.1	Th2v27222
OG0003867	Sp1g36190.1	Th2v23468, Th2v30341
OG0003870	Sp1g16000.1	Th2v17439
OG0003870	Sp4g03990.1	Th2v30613
OG0003871	Sp5g22640.1, Sp1g23400.1	Th2v03903
OG0003872	Sp5g16000.1, Sp6g22000.1	Th2v18838, Th2v17883, Th2v21248
OG0003873	Sp4g15590.1, Sp1g03410.1	Th2v08065
OG0003874	Sp7g27680.1	Th2v01685, Th2v12472
OG0003876	Sp1g16250.1	Th2v09939
OG0003877	Sp2g09090.1, Sp1g02640.1	Th2v16184
OG0003878	Sp3g24290.1	Th2v08538, Th2v19655, Th2v25201
OG0003879	Sp4g17120.1, Sp1g26530.1	Th2v01403, Th2v27864
OG0003881	Sp1g41220.1	Th2v23629
OG0003882	Sp7g25300.1, Sp6g16320.1	Th2v09639, Th2v28305
OG0003883	Sp4g26860.1, Sp4g26850.1, Sp3g06510.1	Th2v18304
OG0003888	Sp2g23270.1	Th2v14110, Th2v26781
OG0003889	Sp4g22930.1	Th2v28386
OG0003889	Sp4g22920.1	Th2v06743, Th2v15442
OG0003890	Sp5g01750.1	Th2v07192, Th2v12912, Th2v22607
OG0003890	Sp6g01010.1	Th2v24538, Th2v16389
OG0003898	Sp3g06130.1, Sp2g19080.1	Th2v24806
OG0003899	Sp6g34610.1	Th2v13798
OG0003900	Sp7g00400.1, SpUn0768_0010.1	Th2v04833
OG0003901	Sp3g20910.1, Sp7g12460.1	Th2v19418
OG0003905	Sp7g19760.1	Th2v04386, Th2v10779
OG0003906	Sp3g11290.1	Th2v01016, Th2v23601, Th2v26194
OG0003908	Sp1g20380.1, Sp5g26420.1	Th2v25586
OG0003909	Sp5g30690.1	Th2v03260, Th2v04068, Th2v05836, Th2v20932
OG0003911	Sp1g13230.1	Th2v00040
OG0003912	Sp2g21160.1	Th2v04023, Th2v25031
OG0003913	Sp3g16210.1	Th2v10004
OG0003914	Sp4g19710.1, Sp5g08790.1	Th2v03671, Th2v14617, Th2v16972
OG0003917	Sp2g18210.1, SpUn1356_0010.1	Th2v00457
OG0003918	Sp4g22750.1, Sp5g06310.1	Th2v06732, Th2v15428, Th2v22435
OG0003919	Sp4g05960.1, Sp7g30770.1	Th2v01950, Th2v17583
OG0003920	Sp4g13460.1	Th2v10489, Th2v15878
OG0003921	Sp5g35840.1, Sp7g19260.1	Th2v09734
OG0003922	Sp6g21930.1	Th2v18835
OG0003925	Sp4g17550.1, Sp1g28410.1	Th2v10559, Th2v10560
OG0003926	Sp5g09440.1	Th2v30315
OG0003927	Sp2g28660.1	Th2v11509, Th2v31054
OG0003928	Sp5g02150.1	Th2v12862, Th2v22556, Th2v12861, Th2v22555
OG0003929	Sp7g29760.1	Th2v11935, Th2v11936, Th2v01913, Th2v01914
OG0003930	Sp7g15670.1, Sp2g11050.1	Th2v16529
OG0003931	Sp1g37010.1, Sp3g17770.1	Th2v08455
OG0003932	Sp7g18380.1	Th2v04270
OG0003934	Sp3g04260.1, Sp3g03980.1, Sp3g04000.1	Th2v18471
OG0003935	Sp7g34120.1, Sp3g31610.1	Th2v02428, Th2v12231
OG0003936	Sp5g03260.1, Sp4g26170.1	Th2v06953
OG0003937	Sp2g05620.1, Sp1g08470.1	Th2v24327
OG0003938	SpUn0004_0010.1, Sp1g07610.1	Th2v00780, Th2v06188, Th2v14892
OG0003939	Sp4g26040.1	Th2v06945, Th2v13384, Th2v26000
OG0003940	Sp3g13220.1, Sp1g39810.1	Th2v00885
OG0003941	Sp3g32070.1	Th2v03049
OG0003942	Sp5g07220.1	Th2v22313, Th2v31429
OG0003943	Sp6g17940.1	Th2v09496
OG0003944	Sp2g02370.1, Sp2g02360.1	Th2v20612
OG0003945	Sp5g31110.1, Sp1g17970.1	Th2v28112
OG0003947	Sp1g17450.1	Th2v12549
OG0003948	Sp2g07680.1	Th2v29082
OG0003949	Sp3g05590.1, Sp3g05560.1, Sp2g19780.1, SpUn0021_0070.1	Th2v11367
OG0003950	Sp7g26010.1, Sp6g19500.1	Th2v21766
OG0003951	Sp2g21460.1, Sp3g04880.1	Th2v18427, Th2v11264, Th2v24629
OG0003953	Sp4g09710.1, SpUn0100_0010.1, SpUn0012_0120.1, SpUn0518_0010.1	Th2v17974, Th2v08421, Th2v07719, Th2v15581
OG0003954	Sp4g05920.1	Th2v20072
OG0003955	Sp7g18180.1	Th2v16601
OG0003956	Sp7g32390.1	Th2v12085
OG0003958	Sp6g14530.1, Sp7g23600.1	Th2v09767
OG0003960	Sp6g12760.1, Sp7g22920.1	Th2v31408
OG0003961	Sp2g09220.1	Th2v05154
OG0003962	Sp6g09410.1, Sp6g09370.1	Th2v04773, Th2v17173
OG0003963	Sp2g22110.1	Th2v21440
OG0003963	Sp4g04910.1	Th2v01886
OG0003964	Sp4g18990.1	Th2v11083, Th2v22372
OG0003965	Sp5g13290.1, Sp2g26660.1	Th2v23934
OG0003966	Sp4g17920.1	Th2v29198
OG0003967	Sp7g31930.1	Th2v02569, Th2v12034
OG0003968	Sp5g23650.1	Th2v24854
OG0003969	Sp1g25330.1	Th2v01333, Th2v10385, Th2v26543
OG0003972	Sp1g11680.1	Th2v20364
OG0003974	Sp7g02440.1, Sp7g02430.1	Th2v00405
OG0003975	Sp1g41270.1, SpUn0748_0010.1, Sp3g11550.1	Th2v23625, Th2v26159
OG0003976	Sp7g34010.1	Th2v02435
OG0003977	Sp4g27830.1, Sp5g02190.1	Th2v12856, Th2v22550
OG0003978	Sp5g34420.1	Th2v10130
OG0003979	Sp6g13610.1, Sp7g23250.1	Th2v23496, Th2v26871
OG0003980	Sp2g01210.1, Sp6g06720.1	Th2v20413, Th2v27234, Th2v27235
OG0003981	Sp7g19530.1	Th2v24545, Th2v16662, Th2v16663
OG0003983	Sp1g09370.1, Sp2g03900.1	Th2v04989
OG0003984	Sp4g23130.1, Sp5g06070.1	Th2v28403
OG0003985	Sp3g13520.1	Th2v23788, Th2v27373, Th2v22017
OG0003986	Sp5g03550.1	Th2v06924
OG0003987	Sp7g36850.1, Sp7g36840.1	Th2v03261
OG0003988	Sp6g39350.1	Th2v08833, Th2v20034
OG0003989	Sp7g11570.1	Th2v19489, Th2v28795
OG0003990	Sp1g14200.1, Sp6g02240.1	Th2v16293
OG0003991	Sp4g14620.1, Sp1g03480.1	Th2v16074
OG0003992	Sp1g07860.1, Sp2g06360.1	Th2v06178, Th2v14882
OG0003993	Sp3g29800.1, Sp3g29780.1, Sp3g29790.1	Th2v02807
OG0003994	Sp1g07540.1	Th2v00759, Th2v05133, Th2v05134, Th2v00755, Th2v00758, Th2v25426
OG0003996	Sp7g28100.1	Th2v01726, Th2v02138
OG0003997	Sp7g21050.1, Sp6g05610.1	Th2v04508, Th2v16752
OG0003998	Sp4g03800.1	Th2v01830
OG0003999	Sp7g00890.1	Th2v21456, Th2v21451, Th2v21460, Th2v10791
OG0004000	Sp3g15270.1	Th2v26303, Th2v27668
OG0004001	Sp4g01490.1	Th2v03169, Th2v12724
OG0004002	Sp7g14920.1, Sp7g14930.1	Th2v29511
OG0004004	Sp6g16370.1	Th2v05459
OG0004005	Sp3g03540.1, Sp2g20090.1	Th2v17678, Th2v25393
OG0004006	Sp7g33370.1	Th2v02472, Th2v02937
OG0004007	Sp5g00570.1	Th2v07326, Th2v13060, Th2v22767
OG0004008	Sp4g13550.1	Th2v01155, Th2v15895
OG0004009	Sp7g34630.1	Th2v12277
OG0004010	Sp2g03400.1, Sp2g03390.1	Th2v04970
OG0004011	Sp1g38190.1, Sp3g19070.1	Th2v29095
OG0004013	Sp6g33930.1, Sp7g31270.1	Th2v02675
OG0004015	Sp4g21340.1	Th2v03547, Th2v06630, Th2v15329, Th2v29162
OG0004016	Sp7g18320.1	Th2v16603
OG0004017	Sp6g03560.1	Th2v16191
OG0004017	Sp6g03980.1	Th2v04349
OG0004018	Sp6g30070.1, Sp2g18980.1	Th2v24742
OG0004019	Sp7g23380.1, Sp6g13850.1	Th2v09320
OG0004020	Sp4g20960.1, Sp5g08220.1	Th2v03760
OG0004021	Sp2g12170.1	Th2v10620, Th2v17088
OG0004022	Sp7g26530.1, Sp3g33660.1	Th2v02240, Th2v12530
OG0004024	Sp3g04400.1, Sp2g20920.1	Th2v11210, Th2v18455
OG0004025	Sp6g25400.1, Sp3g05120.1	Th2v24646
OG0004026	Sp6g13550.1	Th2v09337
OG0004027	Sp4g18220.1, Sp1g00680.1	Th2v16417
OG0004028	Sp4g12320.1	Th2v07490, Th2v15782
OG0004029	Sp6g21770.1	Th2v17876, Th2v21262
OG0004031	Sp1g36290.1, Sp3g17040.1	Th2v29547, Th2v29975
OG0004032	Sp6g17320.1, Sp7g24670.1	Th2v21653
OG0004033	Sp2g13600.1	Th2v00076
OG0004034	Sp1g25690.1	Th2v10394
OG0004035	Sp6g21180.1, Sp6g21190.1	Th2v17838
OG0004036	Sp6g02190.1, Sp6g02200.1	Th2v07927
OG0004037	Sp1g36930.1	Th2v19106
OG0004038	Sp3g16980.1, Sp1g36240.1	Th2v29133, Th2v30397
OG0004039	Sp4g18090.1	Th2v03598
OG0004040	Sp2g05750.1, Sp2g06290.1, Sp2g05530.1	Th2v24392, Th2v24402
OG0004041	Sp1g06570.1	Th2v08310, Th2v07590, Th2v15699
OG0004042	Sp1g35640.1, Sp3g16310.1	Th2v26363, Th2v27747
OG0004043	Sp5g34553.1	Th2v05645
OG0004044	Sp6g15670.1, Sp7g25670.1	Th2v28353
OG0004045	Sp6g41030.1, Sp3g07250.1	Th2v08981, Th2v14516, Th2v19873
OG0004046	Sp6g07570.1, Sp5g29520.1	Th2v09869
OG0004047	Sp6g21110.1, Sp5g15110.1	Th2v18772
OG0004048	Sp7g25950.1, Sp6g15000.1	Th2v26922, Th2v28961
OG0004049	Sp7g16860.1, Sp6g24000.1	Th2v18999
OG0004050	Sp7g24710.1, Sp6g17210.1	Th2v21650
OG0004051	Sp2g13050.1, Sp1g13340.1	Th2v00028
OG0004052	SpUn1318_0010.1, SpUn0921_0020.1, Sp4g25280.1	Th2v06903, Th2v13313, Th2v25946
OG0004053	Sp5g06220.1	Th2v28377, Th2v06739, Th2v15438, Th2v25145
OG0004054	Sp7g25850.1	Th2v28371
OG0004055	Sp7g13880.1	Th2v18230, Th2v26242
OG0004056	Sp5g04820.1, Sp4g24390.1	Th2v06829, Th2v15527, Th2v13220, Th2v13219, Th2v25857
OG0004057	Sp2g17650.1, Sp7g02310.1	Th2v05370
OG0004059	Sp5g03580.1, Sp4g25580.1	Th2v03341, Th2v06922
OG0004060	Sp1g01760.1	Th2v07924, Th2v16299
OG0004061	Sp2g12870.1	Th2v00018, Th2v25732
OG0004062	Sp5g35330.1	Th2v23409
OG0004064	Sp3g10740.1	Th2v22035, Th2v08664, Th2v11621
OG0004065	Sp4g26290.1	Th2v13160, Th2v07123, Th2v18057, Th2v07122, Th2v31292
OG0004066	Sp6g34770.1	Th2v24109
OG0004067	Sp3g00050.1	Th2v23209
OG0004068	Sp5g31330.1	Th2v05794, Th2v20888
OG0004068	Sp1g18170.1	Th2v04097
OG0004069	Sp5g18650.1, Sp6g23700.1	Th2v17996, Th2v18973
OG0004070	Sp5g33310.1	Th2v04208
OG0004071	Sp3g12540.1	Th2v23709, Th2v23710
OG0004072	Sp1g19020.1, Sp5g32270.1	Th2v05723, Th2v20811
OG0004073	Sp7g37210.1, Sp4g00140.1	Th2v12601, Th2v03297, Th2v29390
OG0004074	Sp4g26340.1, Sp5g31310.1, SpUn0523_0010.1	Th2v28129
OG0004075	Sp7g18220.1, Sp3g16220.1	Th2v25555
OG0004076	Sp2g08530.1	Th2v16124
OG0004080	Sp6g22660.1	Th2v17922
OG0004082	Sp5g04260.1	Th2v06864, Th2v13265, Th2v25899
OG0004083	Sp7g22340.1	Th2v28602
OG0004084	Sp3g20230.1	Th2v19344
OG0004084	Sp7g13020.1	Th2v05139
OG0004085	Sp1g20650.1, Sp5g25910.1, Sp5g26100.1	Th2v25720
OG0004086	Sp3g05010.1	Th2v11302, Th2v24635
OG0004087	Sp2g30550.1, Sp5g10960.1	Th2v11650, Th2v13437
OG0004088	Sp3g30110.1	Th2v02517, Th2v02793
OG0004090	Sp6g38380.1	Th2v20114
OG0004091	Sp1g35170.1, Sp1g35150.1	Th2v25534
OG0004092	Sp1g26680.1	Th2v01399
OG0004093	Sp1g17980.1, Sp5g31120.1	Th2v11054, Th2v04089, Th2v28115
OG0004094	Sp3g14400.1	Th2v23859, Th2v27308
OG0004095	Sp7g13300.1, Sp1g24320.1	Th2v01278, Th2v10343
OG0004096	Sp1g22840.1, Sp5g23490.1	Th2v03957, Th2v29883
OG0004097	Sp4g20600.1, Sp5g10500.1	Th2v14563, Th2v16994
OG0004098	Sp6g17680.1	Th2v08692, Th2v17718, Th2v17719, Th2v17720
OG0004099	Sp1g40220.1, Sp7g00900.1	Th2v23728
OG0004105	Sp5g35070.1, Sp1g14160.1	Th2v10187, Th2v23396
OG0004115	Sp4g13750.1	Th2v08182, Th2v15913
OG0004116	Sp5g29100.1	Th2v05906, Th2v21017
OG0004117	Sp3g00440.1	Th2v06513, Th2v15211
OG0004118	Sp4g27690.1, Sp5g02260.1	Th2v07147
OG0004119	Sp2g01470.1, Sp1g11300.1	Th2v04874, Th2v20536
OG0004120	Sp6g38790.1	Th2v20079, Th2v14428, Th2v22256
OG0004121	Sp6g06780.1	Th2v04609
OG0004122	Sp1g14750.1	Th2v05659, Th2v23328
OG0004123	Sp5g29470.1	Th2v09871
OG0004124	Sp1g27720.1	Th2v10542, Th2v27780
OG0004126	Sp3g10770.1	Th2v08603
OG0004127	Sp4g25920.1, Sp5g03310.1	Th2v06942
OG0004128	Sp2g20350.1, Sp3g03920.1	Th2v11150
OG0004129	Sp7g36910.1, Sp4g00460.1	Th2v02306, Th2v12571
OG0004130	Sp1g23520.1	Th2v03881, Th2v31454, Th2v29798, Th2v31247
OG0004131	Sp6g20690.1	Th2v17814, Th2v18738
OG0004133	Sp1g21350.1	Th2v25029
OG0004134	Sp3g01150.1	Th2v18613, Th2v23087
OG0004135	Sp1g19460.1	Th2v28002, Th2v04148, Th2v31407
OG0004136	Sp1g34920.1	Th2v26317, Th2v27652
OG0004144	Sp4g17130.1, Sp1g26520.1	Th2v01402, Th2v10506
OG0004146	Sp3g06950.1	Th2v08611
OG0004147	Sp5g00290.1, Sp2g21620.1	Th2v13097, Th2v22805
OG0004148	Sp5g24250.1, Sp7g27800.1	Th2v24914
OG0004149	Sp5g13930.1	Th2v14019
OG0004150	Sp1g31520.1	Th2v04780
OG0004151	Sp2g21870.1, Sp2g21880.1	Th2v17624
OG0004152	Sp3g00670.1	Th2v03837, Th2v28842
OG0004153	Sp5g22720.1, Sp7g08320.1	Th2v30443
OG0004155	Sp2g30160.1	Th2v13456
OG0004156	Sp5g01760.1	Th2v12909, Th2v22604
OG0004157	Sp6g03240.1	Th2v27041
OG0004157	Sp1g02440.1	Th2v07979
OG0004160	Sp2g15910.1, Sp1g11430.1	Th2v00252
OG0004161	Sp3g20990.1, Sp7g12410.1	Th2v19425
OG0004162	Sp5g16580.1	Th2v18891
OG0004163	Sp2g05180.1, Sp6g17550.1	Th2v09460
OG0004164	SpUn0863_0010.1, Sp3g10300.1, Sp6g31430.1	Th2v17559
OG0004166	Sp5g10720.1	Th2v26766
OG0004167	Sp5g10300.1	Th2v13106, Th2v22814
OG0004168	Sp2g04650.1	Th2v24257
OG0004169	Sp1g08120.1	Th2v05081, Th2v24348
OG0004170	SpUn0027_0080.1, Sp3g22600.1	Th2v25288, Th2v25379
OG0004171	Sp1g02450.1, Sp6g03370.1	Th2v07983
OG0004172	Sp7g22670.1	Th2v28649, Th2v26796, Th2v30765, Th2v30763, Th2v20373, Th2v30031, Th2v30030
OG0004173	Sp6g36500.1	Th2v14334, Th2v22159
OG0004174	Sp1g25390.1	Th2v26556
OG0004175	Sp5g32730.1	Th2v04152, Th2v28010
OG0004176	Sp7g13890.1, Sp3g19500.1	Th2v18229
OG0004177	Sp1g23390.1	Th2v28228
OG0004178	Sp2g27140.1	Th2v13736
OG0004180	Sp5g09660.1	Th2v03617, Th2v03656
OG0004181	Sp3g17630.1, Sp1g36790.1	Th2v25089, Th2v29427
OG0004183	Sp2g29580.1	Th2v11720, Th2v13507
OG0004186	Sp3g12760.1	Th2v23734, Th2v26064, Th2v00908
OG0004188	Sp2g28740.1	Th2v13582, Th2v30238, Th2v31190, Th2v31347
OG0004189	Sp3g22780.1	Th2v25275, Th2v25276, Th2v25277
OG0004190	Sp5g04960.1	Th2v06824, Th2v15522, Th2v03472, Th2v13202, Th2v25843
OG0004191	Sp2g27720.1	Th2v13678, Th2v24211
OG0004192	Sp6g02290.1	Th2v07933
OG0004193	Sp2g20810.1	Th2v18459
OG0004194	Sp2g23540.1	Th2v14084
OG0004195	Sp5g01510.1, Sp4g28660.1	Th2v12944, Th2v22641, Th2v07215, Th2v26983
OG0004196	Sp6g18820.1	Th2v05553, Th2v09562
OG0004196	Sp7g29340.1	Th2v29411
OG0004198	Sp3g13420.1	Th2v00878, Th2v23782, Th2v27379
OG0004199	Sp7g32120.1	Th2v02845
OG0004200	Sp3g24720.1	Th2v08521, Th2v19672
OG0004201	Sp3g14380.1	Th2v21940
OG0004202	Sp1g37640.1, Sp3g18550.1	Th2v29099
OG0004203	Sp5g31020.1, Sp2g21120.1	Th2v28101
OG0004204	Sp5g00210.1	Th2v14284, Th2v22108, Th2v25765
OG0004204	Sp5g00200.1	Th2v25766
OG0004205	Sp5g05200.1	Th2v06810, Th2v15508, Th2v13181, Th2v25824
OG0004206	Sp3g06170.1, Sp1g35110.1	Th2v11444
OG0004207	Sp4g14010.1	Th2v15936
OG0004208	Sp7g14300.1, Sp3g14920.1	Th2v26295, Th2v27676, Th2v25502
OG0004210	Sp6g32070.1	Th2v17621, Th2v21194
OG0004211	Sp3g08640.1	Th2v06639, Th2v15338, Th2v08819, Th2v20105
OG0004213	Sp5g02430.1	Th2v07044, Th2v18128, Th2v12834, Th2v22522
OG0004214	Sp5g02720.1	Th2v17534, Th2v19186
OG0004215	Sp7g14820.1, Sp3g15340.1	Th2v26312, Th2v27658
OG0004216	Sp1g11130.1	Th2v20550
OG0004217	Sp5g07240.1	Th2v06658, Th2v15357, Th2v22316
OG0004218	Sp6g22580.1	Th2v21226, Th2v17917, Th2v18876
OG0004219	Sp4g27240.1, SpUn0031_0080.1	Th2v07059, Th2v18114, Th2v12817, Th2v22506
OG0004220	Sp4g28280.1	Th2v07185
OG0004221	Sp7g03030.1, Sp2g18130.1	Th2v05334, Th2v06319, Th2v15017, Th2v00445
OG0004222	Sp7g00300.1	Th2v20460
OG0004224	Sp7g28040.1	Th2v01715, Th2v02147
OG0004225	Sp1g11000.1	Th2v20559
OG0004226	Sp4g10090.1	Th2v08392
OG0004227	Sp3g04660.1	Th2v06177, Th2v14881, Th2v11243
OG0004228	Sp1g36040.1, Sp3g16510.1	Th2v26381, Th2v27726
OG0004229	Sp7g02270.1, Sp2g17550.1	Th2v05374
OG0004230	Sp1g34930.1	Th2v25527
OG0004231	Sp1g23210.1	Th2v03918, Th2v28259
OG0004232	Sp1g38320.1	Th2v30909
