Orthogroup	Thellungiella_parvula	Eutrema_salsugineum
OG0001520	Sp5g27180.1	EUTSA_v10018482mg
OG0001520	Sp5g27170.1	EUTSA_v10018486mg, EUTSA_v10018487mg
OG0001521	Sp7g35390.1	EUTSA_v10024915mg
OG0001521	Sp4g01880.1, SpUn0042_0030.1	EUTSA_v10000124mg
OG0001522	Sp3g33400.1	EUTSA_v10001964mg
OG0001522	Sp7g26940.1	EUTSA_v10024708mg
OG0001523	Sp4g03390.1	EUTSA_v10018783mg
OG0001524	Sp1g37460.1	EUTSA_v10011689mg
OG0001524	Sp3g18340.1	EUTSA_v10021393mg
OG0001525	Sp5g24630.1	EUTSA_v10019188mg
OG0001525	Sp5g24640.1	EUTSA_v10018913mg
OG0001527	Sp3g32880.1	EUTSA_v10023158mg
OG0001527	Sp7g27520.1	EUTSA_v10024918mg
OG0001528	Sp6g26440.1	EUTSA_v10015651mg
OG0001528	Sp3g02640.1	EUTSA_v10022222mg
OG0001529	Sp2g18100.1	EUTSA_v10004156mg
OG0001529	Sp7g02910.1	EUTSA_v10027742mg
OG0001530	Sp7g11070.1	EUTSA_v10026896mg
OG0001530	Sp3g22080.1	EUTSA_v10002634mg
OG0001531	Sp2g04050.1	EUTSA_v10023651mg
OG0001531	Sp1g09520.1	EUTSA_v10008502mg
OG0001532	Sp6g37810.1, Sp7g10590.1	EUTSA_v10013430mg
OG0001532	Sp3g09060.1	EUTSA_v10020697mg
OG0001533	Sp3g12300.1	EUTSA_v10021772mg
OG0001533	Sp1g40570.1	EUTSA_v10011868mg
OG0001534	Sp7g24100.1, Sp6g00090.1	EUTSA_v10025224mg
OG0001534	Sp6g18770.1	EUTSA_v10013611mg
OG0001535	Sp1g17300.1	EUTSA_v10008308mg
OG0001535	Sp5g30330.1	EUTSA_v10018884mg
OG0001536	Sp6g15180.1	EUTSA_v10014570mg
OG0001536	Sp7g25790.1	EUTSA_v10027290mg
OG0001537	Sp1g05490.1	EUTSA_v10008471mg
OG0001537	Sp4g13160.1	EUTSA_v10017069mg
OG0001539	Sp3g01240.1	EUTSA_v10020925mg
OG0001539	Sp6g28520.1	EUTSA_v10013825mg
OG0001540	Sp4g04360.1	EUTSA_v10000364mg
OG0001540	Sp7g29830.1	EUTSA_v10025671mg
OG0001541	Sp1g41170.1	EUTSA_v10011977mg
OG0001541	Sp3g11600.1	EUTSA_v10021153mg
OG0001542	Sp7g34340.1	EUTSA_v10027579mg, EUTSA_v10017741mg
OG0001542	Sp7g16020.1, Sp3g31980.1	EUTSA_v10023199mg
OG0001543	Sp5g15520.1	EUTSA_v10002648mg
OG0001543	Sp6g21450.1	EUTSA_v10014524mg
OG0001544	Sp6g05380.1	EUTSA_v10028497mg
OG0001544	Sp1g10960.1	EUTSA_v10007001mg
OG0001545	Sp5g04320.1	EUTSA_v10005849mg
OG0001545	Sp5g04300.1	EUTSA_v10017643mg, EUTSA_v10005848mg
OG0001546	Sp7g28850.1	EUTSA_v10025656mg
OG0001546	Sp4g03250.1	EUTSA_v10000220mg
OG0001547	Sp6g39740.1	EUTSA_v10014025mg
OG0001547	Sp3g07950.1	EUTSA_v10021220mg
OG0001548	Sp7g23650.1	EUTSA_v10025027mg
OG0001548	Sp6g14650.1	EUTSA_v10013563mg
OG0001550	Sp5g24880.1	EUTSA_v10019695mg
OG0001550	Sp1g21860.1	EUTSA_v10008900mg
OG0001551	Sp3g00750.1	EUTSA_v10026915mg
OG0001553	Sp1g35210.1	EUTSA_v10011509mg
OG0001553	Sp3g15670.1	EUTSA_v10020722mg
OG0001554	Sp5g27800.1	EUTSA_v10018950mg
OG0001554	Sp1g15660.1	EUTSA_v10008387mg
OG0001555	Sp3g11580.1	EUTSA_v10020433mg
OG0001556	Sp1g41760.1	EUTSA_v10011387mg
OG0001556	Sp2g17860.1	EUTSA_v10004082mg
OG0001556	Sp3g11000.1	EUTSA_v10020558mg
OG0001557	Sp6g13790.1	EUTSA_v10015827mg, EUTSA_v10029438mg
OG0001558	Sp2g07870.1	EUTSA_v10003331mg
OG0001559	SpUn0602_0010.1	EUTSA_v10011676mg
OG0001559	Sp3g13750.1	EUTSA_v10021174mg
OG0001560	SpUn0131_0010.1	EUTSA_v10000378mg
OG0001560	Sp7g35820.1	EUTSA_v10027263mg
OG0001560	Sp3g12740.1	EUTSA_v10021836mg
OG0001561	Sp5g14640.1	EUTSA_v10012105mg, EUTSA_v10012129mg
OG0001562	SpUn1948_0010.1	EUTSA_v10029082mg
OG0001564	Sp7g16420.1	EUTSA_v10027032mg
OG0001564	Sp7g16000.1	EUTSA_v10026758mg, EUTSA_v10002741mg
OG0001565	Sp6g04890.1	EUTSA_v10029394mg
OG0001567	Sp5g25500.1	EUTSA_v10018979mg
OG0001567	Sp1g21110.1	EUTSA_v10008273mg
OG0001568	Sp6g27010.1	EUTSA_v10014654mg
OG0001568	Sp3g02230.1	EUTSA_v10021507mg
OG0001569	Sp5g27830.1	EUTSA_v10018441mg
OG0001569	Sp1g15690.1	EUTSA_v10007386mg
OG0001570	Sp4g23600.1	EUTSA_v10016720mg
OG0001570	Sp5g05560.1	EUTSA_v10006039mg, EUTSA_v10005873mg
OG0001571	Sp5g26300.1	EUTSA_v10019247mg
OG0001571	Sp1g20440.1	EUTSA_v10008928mg
OG0001572	Sp4g22760.1	EUTSA_v10016652mg
OG0001572	Sp5g06300.1	EUTSA_v10005990mg
OG0001573	Sp7g15220.1	EUTSA_v10027002mg
OG0001573	Sp4g17980.1	EUTSA_v10016563mg
OG0001574	Sp6g37380.1	EUTSA_v10012879mg
OG0001574	Sp3g09370.1	EUTSA_v10020200mg
OG0001575	Sp1g05850.1, Sp1g09440.1	EUTSA_v10009896mg
OG0001576	Sp6g22430.1, Sp6g22420.1	EUTSA_v10013304mg, EUTSA_v10013297mg, EUTSA_v10015901mg
OG0001576	Sp5g16250.1	EUTSA_v10002473mg
OG0001577	Sp6g27660.1	EUTSA_v10012825mg
OG0001577	Sp3g01840.1	EUTSA_v10020274mg
OG0001578	Sp5g15210.1	EUTSA_v10003012mg
OG0001579	Sp7g12580.1	EUTSA_v10025252mg
OG0001579	Sp3g20760.1	EUTSA_v10020751mg
OG0001580	Sp1g20780.1	EUTSA_v10007569mg
OG0001580	Sp1g09580.1	EUTSA_v10007563mg
OG0001581	Sp2g12030.1	EUTSA_v10000931mg
OG0001581	Sp7g16670.1	EUTSA_v10027543mg
OG0001582	Sp7g03100.1	EUTSA_v10027729mg
OG0001583	Sp6g04340.1	EUTSA_v10000498mg
OG0001584	Sp6g27770.1	EUTSA_v10014778mg
OG0001584	Sp3g01760.1	EUTSA_v10021615mg
OG0001585	Sp3g09580.1	EUTSA_v10021195mg
OG0001585	Sp6g37080.1	EUTSA_v10014183mg
OG0001586	Sp4g27940.1	EUTSA_v10001467mg
OG0001586	Sp5g02060.1	EUTSA_v10006010mg
OG0001587	Sp5g30780.1	EUTSA_v10018397mg
OG0001587	Sp1g17720.1	EUTSA_v10007364mg
OG0001589	Sp5g30510.1	EUTSA_v10018296mg
OG0001589	Sp1g17490.1	EUTSA_v10007470mg
OG0001590	Sp3g28400.1	EUTSA_v10022834mg
OG0001590	Sp4g17460.1	EUTSA_v10017195mg
OG0001591	Sp4g15510.1	EUTSA_v10016427mg, EUTSA_v10016425mg
OG0001592	Sp5g28870.1	EUTSA_v10018665mg
OG0001592	Sp1g16070.1	EUTSA_v10007847mg
OG0001593	Sp2g26060.1	EUTSA_v10004962mg
OG0001593	Sp5g13920.1	EUTSA_v10010754mg
OG0001594	Sp4g13840.1	EUTSA_v10016982mg
OG0001594	Sp1g04890.1	EUTSA_v10008299mg
OG0001595	Sp1g09990.1	EUTSA_v10006812mg
OG0001595	Sp1g10060.1	EUTSA_v10006766mg
OG0001596	Sp1g41310.1	EUTSA_v10011487mg
OG0001596	Sp3g11520.1	EUTSA_v10020742mg
OG0001597	Sp1g02810.1	EUTSA_v10007644mg
OG0001597	Sp2g08890.1	EUTSA_v10003194mg
OG0001597	Sp2g08900.1	EUTSA_v10003193mg
OG0001598	Sp5g07310.1	EUTSA_v10010159mg
OG0001598	Sp5g07290.1	EUTSA_v10010975mg
OG0001599	Sp5g01110.1	EUTSA_v10005815mg
OG0001599	Sp4g29140.1	EUTSA_v10001337mg
OG0001600	Sp5g13690.1	EUTSA_v10010463mg
OG0001600	Sp2g26290.1	EUTSA_v10004447mg
OG0001601	Sp2g23990.1	EUTSA_v10004348mg
OG0001601	Sp6g34740.1	EUTSA_v10013674mg
OG0001603	Sp2g03970.1	EUTSA_v10023468mg
OG0001603	Sp1g09430.1	EUTSA_v10007700mg
OG0001604	Sp1g01890.1	EUTSA_v10006579mg
OG0001604	Sp6g02380.1	EUTSA_v10028366mg
OG0001605	Sp6g25990.1	EUTSA_v10015380mg
OG0001606	Sp5g19920.1	EUTSA_v10018479mg
OG0001606	Sp7g05910.1	EUTSA_v10004115mg
OG0001608	Sp3g21560.1, Sp3g21570.1	EUTSA_v10002536mg
OG0001608	Sp7g11670.1	EUTSA_v10025273mg
OG0001609	Sp6g36520.1	EUTSA_v10015955mg
OG0001609	Sp3g09890.1	EUTSA_v10021920mg
OG0001610	Sp3g32600.1	EUTSA_v10022541mg
OG0001610	Sp7g27790.1	EUTSA_v10024418mg
OG0001611	Sp6g05570.1	EUTSA_v10028629mg
OG0001611	Sp7g20980.1	EUTSA_v10025096mg
OG0001612	Sp7g24740.1	EUTSA_v10024776mg
OG0001612	Sp6g17160.1	EUTSA_v10013064mg
OG0001613	Sp1g21700.1	EUTSA_v10007235mg
OG0001613	Sp5g24980.1	EUTSA_v10018285mg
OG0001614	Sp7g33160.1	EUTSA_v10027098mg
OG0001614	Sp7g17610.1	EUTSA_v10024971mg
OG0001615	Sp5g13330.1	EUTSA_v10010651mg
OG0001615	Sp2g26590.1	EUTSA_v10004812mg
OG0001616	Sp2g13060.1	EUTSA_v10004939mg
OG0001616	Sp1g13330.1	EUTSA_v10008807mg
OG0001617	Sp3g12640.1	EUTSA_v10020162mg
OG0001617	Sp1g40260.1	EUTSA_v10011271mg
OG0001618	Sp5g31760.1	EUTSA_v10019067mg
OG0001618	Sp1g18700.1	EUTSA_v10008598mg
OG0001619	Sp2g16760.1	EUTSA_v10005308mg
OG0001619	Sp7g01460.1	EUTSA_v10028250mg
OG0001620	Sp1g02580.1	EUTSA_v10009824mg
OG0001620	Sp6g03550.1	EUTSA_v10029027mg
OG0001622	Sp4g28310.1	EUTSA_v10001385mg
OG0001622	Sp5g01810.1	EUTSA_v10005840mg
OG0001623	Sp3g22960.1	EUTSA_v10002940mg
OG0001623	Sp7g09690.1	EUTSA_v10027269mg
OG0001624	Sp3g01370.1	EUTSA_v10021390mg
OG0001624	Sp6g28320.1	EUTSA_v10014493mg
OG0001625	Sp2g09140.1	EUTSA_v10003385mg
OG0001625	Sp7g19070.1	EUTSA_v10027342mg
OG0001626	Sp2g08340.1	EUTSA_v10003280mg
OG0001626	Sp1g03150.1	EUTSA_v10008972mg
OG0001627	Sp4g26260.1	EUTSA_v10001459mg
OG0001627	Sp5g03190.1	EUTSA_v10005983mg
OG0001628	Sp1g11450.1	EUTSA_v10008801mg
OG0001628	Sp2g15810.1	EUTSA_v10004929mg
OG0001629	Sp6g12910.1	EUTSA_v10014268mg
OG0001629	Sp7g23010.1	EUTSA_v10025975mg
OG0001630	Sp7g04760.1	EUTSA_v10027912mg
OG0001630	Sp5g21120.1	EUTSA_v10019428mg
OG0001631	Sp5g12020.1	EUTSA_v10011012mg
OG0001631	Sp2g29430.1	EUTSA_v10003942mg
OG0001632	Sp6g34950.1	EUTSA_v10014742mg
OG0001632	Sp2g24380.1	EUTSA_v10004907mg
OG0001633	Sp2g15650.1	EUTSA_v10004806mg
OG0001633	Sp4g19080.1	EUTSA_v10017134mg
OG0001635	Sp3g30490.1	EUTSA_v10022536mg
OG0001635	Sp7g33050.1	EUTSA_v10024319mg
OG0001636	Sp6g33360.1, SpUn0247_0030.1	EUTSA_v10015184mg
OG0001636	Sp2g28300.1	EUTSA_v10005237mg
OG0001637	Sp6g08910.1	EUTSA_v10028381mg
OG0001638	Sp1g35910.1	EUTSA_v10011830mg
OG0001638	Sp3g16640.1	EUTSA_v10021558mg
OG0001639	Sp4g16870.1, Sp1g26000.1	EUTSA_v10009598mg
OG0001640	Sp7g13150.1	EUTSA_v10024461mg
OG0001640	Sp3g20060.1	EUTSA_v10020108mg
OG0001641	Sp6g25810.1	EUTSA_v10013548mg
OG0001642	Sp1g05860.1	EUTSA_v10009577mg
OG0001642	Sp4g12980.1	EUTSA_v10017964mg
OG0001643	Sp2g02150.1	EUTSA_v10023681mg
OG0001644	Sp2g01160.1	EUTSA_v10023358mg
OG0001644	SpUn0010_0170.1, Sp7g00690.1	EUTSA_v10027680mg
OG0001644	SpUn0010_0180.1, Sp7g00700.1	EUTSA_v10028137mg
OG0001645	Sp4g11550.1	EUTSA_v10016860mg
OG0001645	Sp4g02870.1	EUTSA_v10008034mg
OG0001646	Sp7g16900.1	EUTSA_v10025583mg
OG0001646	Sp2g12270.1	EUTSA_v10000952mg
OG0001647	Sp2g28770.1	EUTSA_v10003764mg
OG0001647	Sp7g35510.1	EUTSA_v10026770mg
OG0001648	Sp3g05830.1	EUTSA_v10021990mg
OG0001648	Sp2g19450.1	EUTSA_v10004314mg
OG0001649	Sp6g23240.1	EUTSA_v10014154mg
OG0001649	Sp7g30930.1	EUTSA_v10025802mg
OG0001650	Sp1g01470.1	EUTSA_v10007347mg
OG0001650	Sp6g01830.1	EUTSA_v10028577mg
OG0001651	Sp2g10520.1	EUTSA_v10001226mg
OG0001652	Sp4g26500.1	EUTSA_v100017791mg
OG0001652	Sp5g03100.1	EUTSA_v10005835mg
OG0001653	Sp2g21820.1	EUTSA_v10004870mg
OG0001653	Sp6g32020.1	EUTSA_v10015895mg
OG0001654	Sp3g02780.1	EUTSA_v10021203mg
OG0001654	Sp6g34870.1	EUTSA_v10014211mg
OG0001655	Sp6g04460.1	EUTSA_v10028586mg
OG0001655	Sp7g20220.1	EUTSA_v10026864mg
OG0001656	Sp6g33920.1	EUTSA_v10012552mg
OG0001656	Sp2g27280.1	EUTSA_v10003564mg
OG0001657	Sp1g10710.1	EUTSA_v10006975mg
OG0001657	Sp2g02160.1	EUTSA_v10023291mg
OG0001658	Sp7g35790.1	EUTSA_v10025832mg
OG0001658	Sp4g01450.1	EUTSA_v10000259mg
OG0001659	Sp1g04990.1	EUTSA_v10008531mg
OG0001659	Sp4g13670.1	EUTSA_v10017136mg
OG0001660	Sp5g31800.1	EUTSA_v10019832mg
OG0001661	Sp4g19870.1	EUTSA_v10016645mg
OG0001661	Sp5g08670.1	EUTSA_v10010333mg
OG0001662	Sp4g02740.1	EUTSA_v10000201mg
OG0001663	Sp1g05500.1	EUTSA_v10007754mg
OG0001663	Sp4g13130.1	EUTSA_v10016711mg
OG0001664	Sp4g17300.1	EUTSA_v10016553mg
OG0001664	SpUn0157_0030.1	EUTSA_v10007394mg
OG0001665	Sp6g33370.1	EUTSA_v10013890mg
OG0001665	Sp2g28310.1	EUTSA_v10004438mg
OG0001666	Sp7g15770.1	EUTSA_v10024618mg
OG0001666	Sp2g11110.1	EUTSA_v10000798mg, EUTSA_v10001169mg
OG0001667	Sp4g29590.1	EUTSA_v10001451mg
OG0001667	Sp5g00680.1	EUTSA_v10005973mg
OG0001668	Sp7g24530.1	EUTSA_v10026170mg
OG0001668	Sp6g17840.1	EUTSA_v10014594mg
OG0001669	Sp6g21090.1	EUTSA_v10015001mg
OG0001669	Sp4g11830.1	EUTSA_v10017410mg
OG0001670	Sp6g35010.1, Sp6g35000.1, SpUn0847_0010.1	EUTSA_v10012438mg
OG0001670	Sp6g34970.1	EUTSA_v10012434mg
OG0001671	Sp3g28110.1, Sp3g28220.1	EUTSA_v10022819mg, EUTSA_v10022822mg
OG0001671	Sp7g31630.1	EUTSA_v10025993mg
OG0001672	Sp3g21510.1	EUTSA_v10002729mg
OG0001672	Sp7g11750.1	EUTSA_v10026600mg
OG0001673	Sp4g24530.1	EUTSA_v10016923mg
OG0001673	Sp5g04600.1	EUTSA_v10006090mg
OG0001674	Sp7g14780.1, SpUn0413_0020.1	EUTSA_v10026603mg
OG0001675	Sp1g38070.1	EUTSA_v10011883mg
OG0001675	Sp3g19010.1	EUTSA_v10021813mg
OG0001676	Sp5g12000.1	EUTSA_v10010280mg
OG0001677	Sp2g03320.1, SpUn0101_0020.1	EUTSA_v10023660mg
OG0001678	SpUn0010_0210.1, Sp7g00730.1	EUTSA_v10027677mg
OG0001678	Sp2g01180.1	EUTSA_v10023393mg
OG0001679	Sp4g24630.1	EUTSA_v10016971mg
OG0001679	Sp5g04370.1	EUTSA_v10006109mg
OG0001680	Sp6g04540.1	EUTSA_v10028947mg
OG0001680	Sp7g20290.1	EUTSA_v10026181mg
OG0001681	Sp6g25050.1	EUTSA_v10013240mg
OG0001681	Sp6g31460.1	EUTSA_v10013236mg
OG0001683	Sp6g17020.1	EUTSA_v10015237mg
OG0001683	Sp7g24840.1	EUTSA_v10027219mg
OG0001684	Sp6g30590.1	EUTSA_v10014363mg, EUTSA_v10014365mg
OG0001685	Sp1g18620.1	EUTSA_v10006608mg
OG0001686	Sp6g06950.1	EUTSA_v10028774mg
OG0001686	Sp6g06970.1	EUTSA_v10028770mg
OG0001687	Sp2g18820.1	EUTSA_v10005002mg
OG0001687	Sp3g06380.1	EUTSA_v10021662mg
OG0001688	Sp1g01800.1	EUTSA_v10009185mg
OG0001688	Sp6g02260.1	EUTSA_v10029091mg
OG0001689	Sp4g27310.1	EUTSA_v10001334mg
OG0001689	Sp5g02500.1	EUTSA_v100058921mg
OG0001690	Sp6g05520.1	EUTSA_v10029375mg
OG0001690	Sp7g20940.1	EUTSA_v10024955mg
OG0001691	Sp1g38570.1	EUTSA_v10012030mg
OG0001692	Sp7g18890.1	EUTSA_v10023437mg, EUTSA_v10025149mg
OG0001693	Sp5g29310.1	EUTSA_v10018705mg
OG0001693	Sp1g16520.1	EUTSA_v10008152mg
OG0001694	Sp5g05430.1	EUTSA_v10005816mg
OG0001694	Sp6g38720.1	EUTSA_v10012694mg
OG0001695	Sp5g11320.1	EUTSA_v10010373mg
OG0001696	Sp7g15610.1	EUTSA_v10027225mg
OG0001696	Sp2g10940.1, Sp2g10950.1	EUTSA_v10001025mg
OG0001697	Sp1g15590.1	EUTSA_v10009148mg
OG0001697	Sp5g27690.1	EUTSA_v10019317mg
OG0001698	Sp4g24410.1	EUTSA_v10016442mg
OG0001698	Sp5g04830.1	EUTSA_v10005862mg
OG0001699	Sp3g10630.1	EUTSA_v10021149mg
OG0001700	Sp7g20350.1	EUTSA_v10026418mg
OG0001701	Sp5g01540.1	EUTSA_v10005857mg
OG0001701	Sp4g28570.1	EUTSA_v10001365mg
OG0001702	Sp7g11110.1	EUTSA_v10026745mg
OG0001703	Sp2g28510.1	EUTSA_v10004688mg
OG0001703	Sp6g33000.1	EUTSA_v10014501mg
OG0001704	Sp2g07610.1	EUTSA_v10003156mg
OG0001704	Sp1g34150.1	EUTSA_v10011258mg
OG0001705	Sp6g14680.1	EUTSA_v10015801mg
OG0001705	Sp7g23660.1	EUTSA_v10025746mg
OG0001706	Sp5g12310.1	EUTSA_v10010875mg
OG0001706	Sp2g28960.1	EUTSA_v10005224mg
OG0001707	Sp5g10890.1	EUTSA_v10010279mg
OG0001708	Sp1g16020.1	EUTSA_v10008597mg
OG0001708	Sp5g28620.1	EUTSA_v10019669mg
OG0001709	Sp1g24670.1	EUTSA_v10009195mg
OG0001709	Sp4g16250.1	EUTSA_v10017477mg
OG0001710	Sp3g14220.1	EUTSA_v10020984mg
OG0001710	Sp1g39090.1	EUTSA_v10011602mg
OG0001711	Sp4g23870.1	EUTSA_v10016972mg
OG0001712	Sp1g09220.1	EUTSA_v10007260mg
OG0001712	SpUn0106_0010.1, Sp2g04460.1	EUTSA_v10023376mg
OG0001713	Sp2g16630.1	EUTSA_v10004761mg
OG0001713	Sp7g01280.1	EUTSA_v10027794mg
OG0001714	Sp3g01920.1	EUTSA_v10020304mg
OG0001714	Sp6g27580.1	EUTSA_v10012966mg
OG0001715	Sp1g23680.1	EUTSA_v10007763mg
OG0001715	Sp2g25040.1	EUTSA_v10004300mg, EUTSA_v10017970mg, EUTSA_v10016978mg
OG0001716	Sp4g03440.1	EUTSA_v10000173mg
OG0001716	Sp7g29200.1	EUTSA_v10025225mg
OG0001717	Sp2g19610.1	EUTSA_v10004911mg
OG0001717	Sp3g05730.1	EUTSA_v10021475mg
OG0001718	Sp5g31850.1	EUTSA_v10019530mg, EUTSA_v10018664mg
OG0001718	Sp1g18750.1	EUTSA_v10007857mg
OG0001719	Sp1g14640.1	EUTSA_v10008436mg
OG0001719	Sp5g34230.1	EUTSA_v10018933mg
OG0001720	Sp4g16370.1	EUTSA_v10016396mg
OG0001720	Sp1g24950.1	EUTSA_v10009350mg, EUTSA_v10007172mg
OG0001721	Sp7g00360.1	EUTSA_v10027660mg, EUTSA_v10029146mg
OG0001721	Sp2g00460.1	EUTSA_v10023305mg
OG0001722	Sp1g38210.1	EUTSA_v10011555mg
OG0001722	Sp3g19100.1	EUTSA_v10020874mg
OG0001723	Sp7g17680.1	EUTSA_v10025529mg
OG0001723	Sp2g10560.1	EUTSA_v10000937mg
OG0001724	Sp1g15380.1	EUTSA_v10006928mg
OG0001724	Sp5g27370.1	EUTSA_v10018044mg
OG0001725	Sp7g24340.1	EUTSA_v10025688mg
OG0001725	Sp6g18130.1	EUTSA_v10014144mg
OG0001726	Sp1g39800.1	EUTSA_v10011534mg
OG0001726	Sp3g13230.1	EUTSA_v10020786mg
OG0001727	Sp2g01500.1	EUTSA_v10023623mg
OG0001727	Sp1g11290.1	EUTSA_v10008388mg
OG0001728	Sp1g20010.1	EUTSA_v10007970mg
OG0001728	Sp5g27290.1	EUTSA_v10019648mg
OG0001729	Sp1g33370.1	EUTSA_v10011449mg
OG0001729	Sp5g32530.1	EUTSA_v10018484mg
OG0001730	Sp4g24130.1	EUTSA_v10016499mg
OG0001730	Sp5g05060.1	EUTSA_v10005884mg
OG0001731	Sp1g34880.1, SpUn1086_0010.1, Sp1g34780.1, Sp1g34730.1	EUTSA_v10028265mg, EUTSA_v10028201mg, EUTSA_v10029417mg
OG0001732	Sp3g02100.1	EUTSA_v10020284mg
OG0001732	Sp6g27180.1	EUTSA_v10012943mg
OG0001733	Sp3g09590.1	EUTSA_v10020430mg
OG0001733	Sp6g37050.1	EUTSA_v10013295mg
OG0001734	Sp2g22250.1	EUTSA_v10004807mg
OG0001734	Sp6g32410.1	EUTSA_v10014629mg
OG0001735	Sp4g16140.1	EUTSA_v10017458mg
OG0001735	Sp1g24470.1	EUTSA_v10009158mg
OG0001736	Sp1g19820.1	EUTSA_v10008357mg
OG0001736	Sp5g33390.1	EUTSA_v10018959mg
OG0001737	Sp5g11310.1	EUTSA_v10010693mg
OG0001737	Sp2g30280.1	EUTSA_v10004725mg
OG0001738	Sp1g35390.1	EUTSA_v10011861mg
OG0001738	Sp3g15900.1	EUTSA_v10021758mg
OG0001739	Sp1g06200.1	EUTSA_v10007946mg, EUTSA_v10007947mg
OG0001740	Sp7g33280.1	EUTSA_v10025221mg
OG0001741	Sp6g35220.1	EUTSA_v10014081mg
OG0001741	Sp2g24630.1	EUTSA_v10004550mg
OG0001742	Sp3g01600.1	EUTSA_v10021574mg
OG0001742	Sp6g28010.1	EUTSA_v10014759mg
OG0001743	Sp1g41530.1	EUTSA_v10012384mg
OG0001743	Sp3g11280.1	EUTSA_v10020893mg
OG0001744	Sp1g18940.1	EUTSA_v10008635mg
OG0001744	Sp5g32140.1	EUTSA_v10019082mg
OG0001745	Sp1g37450.1	EUTSA_v10011484mg
OG0001745	Sp3g18330.1	EUTSA_v10020720mg
OG0001746	Sp4g14710.1	EUTSA_v10017846mg, EUTSA_v10017883mg, EUTSA_v10002878mg
OG0001746	SpUn0024_0010.1, Sp1g04125.1	EUTSA_v10007929mg
OG0001747	Sp3g14090.1	EUTSA_v10021746mg
OG0001747	Sp1g39120.1	EUTSA_v10011857mg
OG0001748	Sp1g11120.1	EUTSA_v10009922mg
OG0001748	Sp2g01630.1	EUTSA_v10023637mg
OG0001749	Sp3g02200.1	EUTSA_v10021756mg
OG0001749	Sp6g27040.1	EUTSA_v10015011mg
OG0001750	Sp1g10940.1	EUTSA_v10008740mg
OG0001750	Sp2g01770.1	EUTSA_v10023680mg
OG0001751	Sp6g40610.1	EUTSA_v10013437mg
OG0001751	Sp3g07420.1	EUTSA_v10020521mg
OG0001752	Sp4g03320.1	EUTSA_v10000464mg
OG0001752	Sp7g28910.1	EUTSA_v10025875mg
OG0001753	Sp6g24990.1	EUTSA_v10012507mg
OG0001753	Sp6g31290.1	EUTSA_v10012520mg
OG0001754	Sp1g19960.1	EUTSA_v10009689mg
OG0001754	Sp5g27320.1	EUTSA_v10019200mg, EUTSA_v10019565mg
OG0001755	Sp7g21300.1	EUTSA_v10027511mg
OG0001756	Sp2g19020.1	EUTSA_v10004814mg
OG0001756	Sp2g19010.1	EUTSA_v10004803mg
OG0001757	Sp5g14240.1	EUTSA_v10010609mg
OG0001757	Sp2g25680.1	EUTSA_v10004754mg
OG0001758	Sp2g24980.1	EUTSA_v10003594mg
OG0001758	Sp6g35530.1	EUTSA_v10012565mg
OG0001759	Sp2g24800.1	EUTSA_v10005285mg
OG0001759	Sp6g35290.1	EUTSA_v10014666mg
OG0001760	Sp3g20390.1	EUTSA_v10021541mg
OG0001761	Sp7g09310.1, SpUn2041_0010.1, Sp7g09210.1	EUTSA_v10024361mg, EUTSA_v10026956mg, EUTSA_v10024354mg
OG0001762	Sp2g17580.1	EUTSA_v10005032mg
OG0001762	Sp2g17570.1	EUTSA_v10005031mg
OG0001763	Sp4g02540.1	EUTSA_v10000533mg
OG0001763	Sp4g02550.1, Sp4g02560.1	EUTSA_v10000625mg
OG0001764	Sp5g09020.1	EUTSA_v10010633mg, EUTSA_v10016118mg, EUTSA_v10014972mg, EUTSA_v10000999mg
OG0001765	Sp1g03050.1	EUTSA_v10008636mg
OG0001765	Sp2g08490.1	EUTSA_v10003276mg
OG0001766	Sp2g14590.1	EUTSA_v10004585mg
OG0001766	Sp2g17690.1	EUTSA_v10002851mg
OG0001767	Sp4g18730.1, Sp5g15510.1, Sp5g15490.1, Sp5g15470.1	EUTSA_v10013280mg
OG0001767	Sp6g34140.1	EUTSA_v10015828mg
OG0001768	Sp4g01670.1	EUTSA_v10000598mg
OG0001768	Sp7g35590.1	EUTSA_v10026139mg
OG0001769	Sp3g12610.1, Sp3g12620.1, Sp3g27200.1, Sp1g39290.1, Sp3g12630.1	EUTSA_v10022171mg
OG0001773	Sp6g14110.1	EUTSA_v10014716mg
OG0001773	Sp6g14130.1	EUTSA_v10015303mg
OG0001774	Sp4g21620.1, SpUn0018_0050.1	EUTSA_v10016225mg
OG0001774	Sp5g07360.1	EUTSA_v10010113mg
OG0001775	Sp6g13640.1	EUTSA_v10013035mg
OG0001775	Sp7g23260.1	EUTSA_v10024736mg
OG0001776	Sp6g29420.1	EUTSA_v10012853mg
OG0001776	Sp3g00510.1	EUTSA_v10020294mg
OG0001777	Sp6g22090.1	EUTSA_v10015587mg
OG0001777	Sp6g22100.1	EUTSA_v10013538mg
OG0001777	Sp7g25330.1	EUTSA_v10015615mg
OG0001778	Sp4g17660.1	EUTSA_v10016717mg
OG0001778	Sp7g37520.1	EUTSA_v10025205mg
OG0001779	Sp3g08140.1	EUTSA_v10020958mg
OG0001779	Sp6g39450.1	EUTSA_v10013851mg
OG0001780	Sp6g39120.1	EUTSA_v10013480mg
OG0001781	Sp7g30650.1	EUTSA_v10024403mg
