Orthogroup	Capsella_rubella	Arabidopsis_lyrata
OG0002143	Carub.0004s1200.1.p	scaffold_401578.1
OG0002144	Carub.0001s2211.1.p	fgenesh2_kg.1__2453__AT1G22600.1
OG0002144	Carub.0002s1888.1.p	fgenesh2_kg.2__1470__AT1G72100.1
OG0002145	Carub.0004s2966.1.p	fgenesh2_kg.4__2923__AT2G46930.1
OG0002145	Carub.0005s2881.1.p	fgenesh2_kg.5__2705__AT3G62060.1
OG0002146	Carub.0007s0467.1.p	fgenesh2_kg.7__517__AT4G35630.1
OG0002146	Carub.0003s3171.1.p	scaffold_304080.1
OG0002147	Carub.0006s0587.1.p	fgenesh2_kg.6__644__AT5G06950.1
OG0002147	Carub.0003s1161.1.p	fgenesh2_kg.3__1288__AT3G12250.4
OG0002148	Carub.0003s2115.1.p	fgenesh2_kg.3__2340__AT3G21190.1
OG0002148	Carub.0001s4048.1.p	scaffold_104932.1
OG0002149	Carub.0005s1003.1.p	fgenesh2_kg.5__841__AT3G44320.1
OG0002149	Carub.0007s2680.1.p	fgenesh1_pm.C_scaffold_5000676
OG0002150	Carub.0003s2471.1.p	fgenesh1_pm.C_scaffold_3002160
OG0002150	Carub.0003s2494.1.p	fgenesh2_kg.2__808__AT3G24550.1, fgenesh2_kg.3__2668__AT3G24550.1
OG0002151	Carub.0004s0316.1.p	fgenesh1_pm.C_scaffold_4000265
OG0002151	Carub.0007s0996.1.p	fgenesh2_kg.7__1123__AT4G30610.1
OG0002152	Carub.0007s1374.1.p	fgenesh2_kg.7__1520__AT4G27100.1
OG0002152	Carub.0008s1505.1.p	fgenesh2_kg.8__1375__AT5G54780.1
OG0002153	Carub.0007s2370.1.p	Al_scaffold_0007_2431
OG0002153	Carub.0008s0077.1.p	fgenesh2_kg.8__91__AT5G47050.1
OG0002154	Carub.0004s0181.1.p	fgenesh1_pg.C_scaffold_4000159
OG0002154	Carub.0007s0232.1.p	fgenesh1_pg.C_scaffold_7000220
OG0002155	Carub.0006s1823.1.p	scaffold_602081.1
OG0002156	Carub.0007s2383.1.p	scaffold_702699.1
OG0002156	Carub.0008s0055.1.p	fgenesh2_kg.8__75__AT5G47190.1
OG0002157	Carub.0006s1657.1.p	scaffold_601895.1
OG0002157	Carub.0003s0332.1.p	fgenesh2_kg.3__369__AT3G04080.1
OG0002158	Carub.0006s2127.1.p	fgenesh2_kg.6__2345__AT5G23490.1
OG0002158	Carub.0006s0736.1.p	scaffold_600871.1
OG0002159	Carub.0001s2358.1.p	scaffold_102753.1
OG0002159	Carub.0002s1686.1.p	fgenesh2_kg.2__1271__AT1G70170.1
OG0002160	Carub.0007s0447.1.p	fgenesh2_kg.7__499__AT4G35780.1
OG0002160	Carub.0003s3180.1.p	scaffold_304088.1
OG0002161	Carub.0004s2232.1.p, Carub.0003s2754.1.p	scaffold_801437.1, fgenesh2_kg.1__3744__AT4G03170.1, fgenesh2_kg.7__3408__AT4G03170.1
OG0002162	Carub.0005s0220.1.p	Al_scaffold_0005_260
OG0002162	Carub.0001s1371.1.p	fgenesh2_kg.1__1517__AT1G14020.1
OG0002163	Carub.0006s1942.1.p	fgenesh2_kg.6__2155__AT5G21105.1
OG0002164	Carub.0006s2461.1.p	Al_scaffold_0006_2625
OG0002164	Carub.0003s0505.1.p	fgenesh2_kg.3__564__AT3G05700.1, scaffold_8800007.1
OG0002165	Carub.0003s3043.1.p	fgenesh2_kg.3__3253__AT2G16700.1
OG0002165	Carub.0007s0534.1.p	fgenesh2_kg.7__593__AT4G34970.1
OG0002166	Carub.0005s0994.1.p	fgenesh2_kg.5__832__AT3G44190.1
OG0002166	Carub.0006s1978.1.p	scaffold_602256.1
OG0002167	Carub.0007s1420.1.p	scaffold_701629.1
OG0002167	Carub.0008s1586.1.p	fgenesh2_kg.8__1450__AT5G55510.1
OG0002168	Carub.0007s2270.1.p	Al_scaffold_0007_2320, fgenesh2_kg.7__2439__AT4G18530.1
OG0002169	Carub.0001s0646.1.p, Carub.0004s1110.1.p	scaffold_401476.1, fgenesh1_pg.C_scaffold_1000580
OG0002170	Carub.0008s1271.1.p	fgenesh2_kg.8__1144__AT5G52570.1
OG0002170	Carub.0007s1525.1.p	fgenesh2_kg.7__1687__AT4G25700.1
OG0002171	Carub.0005s2605.1.p	Al_scaffold_0005_2858
OG0002172	Carub.0005s0099.1.p	fgenesh2_kg.5__113__AT2G01980.1
OG0002172	Carub.0001s1442.1.p	fgenesh2_kg.1__1599__AT1G14660.1
OG0002173	Carub.0005s2518.1.p	fgenesh2_kg.5__2284__AT3G58440.1
OG0002174	Carub.0006s1305.1.p	fgenesh2_kg.6__1466__AT5G14900.1
OG0002174	Carub.0005s2903.1.p	fgenesh1_pg.C_scaffold_5002687
OG0002175	Carub.0004s1644.1.p	fgenesh2_kg.4__1499__AT2G34750.1
OG0002175	Carub.0004s2129.1.p	scaffold_402495.1, fgenesh1_pm.C_scaffold_4001672
OG0002175	Carub.0001s2885.1.p	Al_scaffold_0001_3139
OG0002176	Carub.0003s0777.1.p	fgenesh2_kg.3__866__AT3G08640.1
OG0002176	Carub.0003s0776.1.p	scaffold_300970.1
OG0002177	Carub.0005s1100.1.p	fgenesh2_kg.5__903__AT3G45210.1
OG0002177	Carub.0008s2136.1.p	fgenesh2_kg.8__2033__AT5G60680.1
OG0002178	Carub.0005s0148.1.p	scaffold_500181.1
OG0002178	Carub.0001s1423.1.p	fgenesh2_kg.1__1579__AT1G14510.1
OG0002179	Carub.0008s1971.1.p	fgenesh2_kg.8__1848__AT5G59240.1
OG0002179	Carub.0006s1868.1.p	scaffold_602125.1
OG0002180	Carub.0005s0783.1.p	scaffold_500904.1
OG0002180	Carub.0007s3644.1.p	fgenesh2_kg.7__3469__AT5G39510.1
OG0002181	Carub.0005s2422.1.p	fgenesh2_kg.5__2173__AT3G57380.1
OG0002181	Carub.0004s2390.1.p	fgenesh2_kg.4__2304__AT2G41640.1
OG0002182	Carub.0003s0572.1.p	scaffold_300711.1
OG0002182	Carub.0006s1720.1.p	fgenesh2_kg.6__1908__AT5G18900.1
OG0002183	Carub.0005s1655.1.p	fgenesh2_kg.5__1370__AT3G50230.1
OG0002183	Carub.0008s2731.1.p	fgenesh2_kg.8__2695__AT5G67200.1
OG0002184	Carub.0006s3448.1.p	scaffold_604006.1
OG0002184	Carub.0001s0218.1.p	fgenesh2_kg.1__236__AT1G03050.1
OG0002185	Carub.0003s0130.1.p	fgenesh2_kg.3__150__AT3G02180.1
OG0002185	Carub.0006s1376.1.p	fgenesh2_kg.6__1538__AT5G15600.1
OG0002186	Carub.0007s0655.1.p	fgenesh2_kg.7__723__AT4G33890.1
OG0002187	Carub.0005s1504.1.p	fgenesh2_kg.5__1232__AT3G48870.1
OG0002187	Carub.0008s1093.1.p	fgenesh2_kg.8__972__AT5G50920.1
OG0002188	Carub.0004s1595.1.p	fgenesh2_kg.4__1433__AT2G34310.3
OG0002188	Carub.0001s2776.1.p	fgenesh2_kg.1__3115__AT1G29530.1
OG0002189	Carub.0006s0213.1.p	scaffold_600256.1
OG0002189	Carub.0003s0892.1.p	fgenesh2_kg.3__1008__AT3G09830.1
OG0002190	Carub.0002s0139.1.p, Carub.0007s3505.1.p, Carub.0002s0138.1.p	fgenesh1_pm.C_scaffold_2000102
OG0002191	Carub.0008s0648.1.p	scaffold_800897.1
OG0002192	Carub.0002s1341.1.p	fgenesh2_kg.2__938__AT1G67110.1
OG0002192	Carub.0007s3745.1.p	fgenesh2_kg.7__3565__AT5G38450.1
OG0002193	Carub.0006s2420.1.p	fgenesh2_kg.6__2622__AT5G26731.1
OG0002193	Carub.0003s0533.1.p	scaffold_300665.1
OG0002194	Carub.0007s1280.1.p	fgenesh2_kg.7__1416__AT4G28000.1
OG0002194	Carub.0008s1305.1.p	fgenesh2_kg.8__1169__AT5G52882.1
OG0002195	Carub.0008s1555.1.p	fgenesh2_kg.8__1421__AT5G55200.1
OG0002195	Carub.0007s1406.1.p	fgenesh2_kg.7__1557__AT4G26780.1
OG0002196	Carub.0001s0217.1.p	fgenesh2_kg.1__235__AT1G03040.1
OG0002196	Carub.0006s3455.1.p	fgenesh2_kg.6__3435__AT4G02590.2
OG0002197	Carub.0007s0536.1.p	fgenesh2_kg.7__595__AT4G34950.1
OG0002197	Carub.0003s3042.1.p	scaffold_303952.1
OG0002198	Carub.0008s2505.1.p	Al_scaffold_0008_2968, scaffold_803141.1
OG0002198	Carub.0006s0799.1.p	fgenesh2_kg.6__891__AT5G09440.1
OG0002199	Carub.0005s0531.1.p, Carub.0005s0532.1.p	fgenesh2_kg.5__484__AT3G27080.1
OG0002199	Carub.0007s3457.1.p	fgenesh1_pg.C_scaffold_7003055
OG0002200	Carub.0004s0992.1.p	fgenesh2_kg.4__870__AT2G28930.1
OG0002200	Carub.0001s0690.1.p	fgenesh2_kg.1__738__AT1G07570.2
OG0002201	Carub.0005s1305.1.p	Al_scaffold_0005_1474
OG0002202	Carub.0003s1996.1.p	fgenesh2_kg.3__2224__AT3G20040.1
OG0002202	Carub.0001s3954.1.p	fgenesh2_kg.1__4129__AT1G50460.1
OG0002203	Carub.0007s3150.1.p	scaffold_703445.1
OG0002203	Carub.0003s2651.1.p, Carub.0003s2654.1.p	scaffold_303271.1
OG0002204	Carub.0001s0372.1.p	scaffold_100412.1
OG0002204	Carub.0004s1496.1.p	fgenesh2_kg.4__1334__AT2G33340.1
OG0002205	Carub.0005s0025.1.p	scaffold_500022.1
OG0002205	Carub.0001s1479.1.p	fgenesh2_kg.1__1645__AT1G15020.2
OG0002206	Carub.0003s1859.1.p	fgenesh2_kg.3__2088__AT3G18777.1
OG0002206	Carub.0001s3842.1.p	scaffold_104562.1
OG0002207	Carub.0003s1991.1.p	fgenesh2_kg.3__2220__AT3G20010.1
OG0002207	Carub.0001s3948.1.p	fgenesh2_kg.1__4121__AT1G50410.1
OG0002208	Carub.0003s0766.1.p	Al_scaffold_0003_837
OG0002208	Carub.0005s2268.1.p, Carub.0005s2204.1.p	fgenesh2_kg.5__2027__AT3G55940.1
OG0002209	Carub.0003s1082.1.p	fgenesh2_kg.3__1190__AT3G11500.1
OG0002209	Carub.0004s0309.1.p	scaffold_400381.1
OG0002210	Carub.0006s0305.1.p	fgenesh2_kg.6__321__AT5G04090.2
OG0002210	Carub.0003s0942.1.p	fgenesh2_kg.3__1052__AT3G10250.1
OG0002211	Carub.0008s1694.1.p	scaffold_802195.1
OG0002212	Carub.0001s3925.1.p	scaffold_104728.1, fgenesh2_kg.1__4097__AT1G50090.1
OG0002212	Carub.0001s3926.1.p	fgenesh2_kg.1__4098__AT1G50110.1
OG0002213	Carub.0004s1985.1.p	fgenesh2_kg.4__1860__AT2G37940.1
OG0002213	Carub.0005s2061.1.p	scaffold_502504.1
OG0002214	Carub.0005s1605.1.p	fgenesh1_pg.C_scaffold_5001472
OG0002214	Carub.0008s2669.1.p	fgenesh1_pm.C_scaffold_8002139
OG0002215	Carub.0007s1588.1.p	fgenesh1_pm.C_scaffold_7001377
OG0002215	Carub.0008s1129.1.p	fgenesh2_kg.8__1012__AT5G51260.1
OG0002216	Carub.0004s1321.1.p	Al_scaffold_0004_1647
OG0002216	Carub.0001s0491.1.p	scaffold_100542.1
OG0002217	Carub.0003s0088.1.p	fgenesh2_kg.3__102__AT3G01270.1
OG0002217	Carub.0006s1328.1.p	fgenesh2_kg.6__1486__AT5G15110.1
OG0002218	Carub.0007s1363.1.p	Al_scaffold_0007_1416
OG0002218	Carub.0008s1489.1.p	scaffold_802000.1
OG0002219	Carub.0007s1401.1.p	fgenesh1_pm.C_scaffold_7001229
OG0002219	Carub.0008s1550.1.p	fgenesh2_kg.8__1419__AT5G55180.1
OG0002220	Carub.0003s0206.1.p	scaffold_300243.1
OG0002220	Carub.0006s1495.1.p	fgenesh2_kg.6__1665__AT5G16730.1
OG0002221	Carub.0003s1914.1.p	fgenesh2_kg.3__2147__AT3G19310.1
OG0002221	Carub.0001s3895.1.p	fgenesh2_kg.1__4060__AT1G49740.1
OG0002222	Carub.0006s2088.1.p	fgenesh2_kg.6__2297__AT5G23090.2
OG0002222	Carub.0006s0709.1.p	fgenesh2_kg.6__788__AT5G08190.1
OG0002223	Carub.0006s2247.1.p	scaffold_602562.1
OG0002223	Carub.0005s1588.1.p	fgenesh2_kg.5__1303__AT3G49550.1
OG0002224	Carub.0007s3418.1.p	fgenesh2_kg.7__3280__AT5G41315.1
OG0002224	Carub.0002s0120.1.p	fgenesh2_kg.2__120__AT1G63650.2
OG0002225	Carub.0007s1424.1.p	fgenesh2_kg.7__1577__AT4G26630.1
OG0002225	Carub.0008s1603.1.p	fgenesh2_kg.8__1469__AT5G55660.1
OG0002226	Carub.0001s1301.1.p	fgenesh1_pg.C_scaffold_1001192
OG0002226	Carub.0005s0361.1.p	fgenesh2_kg.5__332__AT3G25780.1
OG0002227	Carub.0006s0536.1.p	fgenesh1_pg.C_scaffold_6000505
OG0002227	Carub.0003s1112.1.p	fgenesh2_kg.3__1225__AT3G11780.1
OG0002228	Carub.0008s1705.1.p	fgenesh2_kg.8__1562__AT5G56570.1
OG0002228	Carub.0008s1704.1.p	fgenesh1_pg.C_scaffold_8001669
OG0002229	Carub.0001s1393.1.p	fgenesh2_kg.1__1540__AT1G14240.2
OG0002229	Carub.0001s1392.1.p	Al_scaffold_0001_1470
OG0002230	Carub.0003s0849.1.p	Al_scaffold_0003_934
OG0002230	Carub.0002s1480.1.p	fgenesh2_kg.2__1080__AT1G68310.1
OG0002231	Carub.0002s1786.1.p	scaffold_202010.1
OG0002231	Carub.0001s2249.1.p	fgenesh2_kg.1__2504__AT1G22990.1
OG0002232	Carub.0003s3410.1.p	fgenesh1_pg.C_scaffold_3002983
OG0002233	Carub.0008s0023.1.p	fgenesh2_kg.8__34__AT5G47550.1
OG0002233	Carub.0004s1417.1.p	scaffold_401840.1
OG0002234	Carub.0003s0514.1.p	fgenesh1_pg.C_scaffold_6002835, scaffold_603596.1, Al_scaffold_0002_1322, Al_scaffold_0003_557
OG0002235	Carub.0008s0208.1.p	scaffold_800264.1
OG0002235	Carub.0007s2261.1.p	scaffold_702560.1
OG0002236	Carub.0002s0260.1.p	fgenesh2_kg.2__235__AT1G62380.1
OG0002236	Carub.0001s1169.1.p	Al_scaffold_0001_1215
OG0002237	Carub.0003s1658.1.p	scaffold_301983.1
OG0002237	Carub.0007s2549.1.p	fgenesh2_kg.7__2707__AT4G16120.1
OG0002238	Carub.0005s2623.1.p	fgenesh1_pg.C_scaffold_5002405
OG0002238	Carub.0001s2923.1.p	fgenesh2_kg.1__3285__AT1G30890.1
OG0002239	Carub.0004s0376.1.p	fgenesh2_kg.4__355__AT2G24400.1
OG0002239	Carub.0007s0924.1.p	fgenesh2_kg.7__1043__AT4G31320.1
OG0002240	Carub.0001s1053.1.p	fgenesh2_kg.1__1187__AT1G10950.1
OG0002241	Carub.0008s2445.1.p	scaffold_803064.1
OG0002241	Carub.0006s0754.1.p	fgenesh2_kg.6__833__AT5G08570.1
OG0002242	Carub.0006s3122.1.p	fgenesh1_pg.C_scaffold_6002890
OG0002243	Carub.0001s2424.1.p	fgenesh2_kg.1__2682__AT1G26770.2
OG0002243	Carub.0002s1618.1.p	fgenesh2_kg.2__1216__AT1G69530.4
OG0002244	Carub.0001s3896.1.p	fgenesh2_kg.1__4061__AT1G49750.1
OG0002244	Carub.0003s1915.1.p	fgenesh2_kg.3__2148__AT3G19320.1
OG0002245	Carub.0001s4266.1.p	Al_scaffold_0001_4788
OG0002245	Carub.0003s1447.1.p	fgenesh2_kg.3__1595__AT3G14810.1
OG0002246	Carub.0008s1957.1.p	fgenesh2_kg.139__1__AT5G58930.1, fgenesh2_kg.8__1832__AT5G58930.1
OG0002246	Carub.0005s1321.1.p	fgenesh2_kg.5__1070__AT3G46990.1
OG0002248	Carub.0006s1738.1.p	fgenesh2_kg.6__1923__AT5G19060.1
OG0002248	Carub.0003s0559.1.p	fgenesh2_kg.3__619__AT3G06150.1
OG0002249	Carub.0007s0374.1.p	fgenesh1_pm.C_scaffold_7000337
OG0002250	Carub.0002s0584.1.p	fgenesh2_kg.2__482__AT1G59610.1
OG0002250	Carub.0001s0968.1.p	fgenesh2_kg.1__1094__AT1G10290.1
OG0002251	Carub.0006s1126.1.p	fgenesh2_kg.6__1259__AT5G13090.1
OG0002252	Carub.0007s2859.1.p	fgenesh2_kg.7__2961__AT4G13850.3
OG0002253	Carub.0008s1532.1.p	fgenesh2_kg.8__1404__AT5G55050.1
OG0002254	Carub.0004s2015.1.p	fgenesh2_kg.4__1885__AT2G38170.1
OG0002254	Carub.0005s1821.1.p	fgenesh2_kg.5__1533__AT3G51860.1
OG0002255	Carub.0005s2666.1.p	fgenesh2_kg.5__2448__AT3G59920.1
OG0002255	Carub.0004s2665.1.p	fgenesh2_kg.4__2590__AT2G44100.1
OG0002257	Carub.0003s3503.1.p	fgenesh2_kg.3__3587__AT2G20560.1
OG0002257	Carub.0007s1222.1.p	fgenesh2_kg.7__1354__AT4G28480.1
OG0002258	Carub.0006s1205.1.p	fgenesh2_kg.6__1344__AT5G13860.1
OG0002258	Carub.0003s1176.1.p	scaffold_301421.1
OG0002259	Carub.0001s1752.1.p	fgenesh1_pm.C_scaffold_1001524
OG0002259	Carub.0002s1992.1.p	fgenesh1_pm.C_scaffold_2001298
OG0002260	Carub.0002s2735.1.p	fgenesh1_pm.C_scaffold_2001978
OG0002260	Carub.0001s1515.1.p	scaffold_101723.1
OG0002261	Carub.0001s1209.1.p, Carub.0001s1211.1.p	Al_scaffold_0001_4288, Al_scaffold_0001_4456, Al_scaffold_0003_3564, Al_scaffold_0005_1177
OG0002262	Carub.0001s2269.1.p	fgenesh2_kg.1__2524__AT1G23145.1
OG0002262	Carub.0006s3050.1.p, Carub.0006s3053.1.p, Carub.0006s3052.1.p	Al_scaffold_0006_3325, fgenesh2_kg.6__3111__AT4G11510.1
OG0002262	Carub.0006s3055.1.p	Al_scaffold_0003_426
OG0002263	Carub.0008s0683.1.p, Carub.0008s0682.1.p	Al_scaffold_0006_755
OG0002263	Carub.0006s1765.1.p	fgenesh1_pm.C_scaffold_6001549
OG0002267	Carub.0005s2463.1.p	fgenesh2_kg.5__2223__AT3G57780.1
OG0002267	Carub.0004s2466.1.p	fgenesh2_kg.4__2384__AT2G42320.2
OG0002268	Carub.0001s2008.1.p	fgenesh2_kg.1__2244__AT1G20610.1
OG0002268	Carub.0002s2321.1.p	Al_scaffold_0002_2333
OG0002269	Carub.0007s2788.1.p	fgenesh2_kg.7__2898__AT4G14370.1
OG0002269	Carub.0003s2351.1.p	fgenesh1_pm.C_scaffold_3002062
OG0002270	Carub.0005s0335.1.p	fgenesh2_kg.5__310__AT3G25585.1
OG0002270	Carub.0001s1324.1.p	fgenesh2_kg.1__1469__AT1G13560.1
OG0002271	Carub.0001s1503.1.p	fgenesh2_kg.1__1675__AT1G15270.1
OG0002271	Carub.0003s1577.1.p	scaffold_301874.1, scaffold_81000002.1
OG0002272	Carub.0001s0683.1.p	scaffold_100758.1
OG0002272	Carub.0004s1008.1.p	fgenesh1_pg.C_scaffold_4001026
OG0002273	Carub.0007s2659.1.p	Al_scaffold_0007_2742
OG0002273	Carub.0002s2745.1.p	fgenesh2_kg.2__2381__AT1G80070.1
OG0002274	Carub.0003s2563.1.p	scaffold_800929.1, fgenesh2_kg.3__2734__AT3G25230.1
OG0002274	Carub.0008s0820.1.p	fgenesh2_kg.8__735__AT5G48570.1
OG0002275	Carub.0006s0026.1.p	fgenesh2_kg.6__52__AT5G01570.1
OG0002275	Carub.0003s0799.1.p	fgenesh2_kg.3__892__AT3G08880.1
OG0002276	Carub.0001s1123.1.p	Al_scaffold_0001_1171
OG0002276	Carub.0002s0325.1.p	fgenesh2_kg.2__279__AT1G61800.1
OG0002277	Carub.0004s0509.1.p	fgenesh2_kg.4__456__AT2G25430.1
OG0002277	Carub.0007s0830.1.p	fgenesh1_pm.C_scaffold_7000730
OG0002278	Carub.0007s2345.1.p	fgenesh2_kg.7__2515__AT4G17900.1
OG0002279	Carub.0003s3406.1.p	fgenesh2_kg.3__3192__AT2G19780.1
OG0002279	Carub.0007s1136.1.p	scaffold_701330.1
OG0002280	Carub.0005s2710.1.p	scaffold_503261.1
OG0002280	Carub.0004s2749.1.p	scaffold_403428.1
OG0002281	Carub.0006s3404.1.p	scaffold_603957.1
OG0002281	Carub.0001s0257.1.p	fgenesh2_kg.1__272__AT1G03440.1
OG0002282	Carub.0004s1726.1.p	scaffold_402164.1
OG0002282	Carub.0001s3027.1.p	fgenesh2_kg.1__3338__AT1G31940.1
OG0002283	Carub.0007s1643.1.p	scaffold_701866.1
OG0002283	Carub.0008s0993.1.p	fgenesh2_kg.8__876__AT5G50020.1
OG0002284	Carub.0002s2331.1.p	fgenesh2_kg.2__1927__AT1G76405.2
OG0002284	Carub.0001s2027.1.p	scaffold_102329.1
OG0002285	Carub.0001s1250.1.p	fgenesh2_kg.1__1385__AT1G12780.1, scaffold_101403.1
OG0002285	Carub.0002s0175.1.p	fgenesh2_kg.2__160__AT1G63180.1
OG0002286	Carub.0002s1519.1.p	fgenesh2_kg.2__1121__AT1G68650.1
OG0002286	Carub.0001s2496.1.p	fgenesh1_pg.C_scaffold_1002360
OG0002287	Carub.0006s0335.1.p	scaffold_600382.1
OG0002287	Carub.0003s0974.1.p	fgenesh2_kg.3__1085__AT3G10500.1
OG0002288	Carub.0002s1607.1.p	scaffold_201802.1
OG0002288	Carub.0001s2432.1.p	Al_scaffold_0001_2632
OG0002289	Carub.0003s1765.1.p	scaffold_302116.1
OG0002289	Carub.0001s3765.1.p	scaffold_104470.1
OG0002290	Carub.0003s0671.1.p	scaffold_300847.1
OG0002290	Carub.0008s0835.1.p	fgenesh2_kg.8__747__AT5G48657.2
OG0002291	Carub.0008s2682.1.p	fgenesh1_pg.C_scaffold_8002580
OG0002291	Carub.0005s1617.1.p	Al_scaffold_0005_1830
OG0002292	Carub.0002s0655.1.p	scaffold_200746.1
OG0002292	Carub.0001s0915.1.p	fgenesh2_kg.1__1035__AT1G09795.1
OG0002293	Carub.0002s0564.1.p	Al_scaffold_0002_595
OG0002293	Carub.0001s0977.1.p	fgenesh2_kg.1__1101__AT1G10350.1
OG0002295	Carub.0002s0529.1.p	fgenesh2_kg.2__442__AT1G59980.1
OG0002295	Carub.0001s2356.1.p	fgenesh2_kg.1__2626__AT1G24120.1
OG0002296	Carub.0001s4483.1.p	fgenesh2_kg.1__4649__AT1G54340.1
OG0002296	Carub.0002s1188.1.p	fgenesh2_kg.2__826__AT1G65930.1
OG0002297	Carub.0002s2319.1.p	fgenesh2_kg.2__1913__AT1G76300.1
OG0002297	Carub.0001s2007.1.p	fgenesh1_pg.C_scaffold_1001871
OG0002298	Carub.0007s2077.1.p	fgenesh2_kg.7__2255__AT4G20390.1
OG0002298	Carub.0008s0395.1.p	Al_scaffold_0008_502
OG0002299	Carub.0005s0358.1.p	fgenesh2_kg.5__329__AT3G25750.1, Al_scaffold_0008_1150
OG0002299	Carub.0001s3499.1.p, Carub.0001s3497.1.p	fgenesh2_kg.1__3750__AT1G44080.1
OG0002299	Carub.0007s0452.1.p	fgenesh2_kg.7__507__AT4G35733.1
OG0002300	Carub.0005s0517.1.p	Al_scaffold_0005_546
OG0002300	Carub.0007s3444.1.p	fgenesh1_pg.C_scaffold_7003044
OG0002301	Carub.0004s1107.1.p	fgenesh2_kg.4__968__AT2G29990.1
OG0002301	Carub.0001s0648.1.p	scaffold_100724.1
OG0002302	Carub.0004s2805.1.p	fgenesh2_kg.4__2741__AT2G45440.1
OG0002302	Carub.0005s2763.1.p	fgenesh2_kg.5__2554__AT3G60880.2
OG0002303	Carub.0007s0819.1.p	Al_scaffold_0007_858
OG0002303	Carub.0007s0818.1.p, Carub.0005s0582.1.p	Al_scaffold_0007_857
OG0002303	Carub.0007s0820.1.p	Al_scaffold_0007_859
OG0002304	Carub.0007s1228.1.p	fgenesh2_kg.7__1361__AT4G28420.2
OG0002304	Carub.0003s3514.1.p	fgenesh2_kg.3__3596__AT2G20610.1
OG0002305	Carub.0008s2665.1.p	fgenesh2_kg.8__2629__AT5G65750.1
OG0002305	Carub.0005s2213.1.p	fgenesh2_kg.5__1960__AT3G55410.1
OG0002306	Carub.0007s2591.1.p	fgenesh1_pg.C_scaffold_7002364
OG0002306	Carub.0007s2592.1.p	scaffold_702953.1
OG0002307	Carub.0007s1949.1.p	fgenesh2_kg.7__2116__AT4G21880.1
OG0002307	Carub.0006s3271.1.p	fgenesh2_kg.6__3249__AT4G04790.1
OG0002308	Carub.0001s1925.1.p	scaffold_102202.1
OG0002308	Carub.0002s2229.1.p	fgenesh1_pm.C_scaffold_2001506
OG0002309	Carub.0004s2345.1.p	fgenesh2_kg.4__2242__AT2G41140.1
OG0002309	Carub.0005s2350.1.p	fgenesh2_kg.5__2107__AT3G56760.1
OG0002310	Carub.0002s1669.1.p	scaffold_201862.1
OG0002310	Carub.0001s2377.1.p	fgenesh2_kg.3__2746__AT1G27190.1, scaffold_102786.1
OG0002311	Carub.0004s0636.1.p, Carub.0004s0638.1.p	scaffold_400901.1
OG0002311	Carub.0005s2027.1.p	Al_scaffold_0007_3356, Al_scaffold_0002_1110, scaffold_200479.1, scaffold_103760.1, Al_scaffold_1046_1, scaffold_703215.1, scaffold_200764.1, scaffold_35500001.1, scaffold_502469.1
OG0002312	Carub.0001s2327.1.p	fgenesh2_kg.1__2591__AT1G23760.1
OG0002312	Carub.0002s1706.1.p	scaffold_201914.1
OG0002313	Carub.0003s0189.1.p	fgenesh2_kg.3__222__AT3G02790.1
OG0002313	Carub.0006s1467.1.p	fgenesh2_kg.6__1635__AT5G16470.1
OG0002314	Carub.0005s1628.1.p	fgenesh1_pm.C_scaffold_5001114
OG0002314	Carub.0008s2697.1.p	fgenesh2_kg.8__2661__AT5G67500.1
OG0002315	Carub.0001s1055.1.p	scaffold_101187.1
OG0002315	Carub.0002s0430.1.p	fgenesh1_pm.C_scaffold_2000291
OG0002316	Carub.0007s0009.1.p	fgenesh1_pg.C_scaffold_7002946, fgenesh2_kg.7__12__AT4G38200.1
OG0002316	Carub.0007s0493.1.p	fgenesh2_kg.7__542__AT4G35380.1
OG0002317	Carub.0001s1356.1.p	fgenesh2_kg.1__1497__AT1G13860.3
OG0002317	Carub.0005s0244.1.p	Al_scaffold_0005_286
OG0002318	Carub.0008s2793.1.p	fgenesh2_kg.8__2763__AT5G66580.1
OG0002318	Carub.0005s1715.1.p	scaffold_502119.1
OG0002319	Carub.0006s2856.1.p	scaffold_603335.1
OG0002320	Carub.0003s2759.1.p	fgenesh2_kg.6__919__AT5G09660.1
OG0002320	Carub.0004s0191.1.p	fgenesh2_kg.4__199__AT2G22780.1
OG0002321	Carub.0001s1985.1.p	fgenesh2_kg.1__2216__AT1G20340.1
OG0002322	Carub.0004s0323.1.p	fgenesh2_kg.4__324__AT2G24060.1
OG0002322	Carub.0007s0984.1.p	fgenesh2_kg.7__1117__AT4G30690.1
OG0002323	Carub.0005s1632.1.p	Al_scaffold_0005_1843
OG0002323	Carub.0008s2708.1.p	scaffold_803365.1
OG0002324	Carub.0007s1002.1.p	fgenesh1_pm.C_scaffold_7000888
OG0002324	Carub.0004s0313.1.p	Al_scaffold_0004_367, scaffold_13800001.1
OG0002325	Carub.0006s1138.1.p	fgenesh2_kg.6__1269__AT5G13210.1
OG0002325	Carub.0003s2518.1.p	Al_scaffold_0003_2754, fgenesh2_kg.3__2697__AT3G24780.1
OG0002326	Carub.0006s0308.1.p	fgenesh2_kg.6__325__AT5G04130.1
OG0002326	Carub.0003s0945.1.p	fgenesh2_kg.3__1056__AT3G10270.1
