Orthogroup	Capsella_rubella	Tarenaya_hassleriana
OG0001717	Carub.0008s0906.1.p, Carub.0003s0630.1.p	Th2v11383, Th2v08994
OG0001718	Carub.0002s2360.1.p, Carub.0001s2054.1.p	Th2v09814
OG0001719	Carub.0001s1623.1.p, Carub.0002s2604.1.p	Th2v10110, Th2v23340
OG0001720	Carub.0004s1566.1.p, Carub.0001s2720.1.p	Th2v26512
OG0001721	Carub.0007s3373.1.p, Carub.0002s0051.1.p	Th2v04828, Th2v06070, Th2v14779
OG0001722	Carub.0001s4041.1.p	Th2v21870, Th2v24378, Th2v29096
OG0001723	Carub.0007s2221.1.p, Carub.0008s0234.1.p	Th2v07374, Th2v10705, Th2v27290
OG0001724	Carub.0002s1915.1.p	Th2v05966, Th2v21088
OG0001725	Carub.0007s1450.1.p, Carub.0008s1660.1.p	Th2v09508, Th2v21693
OG0001726	Carub.0001s4241.1.p, Carub.0003s1467.1.p	Th2v30079, Th2v23768, Th2v27395
OG0001727	Carub.0002s0189.1.p, Carub.0001s1242.1.p	Th2v06038, Th2v14747, Th2v04877, Th2v20538
OG0001728	Carub.0001s2203.1.p, Carub.0002s1901.1.p	Th2v21151
OG0001729	Carub.0001s3501.1.p	Th2v17185, Th2v31323
OG0001729	Carub.0002s2427.1.p	Th2v09863
OG0001730	Carub.0004s2416.1.p, Carub.0005s2437.1.p	Th2v03469, Th2v13191, Th2v25833
OG0001732	Carub.0003s0221.1.p, Carub.0006s1514.1.p	Th2v18572, Th2v09114, Th2v22976
OG0001733	Carub.0003s1066.1.p, Carub.0006s0475.1.p	Th2v20239
OG0001734	Carub.0006s2310.1.p, Carub.0006s0959.1.p	Th2v17457, Th2v18016
OG0001735	Carub.0004s1542.1.p, Carub.0001s2671.1.p	Th2v10349
OG0001736	Carub.0001s2187.1.p, Carub.0002s2516.1.p	Th2v04201
OG0001737	Carub.0005s1731.1.p, Carub.0008s2807.1.p	Th2v11678, Th2v13450
OG0001738	Carub.0001s3757.1.p	Th2v25547
OG0001739	Carub.0001s0680.1.p, Carub.0001s0677.1.p	Th2v17828, Th2v18754
OG0001740	Carub.0003s3162.1.p, Carub.0007s0485.1.p	Th2v02479, Th2v02932
OG0001741	Carub.0006s0665.1.p, Carub.0008s2211.1.p	Th2v13880, Th2v11886, Th2v24064
OG0001742	Carub.0003s0168.1.p, Carub.0055s0001.1.p, Carub.0006s1432.1.p	Th2v07039, Th2v18131, Th2v09061
OG0001743	Carub.0001s4452.1.p, Carub.0001s4430.1.p, Carub.0003s1245.1.p	Th2v23600, Th2v26195
OG0001744	Carub.0001s2080.1.p, Carub.0002s2388.1.p	Th2v05727, Th2v20815
OG0001745	Carub.0001s3967.1.p, Carub.0003s2025.1.p	Th2v21799
OG0001746	Carub.0004s1369.1.p, Carub.0001s0456.1.p	Th2v16004
OG0001747	Carub.0003s1550.1.p, Carub.0001s4153.1.p	Th2v00853, Th2v23835, Th2v27328
OG0001748	Carub.0001s1223.1.p, Carub.0002s0204.1.p	Th2v04885, Th2v06029, Th2v14737
OG0001749	Carub.0003s0231.1.p, Carub.0006s1538.1.p, Carub.0004s2157.1.p	Th2v22965, Th2v09121, Th2v18565
OG0001750	Carub.0001s1199.1.p, Carub.0002s0214.1.p	Th2v04899, Th2v20567
OG0001751	Carub.0006s0060.1.p, Carub.0003s0813.1.p	Th2v19909
OG0001752	Carub.0004s0365.1.p, Carub.0007s0949.1.p	Th2v12370
OG0001753	Carub.0006s1776.1.p, Carub.0006s1086.1.p	Th2v05454, Th2v29003, Th2v17543, Th2v19196
OG0001754	Carub.0001s2201.1.p, Carub.0002s1904.1.p	Th2v04192, Th2v21150
OG0001755	Carub.0005s0075.1.p, Carub.0005s0076.1.p, Carub.0007s1780.1.p, Carub.0003s3446.1.p	Th2v16802
OG0001756	Carub.0005s0821.1.p, Carub.0008s0831.1.p	Th2v24800
OG0001756	Carub.0005s0820.1.p, Carub.0008s0830.1.p	Th2v11447, Th2v24799
OG0001757	Carub.0005s1382.1.p, Carub.0008s2316.1.p	Th2v11915, Th2v11916, Th2v13977
OG0001758	Carub.0006s0632.1.p, Carub.0117s0001.1.p	Th2v13908, Th2v11893, Th2v24039
OG0001759	Carub.0008s2228.1.p, Carub.0006s0656.1.p	Th2v13893, Th2v24054
OG0001760	Carub.0003s2277.1.p, Carub.0007s2733.1.p	Th2v18672
OG0001761	Carub.0007s3005.1.p, Carub.0007s3004.1.p	Th2v19605, Th2v25239
OG0001762	Carub.0005s0750.1.p, Carub.0005s0751.1.p	Th2v05373
OG0001763	Carub.0004s0282.1.p, Carub.0004s0281.1.p, Carub.0004s0283.1.p	Th2v29116, Th2v03070, Th2v12278
OG0001764	Carub.0005s1986.1.p	Th2v02792, Th2v02855
OG0001765	Carub.0001s0343.1.p, Carub.0008s0495.1.p	Th2v16123, Th2v27071
OG0001766	Carub.0005s0290.1.p, Carub.0005s0291.1.p	Th2v28726, Th2v28733, Th2v29990
OG0001767	Carub.0006s0770.1.p	Th2v11833
OG0001768	Carub.0004s0179.1.p, Carub.0007s0227.1.p	Th2v03156, Th2v12736
OG0001773	Carub.0008s1190.1.p, Carub.0008s1191.1.p	Th2v09301, Th2v26890
OG0001774	Carub.0004s2135.1.p, Carub.0005s2169.1.p	Th2v03527, Th2v22300
OG0001775	Carub.0008s1152.1.p, Carub.0007s1578.1.p	Th2v09330, Th2v23500
OG0001776	Carub.0006s1279.1.p, Carub.0003s0053.1.p	Th2v23162, Th2v06998, Th2v18164
OG0001777	Carub.0008s2121.1.p	Th2v18842
OG0001777	Carub.0008s2122.1.p	Th2v21246
OG0001778	Carub.0004s1712.1.p, Carub.0007s0015.1.p	Th2v12627
OG0001779	Carub.0003s0890.1.p, Carub.0006s0210.1.p	Th2v08828, Th2v14445, Th2v20025
OG0001780	Carub.0003s0905.1.p, Carub.0006s0254.1.p	Th2v20047
OG0001781	Carub.0007s0761.1.p	Th2v01972
OG0001781	Carub.0001s4109.1.p	Th2v23874, Th2v27453, Th2v21913
OG0001782	Carub.0001s4408.1.p, Carub.0003s1277.1.p	Th2v23632, Th2v26148
OG0001783	Carub.0007s1531.1.p, Carub.0007s1528.1.p	Th2v09748, Th2v26916
OG0001784	Carub.0007s2051.1.p, Carub.0007s2052.1.p	Th2v04329
OG0001785	Carub.0006s0828.1.p, Carub.0001s1804.1.p, Carub.0002s2406.1.p	Th2v01625, Th2v01627
OG0001786	Carub.0006s0041.1.p	Th2v14503, Th2v08969, Th2v19895
OG0001786	Carub.0004s2019.1.p	Th2v14571
OG0001788	Carub.0006s1758.1.p, Carub.0003s0546.1.p	Th2v18420
OG0001789	Carub.0006s0328.1.p, Carub.0001s2624.1.p	Th2v10331, Th2v26438
OG0001790	Carub.0003s0188.1.p, Carub.0006s1463.1.p	Th2v18600, Th2v23007
OG0001791	Carub.0005s2602.1.p	Th2v06904
OG0001792	Carub.0006s0448.1.p, Carub.0003s1049.1.p	Th2v19898, Th2v08775, Th2v20218
OG0001794	Carub.0007s0494.1.p, Carub.0003s3136.1.p, Carub.0003s3137.1.p, Carub.0003s3134.1.p	Th2v02922
OG0001795	Carub.0003s3538.1.p	Th2v28226
OG0001795	Carub.0001s1821.1.p	Th2v05900, Th2v21010, Th2v09885
OG0001796	Carub.0003s3212.1.p	Th2v02709, Th2v11979
OG0001797	Carub.0004s0250.1.p, Carub.0007s0303.1.p	Th2v03092
OG0001798	Carub.0008s0955.1.p	Th2v31577
OG0001798	Carub.0002s0632.1.p	Th2v06148, Th2v14856
OG0001800	Carub.0001s1170.1.p, Carub.0002s0255.1.p	Th2v04913, Th2v06003, Th2v14712
OG0001801	Carub.0005s0898.1.p, Carub.0006s1909.1.p	Th2v17999, Th2v18977
OG0001802	Carub.0001s3945.1.p, Carub.0003s1988.1.p	Th2v29976, Th2v25110, Th2v08461
OG0001803	Carub.0002s2569.1.p, Carub.0001s1663.1.p	Th2v05673, Th2v23309
OG0001804	Carub.0003s0405.1.p, Carub.0006s2564.1.p	Th2v25409, Th2v11142, Th2v29629
OG0001805	Carub.0006s0921.1.p	Th2v17449
OG0001805	Carub.0007s0881.1.p	Th2v02071, Th2v12409
OG0001806	Carub.0001s0931.1.p	Th2v06145, Th2v14852
OG0001806	Carub.0008s2521.1.p	Th2v13703
OG0001807	Carub.0001s0671.1.p, Carub.0002s0540.1.p, Carub.0004s1055.1.p	Th2v07498, Th2v15773
OG0001808	Carub.0001s2368.1.p, Carub.0002s1673.1.p	Th2v04010, Th2v24970
OG0001809	Carub.0002s1756.1.p, Carub.0002s1755.1.p, Carub.0001s2268.1.p	Th2v04049
OG0001810	Carub.0002s0254.1.p, Carub.0001s1171.1.p	Th2v04912, Th2v06004, Th2v14713
OG0001811	Carub.0006s1204.1.p, Carub.0003s1175.1.p	Th2v14295, Th2v22118
OG0001812	Carub.0005s0569.1.p, Carub.0007s3483.1.p	Th2v28903, Th2v00297, Th2v06387, Th2v15087, Th2v06389
OG0001813	Carub.0008s1813.1.p, Carub.0007s1517.1.p	Th2v09603
OG0001814	Carub.0002s1441.1.p, Carub.0001s2549.1.p	Th2v03920
OG0001816	Carub.0005s0127.1.p, Carub.0001s1429.1.p	Th2v00074, Th2v06514, Th2v15212, Th2v28665
OG0001817	Carub.0001s2736.1.p, Carub.0004s1577.1.p	Th2v01321, Th2v26521
OG0001818	Carub.0003s3202.1.p, Carub.0007s0421.1.p	Th2v02448, Th2v02986, Th2v21568
OG0001819	Carub.0005s1570.1.p, Carub.0006s2226.1.p	Th2v30398
OG0001820	Carub.0007s1709.1.p, Carub.0007s1710.1.p	Th2v10877
OG0001821	Carub.0007s0963.1.p, Carub.0004s0347.1.p	Th2v01786, Th2v02105
OG0001822	Carub.0007s1078.1.p, Carub.0003s3381.1.p	Th2v01668, Th2v12484
OG0001823	Carub.0003s3028.1.p, Carub.0007s0558.1.p	Th2v02525, Th2v12090, Th2v02808
OG0001824	Carub.0002s2298.1.p	Th2v04094, Th2v05803, Th2v20897, Th2v28124
OG0001825	Carub.0002s2676.1.p, Carub.0004s1342.1.p	Th2v10176, Th2v21404, Th2v30384
OG0001827	Carub.0006s2706.1.p, Carub.0003s0889.1.p	Th2v09999, Th2v05950, Th2v21071
OG0001828	Carub.0001s2102.1.p, Carub.0002s2416.1.p	Th2v04123, Th2v09855
OG0001829	Carub.0005s1345.1.p, Carub.0005s1346.1.p, Carub.0008s2303.1.p	Th2v13957, Th2v24014
OG0001831	Carub.0007s2802.1.p, Carub.0003s2374.1.p	Th2v19445
OG0001832	Carub.0002s2290.1.p, Carub.0001s1975.1.p	Th2v05806, Th2v20900
OG0001833	Carub.0008s0371.1.p, Carub.0008s0369.1.p, Carub.0008s0367.1.p, Carub.0006s3147.1.p	Th2v02672, Th2v19933, Th2v26020, Th2v26021, Th2v26022, Th2v08656, Th2v24407
OG0001834	Carub.0001s0463.1.p, Carub.0004s1356.1.p	Th2v15996, Th2v27139
OG0001835	Carub.0004s2379.1.p, Carub.0005s2403.1.p	Th2v03454, Th2v28470
OG0001836	Carub.0007s2015.1.p, Carub.0006s3313.1.p	Th2v04359, Th2v10767
OG0001837	Carub.0006s3212.1.p, Carub.0007s1917.1.p	Th2v04433, Th2v16706
OG0001838	Carub.0008s1712.1.p, Carub.0007s1469.1.p, Carub.0007s1468.1.p	Th2v09533
OG0001839	Carub.0008s1646.1.p, Carub.0007s1442.1.p	Th2v21684
OG0001840	Carub.0007s0883.1.p, Carub.0004s0440.1.p	Th2v01828
OG0001841	Carub.0001s3758.1.p, Carub.0003s1751.1.p	Th2v26330, Th2v27639
OG0001843	Carub.0005s2697.1.p, Carub.0004s2722.1.p	Th2v07105, Th2v18072, Th2v12775, Th2v22462
OG0001844	Carub.0005s1018.1.p, Carub.0015s0025.1.p, Carub.0007s0664.1.p	Th2v17936, Th2v18900
OG0001845	Carub.0006s1115.1.p	Th2v19138
OG0001845	Carub.0003s2076.1.p	Th2v24416, Th2v21840
OG0001846	Carub.0004s1378.1.p, Carub.0001s0444.1.p	Th2v08116, Th2v16014
OG0001847	Carub.0004s2734.1.p, Carub.0005s2701.1.p	Th2v27492
OG0001848	Carub.0001s1550.1.p, Carub.0007s2212.1.p	Th2v27299
OG0001848	Carub.0002s2708.1.p	Th2v05618
OG0001849	Carub.0007s1732.1.p, Carub.0006s2985.1.p	Th2v16823, Th2v10866, Th2v10865
OG0001850	Carub.0008s2596.1.p, Carub.0006s0857.1.p	Th2v11785, Th2v29351
OG0001851	Carub.0007s1017.1.p	Th2v12448
OG0001851	Carub.0004s0300.1.p	Th2v01749, Th2v02126
OG0001852	Carub.0002s2714.1.p, Carub.0001s1545.1.p	Th2v10217, Th2v23414
OG0001853	Carub.0006s0851.1.p, Carub.0008s2605.1.p	Th2v24231
OG0001854	Carub.0004s1161.1.p, Carub.0001s0617.1.p	Th2v19286, Th2v17306, Th2v29104
OG0001856	Carub.0001s0332.1.p	Th2v08020, Th2v16136
OG0001857	Carub.0001s4051.1.p, Carub.0003s2119.1.p	Th2v24406
OG0001858	Carub.0001s1875.1.p, Carub.0003s1369.1.p	Th2v26119
OG0001859	Carub.0003s2012.1.p, Carub.0001s3965.1.p	Th2v29912
OG0001861	Carub.0004s0052.1.p, Carub.0007s0099.1.p	Th2v02317, Th2v12557
OG0001862	Carub.0006s3247.1.p, Carub.0007s1937.1.p	Th2v04411
OG0001863	Carub.0006s0390.1.p, Carub.0003s0994.1.p	Th2v20165, Th2v08869, Th2v20166
OG0001864	Carub.0005s2538.1.p, Carub.0004s2503.1.p	Th2v06865
OG0001865	Carub.0005s2866.1.p, Carub.0004s2940.1.p	Th2v07219, Th2v12950, Th2v22648
OG0001866	Carub.0001s0542.1.p, Carub.0001s0543.1.p	Th2v15925, Th2v15923, Th2v15924
OG0001867	Carub.0001s0607.1.p, Carub.0004s1178.1.p	Th2v10461, Th2v15854
OG0001868	Carub.0006s1731.1.p, Carub.0003s0563.1.p	Th2v18407, Th2v24645
OG0001869	Carub.0008s2417.1.p, Carub.0005s1478.1.p	Th2v23941, Th2v09281, Th2v17362, Th2v14072
OG0001870	Carub.0007s1932.1.p, Carub.0006s3227.1.p	Th2v16699, Th2v16700
OG0001871	Carub.0005s0183.1.p, Carub.0006s3640.1.p	Th2v00107
OG0001872	Carub.0004s0067.1.p	Th2v12545
OG0001872	Carub.0003s0488.1.p, Carub.0007s0115.1.p	Th2v02326
OG0001873	Carub.0001s0997.1.p, Carub.0002s0523.1.p	Th2v05004, Th2v06120, Th2v14829
OG0001874	Carub.0007s3647.1.p	Th2v00407, Th2v05361
OG0001874	Carub.0001s1367.1.p	Th2v00128, Th2v06491, Th2v15188
OG0001875	Carub.0007s0458.1.p, Carub.0007s0469.1.p	Th2v12178, Th2v12179
OG0001876	Carub.0007s3439.1.p, Carub.0005s0500.1.p	Th2v28500
OG0001877	Carub.0005s2850.1.p	Th2v20452
OG0001877	Carub.0007s3325.1.p	Th2v04824, Th2v20447
OG0001878	Carub.0008s2748.1.p, Carub.0005s1665.1.p	Th2v13501, Th2v14221, Th2v26661
OG0001879	Carub.0004s2385.1.p, Carub.0005s2418.1.p	Th2v13172, Th2v25815
OG0001880	Carub.0006s2340.1.p, Carub.0006s0989.1.p	Th2v17637, Th2v21444
OG0001881	Carub.0004s1807.1.p, Carub.0005s1925.1.p	Th2v30508
OG0001882	Carub.0003s2961.1.p	Th2v02868
OG0001882	Carub.0003s2966.1.p	Th2v02866
OG0001883	Carub.0001s1598.1.p, Carub.0002s2647.1.p	Th2v10147
OG0001884	Carub.0002s1972.1.p	Th2v09984
OG0001884	Carub.0003s1342.1.p	Th2v00959, Th2v26097
OG0001885	Carub.0001s3922.1.p, Carub.0003s1956.1.p	Th2v08451, Th2v25082
OG0001886	Carub.0003s1520.1.p, Carub.0001s4206.1.p	Th2v23810, Th2v27353, Th2v00867, Th2v21998
OG0001887	Carub.0001s2294.1.p, Carub.0002s1726.1.p	Th2v25059, Th2v25699
OG0001888	Carub.0006s1355.1.p, Carub.0006s1280.1.p	Th2v23161, Th2v31009
OG0001889	Carub.0005s1146.1.p, Carub.0008s2095.1.p	Th2v18830, Th2v21253
OG0001890	Carub.0005s1954.1.p, Carub.0004s1846.1.p	Th2v03642, Th2v29303
OG0001891	Carub.0006s1384.1.p	Th2v09039
OG0001891	Carub.0002s1561.1.p	Th2v24901, Th2v30760
OG0001892	Carub.0003s1920.1.p, Carub.0001s3898.1.p	Th2v10725
OG0001893	Carub.0006s0534.1.p	Th2v08720
OG0001893	Carub.0004s1125.1.p	Th2v01121, Th2v07455, Th2v15814
OG0001894	Carub.0006s0229.1.p, Carub.0003s0898.1.p, Carub.0003s0924.1.p, Carub.0003s0920.1.p	Th2v08840, Th2v20040
OG0001895	Carub.0007s1501.1.p, Carub.0008s1771.1.p	Th2v09576, Th2v21733
OG0001896	Carub.0001s1855.1.p, Carub.0002s2154.1.p	Th2v20340
OG0001897	Carub.0004s1594.1.p, Carub.0001s2769.1.p	Th2v20317, Th2v30277, Th2v31416
OG0001898	Carub.0001s0278.1.p, Carub.0006s3354.1.p	Th2v07993, Th2v27048, Th2v16192
OG0001899	Carub.0002s2509.1.p, Carub.0001s2182.1.p	Th2v21141, Th2v27961
OG0001900	Carub.0005s2685.1.p	Th2v27480, Th2v12762, Th2v07113, Th2v31453
OG0001901	Carub.0006s1777.1.p, Carub.0006s1082.1.p	Th2v29005
OG0001902	Carub.0001s1660.1.p, Carub.0002s2570.1.p	Th2v23311, Th2v05671, Th2v10081
OG0001903	Carub.0008s0821.1.p	Th2v24793
OG0001903	Carub.0003s2559.1.p	Th2v25272
OG0001904	Carub.0007s2377.1.p, Carub.0008s0065.1.p	Th2v27201, Th2v17054, Th2v10637
OG0001905	Carub.0001s1606.1.p, Carub.0002s2637.1.p	Th2v05646, Th2v23346
OG0001906	Carub.0007s2255.1.p, Carub.0003s2477.1.p, Carub.0007s2928.1.p	Th2v19543, Th2v25321
OG0001907	Carub.0001s1894.1.p, Carub.0002s2186.1.p	Th2v05863, Th2v20965
OG0001908	Carub.0007s0151.1.p, Carub.0007s0152.1.p	Th2v03212
OG0001909	Carub.0003s1210.1.p, Carub.0001s4485.1.p	Th2v24492, Th2v13415, Th2v23589
OG0001910	Carub.0001s1418.1.p, Carub.0005s0149.1.p	Th2v00081
OG0001912	Carub.0003s1120.1.p, Carub.0006s0544.1.p	Th2v14325, Th2v22149, Th2v17684
OG0001913	Carub.0005s2018.1.p, Carub.0004s1935.1.p	Th2v16966
OG0001914	Carub.0006s0742.1.p, Carub.0006s2135.1.p	Th2v11844, Th2v24146
OG0001915	Carub.0006s0427.1.p	Th2v14393, Th2v22221, Th2v20199
OG0001916	Carub.0005s0384.1.p, Carub.0001s1315.1.p	Th2v00210, Th2v06444, Th2v15143
OG0001917	Carub.0006s2978.1.p, Carub.0007s1726.1.p	Th2v04586, Th2v04585, Th2v10868
OG0001918	Carub.0003s0775.1.p	Th2v08988
OG0001918	Carub.0004s2059.1.p	Th2v17027
OG0001919	Carub.0001s3857.1.p, Carub.0001s3856.1.p, Carub.0006s1878.1.p, Carub.0006s1887.1.p	Th2v19001
OG0001920	Carub.0008s2600.1.p, Carub.0006s0855.1.p	Th2v13641, Th2v24234
OG0001921	Carub.0001s1233.1.p, Carub.0002s0195.1.p	Th2v04878, Th2v06032, Th2v14740
OG0001922	Carub.0001s2156.1.p	Th2v27985
OG0001922	Carub.0001s3373.1.p	Th2v04767, Th2v17165
OG0001923	Carub.0004s1980.1.p, Carub.0005s2051.1.p	Th2v03691, Th2v14594
OG0001924	Carub.0005s1409.1.p, Carub.0008s2345.1.p	Th2v14009
OG0001925	Carub.0005s2265.1.p, Carub.0004s2226.1.p	Th2v03387, Th2v06710, Th2v15408
OG0001926	Carub.0004s1545.1.p, Carub.0001s2673.1.p	Th2v01287, Th2v26479
OG0001927	Carub.0006s0961.1.p	Th2v28987
OG0001927	Carub.0006s1867.1.p	Th2v18027
OG0001928	Carub.0003s1075.1.p, Carub.0006s0496.1.p	Th2v08751, Th2v14356, Th2v22180
OG0001929	Carub.0003s3342.1.p, Carub.0007s1059.1.p	Th2v01703, Th2v02153
OG0001930	Carub.0006s0599.1.p, Carub.0008s1897.1.p	Th2v17783
OG0001931	Carub.0007s0375.1.p, Carub.0003s3249.1.p	Th2v02419, Th2v03025, Th2v21530
OG0001932	Carub.0001s3878.1.p, Carub.0003s1895.1.p	Th2v29985
OG0001933	Carub.0001s3830.1.p, Carub.0003s1819.1.p	Th2v25563, Th2v26382, Th2v27725
OG0001934	Carub.0005s1287.1.p, Carub.0008s2012.1.p	Th2v18769, Th2v18770, Th2v21289
OG0001935	Carub.0001s0174.1.p, Carub.0006s3500.1.p	Th2v07913, Th2v16310
OG0001936	Carub.0007s1012.1.p, Carub.0004s0307.1.p, Carub.0004s0308.1.p	Th2v01756, Th2v02124
OG0001937	Carub.0005s0554.1.p, Carub.0007s3472.1.p	Th2v06395, Th2v15094, Th2v28895
OG0001938	Carub.0008s1371.1.p, Carub.0007s1314.1.p	Th2v26962, Th2v28352
OG0001939	Carub.0006s0718.1.p, Carub.0006s2102.1.p	Th2v11852
OG0001940	Carub.0001s1754.1.p, Carub.0002s1998.1.p	Th2v05933, Th2v21054, Th2v31121
OG0001941	Carub.0004s1973.1.p	Th2v03688
OG0001941	Carub.0004s1971.1.p	Th2v16931
OG0001942	Carub.0004s1992.1.p, Carub.0005s2065.1.p	Th2v03697, Th2v14584
OG0001943	Carub.0001s0498.1.p, Carub.0004s1312.1.p	Th2v21265, Th2v15959, Th2v08147
OG0001944	Carub.0003s3309.1.p, Carub.0007s1037.1.p	Th2v01728, Th2v12439
OG0001945	Carub.0005s2120.1.p	Th2v06581
OG0001945	Carub.0004s2088.1.p	Th2v06580, Th2v15280
OG0001946	Carub.0008s0215.1.p, Carub.0007s2253.1.p	Th2v16555, Th2v07383, Th2v10694
OG0001947	Carub.0002s2439.1.p, Carub.0001s2119.1.p	Th2v05701, Th2v20786
OG0001948	Carub.0003s1998.1.p, Carub.0001s3956.1.p	Th2v16999
OG0001949	Carub.0006s1062.1.p, Carub.0006s1786.1.p	Th2v07733, Th2v15568, Th2v24464
OG0001950	Carub.0001s1886.1.p, Carub.0002s2175.1.p	Th2v05869, Th2v20972, Th2v03779, Th2v19818
OG0001951	Carub.0004s0487.1.p, Carub.0007s0853.1.p	Th2v01859, Th2v02060, Th2v11105
OG0001952	Carub.0007s0189.1.p, Carub.0004s0150.1.p	Th2v02354, Th2v03181
OG0001953	Carub.0001s2040.1.p, Carub.0002s2344.1.p, Carub.0002s2343.1.p	Th2v09801
OG0001954	Carub.0001s1576.1.p, Carub.0002s2672.1.p	Th2v10172
OG0001955	Carub.0006s2920.1.p	Th2v16852, Th2v04627, Th2v10904
OG0001956	Carub.0001s1450.1.p, Carub.0005s0081.1.p	Th2v05408, Th2v00050, Th2v06531, Th2v15230
OG0001957	Carub.0005s2344.1.p	Th2v13132, Th2v13133, Th2v27474, Th2v27473, Th2v27472
OG0001958	Carub.0001s2333.1.p, Carub.0001s2334.1.p	Th2v25036
OG0001959	Carub.0001s2589.1.p, Carub.0001s2590.1.p	Th2v28204, Th2v29790
OG0001960	Carub.0001s0406.1.p, Carub.0004s1409.1.p	Th2v08075, Th2v16067
OG0001961	Carub.0001s2366.1.p, Carub.0002s1676.1.p	Th2v04012
OG0001962	Carub.0003s3170.1.p, Carub.0007s0468.1.p	Th2v02471, Th2v12182
OG0001963	Carub.0004s2571.1.p, Carub.0005s2609.1.p	Th2v06909, Th2v13318, Th2v25950
OG0001964	Carub.0008s0028.1.p, Carub.0008s0029.1.p	Th2v10585, Th2v10619, Th2v17091
OG0001965	Carub.0002s2342.1.p, Carub.0001s2038.1.p	Th2v05759, Th2v20852, Th2v09800
OG0001966	Carub.0007s2080.1.p, Carub.0008s0394.1.p	Th2v04306, Th2v16634
OG0001967	Carub.0004s2903.1.p, Carub.0005s2833.1.p	Th2v12908, Th2v22603
OG0001968	Carub.0008s0306.1.p, Carub.0007s2153.1.p	Th2v07361, Th2v10719, Th2v04260
OG0001969	Carub.0006s1690.1.p, Carub.0003s0584.1.p	Th2v11335, Th2v18390
OG0001970	Carub.0001s1620.1.p, Carub.0002s2610.1.p	Th2v05648, Th2v10113
OG0001971	Carub.0001s0645.1.p, Carub.0004s1112.1.p	Th2v01117, Th2v07465, Th2v15805
OG0001972	Carub.0003s1492.1.p, Carub.0001s4231.1.p	Th2v22028
OG0001973	Carub.0005s2479.1.p, Carub.0004s2450.1.p, Carub.0004s2452.1.p	Th2v13224, Th2v25861
OG0001974	Carub.0001s2205.1.p, Carub.0002s1897.1.p	Th2v21154, Th2v27946
OG0001975	Carub.0003s3296.1.p, Carub.0003s3294.1.p	Th2v01743
OG0001976	Carub.0005s1393.1.p, Carub.0008s2323.1.p	Th2v13991, Th2v24001
OG0001977	Carub.0008s0402.1.p, Carub.0007s2071.1.p	Th2v16641
OG0001978	Carub.0007s2678.1.p, Carub.0003s2229.1.p	Th2v19308, Th2v18204, Th2v24614
OG0001979	Carub.0005s0874.1.p, Carub.0007s3715.1.p	Th2v00463, Th2v06313, Th2v15012
OG0001980	Carub.0003s0323.1.p, Carub.0006s1649.1.p	Th2v09162
OG0001981	Carub.0005s0232.1.p, Carub.0001s1365.1.p	Th2v00129, Th2v28702
OG0001982	Carub.0007s1494.1.p	Th2v30388, Th2v30390, Th2v30787
OG0001983	Carub.0008s1541.1.p, Carub.0007s1399.1.p	Th2v05490, Th2v09430
OG0001984	Carub.0001s1474.1.p, Carub.0005s0044.1.p	Th2v00021, Th2v05432
OG0001985	Carub.0001s1469.1.p, Carub.0005s0054.1.p	Th2v00027, Th2v05424
OG0001986	Carub.0002s2747.1.p	Th2v07785
OG0001986	Carub.0006s0964.1.p	Th2v11112
OG0001987	Carub.0006s0469.1.p, Carub.0003s1059.1.p	Th2v14367, Th2v22192, Th2v20234
OG0001988	Carub.0004s0037.1.p, Carub.0007s0079.1.p	Th2v02310, Th2v03263, Th2v12568
OG0001989	Carub.0007s2728.1.p, Carub.0003s2269.1.p	Th2v19348, Th2v18664, Th2v24599
OG0001990	Carub.0001s1792.1.p, Carub.0002s2028.1.p	Th2v09941, Th2v29480
OG0001992	Carub.0005s2755.1.p	Th2v07047, Th2v18125, Th2v12832, Th2v22520
OG0001993	Carub.0001s0756.1.p, Carub.0004s0862.1.p	Th2v17919, Th2v18878, Th2v01044, Th2v08357
OG0001994	Carub.0005s1384.1.p, Carub.0002s2130.1.p	Th2v11914, Th2v13979
OG0001995	Carub.0001s0192.1.p, Carub.0006s3480.1.p	Th2v07932
OG0001996	Carub.0006s1291.1.p, Carub.0003s0059.1.p	Th2v07000, Th2v18162, Th2v24708
OG0001997	Carub.0007s2336.1.p, Carub.0008s0132.1.p	Th2v16503, Th2v27165
OG0001998	Carub.0007s1226.1.p, Carub.0001s0293.1.p	Th2v12664
OG0001999	Carub.0007s1428.1.p, Carub.0008s1626.1.p	Th2v09481, Th2v09480, Th2v21675
OG0002000	Carub.0002s2411.1.p, Carub.0001s2098.1.p	Th2v05718, Th2v20806
OG0002001	Carub.0005s0176.1.p, Carub.0001s1401.1.p	Th2v00098, Th2v06498, Th2v15195
OG0002002	Carub.0008s0312.1.p, Carub.0007s2146.1.p	Th2v07358, Th2v10722
OG0002004	Carub.0001s3000.1.p, Carub.0001s3001.1.p	Th2v19333, Th2v05847, Th2v20945, Th2v19334
OG0002005	Carub.0005s2628.1.p, Carub.0004s2591.1.p	Th2v19997, Th2v06920, Th2v13344, Th2v25967
OG0002007	Carub.0006s1645.1.p, Carub.0003s0315.1.p	Th2v18520
OG0002008	Carub.0007s1304.1.p, Carub.0008s1363.1.p	Th2v26957, Th2v28361
