Orthogroup	Capsella_rubella	Aethionema_arabicum
OG0003107	Carub.0002s0440.1.p	AA53G00512
OG0003108	Carub.0005s2599.1.p, Carub.0005s2594.1.p	AA61G00318, AA49G00007
OG0003109	Carub.0004s2346.1.p, Carub.0005s2349.1.p	AA61G00139
OG0003110	Carub.0002s2121.1.p	AA31G00504, AA31G00505
OG0003110	Carub.0001s1837.1.p	AA39G00163
OG0003111	Carub.0001s0516.1.p	AA7G00145
OG0003112	Carub.0006s2460.1.p, Carub.0003s0506.1.p	AA10G00048
OG0003114	Carub.0001s0308.1.p	AA7G00087
OG0003114	Carub.0008s0443.1.p	AA32G00380
OG0003115	Carub.0005s2973.1.p	AA61G00637
OG0003115	Carub.0004s3085.1.p	AA21G00572
OG0003116	Carub.0005s0169.1.p	AA53G00722
OG0003116	Carub.0001s1409.1.p	AA14G00040
OG0003117	Carub.0007s2942.1.p	AA69G00047
OG0003117	Carub.0003s2502.1.p	AA649G00002
OG0003118	Carub.0007s0994.1.p	AA15G00278
OG0003118	Carub.0005s2052.1.p, Carub.0007s0935.1.p	AA102G00276
OG0003120	Carub.0007s1322.1.p, Carub.0008s0533.1.p, Carub.0008s0531.1.p, Carub.0002s1015.1.p	AA53G01215
OG0003121	Carub.0008s2226.1.p, Carub.0006s0660.1.p	AA44G00036
OG0003122	Carub.0007s2302.1.p, Carub.0007s2303.1.p	AA57G00104
OG0003123	Carub.0006s3533.1.p	AA32G00216
OG0003124	Carub.0006s0376.1.p, Carub.0003s0987.1.p	AA12G00216
OG0003125	Carub.0004s0493.1.p, Carub.0007s0844.1.p	AA48G00016, AA48G00015
OG0003126	Carub.0001s3054.1.p	AA53G00209
OG0003127	Carub.0001s0739.1.p	AA801G00001
OG0003128	Carub.0006s0241.1.p	AA19G00226
OG0003128	Carub.0004s2043.1.p	AA246G00013
OG0003129	Carub.0005s1495.1.p	AA96G00132
OG0003130	Carub.0002s2039.1.p, Carub.0001s1782.1.p	AA39G00107
OG0003131	Carub.0005s2346.1.p	AA53G00701, AA53G00700, AA53G00703
OG0003131	Carub.0005s0144.1.p, Carub.0005s0143.1.p, Carub.0002s1531.1.p	AA53G00702
OG0003132	Carub.0008s2671.1.p	AA4G00299
OG0003132	Carub.0005s1609.1.p	AA13G00107
OG0003133	Carub.0002s2041.1.p, Carub.0001s1780.1.p	AA39G00109
OG0003134	Carub.0007s1155.1.p	AA102G00059
OG0003134	Carub.0003s3444.1.p	AA33G00285
OG0003135	Carub.0006s2064.1.p, Carub.0006s2059.1.p, Carub.0006s2058.1.p	AA100G00009, AA8G00295
OG0003136	Carub.0004s1132.1.p, Carub.0001s0632.1.p	AA23G00101
OG0003137	Carub.0002s2643.1.p	AA31G00820
OG0003137	Carub.0001s1601.1.p	AA37G00127
OG0003138	Carub.0003s1643.1.p	AA26G00366
OG0003138	Carub.0007s2572.1.p	AA18G00165
OG0003140	Carub.0004s0814.1.p, Carub.0001s0234.1.p	AA7G00066, AA7G00065
OG0003141	Carub.0002s0456.1.p	AA53G00500
OG0003141	Carub.0001s1018.1.p	AA65G00123
OG0003142	Carub.0006s1417.1.p	AA40G00504
OG0003142	Carub.0003s0159.1.p	AA10G00363
OG0003143	Carub.0001s0534.1.p	AA114G00021
OG0003145	Carub.0003s2093.1.p, Carub.0001s4026.1.p	AA2G00177
OG0003146	Carub.0005s2421.1.p, Carub.0001s3481.1.p	AA8G00199
OG0003147	Carub.0007s2084.1.p, Carub.0007s2043.1.p	AA87G00119
OG0003148	Carub.0001s2287.1.p	AA39G00524
OG0003149	Carub.0001s3989.1.p, Carub.0003s2054.1.p	AA26G00723
OG0003150	Carub.0002s0322.1.p, Carub.0002s0324.1.p, Carub.0002s0323.1.p	AA53G00577, AA53G00576
OG0003151	Carub.0006s0670.1.p	AA44G00046, AA44G00045
OG0003152	Carub.0006s3584.1.p	AA32G00183
OG0003152	Carub.0001s0111.1.p	AA1G00041
OG0003153	Carub.0005s2175.1.p	AA70G00027
OG0003154	Carub.0006s2496.1.p	AA40G00104
OG0003154	Carub.0003s0470.1.p	AA10G00066
OG0003155	Carub.0001s3504.1.p	AA54G00039
OG0003155	Carub.0002s2435.1.p	AA31G00234
OG0003156	Carub.0002s1197.1.p, Carub.0005s0298.1.p	AA104G00007, AA53G01140
OG0003158	Carub.0007s2654.1.p, Carub.0007s2655.1.p	AA87G00190
OG0003159	Carub.0007s1132.1.p, Carub.0007s1133.1.p, Carub.0007s1128.1.p	AA102G00080
OG0003164	Carub.0007s1944.1.p, Carub.0007s1943.1.p	AA57G00391
OG0003167	Carub.0001s0342.1.p, Carub.0008s0491.1.p	AA32G00411
OG0003168	Carub.0006s1486.1.p	AA40G00435
OG0003168	Carub.0003s0203.1.p	AA10G00323
OG0003169	Carub.0006s0676.1.p	AA44G00052
OG0003170	Carub.0005s0791.1.p	AA53G01099
OG0003171	Carub.0005s1483.1.p, Carub.0005s1484.1.p	AA43G00100, AA180G00004, AA180G00002, AA180G00001, AA221G00004, AA180G00003, AA221G00001
OG0003172	Carub.0001s0324.1.p	AA19G00141, AA67G00017
OG0003172	Carub.0008s0460.1.p	AA32G00394
OG0003173	Carub.0001s0951.1.p	AA65G00067
OG0003173	Carub.0002s0601.1.p	AA53G00411
OG0003174	Carub.0001s1801.1.p	AA39G00124
OG0003175	Carub.0001s2722.1.p	AA49G00014
OG0003175	Carub.0004s1567.1.p	AA43G00012
OG0003176	Carub.0005s1729.1.p	AA13G00035
OG0003177	Carub.0005s1370.1.p	AA82G00004, AA16G00130, AA16G00123, AA16G00132
OG0003178	Carub.0007s2227.1.p, Carub.0008s0232.1.p	AA6G00031
OG0003179	Carub.0006s0753.1.p	AA44G00184
OG0003179	Carub.0008s2444.1.p	AA4G00108, AA61G00092
OG0003181	Carub.0007s2029.1.p, Carub.0006s3331.1.p	AA6G00216
OG0003182	Carub.0007s2313.1.p	AA56G00047
OG0003183	Carub.0004s0262.1.p, Carub.0007s0312.1.p	AA30G00230
OG0003184	Carub.0001s2834.1.p, Carub.0004s1627.1.p	AA18G00111
OG0003185	Carub.0006s1444.1.p	AA40G00480
OG0003185	Carub.0003s0175.1.p	AA10G00349
OG0003186	Carub.0006s0631.1.p	AA44G00016
OG0003186	Carub.0008s2248.1.p	AA5G00122
OG0003187	Carub.0002s1251.1.p, Carub.0007s3302.1.p	AA27G00052
OG0003188	Carub.0005s1166.1.p	AA16G00082
OG0003188	Carub.0008s2071.1.p	AA8G00360
OG0003189	Carub.0008s0199.1.p	AA56G00087
OG0003189	Carub.0007s2275.1.p	AA57G00133
OG0003191	Carub.0006s0083.1.p, Carub.0006s0084.1.p	AA19G00341
OG0003192	Carub.0008s2761.1.p	AA8G00036
OG0003193	Carub.0002s0904.1.p, Carub.0002s0895.1.p	AA53G00357
OG0003194	Carub.0007s2747.1.p, Carub.0007s2745.1.p	AA87G00248
OG0003195	Carub.0001s1803.1.p	AA39G00126
OG0003195	Carub.0002s2062.1.p	AA31G00556
OG0003196	Carub.0004s3084.1.p	AA21G00571
OG0003196	Carub.0005s2972.1.p	AA61G00636
OG0003197	Carub.0007s1717.1.p, Carub.0006s2971.1.p	AA3G00060
OG0003198	Carub.0005s1924.1.p, Carub.0004s1805.1.p	AA60G00166
OG0003199	Carub.0008s1780.1.p	AA44G00659
OG0003200	Carub.0008s0309.1.p, Carub.0007s2151.1.p	AA57G00222
OG0003201	Carub.0007s0864.1.p, Carub.0004s0475.1.p	AA235G00001
OG0003204	Carub.0003s3301.1.p, Carub.0007s1027.1.p	AA102G00180, AA33G00158
OG0003205	Carub.0001s0527.1.p, Carub.0004s1278.1.p	AA32G00586
OG0003206	Carub.0001s4111.1.p	AA15G00019
OG0003206	Carub.0003s1601.1.p	AA26G00329
OG0003209	Carub.0001s3203.1.p	AA54G00153, AA54G00156
OG0003209	Carub.0001s3202.1.p	AA54G00155
OG0003210	Carub.0005s1722.1.p, Carub.0008s2795.1.p	AA8G00068
OG0003211	Carub.0005s2420.1.p, Carub.0004s2387.1.p	AA19G00461
OG0003212	Carub.0001s0869.1.p, Carub.0002s0730.1.p	AA42G00019
OG0003213	Carub.0002s2081.1.p	AA31G00540
OG0003213	Carub.0002s2080.1.p	AA31G00541
OG0003214	Carub.0007s3267.1.p, Carub.0003s0195.1.p	AA10G00328
OG0003215	Carub.0002s1027.1.p	AA53G01210
OG0003215	Carub.0003s1582.1.p	AA26G00314
OG0003216	Carub.0001s1711.1.p, Carub.0002s1927.1.p	AA31G00699
OG0003218	Carub.0001s4008.1.p	AA2G00187
OG0003218	Carub.0003s2079.1.p	AA26G00747
OG0003219	Carub.0007s1521.1.p, Carub.0008s1302.1.p	AA77G00017
OG0003220	Carub.0001s0249.1.p	AA7G00078
OG0003220	Carub.0006s3405.1.p	AA32G00319
OG0003222	Carub.0006s3091.1.p, Carub.0007s1827.1.p	AA3G00010
OG0003223	Carub.0001s2902.1.p, Carub.0001s2901.1.p	AA30G00028
OG0003224	Carub.0007s1183.1.p, Carub.0007s1184.1.p	AA102G00037
OG0003225	Carub.0003s3008.1.p, Carub.0001s2516.1.p, Carub.0002s1482.1.p	AA53G00779
OG0003226	Carub.0003s2905.1.p	AA123G00091
OG0003227	Carub.0005s1138.1.p, Carub.0008s1026.1.p, Carub.0002s2661.1.p	AA31G00838
OG0003228	Carub.0006s0903.1.p	AA44G00320
OG0003228	Carub.0008s2650.1.p	AA4G00282
OG0003232	Carub.0004s0085.1.p, Carub.0004s0131.1.p	AA46G00116
OG0003233	Carub.0001s2504.1.p	AA39G00688
OG0003233	Carub.0002s1504.1.p	AA36G00032
OG0003235	Carub.0005s0809.1.p	AA53G01110
OG0003235	Carub.0007s3668.1.p	AA9G00011
OG0003237	Carub.0008s1993.1.p, Carub.0005s1300.1.p	AA16G00030
OG0003238	Carub.0003s0786.1.p, Carub.0003s0785.1.p	AA29G00203, AA32G01229
OG0003239	Carub.0003s1016.1.p, Carub.0003s1015.1.p, Carub.0003s1014.1.p	AA93G00280
OG0003240	Carub.0007s2460.1.p, Carub.0007s2459.1.p	AA53G00282
OG0003240	Carub.0007s2461.1.p	AA53G00283
OG0003241	Carub.0008s2681.1.p	AA4G00305
OG0003241	Carub.0005s1616.1.p	AA13G00101
OG0003242	Carub.0007s0406.1.p	AA30G00135
OG0003243	Carub.0006s1993.1.p, Carub.0005s0996.1.p	AA24G00039
OG0003244	Carub.0007s2924.1.p	AA166G00006
OG0003244	Carub.0003s2476.1.p	AA50G00056
OG0003245	Carub.0001s4332.1.p	AA15G00164
OG0003245	Carub.0003s1370.1.p	AA26G00128
OG0003246	Carub.0003s1669.1.p	AA26G00386
OG0003246	Carub.0007s2541.1.p	AA18G00187
OG0003247	Carub.0005s2653.1.p	AA61G00357, AA21G00155
OG0003249	Carub.0002s0508.1.p	AA53G00466
OG0003250	Carub.0006s0488.1.p, Carub.0003s1070.1.p	AA105G00024
OG0003251	Carub.0003s1779.1.p, Carub.0003s1780.1.p	AA26G00479
OG0003252	Carub.0007s1718.1.p, Carub.0006s2972.1.p	AA3G00057
OG0003254	Carub.0007s0825.1.p	AA104G00005
OG0003255	Carub.0005s2676.1.p	AA61G00372
OG0003255	Carub.0004s2981.1.p	AA21G00432
OG0003256	Carub.0008s1872.1.p, Carub.0008s1860.1.p	AA44G00584
OG0003257	Carub.0003s0278.1.p, Carub.0006s1594.1.p	AA10G00244
OG0003258	Carub.0004s1592.1.p, Carub.0001s2756.1.p	AA54G00353
OG0003259	Carub.0008s0901.1.p	AA133G00011
OG0003259	Carub.0006s3489.1.p	AA32G00260
OG0003260	Carub.0003s1367.1.p	AA26G00124
OG0003260	Carub.0001s4335.1.p	AA15G00165
OG0003261	Carub.0002s2315.1.p	AA31G00339
OG0003261	Carub.0001s2001.1.p	AA39G00294
OG0003262	Carub.0007s0415.1.p	AA30G00130
OG0003262	Carub.0003s3206.1.p	AA33G00089
OG0003263	Carub.0003s0143.1.p	AA10G00375
OG0003263	Carub.0006s1397.1.p	AA40G00518
OG0003264	Carub.0003s0436.1.p	AA10G00111
OG0003265	Carub.0003s0245.1.p	AA10G00288
OG0003265	Carub.0006s1560.1.p	AA40G00370
OG0003266	Carub.0006s1456.1.p, Carub.0006s1453.1.p	AA40G00472
OG0003267	Carub.0004s1235.1.p	AA32G00613
OG0003269	Carub.0007s1109.1.p, Carub.0007s1141.1.p	AA102G00046
OG0003270	Carub.0001s0612.1.p, Carub.0004s1171.1.p	AA32G00651
OG0003271	Carub.0003s1307.1.p	AA26G00077
OG0003272	Carub.0003s3456.1.p	AA33G00297
OG0003272	Carub.0007s1187.1.p	AA102G00035
OG0003273	Carub.0007s1511.1.p	AA81G00022
OG0003273	Carub.0008s1795.1.p	AA44G00648
OG0003274	Carub.0001s4122.1.p, Carub.0003s1586.1.p	AA15G00025
OG0003275	Carub.0001s1641.1.p	AA37G00087
OG0003275	Carub.0002s2590.1.p	AA31G00769
OG0003276	Carub.0001s3737.1.p	AA18G00224
OG0003276	Carub.0003s1715.1.p	AA26G00423
OG0003277	Carub.0001s4049.1.p	AA2G00221
OG0003279	Carub.0007s0672.1.p	AA814G00001
OG0003279	Carub.0003s2851.1.p	AA123G00118
OG0003280	Carub.0004s1435.1.p	AA32G00505
OG0003280	Carub.0001s0422.1.p	AA19G00051
OG0003281	Carub.0007s0636.1.p	AA118G00050
OG0003282	Carub.0005s1088.1.p, Carub.0007s0120.1.p, Carub.0004s0076.1.p	AA28G00028, AA46G00091
OG0003283	Carub.0006s2821.1.p, Carub.0001s3219.1.p	AA54G00142
OG0003284	Carub.0002s2539.1.p	AA31G00726
OG0003284	Carub.0001s1676.1.p	AA39G00006
OG0003285	Carub.0007s0722.1.p, Carub.0003s1396.1.p	AA26G00151
OG0003287	Carub.0004s1382.1.p, Carub.0001s0441.1.p	AA19G00032
OG0003288	Carub.0006s2826.1.p	AA9G00169
OG0003288	Carub.0001s3210.1.p	AA54G00148
OG0003289	Carub.0004s1006.1.p, Carub.0001s0684.1.p	AA90G00080
OG0003290	Carub.0003s0883.1.p	AA93G00134
OG0003291	Carub.0006s2784.1.p, Carub.0001s3308.1.p	AA54G00102
OG0003292	Carub.0007s1693.1.p, Carub.0008s0656.1.p	AA3G00200
OG0003293	Carub.0003s0818.1.p	AA93G00086
OG0003294	Carub.0001s0777.1.p, Carub.0004s0780.1.p	AA32G00951
OG0003296	Carub.0001s2781.1.p, Carub.0001s2779.1.p	AA54G00371
OG0003297	Carub.0006s0302.1.p, Carub.0003s0937.1.p	AA93G00190
OG0003298	Carub.0008s0071.1.p, Carub.0007s2374.1.p	AA57G00037
OG0003299	Carub.0004s2476.1.p, Carub.0005s2495.1.p	AA21G00034
OG0003300	Carub.0007s1023.1.p, Carub.0003s3293.1.p	AA33G00115
OG0003301	Carub.0006s1734.1.p	AA40G00221
OG0003301	Carub.0003s0562.1.p	AA29G00007
OG0003302	Carub.0007s1548.1.p, Carub.0007s1547.1.p	AA471G00001
OG0003303	Carub.0002s2155.1.p	AA31G00474
OG0003303	Carub.0001s1856.1.p	AA39G00178
OG0003304	Carub.0004s1832.1.p, Carub.0005s1943.1.p	AA36G00014, AA62G00051
OG0003305	Carub.0003s0679.1.p, Carub.0003s0675.1.p	AA29G00108
OG0003306	Carub.0002s1785.1.p, Carub.0001s2251.1.p	AA39G00497
OG0003307	Carub.0008s0465.1.p	AA32G00392
OG0003307	Carub.0001s0329.1.p	AA19G00136
OG0003308	Carub.0002s2596.1.p	AA31G00775
OG0003309	Carub.0001s2615.1.p	AA281G00001
OG0003310	Carub.0008s0364.1.p, Carub.0008s0366.1.p, Carub.0008s0368.1.p, Carub.0008s0365.1.p, Carub.0008s0370.1.p	AA40G00134
OG0003311	Carub.0005s1006.1.p	AA24G00050
OG0003311	Carub.0007s0790.1.p	AA121G00012
OG0003312	Carub.0001s0440.1.p	AA19G00037, AA123G00128, AA19G00036
OG0003313	Carub.0001s3560.1.p, Carub.0008s0583.1.p	AA3G00238
OG0003314	Carub.0003s3251.1.p	AA33G00140
OG0003314	Carub.0007s0372.1.p	AA30G00170
OG0003315	Carub.0001s1580.1.p	AA37G00148
OG0003316	Carub.0003s1488.1.p	AA26G00231
OG0003316	Carub.0001s4233.1.p	AA15G00094
OG0003317	Carub.0004s1063.1.p	AA32G00739
OG0003319	Carub.0007s0813.1.p	AA1601G00001
OG0003320	Carub.0001s0696.1.p, Carub.0004s0988.1.p	AA32G00803
OG0003321	Carub.0003s0565.1.p	AA29G00012
OG0003321	Carub.0006s1728.1.p	AA40G00226
OG0003322	Carub.0001s1748.1.p	AA39G00073
OG0003322	Carub.0002s1985.1.p	AA47G00008, AA31G00639
OG0003323	Carub.0006s0672.1.p, Carub.0008s2197.1.p	AA5G00158
OG0003324	Carub.0006s0465.1.p, Carub.0005s2419.1.p	AA61G00192
OG0003325	Carub.0007s1412.1.p	AA10G00434
OG0003326	Carub.0001s2963.1.p	AA9G00081, AA79G00048
OG0003326	Carub.0007s2144.1.p	AA57G00228
OG0003327	Carub.0007s2548.1.p	AA18G00180
OG0003328	Carub.0007s1111.1.p, Carub.0003s3400.1.p	AA33G00249
OG0003329	Carub.0007s0809.1.p, Carub.0007s1238.1.p	AA228G00019
OG0003331	Carub.0002s2083.1.p	AA31G00538
OG0003331	Carub.0001s1813.1.p	AA39G00135
OG0003332	Carub.0008s0267.1.p	AA6G00049
OG0003332	Carub.0007s2205.1.p	AA57G00182
OG0003333	Carub.0001s0082.1.p	AA1G00080
OG0003333	Carub.0006s3615.1.p	AA32G00124
OG0003335	Carub.0007s0868.1.p, Carub.0004s0466.1.p	AA142G00007
OG0003336	Carub.0008s1517.1.p, Carub.0007s1382.1.p	AA32G01126
OG0003337	Carub.0007s1765.1.p	AA54G00307
OG0003337	Carub.0006s3029.1.p	AA3G00030
OG0003338	Carub.0002s1647.1.p	AA39G00604
OG0003339	Carub.0005s1989.1.p	AA36G00050
OG0003339	Carub.0004s1894.1.p	AA60G00072
OG0003340	Carub.0002s2568.1.p	AA315G00002, AA31G00749
OG0003341	Carub.0008s1146.1.p, Carub.0007s1583.1.p	AA131G00005
OG0003344	Carub.0007s1484.1.p, Carub.0008s1743.1.p	AA44G00692
OG0003345	Carub.0003s1675.1.p, Carub.0007s2527.1.p	AA18G00196
OG0003346	Carub.0005s1431.1.p	AA96G00080
OG0003347	Carub.0005s2050.1.p, Carub.0004s1976.1.p	AA204G00007
OG0003349	Carub.0001s2662.1.p, Carub.0004s1536.1.p	AA31G00465
OG0003350	Carub.0008s2169.1.p, Carub.0006s0691.1.p	AA44G00068
OG0003351	Carub.0007s0329.1.p	AA30G00215
OG0003351	Carub.0004s0274.1.p	AA22G00023
OG0003352	Carub.0003s1521.1.p, Carub.0006s3145.1.p	AA26G00261
OG0003354	Carub.0006s0642.1.p, Carub.0008s2235.1.p	AA5G00133
OG0003355	Carub.0002s1695.1.p	AA39G00569
OG0003356	Carub.0008s2034.1.p, Carub.0005s1214.1.p	AA16G00056
OG0003357	Carub.0001s0545.1.p, Carub.0004s1267.1.p	AA32G00595
OG0003358	Carub.0006s0459.1.p	AA35G00074
OG0003358	Carub.0003s1055.1.p	AA63G00011
OG0003359	Carub.0007s3553.1.p	AA53G01042
OG0003360	Carub.0007s1421.1.p	AA10G00429
OG0003360	Carub.0008s1587.1.p	AA25G00093
OG0003361	Carub.0006s2470.1.p	AA40G00128
OG0003362	Carub.0001s2481.1.p	AA39G00669
OG0003362	Carub.0002s1523.1.p	AA112G00007
OG0003364	Carub.0003s3120.1.p	AA33G00041
OG0003364	Carub.0007s0501.1.p	AA79G00021
OG0003365	Carub.0003s0260.1.p, Carub.0006s1574.1.p	AA40G00358
OG0003366	Carub.0001s2597.1.p, Carub.0001s2609.1.p	AA44G00520
OG0003367	Carub.0003s2536.1.p	AA109G00027
OG0003368	Carub.0007s1864.1.p, Carub.0006s3149.1.p	AA6G00317
OG0003369	Carub.0008s1943.1.p, Carub.0005s1336.1.p	AA5G00016
OG0003370	Carub.0001s1431.1.p, Carub.0001s1430.1.p	AA14G00052
OG0003371	Carub.0006s2445.1.p, Carub.0003s0517.1.p	AA4G00225, AA10G00041
OG0003372	Carub.0007s2400.1.p	AA244G00006
OG0003374	Carub.0004s2130.1.p	AA60G00285
OG0003374	Carub.0005s2161.1.p	AA91G00006
OG0003375	Carub.0002s1703.1.p	AA38G00060
OG0003375	Carub.0001s2330.1.p	AA39G00558
OG0003376	Carub.0003s1268.1.p, Carub.0003s1267.1.p	AA15G00280, AA26G00049
OG0003377	Carub.0002s0065.1.p, Carub.0003s0736.1.p	AA29G00163
OG0003378	Carub.0008s2192.1.p	AA5G00160
OG0003378	Carub.0006s0675.1.p	AA44G00051
OG0003379	Carub.0001s1762.1.p	AA39G00086
OG0003380	Carub.0001s1567.1.p, Carub.0002s2683.1.p	AA31G00861
OG0003382	Carub.0003s1584.1.p	AA26G00316
OG0003382	Carub.0001s4123.1.p	AA15G00026
OG0003383	Carub.0006s2530.1.p	AA40G00066
OG0003383	Carub.0003s0425.1.p	AA10G00119
OG0003384	Carub.0003s1088.1.p	AA52G00026
OG0003384	Carub.0006s0509.1.p	AA105G00039
OG0003385	Carub.0008s0035.1.p	AA338G00003
OG0003385	Carub.0007s2405.1.p	AA57G00010
OG0003386	Carub.0007s0588.1.p, Carub.0003s2957.1.p	AA123G00065
OG0003387	Carub.0001s1017.1.p, Carub.0007s1499.1.p	AA9G00130
OG0003388	Carub.0001s4357.1.p	AA15G00200
OG0003389	Carub.0003s2833.1.p, Carub.0007s0689.1.p	AA100G00001
OG0003390	Carub.0006s1693.1.p, Carub.0006s1691.1.p	AA40G00249
OG0003391	Carub.0007s3207.1.p, Carub.0002s0447.1.p	AA53G00496
OG0003392	Carub.0004s2253.1.p, Carub.0006s0437.1.p	AA35G00057
OG0003393	Carub.0005s1424.1.p	AA96G00076
OG0003395	Carub.0005s2163.1.p, Carub.0005s2162.1.p	AA91G00009
OG0003396	Carub.0001s1347.1.p, Carub.0005s0278.1.p	AA53G00772
OG0003397	Carub.0006s2098.1.p, Carub.0006s0715.1.p	AA44G00150
OG0003398	Carub.0007s2869.1.p	AA87G00369, AA87G00366
OG0003399	Carub.0001s1618.1.p	AA37G00104
OG0003400	Carub.0006s0256.1.p, Carub.0004s1819.1.p	AA60G00153
OG0003402	Carub.0007s2964.1.p, Carub.0007s2965.1.p, Carub.0007s2966.1.p	AA69G00015
OG0003403	Carub.0006s1423.1.p	AA40G00498
OG0003403	Carub.0003s0162.1.p	AA10G00361
OG0003405	Carub.0007s2228.1.p, Carub.0007s2211.1.p	AA57G00164
OG0003407	Carub.0008s0152.1.p, Carub.0005s2008.1.p, Carub.0005s2887.1.p	AA61G00564
OG0003409	Carub.0004s2688.1.p	AA21G00189
OG0003410	Carub.0001s1744.1.p	AA31G00647, AA1087G00002, AA39G00069
OG0003411	Carub.0003s0076.1.p, Carub.0006s1312.1.p	AA40G00587
OG0003412	Carub.0006s1308.1.p	AA40G00590
OG0003413	Carub.0003s2050.1.p, Carub.0001s3979.1.p	AA2G00204
OG0003414	Carub.0005s1602.1.p	AA13G00114
OG0003414	Carub.0008s2660.1.p	AA4G00290
OG0003416	Carub.0001s1416.1.p, Carub.0005s0154.1.p	AA14G00045, AA53G00711
OG0003417	Carub.0003s1061.1.p	AA52G00001
OG0003417	Carub.0006s0470.1.p	AA105G00002
OG0003418	Carub.0004s0401.1.p	AA149G00006
OG0003419	Carub.0007s0402.1.p	AA30G00139
OG0003420	Carub.0001s4157.1.p, Carub.0003s1548.1.p	AA26G00285
OG0003422	Carub.0002s0713.1.p, Carub.0001s0879.1.p	AA42G00013
OG0003423	Carub.0005s2922.1.p	AA61G00591
OG0003424	Carub.0007s2559.1.p, Carub.0007s2562.1.p	AA18G00169
OG0003425	Carub.0003s2356.1.p	AA17G00131
OG0003425	Carub.0007s2791.1.p	AA87G00287
OG0003426	Carub.0004s1165.1.p	AA32G00657
OG0003427	Carub.0004s1233.1.p, Carub.0004s1234.1.p	AA32G00614
OG0003428	Carub.0007s0442.1.p	AA30G00105
OG0003428	Carub.0003s3183.1.p	AA33G00077
OG0003429	Carub.0003s1364.1.p	AA26G00121
OG0003429	Carub.0001s4337.1.p	AA15G00167
OG0003430	Carub.0006s1232.1.p	AA40G00625
OG0003431	Carub.0004s1380.1.p	AA32G00527
OG0003431	Carub.0001s0442.1.p	AA19G00031
OG0003432	Carub.0001s2273.1.p, Carub.0006s1149.1.p	AA44G00540
OG0003434	Carub.0002s2656.1.p	AA31G00833
OG0003434	Carub.0001s1586.1.p	AA37G00143
OG0003435	Carub.0003s0264.1.p	AA10G00256
OG0003435	Carub.0006s1581.1.p	AA40G00350
OG0003436	Carub.0006s1951.1.p	AA8G00227
OG0003436	Carub.0004s0746.1.p	AA32G00925
OG0003438	Carub.0001s1929.1.p, Carub.0002s2234.1.p	AA31G00406
OG0003440	Carub.0003s1826.1.p	AA1G00056, AA26G00517, AA26G00522, AA26G00524, AA26G00523, AA26G00518
OG0003442	Carub.0002s0489.1.p	AA53G00479
OG0003442	Carub.0002s0486.1.p	AA53G00482
OG0003443	Carub.0006s2250.1.p	AA12G00032
OG0003443	Carub.0005s1589.1.p	AA13G00124
OG0003450	Carub.0002s0241.1.p, Carub.0001s1188.1.p	AA125G00001, AA65G00277
OG0003451	Carub.0002s1730.1.p, Carub.0001s2290.1.p	AA39G00526
OG0003452	Carub.0001s3094.1.p, Carub.0004s1702.1.p	AA9G00142
OG0003454	Carub.0002s1560.1.p, Carub.0002s1588.1.p	AA47G00035
OG0003457	Carub.0006s2687.1.p	AA43G00088
OG0003458	Carub.0001s0992.1.p, Carub.0005s2478.1.p	AA53G00452
OG0003462	Carub.0004s0687.1.p	AA32G01002
OG0003462	Carub.0016s0010.1.p	AA34G00048
OG0003463	Carub.0004s0084.1.p	AA46G00096
OG0003463	Carub.0007s0127.1.p	AA20G00012
OG0003464	Carub.0008s0240.1.p	AA6G00036
OG0003464	Carub.0007s2215.1.p	AA57G00173
OG0003465	Carub.0007s0044.1.p	AA20G00078
OG0003466	Carub.0003s1699.1.p	AA26G00407
OG0003466	Carub.0001s3714.1.p	AA18G00210
OG0003467	Carub.0001s0987.1.p	AA65G00093
OG0003467	Carub.0002s0546.1.p	AA53G00442
OG0003468	Carub.0005s2151.1.p	AA108G00005
OG0003469	Carub.0001s4342.1.p, Carub.0003s1358.1.p	AA26G00117
OG0003470	Carub.0005s1119.1.p	AA16G00112
OG0003470	Carub.0008s2106.1.p	AA8G00340
OG0003471	Carub.0006s0713.1.p	AA44G00148
OG0003471	Carub.0006s2097.1.p	AA5G00211
OG0003473	Carub.0006s3476.1.p, Carub.0006s0757.1.p	AA32G00270
OG0003474	Carub.0004s3078.1.p, Carub.0005s2969.1.p	AA61G00632
OG0003475	Carub.0003s2739.1.p	AA580G00001
OG0003476	Carub.0005s1944.1.p, Carub.0004s1833.1.p	AA60G00137
OG0003477	Carub.0002s1419.1.p	AA134G00042
OG0003477	Carub.0001s2560.1.p	AA39G00734
OG0003481	Carub.0005s1427.1.p	AA96G00079
OG0003481	Carub.0002s2171.1.p	AA31G00460
OG0003482	Carub.0002s1309.1.p, Carub.0005s1257.1.p	AA27G00038
OG0003483	Carub.0003s1941.1.p	AA26G00625
OG0003483	Carub.0001s3910.1.p	AA2G00110
OG0003484	Carub.0003s0453.1.p	AA10G00086
OG0003485	Carub.0006s1341.1.p	AA40G00565
OG0003487	Carub.0004s2999.1.p, Carub.0004s2997.1.p	AA21G00450
OG0003489	Carub.0005s1679.1.p, Carub.0005s1680.1.p	AA13G00064, AA13G00063
OG0003490	Carub.0006s0555.1.p, Carub.0003s1136.1.p	AA219G00005
OG0003491	Carub.0004s0322.1.p	AA22G00076
