Orthogroup	Capsella_rubella	Eutrema_salsugineum
OG0002898	Carub.0002s2589.1.p	EUTSA_v10018536mg
OG0002899	Carub.0003s2059.1.p, Carub.0003s2060.1.p	EUTSA_v10022358mg
OG0002900	Carub.0005s2545.1.p	EUTSA_v10006007mg
OG0002901	Carub.0002s2195.1.p	EUTSA_v10018268mg
OG0002901	Carub.0001s1896.1.p	EUTSA_v10009294mg
OG0002902	Carub.0006s0071.1.p	EUTSA_v10013125mg
OG0002902	Carub.0005s2073.1.p	EUTSA_v10010246mg
OG0002903	Carub.0006s3596.1.p	EUTSA_v10028905mg
OG0002903	Carub.0001s0099.1.p, Carub.0008s1138.1.p	EUTSA_v10008506mg
OG0002904	Carub.0006s1464.1.p	EUTSA_v10014865mg
OG0002905	Carub.0003s0174.1.p	EUTSA_v10020875mg
OG0002905	Carub.0006s1443.1.p	EUTSA_v10013733mg
OG0002906	Carub.0004s2375.1.p	EUTSA_v10017666mg
OG0002906	Carub.0005s2402.1.p	EUTSA_v10006445mg, EUTSA_v10007378mg
OG0002907	Carub.0003s2196.1.p	EUTSA_v10021966mg
OG0002908	Carub.0003s2407.1.p	EUTSA_v10002677mg
OG0002908	Carub.0007s2834.1.p	EUTSA_v10026167mg
OG0002909	Carub.0004s0203.1.p	EUTSA_v10000162mg
OG0002910	Carub.0001s1549.1.p	EUTSA_v10022421mg
OG0002910	Carub.0008s1888.1.p	EUTSA_v10013531mg
OG0002911	Carub.0006s3008.1.p	EUTSA_v10028400mg
OG0002911	Carub.0002s0074.1.p	EUTSA_v10023240mg
OG0002912	Carub.0007s2533.1.p	EUTSA_v10027567mg
OG0002913	Carub.0007s1352.1.p	EUTSA_v10025946mg
OG0002913	Carub.0008s1458.1.p	EUTSA_v10014333mg
OG0002914	Carub.0007s1341.1.p	EUTSA_v10025367mg
OG0002915	Carub.0003s3409.1.p	EUTSA_v10002026mg
OG0002915	Carub.0007s1140.1.p	EUTSA_v10025226mg
OG0002916	Carub.0001s1581.1.p	EUTSA_v10007638mg
OG0002917	Carub.0001s2999.1.p	EUTSA_v10009878mg, EUTSA_v10009664mg
OG0002917	Carub.0004s1731.1.p	EUTSA_v10017493mg
OG0002918	Carub.0003s2871.1.p	EUTSA_v10023172mg
OG0002919	Carub.0006s0177.1.p	EUTSA_v10013252mg
OG0002919	Carub.0003s0878.1.p	EUTSA_v10020498mg
OG0002920	Carub.0007s0710.1.p	EUTSA_v10027224mg
OG0002920	Carub.0004s0682.1.p	EUTSA_v10001243mg
OG0002921	Carub.0001s2204.1.p	EUTSA_v10008870mg
OG0002921	Carub.0002s1898.1.p	EUTSA_v10019196mg
OG0002922	Carub.0002s1823.1.p	EUTSA_v10018465mg
OG0002924	Carub.0006s1165.1.p	EUTSA_v10013800mg
OG0002924	Carub.0003s0771.1.p	EUTSA_v10020919mg
OG0002925	Carub.0006s1571.1.p	EUTSA_v10015161mg
OG0002926	Carub.0006s2760.1.p, Carub.0007s3595.1.p	EUTSA_v10029093mg
OG0002927	Carub.0004s0119.1.p	EUTSA_v10000630mg
OG0002927	Carub.0003s1786.1.p	EUTSA_v10021207mg
OG0002928	Carub.0003s3223.1.p	EUTSA_v10022586mg
OG0002928	Carub.0007s0403.1.p	EUTSA_v10024597mg
OG0002929	Carub.0006s3186.1.p	EUTSA_v10028913mg
OG0002929	Carub.0007s1888.1.p, Carub.0008s0836.1.p	EUTSA_v10026090mg
OG0002930	Carub.0007s2061.1.p	EUTSA_v10024789mg
OG0002930	Carub.0007s2060.1.p	EUTSA_v10027426mg
OG0002931	Carub.0005s2586.1.p	EUTSA_v10005734mg
OG0002931	Carub.0001s0585.1.p	EUTSA_v10006529mg
OG0002932	Carub.0006s3465.1.p	EUTSA_v10029135mg
OG0002932	Carub.0006s3462.1.p	EUTSA_v10028361mg
OG0002933	Carub.0006s0867.1.p	EUTSA_v10014734mg
OG0002933	Carub.0008s2587.1.p	EUTSA_v10005637mg
OG0002934	Carub.0008s1109.1.p, Carub.0008s1112.1.p	EUTSA_v10026774mg, EUTSA_v10026924mg
OG0002935	Carub.0006s1550.1.p	EUTSA_v10013449mg
OG0002935	Carub.0003s0240.1.p	EUTSA_v10020665mg
OG0002936	Carub.0001s2164.1.p	EUTSA_v10007944mg
OG0002936	Carub.0002s2480.1.p	EUTSA_v10018715mg
OG0002937	Carub.0008s1179.1.p	EUTSA_v10015950mg
OG0002940	Carub.0002s0505.1.p	EUTSA_v10023320mg
OG0002941	Carub.0004s0389.1.p	EUTSA_v10000177mg
OG0002941	Carub.0007s0912.1.p	EUTSA_v10025427mg
OG0002942	Carub.0001s4035.1.p	EUTSA_v10011278mg
OG0002942	Carub.0003s2099.1.p	EUTSA_v10020189mg
OG0002943	Carub.0007s1291.1.p	EUTSA_v10024299mg
OG0002943	Carub.0008s1359.1.p	EUTSA_v10012524mg
OG0002944	Carub.0007s1733.1.p	EUTSA_v10025256mg
OG0002944	Carub.0006s2986.1.p	EUTSA_v10028674mg
OG0002945	Carub.0006s2295.1.p	EUTSA_v10004116mg
OG0002945	Carub.0006s0942.1.p	EUTSA_v10015960mg
OG0002946	Carub.0004s2347.1.p	EUTSA_v10017035mg
OG0002946	Carub.0005s2348.1.p	EUTSA_v10006131mg
OG0002947	Carub.0001s2151.1.p	EUTSA_v10007966mg
OG0002947	Carub.0002s2463.1.p	EUTSA_v10018171mg
OG0002948	Carub.0006s0396.1.p	EUTSA_v10015529mg
OG0002948	Carub.0006s0398.1.p	EUTSA_v10015607mg
OG0002949	Carub.0003s0084.1.p	EUTSA_v10019952mg
OG0002949	Carub.0006s1324.1.p	EUTSA_v10012536mg
OG0002950	Carub.0002s0368.1.p	EUTSA_v10027573mg, EUTSA_v10001140mg
OG0002951	Carub.0008s2369.1.p	EUTSA_v10005125mg
OG0002951	Carub.0003s1109.1.p	EUTSA_v10021697mg
OG0002952	Carub.0007s0226.1.p	EUTSA_v10027081mg
OG0002952	Carub.0004s0178.1.p	EUTSA_v10000697mg
OG0002953	Carub.0005s2290.1.p	EUTSA_v10005781mg
OG0002953	Carub.0005s2523.1.p	EUTSA_v10005778mg
OG0002954	Carub.0007s1852.1.p	EUTSA_v10025849mg
OG0002954	Carub.0006s3129.1.p	EUTSA_v10028846mg
OG0002955	Carub.0005s2898.1.p	EUTSA_v10006037mg
OG0002956	Carub.0006s1487.1.p	EUTSA_v10014871mg
OG0002957	Carub.0002s0697.1.p, Carub.0002s0696.1.p, Carub.0002s0694.1.p, Carub.0002s0695.1.p	EUTSA_v10010125mg, EUTSA_v10010166mg
OG0002958	Carub.0001s4210.1.p	EUTSA_v10011733mg
OG0002958	Carub.0003s1517.1.p	EUTSA_v10021397mg
OG0002959	Carub.0002s2329.1.p	EUTSA_v10018134mg
OG0002959	Carub.0001s2023.1.p	EUTSA_v10006866mg
OG0002960	Carub.0008s2557.1.p	EUTSA_v10004227mg
OG0002960	Carub.0006s0834.1.p	EUTSA_v10013557mg
OG0002961	Carub.0001s3361.1.p, Carub.0001s3360.1.p	EUTSA_v10003506mg, EUTSA_v10005726mg
OG0002962	Carub.0001s0837.1.p, Carub.0003s1282.1.p, Carub.0313s0001.1.p	EUTSA_v10006718mg
OG0002963	Carub.0008s1372.1.p	EUTSA_v10012886mg
OG0002963	Carub.0006s2221.1.p	EUTSA_v10003781mg
OG0002964	Carub.0001s0716.1.p	EUTSA_v10009977mg
OG0002964	Carub.0004s0974.1.p	EUTSA_v10017464mg
OG0002965	Carub.0004s0195.1.p	EUTSA_v10000582mg
OG0002965	Carub.0007s0248.1.p	EUTSA_v10027155mg
OG0002966	Carub.0008s0100.1.p	EUTSA_v10000776mg
OG0002966	Carub.0007s2367.1.p	EUTSA_v10026759mg
OG0002967	Carub.0008s1763.1.p	EUTSA_v10015218mg
OG0002968	Carub.0004s0494.1.p	EUTSA_v10000323mg
OG0002968	Carub.0007s0843.1.p	EUTSA_v10026275mg
OG0002969	Carub.0002s0662.1.p	EUTSA_v10024160mg
OG0002970	Carub.0005s2164.1.p	EUTSA_v10010436mg
OG0002971	Carub.0005s0540.1.p	EUTSA_v10003679mg
OG0002971	Carub.0007s3461.1.p	EUTSA_v10027650mg
OG0002972	Carub.0004s2203.1.p	EUTSA_v10017249mg
OG0002972	Carub.0005s2256.1.p	EUTSA_v10010740mg
OG0002973	Carub.0001s1445.1.p	EUTSA_v10008428mg
OG0002975	Carub.0005s1923.1.p	EUTSA_v10010342mg
OG0002975	Carub.0004s1801.1.p	EUTSA_v10016595mg
OG0002976	Carub.0004s0016.1.p	EUTSA_v10000244mg
OG0002976	Carub.0007s0062.1.p	EUTSA_v10025123mg
OG0002977	Carub.0004s2161.1.p	EUTSA_v10017305mg
OG0002978	Carub.0001s0935.1.p	EUTSA_v10008665mg, EUTSA_v10005017mg
OG0002980	Carub.0002s1245.1.p	EUTSA_v10019556mg
OG0002980	Carub.0007s3293.1.p	EUTSA_v10027972mg
OG0002981	Carub.0007s3190.1.p	EUTSA_v10004315mg
OG0002981	Carub.0002s1075.1.p	EUTSA_v10018708mg
OG0002982	Carub.0001s1256.1.p	EUTSA_v10007195mg
OG0002982	Carub.0005s0486.1.p	EUTSA_v10003903mg
OG0002983	Carub.0003s0537.1.p	EUTSA_v10020181mg
OG0002984	Carub.0004s0524.1.p	EUTSA_v10000186mg
OG0002984	Carub.0007s0817.1.p	EUTSA_v10025387mg
OG0002985	Carub.0002s2031.1.p	EUTSA_v10018231mg
OG0002985	Carub.0001s1787.1.p	EUTSA_v10006987mg
OG0002986	Carub.0003s1774.1.p	EUTSA_v10021520mg
OG0002987	Carub.0008s1053.1.p	EUTSA_v10013133mg
OG0002987	Carub.0001s1703.1.p	EUTSA_v10007186mg
OG0002988	Carub.0008s0020.1.p	EUTSA_v10001213mg
OG0002990	Carub.0001s4065.1.p	EUTSA_v10011481mg
OG0002991	Carub.0006s2498.1.p	EUTSA_v10003596mg
OG0002991	Carub.0003s0466.1.p	EUTSA_v10019971mg
OG0002992	Carub.0007s0890.1.p, Carub.0007s0889.1.p	EUTSA_v10027164mg
OG0002993	Carub.0005s2942.1.p	EUTSA_v10005977mg
OG0002994	Carub.0004s2641.1.p	EUTSA_v10001491mg
OG0002994	Carub.0005s2658.1.p	EUTSA_v10006416mg
OG0002995	Carub.0003s2913.1.p	EUTSA_v10022577mg
OG0002995	Carub.0007s0616.1.p	EUTSA_v10024498mg
OG0002996	Carub.0001s0292.1.p	EUTSA_v10008830mg
OG0002996	Carub.0008s0431.1.p	EUTSA_v10003431mg
OG0002997	Carub.0004s2198.1.p	EUTSA_v10017636mg
OG0002997	Carub.0005s2241.1.p	EUTSA_v10010805mg
OG0002998	Carub.0001s0983.1.p	EUTSA_v10006652mg
OG0002998	Carub.0002s0577.1.p	EUTSA_v10023238mg
OG0002999	Carub.0007s2096.1.p	EUTSA_v10024965mg
OG0002999	Carub.0008s0359.1.p	EUTSA_v10000855mg
OG0003000	Carub.0008s1213.1.p	EUTSA_v10014293mg
OG0003001	Carub.0006s3602.1.p	EUTSA_v10028668mg
OG0003002	Carub.0004s0318.1.p	EUTSA_v10000343mg
OG0003002	Carub.0007s0995.1.p	EUTSA_v10026346mg
OG0003003	Carub.0001s2016.1.p	EUTSA_v10009970mg, EUTSA_v10009371mg
OG0003004	Carub.0006s2527.1.p	EUTSA_v10003562mg
OG0003004	Carub.0003s0420.1.p	EUTSA_v10019946mg
OG0003005	Carub.0007s3440.1.p	EUTSA_v10006451mg, EUTSA_v10027901mg
OG0003007	Carub.0007s0880.1.p	EUTSA_v10025685mg
OG0003007	Carub.0004s0443.1.p, Carub.0106s0001.1.p	EUTSA_v10000495mg
OG0003008	Carub.0004s0249.1.p	EUTSA_v10000049mg
OG0003008	Carub.0007s0302.1.p	EUTSA_v10024415mg
OG0003009	Carub.0001s1448.1.p	EUTSA_v10007124mg
OG0003010	Carub.0001s0663.1.p	EUTSA_v10009482mg
OG0003010	Carub.0004s1071.1.p	EUTSA_v10017594mg
OG0003011	Carub.0006s3003.1.p, Carub.0006s3004.1.p	EUTSA_v10028996mg, EUTSA_v10028997mg
OG0003012	Carub.0006s1524.1.p	EUTSA_v10014746mg
OG0003012	Carub.0003s0227.1.p	EUTSA_v10021569mg
OG0003013	Carub.0007s0676.1.p	EUTSA_v10027095mg
OG0003013	Carub.0003s2841.1.p	EUTSA_v10022947mg
OG0003014	Carub.0003s2737.1.p	EUTSA_v10002436mg
OG0003014	Carub.0007s3121.1.p	EUTSA_v10003493mg
OG0003015	Carub.0003s2291.1.p	EUTSA_v10019883mg
OG0003016	Carub.0001s3513.1.p	EUTSA_v10011611mg
OG0003017	Carub.0003s0636.1.p	EUTSA_v10020401mg
OG0003017	Carub.0008s0900.1.p	EUTSA_v10003919mg
OG0003018	Carub.0004s2853.1.p, Carub.0005s2793.1.p	EUTSA_v10006441mg
OG0003019	Carub.0004s1925.1.p	EUTSA_v10017989mg
OG0003019	Carub.0005s2007.1.p	EUTSA_v10010597mg
OG0003020	Carub.0005s1089.1.p	EUTSA_v10002416mg
OG0003020	Carub.0008s2144.1.p	EUTSA_v10012777mg
OG0003021	Carub.0006s0066.1.p	EUTSA_v10014915mg
OG0003021	Carub.0003s0817.1.p	EUTSA_v10022307mg
OG0003022	Carub.0006s0498.1.p	EUTSA_v10012905mg
OG0003022	Carub.0003s1077.1.p	EUTSA_v10020260mg
OG0003023	Carub.0006s2513.1.p	EUTSA_v10003627mg
OG0003023	Carub.0003s0444.1.p	EUTSA_v10020427mg
OG0003024	Carub.0003s0047.1.p	EUTSA_v10021199mg
OG0003024	Carub.0006s1268.1.p	EUTSA_v10014200mg
OG0003025	Carub.0007s1530.1.p	EUTSA_v10027473mg, EUTSA_v10026278mg
OG0003026	Carub.0004s2264.1.p	EUTSA_v10016304mg
OG0003026	Carub.0005s2289.1.p	EUTSA_v10005804mg
OG0003027	Carub.0004s2185.1.p	EUTSA_v10016850mg
OG0003029	Carub.0007s2044.1.p, Carub.0002s1157.1.p, Carub.0005s0841.1.p, Carub.0007s2045.1.p	EUTSA_v10027157mg, EUTSA_v10023909mg
OG0003030	Carub.0008s2116.1.p	EUTSA_v10016023mg
OG0003030	Carub.0005s1112.1.p	EUTSA_v10002526mg
OG0003031	Carub.0006s1572.1.p	EUTSA_v100155351mg
OG0003031	Carub.0003s0259.1.p	EUTSA_v10020431mg
OG0003032	Carub.0003s0772.1.p	EUTSA_v10020418mg
OG0003032	Carub.0001s0912.1.p	EUTSA_v10015179mg, EUTSA_v10007256mg
OG0003033	Carub.0007s2721.1.p	EUTSA_v10024868mg
OG0003033	Carub.0003s2262.1.p	EUTSA_v10020440mg
OG0003034	Carub.0005s2632.1.p, Carub.0001s4349.1.p	EUTSA_v10006298mg, EUTSA_v10029046mg
OG0003035	Carub.0007s1397.1.p	EUTSA_v10027097mg
OG0003035	Carub.0008s1540.1.p	EUTSA_v10014856mg
OG0003036	Carub.0003s1185.1.p	EUTSA_v10020199mg
OG0003036	Carub.0006s1171.1.p	EUTSA_v10012850mg
OG0003037	Carub.0004s2358.1.p	EUTSA_v10017269mg
OG0003038	Carub.0007s3163.1.p	EUTSA_v10000299mg
OG0003038	Carub.0007s1004.1.p	EUTSA_v10026067mg
OG0003039	Carub.0007s1461.1.p	EUTSA_v10027319mg
OG0003039	Carub.0008s1700.1.p	EUTSA_v10015369mg
OG0003040	Carub.0004s1005.1.p	EUTSA_v10016312mg
OG0003040	Carub.0001s0685.1.p	EUTSA_v10006868mg
OG0003041	Carub.0007s0898.1.p	EUTSA_v10024573mg
OG0003042	Carub.0003s2324.1.p	EUTSA_v100202861mg, EUTSA_v10006820mg
OG0003042	Carub.0007s2771.1.p	EUTSA_v10024373mg
OG0003043	Carub.0007s1996.1.p	EUTSA_v10024986mg, EUTSA_v10026257mg
OG0003043	Carub.0001s1089.1.p	EUTSA_v10007974mg
OG0003044	Carub.0004s1078.1.p	EUTSA_v10016540mg
OG0003045	Carub.0006s0497.1.p	EUTSA_v10013329mg
OG0003045	Carub.0003s1076.1.p	EUTSA_v10020455mg
OG0003046	Carub.0002s2757.1.p, Carub.0006s3508.1.p	EUTSA_v100181451mg, EUTSA_v10011242mg
OG0003047	Carub.0004s0062.1.p	EUTSA_v10000141mg
OG0003047	Carub.0007s0112.1.p	EUTSA_v10024927mg
OG0003048	Carub.0002s0840.1.p	EUTSA_v10024070mg
OG0003048	Carub.0001s0831.1.p	EUTSA_v10007230mg
OG0003049	Carub.0001s2002.1.p	EUTSA_v10007203mg
OG0003049	Carub.0002s2316.1.p	EUTSA_v10018355mg
OG0003050	Carub.0004s0029.1.p	EUTSA_v10000273mg
OG0003051	Carub.0003s2170.1.p	EUTSA_v10020525mg
OG0003051	Carub.0007s2656.1.p	EUTSA_v10024939mg
OG0003052	Carub.0005s1867.1.p	EUTSA_v10010138mg
OG0003052	Carub.0006s0541.1.p	EUTSA_v10012760mg
OG0003053	Carub.0001s1658.1.p	EUTSA_v10008939mg
OG0003053	Carub.0002s2571.1.p	EUTSA_v10019101mg
OG0003054	Carub.0004s1080.1.p	EUTSA_v10017382mg
OG0003055	Carub.0004s2418.1.p	EUTSA_v10017761mg
OG0003055	Carub.0005s2438.1.p	EUTSA_v10006130mg
OG0003056	Carub.0006s0730.1.p	EUTSA_v10012683mg
OG0003056	Carub.0006s2122.1.p	EUTSA_v10005394mg
OG0003057	Carub.0006s3590.1.p, Carub.0001s4453.1.p	EUTSA_v10011943mg
OG0003058	Carub.0006s2157.1.p	EUTSA_v10003948mg
OG0003058	Carub.0005s1515.1.p	EUTSA_v10010269mg
OG0003059	Carub.0001s1117.1.p	EUTSA_v10008090mg
OG0003059	Carub.0002s0327.1.p	EUTSA_v10023566mg
OG0003060	Carub.0002s1193.1.p, Carub.0002s1192.1.p	EUTSA_v10019244mg
OG0003061	Carub.0006s3268.1.p	EUTSA_v10028677mg
OG0003062	Carub.0001s0281.1.p, Carub.0001s0282.1.p	EUTSA_v10008370mg
OG0003063	Carub.0004s0324.1.p	EUTSA_v10000102mg
OG0003063	Carub.0007s0977.1.p	EUTSA_v10024652mg
OG0003064	Carub.0008s1217.1.p	EUTSA_v10014347mg
OG0003065	Carub.0001s0571.1.p	EUTSA_v10008320mg, EUTSA_v10008319mg
OG0003066	Carub.0006s3684.1.p	EUTSA_v10028601mg
OG0003066	Carub.0001s0061.1.p	EUTSA_v10007431mg
OG0003067	Carub.0002s0518.1.p	EUTSA_v10023264mg
OG0003067	Carub.0001s2339.1.p	EUTSA_v10006767mg
OG0003068	Carub.0007s3449.1.p	EUTSA_v10027673mg
OG0003068	Carub.0005s0521.1.p	EUTSA_v10003758mg
OG0003069	Carub.0001s0136.1.p	EUTSA_v10009820mg
OG0003069	Carub.0006s3557.1.p	EUTSA_v10028899mg
OG0003070	Carub.0001s4097.1.p, Carub.0001s4098.1.p, Carub.0001s4096.1.p	EUTSA_v10011670mg
OG0003071	Carub.0004s1995.1.p	EUTSA_v10017869mg
OG0003071	Carub.0005s2069.1.p	EUTSA_v10010182mg
OG0003072	Carub.0006s2673.1.p	EUTSA_v10028436mg
OG0003073	Carub.0002s0639.1.p	EUTSA_v10023956mg
OG0003073	Carub.0001s0906.1.p	EUTSA_v10009464mg
OG0003074	Carub.0003s1020.1.p	EUTSA_v10021821mg
OG0003075	Carub.0002s0315.1.p	EUTSA_v10023417mg
OG0003075	Carub.0001s1131.1.p	EUTSA_v10007409mg
OG0003076	Carub.0005s2391.1.p	EUTSA_v10006275mg
OG0003077	Carub.0004s1469.1.p	EUTSA_v10017688mg
OG0003077	Carub.0001s0384.1.p	EUTSA_v10010013mg
OG0003078	Carub.0007s1063.1.p	EUTSA_v10024432mg
OG0003078	Carub.0003s3343.1.p	EUTSA_v10022560mg
OG0003079	Carub.0001s0443.1.p	EUTSA_v10009356mg
OG0003079	Carub.0004s1379.1.p	EUTSA_v10016575mg
OG0003080	Carub.0003s3515.1.p	EUTSA_v10002064mg
OG0003080	Carub.0007s1231.1.p	EUTSA_v10025937mg
OG0003082	Carub.0003s1570.1.p	EUTSA_v10020773mg
OG0003082	Carub.0001s4138.1.p	EUTSA_v10011504mg
OG0003083	Carub.0001s3892.1.p	EUTSA_v10011402mg
OG0003084	Carub.0007s1706.1.p	EUTSA_v10026968mg, EUTSA_v10015091mg
OG0003084	Carub.0006s2958.1.p	EUTSA_v10029101mg
OG0003085	Carub.0002s0620.1.p	EUTSA_v10023308mg
OG0003085	Carub.0001s0941.1.p	EUTSA_v10006833mg
OG0003086	Carub.0005s0724.1.p	EUTSA_v10004497mg
OG0003086	Carub.0005s0725.1.p	EUTSA_v10004498mg
OG0003087	Carub.0007s1378.1.p	EUTSA_v10025097mg
OG0003088	Carub.0001s2709.1.p, Carub.0001s2708.1.p, Carub.0001s2710.1.p	EUTSA_v10009717mg, EUTSA_v10007853mg
OG0003089	Carub.0001s1527.1.p	EUTSA_v10007131mg
OG0003089	Carub.0002s2729.1.p	EUTSA_v10018611mg
OG0003090	Carub.0008s0064.1.p	EUTSA_v10000997mg
OG0003091	Carub.0001s1360.1.p	EUTSA_v10007019mg
OG0003091	Carub.0005s0242.1.p	EUTSA_v10003799mg
OG0003092	Carub.0007s1581.1.p	EUTSA_v10024964mg
OG0003092	Carub.0001s2882.1.p	EUTSA_v10007400mg
OG0003093	Carub.0007s1965.1.p	EUTSA_v10024488mg
OG0003093	Carub.0006s3281.1.p	EUTSA_v10028459mg
OG0003094	Carub.0007s0095.1.p	EUTSA_v10024425mg
OG0003094	Carub.0004s0046.1.p	EUTSA_v10000048mg
OG0003095	Carub.0007s0078.1.p	EUTSA_v10026348mg
OG0003095	Carub.0004s0036.1.p	EUTSA_v10000319mg
OG0003096	Carub.0005s2944.1.p	EUTSA_v10006347mg
OG0003096	Carub.0004s3041.1.p	EUTSA_v10001702mg
OG0003097	Carub.0005s3018.1.p, Carub.0005s1093.1.p	EUTSA_v10022540mg
OG0003098	Carub.0005s1830.1.p	EUTSA_v10010276mg
OG0003099	Carub.0006s0591.1.p	EUTSA_v10014291mg
OG0003099	Carub.0003s1168.1.p	EUTSA_v10021314mg
OG0003100	Carub.0006s2843.1.p	EUTSA_v10028772mg
OG0003100	Carub.0001s3207.1.p	EUTSA_v10008092mg
OG0003101	Carub.0006s3200.1.p	EUTSA_v10028561mg
OG0003101	Carub.0003s2024.1.p	EUTSA_v10020459mg
OG0003102	Carub.0002s2345.1.p	EUTSA_v10018908mg
OG0003102	Carub.0001s2041.1.p	EUTSA_v10008253mg
OG0003103	Carub.0007s1582.1.p	EUTSA_v10027016mg
OG0003104	Carub.0001s0271.1.p	EUTSA_v10007577mg
OG0003104	Carub.0006s3365.1.p	EUTSA_v10028637mg
OG0003105	Carub.0003s2735.1.p	EUTSA_v10003057mg
OG0003105	Carub.0007s3120.1.p	EUTSA_v10003492mg
OG0003106	Carub.0004s1373.1.p	EUTSA_v10017325mg
OG0003106	Carub.0001s0449.1.p	EUTSA_v10008934mg
OG0003107	Carub.0001s1048.1.p	EUTSA_v10006872mg
OG0003107	Carub.0002s0440.1.p	EUTSA_v10023316mg
OG0003108	Carub.0005s2599.1.p	EUTSA_v10006431mg
OG0003108	Carub.0005s2594.1.p	EUTSA_v10006135mg
OG0003109	Carub.0004s2346.1.p	EUTSA_v10016761mg
OG0003109	Carub.0005s2349.1.p	EUTSA_v10006019mg
OG0003110	Carub.0002s2121.1.p	EUTSA_v10019143mg
OG0003110	Carub.0001s1837.1.p	EUTSA_v10008782mg
OG0003111	Carub.0001s0516.1.p	EUTSA_v10008743mg
OG0003111	Carub.0004s1298.1.p	EUTSA_v10017221mg
OG0003112	Carub.0003s0506.1.p	EUTSA_v10021138mg
OG0003113	Carub.0008s2359.1.p	EUTSA_v10004903mg
OG0003113	Carub.0005s1415.1.p	EUTSA_v10010729mg
OG0003114	Carub.0008s0443.1.p	EUTSA_v10003191mg
OG0003115	Carub.0005s2973.1.p	EUTSA_v10006247mg
OG0003115	Carub.0004s3085.1.p	EUTSA_v10001660mg
OG0003116	Carub.0005s0169.1.p	EUTSA_v10003702mg
OG0003116	Carub.0001s1409.1.p	EUTSA_v10006929mg
OG0003117	Carub.0003s2502.1.p	EUTSA_v10002481mg
OG0003119	Carub.0002s2166.1.p	EUTSA_v10019573mg
OG0003119	Carub.0002s1396.1.p	EUTSA_v10019642mg
OG0003120	Carub.0008s0533.1.p, Carub.0008s0531.1.p	EUTSA_v10025115mg
OG0003121	Carub.0008s2226.1.p	EUTSA_v10004479mg
OG0003121	Carub.0006s0660.1.p	EUTSA_v10013915mg
OG0003122	Carub.0007s2302.1.p	EUTSA_v10024846mg
OG0003123	Carub.0006s3533.1.p	EUTSA_v10029175mg
OG0003124	Carub.0006s0376.1.p	EUTSA_v10014559mg
OG0003124	Carub.0003s0987.1.p	EUTSA_v10021438mg
OG0003125	Carub.0004s0493.1.p	EUTSA_v10000224mg
OG0003125	Carub.0007s0844.1.p	EUTSA_v10025629mg
OG0003126	Carub.0001s3054.1.p	EUTSA_v10009144mg
OG0003126	Carub.0004s1721.1.p	EUTSA_v10017441mg
OG0003127	Carub.0001s0739.1.p	EUTSA_v10007913mg
OG0003127	Carub.0004s0920.1.p	EUTSA_v10016806mg
OG0003128	Carub.0006s0241.1.p	EUTSA_v10013299mg
OG0003128	Carub.0004s2043.1.p	EUTSA_v10016525mg
OG0003129	Carub.0005s1495.1.p	EUTSA_v10010322mg
OG0003130	Carub.0002s2039.1.p	EUTSA_v10018948mg
OG0003130	Carub.0001s1782.1.p	EUTSA_v10008683mg
OG0003131	Carub.0005s0144.1.p, Carub.0005s0143.1.p	EUTSA_v10004880mg
OG0003131	Carub.0002s1531.1.p	EUTSA_v10004878mg
OG0003132	Carub.0008s2671.1.p	EUTSA_v10003830mg
OG0003132	Carub.0005s1609.1.p	EUTSA_v10010190mg
OG0003133	Carub.0002s2041.1.p	EUTSA_v10018059mg
OG0003133	Carub.0001s1780.1.p	EUTSA_v10006685mg
OG0003134	Carub.0007s1155.1.p	EUTSA_v10026925mg
OG0003134	Carub.0003s3444.1.p	EUTSA_v10001985mg
OG0003135	Carub.0006s2064.1.p, Carub.0006s2059.1.p, Carub.0006s2058.1.p	EUTSA_v10001967mg, EUTSA_v10002179mg
OG0003136	Carub.0004s1132.1.p	EUTSA_v10016908mg
OG0003137	Carub.0002s2643.1.p	EUTSA_v10018023mg
OG0003137	Carub.0001s1601.1.p	EUTSA_v10006624mg
OG0003138	Carub.0003s1643.1.p	EUTSA_v10021471mg
OG0003138	Carub.0007s2572.1.p	EUTSA_v10026185mg
OG0003140	Carub.0004s0814.1.p, Carub.0001s0234.1.p	EUTSA_v10007672mg
OG0003141	Carub.0002s0456.1.p	EUTSA_v10024030mg
OG0003141	Carub.0001s1018.1.p	EUTSA_v10009472mg
OG0003142	Carub.0006s1417.1.p	EUTSA_v10012887mg, EUTSA_v10012992mg
OG0003143	Carub.0001s0534.1.p	EUTSA_v10009546mg
OG0003143	Carub.0006s3377.1.p	EUTSA_v10029037mg
OG0003144	Carub.0005s0738.1.p	EUTSA_v10004661mg
OG0003145	Carub.0003s2093.1.p	EUTSA_v10021272mg
OG0003145	Carub.0001s4026.1.p	EUTSA_v10011711mg
OG0003146	Carub.0005s2421.1.p, Carub.0001s3481.1.p	EUTSA_v10006455mg, EUTSA_v10009908mg, EUTSA_v10008553mg, EUTSA_v10009639mg
OG0003147	Carub.0007s2084.1.p, Carub.0007s2043.1.p	EUTSA_v10025896mg, EUTSA_v10026795mg
OG0003149	Carub.0001s3989.1.p	EUTSA_v10011436mg
OG0003149	Carub.0003s2054.1.p	EUTSA_v10020619mg
OG0003150	Carub.0002s0322.1.p	EUTSA_v10024134mg
OG0003150	Carub.0002s0323.1.p	EUTSA_v10023411mg
