Orthogroup	Brassica_oleracea	Thellungiella_parvula
OG0001201	Bo4g127190	Sp7g12210.1
OG0001201	Bo4g127170	Sp7g12270.1
OG0001201	Bo4g127160	Sp7g12240.1
OG0001202	Bo6g099830	Sp5g21330.1
OG0001202	Bo4g136760	SpUn0215_0010.1, Sp7g04340.1
OG0001203	Bo5g052310, Bo7g048630, Bo3g142890	Sp1g23970.1
OG0001204	Bo7g044920, Bo5g061060	Sp1g25770.1
OG0001206	Bo2g166120	Sp6g03340.1, Sp7g19710.1
OG0001206	Bo4g142580, Bo6g066460	Sp7g00320.1
OG0001207	Bo4g187440	Sp4g20500.1
OG0001207	Bo5g136740, Bo1g141150	Sp3g09490.1
OG0001208	Bo4g071800, Bo3g024890, Bo9g036730	Sp4g11020.1
OG0001208	Bo5g008760, Bo02505s010, Bo5g008750	Sp1g06740.1
OG0001209	Bo2g028960	Sp6g19610.1
OG0001209	Bo7g114580	Sp7g28440.1
OG0001209	Bo8g100190, Bo4g154120	Sp4g02890.1
OG0001210	Bo7g045520, Bo5g058690, Bo3g141690, Bo3g144020	SpUn0746_0010.1, Sp1g25310.1, SpUn1257_0010.1, Sp1g25300.1
OG0001211	Bo2g062670, Bo2g013990, Bo3g012790	Sp6g26430.1
OG0001212	Bo8g095820	Sp5g02090.1
OG0001213	Bo3g089960	Sp5g18910.1, SpUn0054_0040.1
OG0001213	Bo2g051170	Sp5g19840.1
OG0001214	Bo4g151660	Sp4g02520.1
OG0001214	Bo4g151690, Bo4g151700, Bo3g042940	Sp4g02530.1
OG0001215	Bo5g007990, Bo01357s010	Sp1g05920.1
OG0001215	Bo3g024270, Bo4g059890, Bo4g170700	Sp4g12600.1
OG0001216	Bo1g019740	Sp7g15400.1
OG0001216	Bo7g073900	Sp2g10780.1
OG0001217	Bo7g093400, Bo9g010190, Bo2g155040	Sp2g20400.1
OG0001218	Bo8g080420	Sp1g20580.1
OG0001218	Bo1g084810	Sp7g05000.1
OG0001219	Bo2g126860, Bo2g126870	Sp2g10030.1
OG0001219	Bo7g070200, Bo7g070160, Bo9g061110	Sp2g10060.1
OG0001220	Bo7g045240, Bo3g145200	Sp1g25550.1
OG0001220	Bo7g045230, Bo3g145210	Sp1g25555.1
OG0001221	Bo8g016320	Sp1g35180.1
OG0001221	Bo00763s040, Bo5g123100, Bo3g068870	Sp3g15580.1
OG0001222	Bo1g086070	SpUn0001_0760.1
OG0001222	Bo7g093010	Sp2g20020.1
OG0001222	Bo9g010060	Sp2g20015.1
OG0001223	Bo8g074850, Bo5g039710	Sp1g20980.1
OG0001223	Bo6g111050, Bo2g068170	Sp5g25530.1
OG0001224	Bo3g013710	Sp6g24880.1
OG0001224	Bo9g153650, Bo2g018130, Bo2g018110, Bo3g013720	Sp6g24870.1
OG0001224	Bo9g153660	Sp4g03500.1
OG0001225	Bo8g068170, Bo5g025950	Sp1g16850.1
OG0001225	Bo2g082320, Bo6g118920, Bo6g086860	Sp5g29830.1
OG0001226	Bo1g155130, Bo3g055840, Bo5g151480	Sp3g01830.1
OG0001226	Bo2g013100, Bo9g163170	Sp6g27680.1
OG0001227	Bo7g054040	Sp1g22280.1
OG0001227	Bo2g062980, Bo6g108740, Bo6g095630	Sp5g24360.1
OG0001228	Bo8g114330, Bo8g007270	Sp1g05670.1
OG0001228	Bo3g024440, Bo4g171880	Sp4g12820.1
OG0001229	Bo8g015140	Sp1g35290.1
OG0001229	Bo1g120470, Bo3g068980	Sp3g15710.1
OG0001230	Bo1g058890	Sp7g12670.1
OG0001230	Bo1g058860	Sp7g12680.1
OG0001230	Bo5g093210, Bo1g103520	Sp3g20690.1
OG0001231	Bo7g090850, Bo2g145020, Bo7g090820, Bo7g090830	Sp2g16890.1
OG0001232	Bo7g071380, Bo2g136510, Bo7g080540	Sp2g13830.1
OG0001232	Bo5g019570, Bo8g066050	Sp1g12790.1
OG0001233	Bo1g021530, Bo00889s030	Sp7g18070.1
OG0001233	Bo7g071310, Bo7g071260, Bo2g127010	Sp2g10180.1
OG0001234	Bo8g066980, Bo5g023520	Sp1g15290.1
OG0001234	Bo6g081600, Bo6g122020, Bo2g093420	Sp5g33510.1
OG0001235	Bo8g070440	Sp1g18560.1
OG0001235	Bo2g089910	Sp5g31590.1
OG0001236	Bo8g106710, Bo5g019790, Bo8g066120	Sp1g12930.1
OG0001236	Bo9g071570	Sp2g13500.1
OG0001237	Bo3g003160	Sp6g37730.1
OG0001237	Bo01023s050, Bo1g141470, Bo5g137140	Sp3g09100.1
OG0001238	Bo9g008770, Bo16693s010, Bo7g087220	Sp2g17680.1
OG0001238	Bo6g062160, Bo00578s090	Sp7g02380.1
OG0001239	Bo9g018460, Bo3g100820	Sp2g27930.1
OG0001239	Bo2g009640, Bo9g173650	Sp6g33460.1
OG0001240	Bo3g055250, Bo5g156320, Bo1g158750	Sp3g00860.1
OG0001240	Bo1g158740, Bo5g156330, Bo3g055270	Sp3g00870.1
OG0001241	Bo2g138890, Bo9g076010, Bo7g082380	Sp2g15300.1
OG0001242	Bo4g145550, Bo3g045470	Sp7g36290.1
OG0001243	Bo7g094890, Bo2g155590	Sp2g21040.1
OG0001243	Bo5g123640, Bo1g123130	Sp3g15070.1
OG0001244	Bo6g121400	Sp5g32800.1
OG0001244	Bo8g071150	Sp1g19450.1
OG0001245	Bo9g010350, Bo2g155250	Sp2g20640.1
OG0001245	Bo5g146570, Bo1g151720, Bo3g058810	Sp3g04050.1
OG0001246	Bo9g048800, Bo01317s030	Sp2g05170.1
OG0001246	Bo5g010570, Bo8g059110, Bo8g110760, Bo7g087380	Sp1g08770.1
OG0001247	Bo6g056400	Sp7g07480.1, Sp7g07430.1, Sp7g06000.1
OG0001248	Bo4g017380	Sp5g04170.1
OG0001248	Bo3g036190, Bo6g075990, Bo1g053640, Bo4g108270	Sp4g24820.1
OG0001249	Bo6g117880	Sp5g28800.1
OG0001249	Bo5g025210	Sp1g16210.1
OG0001250	Bo9g171510	Sp6g32360.1
OG0001250	Bo00911s070	Sp7g29940.1
OG0001251	Bo5g002510	Sp1g00890.1
OG0001251	Bo2g098920	Sp6g01050.1
OG0001251	Bo3g054450, Bo9g003740, Bo2g098930	Sp6g01070.1
OG0001252	Bo3g002940	Sp6g38120.1
OG0001253	Bo6g094350, Bo6g112870	Sp5g26510.1
OG0001253	Bo1g003290, Bo3g153100	Sp7g35580.1
OG0001254	Bo7g060170, Bo5g035270	Sp1g19660.1
OG0001254	Bo6g081870, Bo6g121690, Bo2g093130	Sp5g33160.1
OG0001255	Bo5g067020	Sp1g27250.1
OG0001255	Bo4g183410, Bo4g037340, Bo3g028380	Sp4g17850.1
OG0001256	Bo2g167660	Sp2g30320.1
OG0001256	Bo1g059340, Bo8g081830, Bo7g100810	Sp5g11050.1
OG0001257	Bo6g088080, Bo6g116460	Sp5g28060.1
OG0001257	Bo2g006760	Sp6g37860.1
OG0001258	Bo5g029100, Bo7g061920, Bo8g069920	Sp1g17760.1
OG0001258	Bo6g086160	Sp5g30870.1
OG0001258	Bo6g119850	Sp4g00350.1
OG0001259	Bo2g068180, Bo6g111060	Sp5g25540.1
OG0001259	Bo5g039700, Bo7g056120, Bo8g074840	Sp1g20970.1
OG0001260	Bo8g099690, Bo4g154720	Sp4g03550.1
OG0001260	Bo3g173900, Bo7g115210	Sp7g29350.1
OG0001261	Bo7g110090, Bo7g108660, Bo9g174420, Bo1g039940, Bo1g039950	Sp7g23270.1
OG0001261	Bo2g050420, Bo9g102270	Sp6g13700.1
OG0001262	Bo4g186260, Bo3g030110	Sp4g18710.1
OG0001262	Bo8g082360, Bo6g067010	Sp5g09410.1
OG0001263	Bo7g064430, Bo9g021620, Bo2g167800	Sp2g29845.1
OG0001263	Bo7g064400	Sp2g29840.1
OG0001263	Bo4g151580, Bo8g100440	Sp4g02430.1
OG0001264	Bo6g116390, Bo6g116380, Bo6g116360	Sp5g27920.1
OG0001266	Bo1g098710	Sp4g09860.1
OG0001266	Bo00692s060, Bo7g082120, Bo7g043780, Bo8g071230, Bo16950s010, Bo2g057530, Bo7g060000, Bo9g098720, Bo9g090890, Bo5g062390, Bo2g138410, Bo2g013920, Bo9g098710, Bo3g113740, Bo9g171360, Bo19732s010	Sp7g10200.1, SpUn0001_0070.1
OG0001268	Bo4g015790, Bo4g191320, Bo4g191340	Sp4g24370.1
OG0001268	Bo4g109700, Bo6g073300	Sp5g04790.1
OG0001269	Bo9g013890	Sp2g23380.1
OG0001269	Bo1g078590, Bo8g077470, Bo3g110880	Sp5g13040.1
OG0001270	Bo9g063020, Bo7g074080	Sp2g11020.1
OG0001271	Bo1g059170	Sp5g10790.1
OG0001271	Bo1g059180	Sp5g10800.1
OG0001272	Bo9g120320	Sp6g17230.1
OG0001272	Bo1g046620	Sp7g24680.1
OG0001272	Bo2g040090	Sp6g17220.1
OG0001273	Bo3g003800, Bo9g176470	Sp6g36630.1
OG0001273	Bo3g064320, Bo5g136360	Sp3g09820.1
OG0001274	Bo4g003480, Bo4g198660	Sp4g29420.1
OG0001274	Bo8g097970, Bo6g079550	Sp5g00860.1
OG0001275	Bo4g139000	Sp7g03180.1, Sp7g03190.1
OG0001276	Bo8g077400	Sp5g13090.1
OG0001276	Bo4g154060	Sp4g02800.1
OG0001277	Bo3g040100	Sp4g11410.1
OG0001277	Bo8g010870, Bo8g112830, Bo5g008570	Sp1g06550.1
OG0001278	Bo5g002830, Bo5g002820, Bo5g002860	Sp1g01300.1
OG0001279	Bo4g061100, Bo01129s030, Bo6g120900	Sp5g32040.1
OG0001279	Bo6g099320, Bo2g051350	Sp5g20330.1
OG0001280	Bo4g134710	Sp3g23300.1
OG0001280	Bo3g084280, Bo7g030410	SpUn1174_0010.1
OG0001281	Bo4g154730	Sp4g03560.1
OG0001281	Bo1g011200, Bo7g115250, Bo3g173880	Sp7g29380.1
OG0001282	Bo8g065130, Bo8g107770	Sp1g11570.1
OG0001282	Bo7g082640	Sp2g15550.1
OG0001283	Bo1g017800	Sp7g16380.1
OG0001283	Bo2g131650, Bo7g075890	Sp2g11660.1
OG0001284	Bo2g158910, Bo7g096160	Sp2g22310.1
OG0001284	Bo3g006870, Bo2g010190	Sp6g32440.1
OG0001285	Bo9g053410, Bo1g087560	Sp2g05840.1
OG0001285	Bo5g010010, Bo8g058700	Sp1g08190.1
OG0001286	Bo8g096140, Bo9g074300, Bo6g077880	Sp5g01780.1
OG0001286	Bo4g009400	Sp4g28350.1
OG0001287	Bo6g067620, Bo8g083040	Sp5g08700.1
OG0001287	Bo3g031770	Sp4g19810.1
OG0001288	Bo4g061160, Bo4g061180	Sp4g12450.1
OG0001288	Bo8g099320	Sp4g04250.1
OG0001288	Bo5g008080	Sp1g06020.1
OG0001290	Bo3g097570	Sp2g28980.1
OG0001290	Bo1g117420, Bo3g071660, Bo5g117360	Sp3g16680.1
OG0001291	Bo6g066900, Bo8g082270, Bo4g124030	Sp5g09530.1
OG0001291	Bo3g030050	Sp4g18560.1
OG0001293	Bo7g097500, Bo9g014010	Sp2g23560.1
OG0001293	Bo8g077260, Bo1g078350, Bo3g111200	Sp5g13280.1
OG0001294	Bo1g040570	Sp7g23880.1
OG0001294	Bo1g040580	Sp7g23890.1
OG0001295	Bo1g087310, Bo9g055700	Sp2g06520.1
OG0001295	Bo5g009630, Bo8g058260	Sp1g07820.1
OG0001297	Bo8g099210	Sp4g04530.1, Sp4g04580.1
OG0001298	Bo4g114150, Bo8g090740	Sp5g06180.1
OG0001298	Bo4g190250, Bo1g091820, Bo4g012650	SpUn0061_0060.1, Sp4g22850.1
OG0001299	Bo3g028520, Bo4g184610	Sp4g18010.1
OG0001299	Bo1g054780, Bo2g083720	Sp7g14980.1
OG0001300	Bo9g017620, Bo3g103460	Sp2g26490.1
OG0001301	Bo4g081130, Bo1g087550	Sp2g05890.1, SpUn0028_0050.1
OG0001301	Bo8g058660, Bo5g010000	Sp1g08180.1
OG0001302	Bo8g077270	Sp7g06590.1
OG0001302	Bo6g123970	Sp2g20370.1
OG0001302	Bo6g123720	Sp5g34300.1
OG0001303	Bo4g151390, Bo8g100540	SpUn1716_0010.1
OG0001303	Bo8g100530	SpUn1105_0010.1
OG0001304	Bo8g030860, Bo8g030890	Sp7g07600.1
OG0001305	Bo3g013650, Bo9g153840	Sp6g25070.1
OG0001305	Bo5g144890, Bo1g150150	Sp3g04920.1
OG0001306	Bo5g027250, Bo8g068380	Sp1g17120.1
OG0001306	Bo9g151530, Bo2g023110	Sp6g23750.1
OG0001307	Bo9g028980	Sp2g01220.1
OG0001307	Bo4g140900	SpUn0010_0240.1, Sp7g00760.1
OG0001308	Bo2g083700	Sp5g30520.1
OG0001309	Bo3g062060	Sp3g07720.1
OG0001309	Bo9g184760	Sp6g40260.1
OG0001310	Bo5g076280	Sp2g06090.1
OG0001311	Bo7g005150, Bo7g005100, Bo7g005180	Sp3g33240.1
OG0001313	Bo2g068090, Bo6g110920, Bo6g110940	Sp5g25430.1
OG0001313	Bo9g165570, Bo2g012230	Sp6g29200.1
OG0001314	Bo4g190160, Bo4g190180, Bo4g190190, Bo7g061750	Sp6g12060.1
OG0001315	Bo1g020370, Bo7g106540	Sp7g17950.1
OG0001315	Bo9g061360, Bo7g071430, Bo2g127090	Sp2g10290.1
OG0001316	Bo3g015700, Bo9g149730, Bo9g149750, Bo2g023680	Sp6g23130.1
OG0001317	Bo8g108150, Bo3g062700	Sp3g08740.1
OG0001317	Bo5g137360	Sp3g08750.1
OG0001318	Bo9g094220, Bo03716s010	SpUn0039_0030.1, SpUn0015_0060.1, SpUn0015_0070.1, SpUn0155_0010.1, Sp6g12570.1
OG0001319	Bo09658s010, Bo3g027580, Bo5g143630, Bo3g012390, Bo3g012370, Bo01210s040, Bo8g061340	Sp4g05480.1
OG0001321	Bo4g158810	Sp4g05630.1
OG0001321	Bo3g171090, Bo1g009990, Bo7g115860	Sp7g30570.1
OG0001322	Bo7g117630, Bo1g006150	Sp7g33620.1
OG0001322	Bo7g014110	Sp3g31140.1
OG0001323	Bo4g087080, Bo1g098370	Sp2g02920.1
OG0001323	Bo8g108910, Bo5g014710	Sp1g10020.1
OG0001324	Bo5g103570, Bo3g077380	Sp3g19120.1
OG0001324	Bo3g181460, Bo6g026100	Sp1g38230.1
OG0001325	Bo7g049990, Bo3g141430	Sp1g23550.1
OG0001325	Bo7g048520	Sp1g24160.1
OG0001326	Bo2g136840, Bo7g081080, Bo5g109980	Sp2g14220.1, Sp2g14230.1
OG0001326	Bo8g065810, Bo8g107120	Sp1g12370.1
OG0001327	Bo3g018640, Bo3g018630	Sp3g24140.1
OG0001328	Bo5g082610, Bo3g179670, Bo6g025940	Sp1g38020.1
OG0001328	Bo5g105120, Bo3g076260, Bo1g108500	Sp3g18930.1
OG0001330	Bo8g112720, Bo8g010890, Bo5g008660	Sp1g06630.1
OG0001330	Bo4g165270	Sp4g11150.1
OG0001331	Bo4g142200	Sp7g00470.1
OG0001331	Bo9g033920, Bo9g030630	Sp2g00690.1
OG0001332	Bo16255s010, Bo3g113670, Bo1g074690	Sp5g13860.1
OG0001333	Bo3g045200	Sp6g06220.1
OG0001333	Bo7g108930, Bo1g036900, Bo3g155370	Sp7g21560.1
OG0001334	Bo8g087340, Bo4g117190	Sp5g07390.1
OG0001334	Bo3g034240	Sp4g21610.1, SpUn0018_0060.1
OG0001335	Bo1g011630	Sp7g28970.1
OG0001335	Bo1g011640, Bo7g114950	Sp7g28980.1
OG0001336	Bo8g087240, Bo6g068390	Sp5g07470.1
OG0001336	Bo3g034210, Bo4g026660	Sp4g21550.1, SpUn0018_0120.1
OG0001337	Bo9g004160	Sp6g01520.1
OG0001337	Bo4g014780, Bo7g038690, Bo3g001120	Sp1g01380.1
OG0001338	Bo9g165510, Bo2g012260	Sp6g29110.1
OG0001338	Bo5g155230	Sp3g00720.1
OG0001339	Bo5g086830, Bo5g049420	Sp1g28150.1
OG0001339	Bo3g044810	Sp6g06860.1
OG0001340	Bo2g132010	Sp2g11870.1
OG0001340	Bo7g105240, Bo1g017730	Sp7g16470.1
OG0001341	Bo3g055740, Bo3g055730	Sp3g01630.1
OG0001341	Bo3g055720, Bo5g152600, Bo1g156270	Sp3g01620.1
OG0001342	Bo8g010830, Bo5g008500	Sp1g06480.1
OG0001342	Bo4g070300, Bo4g166590	Sp4g11490.1
OG0001343	Bo5g007640	Sp1g05370.1
OG0001344	Bo4g078540, Bo2g117950	Sp2g07780.1
OG0001345	Bo3g031710, Bo4g030590	Sp4g19730.1
OG0001346	Bo6g095400, Bo6g109070	SpUn0193_0010.1
OG0001346	Bo5g045110, Bo8g076540	Sp1g22020.1
OG0001347	Bo6g031520, Bo00534s150	Sp1g40040.1
OG0001347	Bo1g130040, Bo5g128940	Sp3g12950.1
OG0001348	Bo3g024150	Sp6g12810.1
OG0001348	Bo2g165750	Sp2g26620.1
OG0001349	Bo5g132210, Bo1g134960	Sp3g11920.1
OG0001349	Bo6g051090, Bo6g033330	Sp1g40870.1
OG0001350	Bo1g094460, Bo4g085190, Bo9g043420	Sp2g03630.1
OG0001350	Bo8g059760	Sp1g09680.1
OG0001351	Bo8g106820, Bo5g019520	Sp1g12740.1
OG0001351	Bo7g080590, Bo2g136540	Sp2g13900.1
OG0001352	Bo6g125610, Bo2g096030, Bo6g080360	Sp5g35440.1
OG0001352	Bo5g021100	Sp1g13940.1
OG0001353	Bo4g045940	Sp4g14780.1
OG0001353	Bo5g005300, Bo8g004450	SpUn0024_0110.1, Sp1g04030.1
OG0001354	Bo1g006420, Bo7g117400, Bo3g155560	Sp7g33260.1
OG0001354	Bo7g014470	Sp3g30810.1
OG0001355	Bo5g015310	Sp1g11670.1
OG0001355	Bo9g076040	Sp2g15340.1
OG0001356	Bo2g068490, Bo6g094600, Bo4g123990	Sp5g25900.1
OG0001356	Bo5g039330, Bo7g056250	Sp1g20670.1
OG0001357	Bo00983s060	Sp6g26750.1
OG0001357	Bo1g154770	Sp3g02400.1
OG0001358	Bo7g110540, Bo1g040540	Sp7g23840.1
OG0001358	Bo2g030330	Sp6g19230.1
OG0001359	Bo8g076530, Bo5g045140, Bo5g045130	Sp1g22010.1
OG0001359	Bo6g095390, Bo6g109100	Sp5g24690.1
OG0001360	Bo9g184930	Sp6g40450.1
OG0001360	Bo3g062150, Bo5g139420, Bo1g144670	Sp3g07620.1
OG0001361	Bo3g005540, Bo2g009830, Bo9g172220	Sp6g33090.1
OG0001361	Bo3g173790, Bo1g011060	Sp7g29500.1
OG0001362	Bo1g008630, Bo7g115910	Sp7g30700.1
OG0001362	Bo3g007210, Bo9g169960	Sp6g31910.1
OG0001363	Bo3g151310	Sp7g36300.1
OG0001364	Bo00578s270, Bo00578s230	Sp7g02490.1, Sp7g02470.1, Sp7g02520.1
OG0001364	Bo00578s280	Sp7g02530.1
OG0001365	Bo7g109030	Sp7g21640.1
OG0001365	Bo5g155190, Bo3g055180, Bo1g158860	Sp3g00680.1
OG0001366	Bo9g028770	Sp2g01610.1
OG0001366	Bo8g064860, Bo8g064880, Bo5g016780, Bo8g108070	Sp1g11150.1
OG0001367	Bo5g007060, Bo8g114910	Sp1g04700.1
OG0001367	Bo4g176230, Bo3g025310	Sp4g14030.1
OG0001368	Bo5g127540, Bo4g125910	Sp3g13190.1
OG0001368	Bo6g031330, Bo3g183860	Sp1g39860.1
OG0001369	Bo4g195820	Sp4g27870.1
OG0001369	Bo6g077560	Sp5g02140.1
OG0001370	Bo4g108080, Bo6g076140	Sp5g03960.1
OG0001370	Bo3g026360, Bo4g176200, Bo4g049580	Sp4g14060.1
OG0001371	Bo6g098480	Sp5g22900.1
OG0001371	Bo5g016390, Bo8g065120	Sp1g11550.1
OG0001372	Bo1g046460	Sp7g24570.1
OG0001372	Bo2g037670, Bo9g121110, Bo3g021320	Sp6g17760.1
OG0001373	Bo8g101640, Bo4g146010	Sp4g00720.1
OG0001374	Bo5g094620, Bo3g081310, Bo1g105000	Sp3g20370.1
OG0001375	Bo1g042910, Bo3g049890	Sp7g24140.1
OG0001375	Bo9g030810	Sp2g00470.1
OG0001376	Bo3g103440, Bo9g017680, Bo2g165690	Sp2g26530.1
OG0001376	Bo8g077030	Sp5g13460.1
OG0001377	Bo4g188960	Sp4g22600.1
OG0001377	Bo8g090450, Bo4g115370	Sp5g06490.1
OG0001378	Bo4g070320	Sp2g04280.1
OG0001378	Bo3g083980, Bo3g083990	Sp3g22910.1
OG0001379	Bo6g120910, Bo6g083650	Sp5g32050.1
OG0001379	Bo5g034220, Bo7g059550	Sp1g18860.1
OG0001380	Bo4g102590, Bo8g095610	Sp5g02330.1
OG0001380	Bo4g024780	Sp4g27560.1
OG0001381	Bo3g045210, Bo9g091230	Sp6g06190.1
OG0001381	Bo1g036820, Bo7g108890	Sp7g21490.1
OG0001382	Bo4g186180	Sp4g18600.1
OG0001382	Bo6g064760	Sp7g04640.1, SpUn0053_0030.1, Sp7g05390.1
OG0001383	Bo3g005200	Sp6g33780.1
OG0001383	Bo1g003310, Bo3g153120	Sp7g35550.1
OG0001384	Bo2g057920, Bo6g097110	Sp5g23530.1
OG0001384	Bo3g073030, Bo1g114900	Sp3g17230.1
OG0001385	Bo4g039260, Bo4g182940	Sp4g17110.1
OG0001385	Bo5g063280, Bo7g043420	Sp1g26550.1
OG0001386	Bo7g105530, Bo1g018000	Sp7g16230.1
OG0001386	Bo7g075700	Sp2g11560.1, SpUn0036_0050.1
OG0001387	Bo7g005560, Bo9g027840, Bo8g102610	Sp3g33060.1
OG0001387	Bo3g178160	Sp7g27290.1
OG0001389	Bo3g072010, Bo5g115580, Bo1g114910	Sp3g17200.1
OG0001389	Bo5g076310, Bo8g011170, Bo6g018650	Sp1g36480.1
OG0001390	Bo2g001060	Sp6g41140.1
OG0001390	Bo4g027170	Sp4g20890.1
OG0001390	Bo8g082290, Bo6g066920	Sp5g09490.1
OG0001391	Bo8g015020	Sp1g35430.1
OG0001391	Bo5g122530, Bo1g119130	Sp3g15960.1
OG0001392	Bo4g182510, Bo4g039950	Sp4g16600.1
OG0001392	Bo3g145170, Bo7g045280, Bo7g045290, Bo15430s010	Sp1g25540.1
OG0001393	Bo6g120150	Sp5g31240.1
OG0001393	Bo5g030210	Sp1g18110.1
OG0001394	Bo2g137250	Sp2g14700.1
OG0001395	Bo2g119460	Sp2g08520.1
OG0001395	Bo4g024390, Bo3g037540	Sp4g27160.1
OG0001395	Bo4g104950, Bo6g077180, Bo6g077250	Sp5g02660.1
OG0001396	Bo2g009490, Bo2g009480	Sp6g33680.1
OG0001396	Bo2g166300, Bo9g018160, Bo3g101190	Sp2g27630.1
OG0001397	Bo6g077410	Sp5g02290.1
OG0001397	Bo4g195760, Bo3g038970, Bo4g024920	Sp4g27790.1
OG0001398	Bo8g079300, Bo5g150070	Sp3g02320.1
OG0001398	Bo2g013620, Bo3g012560, Bo3g012580	Sp6g26870.1
OG0001399	Bo8g061420	Sp1g10480.1
OG0001399	Bo3g021740, Bo2g041280	Sp6g17010.1
OG0001400	Bo3g003120	Sp6g37800.1
OG0001401	Bo8g109090, Bo5g013500	Sp1g09810.1
OG0001401	Bo4g086630, Bo1g095780	Sp2g03290.1
OG0001404	Bo1g004810, Bo2g133920, Bo1g084920, Bo28538s010, Bo21351s010, Bo9g088040, Bo13742s010, Bo20776s010, Bo01402s010, Bo00923s050, Bo4g129580, Bo03497s010, Bo1g119040, Bo5g095710, Bo2g106380, Bo5g083890, Bo25164s010, Bo3g182790, Bo00640s090, Bo4g118480, Bo2g064530, Bo00285s190, Bo2g118050, Bo3g153590, Bo01558s010, Bo01142s010, Bo7g054340, Bo2g129950, Bo8g040690, Bo3g115060, Bo8g034190, Bo4g082280	Sp7g09290.1
OG0001407	Bo8g102430	Sp3g33390.1
OG0001407	Bo7g113530, Bo01098s010, Bo1g016710	Sp7g27030.1
OG0001408	Bo6g039490, Bo3g182500	Sp1g39270.1
OG0001408	Bo1g126130, Bo5g126790, Bo3g067960	Sp3g13950.1
OG0001409	Bo4g098920, Bo8g097650, Bo6g079230	Sp5g01270.1
OG0001409	Bo4g197440	Sp4g28990.1
OG0001410	Bo9g175750, Bo9g175740	Sp6g36000.1
OG0001410	Bo3g004080	Sp6g35990.1
OG0001411	Bo1g051520, Bo7g105120	Sp7g16730.1
OG0001411	Bo9g069490, Bo7g077560	Sp2g12090.1
OG0001412	Bo8g095800	Sp5g02110.1
OG0001412	Bo4g195840, Bo4g024990	Sp4g27890.1
OG0001413	Bo4g182290	Sp4g16260.1
OG0001413	Bo5g055940	Sp1g24680.1
OG0001413	Bo3g143410	Sp2g03920.1
OG0001414	Bo2g006530, Bo3g002780, Bo9g180060	Sp6g38340.1
OG0001414	Bo1g143860, Bo5g137370	Sp3g08730.1
OG0001415	Bo5g007050, Bo8g005840	Sp1g04680.1
OG0001415	Bo3g025350	Sp4g14000.1
OG0001416	Bo9g026240	Sp3g31510.1
OG0001416	Bo7g117830, Bo1g005790	Sp7g33940.1
OG0001417	Bo1g118990	Sp3g16150.1
OG0001417	Bo6g015540, Bo5g072750	Sp1g35590.1
OG0001418	Bo9g045370	Sp2g04670.1
OG0001418	Bo5g010910, Bo8g059410	Sp1g09100.1
OG0001419	Bo6g121030	Sp5g32170.1
OG0001419	Bo01074s060	Sp1g18960.1
OG0001420	Bo2g052590	Sp5g20890.1
OG0001420	Bo6g099570	Sp5g20940.1
OG0001420	Bo3g073020	Sp5g20920.1
OG0001421	Bo2g166310, Bo3g101180, Bo9g018170	Sp3g28270.1, Sp2g27640.1
OG0001421	Bo9g173880, Bo9g152100, Bo6g101290	Sp6g33670.1
OG0001422	Bo4g001180, Bo4g198720	Sp4g29500.1
OG0001422	Bo8g098030, Bo6g079600	Sp5g00830.1
OG0001423	Bo3g057230, Bo5g148440, Bo1g153230	Sp3g03020.1
OG0001424	Bo7g089210	Sp2g18710.1
OG0001424	Bo3g061320, Bo5g141390	Sp3g06450.1
OG0001425	Bo8g016210, Bo3g088360	Sp3g27740.1
OG0001426	Bo8g115700, Bo5g004350	Sp1g03000.1, SpUn1380_0010.1
OG0001426	Bo2g120720, Bo7g065820	Sp2g08700.1
OG0001427	Bo6g112150, Bo2g068320	Sp5g25710.1
OG0001427	Bo5g039440, Bo03539s010, Bo5g039430	Sp1g20760.1
OG0001428	Bo6g094550, Bo2g068530, Bo6g112380	Sp5g25960.1
OG0001428	Bo5g039290, Bo8g072670	Sp1g20610.1
OG0001429	Bo9g022600	Sp3g27940.1
OG0001429	Bo7g116460, Bo1g007780, Bo3g169400	Sp7g31600.1
OG0001430	Bo4g008190	Sp1g24210.1
OG0001430	Bo4g197130	Sp4g28500.1
OG0001431	Bo6g076460, Bo8g093270	Sp5g03700.1
OG0001431	Bo4g194250	Sp4g25400.1
OG0001432	Bo9g181930, Bo2g004120	Sp6g39220.1
OG0001432	Bo5g137890	Sp3g08260.1
OG0001433	Bo5g002420, Bo8g117910	Sp1g00780.1
OG0001433	Bo9g003540	Sp6g00810.1
OG0001434	Bo5g007310	Sp1g04980.1
OG0001434	Bo4g052460, Bo4g176070	Sp4g13710.1
OG0001435	Bo1g018070	Sp7g16150.1
OG0001435	Bo2g130310, Bo7g075560	Sp2g11450.1
OG0001436	Bo5g121410, Bo3g071320, Bo1g119070	Sp3g16060.1
OG0001436	Bo2g158640, Bo7g095950	Sp2g22060.1
OG0001437	Bo3g184020, Bo6g031420	Sp1g39930.1
OG0001437	Bo3g066460, Bo5g127660	Sp3g13080.1
OG0001438	Bo8g105350, Bo8g066770	Sp1g14860.1
OG0001438	Bo2g094860, Bo6g122480	Sp5g34050.1
OG0001441	Bo2g011730	Sp6g29830.1, SpUn0049_0030.1
OG0001441	Bo2g095850, Bo6g124430	Sp5g35220.1
OG0001443	Bo6g086900, Bo6g118870	Sp5g29780.1
