Orthogroup	Brassica_oleracea	Tarenaya_hassleriana
OG0001605	Bo9g157270, Bo3g013070	Th2v09170, Th2v22844
OG0001606	Bo3g125120, Bo6g056500, Bo8g030350, Bo4g136030	Th2v00624
OG0001608	Bo7g038940, Bo4g129600	Th2v19483, Th2v28791
OG0001609	Bo3g003850, Bo1g139890, Bo5g136270	Th2v14340, Th2v22164, Th2v20291
OG0001610	Bo01135s010, Bo7g062490, Bo12465s010, Bo1g014680, Bo7g063500, Bo06904s010, Bo6g041300	Th2v01697
OG0001611	Bo3g045490, Bo9g093950, Bo7g108330, Bo1g031810	Th2v04504, Th2v10836
OG0001612	Bo1g046670, Bo8g051410, Bo2g040130, Bo9g120280, Bo3g021630	Th2v21646
OG0001613	Bo7g054530, Bo6g095120, Bo6g110490, Bo2g064700	Th2v24992
OG0001614	Bo1g006520, Bo3g157400, Bo1g020030	Th2v14172, Th2v26713
OG0001615	Bo8g077210, Bo9g017710, Bo2g165710	Th2v09284, Th2v17359
OG0001616	Bo9g070270, Bo2g134450, Bo8g063720, Bo5g020280	Th2v05423
OG0001617	Bo1g134360, Bo5g130400, Bo6g031670, Bo3g184260	Th2v00915, Th2v23727
OG0001618	Bo6g084850, Bo6g120700, Bo7g059750, Bo8g070540, Bo5g030950	Th2v09808
OG0001619	Bo7g085840, Bo7g085800, Bo9g008310, Bo4g140230	Th2v00312, Th2v28915
OG0001620	Bo5g004010, Bo5g004000, Bo9g007650, Bo9g007640	Th2v27050
OG0001621	Bo00534s220, Bo6g014370, Bo6g014340	Th2v04803
OG0001622	Bo3g039130, Bo4g010420, Bo8g096110, Bo6g077860	Th2v16396
OG0001623	Bo7g031060, Bo4g133380	Th2v08580, Th2v25266, Th2v25265, Th2v30841, Th2v30843
OG0001624	Bo5g152700, Bo1g157450, Bo3g010720, Bo9g163790	Th2v09044, Th2v23059
OG0001625	Bo9g059830, Bo2g124320, Bo01143s020	Th2v04334
OG0001626	Bo9g059220, Bo5g004480, Bo8g002870	Th2v16108, Th2v27077
OG0001627	Bo3g037150, Bo6g076770, Bo8g094670	Th2v13398, Th2v26014
OG0001628	Bo5g016470, Bo5g016480, Bo7g083830, Bo00285s390	Th2v00245
OG0001630	Bo4g143820, Bo4g136480, Bo2g052660, Bo6g099670	Th2v05256
OG0001631	Bo8g079550, Bo00884s080, Bo1g083540, Bo7g063900	Th2v00115, Th2v13522
OG0001632	Bo9g174870, Bo9g014480, Bo2g161330, Bo7g098350	Th2v11879, Th2v24092
OG0001633	Bo7g082700, Bo00285s340, Bo3g031310, Bo4g186420	Th2v30813
OG0001635	Bo7g014920, Bo3g092260, Bo1g006600, Bo7g117300	Th2v12143, Th2v02911, Th2v02912
OG0001636	Bo9g173530, Bo9g018550, Bo00615s200, Bo3g099440	Th2v13644, Th2v24230
OG0001637	Bo5g083870, Bo3g047140	Th2v04749, Th2v04747, Th2v04748
OG0001638	Bo6g016950, Bo00685s030, Bo1g117460	Th2v25573, Th2v31302
OG0001639	Bo4g039500, Bo4g182750, Bo3g027780, Bo5g062450, Bo3g147730, Bo3g147640	Th2v01374, Th2v10406
OG0001640	Bo1g057260, Bo1g105250, Bo5g098160	Th2v18652, Th2v29417, Th2v19325, Th2v29416
OG0001641	Bo5g138220, Bo9g154810, Bo2g016550, Bo3g013200	Th2v03668, Th2v16896
OG0001642	Bo8g114360, Bo4g058480, Bo3g024580, Bo4g173040	Th2v10443, Th2v15839
OG0001643	Bo9g037320, Bo9g028460, Bo4g093050, Bo5g017230	Th2v20591
OG0001644	Bo9g035530, Bo6g065060	Th2v20505
OG0001645	Bo4g069290, Bo4g166650, Bo5g008450, Bo8g010760	Th2v07567, Th2v15719
OG0001646	Bo7g105060, Bo7g077680, Bo2g132450	Th2v17095, Th2v27219
OG0001647	Bo3g097830, Bo2g168210	Th2v30234, Th2v30235
OG0001647	Bo1g003330, Bo7g118780	Th2v12742
OG0001648	Bo1g147660, Bo5g143120, Bo3g060880, Bo2g150460, Bo01327s020	Th2v11395, Th2v18362
OG0001649	Bo2g023600	Th2v17967
OG0001649	Bo7g116050, Bo1g008330	Th2v01931
OG0001650	Bo5g003130, Bo9g004410, Bo3g052910	Th2v16324, Th2v16325, Th2v27010
OG0001651	Bo9g062610, Bo3g158500, Bo01880s010, Bo7g106420, Bo1g020150	Th2v16568
OG0001652	Bo4g021680, Bo8g094870, Bo4g106310	Th2v27478, Th2v07117, Th2v07116, Th2v18062
OG0001653	Bo7g095710, Bo9g011210, Bo9g170060, Bo2g010530	Th2v17618, Th2v19284
OG0001654	Bo1g153510	Th2v22877
OG0001654	Bo3g004680, Bo2g008880, Bo9g174820	Th2v00679, Th2v05179
OG0001655	Bo9g078130, Bo3g048600, Bo1g025900	Th2v10797, Th2v04427, Th2v16702
OG0001656	Bo9g174050, Bo9g018010, Bo7g065500	Th2v13727, Th2v11813, Th2v24184
OG0001657	Bo5g017290, Bo8g062490, Bo8g108460, Bo9g037330	Th2v06005, Th2v14714, Th2v20595
OG0001658	Bo1g003130, Bo3g152870, Bo8g101130, Bo4g149670	Th2v02357, Th2v12720
OG0001659	Bo5g007320, Bo4g176020, Bo4g176030, Bo3g025100	Th2v01161
OG0001660	Bo6g120740, Bo2g091040, Bo2g091050, Bo6g120750, Bo6g083780	Th2v09811
OG0001661	Bo3g031800, Bo4g121650, Bo8g083050	Th2v25253
OG0001662	Bo9g025810, Bo4g153980, Bo8g100250	Th2v02410, Th2v03053
OG0001663	Bo4g056270, Bo4g173280, Bo3g024730	Th2v01138, Th2v10459, Th2v15852, Th2v08222
OG0001664	Bo4g039080, Bo2g121150, Bo5g065700	Th2v01415, Th2v27842
OG0001665	Bo9g173550, Bo2g009670, Bo3g099410, Bo9g018570, Bo00615s190	Th2v13645, Th2v24229
OG0001666	Bo1g019420, Bo7g075170, Bo9g063060	Th2v27145, Th2v07406, Th2v10672
OG0001667	Bo8g098150, Bo6g079640, Bo4g098490	Th2v07299, Th2v29937, Th2v30284
OG0001668	Bo1g045400	Th2v21679
OG0001668	Bo3g021240, Bo2g037630	Th2v09485
OG0001669	Bo4g065890, Bo4g168000	Th2v07534, Th2v15744, Th2v08282
OG0001670	Bo2g008840, Bo4g181830, Bo2g092650	Th2v24088, Th2v24089
OG0001671	Bo9g023690, Bo9g023710, Bo7g116480	Th2v02743, Th2v12008
OG0001672	Bo1g101290, Bo2g044570, Bo7g039020, Bo8g023150	Th2v19478, Th2v28786
OG0001673	Bo4g015960, Bo8g092430, Bo6g074510	Th2v13259, Th2v25894, Th2v06860, Th2v03501
OG0001674	Bo9g088620, Bo8g043510, Bo1g054930	Th2v26298, Th2v27673, Th2v25518
OG0001675	Bo5g105000, Bo3g076320, Bo1g108330	Th2v24384, Th2v21861
OG0001676	Bo8g079570, Bo7g099260, Bo8g079560, Bo7g099210	Th2v13520
OG0001677	Bo4g086620, Bo1g095760, Bo3g046860	Th2v04969, Th2v20677
OG0001678	Bo6g065010, Bo9g029060, Bo4g096620	Th2v06041, Th2v14750, Th2v20502
OG0001679	Bo8g092680, Bo6g074880, Bo4g108370, Bo4g016130, Bo3g036070, Bo4g191630	Th2v03492, Th2v06853, Th2v13250
OG0001680	Bo3g164180, Bo7g107810, Bo1g027000	Th2v16705, Th2v04432, Th2v06001, Th2v14710
OG0001681	Bo9g153820, Bo2g017920, Bo2g010860, Bo3g007550, Bo9g169570	Th2v17557, Th2v19212
OG0001682	Bo5g076250, Bo8g011510, Bo1g115950, Bo5g116750, Bo5g115730, Bo3g071960	Th2v29538, Th2v30875
OG0001683	Bo9g119130, Bo3g021720, Bo2g041270, Bo1g047790, Bo8g051490	Th2v21633
OG0001684	Bo3g009160, Bo3g009170, Bo2g011280, Bo9g166770	Th2v03861, Th2v28163
OG0001685	Bo5g138180, Bo5g030840	Th2v05758, Th2v20851, Th2v31209, Th2v04117, Th2v04118
OG0001686	Bo3g044790, Bo3g044760, Bo9g088430, Bo9g088450	Th2v10902
OG0001687	Bo9g009480, Bo2g149960, Bo5g141500, Bo3g061270, Bo1g147320	Th2v11470, Th2v24779
OG0001688	Bo5g003400, Bo3g052590, Bo9g005720, Bo2g100440	Th2v16292
OG0001689	Bo4g104820, Bo8g095470	Th2v07052, Th2v18120, Th2v12827, Th2v22515
OG0001690	Bo9g093980, Bo1g031780, Bo7g108290, Bo3g165660	Th2v10834, Th2v04497, Th2v16746
OG0001691	Bo5g101120, Bo3g078560	Th2v23887, Th2v27438
OG0001692	Bo1g020340, Bo5g003730	Th2v09411, Th2v29730
OG0001693	Bo6g118350, Bo2g080900, Bo5g025570, Bo8g104300, Bo8g067910	Th2v09886
OG0001694	Bo6g072720	Th2v28462
OG0001694	Bo9g181470, Bo2g005360, Bo00983s010	Th2v14426, Th2v22254
OG0001695	Bo7g100610, Bo1g060640, Bo8g080370	Th2v13451, Th2v11680, Th2v14177, Th2v26708
OG0001696	Bo1g019570, Bo3g156990, Bo7g074000, Bo7g074010	Th2v27250
OG0001697	Bo8g104850, Bo6g116060, Bo6g091370	Th2v05952, Th2v21073, Th2v10005
OG0001698	Bo4g015820, Bo6g073280, Bo4g109720, Bo8g092300	Th2v03482, Th2v13218, Th2v25856
OG0001699	Bo1g139190, Bo1g139210, Bo3g064970, Bo3g064960, Bo3g064930	Th2v24426, Th2v26477
OG0001699	Bo5g133420	Th2v12619
OG0001700	Bo1g027120, Bo3g164190	Th2v10806
OG0001701	Bo8g097320, Bo01141s010, Bo3g039330, Bo4g008150	Th2v07210, Th2v12933, Th2v22630
OG0001702	Bo8g025640, Bo2g119370	Th2v19522, Th2v20728, Th2v25355
OG0001703	Bo3g099210, Bo9g018730, Bo2g009880, Bo3g005620	Th2v11773, Th2v29344
OG0001704	Bo4g078660, Bo02124s010, Bo8g020530, Bo6g006990	Th2v01231, Th2v10317
OG0001705	Bo2g047720, Bo1g040350, Bo7g110460	Th2v26914, Th2v28952
OG0001706	Bo8g079040, Bo1g080130, Bo3g097620, Bo2g168160	Th2v13558, Th2v26619
OG0001707	Bo7g100900, Bo8g081640	Th2v26752, Th2v14137, Th2v26751
OG0001708	Bo8g104600, Bo8g067590, Bo2g080540, Bo6g116800	Th2v09948
OG0001709	Bo5g055910, Bo3g143400, Bo4g042350	Th2v10353
OG0001710	Bo3g068110, Bo1g124940, Bo6g028120, Bo6g039610	Th2v21961
OG0001711	Bo3g035710, Bo4g013350	Th2v06802, Th2v15501, Th2v13175, Th2v25818
OG0001712	Bo5g012030, Bo9g044180	Th2v06118, Th2v14827
OG0001713	Bo7g084570, Bo2g141720	Th2v00301, Th2v06384, Th2v15084, Th2v28907
OG0001714	Bo5g151380, Bo1g155110, Bo2g013170, Bo9g163040	Th2v09089, Th2v18587
OG0001715	Bo3g141550, Bo7g049800	Th2v03859
OG0001715	Bo3g109280	Th2v24035
OG0001716	Bo8g099820, Bo4g154580, Bo1g011410, Bo7g115070, Bo7g014030	Th2v02087, Th2v01815, Th2v12383
OG0001717	Bo9g009730, Bo3g060800, Bo5g143170, Bo1g147730	Th2v11383, Th2v08994
OG0001718	Bo6g120780, Bo8g070620, Bo5g032020	Th2v09814
OG0001719	Bo8g105490, Bo5g021910, Bo6g122640, Bo6g081140	Th2v10110, Th2v23340
OG0001720	Bo3g027530, Bo5g057230	Th2v26512
OG0001721	Bo4g142430, Bo02355s010, Bo9g032550, Bo9g030830	Th2v04828, Th2v06070, Th2v14779
OG0001722	Bo6g042600, Bo1g108250, Bo3g077360	Th2v21870, Th2v24378, Th2v29096
OG0001723	Bo7g106410, Bo7g072750, Bo9g062660	Th2v07374, Th2v10705, Th2v27290
OG0001724	Bo5g023620, Bo8g067030, Bo8g105000, Bo2g075630, Bo6g115790	Th2v05966, Th2v21088
OG0001725	Bo7g110910, Bo1g045220	Th2v09508, Th2v21693
OG0001726	Bo3g066540, Bo5g127500, Bo1g129830	Th2v30079, Th2v23768, Th2v27395
OG0001727	Bo9g028840, Bo00834s020, Bo5g016700	Th2v06038, Th2v14747, Th2v04877, Th2v20538
OG0001728	Bo7g057900, Bo5g038610, Bo2g075440, Bo2g075460, Bo6g092610	Th2v21151
OG0001729	Bo6g003200, Bo5g070870, Bo8g021950	Th2v17185, Th2v31323
OG0001729	Bo6g121280	Th2v09863
OG0001730	Bo4g014560, Bo8g091950, Bo6g072980	Th2v03469, Th2v13191, Th2v25833
OG0001732	Bo5g150280, Bo9g161670, Bo2g013370	Th2v18572, Th2v09114, Th2v22976
OG0001733	Bo5g136650, Bo3g064110, Bo9g176840	Th2v20239
OG0001734	Bo9g011400, Bo7g096100, Bo3g006920, Bo9g171550	Th2v17457, Th2v18016
OG0001735	Bo4g182190, Bo4g043460, Bo3g143300, Bo7g048330, Bo5g054710	Th2v10349
OG0001736	Bo7g058170, Bo6g121900, Bo6g081740	Th2v04201
OG0001737	Bo7g100630, Bo7g064930, Bo9g021940, Bo2g167670	Th2v11678, Th2v13450
OG0001738	Bo8g015070, Bo5g122610, Bo3g070210, Bo1g119200	Th2v25547
OG0001739	Bo5g008240, Bo8g114060, Bo8g009620	Th2v17828, Th2v18754
OG0001740	Bo7g014310, Bo7g117430, Bo1g006410	Th2v02479, Th2v02932
OG0001741	Bo2g008760, Bo2g161570, Bo7g098620	Th2v13880, Th2v11886, Th2v24064
OG0001742	Bo3g055710, Bo9g163450, Bo3g010870	Th2v07039, Th2v18131, Th2v09061
OG0001743	Bo3g185740, Bo6g051550, Bo6g035890, Bo4g040020	Th2v23600, Th2v26195
OG0001744	Bo5g034310, Bo6g083510, Bo6g121010	Th2v05727, Th2v20815
OG0001745	Bo6g022340, Bo5g109810, Bo1g108980, Bo3g074830	Th2v21799
OG0001746	Bo3g026650, Bo4g045900, Bo5g005390, Bo8g115190, Bo8g004510	Th2v16004
OG0001747	Bo5g126660, Bo1g126030, Bo6g039580, Bo6g028170	Th2v00853, Th2v23835, Th2v27328
OG0001748	Bo5g016800, Bo8g108110, Bo9g028760	Th2v04885, Th2v06029, Th2v14737
OG0001749	Bo3g057010, Bo2g013470, Bo9g161540	Th2v22965, Th2v09121, Th2v18565
OG0001750	Bo00758s080, Bo8g108250, Bo5g016960, Bo3g184130, Bo4g094150, Bo10873s010	Th2v04899, Th2v20567
OG0001751	Bo2g002330, Bo5g139580, Bo1g144800	Th2v19909
OG0001752	Bo4g154460, Bo8g099880, Bo7g114910, Bo1g011680, Bo3g175230	Th2v12370
OG0001753	Bo3g013680, Bo9g153780, Bo2g010910, Bo9g169440	Th2v05454, Th2v29003, Th2v17543, Th2v19196
OG0001754	Bo5g038560, Bo2g075530, Bo6g114750	Th2v04192, Th2v21150
OG0001755	Bo1g034500, Bo1g034510, Bo7g108730	Th2v16802
OG0001756	Bo2g150200, Bo7g089400	Th2v24800
OG0001756	Bo2g150190	Th2v11447, Th2v24799
OG0001757	Bo3g135790, Bo2g164190, Bo3g107520	Th2v11915, Th2v11916, Th2v13977
OG0001758	Bo3g109370, Bo2g161630, Bo2g008600, Bo3g004300	Th2v13908, Th2v11893, Th2v24039
OG0001759	Bo9g014660, Bo7g098850, Bo2g008700, Bo9g175610	Th2v13893, Th2v24054
OG0001760	Bo5g094610, Bo1g057400, Bo8g038360	Th2v18672
OG0001761	Bo3g162340	Th2v19605, Th2v25239
OG0001762	Bo2g146570, Bo2g146620, Bo2g146560, Bo06409s010	Th2v05373
OG0001763	Bo8g100360, Bo4g151710	Th2v29116, Th2v03070, Th2v12278
OG0001764	Bo8g082670, Bo6g067300, Bo9g074330, Bo3g023970	Th2v02792, Th2v02855
OG0001765	Bo5g004390, Bo9g059270	Th2v16123, Th2v27071
OG0001766	Bo6g039890, Bo9g074580, Bo2g137140, Bo2g137150, Bo9g074430, Bo9g074570, Bo9g074490	Th2v28726, Th2v28733, Th2v29990
OG0001767	Bo3g130130, Bo3g130360, Bo3g130350, Bo9g174230, Bo2g009220	Th2v11833
OG0001768	Bo4g149900, Bo02176s010, Bo00871s010, Bo3g153090, Bo1g003280	Th2v03156, Th2v12736
OG0001773	Bo9g103660, Bo00946s020, Bo3g023570, Bo01095s010	Th2v09301, Th2v26890
OG0001774	Bo3g034250, Bo4g026620, Bo6g068500	Th2v03527, Th2v22300
OG0001775	Bo2g050460, Bo9g101160, Bo3g023680, Bo1g039930	Th2v09330, Th2v23500
OG0001776	Bo2g012050, Bo3g055100, Bo04755s010, Bo00851s010, Bo00851s030	Th2v23162, Th2v06998, Th2v18164
OG0001777	Bo9g143640	Th2v18842
OG0001777	Bo3g017320, Bo9g143650	Th2v21246
OG0001778	Bo3g028280, Bo1g001040, Bo7g120840	Th2v12627
OG0001779	Bo5g138060, Bo9g183040, Bo3g002260	Th2v08828, Th2v14445, Th2v20025
OG0001780	Bo3g061810, Bo3g002490	Th2v20047
OG0001781	Bo3g171030, Bo1g009850	Th2v01972
OG0001781	Bo3g181130, Bo6g027650	Th2v23874, Th2v27453, Th2v21913
OG0001782	Bo3g185350, Bo3g065530, Bo1g138360, Bo5g132560	Th2v23632, Th2v26148
OG0001783	Bo1g040380, Bo8g050950, Bo1g040400	Th2v09748, Th2v26916
OG0001784	Bo1g022600, Bo1g022610, Bo1g022590	Th2v04329
OG0001785	Bo2g092300, Bo2g092320, Bo8g071170, Bo6g121140	Th2v01625, Th2v01627
OG0001786	Bo3g001450, Bo2g001260	Th2v14503, Th2v08969, Th2v19895
OG0001786	Bo4g187460	Th2v14571
OG0001788	Bo2g017810, Bo1g150100, Bo3g060370, Bo5g144840	Th2v18420
OG0001789	Bo9g181170, Bo7g048650, Bo3g142840, Bo5g052290	Th2v10331, Th2v26438
OG0001790	Bo5g151500, Bo1g155140, Bo3g055830, Bo3g012030	Th2v18600, Th2v23007
OG0001791	Bo3g109250	Th2v11894, Th2v13913, Th2v30911
OG0001791	Bo8g093180, Bo6g076350, Bo4g107940	Th2v06904
OG0001792	Bo3g064020, Bo5g136810, Bo9g062630	Th2v19898, Th2v08775, Th2v20218
OG0001794	Bo3g092370	Th2v02922
OG0001795	Bo7g021210	Th2v28226
OG0001795	Bo2g087680, Bo8g067920, Bo5g025600	Th2v05900, Th2v21010, Th2v09885
OG0001796	Bo3g173680, Bo00285s260, Bo3g093890	Th2v02709, Th2v11979
OG0001797	Bo4g151410, Bo3g153550, Bo1g004900, Bo7g118450	Th2v03092
OG0001798	Bo4g149780	Th2v31577
OG0001798	Bo1g087940, Bo9g052020	Th2v06148, Th2v14856
OG0001800	Bo8g108480, Bo8g062470, Bo5g017320	Th2v04913, Th2v06003, Th2v14712
OG0001801	Bo3g015330, Bo01284s010, Bo2g023140	Th2v17999, Th2v18977
OG0001802	Bo00969s030, Bo1g110200, Bo3g178410	Th2v29976, Th2v25110, Th2v08461
OG0001803	Bo2g094720, Bo6g081480, Bo6g122370, Bo8g105260	Th2v05673, Th2v23309
OG0001804	Bo5g146940, Bo9g010120, Bo7g093280	Th2v25409, Th2v11142, Th2v29629
OG0001805	Bo2g010030, Bo9g171810	Th2v17449
OG0001805	Bo3g173670, Bo1g011000	Th2v02071, Th2v12409
OG0001806	Bo8g110890	Th2v06145, Th2v14852
OG0001806	Bo2g166220	Th2v13703
OG0001807	Bo4g061460, Bo4g169420, Bo4g061450	Th2v07498, Th2v15773
OG0001808	Bo6g094980, Bo6g110720	Th2v04010, Th2v24970
OG0001809	Bo6g112410, Bo5g039280	Th2v04049
OG0001810	Bo8g062480, Bo5g017310	Th2v04912, Th2v06004, Th2v14713
OG0001811	Bo9g166370, Bo3g064900, Bo1g139320, Bo5g133450	Th2v14295, Th2v22118
OG0001812	Bo9g008240, Bo7g084520, Bo2g140660	Th2v28903, Th2v00297, Th2v06387, Th2v15087, Th2v06389
OG0001813	Bo3g019220, Bo2g030230, Bo1g040510	Th2v09603
OG0001814	Bo7g050320, Bo5g043710, Bo2g056320, Bo6g098430, Bo6g106410	Th2v03920
OG0001816	Bo9g071640, Bo2g136030, Bo5g019740	Th2v00074, Th2v06514, Th2v15212, Th2v28665
OG0001817	Bo5g058450, Bo7g045730, Bo3g143780, Bo4g182410	Th2v01321, Th2v26521
OG0001818	Bo7g012920, Bo1g006000, Bo7g117730	Th2v02448, Th2v02986, Th2v21568
OG0001819	Bo8g077750, Bo3g109620, Bo9g013670, Bo7g096820	Th2v30398
OG0001820	Bo1g037390, Bo7g109270, Bo1g037370, Bo1g037380	Th2v10877
OG0001821	Bo1g011800, Bo4g154280, Bo8g100010	Th2v01786, Th2v02105
OG0001822	Bo1g016080, Bo7g005750, Bo9g027720, Bo8g102680	Th2v01668, Th2v12484
OG0001823	Bo3g167590, Bo7g117010, Bo1g007050	Th2v02525, Th2v12090, Th2v02808
OG0001824	Bo6g120120, Bo5g050750, Bo5g050740	Th2v04094, Th2v05803, Th2v20897, Th2v28124
OG0001825	Bo6g124220, Bo2g095670, Bo4g046190	Th2v10176, Th2v21404, Th2v30384
OG0001826	Bo1g138680, Bo5g132960, Bo3g065280, Bo1g138700	Th2v09326, Th2v26204, Th2v30966
OG0001827	Bo9g082020, Bo5g138070, Bo1g144270, Bo3g061860	Th2v09999, Th2v05950, Th2v21071
OG0001828	Bo8g070940, Bo5g034600, Bo6g121220, Bo2g092440	Th2v04123, Th2v09855
OG0001829	Bo3g134410, Bo2g164070	Th2v13957, Th2v24014
OG0001831	Bo3g149160, Bo4g127130, Bo1g101830, Bo7g040330	Th2v19445
OG0001832	Bo6g120020, Bo5g050610, Bo6g069680	Th2v05806, Th2v20900
OG0001833	Bo2g150250, Bo7g067770	Th2v02672, Th2v19933, Th2v26020, Th2v26021, Th2v26022, Th2v08656, Th2v24407
OG0001834	Bo5g005520, Bo8g115130, Bo3g026590, Bo4g045800	Th2v15996, Th2v27139
OG0001835	Bo4g013300, Bo4g111470, Bo8g091580	Th2v03454, Th2v28470
OG0001836	Bo1g024030, Bo9g076240	Th2v04359, Th2v10767
OG0001837	Bo9g078220, Bo3g048650, Bo1g027010	Th2v04433, Th2v16706
OG0001838	Bo2g034050, Bo7g110790	Th2v09533
OG0001839	Bo3g021220, Bo9g123470, Bo7g110950	Th2v21684
OG0001840	Bo7g115370, Bo1g011020, Bo8g099600	Th2v01828
OG0001841	Bo5g072650, Bo5g122590, Bo3g070230	Th2v26330, Th2v27639
OG0001843	Bo8g095010, Bo3g037340, Bo4g023940, Bo4g195140	Th2v07105, Th2v18072, Th2v12775, Th2v22462
OG0001844	Bo1g007830, Bo3g170480	Th2v17936, Th2v18900
OG0001845	Bo3g008930, Bo9g169150	Th2v19138
OG0001845	Bo5g106250, Bo1g108630	Th2v24416, Th2v21840
OG0001846	Bo4g045960, Bo5g005290	Th2v08116, Th2v16014
OG0001847	Bo4g195180, Bo6g076880, Bo8g095050	Th2v27492
OG0001848	Bo5g021160	Th2v27299
OG0001848	Bo2g095940	Th2v05618
OG0001849	Bo1g037180	Th2v16823, Th2v10866, Th2v10865
OG0001850	Bo9g018530, Bo3g100480, Bo3g005440	Th2v11785, Th2v29351
OG0001851	Bo1g013150	Th2v12448
OG0001851	Bo3g042250, Bo8g100240	Th2v01749, Th2v02126
OG0001852	Bo6g125560, Bo5g021140, Bo8g105930	Th2v10217, Th2v23414
OG0001853	Bo2g009680, Bo3g005400, Bo00615s210	Th2v24231
OG0001854	Bo4g173050, Bo8g114400, Bo5g007790	Th2v19286, Th2v17306, Th2v29104
OG0001855	Bo4g036290	Th2v01432
OG0001855	Bo4g032370	Th2v27817
OG0001856	Bo5g004340, Bo8g115710, Bo8g002760	Th2v08020, Th2v16136
OG0001857	Bo6g042530, Bo3g181430, Bo4g026220	Th2v24406
OG0001858	Bo8g102900, Bo3g065880, Bo5g131730, Bo1g134610	Th2v26119
OG0001859	Bo3g074790, Bo3g179540, Bo5g080020	Th2v29912
OG0001861	Bo4g145980, Bo3g149890, Bo7g119370, Bo1g002370	Th2v02317, Th2v12557
OG0001862	Bo9g077860, Bo1g025810, Bo7g107750	Th2v04411
OG0001863	Bo3g003080, Bo3g062820, Bo1g143640, Bo1g141550	Th2v20165, Th2v08869, Th2v20166
OG0001864	Bo8g092750, Bo4g016180, Bo3g036140	Th2v06865
OG0001865	Bo8g097420, Bo4g197270, Bo4g007050	Th2v07219, Th2v12950, Th2v22648
OG0001866	Bo8g114750, Bo8g114770, Bo8g005970, Bo5g007210	Th2v15925, Th2v15923, Th2v15924
OG0001867	Bo8g114450, Bo4g173320, Bo4g056230	Th2v10461, Th2v15854
OG0001868	Bo9g154360, Bo1g150070, Bo00944s030, Bo3g060450	Th2v18407, Th2v24645
OG0001869	Bo9g017690, Bo3g103350, Bo8g077130	Th2v23941, Th2v09281, Th2v17362, Th2v14072
OG0001870	Bo9g078110, Bo3g048580	Th2v16699, Th2v16700
OG0001871	Bo8g115760	Th2v00107
OG0001872	Bo5g145290	Th2v02326
OG0001873	Bo8g109500, Bo1g091590, Bo9g045270	Th2v05004, Th2v06120, Th2v14829
OG0001874	Bo00578s190, Bo6g062200	Th2v00407, Th2v05361
OG0001874	Bo5g017960	Th2v00128, Th2v06491, Th2v15188
OG0001875	Bo1g006290, Bo1g006320	Th2v12178, Th2v12179
OG0001876	Bo6g064970, Bo4g140850, Bo7g084010, Bo00285s630	Th2v28500
OG0001877	Bo6g078070	Th2v20452
OG0001877	Bo4g143790, Bo6g066710	Th2v04824, Th2v20447
OG0001878	Bo7g064140, Bo8g079730, Bo1g084690	Th2v13501, Th2v14221, Th2v26661
OG0001879	Bo4g190990, Bo8g091730, Bo6g072820	Th2v13172, Th2v25815
OG0001880	Bo7g095840, Bo2g158590, Bo3g007020, Bo2g010400, Bo9g171230	Th2v17637, Th2v21444
OG0001881	Bo4g186120, Bo3g030030, Bo4g034840, Bo8g082230, Bo4g124090, Bo6g066880	Th2v30508
OG0001882	Bo7g021250	Th2v02868
OG0001882	Bo4g092950, Bo10890s010, Bo7g021240	Th2v02866
OG0001883	Bo5g021610, Bo6g123990	Th2v10147
OG0001884	Bo6g116400, Bo6g088150	Th2v09984
OG0001884	Bo5g132000, Bo3g065780	Th2v00959, Th2v26097
OG0001885	Bo6g019870, Bo1g103510, Bo3g073400, Bo1g112440, Bo5g113730	Th2v08451, Th2v25082
OG0001886	Bo5g127070, Bo3g182580	Th2v23810, Th2v27353, Th2v00867, Th2v21998
OG0001887	Bo5g039520, Bo8g073770, Bo7g056200, Bo2g068290	Th2v25059, Th2v25699
OG0001888	Bo6g108960, Bo2g012060, Bo9g165770	Th2v23161, Th2v31009
OG0001889	Bo3g017520, Bo9g141200, Bo2g025060	Th2v18830, Th2v21253
OG0001890	Bo4g122850, Bo4g186360, Bo4g032390	Th2v03642, Th2v29303
OG0001891	Bo9g163840, Bo2g012740	Th2v09039
OG0001891	Bo6g095770, Bo6g108520	Th2v24901, Th2v30760
OG0001892	Bo5g115230, Bo1g114760, Bo8g011300	Th2v10725
OG0001893	Bo9g176160	Th2v08720
OG0001893	Bo3g024330, Bo4g170760, Bo4g059750	Th2v01121, Th2v07455, Th2v15814
OG0001894	Bo3g061840, Bo5g137920	Th2v08840, Th2v20040
OG0001895	Bo1g040670, Bo9g130940	Th2v09576, Th2v21733
OG0001896	Bo8g068190, Bo5g026970, Bo6g086820, Bo6g118950	Th2v20340
OG0001897	Bo4g039970, Bo3g144040, Bo5g059770, Bo7g045450	Th2v20317, Th2v30277, Th2v31416
OG0001898	Bo8g116000, Bo3g029710, Bo9g007630	Th2v07993, Th2v27048, Th2v16192
OG0001899	Bo6g121830, Bo5g037470, Bo7g058200	Th2v21141, Th2v27961
OG0001900	Bo4g195020, Bo4g021730, Bo4g106280, Bo8g094880	Th2v27480, Th2v12762, Th2v07113, Th2v31453
OG0001901	Bo3g013690, Bo9g169480, Bo3g008740, Bo8g087020	Th2v29005
