Orthogroup	Brassica_oleracea	Arabidopsis_lyrata
OG0001206	Bo4g142580, Bo6g066460	scaffold_703766.1
OG0001207	Bo3g032220, Bo3g032200, Bo4g187440	scaffold_402518.1
OG0001207	Bo5g136740, Bo1g141150	fgenesh2_kg.3__1161__AT3G11210.1
OG0001208	Bo4g071800, Bo3g024890, Bo9g036730	fgenesh1_pm.C_scaffold_4000628
OG0001208	Bo5g008760, Bo02505s010, Bo5g008750	fgenesh1_pg.C_scaffold_1000662
OG0001209	Bo2g028960	fgenesh2_kg.8__1710__AT5G57940.2
OG0001209	Bo7g114580	fgenesh1_pm.C_scaffold_7000887
OG0001209	Bo8g100190, Bo4g154120	fgenesh1_pm.C_scaffold_4000263
OG0001210	Bo4g182460, Bo3g027650	fgenesh1_pm.C_scaffold_4001201
OG0001210	Bo7g045520, Bo5g058690, Bo3g141690, Bo3g144020	fgenesh2_kg.1__3100__AT1G29370.1
OG0001211	Bo2g062670, Bo2g013990, Bo3g012790	fgenesh2_kg.6__1782__AT5G17820.1
OG0001211	Bo1g153640	scaffold_300350.1
OG0001211	Bo3g057140	fgenesh2_kg.3__313__AT3G03670.1
OG0001213	Bo2g051170	fgenesh1_pg.C_scaffold_2000727, fgenesh2_kg.2__656__AT1G65170.1, fgenesh1_pm.C_scaffold_2000509
OG0001214	Bo4g151660	Al_scaffold_0004_325
OG0001214	Bo3g042950	Al_scaffold_0004_324, fgenesh2_kg.4__285__AT2G23580.1
OG0001215	Bo5g007990, Bo01357s010	fgenesh1_pg.C_scaffold_1000578
OG0001215	Bo3g024270, Bo4g059890, Bo4g170700	fgenesh1_pg.C_scaffold_4001104
OG0001216	Bo1g019740	scaffold_702559.1
OG0001216	Bo7g073900	scaffold_800265.1, scaffold_800266.1
OG0001217	Bo7g093400, Bo9g010190, Bo2g155040	fgenesh2_kg.6__2744__AT5G27120.1, fgenesh1_pm.C_scaffold_6002205
OG0001218	Bo8g080420	fgenesh2_kg.3__3030__AT2G14060.1
OG0001218	Bo1g084810	fgenesh2_kg.7__3609__AT5G38020.1, fgenesh2_kg.3__2416__AT3G21950.1
OG0001219	Bo7g070200, Bo7g070160, Bo9g061110, Bo1g005900, Bo7g070150	Al_scaffold_0008_362, Al_scaffold_0378_2
OG0001220	Bo7g045240, Bo3g145200	fgenesh2_kg.1__3123__AT1G29660.1
OG0001220	Bo7g045230, Bo3g145210	fgenesh2_kg.1__3124__AT1G29670.1
OG0001221	Bo8g016320	Al_scaffold_0001_4104
OG0001221	Bo00763s040, Bo5g123100	fgenesh2_kg.3__1918__AT3G17410.1
OG0001222	Bo1g086070	Al_scaffold_0001_5055
OG0001222	Bo7g093010, Bo9g010060	fgenesh2_kg.6__2803__AT5G28900.1
OG0001223	Bo8g074850, Bo5g039710	fgenesh2_kg.1__2571__AT1G23540.1
OG0001223	Bo6g111050, Bo2g068170	scaffold_201930.1, fgenesh2_kg.2__1296__AT1G70460.1
OG0001224	Bo3g042170, Bo3g013710, Bo9g153650, Bo2g018130, Bo2g018110, Bo3g013720, Bo9g153660	fgenesh2_kg.6__1979__AT5G19520.1
OG0001225	Bo8g068170, Bo5g025950	scaffold_102112.1
OG0001225	Bo2g082320, Bo6g118920, Bo6g086860	fgenesh2_kg.2__1738__AT1G74710.1
OG0001226	Bo1g155130, Bo3g055840, Bo5g151480	Al_scaffold_0003_210
OG0001226	Bo2g013100, Bo9g163170	fgenesh2_kg.6__1636__AT5G16480.1
OG0001227	Bo7g054040	scaffold_102892.1
OG0001227	Bo2g062980, Bo6g108740, Bo6g095630	scaffold_201784.1
OG0001228	Bo8g114330, Bo8g007270	fgenesh1_pm.C_scaffold_1000542
OG0001228	Bo3g024440, Bo4g171880	fgenesh1_pg.C_scaffold_346000001, fgenesh1_pg.C_scaffold_4001129
OG0001229	Bo5g072590, Bo8g015140, Bo6g012220	fgenesh2_kg.1__3923__AT1G48330.1
OG0001229	Bo1g120470, Bo3g068980	scaffold_302069.1
OG0001230	Bo1g058890, Bo1g058860	scaffold_703150.1
OG0001230	Bo5g093210, Bo1g103520	fgenesh2_kg.3__2511__AT3G23000.1
OG0001231	Bo7g090850, Bo2g145020, Bo7g090820, Bo7g090830	fgenesh2_kg.5__567__AT3G27850.1, fgenesh2_kg.5__564__AT3G27830.1, fgenesh2_kg.5__566__AT3G27840.1
OG0001232	Bo7g071380, Bo2g136510, Bo7g080540	fgenesh2_kg.5__169__AT2G02720.1
OG0001232	Bo5g019570, Bo8g066050	fgenesh2_kg.1__1570__AT1G14420.1
OG0001233	Bo1g021530, Bo00889s030	fgenesh2_kg.7__2349__AT4G19450.1
OG0001233	Bo7g071310, Bo7g071260, Bo2g127010	fgenesh2_kg.8__274__AT5G45275.1, Al_scaffold_0008_347
OG0001234	Bo8g066980, Bo5g023520	fgenesh2_kg.1__1870__AT1G17147.1
OG0001234	Bo6g081600, Bo6g122020, Bo2g093420	fgenesh2_kg.2__2136__AT1G78410.1
OG0001235	Bo8g070440	fgenesh1_pg.C_scaffold_1001895
OG0001235	Bo6g120540, Bo6g084900, Bo2g089910	fgenesh2_kg.2__1930__AT1G76430.1
OG0001236	Bo8g106710, Bo5g019790, Bo8g066120	fgenesh1_pm.C_scaffold_1001236
OG0001236	Bo7g080200, Bo9g071570	scaffold_500136.1
OG0001237	Bo3g003160	fgenesh2_kg.6__434__AT5G05100.1
OG0001237	Bo01023s050, Bo1g141470, Bo5g137140	scaffold_301240.1
OG0001238	Bo9g008770, Bo16693s010, Bo7g087220	fgenesh2_kg.5__665__AT3G29035.1
OG0001238	Bo6g062160, Bo00578s090	fgenesh2_kg.7__3461__AT5G39610.1
OG0001239	Bo2g166450, Bo9g018460, Bo3g100820	fgenesh2_kg.8__2521__AT5G64850.1
OG0001239	Bo2g009640, Bo9g173650	scaffold_601004.1
OG0001240	Bo3g055250, Bo5g156320, Bo1g158750	fgenesh2_kg.3__105__AT3G01240.1
OG0001240	Bo1g158740, Bo5g156330, Bo3g055270	scaffold_300108.1
OG0001241	Bo6g098640, Bo6g105210	Al_scaffold_0002_1416
OG0001241	Bo2g138890, Bo9g076010, Bo7g082380	fgenesh2_kg.5__365__AT3G26100.2
OG0001242	Bo4g145550, Bo3g045470	fgenesh1_pm.C_scaffold_7002819, fgenesh1_pm.C_scaffold_1003657, scaffold_801243.1, scaffold_3400007.1, scaffold_3400005.1, fgenesh1_pm.C_scaffold_3002905, scaffold_801244.1
OG0001243	Bo5g123640, Bo1g123130	fgenesh2_kg.3__1850__AT3G16830.1
OG0001244	Bo6g121400	fgenesh2_kg.2__2058__AT1G77640.1
OG0001244	Bo8g071150, Bo7g059990, Bo7g075260, Bo5g034880	fgenesh2_kg.1__2381__AT1G21910.1
OG0001245	Bo9g010350, Bo2g155250	scaffold_602899.1
OG0001245	Bo5g146570, Bo1g151720, Bo3g058810	fgenesh2_kg.3__508__AT3G05200.1
OG0001246	Bo9g048800, Bo01317s030	fgenesh2_kg.2__521__AT1G58420.1
OG0001246	Bo5g010570, Bo8g059110, Bo8g110760, Bo7g087380	scaffold_101066.1
OG0001247	Bo6g056400	scaffold_501372.1
OG0001247	Bo9g022200, Bo7g014050, Bo9g171470	scaffold_200885.1, fgenesh2_kg.6__1089__AT5G11220.1
OG0001248	Bo4g017380	scaffold_503053.1
OG0001248	Bo3g036190, Bo6g075990, Bo1g053640, Bo4g108270	scaffold_403141.1
OG0001249	Bo6g117880	fgenesh2_kg.2__1628__AT1G73620.1
OG0001249	Bo5g025210	scaffold_102031.1
OG0001250	Bo9g171510	fgenesh2_kg.6__1081__AT5G11150.1
OG0001250	Bo00911s070	scaffold_700979.1
OG0001251	Bo5g002510	fgenesh2_kg.1__92__AT1G01420.1, fgenesh2_kg.1__94__AT1G01390.1
OG0001251	Bo2g098920, Bo3g054450, Bo9g003740, Bo2g098930	fgenesh2_kg.6__3597__AT4G01070.1
OG0001252	Bo3g002940	Al_scaffold_0006_382, Al_scaffold_0006_378, fgenesh1_pm.C_scaffold_6000327
OG0001253	Bo6g094350, Bo6g112870	fgenesh2_kg.6__2643__AT5G26780.3
OG0001253	Bo1g003290, Bo3g153100	fgenesh2_kg.7__254__AT4G37930.1
OG0001254	Bo7g060170, Bo5g035270	fgenesh2_kg.1__2403__AT1G22160.1
OG0001254	Bo6g081870, Bo6g121690, Bo2g093130	fgenesh2_kg.2__2094__AT1G78020.1
OG0001255	Bo5g067020	Al_scaffold_0001_3592
OG0001255	Bo4g183410, Bo4g037340, Bo3g028380	scaffold_402170.1
OG0001256	Bo2g167660	Al_scaffold_0008_3299
OG0001256	Bo1g059340, Bo8g081830, Bo7g100810	scaffold_502169.1
OG0001257	Bo6g088080, Bo6g116460	scaffold_202240.1
OG0001257	Bo9g177540, Bo2g006760	fgenesh2_kg.6__415__AT5G04940.2
OG0001258	Bo5g029100, Bo7g061920, Bo8g069920	fgenesh1_pm.C_scaffold_1001705
OG0001258	Bo6g086160	fgenesh2_kg.2__1853__AT1G75760.1
OG0001259	Bo2g068180, Bo6g111060	fgenesh2_kg.2__1297__AT1G70470.1
OG0001259	Bo5g039700, Bo7g056120, Bo8g074840	fgenesh2_kg.1__2570__AT1G23530.1
OG0001260	Bo8g099690, Bo4g154720	fgenesh2_kg.4__371__AT2G24550.1
OG0001260	Bo3g173900, Bo7g115210	fgenesh2_kg.7__1019__AT4G31510.1
OG0001261	Bo7g110090, Bo7g108660, Bo9g174420, Bo1g039940, Bo1g039950	scaffold_701798.1
OG0001261	Bo2g050420, Bo9g102270	fgenesh2_kg.8__1040__AT5G51520.1
OG0001262	Bo4g186260, Bo3g030110	fgenesh2_kg.4__1677__AT2G36410.1
OG0001262	Bo8g082360, Bo6g067010	fgenesh1_pm.C_scaffold_5001380
OG0001263	Bo2g167800	scaffold_803439.1
OG0001263	Bo7g064400	scaffold_803438.1
OG0001263	Bo4g151580, Bo8g100440	scaffold_400330.1
OG0001264	Bo6g116390, Bo6g116380, Bo6g116360	Al_scaffold_0002_1987
OG0001268	Bo4g015790, Bo4g191320, Bo4g191340	fgenesh1_pg.C_scaffold_4002357
OG0001268	Bo4g109700, Bo6g073300	fgenesh2_kg.5__2237__AT3G57930.1
OG0001269	Bo9g013890	fgenesh2_kg.6__2385__AT5G23900.1
OG0001269	Bo1g078590, Bo8g077470, Bo3g110880	fgenesh1_pg.C_scaffold_5001386
OG0001270	Bo5g023900, Bo4g160010	Al_scaffold_0001_1821
OG0001270	Bo9g063020, Bo7g074080	fgenesh2_kg.8__174__AT5G46160.2
OG0001271	Bo1g059170, Bo8g081550, Bo1g059180	fgenesh2_kg.5__1488__AT3G51440.1, fgenesh1_pm.C_scaffold_5001244, fgenesh2_kg.5__1486__AT3G51420.1
OG0001272	Bo9g120320	scaffold_802074.1
OG0001272	Bo1g046620	fgenesh1_pm.C_scaffold_7001241
OG0001272	Bo2g040090	fgenesh2_kg.8__1431__AT5G55300.1
OG0001273	Bo3g003800, Bo9g176470	fgenesh2_kg.6__566__AT5G06250.2
OG0001273	Bo3g064320, Bo5g136360	scaffold_301330.1
OG0001274	Bo4g003480, Bo4g198660	fgenesh2_kg.4__2988__AT2G47485.1
OG0001274	Bo8g097970, Bo6g079550	fgenesh2_kg.5__2754__AT3G62650.1
OG0001275	Bo4g139000	fgenesh1_pm.C_scaffold_5001709, fgenesh1_pm.C_scaffold_8000893, scaffold_24700002.1
OG0001276	Bo8g077400	Al_scaffold_0005_1714
OG0001276	Bo4g154060	scaffold_400378.1
OG0001277	Bo3g040100	Al_scaffold_0004_1273
OG0001277	Bo8g010870, Bo8g112830, Bo5g008570	fgenesh2_kg.1__775__AT1G07870.1
OG0001278	Bo5g002830, Bo5g002820, Bo5g002860	fgenesh1_pg.C_scaffold_1000119
OG0001279	Bo6g099320, Bo2g051350	Al_scaffold_0007_2115
OG0001280	Bo3g084280, Bo7g030410	scaffold_303227.1
OG0001281	Bo4g154730	fgenesh2_kg.4__373__AT2G24570.1
OG0001281	Bo1g011200, Bo7g115250, Bo3g173880	scaffold_701056.1
OG0001282	Bo8g065130, Bo8g107770	scaffold_101447.1
OG0001282	Bo7g082640	fgenesh2_kg.5__394__AT3G26400.1
OG0001283	Bo1g017800	fgenesh2_kg.7__2537__AT4G17730.1
OG0001283	Bo2g131650, Bo7g075890	fgenesh2_kg.8__107__AT5G46860.1
OG0001284	Bo2g158910, Bo7g096160	fgenesh2_kg.6__2508__AT5G25220.1
OG0001284	Bo3g006870, Bo2g010190	fgenesh2_kg.6__1072__AT5G11060.1
OG0001285	Bo9g053410, Bo1g087560	scaffold_105679.1
OG0001285	Bo5g010010, Bo8g058700	fgenesh2_kg.1__1010__AT1G09580.1
OG0001286	Bo8g096140, Bo9g074300, Bo6g077880	fgenesh2_kg.5__2643__AT3G61630.1
OG0001286	Bo4g009400	fgenesh2_kg.4__2841__AT2G46310.1
OG0001287	Bo6g067620, Bo8g083040	fgenesh2_kg.5__1747__AT3G53670.1
OG0001287	Bo3g031770	fgenesh1_pg.C_scaffold_4001823, scaffold_402393.1
OG0001288	Bo4g061160, Bo4g061180	fgenesh2_kg.4__953__AT2G29740.1, scaffold_401449.1
OG0001288	Bo8g099320, Bo5g008080	fgenesh2_kg.1__697__AT1G07260.1
OG0001290	Bo3g097570	fgenesh2_kg.8__2642__AT5G65900.1
OG0001290	Bo1g117420, Bo3g071660, Bo5g117360	fgenesh2_kg.3__2066__AT3G18600.1
OG0001291	Bo6g066900, Bo8g082270, Bo4g124030	fgenesh2_kg.5__1644__AT3G52800.1, Al_scaffold_0278_1
OG0001291	Bo3g030050	scaffold_402246.1
OG0001292	Bo5g090590	fgenesh1_pg.C_scaffold_7001929, scaffold_702411.1, scaffold_702413.1
OG0001292	Bo6g076570	fgenesh1_pm.C_scaffold_6002530, fgenesh1_pg.C_scaffold_6002843, scaffold_603586.1
OG0001293	Bo7g097500, Bo9g014010	fgenesh2_kg.5__944__AT5G23660.1
OG0001293	Bo8g077260, Bo1g078350, Bo3g111200	fgenesh2_kg.5__1220__AT3G48740.1
OG0001294	Bo1g040570, Bo1g040580	Al_scaffold_0007_1553, fgenesh1_pm.C_scaffold_7001315
OG0001295	Bo1g087310, Bo9g055700	Al_scaffold_0001_5178
OG0001295	Bo5g009630, Bo8g058260	fgenesh2_kg.1__964__AT1G09210.1, scaffold_100955.1
OG0001296	Bo8g037890	fgenesh2_kg.8__2136__AT5G27260.1, Al_scaffold_0004_721
OG0001297	Bo8g099210	scaffold_400678.1, scaffold_400718.1
OG0001298	Bo4g114150, Bo8g090740	Al_scaffold_0005_2541
OG0001298	Bo4g190250, Bo1g091820, Bo4g012650	scaffold_402846.1
OG0001299	Bo3g028520, Bo4g184610	fgenesh2_kg.4__1607__AT2G35760.1
OG0001299	Bo3g076250, Bo1g054780, Bo2g083720, Bo8g044620	scaffold_702849.1
OG0001300	Bo9g017620, Bo3g103460	fgenesh2_kg.8__2341__AT5G63400.1
OG0001301	Bo4g081130, Bo1g087550	fgenesh2_kg.1__4800__AT1G57610.2
OG0001301	Bo8g058660, Bo5g010000	Al_scaffold_0001_918
OG0001302	Bo6g123720	Al_scaffold_0002_2633
OG0001303	Bo4g151390, Bo8g100540, Bo8g100530	fgenesh2_kg.4__258__AT2G23260.1, scaffold_400306.1
OG0001304	Bo8g030860, Bo8g030890	Al_scaffold_0007_3075, Al_scaffold_0007_3076
OG0001305	Bo3g013650, Bo9g153840	fgenesh2_kg.6__1953__AT5G19340.1
OG0001305	Bo5g144890, Bo1g150150	scaffold_300672.1
OG0001306	Bo5g027250, Bo8g068380	fgenesh1_pg.C_scaffold_1001739
OG0001306	Bo9g151530, Bo2g023110	fgenesh2_kg.6__2115__AT5G20730.1
OG0001308	Bo2g083700	fgenesh2_kg.2__1814__AT1G75380.2
OG0001309	Bo3g062060	Al_scaffold_0003_929
OG0001309	Bo3g001780	fgenesh2_kg.6__128__AT5G02170.1
OG0001309	Bo9g184760	fgenesh2_kg.6__129__AT5G02180.1
OG0001310	Bo1g025690	scaffold_602697.1
OG0001310	Bo5g076280	scaffold_103845.1, fgenesh1_pg.C_scaffold_1003073
OG0001311	Bo8g102500	scaffold_303857.1, fgenesh1_pm.C_scaffold_3002583
OG0001311	Bo7g005150, Bo7g005100, Bo7g005180	fgenesh2_kg.3__3181__AT2G19930.1
OG0001313	Bo2g068090, Bo6g110920, Bo6g110940	scaffold_201904.1
OG0001313	Bo9g165570, Bo2g012230	fgenesh1_pm.C_scaffold_6001171
OG0001314	Bo4g190160, Bo4g190180, Bo4g190190, Bo7g061750	scaffold_201202.1
OG0001315	Bo1g020370, Bo7g106540	fgenesh2_kg.7__2358__AT4G19230.2
OG0001315	Bo9g061360, Bo7g071430, Bo2g127090	Al_scaffold_0008_326
OG0001316	Bo3g015700, Bo9g149730, Bo9g149750, Bo2g023680	fgenesh2_kg.6__2192__AT5G22060.1
OG0001317	Bo8g108150, Bo3g062700, Bo1g143840, Bo1g143850, Bo5g137360	fgenesh1_pm.C_scaffold_3000864, fgenesh2_kg.3__1083__AT3G10490.2
OG0001319	Bo09658s010, Bo3g027580, Bo5g143630	scaffold_300713.1
OG0001319	Bo8g061340	fgenesh2_kg.6__1707__AT5G17140.1
OG0001320	Bo9g018400, Bo9g018350	fgenesh1_pg.C_scaffold_8002238, Al_scaffold_0008_2781, fgenesh1_pg.C_scaffold_8002252, fgenesh1_pg.C_scaffold_8002257
OG0001321	Bo4g158810	fgenesh2_kg.4__494__AT2G25820.1
OG0001321	Bo3g171090, Bo1g009990, Bo7g115860	scaffold_700899.1, Al_scaffold_0004_2818, Al_scaffold_0006_1828
OG0001322	Bo7g117630, Bo1g006150	fgenesh2_kg.7__488__AT4G35840.1
OG0001322	Bo7g014110	scaffold_304093.1
OG0001323	Bo4g087080, Bo1g098370	fgenesh2_kg.2__292__AT1G61640.1
OG0001323	Bo8g108910, Bo5g014710	scaffold_101236.1
OG0001324	Bo5g103570, Bo3g077380	fgenesh2_kg.3__2334__AT3G21160.1
OG0001324	Bo3g181460, Bo6g026100	Al_scaffold_0006_3812, fgenesh2_kg.1__4226__AT1G51590.1
OG0001325	Bo7g049990, Bo3g141430	scaffold_103046.1
OG0001325	Bo7g048520	fgenesh2_kg.1__2952__AT1G27970.1
OG0001326	Bo2g136840, Bo7g081080, Bo5g109980	fgenesh1_pm.C_scaffold_5000175
OG0001326	Bo8g065810, Bo8g107120	scaffold_101566.1
OG0001327	Bo1g017640	fgenesh1_pg.C_scaffold_7002172, Al_scaffold_0007_2443, fgenesh1_pg.C_scaffold_9000054
OG0001328	Bo5g082610, Bo3g179670, Bo6g025940	fgenesh2_kg.1__4200__AT1G51355.1
OG0001329	Bo3g023440, Bo3g019650, Bo3g019680, Bo3g023460, Bo3g023430	fgenesh2_kg.8__1587__AT5G56820.1
OG0001330	Bo8g112720, Bo8g010890, Bo5g008660	scaffold_100816.1
OG0001330	Bo4g165270	fgenesh2_kg.4__729__AT2G28360.1
OG0001331	Bo4g142200	fgenesh2_kg.7__3264__AT5G41570.1
OG0001331	Bo9g033920, Bo9g030630	fgenesh2_kg.2__86__AT1G64000.1
OG0001332	Bo16255s010, Bo3g113670, Bo1g074690	scaffold_501759.1
OG0001332	Bo8g102950	scaffold_102125.1
OG0001333	Bo3g045200	scaffold_603504.1
OG0001333	Bo7g108930, Bo1g036900, Bo3g155370	scaffold_701976.1
OG0001334	Bo8g087340, Bo4g117190	scaffold_502623.1
OG0001334	Bo3g034240	fgenesh2_kg.5__1058__AT2G39290.1, Al_scaffold_0004_2504
OG0001335	Bo8g068520	scaffold_102165.1
OG0001335	Bo1g011630, Bo1g011640, Bo7g114950	fgenesh2_kg.7__1069__AT4G31110.1
OG0001336	Bo8g087240, Bo6g068390	fgenesh2_kg.5__1904__AT3G54950.1
OG0001336	Bo3g034210, Bo4g026660	scaffold_402664.1
OG0001337	Bo9g004160	fgenesh2_kg.6__3549__AT4G01610.1
OG0001337	Bo4g014780, Bo7g038690, Bo3g001120	scaffold_100161.1, scaffold_100162.1
OG0001338	Bo9g165510, Bo2g012260	fgenesh2_kg.6__1472__AT5G14940.1
OG0001339	Bo5g086830, Bo5g049420	fgenesh1_pg.C_scaffold_1002869, fgenesh2_kg.1__3422__AT1G32850.1
OG0001339	Bo3g044810	fgenesh1_pg.C_scaffold_6002724
OG0001340	Bo9g067010, Bo7g077250, Bo2g132010	fgenesh2_kg.8__90__AT5G47060.1
OG0001340	Bo7g105240, Bo1g017730	fgenesh1_pm.C_scaffold_7001989
OG0001341	Bo3g055740, Bo3g055730	scaffold_300205.1, fgenesh2_kg.3__197__AT3G02590.1
OG0001341	Bo3g055720, Bo5g152600, Bo1g156270	fgenesh2_kg.3__196__AT3G02580.1
OG0001342	Bo8g010830, Bo5g008500	fgenesh2_kg.1__756__AT1G07720.1
OG0001342	Bo4g070300, Bo4g166590	scaffold_401312.1
OG0001343	Bo5g007640, Bo8g114520, Bo8g114490	Al_scaffold_0001_602, fgenesh2_kg.1__638__AT1G06650.2
OG0001344	Bo2g083860, Bo2g083870	scaffold_202487.1
OG0001344	Bo4g078540, Bo2g117950	fgenesh2_kg.8__518__AT5G43010.1
OG0001345	Bo8g070130, Bo8g070100, Bo8g070110	fgenesh2_kg.1__2217__AT1G20350.1
OG0001345	Bo3g031710, Bo4g030590	fgenesh2_kg.4__1793__AT2G37410.1
OG0001346	Bo6g095400, Bo6g109070	fgenesh2_kg.2__1220__AT1G69560.1
OG0001346	Bo5g045110, Bo8g076540	fgenesh1_pg.C_scaffold_1002287
OG0001347	Bo6g031520, Bo00534s150	fgenesh2_kg.1__4433__AT1G53510.1
OG0001347	Bo1g130040, Bo5g128940	fgenesh2_kg.3__1585__AT3G14720.1
OG0001348	Bo3g024150	Al_scaffold_0063_5, fgenesh2_kg.8__952__AT5G50740.1
OG0001348	Bo2g165750	fgenesh2_kg.386__2__AT5G63530.2, fgenesh2_kg.8__2357__AT5G63530.2
OG0001349	Bo6g051090, Bo6g033330	scaffold_105305.1
OG0001350	Bo1g094460, Bo4g085190, Bo9g043420	scaffold_200511.1
OG0001350	Bo8g059760	fgenesh2_kg.1__1188__AT1G10960.1
OG0001351	Bo8g106820, Bo5g019520	fgenesh2_kg.1__1562__AT1G14370.1
OG0001351	Bo7g080590, Bo2g136540	fgenesh2_kg.5__178__AT2G02800.1
OG0001352	Bo6g125610, Bo2g096030, Bo6g080360	fgenesh1_pm.C_scaffold_2001956
OG0001352	Bo5g021100	fgenesh2_kg.1__1711__AT1G15570.1
OG0001353	Bo4g045940	scaffold_401795.1
OG0001353	Bo5g005300, Bo8g004450	fgenesh2_kg.1__465__AT1G05180.1
OG0001354	Bo1g006420, Bo7g117400, Bo3g155560	fgenesh2_kg.7__532__AT4G35480.1
OG0001354	Bo7g014470	fgenesh2_kg.3__3330__AT2G17450.1
OG0001355	Bo8g065240	fgenesh2_kg.1__1422__AT1G13150.1
OG0001355	Bo5g015310	fgenesh2_kg.1__1421__AT1G13140.1
OG0001355	Bo9g076040	fgenesh2_kg.5__371__AT3G26125.1
OG0001356	Bo2g068490, Bo6g094600, Bo4g123990	fgenesh2_kg.2__1332__AT1G70720.1
OG0001356	Bo5g039330, Bo7g056250	fgenesh2_kg.1__2532__AT1G23205.1
OG0001357	Bo00983s060	scaffold_402230.1, scaffold_601800.1
OG0001357	Bo1g154770	scaffold_300311.1
OG0001358	Bo7g110540, Bo1g040540	fgenesh1_pm.C_scaffold_7001318
OG0001358	Bo9g133220, Bo3g019260	fgenesh2_kg.8__1668__AT5G57530.1, scaffold_67500002.1
OG0001359	Bo8g076530, Bo5g045140, Bo5g045130	fgenesh1_pm.C_scaffold_1002091
OG0001359	Bo6g095390, Bo6g109100	fgenesh2_kg.2__1221__AT1G69570.1
OG0001360	Bo9g184930	fgenesh2_kg.6__107__AT5G01060.1
OG0001360	Bo3g062150, Bo5g139420, Bo1g144670	fgenesh1_pm.C_scaffold_3000742, fgenesh1_pm.C_scaffold_710000001
OG0001361	Bo3g005540, Bo2g009830, Bo9g172220	fgenesh2_kg.6__1000__AT5G10360.1, Al_scaffold_0009_103
OG0001362	Bo1g008630, Bo7g115910	fgenesh1_pm.C_scaffold_7000667
OG0001362	Bo3g007210, Bo9g169960	scaffold_601193.1
OG0001363	Bo3g151310	scaffold_700180.1, scaffold_801581.1, fgenesh2_kg.1__3677__AT1G36640.1, Al_scaffold_0001_3743, Al_scaffold_0007_165
OG0001364	Bo00578s270, Bo00578s230	scaffold_704095.1, scaffold_704096.1, scaffold_704098.1
OG0001364	Bo00578s280	fgenesh2_kg.7__3474__AT5G39450.1
OG0001365	Bo1g037120, Bo7g109030	fgenesh2_kg.7__1929__AT4G23710.1
OG0001366	Bo9g028770	scaffold_200251.1
OG0001366	Bo8g064860, Bo8g064880, Bo5g016780, Bo8g108070	fgenesh1_pm.C_scaffold_1001058
OG0001367	Bo5g007060, Bo8g114910	fgenesh2_kg.1__552__AT1G05870.2
OG0001367	Bo4g176230, Bo3g025310	fgenesh2_kg.4__1143__AT2G31560.1, fgenesh2_kg.762__2__AT2G31560.1
OG0001368	Bo5g127540, Bo4g125910	fgenesh2_kg.3__1625__AT3G14990.1, scaffold_97500002.1
OG0001368	Bo6g031330, Bo3g183860	scaffold_105154.1
OG0001369	Bo4g195820	fgenesh2_kg.4__2777__AT2G45800.1
OG0001369	Bo6g077560	fgenesh2_kg.5__2591__AT3G61230.1
OG0001370	Bo4g108080, Bo6g076140	fgenesh2_kg.5__2355__AT3G59020.2
OG0001370	Bo3g026360, Bo4g176200, Bo4g049580	fgenesh2_kg.4__1151__AT2G31660.1
OG0001371	Bo6g098480	scaffold_201623.1
OG0001371	Bo5g016390, Bo8g065120	scaffold_101445.1
OG0001372	Bo1g046460	fgenesh2_kg.7__1580__AT4G26610.1
OG0001372	Bo2g037670, Bo9g121110, Bo3g021320	fgenesh2_kg.8__1489__AT5G55910.1
OG0001373	Bo8g101640, Bo4g146010	fgenesh2_kg.4__83__AT2G21560.1
OG0001373	Bo7g119330, Bo3g150090	fgenesh2_kg.7__122__AT4G39190.1
OG0001374	Bo5g094620, Bo3g081310, Bo1g105000	Al_scaffold_0003_2422
OG0001375	Bo1g042910, Bo3g049890	fgenesh1_pm.C_scaffold_7001292
OG0001375	Bo1g041900, Bo9g030810	fgenesh2_kg.2__54__AT1G64280.1
OG0001376	Bo3g103440, Bo9g017680, Bo2g165690	fgenesh2_kg.8__2348__AT5G63450.1
OG0001376	Bo8g077030	fgenesh2_kg.5__1202__AT3G48520.1
OG0001377	Bo4g188960	scaffold_402810.1, fgenesh1_pm.C_scaffold_4001776
OG0001377	Bo8g090450, Bo4g115370	fgenesh2_kg.5__2037__AT3G56050.2
OG0001378	Bo4g070320	scaffold_200577.1, fgenesh1_pg.C_scaffold_3002469, scaffold_303126.1
OG0001378	Bo3g083980, Bo3g083990	fgenesh2_kg.3__2736__AT3G25260.1
OG0001379	Bo6g120910, Bo6g083650	fgenesh2_kg.2__1981__AT1G76930.1
OG0001380	Bo4g102590, Bo8g095610	fgenesh1_pm.C_scaffold_5002079
OG0001380	Bo4g024780	fgenesh1_pg.C_scaffold_937000001, fgenesh2_kg.4__2751__AT2G45540.1
OG0001381	Bo1g036820, Bo7g108890	fgenesh2_kg.7__1942__AT4G23570.3
OG0001383	Bo3g005200	fgenesh2_kg.6__907__AT5G09590.1
OG0001383	Bo1g003310, Bo3g153120	fgenesh2_kg.7__256__AT4G37910.1
OG0001384	Bo2g057920, Bo6g097110	fgenesh2_kg.2__1096__AT1G68460.1
OG0001384	Bo3g073030, Bo1g114900	fgenesh1_pm.C_scaffold_3001687
OG0001385	Bo4g039260, Bo4g182940	fgenesh2_kg.4__1506__AT2G34830.1
OG0001385	Bo5g063280, Bo7g043420	scaffold_103413.1
