Orthogroup	Brassica_oleracea	Aethionema_arabicum
OG0001229	Bo5g072590, Bo8g015140, Bo6g012220	AA18G00234
OG0001229	Bo1g120470, Bo3g068980	AA26G00430
OG0001230	Bo1g058890, Bo1g058860	AA87G00258
OG0001230	Bo5g093210, Bo1g103520	AA17G00098
OG0001231	Bo7g090850, Bo2g145020, Bo7g090820, Bo7g090830	AA53G01026, AA87G00134
OG0001232	Bo7g071380, Bo2g136510, Bo7g080540	AA53G00717
OG0001232	Bo5g019570, Bo8g066050	AA14G00042
OG0001233	Bo1g021530, Bo00889s030	AA57G00206
OG0001233	Bo7g071310, Bo7g071260, Bo2g127010	AA6G00068
OG0001234	Bo8g066980, Bo5g023520	AA39G00017
OG0001234	Bo6g081600, Bo6g122020, Bo2g093420	AA31G00717
OG0001235	Bo5g030750, Bo8g070440, Bo6g120540, Bo6g084900, Bo2g089910	AA31G00321
OG0001236	Bo8g106710, Bo5g019790, Bo8g066120	AA14G00055
OG0001236	Bo7g080200, Bo9g071570	AA53G00687
OG0001237	Bo3g003160	AA12G00222
OG0001237	Bo01023s050, Bo1g141470, Bo5g137140	AA93G00266
OG0001238	Bo9g008770, Bo16693s010, Bo7g087220	AA53G01090
OG0001238	Bo6g062160, Bo00578s090	AA9G00035
OG0001239	Bo2g166450, Bo9g018460, Bo3g100820	AA4G00219
OG0001239	Bo2g009640, Bo9g173650	AA44G00254
OG0001240	Bo3g055250, Bo5g156320, Bo1g158750	AA10G00419
OG0001241	Bo6g098640, Bo6g105210	AA134G00039, AA134G00040, AA134G00038
OG0001241	Bo2g138890, Bo9g076010, Bo7g082380	AA53G00844
OG0001243	Bo5g123640, Bo1g123130	AA26G00375
OG0001244	Bo6g121400	AA31G00205
OG0001244	Bo8g071150, Bo7g059990, Bo7g075260, Bo5g034880	AA39G00394
OG0001245	Bo9g010350, Bo2g155250	AA40G00087
OG0001245	Bo5g146570, Bo1g151720, Bo3g058810	AA10G00101
OG0001246	Bo9g048800, Bo01317s030	AA53G00415
OG0001246	Bo5g010570, Bo8g059110, Bo8g110760, Bo7g087380	AA65G00072
OG0001247	Bo6g056400, Bo9g022200, Bo7g014050, Bo9g171470	AA44G00376
OG0001248	Bo4g017380	AA61G00288
OG0001248	Bo3g036190, Bo6g075990, Bo1g053640, Bo4g108270	AA21G00057
OG0001249	Bo6g117880	AA31G00584
OG0001249	Bo5g025210	AA39G00102
OG0001250	Bo9g171510	AA44G00372
OG0001250	Bo00911s070	AA48G00012
OG0001250	Bo1g010660	AA31G00011
OG0001251	Bo5g002510, Bo2g098920, Bo3g054450, Bo9g003740, Bo2g098930	AA32G00126, AA325G00001
OG0001253	Bo6g094350, Bo6g112870	AA549G00002
OG0001253	Bo1g003290, Bo3g153100	AA30G00302
OG0001254	Bo7g060170, Bo5g035270	AA39G00417
OG0001254	Bo6g081870, Bo6g121690, Bo2g093130	AA31G00173
OG0001255	Bo5g067020	AA53G00011
OG0001255	Bo4g183410, Bo4g037340, Bo3g028380	AA41G00041, AA9G00093
OG0001256	Bo2g167660	AA8G00100
OG0001256	Bo1g059340, Bo8g081830, Bo7g100810	AA13G00012
OG0001257	Bo6g088080, Bo6g116460	AA31G00637
OG0001257	Bo9g177540, Bo2g006760	AA93G00254, AA12G00205
OG0001258	Bo5g029100, Bo7g061920, Bo8g069920	AA39G00258
OG0001258	Bo6g086160	AA31G00379
OG0001259	Bo2g068180, Bo6g111060, Bo5g039700, Bo7g056120, Bo8g074840	AA39G00547
OG0001260	Bo8g099690, Bo4g154720, Bo3g173900, Bo7g115210	AA102G00300
OG0001261	Bo7g110090, Bo7g108660, Bo9g174420, Bo1g039940, Bo1g039950	AA80G00017
OG0001261	Bo2g050420, Bo9g102270	AA41G00019
OG0001262	Bo4g186260, Bo3g030110	AA60G00150
OG0001262	Bo8g082360, Bo6g067010	AA36G00010
OG0001268	Bo4g015790, Bo4g191320, Bo4g191340	AA21G00015
OG0001268	Bo4g109700, Bo6g073300	AA61G00231
OG0001269	Bo9g013890	AA5G00262
OG0001269	Bo1g078590, Bo8g077470, Bo3g110880	AA96G00149
OG0001270	Bo5g023900, Bo4g160010, Bo9g063020, Bo7g074080	AA56G00064
OG0001271	Bo1g059170, Bo8g081550, Bo1g059180	AA13G00002
OG0001272	Bo9g120320	AA25G00066
OG0001273	Bo3g003800, Bo9g176470	AA119G00002
OG0001273	Bo3g064320, Bo5g136360	AA52G00027
OG0001274	Bo4g003480, Bo4g198660	AA21G00475
OG0001274	Bo8g097970, Bo6g079550	AA61G00598
OG0001276	Bo4g154060	AA22G00053
OG0001277	Bo3g040100	AA32G00855
OG0001277	Bo8g010870, Bo8g112830, Bo5g008570	AA287G00002
OG0001278	Bo5g002850, Bo5g002810, Bo5g002830, Bo5g002820, Bo5g002860	AA1G00029, AA1G00033, AA1G00030, AA204G00012, AA1G00027, AA1G00024, AA1G00026, AA1G00025, AA1G00023, AA1G00022
OG0001279	Bo4g061100, Bo01129s030, Bo6g120900, Bo6g099320, Bo2g051350	AA53G01165
OG0001280	Bo4g134710, Bo3g084280, Bo7g030410	AA780G00001, AA236G00005
OG0001281	Bo4g154730, Bo1g011200, Bo7g115250, Bo3g173880	AA102G00304
OG0001282	Bo8g065130, Bo8g107770	AA65G00329
OG0001282	Bo7g082640	AA53G00857
OG0001283	Bo1g017800	AA57G00046
OG0001283	Bo2g131650, Bo7g075890	AA290G00007
OG0001284	Bo2g158910, Bo7g096160	AA12G00075
OG0001284	Bo3g006870, Bo2g010190	AA44G00364
OG0001285	Bo9g053410, Bo1g087560, Bo5g010010, Bo8g058700	AA65G00007
OG0001286	Bo8g096140, Bo9g074300, Bo6g077880	AA61G00489
OG0001286	Bo4g009400	AA21G00363
OG0001287	Bo6g067620, Bo8g083040	AA62G00014
OG0001287	Bo3g031770	AA60G00023
OG0001288	Bo4g061160, Bo4g061180, Bo8g099320, Bo5g008080	AA90G00040
OG0001290	Bo3g097570	AA4G00303
OG0001290	Bo1g117420, Bo3g071660, Bo5g117360	AA26G00532
OG0001291	Bo6g066900, Bo8g082270, Bo4g124030	AA36G00004
OG0001291	Bo4g034790, Bo3g030050	AA60G00163
OG0001293	Bo7g097500, Bo9g014010	AA5G00247
OG0001293	Bo8g077260, Bo1g078350, Bo3g111200	AA96G00128
OG0001294	Bo1g040570, Bo1g040580	AA81G00024
OG0001295	Bo1g087310, Bo9g055700, Bo5g009630, Bo8g058260	AA42G00043, AA42G00036
OG0001298	Bo4g114150, Bo8g090740	AA61G00104
OG0001298	Bo4g190250, Bo1g091820, Bo4g012650	AA29G00225
OG0001299	Bo3g028520, Bo4g184610, Bo3g076250, Bo1g054780, Bo2g083720, Bo8g044620	AA53G00323
OG0001300	Bo9g017620, Bo3g103460	AA4G00070
OG0001301	Bo4g081130, Bo1g087550, Bo8g058660, Bo5g010000	AA65G00006
OG0001302	Bo8g077270	AA31G00822
OG0001303	Bo4g151390, Bo8g100540, Bo8g100530	AA46G00199
OG0001304	Bo8g030860, Bo8g030890	AA305G00005, AA305G00001, AA27G00213, AA27G00212
OG0001305	Bo3g013650, Bo9g153840, Bo5g144890, Bo1g150150	AA10G00017
OG0001306	Bo5g027250, Bo8g068380	AA39G00205
OG0001306	Bo9g151530, Bo2g023110	AA8G00178
OG0001307	Bo9g028980	AA53G01368
OG0001307	Bo4g140900	AA87G00072
OG0001308	Bo2g083700	AA31G00417
OG0001309	Bo3g062060	AA93G00100
OG0001309	Bo9g184760	AA19G00320
OG0001311	Bo8g102500, Bo7g005150, Bo7g005100, Bo7g005180	AA33G00266
OG0001313	Bo2g068090, Bo6g110920, Bo6g110940	AA38G00062
OG0001313	Bo9g165570, Bo2g012230	AA40G00595
OG0001315	Bo1g020370, Bo7g106540	AA57G00196
OG0001315	Bo9g061360, Bo7g071430, Bo2g127090	AA6G00060
OG0001316	Bo3g015700, Bo9g149730, Bo9g149750, Bo2g023680	AA8G00244
OG0001317	Bo8g108150, Bo3g062700, Bo1g143840, Bo1g143850, Bo5g137360	AA12G00161
OG0001319	Bo3g012390, Bo3g012370, Bo01210s040	AA40G00420
OG0001321	Bo4g158810	AA32G01080
OG0001321	Bo3g171090, Bo1g009990, Bo7g115860	AA1352G00001
OG0001322	Bo7g117630, Bo1g006150	AA30G00106
OG0001322	Bo7g014110	AA33G00078
OG0001323	Bo4g087080, Bo1g098370	AA53G00558
OG0001323	Bo8g108910, Bo5g014710	AA65G00193
OG0001324	Bo5g103570, Bo3g077380	AA26G00767
OG0001324	Bo3g181460, Bo6g026100	AA2G00216
OG0001325	Bo7g049990, Bo3g141430	AA39G00771
OG0001325	Bo7g048520	AA873G00001
OG0001326	Bo2g136840, Bo7g081080, Bo5g109980	AA53G00747
OG0001326	Bo8g065810, Bo8g107120	AA14G00008
OG0001328	Bo5g082610, Bo3g179670, Bo6g025940	AA2G00180
OG0001328	Bo5g105120, Bo3g076260, Bo1g108500	AA26G00753
OG0001330	Bo8g112720, Bo8g010890, Bo5g008660, Bo4g165270	AA32G00875
OG0001331	Bo9g033920, Bo9g030630	AA53G01333
OG0001332	Bo16255s010, Bo3g113670, Bo1g074690, Bo8g102950, Bo5g027030	AA39G00190
OG0001333	Bo3g045200	AA3G00041
OG0001333	Bo7g108930, Bo1g036900, Bo3g155370	AA54G00273
OG0001334	Bo8g087340, Bo4g117190, Bo3g034240	AA60G00282
OG0001335	Bo8g068520, Bo1g011630, Bo1g011640, Bo7g114950	AA31G00821, AA218G00004
OG0001336	Bo8g087240, Bo6g068390	AA108G00011
OG0001336	Bo3g034210, Bo4g026660	AA60G00286
OG0001337	Bo9g004160	AA32G00203
OG0001337	Bo4g014780, Bo7g038690, Bo3g001120	AA1G00016
OG0001338	Bo9g165510, Bo2g012260	AA40G00589
OG0001338	Bo5g155230	AA32G01135
OG0001339	Bo5g086830, Bo5g049420	AA54G00222
OG0001339	Bo3g044810	AA3G00087
OG0001340	Bo9g067010, Bo7g077250, Bo2g132010	AA99G00006
OG0001340	Bo7g105240, Bo1g017730	AA57G00040
OG0001341	Bo3g055740, Bo3g055730, Bo3g055720, Bo5g152600, Bo1g156270	AA40G00486, AA10G00352
OG0001342	Bo8g010830, Bo5g008500	AA660G00001
OG0001342	Bo4g070300, Bo4g166590	AA32G00850
OG0001345	Bo3g031710, Bo4g030590	AA44G00421
OG0001346	Bo6g095400, Bo6g109070	AA47G00003
OG0001346	Bo5g045110, Bo8g076540	AA39G00623
OG0001347	Bo6g031520, Bo00534s150	AA15G00121
OG0001347	Bo1g130040, Bo5g128940	AA26G00188
OG0001348	Bo3g024150	AA75G00018
OG0001348	Bo2g165750	AA4G00089
OG0001349	Bo5g132210, Bo1g134960	AA26G00090
OG0001349	Bo6g051090, Bo6g033330	AA15G00190
OG0001350	Bo1g094460, Bo4g085190, Bo9g043420	AA53G00516
OG0001350	Bo8g059760	AA65G00153
OG0001351	Bo8g106820, Bo5g019520, Bo7g080590, Bo2g136540	AA53G00724
OG0001352	Bo6g125610, Bo2g096030, Bo6g080360	AA31G00892
OG0001352	Bo5g021100	AA37G00175
OG0001353	Bo5g005300, Bo8g004450	AA26G00179
OG0001354	Bo1g006420, Bo7g117400, Bo3g155560	AA30G00071
OG0001354	Bo7g014470	AA33G00053
OG0001355	Bo8g065240, Bo5g015310, Bo9g076040	AA53G00848
OG0001356	Bo2g068490, Bo6g094600, Bo4g123990	AA38G00028
OG0001356	Bo5g039330, Bo7g056250	AA39G00516
OG0001357	Bo00983s060, Bo1g154770	AA10G00269
OG0001358	Bo7g110540, Bo1g040540, Bo2g030330, Bo9g133220, Bo3g019260	AA44G00633
OG0001359	Bo8g076530, Bo5g045140, Bo5g045130	AA39G00622
OG0001359	Bo6g095390, Bo6g109100	AA47G00002
OG0001360	Bo9g184930	AA19G00342
OG0001360	Bo3g062150, Bo5g139420, Bo1g144670	AA93G00090
OG0001361	Bo3g005540, Bo2g009830, Bo9g172220, Bo3g173790, Bo1g011060	AA44G00294, AA4G00258
OG0001362	Bo1g008630, Bo7g115910	AA289G00001
OG0001362	Bo3g007210, Bo9g169960	AA44G00422
OG0001364	Bo00578s270, Bo00578s230, Bo00578s280	AA9G00026
OG0001365	Bo1g037120, Bo7g109030	AA54G00267
OG0001365	Bo5g155190, Bo3g055180, Bo1g158860	AA32G01139
OG0001366	Bo9g028770	AA53G01393
OG0001366	Bo8g064860, Bo8g064880, Bo5g016780, Bo8g108070	AA65G00299
OG0001367	Bo5g007060, Bo8g114910	AA7G00152
OG0001367	Bo4g176230, Bo3g025310	AA32G00580
OG0001368	Bo3g066520, Bo5g127540, Bo4g125910, Bo6g031330, Bo3g183860	AA15G00104
OG0001369	Bo4g195820	AA21G00320
OG0001369	Bo6g077560	AA61G00483
OG0001370	Bo4g108080, Bo6g076140	AA61G00307
OG0001370	Bo3g026360, Bo4g176200, Bo4g049580	AA32G00575
OG0001371	Bo5g016390, Bo8g065120	AA65G00327
OG0001372	Bo1g046460	AA10G00459
OG0001372	Bo2g037670, Bo9g121110, Bo3g021320	AA25G00125
OG0001373	Bo8g101640, Bo4g146010	AA46G00077
OG0001373	Bo7g119330, Bo3g150090	AA20G00026
OG0001374	Bo5g094620, Bo3g081310, Bo1g105000	AA17G00063
OG0001375	Bo1g042910, Bo3g049890, Bo1g041900, Bo9g030810	AA81G00043
OG0001376	Bo3g103440, Bo9g017680, Bo2g165690	AA4G00075
OG0001376	Bo8g077030	AA96G00113
OG0001377	Bo4g188960	AA29G00252
OG0001377	Bo8g090450, Bo4g115370	AA61G00081
OG0001378	Bo4g070320	AA53G00480
OG0001378	Bo3g083980, Bo3g083990	AA98G00018, AA415G00003, AA415G00004, AA98G00021
OG0001379	Bo5g034220, Bo7g059550	AA39G00344
OG0001380	Bo4g102590, Bo8g095610	AA61G00463
OG0001380	Bo4g024780	AA21G00291
OG0001381	Bo3g045210, Bo9g091230	AA3G00038
OG0001381	Bo1g036820, Bo7g108890	AA54G00296
OG0001382	Bo4g186180, Bo6g064760	AA59G00006
OG0001383	Bo3g005200	AA44G00232
OG0001383	Bo1g003310, Bo3g153120	AA46G00157, AA30G00299
OG0001384	Bo2g057920, Bo6g097110, Bo3g073030, Bo1g114900	AA109G00022, AA26G00589, AA26G00588
OG0001385	Bo4g039260, Bo4g182940	AA18G00140
OG0001385	Bo5g063280, Bo7g043420	AA30G00020
OG0001386	Bo7g105530, Bo1g018000	AA57G00059
OG0001386	Bo7g075700	AA56G00011
OG0001387	Bo7g005560, Bo9g027840, Bo8g102610	AA33G00250
OG0001387	Bo3g178160	AA102G00094
OG0001389	Bo3g072010, Bo5g115580, Bo1g114910, Bo5g076310, Bo8g011170, Bo6g018650	AA2G00092
OG0001390	Bo2g001060	AA32G01231
OG0001390	Bo4g027170, Bo8g082290, Bo6g066920	AA18G00009
OG0001391	Bo8g015020	AA18G00245
OG0001391	Bo5g122530, Bo1g119130	AA26G00458
OG0001392	Bo4g182510, Bo4g039950, Bo5g060920, Bo3g145170, Bo7g045280, Bo7g045290, Bo15430s010	AA54G00374
OG0001393	Bo6g120150	AA31G00350
OG0001393	Bo5g030210	AA39G00284, AA39G00144, AA39G00143
OG0001395	Bo2g119460, Bo4g024390, Bo3g037540, Bo4g104950, Bo6g077180, Bo6g077250	AA61G00436
OG0001396	Bo2g166300, Bo9g018160, Bo3g101190	AA4G00193
OG0001397	Bo6g077410	AA61G00467
OG0001397	Bo4g195760, Bo3g038970, Bo4g024920	AA21G00313
OG0001398	Bo8g079300, Bo5g150070	AA10G00289
OG0001398	Bo9g160360, Bo2g013620, Bo3g012560, Bo3g012580	AA40G00365
OG0001399	Bo3g021740, Bo2g041280	AA25G00041
OG0001400	Bo3g003120	AA12G00197
OG0001400	Bo8g117530, Bo5g002990	AA1G00018
OG0001401	Bo8g109090, Bo5g013500	AA65G00165
OG0001401	Bo4g086630, Bo1g095780	AA53G00538
OG0001403	Bo4g136440, Bo2g116580, Bo2g051040, Bo5g052450, Bo5g117250, Bo5g030340, Bo2g055710, Bo2g083810, Bo2g083820, Bo4g069140, Bo3g169060, Bo2g083830, Bo3g130240, Bo2g099040, Bo1g136050, Bo8g012850, Bo8g027390, Bo3g045220, Bo9g117500, Bo1g057500, Bo6g081430, Bo8g011630, Bo5g098370, Bo1g055300, Bo3g061690, Bo1g092960, Bo8g089570, Bo4g191160, Bo1g048060, Bo2g049380, Bo3g035610, Bo1g141450	AA64G00023
OG0001405	Bo6g095950	AA58G00007, AA54G00322, AA63G00027
OG0001407	Bo8g102430	AA33G00281
OG0001407	Bo7g113530, Bo01098s010, Bo1g016710	AA102G00055
OG0001408	Bo6g039490, Bo3g182500	AA15G00055
OG0001408	Bo1g126130, Bo5g126790, Bo3g067960	AA26G00275
OG0001409	Bo4g197440	AA21G00427
OG0001411	Bo1g051520, Bo7g105120	AA57G00018
OG0001411	Bo9g069490, Bo7g077560	AA19G00255, AA251G00004
OG0001412	Bo8g095800	AA61G00486
OG0001412	Bo4g195840, Bo4g024990	AA21G00322
OG0001414	Bo2g006530, Bo3g002780, Bo9g180060	AA12G00160
OG0001414	Bo1g143860, Bo5g137370	AA93G00230
OG0001415	Bo5g007050, Bo8g005840, Bo3g025350	AA32G00578
OG0001416	Bo9g026240	AA33G00103
OG0001416	Bo7g117830, Bo1g005790	AA30G00137
OG0001417	Bo1g118990	AA26G00475
OG0001417	Bo6g015540, Bo5g072750	AA2G00011
OG0001418	Bo9g045370	AA53G00449
OG0001418	Bo5g010910, Bo8g059410	AA65G00095
OG0001419	Bo6g083470, Bo6g121030	AA31G00273
OG0001419	Bo01074s060	AA39G00359
OG0001420	Bo2g052590, Bo6g099570, Bo3g073020	AA18G00025
OG0001421	Bo2g166310, Bo3g101180, Bo9g018170, Bo9g173880, Bo9g152100, Bo6g101290	AA44G00238
OG0001422	Bo4g001180, Bo4g198720	AA21G00485
OG0001423	Bo3g057230, Bo5g148440, Bo1g153230	AA10G00197
OG0001424	Bo7g089210	AA734G00001
OG0001424	Bo3g061320, Bo5g141390	AA29G00135
OG0001426	Bo8g115700, Bo5g004350	AA19G00133
OG0001426	Bo2g120720, Bo7g065820	AA32G00399
OG0001427	Bo6g112150, Bo2g068320, Bo5g039440, Bo03539s010, Bo5g039430	AA39G00527
OG0001428	Bo6g094550, Bo2g068530, Bo6g112380, Bo5g039290, Bo8g072670	AA39G00511
OG0001429	Bo9g022600	AA123G00108
OG0001429	Bo7g116460, Bo1g007780, Bo3g169400	AA351G00002, AA351G00001
OG0001430	Bo4g008190	AA21G00379
OG0001430	Bo4g197130	AA21G00380
OG0001431	Bo3g036530, Bo6g076460, Bo8g093270, Bo4g194250	AA21G00120
OG0001432	Bo9g181930, Bo2g004120	AA19G00230
OG0001432	Bo5g137890	AA93G00156
OG0001433	Bo5g002420, Bo8g117910, Bo9g003540	AA32G00107
OG0001434	Bo5g007310	AA23G00016
OG0001434	Bo4g052460, Bo4g176070	AA32G00604
OG0001435	Bo1g018070	AA57G00068
OG0001435	Bo2g130310, Bo7g075560	AA56G00022
OG0001436	Bo5g121410, Bo3g071320, Bo1g119070, Bo2g158640, Bo7g095950	AA12G00113, AA12G00117, AA12G00115, AA12G00116, AA12G00124
OG0001437	Bo3g184020, Bo6g031420	AA15G00110
OG0001437	Bo3g066460, Bo5g127660	AA26G00201
OG0001438	Bo8g105350, Bo8g066770	AA37G00055, AA37G00054
OG0001438	Bo2g094860, Bo6g122480	AA31G00766
OG0001439	Bo9g159620, Bo2g014110	AA40G00276
OG0001441	Bo2g011730	AA40G00632
OG0001441	Bo2g095850, Bo6g124430	AA26G00036
OG0001443	Bo6g086900, Bo6g118870	AA31G00483
OG0001443	Bo8g068130	AA39G00171
OG0001445	Bo5g141480	AA29G00133
OG0001445	Bo4g133440, Bo8g034250	AA223G00001
OG0001447	Bo2g155030, Bo4g096580, Bo9g028900	AA53G01378
OG0001447	Bo8g064970, Bo8g107940	AA65G00310
OG0001448	Bo9g161440, Bo3g012450	AA40G00382
OG0001448	Bo1g154830, Bo5g150170	AA10G00295
OG0001449	Bo9g001100	AA32G00013
OG0001450	Bo4g136710, Bo7g021300	AA29G00009
OG0001451	Bo3g181270, Bo6g040080, Bo6g026470, Bo5g124900	AA26G00349
OG0001452	Bo7g084530, Bo2g140680	AA53G00921
OG0001452	Bo4g020980, Bo4g140400, Bo6g064650, Bo6g064660	AA87G00101
OG0001453	Bo4g106200, Bo8g094920, Bo4g195060, Bo4g023860	AA21G00209
OG0001455	Bo4g190050, Bo4g025270	AA29G00243
OG0001455	Bo2g006950, Bo9g177140	AA35G00051
OG0001456	Bo5g048560, Bo5g090610	AA53G00199, AA53G00196, AA53G00197, AA62G00063, AA53G00200
OG0001457	Bo6g087670, Bo6g087640, Bo6g117860	AA31G00596
OG0001458	Bo4g183310, Bo4g038570	AA9G00124
OG0001458	Bo5g089420, Bo8g030150, Bo5g048840	AA53G00211
OG0001459	Bo9g177020, Bo3g003450, Bo7g009660	AA33G00174
OG0001461	Bo7g014600	AA33G00047
OG0001461	Bo6g120590, Bo2g089930	AA31G00315
OG0001462	Bo7g038800, Bo1g101220, Bo1g101150	AA78G00014
OG0001463	Bo1g025790, Bo2g104520	AA6G00265
OG0001464	Bo5g041660, Bo5g021350	AA37G00163
OG0001464	Bo6g124420, Bo6g080560, Bo2g095790	AA31G00869
OG0001465	Bo9g172310	AA44G00288
OG0001465	Bo3g100670, Bo2g166510, Bo1g101490	AA4G00232
OG0001466	Bo7g095170, Bo2g156280, Bo1g150220, Bo5g144960	AA40G00163, AA480G00002, AA10G00029
OG0001467	Bo4g015870	AA21G00006
OG0001467	Bo4g109760, Bo6g073190, Bo8g092230	AA61G00221
OG0001468	Bo5g086690, Bo6g047920, Bo6g108860	AA54G00174
OG0001469	Bo8g076210, Bo4g186740, Bo5g041400, Bo5g041340	AA39G00591
OG0001470	Bo6g124520	AA31G00883
OG0001470	Bo8g105920, Bo8g066540, Bo5g021150	AA37G00171
OG0001471	Bo1g016490, Bo1g056880, Bo1g056850, Bo7g071520, Bo7g113280, Bo7g113270	AA2131G00001
OG0001472	Bo8g009500	AA90G00056
OG0001473	Bo5g004280	AA19G00143
OG0001473	Bo2g120770, Bo9g059470, Bo7g065810, Bo7g066880	AA32G00390
OG0001474	Bo8g076580	AA96G00067
OG0001474	Bo5g039830, Bo8g074980	AA39G00559
OG0001475	Bo2g097520	AA53G01238, AA53G01236, AA53G01235
OG0001476	Bo4g041160	AA43G00024
OG0001476	Bo5g058510, Bo7g045680, Bo3g143830	AA54G00340
OG0001477	Bo01139s060, Bo4g011450	AA21G00355
OG0001477	Bo6g077830, Bo4g101220, Bo8g096080	AA61G00495
OG0001478	Bo9g028010, Bo7g005040	AA33G00269
OG0001478	Bo9g028000, Bo7g005050	AA33G00272, AA33G00270, AA123G00143
OG0001479	Bo5g155240	AA403G00003, AA32G01134
OG0001479	Bo4g170720, Bo3g024280, Bo4g059870	AA32G00716
OG0001480	Bo1g020220, Bo7g106470, Bo3g158580	AA57G00183
OG0001482	Bo3g063840, Bo6g012180, Bo9g177360, Bo2g006840, Bo3g003210	AA35G00003
OG0001483	Bo00915s040, Bo2g018160, Bo9g036800, Bo9g028670	AA7G00130
OG0001485	Bo5g156480, Bo3g055340	AA10G00400
OG0001485	Bo3g010290, Bo9g164100, Bo2g012580	AA40G00545
OG0001487	Bo3g054870	AA32G01199
OG0001487	Bo2g011670, Bo3g009600, Bo9g166190	AA40G00620
OG0001488	Bo7g103990	AA18G00153
OG0001488	Bo5g124840, Bo3g068450	AA26G00357
OG0001489	Bo8g106450, Bo8g106400, Bo5g020270, Bo8g106460, Bo8g106390, Bo8g106440	AA14G00084
OG0001490	Bo6g076870	AA61G00389
OG0001490	Bo3g037350	AA21G00222
OG0001491	Bo1g158730, Bo5g156340	AA10G00418
OG0001491	Bo3g010120, Bo2g012410, Bo9g165360	AA40G00573
OG0001492	Bo2g110330	AA3G00102
OG0001492	Bo6g049460, Bo8g027480	AA54G00196
OG0001493	Bo4g065760	AA32G00786
OG0001493	Bo9g141020, Bo2g025180, Bo3g017620	AA8G00359
OG0001494	Bo8g071470, Bo1g026920, Bo5g038520	AA39G00433
OG0001495	Bo6g120380	AA31G00330
OG0001495	Bo7g061470, Bo8g070310, Bo5g030540	AA39G00301
OG0001496	Bo5g113750, Bo09687s010, Bo1g112460	AA26G00639
OG0001496	Bo9g142570	AA8G00332
OG0001497	Bo1g003400, Bo7g118750, Bo3g153210, Bo4g151080	AA46G00167
OG0001498	Bo4g183380, Bo4g038370	AA9G00112
OG0001498	Bo5g091840, Bo8g030320, Bo5g048350	AA53G00045
OG0001500	Bo2g082550, Bo6g086470, Bo6g119370	AA31G00433
OG0001500	Bo8g102700, Bo5g027480	AA39G00224
OG0001501	Bo9g043970	AA53G00492
OG0001501	Bo5g012160, Bo8g059580, Bo8g109380	AA65G00114
OG0001502	Bo3g010810, Bo9g163640	AA40G00506
OG0001502	Bo5g152620, Bo1g157340, Bo3g055620	AA10G00364
OG0001503	Bo7g005600	AA33G00245
OG0001503	Bo1g016300, Bo3g177120, Bo7g113780	AA102G00100
OG0001504	Bo8g076950, Bo1g077070, Bo3g113420	AA96G00101
OG0001504	Bo3g103610	AA4G00059
OG0001505	Bo3g058850	AA10G00081, AA10G00097
OG0001505	Bo2g155260	AA40G00088
OG0001506	Bo8g080780, Bo4g125490	AA18G00063
OG0001507	Bo5g127230, Bo1g128550, Bo6g029220, Bo6g031080	AA26G00246
OG0001508	Bo2g068240	AA38G00045
OG0001508	Bo8g073800, Bo5g039540	AA39G00533
OG0001509	Bo3g010710	AA40G00521
OG0001509	Bo5g152730	AA10G00378
OG0001510	Bo3g055020, Bo5g155020	AA32G01169
OG0001510	Bo3g009780, Bo2g011850, Bo9g165920	AA40G00650
OG0001511	Bo5g008590, Bo8g112780, Bo01039s010, Bo4g165420, Bo3g040220	AA32G00863
OG0001512	Bo1g049470, Bo9g113920, Bo3g022290, Bo2g041840	AA11G00068
OG0001513	Bo8g039370, Bo1g057390	AA87G00230
OG0001513	Bo3g081250, Bo5g095810	AA17G00060
OG0001514	Bo6g076560, Bo3g036620, Bo4g019840, Bo4g194380	AA21G00131
OG0001515	Bo1g090470	AA53G00447
OG0001515	Bo6g110750, Bo7g054620	AA39G00585
OG0001516	Bo9g025830, Bo3g153870, Bo7g118170	AA30G00189
OG0001517	Bo3g035460, Bo4g013040	AA81G00065
OG0001517	Bo8g091310, Bo4g112610, Bo6g072470	AA61G00161
OG0001518	Bo7g016220, Bo3g091770	AA33G00004
OG0001518	Bo3g167190, Bo1g006720	AA67G00016
OG0001519	Bo2g127350, Bo7g073790	AA6G00026
OG0001519	Bo7g106270, Bo1g019940	AA57G00156
OG0001520	Bo2g075340, Bo2g075280, Bo3g028440	AA20G00025, AA31G00133, AA31G00132
OG0001521	Bo7g118730, Bo1g003460	AA30G00283
OG0001521	Bo3g042310	AA46G00171
OG0001522	Bo7g003920	AA33G00283
OG0001522	Bo7g113450	AA102G00062
OG0001523	Bo6g091530, Bo6g115860, Bo2g075690, Bo8g099850, Bo4g154510	AA31G00703
OG0001524	Bo6g022410, Bo6g022380	AA2G00164
OG0001524	Bo1g108970, Bo3g074840	AA26G00700
OG0001525	Bo6g109000, Bo6g109010, Bo6g109020	AA47G00005
OG0001526	Bo1g070920, Bo3g132870, Bo3g132890, Bo1g070930, Bo9g020350	AA7G00151
OG0001527	Bo7g005770, Bo9g027680	AA33G00234
OG0001527	Bo7g113870	AA102G00114
OG0001528	Bo11772s010, Bo2g013980, Bo2g062660, Bo9g159820, Bo1g153650, Bo5g148780	AA10G00239
OG0001529	Bo7g088640, Bo2g149400, Bo9g008990, Bo4g144150	AA9G00003
OG0001530	Bo3g083130, Bo1g098860, Bo7g033260	AA50G00032
