Orthogroup	Brassica_oleracea	Eutrema_salsugineum
OG0001458	Bo5g089420, Bo8g030150, Bo5g048840	EUTSA_v10007192mg
OG0001459	Bo9g177020, Bo3g003450	EUTSA_v10014432mg
OG0001459	Bo7g009660	EUTSA_v10022817mg
OG0001460	Bo8g032500	EUTSA_v10000131mg
OG0001460	Bo7g119160	EUTSA_v10026828mg
OG0001461	Bo7g014600	EUTSA_v10022614mg
OG0001461	Bo6g120590, Bo2g089930	EUTSA_v10018320mg
OG0001462	Bo7g038800, Bo1g101220, Bo1g101150	EUTSA_v10002921mg
OG0001463	Bo1g025790	EUTSA_v10027200mg
OG0001463	Bo2g104520	EUTSA_v10028567mg
OG0001464	Bo5g041660, Bo5g021350	EUTSA_v10008783mg
OG0001464	Bo6g124420, Bo6g080560, Bo2g095790	EUTSA_v10019140mg
OG0001465	Bo9g172310	EUTSA_v10013327mg
OG0001465	Bo2g166510, Bo1g101490	EUTSA_v10004018mg, EUTSA_v10023419mg
OG0001466	Bo7g095170, Bo2g156280	EUTSA_v10005163mg
OG0001466	Bo1g150220, Bo5g144960	EUTSA_v10021753mg
OG0001467	Bo4g109760, Bo6g073190, Bo8g092230	EUTSA_v10006040mg
OG0001468	Bo6g047920, Bo6g108860	EUTSA_v10007504mg
OG0001469	Bo5g041340	EUTSA_v10023218mg, EUTSA_v10006573mg
OG0001470	Bo6g124520	EUTSA_v10018163mg
OG0001470	Bo8g105920, Bo8g066540, Bo5g021150	EUTSA_v10006869mg
OG0001472	Bo8g009500	EUTSA_v10006859mg
OG0001472	Bo4g187340, Bo4g029850	EUTSA_v10016292mg
OG0001473	Bo5g004280	EUTSA_v10009189mg
OG0001473	Bo2g120770, Bo9g059470, Bo7g065810, Bo7g066880	EUTSA_v10003294mg
OG0001474	Bo8g076580	EUTSA_v10010271mg
OG0001474	Bo5g039830, Bo8g074980	EUTSA_v10007303mg
OG0001475	Bo2g097520	EUTSA_v10002491mg
OG0001476	Bo4g041160	EUTSA_v10017416mg
OG0001476	Bo5g058510, Bo7g045680, Bo3g143830	EUTSA_v10009096mg
OG0001477	Bo01139s060, Bo4g011450	EUTSA_v10001443mg
OG0001477	Bo6g077830, Bo4g101220, Bo8g096080	EUTSA_v10005967mg
OG0001478	Bo9g028010, Bo7g005040	EUTSA_v10002107mg
OG0001478	Bo9g028000, Bo7g005050	EUTSA_v10002104mg
OG0001479	Bo5g155240	EUTSA_v10021223mg
OG0001479	Bo4g170720, Bo3g024280, Bo4g059870	EUTSA_v10016789mg
OG0001480	Bo5g092890, Bo5g048310	EUTSA_v10007126mg
OG0001480	Bo1g020220, Bo7g106470, Bo3g158580	EUTSA_v10024718mg
OG0001482	Bo9g177360, Bo2g006840, Bo3g003210	EUTSA_v10013510mg
OG0001483	Bo00915s040, Bo2g018160	EUTSA_v10013703mg
OG0001483	Bo9g036800	EUTSA_v10015824mg, EUTSA_v10023500mg
OG0001485	Bo5g156480, Bo3g055340	EUTSA_v10020487mg
OG0001485	Bo3g010290, Bo9g164100, Bo2g012580	EUTSA_v10013218mg
OG0001487	Bo3g054870	EUTSA_v10022308mg
OG0001487	Bo3g009600, Bo9g166190	EUTSA_v10015899mg
OG0001488	Bo7g103990	EUTSA_v10026579mg
OG0001488	Bo5g124840	EUTSA_v10021739mg
OG0001489	Bo8g106450, Bo8g106400, Bo5g020270, Bo8g106460	EUTSA_v10009008mg
OG0001490	Bo8g095040, Bo6g076870	EUTSA_v10006152mg
OG0001490	Bo3g037350	EUTSA_v10001572mg
OG0001491	Bo1g158730, Bo5g156340	EUTSA_v10021334mg
OG0001491	Bo3g010120, Bo2g012410, Bo9g165360	EUTSA_v10014157mg
OG0001492	Bo2g110330	EUTSA_v100287730mg, EUTSA_v100287731mg
OG0001492	Bo6g049460, Bo8g027480	EUTSA_v10008088mg
OG0001493	Bo4g065760	EUTSA_v10016434mg
OG0001493	Bo9g141020, Bo2g025180, Bo3g017620	EUTSA_v10013109mg
OG0001494	Bo1g026920	EUTSA_v10025421mg
OG0001494	Bo5g038520	EUTSA_v10007878mg
OG0001495	Bo6g120380	EUTSA_v10018128mg
OG0001495	Bo7g061470, Bo8g070310, Bo5g030540	EUTSA_v10006790mg
OG0001496	Bo5g113750, Bo09687s010, Bo1g112460	EUTSA_v10022102mg
OG0001496	Bo9g142570	EUTSA_v10000432mg, EUTSA_v10015908mg, EUTSA_v10012100mg
OG0001497	Bo1g003400, Bo7g118750, Bo3g153210	EUTSA_v10025923mg
OG0001497	Bo4g151080	EUTSA_v10000281mg
OG0001498	Bo4g183380, Bo4g038370	EUTSA_v10016906mg
OG0001498	Bo5g091840, Bo8g030320, Bo5g048350	EUTSA_v10008095mg
OG0001499	Bo2g056020	EUTSA_v10017722mg, EUTSA_v10016296mg, EUTSA_v10016584mg, EUTSA_v10000100mg, EUTSA_v10000096mg
OG0001500	Bo2g082550, Bo6g086470, Bo6g119370	EUTSA_v10018460mg
OG0001500	Bo8g102700, Bo5g027480	EUTSA_v10007486mg
OG0001501	Bo9g043970	EUTSA_v10023404mg
OG0001501	Bo5g012160, Bo8g059580, Bo8g109380	EUTSA_v10007255mg
OG0001502	Bo3g010810, Bo9g163640	EUTSA_v10015260mg
OG0001502	Bo5g152620, Bo1g157340, Bo3g055620	EUTSA_v10022357mg
OG0001503	Bo7g005600	EUTSA_v10002025mg
OG0001503	Bo1g016300, Bo3g177120, Bo7g113780	EUTSA_v100269450mg, EUTSA_v100269451mg
OG0001504	Bo8g076950, Bo1g077070, Bo3g113420	EUTSA_v10011071mg
OG0001504	Bo3g103610, Bo2g165470	EUTSA_v10005223mg
OG0001505	Bo3g058850	EUTSA_v10021665mg
OG0001505	Bo2g155260	EUTSA_v10005038mg
OG0001506	Bo4g184720, Bo3g028590	EUTSA_v10017703mg
OG0001506	Bo8g080780, Bo4g125490	EUTSA_v10010863mg
OG0001507	Bo5g127230, Bo1g128550	EUTSA_v10021717mg
OG0001507	Bo6g029220, Bo6g031080	EUTSA_v10011848mg
OG0001508	Bo2g068240	EUTSA_v10019184mg
OG0001508	Bo8g073800, Bo5g039540	EUTSA_v10008711mg
OG0001509	Bo3g010710	EUTSA_v10014574mg
OG0001509	Bo5g152730	EUTSA_v10021465mg
OG0001510	Bo3g055020, Bo5g155020	EUTSA_v10020651mg
OG0001510	Bo3g009780, Bo2g011850, Bo9g165920	EUTSA_v10013466mg
OG0001511	Bo5g008590, Bo8g112780	EUTSA_v10008781mg
OG0001511	Bo01039s010, Bo4g165420, Bo3g040220	EUTSA_v10017165mg
OG0001512	Bo1g049470	EUTSA_v10025217mg
OG0001512	Bo9g113920, Bo3g022290	EUTSA_v10015444mg
OG0001512	Bo2g041840	EUTSA_v10015378mg
OG0001513	Bo8g039370, Bo1g057390	EUTSA_v10026640mg
OG0001513	Bo3g081250, Bo5g095810	EUTSA_v10021807mg
OG0001514	Bo6g076560	EUTSA_v10005779mg
OG0001514	Bo3g036620, Bo4g019840, Bo4g194380	EUTSA_v10001299mg
OG0001515	Bo1g090470	EUTSA_v10023514mg
OG0001515	Bo6g110750	EUTSA_v10018680mg
OG0001515	Bo7g054620	EUTSA_v10007846mg
OG0001516	Bo9g025830	EUTSA_v10022872mg
OG0001516	Bo3g153870, Bo7g118170	EUTSA_v10027340mg
OG0001517	Bo3g035460, Bo4g013040	EUTSA_v10016282mg
OG0001517	Bo8g091310, Bo4g112610, Bo6g072470	EUTSA_v10005792mg
OG0001518	Bo7g016220, Bo3g091770	EUTSA_v10022729mg
OG0001518	Bo3g167190, Bo1g006720	EUTSA_v10025438mg
OG0001519	Bo2g127350, Bo7g073790	EUTSA_v10001021mg
OG0001519	Bo7g106270, Bo1g019940	EUTSA_v10026212mg
OG0001520	Bo2g075340, Bo2g075280	EUTSA_v10018482mg
OG0001520	Bo3g028440	EUTSA_v10018486mg, EUTSA_v10018487mg
OG0001521	Bo7g118730, Bo1g003460	EUTSA_v10024915mg
OG0001521	Bo3g042310	EUTSA_v10000124mg
OG0001522	Bo7g003920	EUTSA_v10001964mg
OG0001522	Bo7g113450	EUTSA_v10024708mg
OG0001523	Bo8g099850, Bo4g154510	EUTSA_v10018783mg
OG0001524	Bo6g022410, Bo6g022380	EUTSA_v10011689mg
OG0001524	Bo1g108970, Bo3g074840	EUTSA_v10021393mg
OG0001525	Bo6g109020	EUTSA_v10019188mg
OG0001526	Bo1g070920	EUTSA_v10002951mg
OG0001527	Bo7g005770, Bo9g027680	EUTSA_v10023158mg
OG0001527	Bo7g113870	EUTSA_v10024918mg
OG0001528	Bo11772s010, Bo2g013980, Bo2g062660, Bo9g159820	EUTSA_v10015651mg
OG0001528	Bo1g153650, Bo5g148780	EUTSA_v10022222mg
OG0001529	Bo7g088640, Bo2g149400, Bo9g008990	EUTSA_v10004156mg
OG0001529	Bo4g144150	EUTSA_v10027742mg
OG0001530	Bo3g083130, Bo1g098860, Bo7g033260	EUTSA_v10002634mg
OG0001531	Bo9g043910, Bo1g093180	EUTSA_v10023651mg
OG0001531	Bo8g109240, Bo8g059670	EUTSA_v10008502mg
OG0001532	Bo9g177510	EUTSA_v10013430mg
OG0001532	Bo1g141530	EUTSA_v10020697mg
OG0001533	Bo1g134640	EUTSA_v10021772mg
OG0001533	Bo6g050910, Bo3g184500, Bo6g033050	EUTSA_v10011868mg
OG0001534	Bo1g041870, Bo8g051120	EUTSA_v10025224mg
OG0001534	Bo9g130660	EUTSA_v10013611mg
OG0001535	Bo8g102720	EUTSA_v10008308mg
OG0001535	Bo6g086500, Bo6g119310	EUTSA_v10018884mg
OG0001536	Bo9g108720, Bo2g046230	EUTSA_v10014570mg
OG0001536	Bo7g111650, Bo1g050910	EUTSA_v10027290mg
OG0001537	Bo4g056240, Bo4g173310, Bo3g024770	EUTSA_v10017069mg
OG0001539	Bo3g055480, Bo5g152830	EUTSA_v10020925mg
OG0001539	Bo2g012640, Bo9g163980	EUTSA_v10013825mg
OG0001540	Bo3g074990	EUTSA_v10000568mg
OG0001540	Bo4g157480	EUTSA_v10000364mg
OG0001540	Bo1g010760, Bo4g144040, Bo3g173510	EUTSA_v10025671mg
OG0001541	Bo5g132550, Bo1g138350, Bo3g065540	EUTSA_v10021153mg
OG0001542	Bo3g153970	EUTSA_v10027579mg, EUTSA_v10017741mg
OG0001542	Bo9g025930	EUTSA_v10023199mg
OG0001543	Bo3g130340	EUTSA_v10002648mg
OG0001543	Bo9g140750, Bo3g017760, Bo2g025410	EUTSA_v10014524mg
OG0001544	Bo9g094130, Bo3g045560	EUTSA_v10028497mg
OG0001544	Bo8g108240, Bo5g016940	EUTSA_v10007001mg
OG0001545	Bo6g074910	EUTSA_v10005849mg
OG0001545	Bo8g092730, Bo4g108350, Bo6g074930	EUTSA_v10017643mg, EUTSA_v10005848mg
OG0001546	Bo1g011740	EUTSA_v10025656mg
OG0001546	Bo8g099910, Bo4g154370	EUTSA_v10000220mg
OG0001547	Bo3g002070	EUTSA_v10014025mg
OG0001547	Bo5g138190	EUTSA_v10021220mg
OG0001548	Bo7g110450, Bo1g040340	EUTSA_v10025027mg
OG0001548	Bo9g107140	EUTSA_v10013563mg
OG0001549	Bo7g089690	EUTSA_v10005212mg
OG0001549	Bo7g089700	EUTSA_v10012357mg
OG0001550	Bo2g064500, Bo6g110360	EUTSA_v10019695mg
OG0001550	Bo5g045210, Bo8g076370	EUTSA_v10008900mg
OG0001551	Bo4g137520	EUTSA_v10026915mg
OG0001551	Bo02711s010, Bo5g155260, Bo4g016120	EUTSA_v10017595mg, EUTSA_v10017888mg, EUTSA_v10006373mg
OG0001553	Bo5g072530, Bo6g011090, Bo6g011100	EUTSA_v10011509mg
OG0001553	Bo3g068930	EUTSA_v10020722mg
OG0001554	Bo6g116150	EUTSA_v10018950mg
OG0001554	Bo8g067280, Bo5g023860, Bo8g104830	EUTSA_v10008387mg
OG0001555	Bo3g185360, Bo6g034660	EUTSA_v10011364mg
OG0001555	Bo3g065520, Bo1g138380, Bo5g132570	EUTSA_v10020433mg
OG0001556	Bo3g185790, Bo01075s040	EUTSA_v10011387mg
OG0001556	Bo3g065170	EUTSA_v10020558mg
OG0001557	Bo2g048350	EUTSA_v10015827mg, EUTSA_v10029438mg
OG0001558	Bo9g058870, Bo4g076670	EUTSA_v10003331mg
OG0001558	Bo7g049720, Bo5g052260	EUTSA_v10002283mg, EUTSA_v10009481mg
OG0001559	Bo6g030940	EUTSA_v10011676mg
OG0001559	Bo1g128450, Bo3g066850, Bo5g127040	EUTSA_v10021174mg
OG0001560	Bo8g101150	EUTSA_v10000378mg
OG0001560	Bo1g003090	EUTSA_v10027263mg
OG0001561	Bo7g064840, Bo7g097340, Bo7g097330	EUTSA_v10012105mg, EUTSA_v10012129mg
OG0001562	Bo16039s010, Bo2g047760, Bo00763s140, Bo3g038810, Bo5g008300, Bo00787s040, Bo23046s010, Bo22748s010, Bo11332s010, Bo30897s010	EUTSA_v10029082mg
OG0001564	Bo10051s010	EUTSA_v10027032mg
OG0001564	Bo9g033980	EUTSA_v10023877mg
OG0001564	Bo7g105770	EUTSA_v10026758mg, EUTSA_v10002741mg
OG0001565	Bo2g035360	EUTSA_v10029127mg
OG0001565	Bo9g078470, Bo3g048710, Bo3g048730	EUTSA_v10029394mg
OG0001567	Bo2g068150	EUTSA_v10018979mg
OG0001567	Bo5g039750, Bo7g056020	EUTSA_v10008273mg
OG0001568	Bo9g161480	EUTSA_v10014654mg
OG0001568	Bo5g150180	EUTSA_v10021507mg
OG0001569	Bo6g116180	EUTSA_v10018441mg
OG0001569	Bo8g067310, Bo5g023890	EUTSA_v10007386mg
OG0001570	Bo4g013150	EUTSA_v10016720mg
OG0001570	Bo00866s020, Bo00866s030	EUTSA_v10006039mg, EUTSA_v10005873mg
OG0001571	Bo2g070850, Bo6g094430	EUTSA_v10019247mg
OG0001571	Bo8g071630, Bo7g056530	EUTSA_v10008928mg
OG0001572	Bo4g190110	EUTSA_v10016652mg
OG0001572	Bo8g090620	EUTSA_v10005990mg
OG0001573	Bo00875s030, Bo00875s040	EUTSA_v10027002mg
OG0001573	Bo4g036210, Bo4g184550	EUTSA_v10016563mg
OG0001574	Bo3g003340	EUTSA_v10012879mg
OG0001574	Bo1g141300	EUTSA_v10020200mg
OG0001575	Bo3g185570	EUTSA_v10008003mg
OG0001575	Bo01063s020	EUTSA_v10012025mg, EUTSA_v10011525mg
OG0001575	Bo8g059480, Bo8g059870, Bo2g080840	EUTSA_v10009896mg
OG0001576	Bo2g024570	EUTSA_v10013304mg, EUTSA_v10013297mg, EUTSA_v10015901mg
OG0001576	Bo3g120730	EUTSA_v10002473mg
OG0001577	Bo3g012070, Bo9g163150	EUTSA_v10012825mg
OG0001577	Bo3g055850, Bo5g151470	EUTSA_v10020274mg
OG0001578	Bo2g027060, Bo2g027000, Bo2g027120	EUTSA_v10015381mg, EUTSA_v10015412mg
OG0001579	Bo8g038070, Bo1g058960	EUTSA_v10025252mg
OG0001579	Bo1g103440, Bo5g093080	EUTSA_v10020751mg
OG0001580	Bo5g039500	EUTSA_v10007569mg
OG0001580	Bo8g059630, Bo8g109300	EUTSA_v10007563mg
OG0001581	Bo7g077410, Bo9g069410	EUTSA_v10000931mg
OG0001581	Bo8g049450, Bo1g017580	EUTSA_v10027543mg
OG0001582	Bo3g162640	EUTSA_v10005881mg, EUTSA_v10013284mg
OG0001582	Bo4g137510, Bo00667s160	EUTSA_v10027729mg
OG0001583	Bo9g077970, Bo3g064120	EUTSA_v10000498mg
OG0001584	Bo2g013060	EUTSA_v10014778mg
OG0001584	Bo5g151520, Bo1g156180	EUTSA_v10021615mg
OG0001585	Bo3g064100, Bo5g136660	EUTSA_v10021195mg
OG0001585	Bo9g176870, Bo3g003510	EUTSA_v10014183mg
OG0001586	Bo4g195890	EUTSA_v10001467mg
OG0001586	Bo8g095870, Bo4g101440	EUTSA_v10006010mg
OG0001587	Bo6g119780, Bo2g085240	EUTSA_v10018397mg
OG0001587	Bo7g061980	EUTSA_v10007364mg
OG0001589	Bo6g086410	EUTSA_v10018296mg
OG0001589	Bo7g062250, Bo5g027660	EUTSA_v10007470mg
OG0001590	Bo7g024240	EUTSA_v10022834mg
OG0001590	Bo4g038800, Bo4g183140	EUTSA_v10017195mg
OG0001591	Bo3g027200, Bo4g043950	EUTSA_v10016427mg, EUTSA_v10016425mg
OG0001592	Bo6g117950	EUTSA_v10018665mg
OG0001592	Bo8g067620, Bo8g104550	EUTSA_v10007847mg
OG0001593	Bo3g107060	EUTSA_v10004962mg
OG0001593	Bo3g113730, Bo8g076650, Bo1g073610	EUTSA_v10010754mg
OG0001594	Bo4g052170, Bo3g025180, Bo4g176450	EUTSA_v10016982mg
OG0001594	Bo8g114800, Bo5g007190	EUTSA_v10008299mg
OG0001595	Bo5g014740, Bo5g014730, Bo5g014670	EUTSA_v10006812mg
OG0001595	Bo5g014750	EUTSA_v10006766mg
OG0001596	Bo3g185490	EUTSA_v10011487mg
OG0001596	Bo1g138430, Bo5g132630	EUTSA_v10020742mg
OG0001597	Bo8g115810	EUTSA_v10007644mg
OG0001597	Bo7g067020, Bo2g120840	EUTSA_v10003194mg
OG0001597	Bo9g059560	EUTSA_v10003193mg
OG0001598	Bo4g117130, Bo6g068540, Bo8g088450	EUTSA_v10010159mg
OG0001598	Bo4g117050	EUTSA_v10010975mg
OG0001599	Bo4g098830	EUTSA_v10005815mg
OG0001599	Bo3g039540, Bo4g198480, Bo00802s110	EUTSA_v10001337mg
OG0001600	Bo8g076850	EUTSA_v10010463mg
OG0001600	Bo3g104690, Bo2g165450	EUTSA_v10004447mg
OG0001601	Bo7g097890	EUTSA_v10004348mg
OG0001601	Bo9g174660, Bo3g004780, Bo2g008960	EUTSA_v10013674mg
OG0001603	Bo1g094270	EUTSA_v10023468mg
OG0001603	Bo8g109310	EUTSA_v10007700mg
OG0001604	Bo5g003490	EUTSA_v10006579mg
OG0001604	Bo3g052510, Bo9g005850, Bo2g100550	EUTSA_v10028366mg
OG0001605	Bo9g157270	EUTSA_v10015380mg
OG0001606	Bo3g125120	EUTSA_v10018479mg
OG0001606	Bo6g056500, Bo8g030350, Bo4g136030	EUTSA_v10004115mg
OG0001607	Bo7g110860, Bo7g110230, Bo7g110850, Bo7g117440, Bo9g043760, Bo1g043140	EUTSA_v10027384mg
OG0001608	Bo7g038940	EUTSA_v10002536mg
OG0001608	Bo4g129600	EUTSA_v10025273mg
OG0001609	Bo3g003850	EUTSA_v10015955mg
OG0001609	Bo1g139890, Bo5g136270	EUTSA_v10021920mg
OG0001610	Bo01135s010, Bo7g062490	EUTSA_v10022541mg
OG0001610	Bo1g014680	EUTSA_v10024418mg
OG0001610	Bo7g063500	EUTSA_v10023115mg
OG0001611	Bo3g045490, Bo9g093950	EUTSA_v10028629mg
OG0001611	Bo7g108330, Bo1g031810	EUTSA_v10025096mg
OG0001612	Bo1g046670, Bo8g051410	EUTSA_v10024776mg
OG0001612	Bo2g040130, Bo9g120280, Bo3g021630	EUTSA_v10013064mg
OG0001613	Bo7g054530	EUTSA_v10007235mg
OG0001613	Bo6g095120, Bo6g110490, Bo2g064700	EUTSA_v10018285mg
OG0001614	Bo1g006520	EUTSA_v10027098mg
OG0001614	Bo1g020030	EUTSA_v10024971mg
OG0001615	Bo8g077210	EUTSA_v10010651mg
OG0001615	Bo9g017710, Bo2g165710	EUTSA_v10004812mg
OG0001616	Bo9g070270, Bo2g134450	EUTSA_v10004939mg
OG0001616	Bo8g063720, Bo5g020280	EUTSA_v10008807mg
OG0001617	Bo1g134360, Bo5g130400	EUTSA_v10020162mg
OG0001617	Bo6g031670, Bo3g184260	EUTSA_v10011271mg
OG0001618	Bo6g084850, Bo6g120700	EUTSA_v10019067mg
OG0001618	Bo7g059750, Bo8g070540, Bo5g030950	EUTSA_v10008598mg
OG0001619	Bo7g085840, Bo7g085800, Bo9g008310	EUTSA_v10005308mg
OG0001619	Bo4g140230	EUTSA_v10028250mg
OG0001620	Bo5g004010, Bo5g004000	EUTSA_v10009824mg
OG0001620	Bo9g007650, Bo9g007640	EUTSA_v10029027mg
OG0001621	Bo00534s220, Bo6g014370, Bo6g014340	EUTSA_v10010983mg, EUTSA_v10009703mg
OG0001622	Bo3g039130, Bo4g010420	EUTSA_v10001385mg
OG0001622	Bo6g077860	EUTSA_v10005840mg
OG0001623	Bo7g031060	EUTSA_v10002940mg
OG0001623	Bo4g133380	EUTSA_v10027269mg
OG0001624	Bo5g152700, Bo1g157450	EUTSA_v10021390mg
OG0001624	Bo3g010720, Bo9g163790	EUTSA_v10014493mg
OG0001625	Bo9g059830, Bo2g124320	EUTSA_v10003385mg
OG0001625	Bo01143s020	EUTSA_v10027342mg
OG0001626	Bo9g059220	EUTSA_v10003280mg
OG0001626	Bo8g002870	EUTSA_v10008972mg
OG0001627	Bo3g037150	EUTSA_v10001459mg
OG0001627	Bo6g076770, Bo8g094670	EUTSA_v10005983mg
OG0001628	Bo5g016470	EUTSA_v10008801mg
OG0001628	Bo7g083830	EUTSA_v10004929mg
OG0001629	Bo9g097170	EUTSA_v10014268mg
OG0001629	Bo7g109890, Bo8g050520, Bo1g039530	EUTSA_v10025975mg
OG0001630	Bo4g143820, Bo4g136480	EUTSA_v10027912mg
OG0001630	Bo2g052660, Bo6g099670	EUTSA_v10019428mg
OG0001631	Bo8g079550	EUTSA_v10011012mg
OG0001631	Bo00884s080, Bo1g083540	EUTSA_v10010950mg
OG0001631	Bo7g063900	EUTSA_v10003942mg
OG0001632	Bo9g174870	EUTSA_v10014742mg
OG0001632	Bo9g014480, Bo2g161330, Bo7g098350	EUTSA_v10004907mg
OG0001633	Bo7g082700, Bo00285s340	EUTSA_v10004806mg
OG0001633	Bo3g031310, Bo4g186420	EUTSA_v10017134mg
OG0001635	Bo7g014920, Bo3g092260	EUTSA_v10022536mg
OG0001635	Bo1g006600, Bo7g117300	EUTSA_v10024319mg
OG0001636	Bo9g173530	EUTSA_v10015184mg
OG0001636	Bo9g018550, Bo00615s200, Bo3g099440	EUTSA_v10005237mg
OG0001637	Bo3g047140	EUTSA_v10028381mg
OG0001638	Bo6g016950, Bo00685s030	EUTSA_v10011830mg
OG0001638	Bo1g117460	EUTSA_v10021558mg
OG0001639	Bo4g039500, Bo4g182750, Bo3g027780, Bo5g062450, Bo3g147730, Bo3g147640	EUTSA_v10009598mg
OG0001640	Bo1g057260	EUTSA_v10024461mg
OG0001640	Bo1g105250, Bo5g098160	EUTSA_v10020108mg
OG0001641	Bo2g016550, Bo3g013200	EUTSA_v10013548mg
OG0001642	Bo8g114360	EUTSA_v10009577mg
OG0001642	Bo4g058480, Bo3g024580, Bo4g173040	EUTSA_v10017964mg
OG0001643	Bo9g037320, Bo9g028460, Bo4g093050	EUTSA_v10023681mg
OG0001643	Bo5g017230	EUTSA_v10009559mg
OG0001644	Bo9g035530	EUTSA_v10023358mg
OG0001644	Bo6g065060	EUTSA_v10027680mg, EUTSA_v10028137mg
OG0001645	Bo4g069290, Bo4g166650	EUTSA_v10016860mg
OG0001645	Bo5g008450, Bo8g010760	EUTSA_v10008034mg
OG0001646	Bo7g105060	EUTSA_v10025583mg
OG0001646	Bo7g077680, Bo2g132450	EUTSA_v10000952mg
OG0001647	Bo3g097830, Bo2g168210	EUTSA_v10003764mg
OG0001647	Bo1g003330, Bo7g118780	EUTSA_v10026770mg
OG0001648	Bo1g147660, Bo5g143120, Bo3g060880	EUTSA_v10021990mg
OG0001648	Bo2g150460, Bo01327s020	EUTSA_v10004314mg
OG0001649	Bo2g023600	EUTSA_v10014154mg
OG0001649	Bo7g116050, Bo1g008330	EUTSA_v10025802mg
OG0001650	Bo5g003130	EUTSA_v10007347mg
OG0001650	Bo9g004410, Bo3g052910	EUTSA_v10028577mg
OG0001651	Bo9g062610	EUTSA_v10001226mg
OG0001651	Bo1g020150	EUTSA_v10026806mg
OG0001652	Bo4g021680	EUTSA_v100017791mg
OG0001652	Bo8g094870, Bo4g106310	EUTSA_v10005835mg
OG0001653	Bo7g095710, Bo9g011210	EUTSA_v10004870mg
OG0001653	Bo9g170060, Bo2g010530	EUTSA_v10015895mg
OG0001654	Bo1g153510	EUTSA_v10021203mg
OG0001654	Bo3g004680, Bo2g008880, Bo9g174820	EUTSA_v10014211mg
OG0001655	Bo9g078130, Bo3g048600	EUTSA_v10028586mg
OG0001655	Bo1g025900	EUTSA_v10026864mg
OG0001656	Bo9g174050	EUTSA_v10012552mg
OG0001656	Bo9g018010, Bo7g065500	EUTSA_v10003564mg
OG0001657	Bo8g062490, Bo8g108460	EUTSA_v10006975mg
OG0001657	Bo9g037330	EUTSA_v10023291mg
OG0001658	Bo1g003130, Bo3g152870	EUTSA_v10025832mg
OG0001658	Bo8g101130, Bo4g149670	EUTSA_v10000259mg
OG0001659	Bo5g007320	EUTSA_v10008531mg
OG0001659	Bo3g025100	EUTSA_v10017136mg
OG0001660	Bo6g120740, Bo2g091040, Bo2g091050	EUTSA_v10019832mg
OG0001661	Bo3g031800	EUTSA_v10016645mg
OG0001661	Bo4g121650, Bo8g083050	EUTSA_v10010333mg
OG0001662	Bo9g025810	EUTSA_v10022745mg
OG0001662	Bo4g153980, Bo8g100250	EUTSA_v10000201mg
OG0001663	Bo4g056270, Bo4g173280, Bo3g024730	EUTSA_v10016711mg
OG0001664	Bo4g039080	EUTSA_v10016553mg
OG0001664	Bo2g121150, Bo5g065700	EUTSA_v10007394mg
OG0001665	Bo9g173550, Bo2g009670	EUTSA_v10013890mg
OG0001665	Bo3g099410, Bo9g018570, Bo00615s190	EUTSA_v10004438mg
OG0001666	Bo1g019420	EUTSA_v10024618mg
OG0001666	Bo7g075170, Bo9g063060	EUTSA_v10000798mg, EUTSA_v10001169mg
OG0001667	Bo8g098150, Bo6g079640, Bo4g098490	EUTSA_v10005973mg
OG0001668	Bo1g045400	EUTSA_v10026170mg
OG0001668	Bo3g021240, Bo2g037630	EUTSA_v10014594mg
OG0001669	Bo4g065890, Bo4g168000	EUTSA_v10017410mg
OG0001670	Bo2g008840, Bo4g181830, Bo2g092650	EUTSA_v10012438mg
OG0001671	Bo9g023690	EUTSA_v10022819mg
OG0001671	Bo9g023710	EUTSA_v10022822mg
OG0001671	Bo7g116480	EUTSA_v10025993mg
OG0001672	Bo1g101290, Bo2g044570, Bo7g039020	EUTSA_v10002729mg
OG0001672	Bo8g023150	EUTSA_v10026600mg
OG0001673	Bo4g015960	EUTSA_v10016923mg
OG0001673	Bo8g092430, Bo6g074510	EUTSA_v10006090mg
OG0001674	Bo9g088620	EUTSA_v10021989mg
OG0001674	Bo8g043510, Bo1g054930	EUTSA_v10026603mg
OG0001675	Bo5g105000, Bo3g076320, Bo1g108330	EUTSA_v10021813mg
OG0001676	Bo8g079560, Bo7g099210	EUTSA_v10010280mg
OG0001677	Bo4g086620, Bo1g095760	EUTSA_v10023660mg
OG0001678	Bo6g065010	EUTSA_v10027677mg
OG0001678	Bo9g029060, Bo4g096620	EUTSA_v10023393mg
OG0001679	Bo8g092680, Bo6g074880, Bo4g108370, Bo4g016130, Bo3g036070, Bo4g191630	EUTSA_v10016971mg
OG0001680	Bo3g164180, Bo7g107810, Bo1g027000	EUTSA_v10026181mg
OG0001681	Bo9g153820, Bo2g017920	EUTSA_v10013240mg
OG0001681	Bo2g010860, Bo3g007550, Bo9g169570	EUTSA_v10013236mg
OG0001683	Bo9g119130, Bo3g021720, Bo2g041270	EUTSA_v10015237mg
OG0001683	Bo1g047790, Bo8g051490	EUTSA_v10027219mg
OG0001684	Bo3g009160, Bo3g009170, Bo2g011280, Bo9g166770	EUTSA_v10014363mg, EUTSA_v10014365mg
OG0001685	Bo5g138180	EUTSA_v10022167mg
OG0001685	Bo5g030840	EUTSA_v10006608mg
