Orthogroup	Brassica_rapa	Arabidopsis_halleri
OG0000836	Bra000311, Bra027940	g18027
OG0000838	Bra012541	g15442
OG0000839	Bra011370	g00697
OG0000839	Bra011369	g14165
OG0000839	Bra029597, Bra029598, Bra001210	g06474
OG0000840	Bra030359, Bra030360, Bra028235, Bra028224	g24642, g24637, g24641
OG0000842	Bra004174	g31182
OG0000843	Bra031104	g16410, g16411
OG0000844	Bra019384, Bra013608, Bra013609	g14445
OG0000845	Bra035525	g16328
OG0000845	Bra010958, Bra030031	g26707
OG0000845	Bra006181, Bra008855	g10747
OG0000846	Bra033614, Bra011866	g02813
OG0000846	Bra030278, Bra031217	g23984
OG0000847	Bra039348, Bra039369	g05707
OG0000847	Bra034706	g05706
OG0000847	Bra039368, Bra001490, Bra001488	g03887, g05708
OG0000848	Bra005004	g03562
OG0000848	Bra007187, Bra014722	g11608, g11607
OG0000849	Bra023030	g03481
OG0000849	Bra028855, Bra005744, Bra009555	g19400
OG0000850	Bra029013	g31927
OG0000852	Bra030651	g02286
OG0000852	Bra012642	g17086
OG0000852	Bra004054	g14795
OG0000853	Bra037260	g22166
OG0000853	Bra011632	g00341
OG0000853	Bra011630	g00343
OG0000854	Bra033303, Bra033308, Bra033298, Bra033302, Bra033305, Bra033299, Bra032615	g01834, g01831, g01833
OG0000855	Bra034590, Bra011477	g29303, g29299, g00560
OG0000857	Bra002857, Bra002858, Bra002859, Bra031518, Bra035412	g28805, g29040, g28803, g29039, g28804, g29041
OG0000858	Bra018936	g28786
OG0000858	Bra018935	g28788
OG0000858	Bra030412, Bra018934	g28793, g28796
OG0000859	Bra035134	g01535
OG0000859	Bra026732	g09980
OG0000859	Bra026731	g09979
OG0000861	Bra000455	g09561
OG0000862	Bra034075, Bra001302, Bra029780	g06093
OG0000862	Bra005749, Bra009560	g19418
OG0000863	Bra004951	g09739
OG0000863	Bra033251, Bra032642	g01759
OG0000863	Bra008519, Bra037336	g19813
OG0000864	Bra026904, Bra016729, Bra019722	g06153, g04721
OG0000865	Bra039295, Bra000410	g09734
OG0000865	Bra028493, Bra025505	g22950, g22446
OG0000866	Bra003984	g03702
OG0000866	Bra016706	g10170
OG0000867	Bra031436, Bra031437	g19849
OG0000868	Bra028596	g19198
OG0000868	Bra011830	g02868
OG0000868	Bra030253, Bra038538	g21668
OG0000869	Bra004819, Bra022401, Bra004818	g29257
OG0000870	Bra007230, Bra014702, Bra003234	g21244
OG0000871	Bra005258	g03565
OG0000871	Bra028546, Bra006969, Bra019632	g20418
OG0000872	Bra018969, Bra030386	g15147
OG0000872	Bra026178, Bra023886	g11241
OG0000873	Bra010554	g03088, g24782, g32426
OG0000873	Bra037236, Bra039919	g24955
OG0000874	Bra010569	g03053
OG0000874	Bra027119, Bra031477	g19920
OG0000879	Bra039929	g01409, g22001, g01408, g01411
OG0000880	Bra019485	g12712
OG0000880	Bra014312	g12711
OG0000881	Bra003463	g05435
OG0000881	Bra033267	g01787
OG0000882	Bra012420	g29556, g08003, g23375, g14593
OG0000882	Bra016271, Bra016693, Bra026816, Bra026200	g10134
OG0000883	Bra038650	g12373, g07525
OG0000883	Bra028652, Bra009356	g19075
OG0000885	Bra008211, Bra015830	g01105
OG0000885	Bra016489, Bra025780, Bra012194, Bra012193	g13858
OG0000886	Bra021621, Bra018326, Bra022784	g24237
OG0000886	Bra015540, Bra031549, Bra030668	g02352
OG0000887	Bra033571	g02732
OG0000887	Bra013052	g23263
OG0000887	Bra017687, Bra011577	g00427
OG0000888	Bra034586	g00561
OG0000888	Bra034584, Bra034585, Bra017609	g00562
OG0000889	Bra037219, Bra026937, Bra016740, Bra030217, Bra030216	g04765
OG0000890	Bra033491, Bra014945, Bra001911, Bra010760	g27156, g23167
OG0000891	Bra016430	g13450, g08044
OG0000891	Bra008279	g27221, g30323, g01237
OG0000892	Bra005098, Bra017112, Bra005099, Bra017113	g18410, g18411, g14211
OG0000893	Bra018116	g12852
OG0000893	Bra012930	g32355, g32488
OG0000893	Bra012928	g30997
OG0000894	Bra026118	g31171
OG0000894	Bra026119	g10017, g10016
OG0000895	Bra040089	g02692
OG0000895	Bra000525	g26195
OG0000896	Bra027868, Bra017905, Bra035446	g28166
OG0000897	Bra030613	g02191
OG0000897	Bra010748, Bra032766	g21396
OG0000898	Bra018172	g12782
OG0000898	Bra033795	g12788
OG0000898	Bra018177	g12781
OG0000899	Bra003948, Bra016195, Bra007934	g03809, g03808
OG0000900	Bra018409, Bra040761, Bra040760, Bra040758	g07005, g07003
OG0000900	Bra040759	g07002
OG0000901	Bra025433, Bra028165	g20818
OG0000901	Bra040624	g23293
OG0000903	Bra029573	g08941, g08942
OG0000903	Bra032197	g16467, g16465
OG0000903	Bra036936	g23533
OG0000904	Bra034921	g23512
OG0000904	Bra013152, Bra040939, Bra037202	g26416, g26419, g28550
OG0000905	Bra032044	g22360
OG0000905	Bra008698, Bra023518	g00226
OG0000906	Bra040409, Bra026324, Bra040119, Bra001127, Bra011551, Bra017669, Bra034643	g06240, g00460
OG0000907	Bra008553, Bra036326, Bra036327	g09209, g09210
OG0000907	Bra036328	g30546
OG0000908	Bra039161	g02558
OG0000908	Bra032033	g00776, g27526
OG0000909	Bra014622, Bra007329	g16646
OG0000909	Bra004649	g17242
OG0000911	Bra020493	g14128, g14127
OG0000911	Bra015666, Bra031896, Bra024333	g17688, g07482
OG0000912	Bra019521, Bra018096, Bra033782	g12875
OG0000912	Bra029248, Bra010111, Bra035886, Bra035885	g12267
OG0000913	Bra019862	g04950
OG0000913	Bra031764, Bra016839, Bra003030, Bra019867	g04953
OG0000914	Bra032926	g24710
OG0000915	Bra037821	g07410
OG0000916	Bra006172, Bra008867	g10734
OG0000916	Bra020640, Bra014601, Bra003302	g16602, g21936
OG0000917	Bra004225, Bra033999	g21053
OG0000917	Bra010943	g26725
OG0000918	Bra029412, Bra029413	g03841
OG0000924	Bra030185	g23029
OG0000925	Bra031657	g18192
OG0000925	Bra022819, Bra023110, Bra015047	g30249
OG0000925	Bra028521	g26991
OG0000927	Bra001400	g05903
OG0000927	Bra032865, Bra032866	g32156
OG0000928	Bra009434	g15707, g29162
OG0000928	Bra011432, Bra034556	g00620
OG0000929	Bra040514	g02618
OG0000930	Bra011757	g30945
OG0000931	Bra013921	g10240
OG0000931	Bra002716, Bra020430	g16847
OG0000931	Bra038552, Bra024457	g22659
OG0000932	Bra026321, Bra019032	g04490
OG0000932	Bra003008, Bra029042	g09433
OG0000933	Bra014981	g24016
OG0000933	Bra032756, Bra038967	g21377
OG0000933	Bra038966, Bra032755, Bra038964	g21375
OG0000934	Bra009122	g26005
OG0000934	Bra023209	g16079
OG0000934	Bra023210	g16078
OG0000935	Bra026170, Bra016675	g10084
OG0000935	Bra014327, Bra024891, Bra017460	g14515
OG0000936	Bra030272, Bra030237	g28091, g28087, g28088, g28089, g29207
OG0000938	Bra001131	g06252
OG0000938	Bra036115	g25709
OG0000939	Bra037523	g28137
OG0000939	Bra034244	g20756
OG0000939	Bra016748	g04778
OG0000940	Bra032641	g13702
OG0000940	Bra033252, Bra032640	g01761
OG0000941	Bra034529	g30124
OG0000942	Bra000473	g06927
OG0000942	Bra005864, Bra009130	g25995
OG0000943	Bra029747	g11683
OG0000943	Bra005691	g28619
OG0000943	Bra009992	g27865
OG0000944	Bra032604	g01852
OG0000944	Bra016170	g03843
OG0000944	Bra024560, Bra012356	g13700, g31500
OG0000945	Bra041060, Bra013488	g10393, g19547, g19546
OG0000945	Bra020069, Bra033800, Bra002267, Bra002344, Bra002428	g05220
OG0000946	Bra037355	g19781
OG0000946	Bra003439	g05513
OG0000947	Bra005784	g06044
OG0000947	Bra009507	g06044
OG0000947	Bra005784	g15805
OG0000947	Bra009507	g15805
OG0000947	Bra005784	g12432
OG0000947	Bra009507	g12432
OG0000948	Bra008723	g00266
OG0000948	Bra040507, Bra006664, Bra001010, Bra039131	g02603
OG0000949	Bra016234	g03751
OG0000949	Bra011080	g04338
OG0000949	Bra016235, Bra007896	g03750
OG0000950	Bra036174, Bra036175, Bra037487, Bra020701, Bra020702, Bra020703	g15921, g31929, g31931
OG0000951	Bra006479, Bra006478	g13213
OG0000951	Bra002183	g13206, g13208, g13207
OG0000952	Bra020839	g14409
OG0000952	Bra013631	g14411
OG0000953	Bra026312, Bra026313	g04483
OG0000953	Bra017992	g16792
OG0000954	Bra005949	g23871
OG0000954	Bra012961, Bra035929, Bra029311	g10806
OG0000955	Bra038685, Bra001426, Bra034802	g05849
OG0000955	Bra009210, Bra005900, Bra028727	g15593
OG0000956	Bra034864, Bra034166, Bra001391	g05931
OG0000956	Bra001286	g11746
OG0000957	Bra009414	g15687
OG0000957	Bra024903	g14497
OG0000957	Bra018747	g17399
OG0000959	Bra007693, Bra003506, Bra014399, Bra014398	g32375
OG0000960	Bra017526, Bra024995	g07745
OG0000960	Bra012635, Bra021032, Bra013262	g22650
OG0000961	Bra028922	g23413
OG0000961	Bra001507	g05659
OG0000961	Bra030858, Bra011919	g27959
OG0000962	Bra018001, Bra029939	g16780
OG0000962	Bra029938	g16779
OG0000963	Bra035602, Bra002851	g23475
OG0000964	Bra013475	g05208
OG0000964	Bra027555	g28595
OG0000965	Bra013215	g26750, g23386
OG0000965	Bra037493	g22814
OG0000966	Bra002568	g11018
OG0000966	Bra029757, Bra001317, Bra034064	g11661
OG0000967	Bra034339	g26250
OG0000967	Bra030725	g18258
OG0000967	Bra030726, Bra018625	g18257
OG0000968	Bra037285	g23230, g23223
OG0000968	Bra013037	g23221
OG0000969	Bra016282, Bra024702	g08078
OG0000969	Bra004379	g25212
OG0000970	Bra000224	g24488
OG0000970	Bra014649, Bra003265, Bra007295	g21147
OG0000971	Bra033507, Bra038073, Bra012771, Bra012770, Bra033508, Bra038072	g20241
OG0000971	Bra033506	g20242
OG0000972	Bra003054	g23054
OG0000972	Bra029733	g11702, g11704
OG0000973	Bra039457	g32100
OG0000974	Bra027650	g22928, g22930
OG0000974	Bra027798	g22929
OG0000975	Bra008413, Bra022718, Bra012260, Bra020835	g08619, g08639, g18938, g13467
OG0000976	Bra000072	g00927, g32332, g00925
OG0000977	Bra015317, Bra034976, Bra032511	g02074
OG0000977	Bra027483, Bra035974	g30355
OG0000978	Bra023405	g19359
OG0000978	Bra006196, Bra008833, Bra039630	g19361, g19360
OG0000979	Bra037917, Bra033171	g25340
OG0000979	Bra035980, Bra039999	g16317, g17641
OG0000980	Bra037847, Bra031833, Bra012164	g07331
OG0000980	Bra036040, Bra012913	g09462, g22260
OG0000981	Bra029397	g12898, g31411, g12896, g12895, g12897, g32478, g08817, g08770
OG0000982	Bra010389, Bra026295, Bra040839	g04460
OG0000982	Bra003068, Bra029079, Bra022643	g28131, g23031
OG0000983	Bra003422, Bra014483, Bra007545	g05564
OG0000983	Bra040325, Bra000372	g09838
OG0000984	Bra011210, Bra010278, Bra039897, Bra010277	g04250, g04249, g13290, g13293, g04248
OG0000985	Bra026231, Bra021065	g17154
OG0000985	Bra011645	g00323
OG0000986	Bra015892, Bra003785	g01018
OG0000986	Bra010102	g12254
OG0000987	Bra007699, Bra014395, Bra034697, Bra007698	g05317, g04472, g05320
OG0000988	Bra001967, Bra001966	g26948, g26949
OG0000989	Bra006638	g17587, g27107
OG0000989	Bra002431	g09820
OG0000990	Bra031526, Bra017888	g28819
OG0000990	Bra016328	g13617
OG0000991	Bra009725, Bra032008	g16196, g16195, g16197
OG0000992	Bra022658, Bra029064	g29966
OG0000992	Bra026311	g04482
OG0000992	Bra029065, Bra003050	g23059
OG0000993	Bra037461, Bra036160	g28949
OG0000993	Bra022898, Bra021809, Bra005564	g03162
OG0000994	Bra013622	g14422
OG0000994	Bra020845	g14423
OG0000995	Bra003951, Bra007929	g03801
OG0000996	Bra028519	g28512
OG0000996	Bra032628, Bra033276	g01804
OG0000997	Bra017078, Bra005044, Bra005045, Bra005046	g12495
OG0000997	Bra014771, Bra007146	g11542
OG0000998	Bra034322, Bra012034	g26192, g26196
OG0000999	Bra006826, Bra020451, Bra002738	g16816
OG0000999	Bra011168, Bra024105, Bra010303	g04208
OG0001000	Bra010472	g10288, g10289
OG0001000	Bra026693	g09892
OG0001001	Bra007889, Bra016252, Bra016253	g03731
OG0001001	Bra012409, Bra012422, Bra024659	g08006
OG0001002	Bra009119	g26013
OG0001002	Bra028292, Bra034165, Bra034866	g05933
OG0001003	Bra003720, Bra015751, Bra008257	g01193
OG0001003	Bra025846, Bra016449, Bra012251	g13482
OG0001004	Bra007632, Bra014418	g05413
OG0001004	Bra039272, Bra004525, Bra000429	g09666
OG0001005	Bra036044, Bra029986	g22251
OG0001006	Bra000769, Bra000768, Bra029445, Bra018471	g27672
OG0001007	Bra029026	g16616
OG0001008	Bra003355, Bra007417	g16512
OG0001008	Bra004720	g17366
OG0001009	Bra035115, Bra040629, Bra035116	g01508
OG0001009	Bra026060, Bra026061, Bra026062	g09959
OG0001010	Bra039851	g01557, g26947
OG0001010	Bra032280, Bra014182	g15197, g14964
OG0001011	Bra012474, Bra024741, Bra010996	g08146
OG0001012	Bra040481	g18092, g18093
OG0001012	Bra020717, Bra002770	g24132
OG0001013	Bra011686, Bra017764, Bra011687, Bra010557	g03072
OG0001014	Bra001628, Bra027172	g06581
OG0001014	Bra030397, Bra041079	g15182
OG0001015	Bra039316, Bra004936, Bra000402	g09760
OG0001015	Bra014450, Bra007581, Bra033129	g05506
OG0001016	Bra033362, Bra033363	g26641, g01922
OG0001016	Bra000874, Bra036257	g09088
OG0001017	Bra026896, Bra026895, Bra019715	g04702
OG0001017	Bra025144	g19619
OG0001018	Bra039920	g24954
OG0001018	Bra011681, Bra041169, Bra017761	g03081
OG0001019	Bra022623	g20349
OG0001019	Bra031368	g30982
OG0001019	Bra008340, Bra015641	g01358
OG0001020	Bra035058	g01428
OG0001020	Bra035056	g01427
OG0001021	Bra040749, Bra014057, Bra005478, Bra005479	g18977
OG0001021	Bra035339, Bra033657	g23786
OG0001022	Bra000216, Bra004604	g24504
OG0001022	Bra007265, Bra014674, Bra014675	g21186
OG0001023	Bra014282, Bra018894, Bra030458	g21895
OG0001023	Bra018869, Bra018854, Bra030476	g25602
OG0001024	Bra036011, Bra033721	g17508, g17506
OG0001025	Bra026880, Bra026879, Bra026878, Bra016724, Bra019700	g04676
OG0001027	Bra005157	g18321
OG0001027	Bra000022	g18318, g18319
OG0001027	Bra000021	g18320
OG0001028	Bra017922, Bra012283	g13410
OG0001028	Bra017923, Bra012284	g13409, g13408
OG0001029	Bra021663, Bra018295, Bra022812	g30724, g30725
OG0001029	Bra015521	g02312
OG0001030	Bra027214, Bra021131	g06653
OG0001030	Bra030372, Bra018976	g15125
OG0001032	Bra022628	g23008
OG0001032	Bra019028, Bra026308	g04478
OG0001033	Bra031968	g06127
OG0001033	Bra006441, Bra002136, Bra023665	g13283
OG0001034	Bra016963, Bra000212, Bra004592	g12679
OG0001034	Bra007258, Bra014682, Bra003245	g21196
OG0001035	Bra025950, Bra025949, Bra004258	g08897, g31861, g31589, g08912, g25914
OG0001036	Bra023424, Bra023425, Bra008813	g19337
OG0001036	Bra032279, Bra036455, Bra039491, Bra018783	g15189
OG0001037	Bra002135, Bra006440	g13285
OG0001037	Bra036429, Bra001092, Bra031969	g06126
OG0001038	Bra032563, Bra033366	g01926
OG0001038	Bra014382, Bra007714, Bra003515	g05292
OG0001039	Bra029330	g10832, g10831
OG0001039	Bra035938	g10830
OG0001040	Bra013183	g16390
OG0001040	Bra025297, Bra039070, Bra033022	g28191
OG0001041	Bra024400	g30385, g07405
OG0001041	Bra028580, Bra006066	g10519
OG0001042	Bra017425	g14601
OG0001042	Bra026202	g10135
OG0001043	Bra035133	g01534
OG0001043	Bra026730, Bra026079, Bra016642	g09978
OG0001044	Bra007759	g18664
OG0001044	Bra009287	g15652
OG0001045	Bra039574	g32264
OG0001046	Bra036038, Bra029984, Bra012916	g22263
OG0001047	Bra004588	g19886
OG0001047	Bra003242, Bra032031, Bra007248	g21213
OG0001048	Bra026378, Bra020151, Bra010411	g04551
OG0001048	Bra001795, Bra023941, Bra035768	g11142
OG0001049	Bra010429, Bra019086, Bra019087	g25856
OG0001049	Bra012123	g07281
OG0001049	Bra034249, Bra034250	g07280
OG0001050	Bra010917	g12929
OG0001050	Bra039940	g20974
OG0001050	Bra010605, Bra017841	g02954
OG0001051	Bra003885, Bra016066	g03988
OG0001051	Bra026676, Bra025985	g09858, g09860
OG0001052	Bra019677, Bra019678	g04650
OG0001052	Bra019676, Bra026856, Bra026857, Bra016708	g04649
OG0001053	Bra041127, Bra019434	g26850
OG0001054	Bra018129, Bra018130, Bra019508	g12829
OG0001055	Bra037277, Bra009653	g22209
OG0001055	Bra011605	g00383
OG0001056	Bra031142	g25795
OG0001056	Bra018994	g15092
OG0001057	Bra028161	g29723, g29724
OG0001058	Bra037155, Bra012092	g07246
OG0001058	Bra012893, Bra012892, Bra038862	g14965
OG0001059	Bra017199, Bra023113, Bra005209	g03651
OG0001060	Bra010027, Bra037434, Bra014217	g25113, g25090, g27713, g25117, g27714
OG0001061	Bra007821	g22365, g32114
OG0001061	Bra023981, Bra010217, Bra011303	g00796
OG0001062	Bra008734	g19206
OG0001062	Bra013043	g23240, g23239
OG0001063	Bra035449, Bra035448	g07042
OG0001063	Bra039404	g06368
OG0001064	Bra008454, Bra008456, Bra008459	g30944, g31183, g31184
OG0001065	Bra005223, Bra017211, Bra023093	g03624
OG0001065	Bra003125, Bra006984	g20392
OG0001066	Bra005457, Bra005455, Bra022965, Bra021892	g08990
OG0001066	Bra040774, Bra030116	g13049
OG0001067	Bra019592	g16798
OG0001068	Bra030997	g25930
OG0001069	Bra022444, Bra023762, Bra023761, Bra001908	g27143, g26735
OG0001070	Bra025938, Bra016578	g25901
OG0001070	Bra007562, Bra015996, Bra003846	g04087
OG0001072	Bra030547, Bra015276	g03022, g24363
OG0001073	Bra013597	g07262
OG0001074	Bra004788	g18057
OG0001074	Bra000330, Bra000329, Bra004787	g18056
OG0001075	Bra013917, Bra019142	g10243
OG0001075	Bra006808, Bra002707, Bra002705, Bra020422, Bra020423	g16860
OG0001076	Bra003778, Bra008172, Bra015880	g25510, g01033
OG0001076	Bra025713, Bra031065, Bra016520	g13930
OG0001077	Bra040853	g26767
OG0001077	Bra023511, Bra006289, Bra008713	g00253
OG0001078	Bra008711	g00248
OG0001078	Bra030652, Bra015499	g02288
OG0001078	Bra018288	g25748
OG0001079	Bra007547, Bra014481, Bra003423	g05561
OG0001080	Bra007778	g21497
OG0001080	Bra001518, Bra027409, Bra021498	g06910
OG0001081	Bra032323, Bra010825, Bra030142	g13111
OG0001081	Bra017541, Bra022040	g07708
OG0001082	Bra005851	g26026
OG0001082	Bra034149	g05960
OG0001083	Bra025901	g09079
OG0001088	Bra019237, Bra013781	g10398
OG0001088	Bra000594, Bra040496	g27068
OG0001089	Bra011549, Bra017668	g00463, g00462
OG0001089	Bra011548, Bra034641	g00464
OG0001090	Bra014984, Bra001921, Bra028345	g24019
OG0001091	Bra025214	g20835, g20751
OG0001091	Bra026945	g04776
OG0001092	Bra008311, Bra015665	g01309
OG0001092	Bra016405, Bra012293, Bra017948	g13380
OG0001093	Bra040941, Bra028099	g22003
OG0001093	Bra010573, Bra017780	g03048
OG0001094	Bra017423, Bra022318, Bra022314	g14606, g14607, g14597, g11620
OG0001095	Bra026654	g26981, g26978
OG0001095	Bra029196	g06547, g24054, g30301, g19117
OG0001096	Bra040421	g05282
OG0001097	Bra022677, Bra003027, Bra029055	g09468
OG0001097	Bra026341	g04511
OG0001098	Bra001109, Bra040137, Bra040188	g06196
OG0001098	Bra020610, Bra036134, Bra009997	g27877
OG0001099	Bra032265, Bra014154	g24280, g24279
OG0001099	Bra021299, Bra001701, Bra022308	g21574
OG0001100	Bra038852	g25845
OG0001101	Bra011899, Bra033563	g29035, g29036, g02712
OG0001102	Bra001312, Bra001313	g11655
OG0001103	Bra004238	g21078
OG0001103	Bra030026, Bra010961	g26701, g25687
OG0001104	Bra003499, Bra007678	g05348
OG0001104	Bra000451, Bra004459, Bra021396	g09584
OG0001105	Bra039732	g23203
OG0001105	Bra023771, Bra001899, Bra033890	g22792
OG0001106	Bra007002, Bra003136	g20372
OG0001106	Bra005212, Bra017201, Bra023108	g03645
OG0001107	Bra010772, Bra032390	g08612, g08656
OG0001108	Bra029934, Bra019369, Bra013630, Bra020841	g14412
OG0001108	Bra000772, Bra029452, Bra018478	g27685
OG0001109	Bra040415, Bra040115, Bra009989, Bra036117	g06250
OG0001110	Bra016606, Bra025981	g09854
OG0001110	Bra008032, Bra003881, Bra016058	g04000
OG0001111	Bra024541	g13723
OG0001111	Bra037901, Bra000699	g19885, g28411
OG0001112	Bra001320, Bra034060	g11667
OG0001113	Bra000860	g01946, g09055
OG0001113	Bra001260	g11805
OG0001114	Bra030191, Bra039939	g21382, g25092
OG0001115	Bra000755	g26564
OG0001115	Bra019346	g14379
OG0001116	Bra036589, Bra020556	g17859
OG0001116	Bra039405, Bra001170, Bra031432, Bra040249	g06367
OG0001117	Bra017789, Bra010578, Bra011715	g03033
OG0001117	Bra032151, Bra039208	g08722
OG0001118	Bra010461, Bra019162, Bra022770	g10275, g10274, g10277
OG0001119	Bra028896	g00648, g28624
OG0001120	Bra002509	g10933
OG0001121	Bra025586	g18627, g22392
OG0001122	Bra022878, Bra021773	g07975
OG0001123	Bra029807	g06062
OG0001124	Bra008679, Bra006319	g00200
OG0001124	Bra001038, Bra039166, Bra021472	g02551
OG0001126	Bra040153, Bra031950	g06146
OG0001126	Bra002148, Bra006449, Bra023669	g13268
OG0001127	Bra000027	g18329
OG0001127	Bra014854, Bra003161, Bra007035	g11407
OG0001128	Bra033542, Bra038038, Bra012735	g23121
OG0001128	Bra021219, Bra022196	g16213
OG0001129	Bra014145	g17407
OG0001129	Bra001693	g16105
OG0001130	Bra002871	g09239
OG0001131	Bra014732, Bra007179	g11592
OG0001131	Bra017051, Bra000150, Bra005012	g12547
OG0001133	Bra014704, Bra003232, Bra007228	g21246
OG0001133	Bra004568, Bra017003, Bra016997	g12631
OG0001134	Bra017545, Bra021023, Bra012616, Bra013284	g22618
OG0001135	Bra027726	g26999
OG0001135	Bra006187	g00105
OG0001136	Bra015755	g01189
OG0001136	Bra016456, Bra025837, Bra012243	g13501
OG0001137	Bra006530	g12116, g12117
OG0001138	Bra021407	g02474
OG0001139	Bra009801, Bra020474, Bra036526	g14167
OG0001139	Bra006071, Bra009014, Bra028575	g10532
OG0001140	Bra025768	g13870
OG0001140	Bra015837, Bra008203, Bra003749	g01094
OG0001141	Bra027928, Bra038924, Bra038157	g16256
OG0001141	Bra018568, Bra030768	g18166
OG0001142	Bra002986, Bra022722	g32447, g09395
OG0001142	Bra026361, Bra010408, Bra019058	g04535
OG0001143	Bra024742, Bra010995	g08147
OG0001144	Bra040872, Bra037247	g24997
OG0001144	Bra010502, Bra017744, Bra011656	g00298
OG0001145	Bra009595, Bra005720	g19462
OG0001145	Bra029765, Bra001309	g06116
OG0001146	Bra040840, Bra010388, Bra026294	g04458
OG0001146	Bra029390, Bra009724, Bra026471	g25259
OG0001147	Bra034008	g21034
OG0001147	Bra020050, Bra002247	g12128
OG0001148	Bra022906	g03201, g03172
OG0001149	Bra010055	g12198
OG0001149	Bra005929, Bra009281	g15660
OG0001150	Bra034678, Bra034677, Bra017699, Bra017700	g00412
OG0001151	Bra036342, Bra034235	g20716
OG0001151	Bra025194	g20712, g20713
OG0001152	Bra004712, Bra016854, Bra000276	g17375
OG0001152	Bra014551, Bra007422	g16500
OG0001160	Bra004293	g14774, g24407, g24417
OG0001161	Bra020122, Bra002321	g12046
OG0001161	Bra021083, Bra034951	g29796
OG0001162	Bra025940, Bra031007	g25904
OG0001162	Bra016010, Bra003851, Bra008086	g07057
OG0001163	Bra007526, Bra007525	g16631, g17000, g16628, g21695, g16630, g25597
OG0001164	Bra039438	g06312, g06315, g14766, g06314
OG0001165	Bra012312, Bra031372	g13792
OG0001166	Bra028477, Bra025547	g26881
OG0001167	Bra024054, Bra024055, Bra024057, Bra011205	g26848
OG0001167	Bra010279, Bra011207	g04161
OG0001168	Bra003420, Bra007544	g05565
OG0001168	Bra000369, Bra004888	g28009
OG0001169	Bra008308	g01300, g01302
OG0001169	Bra016408, Bra038565, Bra012292	g13385
OG0001170	Bra006630, Bra006631	g27120, g30553
OG0001170	Bra002426	g20322, g27118
OG0001172	Bra008051	g04039
OG0001172	Bra010315, Bra011140	g04241
OG0001173	Bra027302, Bra027306, Bra027307, Bra001566, Bra001567, Bra021579	g06765
OG0001174	Bra040645, Bra001146	g06295
OG0001174	Bra020586, Bra009952, Bra036628, Bra036624	g17950
OG0001175	Bra010022, Bra010021, Bra020624	g27695
OG0001175	Bra001202, Bra029582, Bra040274	g06453
OG0001176	Bra002582, Bra020328, Bra006724	g11036
OG0001177	Bra039698, Bra039697, Bra039696	g24910
OG0001177	Bra001544, Bra021544	g06819
OG0001178	Bra022172, Bra021187, Bra001637	g06540
OG0001179	Bra029302, Bra019622	g12181
OG0001179	Bra005932, Bra009272, Bra028703	g15668
OG0001180	Bra015990, Bra003844	g04095, g04094
OG0001180	Bra022240	g16128
OG0001182	Bra009069	g19172
OG0001182	Bra024335	g07480
OG0001182	Bra031895	g07477
OG0001183	Bra036058	g22233
OG0001183	Bra029964	g22294
OG0001184	Bra030974	g15116
OG0001184	Bra001603, Bra021126, Bra027219	g06657
OG0001185	Bra025485	g22467
OG0001185	Bra019276, Bra013724, Bra010543	g10460
OG0001186	Bra013122	g19661
OG0001186	Bra011468, Bra036978	g00567
OG0001187	Bra012365, Bra024567	g13682
OG0001187	Bra007942, Bra016188	g03819
OG0001188	Bra017302, Bra005314, Bra023026	g32315
OG0001188	Bra012693, Bra040092	g17193
OG0001189	Bra005958, Bra013246, Bra032989, Bra024655, Bra009311	g23856
OG0001189	Bra029328, Bra012978	g10828
OG0001190	Bra018809	g15252
OG0001190	Bra014213, Bra018808	g15253
OG0001190	Bra040667, Bra018807	g15254
OG0001191	Bra013263	g22649
OG0001191	Bra017527, Bra024998	g07741
OG0001192	Bra023509	g00255, g00256
OG0001192	Bra039137, Bra021488	g02596
OG0001193	Bra026984, Bra019749	g04854
OG0001193	Bra027030, Bra036653	g17856
OG0001194	Bra012083, Bra037164, Bra031813	g07231
OG0001194	Bra038863	g14951
OG0001195	Bra036198	g30627
OG0001195	Bra014071	g25022
OG0001196	Bra000249, Bra016898	g17264
OG0001196	Bra014589, Bra003315, Bra007376	g16587
OG0001197	Bra020899, Bra020900	g21754
OG0001197	Bra013542	g21755
OG0001197	Bra013541	g21753
OG0001198	Bra039160, Bra001034	g02560
OG0001198	Bra023526, Bra008689	g00213
OG0001199	Bra026797, Bra026182	g10100
OG0001199	Bra026642, Bra024864	g14554
OG0001200	Bra036694, Bra031110, Bra041041	g20880
OG0001200	Bra011065	g04359
OG0001201	Bra032772	g23155
OG0001201	Bra032773	g25146, g23157
OG0001202	Bra004158	g22077
OG0001202	Bra028145	g20613
OG0001203	Bra032846, Bra030063, Bra010921	g12923
OG0001204	Bra030179, Bra032341	g29266, g26333
OG0001205	Bra025479, Bra041087, Bra027750, Bra027687	g29757
OG0001206	Bra031930	g14917, g05695
OG0001206	Bra025462, Bra028504	g28539
OG0001207	Bra000042, Bra000041, Bra017133	g18360
OG0001207	Bra034859, Bra034170	g05921
OG0001208	Bra011969, Bra027010	g07128, g07127
OG0001209	Bra020402	g16887
OG0001209	Bra024067	g04169
OG0001209	Bra039221, Bra032132	g08757
OG0001210	Bra021900, Bra022970	g03324
OG0001210	Bra030134, Bra032310, Bra010832	g13091
OG0001211	Bra023639, Bra006423	g13323
OG0001211	Bra036445	g26798
OG0001211	Bra001084	g26797
