Orthogroup	Brassica_rapa	Boechera_stricta
OG0001586	Bra039307	Bostr.25993s0182.1.p
OG0001586	Bra007596, Bra014443	Bostr.13158s0124.1.p
OG0001587	Bra025783, Bra012198	Bostr.7128s0593.1.p
OG0001589	Bra003757	Bostr.3288s0187.1.p
OG0001589	Bra012186, Bra025754	Bostr.7128s0565.1.p
OG0001590	Bra005357, Bra017328	Bostr.23794s0577.1.p
OG0001591	Bra001934	Bostr.19424s0205.1.p
OG0001591	Bra022931, Bra005514	Bostr.23794s0784.1.p
OG0001592	Bra015974	Bostr.3288s0012.1.p
OG0001593	Bra010132	Bostr.0568s0519.1.p
OG0001593	Bra019524, Bra018084, Bra033773	Bostr.18473s0144.1.p
OG0001594	Bra018251, Bra022837, Bra021736	Bostr.24513s0083.1.p
OG0001594	Bra032439, Bra015472	Bostr.25219s0352.1.p
OG0001595	Bra019854	Bostr.13671s0326.1.p
OG0001596	Bra030840	Bostr.6758s0003.1.p, Bostr.6758s0004.1.p
OG0001596	Bra039385, Bra001499, Bra034690	Bostr.3640s0113.1.p, Bostr.12645s0021.1.p
OG0001597	Bra032535	Bostr.26675s0357.1.p
OG0001597	Bra033718, Bra036010	Bostr.3148s0052.1.p
OG0001598	Bra014775, Bra003208, Bra007141	Bostr.0697s0128.1.p
OG0001598	Bra014773	Bostr.0697s0130.1.p
OG0001599	Bra014404	Bostr.13158s0230.1.p
OG0001599	Bra000442, Bra021386, Bra004476	Bostr.25993s0048.1.p
OG0001600	Bra018065	Bostr.18473s0114.1.p
OG0001600	Bra038612, Bra029235	Bostr.0568s0490.1.p
OG0001601	Bra008537, Bra013019	Bostr.10199s0090.1.p
OG0001601	Bra009329, Bra005977, Bra028667	Bostr.13129s0144.1.p
OG0001602	Bra014974	Bostr.13671s0142.1.p
OG0001603	Bra031481	Bostr.10040s0137.1.p
OG0001603	Bra031752	Bostr.13671s0405.1.p
OG0001604	Bra032579, Bra033356	Bostr.4824s0062.1.p
OG0001604	Bra000878, Bra036265, Bra018548	Bostr.2983s0214.1.p
OG0001605	Bra002153, Bra006451	Bostr.26527s0376.1.p
OG0001606	Bra040466	Bostr.26959s0416.1.p
OG0001606	Bra039497, Bra035522, Bra035359	Bostr.29044s0013.1.p
OG0001607	Bra007575, Bra007397	Bostr.7867s0454.1.p
OG0001608	Bra014988	Bostr.19424s0250.1.p
OG0001608	Bra032743	Bostr.9017s0025.1.p
OG0001609	Bra005892	Bostr.13129s0338.1.p
OG0001609	Bra038671, Bra034822	Bostr.19424s1098.1.p
OG0001610	Bra012171	Bostr.18351s0384.1.p
OG0001610	Bra011156, Bra012169	Bostr.26675s0020.1.p
OG0001611	Bra000756, Bra029426	Bostr.25463s0118.1.p
OG0001611	Bra019347, Bra013655	Bostr.7867s0078.1.p
OG0001612	Bra026405, Bra010428	Bostr.7867s0499.1.p
OG0001612	Bra035564, Bra002922, Bra028986, Bra041161	Bostr.26833s0735.1.p
OG0001613	Bra012429	Bostr.12659s0285.1.p
OG0001613	Bra016259, Bra007886	Bostr.10273s0372.1.p
OG0001614	Bra020984, Bra013360	Bostr.30275s0368.1.p
OG0001615	Bra018042	Bostr.18473s0084.1.p
OG0001615	Bra035840, Bra038640, Bra029221	Bostr.0568s0460.1.p
OG0001616	Bra017437, Bra026646	Bostr.7903s0016.1.p
OG0001616	Bra016678, Bra026180	Bostr.7128s0103.1.p
OG0001617	Bra021551, Bra027347	Bostr.28625s0267.1.p
OG0001617	Bra039687, Bra030923	Bostr.0124s0170.1.p
OG0001618	Bra015731	Bostr.20129s0097.1.p
OG0001618	Bra012263, Bra016441, Bra025865	Bostr.7128s0691.1.p
OG0001619	Bra025292, Bra039074	Bostr.0556s0442.1.p
OG0001619	Bra025573	Bostr.7200s0030.1.p
OG0001620	Bra015256	Bostr.26675s0376.1.p, Bostr.26675s0379.1.p
OG0001620	Bra034215	Bostr.2983s0088.1.p
OG0001621	Bra038122, Bra016543, Bra025686, Bra018734, Bra018733	Bostr.7128s0486.1.p
OG0001622	Bra000417, Bra004551	Bostr.25993s0142.1.p
OG0001622	Bra007618, Bra003459	Bostr.13158s0158.1.p
OG0001623	Bra015124	Bostr.19424s0098.1.p
OG0001623	Bra032681	Bostr.2021s0029.1.p
OG0001624	Bra039170, Bra021470	Bostr.1460s0147.1.p
OG0001624	Bra006322, Bra008674	Bostr.2902s0314.1.p
OG0001625	Bra027542, Bra036021	Bostr.3148s0026.1.p
OG0001625	Bra041061, Bra020879, Bra013489	Bostr.10689s0052.1.p
OG0001626	Bra027498	Bostr.3148s0119.1.p
OG0001626	Bra030565	Bostr.26675s0320.1.p
OG0001627	Bra000344	Bostr.25993s0354.1.p
OG0001627	Bra003398, Bra014520, Bra007499	Bostr.29344s0007.1.p
OG0001628	Bra019796	Bostr.13671s0050.1.p, Bostr.13671s0162.1.p
OG0001628	Bra025222, Bra032941	Bostr.0556s0338.1.p
OG0001629	Bra040489	Bostr.15774s0219.1.p
OG0001629	Bra019197, Bra010477, Bra013854	Bostr.7867s0306.1.p
OG0001630	Bra025446, Bra028118	Bostr.9638s0061.1.p
OG0001630	Bra039748, Bra004143	Bostr.26959s0312.1.p
OG0001631	Bra036055	Bostr.6864s0232.1.p
OG0001631	Bra029995	Bostr.6864s0233.1.p
OG0001632	Bra009313	Bostr.13129s0167.1.p
OG0001632	Bra035941, Bra029334, Bra012981	Bostr.26833s0125.1.p
OG0001633	Bra025210, Bra032937	Bostr.0556s0323.1.p
OG0001633	Bra017222	Bostr.23794s0413.1.p
OG0001634	Bra019388	Bostr.7128s0511.1.p, Bostr.27991s0129.1.p
OG0001635	Bra002025, Bra009659	Bostr.18351s0175.1.p
OG0001635	Bra011600, Bra017705	Bostr.7867s1388.1.p
OG0001636	Bra009062	Bostr.13175s0097.1.p
OG0001636	Bra037808, Bra031873, Bra024364	Bostr.0568s0269.1.p
OG0001637	Bra034404	Bostr.28581s0001.1.p, Bostr.1774s0009.1.p
OG0001637	Bra000657	Bostr.9686s0010.1.p
OG0001638	Bra018771, Bra014167	Bostr.26675s0272.1.p
OG0001638	Bra037578	Bostr.19424s0806.1.p
OG0001639	Bra021923, Bra022981	Bostr.23794s0647.1.p
OG0001639	Bra032362, Bra010794	Bostr.15697s0312.1.p
OG0001640	Bra036918	Bostr.0597s0130.1.p
OG0001640	Bra023839, Bra031345	Bostr.19424s0430.1.p
OG0001641	Bra029775	Bostr.22252s0113.1.p
OG0001641	Bra023680, Bra006464	Bostr.26527s0359.1.p
OG0001642	Bra031546	Bostr.25219s0268.1.p
OG0001642	Bra018316, Bra022796, Bra021632	Bostr.24513s0198.1.p
OG0001643	Bra027043, Bra036660, Bra034515	Bostr.22157s0093.1.p
OG0001643	Bra016793, Bra026994, Bra019740	Bostr.13671s0252.1.p
OG0001644	Bra027802	Bostr.21234s0001.1.p
OG0001644	Bra028492	Bostr.7200s0140.1.p, Bostr.7200s0139.1.p
OG0001645	Bra011933, Bra035679	Bostr.25219s0179.1.p, Bostr.27991s0047.1.p
OG0001646	Bra026241, Bra012670	Bostr.30275s0183.1.p
OG0001646	Bra014431, Bra024936, Bra022139	Bostr.14419s0049.1.p
OG0001647	Bra024410, Bra031848	Bostr.0568s0218.1.p
OG0001647	Bra011792, Bra017856	Bostr.25542s0233.1.p
OG0001648	Bra040297, Bra029609, Bra001222	Bostr.22252s0350.1.p
OG0001648	Bra020663, Bra037437	Bostr.15774s0038.1.p
OG0001649	Bra020161, Bra002376	Bostr.26527s0083.1.p
OG0001649	Bra037017, Bra011425	Bostr.7867s1171.1.p
OG0001650	Bra033323	Bostr.4824s0009.1.p
OG0001650	Bra036303, Bra000903	Bostr.16335s0069.1.p
OG0001651	Bra017599	Bostr.8819s0089.1.p
OG0001651	Bra013366	Bostr.30275s0377.1.p
OG0001652	Bra004831	Bostr.25993s0339.1.p
OG0001652	Bra007506, Bra014512	Bostr.29344s0017.1.p
OG0001653	Bra009862, Bra036552	Bostr.29827s0238.1.p
OG0001653	Bra008952, Bra023332	Bostr.20055s0079.1.p
OG0001654	Bra031972, Bra036431	Bostr.17549s0001.1.p
OG0001654	Bra005968, Bra028672, Bra009318	Bostr.13129s0159.1.p
OG0001655	Bra029491, Bra000793	Bostr.25463s0011.1.p
OG0001655	Bra013584	Bostr.10089s0026.1.p
OG0001656	Bra009382	Bostr.13129s0055.1.p
OG0001656	Bra016887, Bra037769	Bostr.0568s0382.1.p, Bostr.0568s0379.1.p
OG0001657	Bra019737, Bra016796, Bra026996	Bostr.13671s0256.1.p
OG0001657	Bra027044	Bostr.22157s0094.1.p
OG0001658	Bra011808, Bra010642	Bostr.25542s0202.1.p
OG0001658	Bra038523, Bra030238	Bostr.19427s0014.1.p
OG0001659	Bra015481	Bostr.25219s0339.1.p
OG0001659	Bra022831	Bostr.24513s0107.1.p
OG0001660	Bra015728, Bra008268, Bra008269	Bostr.20129s0104.1.p
OG0001661	Bra026910, Bra017179, Bra005187, Bra000005	Bostr.23794s0326.1.p
OG0001661	Bra039812, Bra007020	Bostr.11793s0021.1.p
OG0001662	Bra032140, Bra039216	Bostr.27895s0114.1.p
OG0001663	Bra018304, Bra021651	Bostr.24513s0177.1.p
OG0001664	Bra005373	Bostr.23794s0601.1.p
OG0001664	Bra038405, Bra023160	Bostr.15697s0411.1.p
OG0001665	Bra009063, Bra028604	Bostr.13175s0098.1.p
OG0001665	Bra024366, Bra031871	Bostr.0568s0268.1.p
OG0001666	Bra021012, Bra013296	Bostr.30275s0297.1.p
OG0001666	Bra025028, Bra017567	Bostr.8819s0160.1.p
OG0001667	Bra000457	Bostr.13208s0052.1.p
OG0001667	Bra003511, Bra014390	Bostr.13158s0284.1.p
OG0001668	Bra019099, Bra026421	Bostr.7867s0478.1.p
OG0001668	Bra028949, Bra035598	Bostr.26833s0662.1.p
OG0001669	Bra028387, Bra035656	Bostr.27991s0163.1.p
OG0001671	Bra036971	Bostr.7867s1237.1.p
OG0001672	Bra028344, Bra014983	Bostr.19424s0257.1.p
OG0001672	Bra014003	Bostr.9017s0016.1.p
OG0001673	Bra004689	Bostr.18722s0001.1.p
OG0001673	Bra007380	Bostr.20903s0063.1.p
OG0001674	Bra040570, Bra033550	Bostr.30275s0077.1.p
OG0001675	Bra031247, Bra001809, Bra023909	Bostr.19424s0551.1.p
OG0001676	Bra036057	Bostr.6864s0226.1.p
OG0001676	Bra012904	Bostr.6864s0225.1.p
OG0001676	Bra036056, Bra012907	Bostr.6864s0230.1.p
OG0001677	Bra038574, Bra031450, Bra040665, Bra007765	Bostr.10040s0084.1.p
OG0001678	Bra028489	Bostr.7200s0135.1.p
OG0001678	Bra027640, Bra040943	Bostr.9600s0025.1.p
OG0001679	Bra016870	Bostr.25993s0532.1.p
OG0001680	Bra020856, Bra019395, Bra013592	Bostr.10089s0034.1.p
OG0001681	Bra002231, Bra020035	Bostr.26527s0270.1.p
OG0001681	Bra023367, Bra006142, Bra008910	Bostr.20055s0013.1.p
OG0001682	Bra032288, Bra014195	Bostr.26675s0221.1.p
OG0001682	Bra037542, Bra022380, Bra001732	Bostr.19424s0757.1.p
OG0001683	Bra002933, Bra028991, Bra035552	Bostr.26833s0755.1.p
OG0001683	Bra026395, Bra010423	Bostr.7867s0512.1.p
OG0001684	Bra023411, Bra006198, Bra006199, Bra023412, Bra008830	Bostr.2902s0077.1.p
OG0001685	Bra029779	Bostr.22252s0108.1.p
OG0001685	Bra025856	Bostr.7128s0682.1.p
OG0001686	Bra000713	Bostr.25463s0270.1.p
OG0001686	Bra000712, Bra037921	Bostr.25463s0271.1.p
OG0001687	Bra029650, Bra001253	Bostr.22252s0285.1.p
OG0001687	Bra040378	Bostr.22252s0286.1.p
OG0001688	Bra033350	Bostr.4824s0052.1.p
OG0001688	Bra000884, Bra036272, Bra018556	Bostr.16335s0013.1.p
OG0001689	Bra004898	Bostr.25993s0247.1.p
OG0001689	Bra014473, Bra007555	Bostr.13158s0075.1.p
OG0001690	Bra029429	Bostr.25463s0112.1.p
OG0001690	Bra013651, Bra020830	Bostr.7867s0075.1.p
OG0001691	Bra031278	Bostr.19424s0516.1.p
OG0001692	Bra013383	Bostr.10689s0012.1.p
OG0001692	Bra033381	Bostr.26675s0424.1.p
OG0001693	Bra015939, Bra008131	Bostr.3288s0058.1.p
OG0001693	Bra025666, Bra031035, Bra016553	Bostr.7128s0464.1.p
OG0001694	Bra003269	Bostr.20505s0031.1.p
OG0001694	Bra028805, Bra005789	Bostr.2128s0044.1.p
OG0001695	Bra037167	Bostr.0568s0057.1.p
OG0001695	Bra012880, Bra036850	Bostr.6864s0155.1.p
OG0001696	Bra013307, Bra021010	Bostr.30275s0316.1.p
OG0001696	Bra025040, Bra025039	Bostr.8819s0145.1.p
OG0001697	Bra025974, Bra030990	Bostr.7128s0356.1.p
OG0001697	Bra008041, Bra003872	Bostr.10273s0088.1.p
OG0001698	Bra004676	Bostr.25993s0556.1.p
OG0001698	Bra003303, Bra014600, Bra007365	Bostr.20903s0041.1.p
OG0001699	Bra034754	Bostr.3640s0022.1.p
OG0001700	Bra013601, Bra020855	Bostr.7867s0005.1.p
OG0001701	Bra014419	Bostr.13158s0186.1.p
OG0001701	Bra004530	Bostr.25993s0113.1.p
OG0001702	Bra036772	Bostr.2021s0110.1.p
OG0001702	Bra035983	Bostr.24901s0001.1.p
OG0001703	Bra024384, Bra037818	Bostr.0568s0245.1.p
OG0001703	Bra028586, Bra006061	Bostr.13175s0055.1.p
OG0001704	Bra041137, Bra033647	Bostr.3148s0200.1.p
OG0001704	Bra014049, Bra040259	Bostr.12302s0130.1.p
OG0001705	Bra022595	Bostr.7305s0024.1.p
OG0001705	Bra013905, Bra019148	Bostr.7867s0374.1.p
OG0001706	Bra029971	Bostr.6864s0264.1.p
OG0001706	Bra024425, Bra031844	Bostr.0568s0197.1.p
OG0001707	Bra012857	Bostr.6864s0113.1.p
OG0001708	Bra031008, Bra016575	Bostr.7128s0403.1.p
OG0001708	Bra008096, Bra015992	Bostr.10273s0016.1.p
OG0001709	Bra010877	Bostr.15697s0162.1.p
OG0001709	Bra005466	Bostr.23794s0708.1.p
OG0001710	Bra001614, Bra021143	Bostr.28625s0102.1.p
OG0001710	Bra018971, Bra030378	Bostr.0124s0042.1.p
OG0001711	Bra000232, Bra004630	Bostr.11568s0017.1.p
OG0001711	Bra001354	Bostr.22252s0031.1.p, Bostr.2128s0025.1.p
OG0001712	Bra019923	Bostr.13671s0424.1.p
OG0001712	Bra027164	Bostr.10040s0206.1.p
OG0001713	Bra033011	Bostr.0556s0426.1.p
OG0001714	Bra040609, Bra021408	Bostr.1460s0208.1.p
OG0001714	Bra023574, Bra008611	Bostr.2902s0396.1.p
OG0001715	Bra030051	Bostr.15697s0073.1.p
OG0001715	Bra019618	Bostr.26833s0051.1.p
OG0001716	Bra007856, Bra032096	Bostr.27895s0040.1.p
OG0001716	Bra011260, Bra024012	Bostr.7867s0988.1.p
OG0001717	Bra036148	Bostr.15774s0055.1.p
OG0001717	Bra001214, Bra029603, Bra040289	Bostr.22252s0360.1.p
OG0001718	Bra015724	Bostr.27991s0014.1.p
OG0001718	Bra016434, Bra025872	Bostr.7128s0698.1.p
OG0001719	Bra026720, Bra026048	Bostr.7128s0256.1.p
OG0001719	Bra035097, Bra003619	Bostr.20129s0353.1.p
OG0001721	Bra025468, Bra025469	Bostr.25375s0040.1.p
OG0001721	Bra027745, Bra027691	Bostr.29223s0066.1.p
OG0001722	Bra030435	Bostr.26675s0043.1.p
OG0001722	Bra023902, Bra031254, Bra001814	Bostr.19424s0541.1.p
OG0001723	Bra012563	Bostr.30275s0375.1.p
OG0001723	Bra025064, Bra017597	Bostr.8819s0092.1.p
OG0001724	Bra008027, Bra016068	Bostr.10273s0122.1.p
OG0001725	Bra019106, Bra026439	Bostr.7867s0461.1.p
OG0001725	Bra002827	Bostr.26833s0635.1.p
OG0001726	Bra030952	Bostr.0124s0115.1.p
OG0001726	Bra001579, Bra027284, Bra021586	Bostr.28625s0206.1.p
OG0001727	Bra027618, Bra027000	Bostr.30720s0001.1.p
OG0001727	Bra019781	Bostr.13671s0186.1.p
OG0001728	Bra012330, Bra040855	Bostr.12659s0104.1.p
OG0001728	Bra008015, Bra008016, Bra003887	Bostr.10273s0132.1.p
OG0001729	Bra036939, Bra032199, Bra014020	Bostr.12302s0067.1.p
OG0001729	Bra015673	Bostr.20129s0173.1.p
OG0001730	Bra016909, Bra004656	Bostr.25993s0595.1.p
OG0001730	Bra007334, Bra003287	Bostr.20903s0006.1.p
OG0001731	Bra025471	Bostr.25375s0041.1.p, Bostr.25375s0042.1.p
OG0001732	Bra021376, Bra032021	Bostr.19046s0017.1.p
OG0001732	Bra008582, Bra023590	Bostr.2618s0033.1.p
OG0001733	Bra034849, Bra034850, Bra001399	Bostr.19424s1067.1.p
OG0001733	Bra009140	Bostr.13129s0388.1.p
OG0001734	Bra036540, Bra009829	Bostr.29827s0288.1.p
OG0001734	Bra006088, Bra008991	Bostr.23997s0004.1.p
OG0001735	Bra005473	Bostr.23794s0720.1.p
OG0001735	Bra010886, Bra030081, Bra032888	Bostr.15697s0146.1.p
OG0001736	Bra031385, Bra012321, Bra030235	Bostr.12659s0084.1.p
OG0001736	Bra003651	Bostr.20129s0261.1.p
OG0001737	Bra012879	Bostr.6864s0154.1.p
OG0001738	Bra014138	Bostr.25219s0554.1.p
OG0001738	Bra022243, Bra001681, Bra021273	Bostr.19424s0892.1.p, Bostr.29827s0106.1.p
OG0001739	Bra015582, Bra031577, Bra030684	Bostr.23083s0001.1.p
OG0001740	Bra002070, Bra017688	Bostr.18351s0215.1.p
OG0001740	Bra017716, Bra028159, Bra011619	Bostr.7867s1408.1.p
OG0001741	Bra028685	Bostr.13129s0198.1.p
OG0001741	Bra029313, Bra012960	Bostr.26833s0095.1.p
OG0001742	Bra021431, Bra039182, Bra001052	Bostr.1460s0174.1.p
OG0001742	Bra008643, Bra006340	Bostr.2902s0349.1.p
OG0001743	Bra034705	Bostr.3640s0088.1.p
OG0001744	Bra017911	Bostr.25570s0017.1.p
OG0001744	Bra003695, Bra015703	Bostr.20129s0136.1.p
OG0001745	Bra018861	Bostr.26675s0114.1.p
OG0001745	Bra035793, Bra038260, Bra001783	Bostr.19424s0627.1.p
OG0001746	Bra015405, Bra030608	Bostr.25219s0443.1.p
OG0001747	Bra027208, Bra021133	Bostr.28625s0116.1.p
OG0001747	Bra030376, Bra018973	Bostr.0124s0045.1.p
OG0001748	Bra019773, Bra026967	Bostr.13671s0206.1.p, Bostr.13671s0205.1.p
OG0001748	Bra036640	Bostr.22157s0026.1.p
OG0001749	Bra001074, Bra032012	Bostr.19046s0027.1.p
OG0001749	Bra008573	Bostr.2618s0054.1.p
OG0001750	Bra016780, Bra026975, Bra019758	Bostr.13671s0227.1.p
OG0001750	Bra034527	Bostr.22157s0047.1.p
OG0001751	Bra028894	Bostr.6251s0099.1.p
OG0001751	Bra029739, Bra034046	Bostr.22252s0167.1.p
OG0001752	Bra032105, Bra007861	Bostr.27895s0050.1.p
OG0001752	Bra024028, Bra011242, Bra010259	Bostr.7867s0962.1.p
OG0001753	Bra006504, Bra002235	Bostr.26527s0264.1.p
OG0001753	Bra023374, Bra008895	Bostr.2902s0005.1.p
OG0001754	Bra040857	Bostr.12659s0102.1.p
OG0001754	Bra008019, Bra016078	Bostr.10273s0129.1.p
OG0001755	Bra013687, Bra013688	Bostr.7867s0132.1.p
OG0001755	Bra019308	Bostr.7903s0151.1.p, Bostr.7903s0153.1.p
OG0001756	Bra037473	Bostr.2392s0033.1.p
OG0001756	Bra020686	Bostr.2392s0032.1.p
OG0001757	Bra018120	Bostr.18473s0188.1.p
OG0001757	Bra029255, Bra010091, Bra010090	Bostr.0568s0558.1.p
OG0001758	Bra029309	Bostr.26833s0057.1.p
OG0001758	Bra028701, Bra005933	Bostr.13129s0230.1.p
OG0001759	Bra035919, Bra012939	Bostr.26833s0077.1.p
OG0001759	Bra028690, Bra009250	Bostr.13129s0205.1.p
OG0001760	Bra040831	Bostr.19424s0393.1.p
OG0001760	Bra036904, Bra039714, Bra037068, Bra018359	Bostr.16335s0005.1.p
OG0001761	Bra020913	Bostr.2679s0001.1.p, Bostr.2021s0011.1.p, Bostr.2021s0012.1.p
OG0001762	Bra025365, Bra033070	Bostr.0556s0544.1.p, Bostr.0556s0543.1.p
OG0001763	Bra032155	Bostr.27895s0130.1.p
OG0001764	Bra006989, Bra003130, Bra002742, Bra017692	Bostr.11793s0064.1.p
OG0001765	Bra032521, Bra015297	Bostr.26675s0332.1.p
OG0001765	Bra027504	Bostr.3148s0101.1.p
OG0001767	Bra018221, Bra038276, Bra018222, Bra009365, Bra028646	Bostr.23954s0001.1.p, Bostr.13129s0079.1.p, Bostr.25463s0058.1.p
OG0001768	Bra030222, Bra039921	Bostr.19427s0033.1.p
OG0001768	Bra010623, Bra011797	Bostr.25542s0226.1.p
OG0001769	Bra027349	Bostr.19424s0750.1.p
OG0001773	Bra028282, Bra029155	Bostr.15774s0333.1.p
OG0001773	Bra029154, Bra028283	Bostr.15774s0334.1.p
OG0001774	Bra000128, Bra005054	Bostr.23794s0144.1.p
OG0001774	Bra003206	Bostr.0697s0123.1.p
OG0001775	Bra022551, Bra029171	Bostr.15774s0286.1.p
OG0001775	Bra013877	Bostr.7867s0331.1.p
OG0001776	Bra023478	Bostr.2902s0197.1.p
OG0001776	Bra001004, Bra040699	Bostr.1460s0056.1.p
OG0001777	Bra002475	Bostr.26833s0188.1.p
OG0001777	Bra006655, Bra002474	Bostr.26833s0187.1.p
OG0001778	Bra011902, Bra033556	Bostr.25542s0012.1.p
OG0001779	Bra029791	Bostr.22252s0085.1.p
OG0001779	Bra009537, Bra005736	Bostr.2128s0123.1.p
OG0001780	Bra005775	Bostr.2128s0087.1.p
OG0001781	Bra034539, Bra011392	Bostr.7867s1139.1.p
OG0001781	Bra014315, Bra018948	Bostr.0124s0004.1.p
OG0001782	Bra030850	Bostr.6758s0019.1.p
OG0001782	Bra001504, Bra039389, Bra034679	Bostr.3640s0122.1.p
OG0001783	Bra013908, Bra010452, Bra013910	Bostr.7867s0380.1.p, Bostr.7867s0383.1.p
OG0001784	Bra013483, Bra038385, Bra013484	Bostr.10689s0044.1.p
OG0001784	Bra013482	Bostr.10689s0043.1.p
OG0001785	Bra015687	Bostr.20129s0153.1.p
OG0001786	Bra005687, Bra028901	Bostr.6251s0111.1.p
OG0001787	Bra017401	Bostr.18473s0269.1.p, Bostr.29344s0014.1.p, Bostr.18473s0244.1.p, Bostr.18473s0247.1.p
OG0001788	Bra023715	Bostr.26527s0282.1.p
OG0001788	Bra040236, Bra001179, Bra020784	Bostr.2570s0056.1.p
OG0001789	Bra009464	Bostr.2128s0015.1.p
OG0001789	Bra010922, Bra032845	Bostr.15697s0099.1.p
OG0001790	Bra040599, Bra021411, Bra001063	Bostr.1460s0196.1.p
OG0001790	Bra006354	Bostr.2902s0378.1.p
OG0001791	Bra007441, Bra003369, Bra014546	Bostr.20903s0156.1.p
OG0001792	Bra028754	Bostr.13129s0412.1.p
OG0001792	Bra001392, Bra034863	Bostr.19424s1051.1.p
OG0001793	Bra003897, Bra003896	Bostr.10273s0140.1.p
OG0001794	Bra011609	Bostr.7867s1397.1.p
OG0001794	Bra009651	Bostr.18351s0194.1.p, Bostr.18351s0193.1.p
OG0001795	Bra015239	Bostr.7903s0077.1.p
OG0001795	Bra016552, Bra025667	Bostr.7128s0465.1.p
OG0001796	Bra024484	Bostr.18351s0265.1.p
OG0001797	Bra032176	Bostr.27895s0157.1.p
OG0001797	Bra010593, Bra011749, Bra017813	Bostr.7867s1585.1.p
OG0001798	Bra030229	Bostr.15774s0099.1.p
OG0001798	Bra035454, Bra010920, Bra027881	Bostr.30057s0104.1.p
OG0001800	Bra031799, Bra016798, Bra019735	Bostr.13671s0258.1.p
OG0001801	Bra006575, Bra002329, Bra020126	Bostr.26527s0130.1.p
OG0001802	Bra035830, Bra001770, Bra027930, Bra038247	Bostr.26675s0138.1.p
OG0001803	Bra026018	Bostr.7128s0293.1.p
OG0001804	Bra040118, Bra040410	Bostr.2570s0209.1.p
OG0001804	Bra036119, Bra009991	Bostr.29827s0016.1.p
OG0001805	Bra010222, Bra011296	Bostr.7867s1027.1.p
OG0001806	Bra031688	Bostr.25494s0055.1.p
OG0001806	Bra031920	Bostr.0568s0356.1.p
OG0001807	Bra018383	Bostr.27991s0212.1.p
OG0001808	Bra003967, Bra016241	Bostr.10273s0351.1.p
OG0001809	Bra016185	Bostr.10273s0272.1.p, Bostr.10273s0273.1.p
OG0001809	Bra024565	Bostr.12659s0172.1.p
OG0001810	Bra016797, Bra019736	Bostr.13671s0257.1.p
OG0001811	Bra008797	Bostr.2902s0120.1.p
OG0001811	Bra001450, Bra034757	Bostr.3640s0015.1.p
OG0001812	Bra039082, Bra025272, Bra033006	Bostr.0556s0419.1.p
OG0001813	Bra006810, Bra020427	Bostr.26833s0494.1.p
OG0001813	Bra013920	Bostr.7867s0396.1.p
OG0001814	Bra010973	Bostr.15697s0022.1.p
OG0001814	Bra033972, Bra004062, Bra004268	Bostr.26959s0110.1.p
OG0001815	Bra008049, Bra018134, Bra035178	Bostr.20129s0466.1.p, Bostr.29505s0016.1.p
OG0001816	Bra017418, Bra026611	Bostr.0556s0047.1.p
OG0001816	Bra026208	Bostr.24340s0011.1.p
OG0001817	Bra010848	Bostr.15697s0211.1.p
OG0001817	Bra021895	Bostr.23794s0692.1.p
OG0001818	Bra011655, Bra017742	Bostr.7867s1467.1.p
OG0001819	Bra017989, Bra019593	Bostr.18473s0011.1.p
OG0001819	Bra036512, Bra009765	Bostr.5763s0065.1.p
OG0001820	Bra019253	Bostr.1525s0001.1.p
OG0001821	Bra011232	Bostr.7867s0948.1.p
OG0001821	Bra032118, Bra004643, Bra039237	Bostr.27895s0066.1.p
OG0001822	Bra011133	Bostr.7867s0821.1.p
OG0001822	Bra040678, Bra036717, Bra031085	Bostr.18351s0414.1.p
OG0001823	Bra034648, Bra017672, Bra011555, Bra011554	Bostr.26833s0403.1.p, Bostr.7867s1331.1.p
OG0001824	Bra015789	Bostr.20129s0044.1.p
OG0001824	Bra025811	Bostr.7128s0633.1.p
OG0001825	Bra035152, Bra008439	Bostr.20129s0431.1.p
OG0001825	Bra005614	Bostr.24513s0011.1.p
OG0001826	Bra034711, Bra039361	Bostr.3640s0077.1.p
OG0001827	Bra037861	Bostr.3877s0016.1.p
OG0001827	Bra029790, Bra001298	Bostr.22252s0086.1.p
OG0001828	Bra016415, Bra017931	Bostr.12659s0008.1.p
OG0001828	Bra015680, Bra008299	Bostr.20129s0162.1.p
OG0001829	Bra018157	Bostr.18473s0231.1.p
OG0001829	Bra010075, Bra029267	Bostr.0568s0572.1.p
OG0001830	Bra016631, Bra026027, Bra026707	Bostr.7128s0280.1.p
OG0001830	Bra008387, Bra035078	Bostr.20129s0330.1.p
OG0001831	Bra010756, Bra032781	Bostr.0597s0037.1.p
OG0001831	Bra023721, Bra014960	Bostr.19424s0290.1.p
OG0001832	Bra008235, Bra015798	Bostr.20129s0036.1.p
OG0001832	Bra025802	Bostr.7128s0624.1.p
OG0001833	Bra033755	Bostr.25463s0083.1.p
OG0001834	Bra015417, Bra032468	Bostr.25219s0437.1.p
OG0001834	Bra022880, Bra005575	Bostr.17402s0002.1.p
OG0001835	Bra004624	Bostr.11568s0028.1.p
OG0001835	Bra014644, Bra007312	Bostr.20505s0023.1.p
OG0001836	Bra013517	Bostr.10689s0077.1.p
OG0001836	Bra029563	Bostr.2983s0059.1.p
OG0001837	Bra029487, Bra000787	Bostr.25463s0020.1.p
OG0001837	Bra013593	Bostr.10089s0035.1.p
OG0001838	Bra035627	Bostr.26833s0594.1.p
