Orthogroup	Brassica_rapa	Arabidopsis_lyrata
OG0000982	Bra010389, Bra026295, Bra040839	scaffold_701473.1
OG0000982	Bra003068, Bra029079, Bra022643	scaffold_801806.1
OG0000983	Bra003422, Bra014483, Bra007545	scaffold_503291.1
OG0000983	Bra040325, Bra000372	fgenesh2_kg.4__2705__AT2G45120.1
OG0000984	Bra011210, Bra010278, Bra039897, Bra010277	Al_scaffold_0007_1135, Al_scaffold_0006_1721, Al_scaffold_0006_1720, fgenesh2_kg.7__1216__AT4G29770.1
OG0000985	Bra026231, Bra021065	fgenesh2_kg.7__2593__AT4G17170.1
OG0000985	Bra011645	fgenesh2_kg.7__486__AT4G35860.1
OG0000986	Bra015892, Bra003785	scaffold_202419.1
OG0000986	Bra010102	fgenesh2_kg.8__2258__AT5G62620.1
OG0000987	Bra007699, Bra014395, Bra034697, Bra007698	scaffold_503554.1, fgenesh2_kg.5__2767__AT3G62750.1, fgenesh2_kg.7__1432__AT4G27830.1, fgenesh2_kg.5__2766__AT4G27830.1
OG0000988	Bra001967, Bra001966	Al_scaffold_0003_3873, fgenesh1_pg.C_scaffold_3003277
OG0000989	Bra006638	Al_scaffold_0006_2145
OG0000989	Bra002431	scaffold_403469.1, fgenesh2_kg.6__2265__AT5G22792.1
OG0000989	Bra021857, Bra006604, Bra006637, Bra020214	scaffold_401801.1
OG0000990	Bra031526, Bra017888	scaffold_200603.1
OG0000990	Bra016328	scaffold_102724.1
OG0000991	Bra022203	scaffold_303722.1
OG0000991	Bra009725, Bra032008	fgenesh1_pm.C_scaffold_3001502
OG0000992	Bra022658, Bra029064	Al_scaffold_0008_1745
OG0000992	Bra026311	fgenesh2_kg.7__1444__AT4G27730.1
OG0000992	Bra029065, Bra003050	fgenesh1_pm.C_scaffold_8001049
OG0000993	Bra037461, Bra036160	fgenesh2_kg.8__760__AT5G48810.1
OG0000993	Bra022898, Bra021809, Bra005564	fgenesh2_kg.4__1268__AT2G32720.1
OG0000994	Bra013622	scaffold_702106.1
OG0000994	Bra020845	scaffold_702107.1
OG0000995	Bra016354, Bra012370	fgenesh2_kg.1__2541__AT1G23290.1
OG0000995	Bra003951, Bra007929	fgenesh2_kg.2__1320__AT1G70600.1
OG0000996	Bra028519	scaffold_703733.1
OG0000996	Bra032628, Bra033276	fgenesh2_kg.1__107__AT1G01230.1
OG0000997	Bra017078, Bra005044, Bra005045, Bra005046	fgenesh2_kg.4__2017__AT2G39380.1
OG0000997	Bra014771, Bra007146	fgenesh2_kg.5__1929__AT3G55150.1
OG0000998	Bra034322, Bra012034	fgenesh2_kg.4__659__AT2G27100.1, fgenesh2_kg.4__653__AT2G27100.1
OG0000999	Bra006826, Bra020451, Bra002738	fgenesh2_kg.8__1646__AT5G57320.1
OG0000999	Bra011168, Bra024105, Bra010303	fgenesh2_kg.7__1170__AT4G30160.1
OG0001000	Bra010472	fgenesh2_kg.7__1736__AT4G25300.1
OG0001000	Bra026693	scaffold_101888.1
OG0001001	Bra007889, Bra016252, Bra016253	scaffold_2200004.1
OG0001001	Bra012409, Bra012422, Bra024659	fgenesh2_kg.1__2644__AT1G27130.1
OG0001002	Bra009119	fgenesh2_kg.6__483__AT5G05550.1
OG0001002	Bra028292, Bra034165, Bra034866	scaffold_301280.1
OG0001003	Bra003720, Bra015751, Bra008257	fgenesh1_pm.C_scaffold_2001595
OG0001003	Bra025846, Bra016449, Bra012251	fgenesh2_kg.1__2272__AT1G20823.1
OG0001004	Bra007632, Bra014418	fgenesh2_kg.5__2679__AT3G61850.1
OG0001004	Bra039272, Bra004525, Bra000429	scaffold_403629.1
OG0001005	Bra036044, Bra029986	fgenesh2_kg.5__1350__AT3G50000.1
OG0001006	Bra000769, Bra000768, Bra029445, Bra018471	fgenesh2_kg.6__3170__AT4G12310.1
OG0001008	Bra003355, Bra007417	fgenesh2_kg.5__2321__AT3G58750.1
OG0001008	Bra004720	fgenesh2_kg.4__2436__AT2G42790.1
OG0001009	Bra035115, Bra040629, Bra035116	fgenesh2_kg.2__2236__AT1G79410.1
OG0001009	Bra026060, Bra026061, Bra026062	fgenesh2_kg.1__1787__AT1G16370.1
OG0001010	Bra039851	scaffold_304246.1
OG0001010	Bra032280, Bra014182	Al_scaffold_0001_4248
OG0001011	Bra012474, Bra024741, Bra010996	fgenesh2_kg.1__2776__AT1G25490.1
OG0001012	Bra040481	fgenesh1_pm.C_scaffold_4002140, scaffold_403330.1, scaffold_403331.1, scaffold_403333.1, scaffold_403391.1, scaffold_403327.1
OG0001012	Bra020717, Bra002770	fgenesh2_kg.8__1609__AT5G57020.1
OG0001013	Bra011686, Bra017764, Bra011687, Bra010557	fgenesh2_kg.7__419__AT4G36500.1
OG0001014	Bra001628, Bra027172	scaffold_402435.1, scaffold_402441.1, fgenesh2_kg.3__1786__AT3G16330.1
OG0001014	Bra030397, Bra041079	scaffold_105000.1
OG0001015	Bra039316, Bra004936, Bra000402	fgenesh2_kg.4__2774__AT2G45760.1
OG0001015	Bra014450, Bra007581, Bra033129	fgenesh2_kg.5__2587__AT3G61190.1
OG0001016	Bra033362, Bra033363	scaffold_704192.1, scaffold_200658.1, fgenesh1_pg.C_scaffold_2000491, fgenesh1_pm.C_scaffold_1000178
OG0001016	Bra000874, Bra036257	scaffold_604014.1
OG0001017	Bra026896, Bra026895, Bra019715	scaffold_101520.1
OG0001017	Bra025144	fgenesh2_kg.5__300__AT2G04038.1
OG0001018	Bra039920	fgenesh2_kg.3__3420__AT2G18150.1
OG0001019	Bra022623	scaffold_603197.1
OG0001019	Bra031368	fgenesh1_pm.C_scaffold_1001883
OG0001019	Bra008340, Bra015641	scaffold_202766.1
OG0001020	Bra035058	fgenesh1_pm.C_scaffold_2001801, scaffold_26200003.1
OG0001020	Bra035056	scaffold_202843.1, scaffold_26200002.1
OG0001021	Bra040749, Bra014057, Bra005478, Bra005479	fgenesh2_kg.1__3820__AT1G47128.1
OG0001021	Bra035339, Bra033657	scaffold_800791.1
OG0001022	Bra000216, Bra004604	fgenesh2_kg.4__2247__AT2G41180.1
OG0001022	Bra007265, Bra014674, Bra014675	fgenesh2_kg.5__2103__AT3G56710.1
OG0001023	Bra014282, Bra018894, Bra030458	fgenesh2_kg.1__4181__AT1G51120.1
OG0001023	Bra018869, Bra018854, Bra030476	fgenesh2_kg.1__4154__AT1G50680.1
OG0001024	Bra015275	fgenesh2_kg.1__317__AT1G03880.1
OG0001024	Bra036011, Bra033721	fgenesh2_kg.8__396__AT5G44120.3
OG0001025	Bra025116	scaffold_500334.1
OG0001025	Bra026880, Bra026879, Bra026878, Bra016724, Bra019700	fgenesh2_kg.1__1496__AT1G13830.1
OG0001027	Bra005157, Bra000022, Bra000021	Al_scaffold_0068_6
OG0001028	Bra017922, Bra012283	scaffold_102407.1
OG0001028	Bra017923, Bra012284	fgenesh2_kg.1__2343__AT1G21525.1, scaffold_102409.1
OG0001029	Bra021663, Bra018295, Bra022812	scaffold_401569.1, Al_scaffold_0004_1504
OG0001029	Bra015521	scaffold_100666.1
OG0001030	Bra027214, Bra021131	fgenesh2_kg.3__1727__AT3G15710.1
OG0001030	Bra030372, Bra018976	fgenesh2_kg.1__4340__AT1G52600.1
OG0001032	Bra022628	fgenesh2_kg.8__1192__AT5G53090.1
OG0001032	Bra029096	scaffold_801777.1
OG0001032	Bra019028, Bra026308	fgenesh2_kg.7__1440__AT4G27760.1
OG0001033	Bra031968	scaffold_300376.1
OG0001033	Bra006441, Bra002136, Bra023665	fgenesh2_kg.6__1813__AT5G18130.1
OG0001034	Bra016963, Bra000212, Bra004592	fgenesh1_pm.C_scaffold_4001834
OG0001034	Bra007258, Bra014682, Bra003245	fgenesh2_kg.5__2096__AT3G56620.1
OG0001035	Bra025950, Bra025949, Bra004258	fgenesh1_pg.C_scaffold_4000403, Al_scaffold_0004_519, fgenesh1_pm.C_scaffold_1001523
OG0001036	Bra023424, Bra023425, Bra008813	fgenesh2_kg.6__1315__AT5G13620.1
OG0001036	Bra032279, Bra036455, Bra039491, Bra018783	scaffold_104569.1
OG0001037	Bra002135, Bra006440	scaffold_601877.1
OG0001037	Bra036429, Bra001092, Bra031969	fgenesh2_kg.3__339__AT3G03860.1
OG0001038	Bra032563, Bra033366	scaffold_100246.1
OG0001038	Bra014382, Bra007714, Bra003515	scaffold_503575.1
OG0001039	Bra029330	scaffold_802760.1
OG0001039	Bra035938	fgenesh2_kg.8__2087__AT5G61190.1
OG0001040	Bra013183	scaffold_303291.1
OG0001040	Bra025297, Bra039070, Bra033022	scaffold_500725.1, fgenesh2_kg.5__548__AT3G27690.1
OG0001041	Bra024400	Al_scaffold_0008_3110, scaffold_11200001.1
OG0001041	Bra028580, Bra006066	scaffold_601066.1
OG0001042	Bra017425	fgenesh2_kg.5__121__AT2G02060.1
OG0001042	Bra026202	fgenesh2_kg.1__1592__AT1G14600.1
OG0001043	Bra035133	scaffold_202953.1
OG0001043	Bra026730, Bra026079, Bra016642	fgenesh2_kg.1__1769__AT1G16170.1
OG0001044	Bra007759	fgenesh2_kg.4__551__AT2G26330.1
OG0001044	Bra009287	scaffold_600714.1
OG0001045	Bra039574	scaffold_104046.1, Al_scaffold_0001_3724
OG0001045	Bra000652, Bra037870, Bra018491, Bra014833, Bra040823	Al_scaffold_0006_2988
OG0001046	Bra036038, Bra029984, Bra012916	scaffold_502012.1
OG0001047	Bra003242, Bra032031, Bra007248	fgenesh1_pm.C_scaffold_5001705
OG0001048	Bra026378, Bra020151, Bra010411	scaffold_701576.1
OG0001048	Bra001795, Bra023941, Bra035768	fgenesh2_kg.3__2285__AT3G20580.1
OG0001049	Bra010429, Bra019086, Bra019087	fgenesh2_kg.3__3563__AT2G20350.1
OG0001049	Bra012123	fgenesh1_pm.C_scaffold_8002212
OG0001049	Bra034249, Bra034250	fgenesh1_pm.C_scaffold_2000650, fgenesh1_pm.C_scaffold_8002213
OG0001050	Bra010917	fgenesh2_kg.1__2941__AT1G27770.1
OG0001050	Bra039940	Al_scaffold_0004_245
OG0001050	Bra010605, Bra017841	fgenesh2_kg.7__288__AT4G37640.1
OG0001051	Bra003885, Bra016066	Al_scaffold_0002_1921
OG0001051	Bra026676, Bra025985	fgenesh2_kg.1__1887__AT1G17285.1, scaffold_101928.1
OG0001052	Bra019677, Bra019678	fgenesh1_pg.C_scaffold_1001271
OG0001052	Bra019676, Bra026856, Bra026857, Bra016708	fgenesh2_kg.1__1525__AT1G14130.1
OG0001053	Bra041127, Bra019434	fgenesh2_kg.5__855__AT3G44510.1
OG0001053	Bra018636, Bra030720	Al_scaffold_0001_789
OG0001054	Bra018129, Bra018130, Bra019508	fgenesh1_pg.C_scaffold_5001246
OG0001055	Bra037277, Bra009653	fgenesh2_kg.3__3315__AT2G17290.1
OG0001055	Bra011605	fgenesh2_kg.7__549__AT4G35310.1
OG0001056	Bra031142	fgenesh2_kg.3__3627__AT2G20835.1
OG0001056	Bra018994	scaffold_105099.1
OG0001056	Bra027233	scaffold_301817.1
OG0001058	Bra037155, Bra012092	fgenesh2_kg.8__2748__AT5G26310.1
OG0001058	Bra012893, Bra012892, Bra038862	fgenesh2_kg.5__1412__AT3G50740.1
OG0001059	Bra001428	fgenesh2_kg.3__1244__AT3G11940.2
OG0001059	Bra017199, Bra023113, Bra005209	fgenesh2_kg.4__1779__AT2G37270.2
OG0001061	Bra007821	fgenesh2_kg.4__420__AT2G25060.1
OG0001061	Bra023981, Bra010217, Bra011303	fgenesh2_kg.7__986__AT4G31840.1
OG0001062	Bra008734	fgenesh1_pg.C_scaffold_6001218
OG0001062	Bra013043	fgenesh2_kg.3__3269__AT2G16890.2, Al_scaffold_0003_3635
OG0001064	Bra008454, Bra008456, Bra008459	fgenesh1_pg.C_scaffold_2000969, Al_scaffold_0002_1233, scaffold_203007.1
OG0001065	Bra005223, Bra017211, Bra023093	fgenesh2_kg.4__1748__AT2G37030.1
OG0001065	Bra003125, Bra006984	fgenesh1_pg.C_scaffold_5001812
OG0001066	Bra040774, Bra030116	fgenesh2_kg.1__3065__AT1G29050.1
OG0001067	Bra019592	scaffold_501917.1, fgenesh1_pg.C_scaffold_5001425
OG0001068	Bra030997	fgenesh2_kg.1__1924__AT1G17610.1
OG0001069	Bra022444, Bra023762, Bra023761, Bra001908	fgenesh1_pm.C_scaffold_3002061, scaffold_103068.1
OG0001072	Bra030547, Bra015276	fgenesh2_kg.7__361__AT4G37120.1, fgenesh2_kg.2__802__AT4G37120.1
OG0001074	Bra004788	fgenesh2_kg.4__2560__AT2G43840.1
OG0001074	Bra000330, Bra000329, Bra004787	fgenesh2_kg.4__2558__AT2G43820.1
OG0001075	Bra013917, Bra019142	fgenesh2_kg.7__1677__AT4G25760.1
OG0001075	Bra006808, Bra002707, Bra002705, Bra020422, Bra020423	fgenesh2_kg.8__1681__AT5G57685.1
OG0001076	Bra003778, Bra008172, Bra015880	fgenesh2_kg.2__1763__AT1G74950.1
OG0001076	Bra025713, Bra031065, Bra016520	fgenesh2_kg.1__2096__AT1G19180.2
OG0001077	Bra040853	fgenesh2_kg.7__3438__AT5G39850.1
OG0001077	Bra023511, Bra006289, Bra008713	fgenesh2_kg.6__1496__AT5G15200.1
OG0001078	Bra008711	Al_scaffold_0006_1431
OG0001078	Bra030652, Bra015499	Al_scaffold_0001_584
OG0001078	Bra018288	fgenesh2_kg.4__1078__AT2G30950.1
OG0001080	Bra007778	fgenesh2_kg.4__489__AT2G25760.1
OG0001080	Bra001518, Bra027409, Bra021498	fgenesh2_kg.3__1460__AT3G13670.1
OG0001081	Bra032323, Bra010825, Bra030142	fgenesh2_kg.1__3114__AT1G29520.1
OG0001081	Bra017541, Bra022040	fgenesh1_pm.C_scaffold_8000115
OG0001082	Bra005851	fgenesh2_kg.6__466__AT5G05370.1
OG0001082	Bra034149	scaffold_301250.1
OG0001083	Bra025901	scaffold_604005.1
OG0001085	Bra022579	scaffold_801655.1
OG0001085	Bra022580	fgenesh1_pg.C_scaffold_8001243
OG0001085	Bra028293	fgenesh2_kg.4__2302__AT5G52140.1, fgenesh2_kg.8__1100__AT5G52140.1
OG0001088	Bra019237, Bra013781	Al_scaffold_0007_1720
OG0001088	Bra000594, Bra040496	fgenesh2_kg.8__848__AT5G49720.1
OG0001089	Bra011549, Bra017668	fgenesh2_kg.7__623__AT4G34650.1
OG0001089	Bra011548, Bra034641	scaffold_700663.1
OG0001090	Bra014984, Bra001921, Bra028345	fgenesh2_kg.3__2594__AT3G23810.1
OG0001091	Bra025214	fgenesh2_kg.7__3608__AT5G38030.1, scaffold_500556.1
OG0001092	Bra008311, Bra015665	fgenesh2_kg.2__2046__AT1G77510.1
OG0001092	Bra016405, Bra012293, Bra017948	scaffold_102441.1
OG0001093	Bra040941, Bra028099	fgenesh1_pg.C_scaffold_3003249
OG0001093	Bra010573, Bra017780	fgenesh2_kg.7__393__AT4G36740.1
OG0001094	Bra017423, Bra022318, Bra022314	scaffold_500137.1, scaffold_500138.1, scaffold_500139.1, scaffold_500140.1, Al_scaffold_0005_116
OG0001095	Bra026654	scaffold_200037.1
OG0001095	Bra029196	scaffold_301949.1, Al_scaffold_0003_2617, Al_scaffold_0006_849
OG0001096	Bra040421	scaffold_503585.1
OG0001097	Bra022677, Bra003027, Bra029055	Al_scaffold_0008_1800
OG0001097	Bra026341	scaffold_701529.1
OG0001098	Bra001109, Bra040137, Bra040188	fgenesh2_kg.3__408__AT3G04510.1
OG0001098	Bra020610, Bra036134, Bra009997	fgenesh2_kg.6__2784__AT5G28490.1
OG0001100	Bra038852	Al_scaffold_0003_3983
OG0001101	Bra011899, Bra033563	fgenesh2_kg.5__968__AT3G45970.1, fgenesh2_kg.7__35__AT4G38400.1
OG0001102	Bra001312, Bra001313	fgenesh1_pg.C_scaffold_3000839, fgenesh1_pm.C_scaffold_3000755
OG0001103	Bra004238	fgenesh1_pm.C_scaffold_2000809
OG0001103	Bra030026, Bra010961	scaffold_103032.1
OG0001104	Bra003499, Bra007678	fgenesh2_kg.5__2738__AT3G62410.1
OG0001104	Bra000451, Bra004459, Bra021396	fgenesh2_kg.4__2977__AT2G47400.1
OG0001105	Bra039732	scaffold_703152.1
OG0001105	Bra023771, Bra001899, Bra033890	scaffold_302766.1
OG0001106	Bra007002, Bra003136	fgenesh1_pg.C_scaffold_5001832
OG0001106	Bra005212, Bra017201, Bra023108	fgenesh2_kg.4__1774__AT2G37220.1
OG0001107	Bra010772, Bra032390	scaffold_500890.1, fgenesh1_pm.C_scaffold_5000501
OG0001108	Bra029934, Bra019369, Bra013630, Bra020841	fgenesh2_kg.7__2039__AT4G22620.1
OG0001108	Bra000772, Bra029452, Bra018478	scaffold_603690.1
OG0001109	Bra040415, Bra040115, Bra009989, Bra036117	fgenesh2_kg.3__468__AT3G04920.1
OG0001110	Bra016606, Bra025981	fgenesh2_kg.1__1892__AT1G17345.1
OG0001110	Bra008032, Bra003881, Bra016058	scaffold_202168.1
OG0001111	Bra024541	scaffold_102589.1
OG0001111	Bra037901, Bra000699	fgenesh2_kg.6__2983__AT4G10040.1
OG0001112	Bra001320, Bra034060	fgenesh2_kg.3__942__AT3G09260.1
OG0001112	Bra029755	Al_scaffold_0003_2134
OG0001113	Bra000860	Al_scaffold_0001_239, fgenesh2_kg.6__3408__AT4G02840.1
OG0001113	Bra001260	Al_scaffold_0003_785
OG0001114	Bra030191, Bra039939	scaffold_703225.1, fgenesh1_pg.C_scaffold_7002586, scaffold_43300002.1, fgenesh1_pg.C_scaffold_7002628, fgenesh1_pm.C_scaffold_8000673
OG0001115	Bra000755	fgenesh1_pg.C_scaffold_6002866
OG0001115	Bra019346	fgenesh2_kg.7__2006__AT4G22920.1
OG0001116	Bra036589, Bra020556	Al_scaffold_0006_2587
OG0001116	Bra039405, Bra001170, Bra031432, Bra040249	scaffold_300652.1
OG0001117	Bra017789, Bra010578, Bra011715	fgenesh2_kg.7__377__AT4G37240.1
OG0001117	Bra032151, Bra039208	scaffold_400355.1
OG0001118	Bra010461, Bra019162, Bra022770	fgenesh2_kg.7__1712__AT4G25470.1
OG0001119	Bra002942	fgenesh2_kg.8__1395__AT5G54960.1
OG0001119	Bra028896	fgenesh2_kg.7__814__AT4G33070.1, fgenesh1_pg.C_scaffold_6000064, fgenesh2_kg.6__79__AT5G01320.1
OG0001120	Bra002509	scaffold_802655.1
OG0001121	Bra025586	scaffold_400905.1, fgenesh2_kg.7__3321__AT5G40880.1
OG0001122	Bra022878, Bra021773	Al_scaffold_0002_50, fgenesh1_pm.C_scaffold_4001008
OG0001123	Bra029807	fgenesh2_kg.3__1021__AT3G09930.1
OG0001124	Bra008679, Bra006319	fgenesh2_kg.6__1552__AT5G15740.1
OG0001124	Bra001038, Bra039166, Bra021472	scaffold_300160.1
OG0001126	Bra040153, Bra031950	fgenesh2_kg.3__366__AT3G04060.1
OG0001126	Bra002148, Bra006449, Bra023669	fgenesh1_pm.C_scaffold_6001462
OG0001127	Bra000027	fgenesh2_kg.4__1856__AT2G37900.1
OG0001127	Bra014854, Bra003161, Bra007035	scaffold_502498.1
OG0001128	Bra033542, Bra038038, Bra012735	scaffold_702890.1
OG0001128	Bra021219, Bra022196	fgenesh2_kg.3__1880__AT3G17100.2
OG0001129	Bra008104	fgenesh1_pm.C_scaffold_2001332
OG0001129	Bra014145	scaffold_104475.1
OG0001129	Bra001693	fgenesh2_kg.3__1986__AT3G17980.1
OG0001130	Bra002871	fgenesh2_kg.8__1482__AT5G55850.1
OG0001131	Bra014732, Bra007179	fgenesh2_kg.5__1981__AT3G55610.1
OG0001131	Bra017051, Bra000150, Bra005012	scaffold_77200001.1, fgenesh2_kg.4__2072__AT2G39800.1
OG0001133	Bra014704, Bra003232, Bra007228	fgenesh2_kg.5__2055__AT3G56220.1
OG0001133	Bra004568, Bra017003, Bra016997	fgenesh2_kg.4__2161__AT2G40435.1
OG0001134	Bra017545, Bra021023, Bra012616, Bra013284	fgenesh1_pg.C_scaffold_8000144
OG0001135	Bra027726	fgenesh2_kg.2__19__AT1G64580.1
OG0001135	Bra006187	fgenesh2_kg.6__1657__AT5G16640.1
OG0001136	Bra015755	Al_scaffold_0003_1748, fgenesh2_kg.2__1923__AT1G76380.2
OG0001136	Bra016456, Bra025837, Bra012243	fgenesh2_kg.1__2254__AT1G20670.1
OG0001137	Bra002926, Bra035562	scaffold_802063.1
OG0001137	Bra006530	scaffold_602098.1, scaffold_602096.1
OG0001138	Bra021407	fgenesh1_pm.C_scaffold_3000186
OG0001139	Bra009801, Bra020474, Bra036526	fgenesh2_kg.6__2485__AT5G24880.1
OG0001139	Bra006071, Bra009014, Bra028575	scaffold_601079.1
OG0001140	Bra025768	fgenesh2_kg.1__2159__AT1G19790.1
OG0001140	Bra015837, Bra008203, Bra003749	fgenesh2_kg.2__1830__AT1G75520.1
OG0001141	Bra027928, Bra038924, Bra038157	scaffold_105645.1
OG0001141	Bra018568, Bra030768	fgenesh2_kg.1__976__AT1G09310.1
OG0001142	Bra002986, Bra022722	fgenesh2_kg.8__1344__AT5G54470.1
OG0001142	Bra026361, Bra010408, Bra019058	scaffold_701556.1
OG0001143	Bra002062	fgenesh2_kg.2__1116__AT1G68600.1, fgenesh1_pm.C_scaffold_3002712
OG0001143	Bra024742, Bra010995	Al_scaffold_0001_2714
OG0001144	Bra040872, Bra037247	fgenesh2_kg.3__3389__AT2G17880.1
OG0001144	Bra010502, Bra017744, Bra011656	scaffold_700501.1
OG0001145	Bra029765, Bra001309	scaffold_301067.1
OG0001146	Bra040840, Bra010388, Bra026294	fgenesh1_pg.C_scaffold_7001173
OG0001146	Bra029390, Bra009724, Bra026471	fgenesh2_kg.6__2395__AT5G24030.1
OG0001147	Bra034008	fgenesh2_kg.2__954__AT1G67290.1
OG0001147	Bra020050, Bra002247	fgenesh2_kg.6__1986__AT5G19580.1
OG0001148	Bra022906	scaffold_401875.1, scaffold_401848.1
OG0001149	Bra010055	fgenesh2_kg.8__2197__AT5G62070.1
OG0001149	Bra005929, Bra009281	scaffold_600726.1
OG0001150	Bra034678, Bra034677, Bra017699, Bra017700	fgenesh1_pm.C_scaffold_7000458
OG0001150	Bra038396	fgenesh2_kg.7__570__AT4G35150.1
OG0001151	Bra036342, Bra034235	scaffold_500515.1
OG0001151	Bra034236	fgenesh1_pg.C_scaffold_5000378
OG0001151	Bra025194	fgenesh2_kg.5__382__AT3G26220.1
OG0001152	Bra004712, Bra016854, Bra000276	fgenesh2_kg.713__1__AT2G42870.1, scaffold_403164.1
OG0001152	Bra014551, Bra007422	fgenesh2_kg.5__2336__AT3G58850.1
OG0001154	Bra040636	fgenesh1_pm.C_scaffold_1002957
OG0001154	Bra004827	Al_scaffold_0003_3734
OG0001154	Bra012179	Al_scaffold_0003_3577
OG0001155	Bra003972	fgenesh2_kg.4__2272__AT2G41390.1
OG0001156	Bra002447	scaffold_602360.1
OG0001156	Bra039606	scaffold_25200001.1, scaffold_800770.1, scaffold_800878.1, scaffold_800889.1, scaffold_303767.1, scaffold_304203.1, scaffold_304204.1
OG0001160	Bra004293	fgenesh2_kg.2__1076__AT1G68280.1, scaffold_103954.1, Al_scaffold_0001_3629, Al_scaffold_0001_3636
OG0001161	Bra020122, Bra002321	fgenesh2_kg.6__2109__AT5G20690.1
OG0001161	Bra021083, Bra034951	fgenesh1_pg.C_scaffold_5000813
OG0001162	Bra025940, Bra031007	fgenesh1_pm.C_scaffold_1001532
OG0001163	Bra007526, Bra007525	Al_scaffold_0001_3939
OG0001164	Bra039438	Al_scaffold_0003_518, Al_scaffold_0003_516, fgenesh1_pg.C_scaffold_1003604, fgenesh1_pg.C_scaffold_6002133, fgenesh1_pg.C_scaffold_8001398
OG0001165	Bra012312, Bra031372	fgenesh2_kg.1__2410__AT1G22200.1
OG0001165	Bra036766	scaffold_104041.1
OG0001166	Bra028477, Bra025547	scaffold_703892.1
OG0001167	Bra024054, Bra024055, Bra024057, Bra011205	fgenesh1_pm.C_scaffold_5000687
OG0001167	Bra010279, Bra011207	fgenesh1_pm.C_scaffold_7000879
OG0001168	Bra003420, Bra007544	fgenesh2_kg.5__2523__AT3G60550.1
OG0001168	Bra000369, Bra004888	fgenesh2_kg.4__2701__AT2G45080.1
OG0001169	Bra008308	scaffold_202707.1
OG0001169	Bra016408, Bra038565, Bra012292	Al_scaffold_0001_2266
OG0001170	Bra006630, Bra006631	fgenesh2_kg.6__2256__AT5G22670.1
OG0001170	Bra002426	Al_scaffold_0006_2137
OG0001172	Bra008051	fgenesh1_pm.C_scaffold_2001274
OG0001172	Bra010315, Bra011140	fgenesh2_kg.7__1207__AT4G29840.1
OG0001173	Bra039671	fgenesh2_kg.1__4425__AT1G53420.1
OG0001173	Bra027302, Bra027306, Bra027307, Bra001566, Bra001567, Bra021579	fgenesh2_kg.3__1600__AT3G14840.2
OG0001174	Bra040645, Bra001146	fgenesh2_kg.3__520__AT3G05310.1
OG0001174	Bra020586, Bra009952, Bra036628, Bra036624	fgenesh2_kg.6__2708__AT5G27540.1
OG0001175	Bra010022, Bra010021, Bra020624	fgenesh2_kg.8__837__AT5G49620.1
OG0001175	Bra001202, Bra029582, Bra040274	fgenesh2_kg.3__656__AT3G06490.1
OG0001176	Bra002582, Bra020328, Bra006724	fgenesh2_kg.8__1869__AT5G59030.1
OG0001177	Bra039698, Bra039697, Bra039696	fgenesh1_pm.C_scaffold_1003480
OG0001177	Bra001544, Bra021544	Al_scaffold_0003_1488, fgenesh2_kg.3__1544__AT3G14260.1
OG0001178	Bra022172, Bra021187, Bra001637	fgenesh2_kg.3__1831__AT3G16640.1
OG0001179	Bra029302, Bra019622	scaffold_802838.1
OG0001179	Bra005932, Bra009272, Bra028703	fgenesh2_kg.6__690__AT5G07310.1
OG0001180	Bra015990, Bra003844	fgenesh2_kg.2__1610__AT1G73460.1
OG0001180	Bra022240	fgenesh2_kg.3__1957__AT3G17750.1
OG0001182	Bra024335	fgenesh1_pg.C_scaffold_139000002, fgenesh1_pg.C_scaffold_8001901, Al_scaffold_0008_3037
OG0001182	Bra031895	scaffold_803216.1
OG0001183	Bra036058	fgenesh2_kg.5__1369__AT3G50210.3
OG0001183	Bra029964	fgenesh1_pg.C_scaffold_5001457
OG0001184	Bra030974	fgenesh2_kg.1__4349__AT1G52690.1
OG0001184	Bra001603, Bra021126, Bra027219	fgenesh2_kg.3__1722__AT3G15670.1
OG0001185	Bra025485	scaffold_703787.1
OG0001185	Bra019276, Bra013724, Bra010543	fgenesh2_kg.7__1930__AT4G23700.1
OG0001186	Bra013122	fgenesh1_pg.C_scaffold_3002835
OG0001186	Bra011468, Bra036978	scaffold_700775.1
OG0001187	Bra007942, Bra016188	fgenesh2_kg.2__1337__AT1G70770.1
OG0001188	Bra017302, Bra005314, Bra023026	fgenesh2_kg.4__1597__AT2G35700.1
OG0001188	Bra012693, Bra040092	fgenesh2_kg.7__2633__AT4G16750.1
OG0001189	Bra005958, Bra013246, Bra032989, Bra024655, Bra009311	fgenesh2_kg.6__753__AT5G07880.1
OG0001189	Bra029328, Bra012978	scaffold_802763.1
OG0001190	Bra018809	scaffold_104666.1
OG0001190	Bra014213, Bra018808	scaffold_104667.1
OG0001190	Bra040667, Bra018807	fgenesh2_kg.1__4053__AT1G49660.1
OG0001191	Bra013263	fgenesh2_kg.7__2520__AT4G17880.1
OG0001191	Bra017527, Bra024998	scaffold_800152.1
OG0001192	Bra023509	scaffold_601546.1, fgenesh1_pm.C_scaffold_6001195
OG0001192	Bra039137, Bra021488	scaffold_300112.1
OG0001193	Bra026984, Bra019749	scaffold_101339.1
OG0001193	Bra027030, Bra036653	Al_scaffold_0002_256
OG0001194	Bra012083, Bra037164, Bra031813	scaffold_803471.1
OG0001194	Bra038863	scaffold_502122.1
OG0001195	Bra036198	Al_scaffold_0005_933
