Orthogroup	Brassica_rapa	Capsella_rubella
OG0001398	Bra032001	Carub.0003s0244.1.p
OG0001398	Bra013985, Bra023614, Bra006401, Bra006403	Carub.0006s1556.1.p
OG0001399	Bra028992, Bra002934, Bra035551	Carub.0008s1535.1.p
OG0001400	Bra032612, Bra033311	Carub.0001s0131.1.p
OG0001401	Bra031732, Bra019879	Carub.0001s1070.1.p
OG0001401	Bra038575, Bra031448	Carub.0002s0400.1.p
OG0001404	Bra040269	Carub.0007s3116.1.p
OG0001407	Bra031111	Carub.0003s3437.1.p
OG0001407	Bra024164, Bra010337, Bra011083	Carub.0007s1150.1.p
OG0001408	Bra030370, Bra030973	Carub.0001s4176.1.p
OG0001409	Bra040476	Carub.0004s2972.1.p
OG0001410	Bra009234, Bra009235, Bra009236, Bra009237, Bra009238, Bra005916	Carub.0006s0579.1.p
OG0001411	Bra026255, Bra012663	Carub.0007s2397.1.p
OG0001411	Bra017489, Bra024948	Carub.0008s0041.1.p
OG0001412	Bra007589	Carub.0005s2792.1.p
OG0001412	Bra039311, Bra004940	Carub.0004s2852.1.p
OG0001413	Bra021883	Carub.0004s1555.1.p
OG0001413	Bra032906, Bra010876	Carub.0001s2688.1.p
OG0001414	Bra028791, Bra005803, Bra009457	Carub.0006s0333.1.p
OG0001414	Bra034116, Bra029843	Carub.0003s0971.1.p
OG0001415	Bra015458, Bra030629	Carub.0001s0522.1.p
OG0001415	Bra022857	Carub.0004s1290.1.p
OG0001416	Bra037239	Carub.0003s3221.1.p
OG0001416	Bra017751, Bra011669	Carub.0007s0404.1.p
OG0001417	Bra021288	Carub.0003s1775.1.p
OG0001417	Bra018744, Bra032258	Carub.0001s3776.1.p
OG0001418	Bra027829	Carub.0002s0535.1.p
OG0001418	Bra019932, Bra031714, Bra036963, Bra018439	Carub.0001s0990.1.p
OG0001419	Bra003692, Bra015699	Carub.0002s2392.1.p
OG0001419	Bra016422	Carub.0001s2083.1.p
OG0001420	Bra039743	Carub.0002s1177.1.p
OG0001420	Bra038189	Carub.0002s1181.1.p, Carub.0002s1178.1.p, Carub.0002s1183.1.p, Carub.0002s1182.1.p
OG0001421	Bra031912, Bra024311, Bra037782	Carub.0008s2537.1.p
OG0001422	Bra010023	Carub.0004s3030.1.p
OG0001422	Bra007694, Bra003507	Carub.0005s2936.1.p
OG0001423	Bra007286, Bra001095, Bra031951, Bra036411	Carub.0003s0329.1.p
OG0001424	Bra037491	Carub.0008s0793.1.p
OG0001424	Bra001256, Bra012246, Bra029655	Carub.0003s0709.1.p
OG0001425	Bra013123	Carub.0003s2864.1.p
OG0001426	Bra032524, Bra015293	Carub.0001s0337.1.p
OG0001426	Bra036002, Bra033703	Carub.0008s0472.1.p
OG0001427	Bra016203, Bra007924	Carub.0002s1728.1.p
OG0001427	Bra024585, Bra024582	Carub.0001s2291.1.p
OG0001428	Bra003942, Bra007943, Bra016187	Carub.0002s1752.1.p
OG0001428	Bra016360	Carub.0001s2272.1.p
OG0001429	Bra039819	Carub.0003s2879.1.p
OG0001429	Bra036969, Bra011476, Bra034587	Carub.0007s0656.1.p
OG0001430	Bra039281	Carub.0004s2918.1.p
OG0001431	Bra003376, Bra007450	Carub.0005s2618.1.p
OG0001431	Bra035972, Bra037722, Bra034870, Bra019554	Carub.0004s2576.1.p
OG0001432	Bra009524, Bra028830	Carub.0006s0233.1.p
OG0001432	Bra029804	Carub.0003s0901.1.p
OG0001433	Bra033255, Bra032639	Carub.0001s0070.1.p
OG0001433	Bra037362	Carub.0006s3639.1.p
OG0001434	Bra015480	Carub.0001s0553.1.p
OG0001434	Bra018270, Bra021711	Carub.0004s1250.1.p
OG0001435	Bra013271	Carub.0007s2338.1.p
OG0001435	Bra022049, Bra025010	Carub.0008s0129.1.p
OG0001436	Bra022263, Bra001690, Bra021284, Bra020501, Bra009842	Carub.0006s2333.1.p, Carub.0006s2332.1.p
OG0001437	Bra039667	Carub.0001s4257.1.p
OG0001437	Bra001571, Bra027298	Carub.0003s1453.1.p
OG0001438	Bra026708, Bra016634	Carub.0001s1645.1.p
OG0001438	Bra008389, Bra035082	Carub.0002s2587.1.p
OG0001439	Bra022850	Carub.0006s1663.1.p
OG0001440	Bra020852, Bra020853, Bra009402, Bra020849	Carub.0001s4309.1.p, Carub.0001s4310.1.p, Carub.0001s4256.1.p, Carub.0004s0542.1.p, Carub.0001s4254.1.p, Carub.0004s0543.1.p, Carub.0001s4431.1.p
OG0001441	Bra023450	Carub.0006s1240.1.p
OG0001441	Bra008463, Bra035169	Carub.0002s2699.1.p
OG0001442	Bra020431	Carub.0008s1808.1.p
OG0001442	Bra040901	Carub.0007s3084.1.p, Carub.0008s1577.1.p, Carub.0008s1807.1.p
OG0001443	Bra003791, Bra015898	Carub.0002s2145.1.p
OG0001443	Bra031051	Carub.0001s1847.1.p
OG0001444	Bra028361	Carub.0003s2440.1.p
OG0001444	Bra032721	Carub.0007s2892.1.p
OG0001445	Bra000299, Bra032677, Bra034907	Carub.0007s2996.1.p
OG0001446	Bra038104, Bra034221	Carub.0006s3349.1.p, Carub.0006s3347.1.p, Carub.0006s3348.1.p
OG0001446	Bra023105	Carub.0006s3346.1.p
OG0001447	Bra027625	Carub.0002s0176.1.p
OG0001447	Bra016759, Bra019784, Bra026955	Carub.0001s1247.1.p
OG0001448	Bra008567, Bra006392	Carub.0006s1545.1.p
OG0001448	Bra021366, Bra032009	Carub.0003s0235.1.p
OG0001449	Bra000385	Carub.0004s2794.1.p
OG0001449	Bra037315	Carub.0006s3712.1.p
OG0001450	Bra028140, Bra028138, Bra015233, Bra028139	Carub.0007s3282.1.p
OG0001451	Bra014305, Bra030405, Bra018939	Carub.0001s4093.1.p
OG0001451	Bra022162	Carub.0003s1622.1.p
OG0001452	Bra025273, Bra033007	Carub.0005s0570.1.p
OG0001453	Bra014508, Bra007511	Carub.0005s2690.1.p
OG0001453	Bra037644, Bra004847	Carub.0004s2712.1.p
OG0001454	Bra000110, Bra000109	Carub.0004s2103.1.p, Carub.0004s2102.1.p, Carub.0004s2101.1.p
OG0001455	Bra017010, Bra004966	Carub.0004s2261.1.p
OG0001455	Bra028760, Bra009111	Carub.0006s0432.1.p
OG0001456	Bra023237, Bra033856	Carub.0001s3042.1.p, Carub.0001s3043.1.p
OG0001458	Bra033139, Bra017317, Bra005336	Carub.0004s1720.1.p
OG0001458	Bra035511, Bra023252	Carub.0001s3056.1.p
OG0001459	Bra009124, Bra005862	Carub.0006s0456.1.p
OG0001459	Bra038817	Carub.0003s3304.1.p
OG0001460	Bra039187, Bra038413	Carub.0004s0240.1.p
OG0001460	Bra033623	Carub.0007s0138.1.p
OG0001460	Bra033622	Carub.0007s0137.1.p
OG0001461	Bra002053	Carub.0003s3140.1.p, Carub.0003s3141.1.p
OG0001461	Bra015739, Bra008261	Carub.0002s2340.1.p
OG0001462	Bra014994, Bra014993, Bra028349, Bra028354	Carub.0003s2422.1.p
OG0001463	Bra013575	Carub.0007s1940.1.p
OG0001463	Bra018504	Carub.0006s3263.1.p, Carub.0006s3262.1.p, Carub.0006s3254.1.p
OG0001464	Bra026101	Carub.0001s1559.1.p
OG0001464	Bra035167, Bra008451	Carub.0002s2694.1.p
OG0001465	Bra009045	Carub.0006s0873.1.p
OG0001465	Bra024341, Bra031892, Bra028333	Carub.0008s2579.1.p
OG0001466	Bra020527	Carub.0006s2427.1.p
OG0001466	Bra040245, Bra020799	Carub.0003s0529.1.p
OG0001467	Bra004679	Carub.0004s2464.1.p
OG0001467	Bra014603, Bra003300, Bra007358	Carub.0005s2466.1.p
OG0001468	Bra010209	Carub.0001s3177.1.p
OG0001468	Bra028006	Carub.0001s3175.1.p
OG0001469	Bra016311, Bra024652	Carub.0001s2378.1.p
OG0001470	Bra035179	Carub.0002s2710.1.p
OG0001470	Bra016653, Bra026115	Carub.0001s1546.1.p
OG0001471	Bra011101, Bra000763	Carub.0007s1119.1.p
OG0001471	Bra024184, Bra024185	Carub.0003s2781.1.p, Carub.0005s1276.1.p, Carub.0007s3794.1.p, Carub.0007s3640.1.p, Carub.0007s3641.1.p, Carub.0005s1275.1.p, Carub.0007s3639.1.p
OG0001472	Bra030680	Carub.0001s0668.1.p
OG0001472	Bra017143, Bra005143	Carub.0004s1998.1.p
OG0001473	Bra015286	Carub.0001s0322.1.p
OG0001473	Bra027518, Bra033708	Carub.0008s0458.1.p
OG0001474	Bra019522, Bra018090	Carub.0005s1411.1.p
OG0001474	Bra024619, Bra016330	Carub.0001s2331.1.p
OG0001475	Bra008510	Carub.0002s0998.1.p, Carub.0002s0993.1.p, Carub.0002s1005.1.p
OG0001476	Bra005449	Carub.0004s1579.1.p
OG0001476	Bra032296, Bra030127, Bra010843	Carub.0001s2740.1.p
OG0001477	Bra004560	Carub.0004s2889.1.p
OG0001477	Bra003457, Bra014430, Bra007615	Carub.0005s2827.1.p
OG0001478	Bra036696, Bra039032	Carub.0003s3422.1.p
OG0001478	Bra039031	Carub.0003s3421.1.p
OG0001479	Bra039126	Carub.0003s0075.1.p
OG0001479	Bra021603, Bra022774, Bra018343	Carub.0004s1115.1.p
OG0001480	Bra033872, Bra023213	Carub.0001s3018.1.p
OG0001480	Bra013374, Bra012557, Bra020975	Carub.0007s2203.1.p
OG0001482	Bra001382, Bra029870	Carub.0003s1006.1.p
OG0001482	Bra009090, Bra028770, Bra005842	Carub.0006s0407.1.p
OG0001483	Bra002245, Bra020047	Carub.0006s1790.1.p
OG0001483	Bra027015, Bra034522, Bra036647	Carub.0002s0218.1.p
OG0001484	Bra022633	Carub.0004s2747.1.p
OG0001484	Bra038847, Bra012170	Carub.0003s1850.1.p
OG0001485	Bra039149, Bra001025	Carub.0003s0114.1.p
OG0001485	Bra006301, Bra008696, Bra023519	Carub.0006s1363.1.p
OG0001487	Bra000980	Carub.0003s0009.1.p
OG0001487	Bra023448, Bra006236, Bra008782	Carub.0006s1226.1.p
OG0001488	Bra012764	Carub.0007s2586.1.p
OG0001488	Bra022168, Bra001636	Carub.0003s1630.1.p
OG0001489	Bra026795, Bra026181, Bra026796	Carub.0005s0704.1.p, Carub.0001s1466.1.p
OG0001490	Bra007520, Bra003407	Carub.0005s2700.1.p
OG0001490	Bra000359	Carub.0004s2723.1.p
OG0001491	Bra039135	Carub.0003s0092.1.p
OG0001491	Bra006285, Bra023506, Bra008717	Carub.0006s1332.1.p
OG0001492	Bra033173	Carub.0006s2906.1.p
OG0001492	Bra040009, Bra036730	Carub.0001s3142.1.p
OG0001493	Bra018408	Carub.0004s1015.1.p
OG0001493	Bra002515, Bra020269, Bra006683	Carub.0008s2072.1.p
OG0001494	Bra031390	Carub.0001s2196.1.p
OG0001495	Bra015758	Carub.0002s2324.1.p
OG0001495	Bra012241, Bra016458, Bra025834	Carub.0001s2011.1.p
OG0001496	Bra002480	Carub.0008s2113.1.p
OG0001497	Bra011786, Bra017853, Bra010612	Carub.0007s0245.1.p
OG0001497	Bra030200	Carub.0004s0194.1.p
OG0001498	Bra017311, Bra005326	Carub.0004s1728.1.p
OG0001498	Bra033869, Bra035521, Bra023219	Carub.0001s3021.1.p
OG0001499	Bra033990	Carub.0004s0088.1.p, Carub.0004s0087.1.p, Carub.0002s0455.1.p
OG0001500	Bra008184, Bra003761, Bra015858	Carub.0002s2204.1.p
OG0001500	Bra025740	Carub.0001s1902.1.p
OG0001501	Bra027148	Carub.0002s0475.1.p
OG0001501	Bra019912, Bra018429, Bra031724	Carub.0001s1011.1.p
OG0001502	Bra008662	Carub.0006s1415.1.p
OG0001502	Bra021458, Bra039176, Bra001046	Carub.0003s0157.1.p
OG0001503	Bra039010	Carub.0003s3396.1.p
OG0001503	Bra011118, Bra024143	Carub.0007s1104.1.p
OG0001504	Bra018058, Bra019544	Carub.0005s1463.1.p
OG0001504	Bra029233	Carub.0008s2402.1.p
OG0001505	Bra039451, Bra001141	Carub.0003s0448.1.p
OG0001505	Bra020590	Carub.0006s2510.1.p
OG0001506	Bra017286, Bra023034	Carub.0004s1761.1.p
OG0001506	Bra006919, Bra033440	Carub.0005s1871.1.p
OG0001507	Bra021103	Carub.0003s1503.1.p
OG0001507	Bra038096, Bra019009	Carub.0001s4219.1.p
OG0001508	Bra007920	Carub.0002s1721.1.p
OG0001508	Bra016348, Bra024591, Bra024592, Bra024593	Carub.0001s2296.1.p
OG0001509	Bra008675, Bra006321	Carub.0006s1394.1.p
OG0001509	Bra039168	Carub.0003s0140.1.p
OG0001510	Bra000997, Bra039105	Carub.0003s0041.1.p
OG0001510	Bra006253, Bra023465, Bra008758	Carub.0006s1260.1.p
OG0001511	Bra018675, Bra031599	Carub.0001s0724.1.p
OG0001511	Bra011942, Bra035698, Bra000491	Carub.0004s0945.1.p
OG0001512	Bra003016, Bra029043, Bra022695, Bra022696	Carub.0008s1439.1.p
OG0001513	Bra039709, Bra036906	Carub.0007s2730.1.p
OG0001513	Bra001872	Carub.0003s2270.1.p
OG0001514	Bra003382	Carub.0005s2630.1.p
OG0001514	Bra000308, Bra000307, Bra004767, Bra037708, Bra037711	Carub.0004s2596.1.p
OG0001515	Bra035416	Carub.0002s0537.1.p
OG0001515	Bra024643, Bra012418	Carub.0001s2367.1.p
OG0001516	Bra038542	Carub.0003s3287.1.p
OG0001516	Bra010575, Bra011708, Bra014836, Bra017784, Bra036361	Carub.0007s0352.1.p
OG0001517	Bra000219, Bra004606	Carub.0004s2352.1.p
OG0001517	Bra007288, Bra014660, Bra003258	Carub.0005s2370.1.p
OG0001518	Bra002003, Bra013042	Carub.0003s3071.1.p
OG0001518	Bra034676, Bra011586	Carub.0007s0520.1.p, Carub.0006s2749.1.p
OG0001519	Bra021984, Bra025060	Carub.0008s0224.1.p
OG0001519	Bra012576, Bra013349	Carub.0007s2244.1.p
OG0001520	Bra008010, Bra008008	Carub.0002s1892.1.p
OG0001520	Bra023022	Carub.0002s1893.1.p, Carub.0002s1889.1.p
OG0001521	Bra017851, Bra011781	Carub.0007s0251.1.p
OG0001521	Bra000575	Carub.0004s0197.1.p
OG0001522	Bra041042, Bra041164	Carub.0003s3438.1.p
OG0001522	Bra010348, Bra025590, Bra011075, Bra024171	Carub.0007s1164.1.p
OG0001523	Bra003882, Bra008030	Carub.0002s1923.1.p
OG0001524	Bra018864	Carub.0001s3968.1.p
OG0001524	Bra035792, Bra038261, Bra001784	Carub.0003s2026.1.p
OG0001525	Bra004390, Bra004389	Carub.0002s1615.1.p
OG0001525	Bra004391	Carub.0002s1616.1.p
OG0001525	Bra003996	Carub.0002s1617.1.p
OG0001527	Bra040677, Bra036719	Carub.0003s3379.1.p
OG0001527	Bra024135	Carub.0004s1490.1.p
OG0001528	Bra023638, Bra002108	Carub.0006s1604.1.p
OG0001528	Bra036446, Bra031980	Carub.0003s0282.1.p
OG0001529	Bra025409, Bra020747, Bra036203	Carub.0005s0840.1.p
OG0001529	Bra025427	Carub.0007s3688.1.p
OG0001530	Bra001941, Bra028369, Bra015029	Carub.0003s2464.1.p
OG0001531	Bra027143, Bra031487	Carub.0002s0466.1.p
OG0001531	Bra019900, Bra031746, Bra018421	Carub.0001s1036.1.p
OG0001532	Bra009405	Carub.0006s0393.1.p
OG0001532	Bra029862	Carub.0003s0996.1.p
OG0001533	Bra021528	Carub.0003s1365.1.p
OG0001533	Bra030903	Carub.0001s4336.1.p
OG0001534	Bra019121, Bra013945, Bra010441	Carub.0007s1487.1.p
OG0001534	Bra002766	Carub.0008s1756.1.p
OG0001535	Bra031080	Carub.0001s1899.1.p
OG0001535	Bra003765, Bra015862	Carub.0002s2199.1.p
OG0001536	Bra003089, Bra022620	Carub.0008s1322.1.p
OG0001536	Bra019025, Bra026305	Carub.0007s1301.1.p
OG0001537	Bra018301, Bra021654, Bra022809	Carub.0004s1177.1.p
OG0001539	Bra001033, Bra039159	Carub.0003s0128.1.p
OG0001539	Bra023525, Bra008690	Carub.0006s1374.1.p
OG0001540	Bra011316, Bra040065	Carub.0007s0852.1.p
OG0001541	Bra027438, Bra039391, Bra001505	Carub.0003s1278.1.p
OG0001542	Bra010568	Carub.0007s0364.1.p
OG0001542	Bra037216	Carub.0003s3272.1.p
OG0001543	Bra018223	Carub.0005s1197.1.p
OG0001543	Bra002533, Bra006694, Bra020289	Carub.0008s2044.1.p
OG0001544	Bra029438, Bra038812, Bra000761	Carub.0006s3130.1.p
OG0001544	Bra026974, Bra019760	Carub.0001s1202.1.p
OG0001545	Bra003342	Carub.0005s2531.1.p
OG0001545	Bra007403, Bra014566, Bra003344	Carub.0005s2533.1.p
OG0001546	Bra011237	Carub.0007s0956.1.p
OG0001546	Bra007863, Bra032111	Carub.0004s0359.1.p
OG0001547	Bra005754, Bra005751, Bra009562	Carub.0006s0164.1.p
OG0001547	Bra029778	Carub.0003s0870.1.p
OG0001548	Bra019149, Bra013904	Carub.0007s1536.1.p
OG0001548	Bra028308	Carub.0008s1253.1.p
OG0001549	Bra005830, Bra037447	Carub.0004s0492.1.p
OG0001550	Bra007879, Bra016267	Carub.0002s1644.1.p
OG0001550	Bra024675, Bra016296	Carub.0001s2406.1.p
OG0001551	Bra040511	Carub.0003s0079.1.p
OG0001551	Bra004703	Carub.0005s0579.1.p
OG0001552	Bra029848, Bra001367, Bra034123	Carub.0003s0976.1.p
OG0001552	Bra028788, Bra005808, Bra009451	Carub.0006s0340.1.p
OG0001553	Bra032246, Bra014124	Carub.0001s3739.1.p
OG0001553	Bra022219, Bra001665	Carub.0003s1722.1.p
OG0001554	Bra016037	Carub.0002s1959.1.p
OG0001554	Bra016598, Bra025967, Bra030992	Carub.0001s1729.1.p
OG0001555	Bra038001	Carub.0001s4409.1.p
OG0001555	Bra001503, Bra039388, Bra034680	Carub.0003s1276.1.p
OG0001556	Bra030816, Bra040785	Carub.0001s4472.1.p
OG0001556	Bra001474	Carub.0003s1222.1.p
OG0001557	Bra014284, Bra018884, Bra018883, Bra036569	Carub.0001s3994.1.p, Carub.0001s3991.1.p, Carub.0002s0721.1.p, Carub.0001s3995.1.p
OG0001558	Bra027472, Bra033659	Carub.0008s0562.1.p
OG0001559	Bra018998	Carub.0001s4204.1.p
OG0001559	Bra021113, Bra001596, Bra027238	Carub.0003s1522.1.p
OG0001560	Bra038525	Carub.0004s0159.1.p
OG0001560	Bra011812	Carub.0007s0202.1.p
OG0001561	Bra040582, Bra040354, Bra040920, Bra009717	Carub.0006s2169.1.p
OG0001564	Bra012648, Bra012647	Carub.0007s2365.1.p, Carub.0005s0726.1.p, Carub.0007s2366.1.p
OG0001567	Bra007913, Bra016221	Carub.0002s1711.1.p
OG0001567	Bra024611	Carub.0001s2323.1.p
OG0001568	Bra023602, Bra008570	Carub.0006s1541.1.p
OG0001568	Bra032010	Carub.0003s0234.1.p
OG0001569	Bra016034	Carub.0002s1962.1.p
OG0001569	Bra016595, Bra025964	Carub.0001s1732.1.p
OG0001570	Bra014655	Carub.0005s2376.1.p, Carub.0005s2377.1.p
OG0001571	Bra007963, Bra003936	Carub.0002s1795.1.p
OG0001571	Bra016367, Bra012352	Carub.0001s2248.1.p
OG0001572	Bra017005	Carub.0004s2267.1.p
OG0001572	Bra007226, Bra007225	Carub.0005s2298.1.p
OG0001573	Bra038490	Carub.0007s2480.1.p
OG0001573	Bra005312, Bra017301	Carub.0004s1744.1.p
OG0001574	Bra005854	Carub.0006s0436.1.p
OG0001574	Bra034160, Bra034162	Carub.0003s1033.1.p
OG0001575	Bra030837	Carub.0005s0876.1.p
OG0001576	Bra006646, Bra020227	Carub.0006s2075.1.p
OG0001576	Bra019415	Carub.0005s1080.1.p
OG0001577	Bra006358, Bra008617	Carub.0006s1470.1.p
OG0001577	Bra001065, Bra040602	Carub.0003s0191.1.p
OG0001578	Bra020338, Bra002597	Carub.0008s1969.1.p
OG0001579	Bra039856, Bra036864	Carub.0007s2772.1.p
OG0001579	Bra023766, Bra033882	Carub.0003s2325.1.p
OG0001580	Bra016352, Bra024588	Carub.0001s2292.1.p
OG0001580	Bra018424, Bra031751	Carub.0001s1026.1.p
OG0001581	Bra024953, Bra017493	Carub.0008s0051.1.p
OG0001581	Bra021049, Bra040158	Carub.0007s2391.1.p
OG0001582	Bra033384	Carub.0005s2392.1.p, Carub.0007s2824.1.p, Carub.0005s2308.1.p
OG0001582	Bra028978, Bra028205, Bra028421	Carub.0007s3704.1.p
OG0001583	Bra029503	Carub.0006s3243.1.p, Carub.0006s3240.1.p
OG0001584	Bra023564	Carub.0006s1459.1.p
OG0001584	Bra040596, Bra021417	Carub.0003s0183.1.p
OG0001585	Bra034851	Carub.0003s1063.1.p
OG0001585	Bra009137, Bra005868	Carub.0006s0472.1.p
OG0001586	Bra039307	Carub.0004s2857.1.p
OG0001586	Bra007596, Bra014443	Carub.0005s2799.1.p
OG0001587	Bra015827, Bra008214	Carub.0002s2251.1.p
OG0001587	Bra025783, Bra012198	Carub.0001s1945.1.p
OG0001589	Bra003757	Carub.0002s2221.1.p
OG0001589	Bra012186, Bra025754	Carub.0001s1919.1.p
OG0001590	Bra005357, Bra017328	Carub.0004s1694.1.p
OG0001591	Bra001934	Carub.0003s2453.1.p
OG0001591	Bra022931, Bra005514	Carub.0004s1467.1.p
OG0001592	Bra015974	Carub.0002s2044.1.p
OG0001593	Bra010132	Carub.0008s2363.1.p
OG0001593	Bra019524, Bra018084, Bra033773	Carub.0005s1420.1.p
OG0001594	Bra018251, Bra022837, Bra021736	Carub.0004s1268.1.p
OG0001594	Bra032439, Bra015472	Carub.0001s0541.1.p
OG0001595	Bra019855, Bra019856, Bra019863	Carub.0001s1096.1.p
OG0001595	Bra019854	Carub.0001s1104.1.p
OG0001596	Bra030840	Carub.0001s4423.1.p
OG0001596	Bra039385, Bra001499, Bra034690	Carub.0003s1270.1.p
OG0001597	Bra033718, Bra036010	Carub.0008s0446.1.p
OG0001598	Bra014775, Bra003208, Bra007141	Carub.0005s2174.1.p
OG0001598	Bra035353	Carub.0005s1071.1.p
OG0001598	Bra014773	Carub.0005s2177.1.p
OG0001599	Bra014404	Carub.0005s2899.1.p
OG0001599	Bra000442, Bra021386, Bra004476	Carub.0004s2989.1.p
OG0001600	Bra018065	Carub.0005s1453.1.p
OG0001600	Bra038612, Bra029235	Carub.0008s2392.1.p
OG0001601	Bra008537, Bra013019	Carub.0006s2092.1.p
OG0001601	Bra009329, Bra005977, Bra028667	Carub.0006s0710.1.p
OG0001602	Bra031709, Bra030160, Bra014974	Carub.0002s1843.1.p
OG0001603	Bra031481	Carub.0002s0457.1.p
OG0001603	Bra031752	Carub.0001s1025.1.p
OG0001604	Bra000878, Bra036265, Bra018548	Carub.0006s3466.1.p
OG0001605	Bra002153, Bra006451	Carub.0006s1660.1.p, Carub.0006s1661.1.p, Carub.0006s1662.1.p
OG0001606	Bra040466	Carub.0002s1077.1.p
OG0001606	Bra039497, Bra035522, Bra035359	Carub.0007s3192.1.p
OG0001607	Bra007575, Bra007397	Carub.0007s1459.1.p, Carub.0007s2519.1.p
OG0001607	Bra019111, Bra026446	Carub.0007s1460.1.p
OG0001608	Bra014988	Carub.0003s2415.1.p, Carub.0003s2416.1.p
OG0001608	Bra032743	Carub.0007s2860.1.p
OG0001609	Bra005892	Carub.0006s0522.1.p
OG0001609	Bra038671, Bra034822	Carub.0003s1098.1.p
OG0001610	Bra012171	Carub.0003s3345.1.p
OG0001611	Bra000756, Bra029426	Carub.0006s3103.1.p
OG0001611	Bra019347, Bra013655	Carub.0007s1837.1.p
OG0001612	Bra026405, Bra010428	Carub.0007s1408.1.p
OG0001612	Bra035564, Bra002922, Bra028986, Bra041161	Carub.0008s1558.1.p
OG0001613	Bra012429	Carub.0001s2389.1.p
OG0001613	Bra016259, Bra007886	Carub.0002s1657.1.p
OG0001614	Bra020985	Carub.0007s2230.1.p
OG0001614	Bra020984, Bra013360	Carub.0007s2229.1.p
OG0001615	Bra018042	Carub.0005s1482.1.p
OG0001615	Bra035840, Bra038640, Bra029221	Carub.0008s2421.1.p
OG0001616	Bra017437, Bra026646	Carub.0005s0056.1.p
OG0001616	Bra016678, Bra026180	Carub.0001s1467.1.p
OG0001617	Bra021551, Bra027347	Carub.0003s1405.1.p
OG0001617	Bra039687, Bra030923	Carub.0001s4301.1.p
OG0001618	Bra015731	Carub.0002s2348.1.p
OG0001618	Bra012263, Bra016441, Bra025865	Carub.0001s2048.1.p
OG0001619	Bra025292, Bra039074	Carub.0005s0607.1.p
OG0001619	Bra025573	Carub.0007s3513.1.p
OG0001620	Bra015256	Carub.0001s0280.1.p
OG0001620	Bra034215	Carub.0006s3353.1.p
OG0001622	Bra000417, Bra004551	Carub.0004s2897.1.p
OG0001622	Bra007618, Bra003459	Carub.0005s2829.1.p
OG0001623	Bra015124	Carub.0003s2573.1.p, Carub.0003s2574.1.p
OG0001623	Bra032681	Carub.0007s2987.1.p
OG0001624	Bra039170, Bra021470	Carub.0003s0142.1.p
OG0001624	Bra006322, Bra008674	Carub.0006s1395.1.p
OG0001625	Bra027542, Bra036021	Carub.0008s0421.1.p
OG0001625	Bra041061, Bra020879, Bra013489	Carub.0007s2042.1.p
OG0001626	Bra027498	Carub.0008s0513.1.p
OG0001626	Bra030565	Carub.0001s0352.1.p
OG0001627	Bra000344	Carub.0004s2675.1.p
OG0001627	Bra003398, Bra014520, Bra007499	Carub.0005s2672.1.p
OG0001628	Bra019796	Carub.0001s1265.1.p
OG0001628	Bra025222, Bra032941	Carub.0005s0469.1.p
OG0001629	Bra040489	Carub.0008s1079.1.p
OG0001629	Bra019197, Bra010477, Bra013854	Carub.0007s1602.1.p
OG0001630	Bra025446, Bra028118	Carub.0007s3263.1.p
OG0001630	Bra039748, Bra004143	Carub.0002s1202.1.p
OG0001631	Bra036055	Carub.0005s1644.1.p
OG0001632	Bra009313	Carub.0006s0688.1.p
OG0001632	Bra035941, Bra029334, Bra012981	Carub.0008s2180.1.p
OG0001633	Bra025210, Bra032937	Carub.0005s0451.1.p
OG0001633	Bra017222	Carub.0004s1867.1.p
OG0001634	Bra019388	Carub.0001s1869.1.p, Carub.0007s1903.1.p, Carub.0007s1904.1.p
OG0001635	Bra002025, Bra009659	Carub.0003s3108.1.p
OG0001635	Bra011600, Bra017705	Carub.0007s0503.1.p
OG0001636	Bra009062	Carub.0006s0850.1.p
OG0001636	Bra037808, Bra031873, Bra024364	Carub.0008s2606.1.p
OG0001637	Bra034404	Carub.0001s3346.1.p, Carub.0001s3337.1.p, Carub.0001s3340.1.p, Carub.0001s3342.1.p, Carub.0119s0001.1.p
OG0001637	Bra000657	Carub.0006s2734.1.p
OG0001638	Bra018771, Bra014167	Carub.0001s3818.1.p
OG0001638	Bra037578	Carub.0003s1834.1.p
OG0001639	Bra021923, Bra022981	Carub.0004s1628.1.p
OG0001639	Bra032362, Bra010794	Carub.0001s2837.1.p
OG0001640	Bra036918	Carub.0007s2710.1.p
OG0001640	Bra023839, Bra031345	Carub.0003s2244.1.p
OG0001641	Bra029775	Carub.0003s0866.1.p
OG0001641	Bra023680, Bra006464	Carub.0006s1679.1.p
OG0001642	Bra031546	Carub.0001s0621.1.p
OG0001642	Bra018316, Bra022796, Bra021632	Carub.0004s1156.1.p
OG0001643	Bra027043, Bra036660, Bra034515	Carub.0002s0251.1.p
OG0001643	Bra016793, Bra026994, Bra019740	Carub.0001s1176.1.p
OG0001644	Bra027802	Carub.0002s0142.1.p
OG0001644	Bra028492	Carub.0007s3426.1.p
OG0001645	Bra011933, Bra035679	Carub.0001s0713.1.p, Carub.0005s0869.1.p, Carub.0004s0968.1.p
OG0001646	Bra026241, Bra012670	Carub.0007s2412.1.p
OG0001646	Bra014431, Bra024936, Bra022139	Carub.0008s0024.1.p
OG0001647	Bra024410, Bra031848	Carub.0008s2656.1.p
OG0001647	Bra011792, Bra017856	Carub.0007s0236.1.p
