Orthogroup	Brassica_rapa	Thellungiella_parvula
OG0002187	Bra029922, Bra018030	Sp5g13180.1
OG0002187	Bra022751	Sp6g13090.1
OG0002188	Bra005437, Bra022971, Bra021902	Sp4g16580.1
OG0002188	Bra030143, Bra010824, Bra032324	Sp1g25470.1
OG0002189	Bra009534, Bra028840	SpUn0341_0010.1
OG0002189	Bra029794, Bra034088	Sp3g08160.1
OG0002190	Bra025511	SpUn0010_0160.1, Sp7g00680.1
OG0002190	Bra027801, Bra027642	Sp2g01140.1
OG0002191	Bra033638	Sp1g12700.1
OG0002191	Bra015828, Bra008212	Sp5g30760.1
OG0002192	Bra034021, Bra034022	Sp5g22040.1
OG0002192	Bra028182	Sp7g03600.1
OG0002193	Bra009902, Bra036583	Sp2g21390.1
OG0002193	Bra020797	Sp3g04850.1
OG0002194	Bra024235, Bra026293	Sp7g25940.1
OG0002194	Bra003102, Bra029104	Sp6g15050.1
OG0002195	Bra002925	Sp6g17130.1
OG0002195	Bra010427, Bra026403	Sp7g24760.1
OG0002196	Bra033368	Sp1g02030.1
OG0002196	Bra000872, Bra036256, Bra018539	Sp6g02500.1
OG0002197	Bra034666, Bra011573	Sp7g32710.1
OG0002197	Bra037294, Bra013059	Sp3g30090.1
OG0002198	Bra031927, Bra024280	Sp2g27320.1
OG0002198	Bra009384	Sp6g33890.1
OG0002199	Bra032980	Sp2g16210.1, Sp2g16205.1
OG0002200	Bra035659, Bra040929	Sp4g11740.1
OG0002200	Bra031585	Sp1g06300.1
OG0002201	Bra018191	Sp5g14910.1
OG0002202	Bra035821	Sp3g18070.1
OG0002202	Bra018850, Bra030490, Bra014254	Sp1g37290.1
OG0002203	Bra035382	Sp7g06430.1
OG0002204	Bra030575, Bra015322	Sp1g03340.1
OG0002204	Bra005504, Bra021844	Sp4g15650.1
OG0002205	Bra014330	Sp2g12730.1
OG0002205	Bra026786, Bra026169	Sp1g13410.1
OG0002206	Bra037561, Bra022355	Sp3g16860.1
OG0002206	Bra018781, Bra014177	Sp1g36110.1
OG0002207	Bra001771, Bra035824	Sp3g18040.1
OG0002207	Bra018847, Bra033962	Sp1g37240.1
OG0002208	Bra040049	Sp3g07000.1
OG0002208	Bra032722	Sp7g11290.1
OG0002208	Bra007201	Sp5g06590.1
OG0002209	Bra002044, Bra034726, Bra034834	Sp3g09730.1
OG0002209	Bra032135	Sp4g02830.1
OG0002210	Bra029826, Bra034101	Sp3g08520.1
OG0002212	Bra014235	Sp1g36980.1, Sp1g36940.1
OG0002212	Bra018831	Sp1g36990.1
OG0002213	Bra017148, Bra000029, Bra005148	Sp4g20250.1
OG0002213	Bra014848	Sp5g08370.1
OG0002214	Bra012924	Sp5g12390.1
OG0002214	Bra031846, Bra024420	Sp2g28890.1
OG0002215	Bra015199, Bra022542	Sp6g13450.1
OG0002216	Bra021760, Bra021761	Sp4g14270.1
OG0002216	Bra015442	Sp1g04430.1
OG0002217	Bra001011	Sp3g00830.1
OG0002217	Bra023504, Bra006279, Bra008721	Sp6g28960.1
OG0002218	Bra026366	Sp7g25160.1
OG0002218	Bra022735	Sp6g16590.1
OG0002219	Bra028988, Bra002927, Bra035561	Sp6g17110.1
OG0002220	Bra040611	Sp3g01990.1
OG0002220	Bra006367, Bra008600	Sp6g27420.1
OG0002221	Bra022411	Sp3g17390.1
OG0002221	Bra014209, Bra018798	Sp1g36630.1
OG0002222	Bra035959	Sp2g24030.1
OG0002222	Bra009328, Bra005976	Sp6g34750.1
OG0002223	Bra009776, Bra020464	Sp2g22770.1
OG0002223	Bra019601, Bra029960	Sp5g12560.1
OG0002224	Bra025508	SpUn0010_0110.1, Sp7g00630.1
OG0002224	Bra027796, Bra027653	Sp2g01010.1
OG0002225	Bra026415, Bra010432	Sp7g24590.1
OG0002225	Bra035582, Bra002880	Sp6g17570.1
OG0002226	Bra016735	Sp1g11790.1
OG0002226	Bra025160, Bra017350	Sp2g15020.1
OG0002227	Bra009198, Bra028732	Sp6g36380.1
OG0002227	Bra034811, Bra038681, Bra001420	Sp3g10010.1
OG0002229	Bra019669	Sp1g12590.1
OG0002229	Bra019670	Sp1g12580.1
OG0002230	Bra033949, Bra004042, Bra004296	Sp5g23360.1
OG0002231	Bra016162	Sp5g26220.1
OG0002231	Bra012353	Sp1g20450.1
OG0002232	Bra039023, Bra036700	Sp3g33190.1
OG0002232	Bra011085, Bra024160	Sp7g27090.1
OG0002233	Bra017478, Bra024935, Bra017357, Bra017358, Bra022141	Sp2g12280.1
OG0002234	Bra001166, Bra001165, Bra039411	Sp2g07670.1
OG0002235	Bra021995	Sp2g10790.1
OG0002235	Bra021000	Sp7g15410.1
OG0002236	Bra019734, Bra031798	Sp1g10680.1
OG0002237	Bra021208	Sp3g15110.1
OG0002238	Bra014538, Bra003379	Sp5g03660.1
OG0002238	Bra039874	Sp1g26790.1
OG0002239	Bra032097	Sp4g03430.1
OG0002239	Bra011258, Bra024013	Sp7g29170.1
OG0002240	Bra027110, Bra031472	Sp2g03640.1
OG0002240	Bra018416, Bra031739, Bra019888	Sp1g09670.1
OG0002241	Bra037750	Sp1g39730.1
OG0002241	Bra038654	Sp2g26780.1
OG0002241	Bra006008, Bra009352	Sp6g34290.1
OG0002242	Bra033119	Sp6g05400.1
OG0002242	Bra020832, Bra013644	Sp7g20810.1
OG0002243	Bra024686	Sp1g22030.1
OG0002243	Bra004392, Bra007864	Sp5g24650.1
OG0002244	Bra014208, Bra040669	Sp1g36640.1
OG0002244	Bra022412	Sp3g17400.1
OG0002245	Bra039673, Bra030934	Sp1g40010.1
OG0002245	Bra001565	Sp3g13030.1
OG0002246	Bra002608	Sp6g20630.1
OG0002246	Bra018178	Sp5g14730.1
OG0002248	Bra002206	Sp6g25320.1
OG0002248	Bra001185, Bra020771, Bra020770	Sp3g05110.1
OG0002249	Bra011938, Bra035685	Sp4g11470.1
OG0002250	Bra017901, Bra035433	Sp2g04970.1
OG0002250	Bra031707, Bra019950, Bra018449	Sp1g08880.1
OG0002251	Bra006179	Sp6g30890.1
OG0002251	Bra032810, Bra010957	Sp1g23490.1
OG0002252	Bra013997, Bra014000, Bra037056	Sp7g11680.1
OG0002253	Bra028994	Sp6g16990.1
OG0002253	Bra028996, Bra002936, Bra002937, Bra028995, Bra035548, Bra035549	Sp6g16980.1
OG0002254	Bra017134, Bra005131	Sp4g20490.1
OG0002254	Bra012833	Sp5g10410.1
OG0002255	Bra007493, Bra014523, Bra003395	Sp5g03250.1
OG0002255	Bra004805	Sp4g26180.1
OG0002256	Bra010534, Bra017710, Bra011616	Sp7g33220.1
OG0002257	Bra031127	Sp3g33770.1
OG0002257	Bra024199, Bra011031	Sp7g26450.1
OG0002258	Bra023439	Sp6g30140.1
OG0002258	Bra001451	Sp3g10590.1
OG0002259	Bra025948, Bra016586	Sp1g15870.1
OG0002259	Bra029125, Bra008074	Sp5g28110.1
OG0002260	Bra008491	Sp5g35640.1
OG0002260	Bra026138, Bra016662, Bra026768	Sp1g13710.1
OG0002266	Bra028233, Bra017884	SpUn0002_0500.1
OG0002267	Bra014605, Bra014604	Sp5g04910.1
OG0002267	Bra004681, Bra016883	Sp4g24490.1
OG0002268	Bra025831, Bra016460	Sp1g18300.1
OG0002268	Bra015762, Bra003727	Sp5g31450.1
OG0002269	Bra014931, Bra023740	Sp3g20920.1, Sp5g23260.1
OG0002270	Bra025147	Sp2g14850.1
OG0002270	Bra026899	Sp1g11950.1
OG0002271	Bra026774, Bra026150	Sp1g13580.1
OG0002272	Bra035651, Bra028392	Sp4g11900.1
OG0002273	Bra021701, Bra013431	Sp5g35830.1
OG0002274	Bra013224	Sp3g22860.1
OG0002274	Bra037477	Sp2g18930.1
OG0002275	Bra001962, Bra001340, Bra040062	Sp3g07270.1
OG0002276	Bra031772	Sp1g10220.1
OG0002276	Bra031393	Sp2g02730.1
OG0002277	Bra007800, Bra034252	Sp4g04660.1
OG0002277	Bra011333	Sp7g30040.1
OG0002278	Bra017531, Bra025003	Sp2g11520.1, SpUn0036_0090.1
OG0002278	Bra021029, Bra013266, Bra012632	Sp7g16210.1
OG0002279	Bra036704, Bra031103	Sp3g33130.1
OG0002279	Bra024151	Sp7g27170.1
OG0002280	Bra014495	Sp5g02870.1, SpUN0080_0050.1
OG0002280	Bra040336	Sp4g26970.1
OG0002281	Bra036226	Sp6g03050.1
OG0002281	Bra030532	Sp1g02410.1
OG0002282	Bra005327, Bra017312	Sp4g17800.1
OG0002282	Bra023226, Bra033863	Sp1g27670.1
OG0002283	Bra013820, Bra010486	Sp7g22620.1
OG0002283	Bra000606	Sp6g11850.1
OG0002284	Bra003721, Bra015752	Sp5g31560.1
OG0002284	Bra025845	Sp1g18510.1
OG0002285	Bra016757	Sp1g11340.1
OG0002285	Bra027626, Bra039253	Sp2g01390.1
OG0002286	Bra010999, Bra024740, Bra012472	Sp1g22690.1
OG0002287	Bra009456, Bra028790, Bra005804	Sp6g38330.1
OG0002287	Bra034120	Sp3g08760.1
OG0002288	Bra004382	Sp5g24530.1
OG0002288	Bra024694	Sp1g22110.1
OG0002289	Bra022261	Sp3g16040.1
OG0002289	Bra018731	Sp1g35480.1
OG0002290	Bra001241	Sp3g06140.1
OG0002290	Bra036163, Bra037470	Sp2g19070.1
OG0002291	Bra031843	Sp2g29000.1
OG0002291	Bra029976	Sp5g12270.1
OG0002292	Bra035466	Sp2g05490.1
OG0002292	Bra019991	Sp1g08400.1
OG0002293	Bra027838	Sp2g04820.1
OG0002293	Bra018443	Sp1g08950.1
OG0002294	Bra021905	Sp4g16620.1
OG0002294	Bra005435, Bra021904	Sp4g16610.1
OG0002295	Bra027824	Sp2g04620.1
OG0002295	Bra024636	Sp1g21450.1
OG0002296	Bra003336	Sp1g41880.1
OG0002296	Bra038201, Bra039746, Bra004134	Sp5g21000.1
OG0002297	Bra015768	Sp5g31440.1
OG0002297	Bra012236, Bra016461, Bra025830	Sp1g18290.1
OG0002298	Bra039516, Bra033751	SpUn0524_0010.1
OG0002300	Bra039098	Sp2g16110.1
OG0002300	Bra025526, Bra028483	Sp7g00860.1
OG0002301	Bra022768	Sp4g12550.1
OG0002301	Bra030676, Bra015560	Sp1g05950.1
OG0002302	Bra004912, Bra039337	Sp4g27470.1
OG0002302	Bra014465	Sp5g02370.1
OG0002303	Bra011341	Sp7g30140.1
OG0002304	Bra011026	Sp7g26400.1
OG0002304	Bra036490	Sp3g33870.1
OG0002305	Bra024417	Sp2g28850.1
OG0002305	Bra027582, Bra003211	Sp5g07060.1
OG0002306	Bra038068	Sp7g14100.1
OG0002306	Bra012767	Sp7g14090.1
OG0002307	Bra013567	Sp7g20030.1
OG0002307	Bra029518	Sp6g04150.1
OG0002308	Bra025759	Sp1g17540.1
OG0002309	Bra004600, Bra016950, Bra000215	Sp4g23450.1
OG0002309	Bra014673	Sp5g05810.1
OG0002310	Bra016244	Sp5g25100.1
OG0002310	Bra024650	Sp1g21580.1
OG0002311	Bra007755	Sp4g07320.1
OG0002312	Bra016224	Sp5g25480.1
OG0002313	Bra008621, Bra006357, Bra023567	Sp6g27710.1
OG0002314	Bra012915	Sp5g12190.1
OG0002314	Bra024444, Bra037844	Sp2g29150.1
OG0002315	Bra031738	Sp1g09690.1
OG0002315	Bra027108, Bra031470	Sp2g03620.1
OG0002316	Bra033555	Sp7g37550.1
OG0002316	Bra011611	Sp7g33170.1
OG0002317	Bra017384, Bra026549, Bra025114	Sp2g14390.1
OG0002318	Bra031814, Bra037163, Bra012084	Sp2g30130.1
OG0002318	Bra036862, Bra012887	Sp5g11420.1
OG0002319	Bra028011, Bra010213	Sp1g29110.1
OG0002319	Bra037899	Sp6g07370.1
OG0002320	Bra028624, Bra009397	Sp6g33720.1
OG0002320	Bra030204	Sp4g01770.1
OG0002321	Bra015788	Sp5g31220.1
OG0002321	Bra012226	Sp1g18060.1
OG0002322	Bra032124	Sp4g02970.1
OG0002322	Bra024049	Sp7g28600.1
OG0002323	Bra037849, Bra031832	Sp2g29260.1
OG0002324	Bra010282	Sp7g28430.1
OG0002324	Bra039220	Sp4g02880.1
OG0002326	Bra028796	Sp6g38620.1
OG0002326	Bra029828	Sp3g08540.1
OG0002327	Bra039054, Bra033049, Bra025339	Sp2g17260.1
OG0002328	Bra005788	Sp6g38840.1
OG0002328	Bra034094, Bra029817	Sp3g08400.1
OG0002329	Bra009954, Bra036626	Sp2g09790.1, Sp6g20110.1
OG0002329	Bra020587	Sp2g20690.1
OG0002330	Bra007127	Sp5g07400.1
OG0002332	Bra018885	Sp1g37760.1
OG0002332	Bra032281, Bra018786	Sp1g36200.1
OG0002333	Bra039852	Sp3g29420.1
OG0002333	Bra017659, Bra011537	Sp7g32270.1
OG0002334	Bra005253	Sp4g18950.1
OG0002334	Bra040688	Sp5g09200.1
OG0002335	Bra004799	Sp4g26100.1
OG0002335	Bra007485	Sp5g03270.1
OG0002336	Bra005420	Sp4g16760.1
OG0002337	Bra015656, Bra003670, Bra008333	Sp5g32930.1
OG0002338	Bra032024	Sp3g02040.1
OG0002338	Bra008594, Bra006371	Sp6g27330.1
OG0002339	Bra005540, Bra021819	Sp4g15320.1
OG0002339	Bra015379	Sp1g03880.1
OG0002340	Bra033900, Bra023790	Sp3g20600.1, SpUn0119_0020.1
OG0002341	Bra021378	Sp3g02070.1
OG0002341	Bra006376, Bra008586	Sp6g27230.1
OG0002342	Bra002009	Sp6g37780.1
OG0002342	Bra034141	Sp3g09070.1
OG0002343	Bra023004, Bra017329, Bra005358	Sp4g17450.1
OG0002344	Bra010204, Bra028004	Sp1g28930.1
OG0002344	Bra033193	Sp6g07260.1
OG0002345	Bra029430	Sp6g05510.1
OG0002346	Bra007658	Sp5g01300.1
OG0002347	Bra040079, Bra011350	Sp4g05010.1, Sp7g30260.1
OG0002348	Bra025011	Sp2g11440.1
OG0002348	Bra012627	Sp7g16140.1
OG0002349	Bra014911	Sp1g27340.1
OG0002350	Bra000650	Sp6g09350.1
OG0002351	Bra005925, Bra009291	SpUn0354_0020.1
OG0002352	Bra027071	Sp2g02630.1
OG0002352	Bra019837	Sp1g10310.1
OG0002353	Bra028623	Sp6g33710.1
OG0002353	Bra037780, Bra024308, Bra031914	Sp2g27620.1
OG0002354	Bra018895, Bra030454	Sp1g37860.1
OG0002355	Bra009882, Bra037139	Sp2g29750.1
OG0002355	Bra025956, Bra012116	Sp2g29760.1
OG0002356	Bra007721	Sp5g00530.1
OG0002356	Bra000467, Bra021451	Sp4g29870.1
OG0002357	Bra021188	Sp3g14940.1
OG0002357	Bra012753	Sp7g14350.1
OG0002358	Bra016651, Bra026749, Bra026106, Bra026108	Sp1g14070.1
OG0002359	Bra026248	Sp7g16790.1
OG0002359	Bra004870, Bra017486	Sp2g12130.1
OG0002360	Bra010350, Bra011057	Sp7g26760.1
OG0002361	Bra040136	Sp3g03390.1
OG0002361	Bra009998	Sp2g20170.1
OG0002362	Bra017835, Bra010602	Sp7g35250.1
OG0002362	Bra032186	Sp4g02080.1
OG0002363	Bra009510	Sp6g38930.1
OG0002363	Bra028820	Sp6g38940.1
OG0002364	Bra005644	Sp4g14190.1
OG0002364	Bra015450	Sp1g04530.1
OG0002365	Bra039110	Sp3g00530.1
OG0002365	Bra008745	Sp6g29360.1
OG0002366	Bra009703	Sp2g23530.1
OG0002366	Bra018031	Sp5g13190.1
OG0002367	Bra012102	Sp2g29910.1
OG0002368	Bra019940	Sp1g08970.1
OG0002370	Bra023732	Sp3g21010.1
OG0002370	Bra010762	Sp7g12370.1
OG0002371	Bra010167, Bra023270, Bra035486	Sp1g28430.1
OG0002371	Bra005347	Sp4g17590.1
OG0002372	Bra030820	Sp1g41620.1
OG0002372	Bra034713, Bra001480	Sp3g11130.1
OG0002373	Bra012479	Sp1g22820.1
OG0002373	Bra033935, Bra004309	Sp5g23510.1
OG0002374	Bra033579, Bra011891	Sp7g36990.1
OG0002375	Bra039459	Sp3g03950.1
OG0002375	Bra009969	Sp2g20550.1
OG0002376	Bra016607, Bra025984, Bra026675	Sp1g15430.1
OG0002377	Bra037070	Sp7g12990.1
OG0002377	Bra039958, Bra023822, Bra001870	Sp3g20280.1
OG0002378	Bra013949	Sp7g24120.1
OG0002378	Bra035646, Bra006839, Bra002771	Sp6g18720.1
OG0002379	Bra027188, Bra021163	Sp3g14500.1
OG0002380	Bra014667, Bra007277	Sp5g05730.1
OG0002380	Bra016954	Sp4g23390.1
OG0002381	Bra037787, Bra006032	Sp2g27710.1, Sp6g33620.1
OG0002382	Bra011290	Sp7g29480.1
OG0002382	Bra032080	Sp4g03620.1
OG0002383	Bra013922, Bra008806	Sp7g23830.1
OG0002383	Bra002719, Bra020433	Sp6g19250.1, Sp6g19260.1
OG0002384	Bra019134, Bra013939	Sp7g24010.1
OG0002384	Bra002752, Bra020461	Sp6g18910.1
OG0002385	Bra003455	Sp5g01850.1
OG0002385	Bra004562	Sp4g28230.1
OG0002386	Bra016541	Sp1g16780.1
OG0002387	Bra016233	Sp5g25250.1
OG0002387	Bra024640	Sp1g21500.1
OG0002388	Bra011885	Sp7g36890.1
OG0002388	Bra030304, Bra031179	Sp4g00490.1
OG0002389	Bra013894	Sp7g23490.1
OG0002389	Bra029149, Bra028289	Sp6g14230.1
OG0002390	Bra039184	Sp4g02190.1
OG0002390	Bra011767, Bra017823	Sp7g35110.1
OG0002391	Bra016639, Bra026059	Sp1g14550.1
OG0002391	Bra035114, Bra008410	Sp5g34450.1
OG0002392	Bra003915, Bra007984, Bra016118	Sp5g26790.1, SpUn0095_0020.1
OG0002392	Bra016371	Sp1g20270.1
OG0002393	Bra006177	Sp3g34140.1
OG0002394	Bra011166	Sp7g27980.1
OG0002394	Bra038563, Bra038839	Sp3g32490.1
OG0002395	Bra023704	Sp1g33270.1, Sp6g25250.1
OG0002395	Bra002211, Bra002212	Sp4g23360.1
OG0002396	Bra001600	Sp3g13930.1
OG0002396	Bra030367	Sp1g39280.1
OG0002397	Bra038558	Sp3g32420.1
OG0002397	Bra010302, Bra011171	Sp7g28050.1
OG0002398	Bra019657, Bra026835	Sp1g12730.1
OG0002399	Bra032508	Sp1g03280.1
OG0002399	Bra005494, Bra021854	Sp4g15800.1
OG0002400	Bra032507, Bra015318	Sp1g03300.1
OG0002400	Bra022939, Bra021851	Sp4g15750.1
OG0002401	Bra033538	Sp1g30090.1
OG0002401	Bra000808, Bra029529	Sp6g04050.1, SpUn0051_0030.1
OG0002402	Bra015140, Bra037440, Bra020667	Sp2g19400.1
OG0002402	Bra029611	Sp3g05880.1
OG0002403	Bra037671, Bra000338	Sp4g26120.1
OG0002404	Bra040252	Sp3g04680.1
OG0002404	Bra038926	Sp2g06210.1
OG0002405	Bra035932	Sp2g24600.1
OG0002405	Bra009243	Sp6g35190.1
OG0002406	Bra008438, Bra035150	Sp5g34940.1
OG0002406	Bra026090, Bra026737	Sp1g14260.1
OG0002407	Bra001027	Sp3g01130.1
OG0002407	Bra023521	Sp6g28590.1
OG0002408	Bra013563, Bra020870	Sp7g19980.1
OG0002408	Bra029520	Sp6g04120.1
OG0002409	Bra005505	Sp4g15640.1
OG0002409	Bra015323	Sp1g03350.1
OG0002410	Bra039111	Sp3g00540.1
OG0002410	Bra008744	Sp6g29350.1
OG0002411	Bra024735, Bra011002	Sp1g22650.1
OG0002411	Bra038346	Sp5g23950.1
OG0002412	Bra019889, Bra031740	Sp1g09660.1
OG0002412	Bra031475	Sp2g03650.1
OG0002413	Bra032584	Sp1g01770.1
OG0002413	Bra018559, Bra036281	Sp6g02180.1
OG0002414	Bra036043	Sp5g12120.1
OG0002414	Bra031830, Bra012158	Sp2g29280.1
OG0002415	Bra004167	Sp5g21520.1
OG0002415	Bra028150	Sp7g04250.1
OG0002416	Bra039947, Bra001866, Bra023830	Sp3g20150.1
OG0002417	Bra006593, Bra002354	Sp6g23430.1
OG0002417	Bra040899	Sp5g17460.1
OG0002418	Bra016219	Sp5g25520.1
OG0002418	Bra024609, Bra012380	Sp1g20990.1
OG0002420	Bra037303	Sp3g29510.1
OG0002421	Bra031192	Sp4g00650.1
OG0002421	Bra011874	Sp7g36690.1
OG0002422	Bra025268, Bra033003	Sp2g16520.1
OG0002423	Bra007548	Sp5g02620.1
OG0002423	Bra000374	Sp4g27210.1
OG0002424	Bra032450	Sp1g04640.1
OG0002424	Bra021721	Sp4g14050.1
OG0002425	Bra004517, Bra039267	Sp4g28710.1
OG0002425	Bra007636	Sp5g01470.1
OG0002427	Bra039525, Bra025113	Sp2g09510.1
OG0002427	Bra013446	Sp7g18570.1
OG0002428	Bra011713, Bra010577	Sp7g34520.1
OG0002428	Bra039212, Bra032147	Sp4g02690.1
OG0002429	Bra033698	Sp2g08610.1
OG0002429	Bra032254, Bra014136	Sp1g35360.1
OG0002430	Bra024625	Sp1g21230.1
OG0002430	Bra016227, Bra003957	Sp5g25390.1
OG0002431	Bra014068	Sp1g34380.1
OG0002431	Bra035332, Bra027456	Sp2g07450.1
OG0002432	Bra020346, Bra006744	Sp6g20540.1
OG0002433	Bra010700	Sp7g36650.1
OG0002433	Bra031196	Sp4g00680.1
OG0002434	Bra030842	Sp1g41290.1
OG0002434	Bra034689, Bra001501	Sp3g11540.1
OG0002435	Bra022826, Bra018278	Sp4g13580.1
OG0002435	Bra030645, Bra015486	Sp1g05060.1
OG0002436	Bra035099, Bra003618	Sp1g14620.1, Sp5g34260.1
OG0002437	Bra040788	Sp7g05580.1
OG0002437	Bra027723, Bra027707	Sp2g00120.1
OG0002438	Bra007817	SpUn0318_0010.1
OG0002438	Bra011308	Sp7g29710.1
OG0002439	Bra030859	Sp1g41080.1
OG0002439	Bra027430, Bra039399	Sp3g11690.1
OG0002440	Bra032986, Bra025256	Sp2g16320.1
OG0002440	Bra025537	Sp7g01060.1
OG0002441	Bra005280	Sp4g18620.1
OG0002441	Bra028538, Bra019641, Bra006955	Sp5g09450.1
OG0002442	Bra036405	Sp3g28440.1
OG0002442	Bra017641, Bra011513	Sp7g32030.1
OG0002443	Bra038114	Sp1g39870.1
OG0002443	Bra001576, Bra027291	Sp3g13170.1
OG0002444	Bra014684, Bra007253	Sp5g05980.1
OG0002444	Bra000207	Sp4g23160.1
OG0002445	Bra008520	Sp6g00550.1
OG0002445	Bra033240	Sp1g00600.1
OG0002446	Bra013969	Sp6g26670.1
OG0002446	Bra001079	Sp3g02480.1
OG0002447	Bra011515	Sp7g32050.1
OG0002447	Bra013114, Bra036403	Sp3g28420.1
OG0002448	Bra016403	Sp1g19410.1
OG0002448	Bra003677, Bra015662	Sp5g32760.1
OG0002449	Bra009924, Bra020562	Sp2g21140.1
OG0002450	Bra014466	Sp5g02390.1
OG0002450	Bra032659	Sp1g00340.1
OG0002452	Bra020606, Bra027945, Bra009993	Sp2g20220.1
OG0002452	Bra040407, Bra001124	Sp3g03640.1
OG0002453	Bra038702, Bra034770	Sp3g10410.1
OG0002454	Bra036427	Sp3g02890.1
OG0002454	Bra006443, Bra023666	Sp6g26140.1
OG0002455	Bra009181	Sp6g36560.1
OG0002455	Bra001415, Bra034824	Sp3g09860.1
OG0002456	Bra032991, Bra025260, Bra039089	Sp2g16370.1
OG0002457	Bra031797, Bra016802	Sp1g10630.1
OG0002457	Bra034487	Sp2g02320.1
OG0002458	Bra026242	Sp7g16890.1
OG0002458	Bra022138, Bra017481	Sp2g12260.1
OG0002459	Bra016507, Bra025734	Sp1g17270.1
OG0002460	Bra011240, Bra010260	Sp7g28890.1
OG0002461	Bra017295, Bra023028	Sp4g18020.1
OG0002462	Bra035476, Bra041005	Sp1g28670.1
OG0002462	Bra037916, Bra033172	Sp6g07020.1
OG0002463	Bra014219	Sp1g36730.1
OG0002463	Bra022430, Bra038214	Sp3g17590.1
OG0002464	Bra036278	Sp6g02210.1
OG0002464	Bra030511, Bra033348	Sp1g01780.1
OG0002465	Bra030569, Bra015314	Sp1g03230.1
OG0002465	Bra027485	Sp2g08140.1
OG0002466	Bra008047, Bra016035	Sp5g27820.1
OG0002466	Bra025965, Bra016596	Sp1g15680.1
OG0002467	Bra032480, Bra015398	SpUn0024_0090.1, Sp1g04050.1
OG0002467	Bra005589	Sp4g14760.1
OG0002468	Bra026005, Bra026692, Bra040985, Bra016621	Sp1g15180.1
OG0002469	Bra036562	Sp2g21600.1
OG0002469	Bra023351, Bra008924	Sp6g31640.1
OG0002470	Bra004998	Sp4g22270.1
OG0002471	Bra015725	Sp5g31830.1
OG0002471	Bra025871, Bra016435	Sp1g18740.1
OG0002472	Bra035131	Sp5g34700.1
OG0002472	Bra026075	Sp1g14440.1
OG0002473	Bra025708	Sp1g17000.1
OG0002474	Bra018428, Bra019910	Sp1g09340.1
OG0002474	Bra031495	Sp2g04120.1
OG0002475	Bra026266	Sp7g26280.1
OG0002475	Bra031137, Bra036494, Bra036493	Sp3g33920.1
OG0002476	Bra023017, Bra017307, Bra005319	Sp4g17860.1
OG0002477	Bra024421, Bra037830	Sp2g28900.1
OG0002477	Bra017960, Bra029967	Sp5g12370.1
OG0002478	Bra013649, Bra019355	Sp7g20860.1
OG0002480	Bra015092	SpUN0027_0090.1, Sp3g22610.1
OG0002481	Bra039948, Bra023829	Sp3g20160.1
OG0002482	Bra031037	Sp1g16590.1
OG0002482	Bra008136	Sp5g29370.1
OG0002483	Bra029482	Sp6g04690.1
OG0002483	Bra019733	Sp1g10670.1
OG0002484	Bra025852, Bra016445	Sp1g18580.1
OG0002485	Bra032018, Bra021374	Sp3g02130.1
OG0002485	Bra023592	Sp6g27130.1
OG0002486	Bra021119, Bra027231, Bra027230	Sp3g13830.1
OG0002486	Bra021552, Bra021118	Sp3g13820.1
OG0002487	Bra009377	Sp6g34000.1
OG0002487	Bra009378	Sp6g33990.1
OG0002487	Bra022450	Sp3g17790.1
OG0002488	Bra005897	Sp6g36410.1
OG0002488	Bra038680, Bra034812	Sp3g10000.1
OG0002489	Bra036499	Sp3g34000.1
OG0002489	Bra026272, Bra024215	Sp7g26210.1
OG0002490	Bra031184	Sp4g00550.1
OG0002490	Bra033597, Bra010714	Sp7g36780.1
OG0002491	Bra014500	Sp5g02930.1
OG0002491	Bra037633, Bra004867	Sp4g26890.1
OG0002492	Bra025863	Sp1g18680.1
OG0002493	Bra018097, Bra018101	Sp5g14050.1, Sp5g14040.1
OG0002494	Bra011184	Sp7g28210.1
OG0002494	Bra038549, Bra038816	Sp3g32220.1
OG0002495	Bra013675, Bra019332	Sp7g21160.1
OG0002496	Bra013828	Sp7g22700.1
OG0002496	Bra033790, Bra000613, Bra037934, Bra022511	Sp6g12300.1
OG0002497	Bra004915	Sp4g27500.1
OG0002497	Bra007569, Bra003432	Sp5g02350.1
OG0002498	Bra009483	Sp6g38610.1
OG0002498	Bra016948, Bra000220	Sp4g23520.1
OG0002499	Bra004344, Bra038344, Bra004013	Sp5g23975.1
OG0002499	Bra011017, Bra012463	Sp1g22450.1
OG0002501	Bra032394	Sp1g26330.1
OG0002501	Bra021926, Bra005398	Sp4g16990.1
OG0002502	Bra030270	Sp4g01020.1
OG0002502	Bra011857	Sp7g36340.1
OG0002503	Bra007557, Bra007560	Sp5g02470.1
OG0002503	Bra004904, Bra040314	Sp4g27400.1
OG0002504	Bra021367	Sp3g02220.1
OG0002504	Bra005686, Bra028903	Sp6g40730.1
OG0002505	Bra027046, Bra034506	Sp2g02170.1
OG0002505	Bra013612	Sp7g20460.1
OG0002506	Bra025355	Sp2g17450.1
OG0002506	Bra039045, Bra033061	Sp2g17440.1
OG0002507	Bra030144	Sp1g25480.1
OG0002507	Bra022972	Sp4g16590.1
OG0002508	Bra034861, Bra034168	Sp3g09470.1
OG0002508	Bra028752, Bra005860	Sp6g37260.1
OG0002509	Bra020225	Sp6g22500.1
OG0002509	Bra037610	Sp5g16310.1
OG0002510	Bra009330	Sp6g34730.1
