Orthogroup	Brassica_rapa	Arabidopsis_thaliana
OG0001521	Bra017851, Bra011781	AT4G37740
OG0001521	Bra000575	AT2G22840
OG0001522	Bra041042, Bra041164	AT2G20110
OG0001522	Bra010348, Bra025590, Bra011075, Bra024171	AT4G29000
OG0001523	Bra003882, Bra008030	AT1G72370
OG0001524	Bra018864	AT1G50640
OG0001524	Bra035792, Bra038261, Bra001784	AT3G20310
OG0001525	Bra004391	AT1G69523
OG0001525	Bra003996	AT1G69526
OG0001527	Bra040677, Bra036719	AT2G19500
OG0001527	Bra024135	AT4G29740
OG0001528	Bra023638, Bra002108	AT5G17810
OG0001528	Bra036446, Bra031980	AT3G03660
OG0001529	Bra025409, Bra020747, Bra036203	AT3G30180
OG0001529	Bra025427	AT5G38970
OG0001530	Bra001941, Bra028369, Bra015029	AT3G24310
OG0001531	Bra027143, Bra031487	AT1G60670
OG0001531	Bra019900, Bra031746, Bra018421	AT1G10820
OG0001532	Bra009405	AT5G04990
OG0001532	Bra029862	AT3G10730
OG0001533	Bra021528	AT3G14060
OG0001533	Bra030903	AT1G54120
OG0001534	Bra019121, Bra013945, Bra010441	AT4G26080
OG0001534	Bra002766	AT5G57050
OG0001535	Bra031080	AT1G19400
OG0001535	Bra003765, Bra015862	AT1G75180
OG0001536	Bra003089, Bra022620	AT5G53030
OG0001536	Bra019025, Bra026305	AT4G27810
OG0001537	Bra018301, Bra021654, Bra022809	AT2G30620
OG0001539	Bra001033, Bra039159	AT3G02160
OG0001539	Bra023525, Bra008690	AT5G15570
OG0001540	Bra011316, Bra040065	AT4G32030
OG0001541	Bra027438, Bra039391, Bra001505	AT3G13410
OG0001542	Bra010568	AT4G36680
OG0001542	Bra037216	AT2G18520
OG0001543	Bra018223	AT3G46130
OG0001543	Bra002533, Bra006694, Bra020289	AT5G59780
OG0001544	Bra029438, Bra038812, Bra000761	AT4G12120
OG0001544	Bra026974, Bra019760	AT1G12360
OG0001545	Bra003342	AT3G58560
OG0001545	Bra007403, Bra014566, Bra003344	AT3G58580
OG0001546	Bra011237	AT4G30980
OG0001546	Bra007863, Bra032111	AT2G24260
OG0001547	Bra005754, Bra005751, Bra009562	AT5G02840
OG0001547	Bra029778	AT3G09600
OG0001548	Bra019149, Bra013904	AT4G25620
OG0001548	Bra028308	AT5G52430
OG0001549	Bra005830, Bra037447	AT2G25295
OG0001550	Bra007879, Bra016267	AT1G69760
OG0001550	Bra024675, Bra016296	AT1G26920
OG0001551	Bra040511	AT3G01329, AT3G01324
OG0001551	Bra004703	AT3G27425
OG0001552	Bra029848, Bra001367, Bra034123	AT3G10525
OG0001552	Bra028788, Bra005808, Bra009451	AT5G04470
OG0001553	Bra032246, Bra014124	AT1G48260
OG0001553	Bra022219, Bra001665	AT3G17510
OG0001554	Bra016037	AT1G72740
OG0001554	Bra016598, Bra025967, Bra030992	AT1G17520
OG0001555	Bra038001	AT1G55570
OG0001555	Bra001503, Bra039388, Bra034680	AT3G13390
OG0001556	Bra030816, Bra040785	AT1G56110
OG0001556	Bra001474	AT3G12860
OG0001557	Bra014284, Bra018884, Bra018883, Bra036569	AT1G51055, AT1G50980
OG0001558	Bra027472, Bra033659	AT5G43090, AT5G43110
OG0001558	Bra030058, Bra032843	AT4G08560
OG0001559	Bra018998	AT1G52890
OG0001559	Bra021113, Bra001596, Bra027238	AT3G15500
OG0001560	Bra038525	AT2G22425
OG0001560	Bra011812	AT4G40042
OG0001561	Bra040582, Bra040354, Bra040920, Bra009717	AT5G23960
OG0001564	Bra012648, Bra012647	AT2G06166, AT4G17718
OG0001567	Bra007913, Bra016221	AT1G70420
OG0001567	Bra024611	AT1G23710
OG0001568	Bra023602, Bra008570	AT5G17220
OG0001568	Bra032010	AT3G03190
OG0001569	Bra016034	AT1G72770
OG0001569	Bra016595, Bra025964	AT1G17550
OG0001570	Bra000223, Bra004614	AT2G41300
OG0001570	Bra014655	AT3G57010
OG0001571	Bra007963, Bra003936	AT1G71130
OG0001571	Bra016367, Bra012352	AT1G22985
OG0001572	Bra017005	AT2G40420
OG0001572	Bra007226, Bra007225	AT3G56200
OG0001573	Bra038490	AT4G16600
OG0001573	Bra005312, Bra017301	AT2G35710
OG0001574	Bra005854	AT5G05460
OG0001574	Bra034160, Bra034162	AT3G61010, AT3G11040
OG0001576	Bra006646, Bra020227	AT5G22980
OG0001576	Bra019415	AT3G45010
OG0001577	Bra006358, Bra008617	AT5G16500
OG0001577	Bra001065, Bra040602	AT3G02810
OG0001578	Bra020338, Bra002597	AT5G59270, AT5G59260
OG0001579	Bra039856, Bra036864	AT4G14500
OG0001579	Bra023766, Bra033882	AT3G23080
OG0001580	Bra016352, Bra024588	AT1G23330
OG0001580	Bra018424, Bra031751	AT1G10740
OG0001581	Bra024953, Bra017493	AT5G47230
OG0001581	Bra021049, Bra040158	AT4G17490
OG0001582	Bra033384	AT3G56300
OG0001582	Bra028978, Bra028205, Bra028421	AT5G38830
OG0001583	Bra018498	AT4G04605
OG0001583	Bra029503	AT4G04555, AT4G04580
OG0001584	Bra023564	AT5G16400
OG0001584	Bra040596, Bra021417	AT3G02730
OG0001585	Bra034851	AT3G11320
OG0001585	Bra009137, Bra005868	AT5G05820
OG0001586	Bra039307	AT2G45870
OG0001586	Bra007596, Bra014443	AT3G61320
OG0001587	Bra015827, Bra008214	AT1G75680
OG0001587	Bra025783, Bra012198	AT1G19940
OG0001589	Bra003757	AT1G75370
OG0001589	Bra012186, Bra025754	AT1G19650
OG0001590	Bra005357, Bra017328	AT2G35240
OG0001591	Bra001934	AT3G23990
OG0001591	Bra022931, Bra005514	AT2G33210
OG0001592	Bra015974	AT1G73690
OG0001593	Bra010132	AT5G62920
OG0001593	Bra019524, Bra018084, Bra033773	AT3G48100
OG0001594	Bra018251, Bra022837, Bra021736	AT2G31360
OG0001594	Bra032439, Bra015472	AT1G06080
OG0001595	Bra019855, Bra019856, Bra019863	AT1G11340
OG0001595	Bra019854	AT1G11410
OG0001596	Bra030840	AT1G55730, AT1G55720
OG0001596	Bra039385, Bra001499, Bra034690	AT3G13320
OG0001597	Bra032535	AT1G03980
OG0001597	Bra033718, Bra036010	AT5G44070
OG0001598	Bra014775, Bra003208, Bra007141	AT3G55110
OG0001598	Bra035353, Bra014773	AT3G55130
OG0001599	Bra014404	AT3G62270
OG0001599	Bra000442, Bra021386, Bra004476	AT2G47160
OG0001600	Bra018065	AT3G48360
OG0001600	Bra038612, Bra029235	AT5G63160
OG0001601	Bra008537, Bra013019	AT5G23130
OG0001601	Bra009329, Bra005977, Bra028667	AT5G08200
OG0001603	Bra031481	AT1G60780
OG0001603	Bra031752	AT1G10730
OG0001604	Bra032579, Bra033356	AT1G02890
OG0001604	Bra000878, Bra036265, Bra018548	AT4G02480
OG0001605	Bra002153, Bra006451	AT5G18320, AT5G18330, AT5G18340
OG0001606	Bra040466	AT1G65240
OG0001606	Bra039497, Bra035522, Bra035359	AT5G36260
OG0001607	Bra007575, Bra007397	AT4G26350
OG0001607	Bra019111, Bra026446	AT4G26340
OG0001608	Bra014988	AT3G23840
OG0001608	Bra032743	AT4G13840
OG0001609	Bra005892	AT5G05657, AT5G06330
OG0001609	Bra038671, Bra034822	AT3G11660
OG0001610	Bra012171	AT2G19210
OG0001610	Bra011156	AT4G29990
OG0001610	Bra012169	AT2G19190
OG0001611	Bra000756, Bra029426	AT4G11920
OG0001611	Bra019347, Bra013655	AT4G22910
OG0001612	Bra026405, Bra010428	AT4G26760
OG0001612	Bra035564, Bra002922, Bra028986	AT5G55230
OG0001613	Bra012429	AT1G27080
OG0001613	Bra016259, Bra007886	AT1G69870
OG0001614	Bra020985	AT4G18900
OG0001614	Bra020984, Bra013360	AT4G18905
OG0001615	Bra018042	AT3G48680
OG0001615	Bra035840, Bra038640, Bra029221	AT5G63510
OG0001616	Bra017437, Bra026646	AT2G01610
OG0001616	Bra016678, Bra026180	AT1G14890
OG0001617	Bra021551, Bra027347	AT3G14350
OG0001617	Bra039687, Bra030923	AT1G53730
OG0001618	Bra015731	AT1G76590
OG0001618	Bra012263, Bra016441, Bra025865	AT1G21000
OG0001619	Bra025292, Bra039074	AT3G27630
OG0001619	Bra025573	AT5G40460
OG0001620	Bra015256	AT1G03700
OG0001620	Bra034215	AT4G03540
OG0001621	Bra038122, Bra016543, Bra025686, Bra018734, Bra018733	AT1G18770, AT1G18760
OG0001622	Bra000417, Bra004551	AT2G46260
OG0001622	Bra007618, Bra003459	AT3G61600
OG0001623	Bra015124	AT3G25420
OG0001623	Bra032681	AT4G12910
OG0001624	Bra039170, Bra021470	AT3G02310
OG0001624	Bra006322, Bra008674	AT5G15800
OG0001625	Bra027542, Bra036021	AT5G44310
OG0001625	Bra041061, Bra020879, Bra013489	AT4G21020
OG0001626	Bra027498	AT5G43460
OG0001626	Bra030565	AT1G04340
OG0001627	Bra000344	AT2G44180
OG0001627	Bra003398, Bra014520, Bra007499	AT3G59990
OG0001628	Bra019796	AT1G12880
OG0001628	Bra025222, Bra032941	AT3G26690
OG0001629	Bra040489	AT5G50800
OG0001629	Bra019197, Bra010477, Bra013854	AT4G25010
OG0001630	Bra025446, Bra028118	AT5G37475
OG0001630	Bra039748, Bra004143	AT1G66070
OG0001631	Bra036055	AT3G50100
OG0001632	Bra009313	AT5G08000
OG0001632	Bra035941, Bra029334, Bra012981	AT5G61130
OG0001633	Bra025210, Bra032937	AT3G26520
OG0001633	Bra017222	AT2G36830
OG0001634	Bra019388	AT1G19070, AT4G22280
OG0001635	Bra002025, Bra009659	AT2G17150
OG0001635	Bra011600, Bra017705	AT4G35270
OG0001636	Bra009062	AT5G10040
OG0001636	Bra037808, Bra031873, Bra024364	AT5G65207
OG0001637	Bra034404	AT1G35710
OG0001637	Bra000657	AT4G08850
OG0001638	Bra018771, Bra014167	AT1G49000
OG0001638	Bra037578	AT3G18560
OG0001639	Bra021923, Bra022981	AT2G34600
OG0001639	Bra032362, Bra010794	AT1G30135
OG0001640	Bra036918	AT4G14990
OG0001640	Bra023839, Bra031345	AT3G22270
OG0001641	Bra029775	AT3G09570
OG0001641	Bra023680, Bra006464	AT5G18520
OG0001642	Bra031546	AT1G06920
OG0001642	Bra018316, Bra022796, Bra021632	AT2G30400
OG0001643	Bra027043, Bra036660, Bra034515	AT1G62450
OG0001643	Bra016793, Bra026994, Bra019740	AT1G12070
OG0001644	Bra027802	AT1G63450
OG0001644	Bra028492	AT5G41250
OG0001645	Bra011933, Bra035679	AT2G28680
OG0001645	Bra018688, Bra031591, Bra030698	AT1G07750
OG0001646	Bra026241, Bra012670	AT4G17270
OG0001646	Bra014431, Bra024936, Bra022139	AT5G47540
OG0001647	Bra024410, Bra031848	AT5G65690
OG0001647	Bra011792, Bra017856	AT4G37870
OG0001648	Bra040297, Bra029609, Bra001222	AT3G06868
OG0001648	Bra020663, Bra037437	AT5G49100
OG0001649	Bra020161, Bra002376	AT5G21950
OG0001649	Bra037017, Bra011425	AT4G33180
OG0001650	Bra033323	AT1G02390
OG0001650	Bra036303, Bra000903	AT4G01950
OG0001651	Bra017599	AT5G45630
OG0001651	Bra013366	AT4G18980
OG0001652	Bra004831	AT2G44430
OG0001652	Bra007506, Bra014512	AT3G60110
OG0001653	Bra009862, Bra036552	AT5G25810
OG0001653	Bra008952, Bra023332	AT5G11590
OG0001654	Bra031972, Bra036431	AT3G03800
OG0001654	Bra005968, Bra028672, Bra009318	AT5G08080
OG0001655	Bra029491, Bra000793	AT4G04450
OG0001655	Bra013584	AT4G22070
OG0001656	Bra009382	AT5G09410
OG0001656	Bra016887, Bra037769	AT5G64220
OG0001657	Bra019737, Bra016796, Bra026996	AT1G12040
OG0001657	Bra027044	AT1G62440
OG0001658	Bra011808, Bra010642	AT4G40060
OG0001658	Bra038523, Bra030238	AT2G22430
OG0001659	Bra015481	AT1G06180
OG0001659	Bra022831	AT2G31180
OG0001660	Bra015728, Bra008268, Bra008269	AT1G76640
OG0001661	Bra026910, Bra017179, Bra005187, Bra000005	AT2G37550
OG0001661	Bra039812, Bra007020	AT3G53710
OG0001662	Bra038544	AT2G18640
OG0001662	Bra032140, Bra039216	AT2G23800
OG0001663	Bra018304, Bra021651	AT2G30580
OG0001664	Bra005373	AT2G35020
OG0001664	Bra038405, Bra023160	AT1G31070
OG0001665	Bra009063, Bra028604	AT5G10030
OG0001665	Bra024366, Bra031871	AT5G65210
OG0001666	Bra021012, Bra013296	AT4G18290
OG0001666	Bra025028, Bra017567	AT5G46240
OG0001667	Bra000457	AT2G47650
OG0001667	Bra003511, Bra014390	AT3G62830
OG0001668	Bra019099, Bra026421	AT4G26570
OG0001668	Bra028949	AT5G55990
OG0001669	Bra028387, Bra035656	AT2G29020
OG0001671	Bra039827, Bra039828	AT2G14860
OG0001671	Bra036971	AT4G33905
OG0001672	Bra028344, Bra014983	AT3G23805
OG0001672	Bra014003	AT4G13950
OG0001673	Bra004689	AT2G42380
OG0001673	Bra007380	AT3G58120
OG0001674	Bra040570, Bra033550	AT4G16265
OG0001675	Bra018907	AT1G51400
OG0001675	Bra031247, Bra001809, Bra023909	AT3G21055
OG0001676	Bra036057	AT3G50160, AT3G50150
OG0001676	Bra012904	AT3G50200, AT3G50170
OG0001676	Bra036056, Bra012907	AT3G50120
OG0001677	Bra038574, Bra031450, Bra040665, Bra007765	AT1G61150
OG0001678	Bra028489	AT5G41180
OG0001678	Bra027640, Bra040943	AT1G63430
OG0001679	Bra016870	AT2G42500
OG0001680	Bra020856, Bra019395, Bra013592	AT4G22140
OG0001681	Bra002231, Bra020035	AT5G19360
OG0001681	Bra023367, Bra006142, Bra008910	AT5G12180
OG0001682	Bra032288, Bra014195	AT1G49500
OG0001682	Bra037542, Bra022380, Bra001732	AT3G19030
OG0001683	Bra002933, Bra028991, Bra035552	AT5G55090
OG0001683	Bra026395, Bra010423	AT4G26890
OG0001684	Bra023411, Bra006198, Bra006199, Bra023412, Bra008830	AT5G13440, AT5G13430
OG0001685	Bra029779	AT3G09620
OG0001685	Bra025856	AT1G20920
OG0001686	Bra000713	AT4G10500
OG0001686	Bra000712, Bra037921	AT4G10490
OG0001687	Bra029650, Bra001253	AT3G07470
OG0001688	Bra033350	AT1G02820
OG0001688	Bra000884, Bra036272, Bra018556	AT4G02380
OG0001689	Bra004898	AT2G45290
OG0001689	Bra014473, Bra007555	AT3G60750
OG0001690	Bra029429	AT4G11990
OG0001690	Bra013651, Bra020830	AT4G22860
OG0001691	Bra031278	AT3G21352
OG0001692	Bra013383	AT4G20810, AT4G20340
OG0001692	Bra033381	AT1G03280
OG0001693	Bra015939, Bra008131	AT1G74080
OG0001693	Bra025666, Bra031035, Bra016553	AT1G18570
OG0001694	Bra003269	AT3G57140
OG0001694	Bra028805, Bra005789	AT5G04040
OG0001695	Bra037167	AT5G66480
OG0001695	Bra012880, Bra036850	AT3G50910
OG0001696	Bra013307, Bra021010	AT4G18425
OG0001696	Bra025040, Bra025039	AT5G46090
OG0001697	Bra025974, Bra030990	AT1G17455
OG0001697	Bra008041, Bra003872	AT1G72630
OG0001698	Bra004676	AT2G42230
OG0001698	Bra003303, Bra014600, Bra007365	AT3G57890
OG0001699	Bra034754	AT3G12500
OG0001700	Bra029483	AT4G04080
OG0001700	Bra013601, Bra020855	AT4G22220
OG0001701	Bra014419	AT3G61830
OG0001701	Bra004530	AT2G46530
OG0001702	Bra036772	AT4G13520
OG0001702	Bra035983	AT3G24280
OG0001703	Bra024384, Bra037818	AT5G65430
OG0001703	Bra028586, Bra006061	AT5G10450
OG0001704	Bra041137, Bra033647	AT5G42880
OG0001704	Bra014049, Bra040259	AT1G45545
OG0001705	Bra022595	AT5G52470
OG0001705	Bra013905, Bra019148	AT4G25630
OG0001706	Bra029971	AT3G49780
OG0001706	Bra024425, Bra031844	AT5G65870
OG0001707	Bra012857	AT3G51330
OG0001707	Bra036815	AT3G51340
OG0001708	Bra031008, Bra016575	AT1G17950
OG0001708	Bra008096, Bra015992	AT1G73410
OG0001709	Bra010877	AT1G28395
OG0001709	Bra005466	AT2G33847
OG0001710	Bra001614, Bra021143	AT3G15890
OG0001710	Bra018971, Bra030378	AT1G52540
OG0001711	Bra000232, Bra004630	AT2G41630
OG0001711	Bra001354	AT3G10330
OG0001712	Bra019923	AT1G10570
OG0001712	Bra027164	AT2G10625, AT1G60220
OG0001713	Bra033011	AT3G27430
OG0001714	Bra040609, Bra021408	AT3G02880
OG0001714	Bra023574, Bra008611	AT5G16590
OG0001715	Bra030051	AT1G27440
OG0001715	Bra019618	AT5G61840
OG0001716	Bra007856, Bra032096	AT2G24420
OG0001716	Bra011260, Bra024012	AT4G31340
OG0001717	Bra036148	AT5G49230
OG0001717	Bra001214, Bra029603, Bra040289	AT3G06760
OG0001718	Bra015724	AT1G76700
OG0001718	Bra016434, Bra025872	AT1G21080
OG0001719	Bra026720, Bra026048	AT1G16490
OG0001719	Bra035097, Bra003619	AT1G79180
OG0001720	Bra022963	AT2G34020
OG0001720	Bra032925	AT1G29020, AT1G29025
OG0001721	Bra025468, Bra025469	AT5G41730
OG0001721	Bra027745, Bra027691	AT1G64300
OG0001722	Bra030435	AT1G51560
OG0001722	Bra023902, Bra031254, Bra001814	AT3G21140
OG0001723	Bra012563	AT4G18970
OG0001723	Bra025064, Bra017597	AT5G45670
OG0001724	Bra016611	AT1G17250
OG0001724	Bra008027, Bra016068	AT1G72300
OG0001725	Bra019106, Bra026439	AT4G26430
OG0001725	Bra002827	AT5G56280
OG0001726	Bra030952	AT1G53230
OG0001726	Bra001579, Bra027284, Bra021586	AT3G15030
OG0001727	Bra027618, Bra027000	AT1G63090
OG0001727	Bra019781	AT1G12710
OG0001728	Bra012330, Bra040855	AT1G22500
OG0001728	Bra008015, Bra008016, Bra003887	AT1G72200
OG0001729	Bra036939, Bra032199, Bra014020	AT1G44100
OG0001729	Bra015673	AT1G77380
OG0001730	Bra016909, Bra004656	AT2G41860
OG0001730	Bra007334, Bra003287	AT3G57530
OG0001731	Bra025471	AT5G41720
OG0001732	Bra021376, Bra032021	AT3G03060
OG0001732	Bra008582, Bra023590	AT5G16930
OG0001733	Bra034849, Bra034850, Bra001399	AT3G11330
OG0001733	Bra009140	AT5G05850
OG0001734	Bra036540, Bra009829	AT5G25280
OG0001734	Bra006088, Bra008991	AT5G11090
OG0001735	Bra005473	AT2G33775
OG0001735	Bra010886, Bra030081, Bra032888	AT1G28270
OG0001736	Bra031385, Bra012321, Bra030235	AT1G22330
OG0001736	Bra003651	AT1G78260
OG0001737	Bra012879	AT3G50920
OG0001737	Bra012072, Bra037170, Bra031812	AT5G66450
OG0001738	Bra014138	AT1G48440
OG0001738	Bra022243, Bra001681, Bra021273	AT3G17780
OG0001739	Bra015582, Bra031577, Bra030684	AT1G07480, AT1G07470
OG0001740	Bra002070, Bra017688	AT2G17530
OG0001740	Bra017716, Bra028159, Bra011619	AT4G35500
OG0001741	Bra028685	AT5G07680
OG0001741	Bra029313, Bra012960	AT5G61430
OG0001742	Bra021431, Bra039182, Bra001052	AT3G02560
OG0001742	Bra008643, Bra006340	AT5G16130
OG0001743	Bra030821, Bra037094, Bra038031	AT1G55920
OG0001743	Bra034705	AT3G13110
OG0001744	Bra017911	AT1G21390
OG0001744	Bra003695, Bra015703	AT1G76980
OG0001745	Bra018861	AT1G50630
OG0001745	Bra035793, Bra038260, Bra001783	AT3G20300
OG0001746	Bra022885, Bra005584	AT2G32340
OG0001746	Bra015405, Bra030608	AT1G05270
OG0001747	Bra027208, Bra021133	AT3G15760
OG0001747	Bra030376, Bra018973	AT1G52565
OG0001748	Bra019773, Bra026967	AT1G12540
OG0001748	Bra036640	AT1G62975
OG0001749	Bra001074, Bra032012	AT3G03160
OG0001749	Bra008573	AT5G17190
OG0001750	Bra016780, Bra026975, Bra019758	AT1G12320
OG0001750	Bra034527	AT1G62840
OG0001751	Bra028894	AT5G01280
OG0001751	Bra029739, Bra034046	AT3G09000
OG0001752	Bra032105, Bra007861	AT2G24320
OG0001752	Bra024028, Bra011242, Bra010259	AT4G31020
OG0001753	Bra006504, Bra002235	AT5G19420
OG0001753	Bra023374, Bra008895	AT5G12350
OG0001754	Bra040857	AT1G22480
OG0001754	Bra008019, Bra016078	AT1G72230
OG0001755	Bra013687, Bra013688	AT4G23373, AT4G23370
OG0001755	Bra019308	AT4G23390, AT2G20170
OG0001756	Bra037473	AT5G48640
OG0001756	Bra020686	AT5G48630
OG0001757	Bra018120	AT3G47690
OG0001757	Bra029255, Bra010091, Bra010090	AT5G62500
OG0001758	Bra029309	AT5G61780
OG0001758	Bra028701, Bra005933	AT5G07350
OG0001759	Bra035919, Bra012939	AT5G61590
OG0001759	Bra028690, Bra009250	AT5G07580
OG0001760	Bra040831	AT3G22630
OG0001760	Bra036904, Bra039714, Bra037068, Bra018359	AT4G14800
OG0001761	Bra020913	AT4G12770, AT4G12780
OG0001762	Bra025365, Bra033070	AT3G28930, AT3G28940
OG0001763	Bra039206	AT2G23590, AT2G23600
OG0001763	Bra032155	AT2G23620
OG0001764	Bra006989, Bra003130, Bra002742, Bra017692	AT3G53310
OG0001765	Bra032521, Bra015297	AT1G04240
OG0001765	Bra027504	AT5G43700
OG0001766	Bra017370, Bra026539, Bra026535, Bra017373, Bra017365, Bra017368	AT2G03760
OG0001767	Bra018221, Bra038276, Bra018222, Bra009365, Bra028646	AT5G08730
OG0001768	Bra030222, Bra039921	AT2G22630
OG0001768	Bra010623, Bra011797	AT4G37940
OG0001769	Bra027349	AT3G19140
OG0001769	Bra030972, Bra008075, Bra026337	AT3G14320
OG0001773	Bra028282, Bra029155	AT5G51860
OG0001773	Bra029154, Bra028283	AT5G51870
OG0001774	Bra000128, Bra005054	AT2G39300
OG0001774	Bra003206	AT3G55060
OG0001775	Bra022551, Bra029171	AT5G51480
OG0001775	Bra013877	AT4G25240
OG0001776	Bra023478	AT5G14610
OG0001776	Bra001004, Bra040699	AT3G01540
OG0001777	Bra002475	AT5G60520
OG0001777	Bra006655, Bra002474	AT5G60530
OG0001778	Bra011902, Bra033556	AT4G38220
OG0001779	Bra029791	AT3G09810
OG0001779	Bra009537, Bra005736	AT5G03290
OG0001780	Bra005775	AT5G03630
OG0001781	Bra034539, Bra011392	AT4G32880
OG0001781	Bra014315, Bra018948	AT1G52150
OG0001782	Bra030850	AT1G55560
OG0001782	Bra001504, Bra039389, Bra034679	AT3G13400
OG0001783	Bra013908, Bra010452, Bra013910	AT4G25660, AT4G25680
OG0001784	Bra013483, Bra038385, Bra013484	AT4G20920
OG0001784	Bra013482	AT4G20910
OG0001785	Bra015687	AT1G77180
OG0001786	Bra005687, Bra028901	AT5G01410
OG0001787	Bra017401	AT3G47130, AT3G47150, AT3G47140
OG0001788	Bra023715	AT5G19250
OG0001788	Bra040236, Bra001179, Bra020784	AT3G06035
OG0001789	Bra009464	AT5G04340
OG0001789	Bra010922, Bra032845	AT1G27730
OG0001790	Bra040599, Bra021411, Bra001063	AT3G02780
OG0001790	Bra006354	AT5G16440
OG0001791	Bra007441, Bra003369, Bra014546	AT3G59280
OG0001792	Bra028754	AT5G05580
OG0001792	Bra001392, Bra034863	AT3G11170
OG0001793	Bra003897, Bra003896	AT1G72130
OG0001794	Bra011609	AT4G35360
OG0001794	Bra009651	AT2G17340, AT2G17320
OG0001795	Bra015239	AT2G20810
OG0001795	Bra016552, Bra025667	AT1G18580
OG0001796	Bra032934	AT4G31740
OG0001796	Bra024484	AT2G17980
OG0001797	Bra032176	AT2G23290
OG0001797	Bra010593, Bra011749, Bra017813	AT4G37260
OG0001798	Bra030229	AT5G49680
OG0001798	Bra035454, Bra010920, Bra027881	AT1G58250
OG0001800	Bra031799, Bra016798, Bra019735	AT1G12020
OG0001801	Bra006575, Bra002329, Bra020126	AT5G20790
OG0001802	Bra035830, Bra001770, Bra027930, Bra038247	AT1G50370
OG0001803	Bra026018	AT1G16890
OG0001804	Bra040118, Bra040410	AT3G04860
OG0001804	Bra036119, Bra009991	AT5G28150
OG0001805	Bra028570, Bra009008	AT5G10740
OG0001805	Bra010222, Bra011296	AT4G31750
OG0001806	Bra031688	AT1G09930
OG0001806	Bra031920	AT5G64410
OG0001807	Bra018383	AT2G29500
OG0001808	Bra003967, Bra016241	AT1G70060
OG0001809	Bra016185	AT1G70810, AT1G70800
OG0001809	Bra024565	AT1G23140
OG0001810	Bra016797, Bra019736	AT1G12030
OG0001811	Bra008797	AT5G13850
OG0001811	Bra001450, Bra034757	AT3G12390
OG0001812	Bra039082, Bra025272, Bra033006	AT3G27380
OG0001813	Bra006810, Bra020427	AT5G57625
OG0001813	Bra013920	AT4G25790
OG0001814	Bra010973	AT1G24600
OG0001815	Bra008049, Bra018134, Bra035178	AT2G26865
OG0001816	Bra017418, Bra026611	AT2G02180
OG0001816	Bra026208	AT1G14530
OG0001817	Bra010848	AT1G29160
OG0001817	Bra021895	AT2G34140
OG0001818	Bra011655, Bra017742	AT4G36020
OG0001819	Bra017989, Bra019593	AT3G49370
OG0001819	Bra036512, Bra009765	AT5G24430
OG0001820	Bra013750	AT4G24000
OG0001820	Bra019253	AT4G23990
OG0001821	Bra011232	AT4G30910, AT4G30920
OG0001821	Bra032118, Bra004643, Bra039237	AT2G24200
OG0001822	Bra011133	AT4G29730
OG0001822	Bra040678, Bra036717, Bra031085	AT2G19520
OG0001823	Bra034648, Bra017672, Bra011555, Bra011554	AT4G34710
OG0001824	Bra015789	AT1G76090
OG0001824	Bra025811	AT1G20330
OG0001825	Bra035152, Bra008439	AT1G80780
OG0001825	Bra005614	AT2G32070
OG0001826	Bra034711, Bra039361	AT3G13030, AT3G13020, AT3G13010
OG0001827	Bra037861	AT4G08520
OG0001827	Bra029790, Bra001298	AT3G09800
OG0001828	Bra016415, Bra017931	AT1G21590
OG0001828	Bra015680, Bra008299	AT1G77280
OG0001829	Bra018157	AT3G47380
OG0001829	Bra010075, Bra029267	AT5G62350
OG0001830	Bra016631, Bra026027, Bra026707	AT1G16760
OG0001830	Bra008387, Bra035078	AT1G78940
OG0001831	Bra010756, Bra032781	AT4G14290
OG0001831	Bra023721, Bra014960	AT3G23540
OG0001832	Bra008235, Bra015798	AT1G76020
OG0001832	Bra025802	AT1G20225
OG0001833	Bra020678, Bra020679	AT5G44620
OG0001833	Bra033755	AT4G12330
OG0001834	Bra015417, Bra032468	AT1G05320
OG0001834	Bra022880, Bra005575	AT2G32240
OG0001835	Bra004624	AT2G41490
OG0001835	Bra014644, Bra007312	AT3G57220
OG0001836	Bra013517	AT4G21280
OG0001836	Bra029563	AT4G05180
OG0001837	Bra029487, Bra000787	AT4G04210
OG0001837	Bra013593	AT4G22150
OG0001838	Bra035627	AT5G56640
OG0001838	Bra041014	AT4G26260
OG0001839	Bra028947, Bra002843	AT5G56140
OG0001839	Bra026431, Bra019101	AT4G26480
OG0001840	Bra023987, Bra011294	AT4G31730
OG0001840	Bra007834	AT2G24762
OG0001841	Bra032255	AT1G48450
OG0001841	Bra022245, Bra001683	AT3G17800
OG0001842	Bra015242, Bra013095	AT2G15830
OG0001842	Bra011482, Bra034593, Bra017616	AT4G33960
OG0001843	Bra000358, Bra004855, Bra037639	AT2G44670
OG0001844	Bra011470, Bra034583	AT4G33790
OG0001845	Bra006173, Bra008866	AT5G12980
OG0001845	Bra023926	AT3G20800
OG0001846	Bra005595	AT2G32430
OG0001846	Bra015395	AT1G05170
OG0001847	Bra037635	AT2G44770
OG0001847	Bra007521	AT3G60260
OG0001848	Bra026114	AT1G15730
OG0001848	Bra008470	AT1G80480
OG0001849	Bra013731	AT4G23800
OG0001849	Bra035256	AT4G11080
OG0001850	Bra037805, Bra024356	AT5G65120
OG0001850	Bra006048	AT5G10110
OG0001851	Bra011193	AT4G30430
OG0001851	Bra000571, Bra039217	AT2G23810
