Orthogroup	Brassica_rapa	Camelina_sativa
OG0000620	Bra017210	Csa06g039710
OG0000621	Bra003662	Csa09g084720, Csa16g042180, Csa07g050610
OG0000621	Bra037566, Bra022351, Bra001719	Csa01g021660, Csa01g021620, Csa19g026170, Csa19g026130, Csa15g026390, Csa15g026350
OG0000622	Bra001098, Bra006454, Bra040145, Bra040207	Csa15g005130, Csa01g004970, Csa19g006400
OG0000623	Bra028691, Bra028692	Csa08g056840, Csa20g009980, Csa13g009610
OG0000623	Bra005945, Bra009251	Csa02144s010, Csa13g009580, Csa18978s010
OG0000625	Bra034890	Csa16g008790, Csa07g010020, Csa12g055550
OG0000625	Bra021798, Bra021797, Bra021796	Csa07g010090, Csa07g010110, Csa05g024350, Csa02g007830
OG0000626	Bra012698	Csa16g051670, Csa07g061060, Csa19g028370, Csa01802s010, Csa06g049460, Csa05g003510, Csa06g052110, Csa04g063510, Csa12440s010
OG0000626	Bra004488	Csa04g064820
OG0000627	Bra008366, Bra035049	Csa09g092680, Csa07g057580, Csa16g048140
OG0000627	Bra026010	Csa17g022610, Csa03g020740, Csa14g021100
OG0000627	Bra019043	Csa12g023270, Csa10g015280, Csa11g016580, Csa12g023180
OG0000628	Bra020955	Csa12g042400, Csa11g027770, Csa11g027780, Csa12g042000, Csa09g093380, Csa12g041990
OG0000628	Bra020958, Bra013403, Bra020957	Csa11g051550, Csa10g041270, Csa25180s010, Csa11g051820, Csa05g003780, Csa11g051540, Csa09g008920
OG0000629	Bra012794, Bra039556	Csa16g045770, Csa09g088290
OG0000629	Bra030195, Bra030190	Csa10g030900, Csa12g055500
OG0000630	Bra029356, Bra029355, Bra021947	Csa20g037920, Csa13g027610, Csa08g017360
OG0000630	Bra018524	Csa08g017380, Csa13g027630, Csa20g037940, Csa20g037930, Csa13g027620, Csa08g017370
OG0000631	Bra030495, Bra033285, Bra032620	Csa18g002110, Csa11g064000, Csa20g082190, Csa03g002130, Csa17g001580, Csa14g002070
OG0000632	Bra039476, Bra039477	Csa19g007170, Csa01g005720, Csa15g005970
OG0000632	Bra001194, Bra039461	Csa19g007370, Csa01g005900, Csa17g029190, Csa19g007360, Csa15g006330, Csa17g029180
OG0000632	Bra024236	Csa12g022700, Csa12g022690, Csa10g014820, Csa11g016010, Csa11g016000
OG0000633	Bra040592, Bra001049	Csa01g002100, Csa19g004610, Csa15g002170
OG0000633	Bra028187, Bra028409	Csa11g053380, Csa10g044580, Csa12g084140
OG0000634	Bra005117, Bra017126	Csa06g041070
OG0000634	Bra009641, Bra005676	Csa13g001300, Csa08g063270, Csa20g001410
OG0000634	Bra029727	Csa15g010170, Csa01g009570, Csa19g012250
OG0000635	Bra025492	Csa11g060020
OG0000635	Bra003118, Bra029112	Csa11g084450, Csa02g048870, Csa18g023600
OG0000637	Bra018226, Bra022859, Bra021722, Bra021724, Bra022851	Csa07g011230, Csa09g062300, Csa04g039900, Csa06g028330, Csa16g009960, Csa05g029590
OG0000638	Bra031425	Csa09g096010, Csa07g062700, Csa16g053300, Csa07g062690
OG0000639	Bra034634	Csa10g007620
OG0000639	Bra037304, Bra001974	Csa19g050830, Csa15g072100
OG0000639	Bra031081, Bra025738	Csa17g025260, Csa03g023250, Csa14g024750
OG0000640	Bra034466	Csa07g063440, Csa09g096770, Csa16g053900
OG0000640	Bra029505	Csa13g052370, Csa08g048550, Csa02g011520
OG0000640	Bra013579, Bra019406	Csa12g036100, Csa10g021280, Csa11g024260
OG0000641	Bra019711, Bra004184, Bra004183, Bra004175	Csa07g031850, Csa05g072430, Csa00639s080, Csa16g025270, Csa09g051960, Csa05g089400, Csa05g079670, Csa05g072440, Csa07g031840, Csa07g031860, Csa16g025280, Csa20g030440, Csa07g031880, Csa16g025290
OG0000642	Bra007823	Csa06g053670, Csa04g066280
OG0000642	Bra039945	Csa09g022770, Csa04g016960, Csa06g012540
OG0000643	Bra039983	Csa05g034720, Csa16g015510
OG0000643	Bra039982	Csa05g034730, Csa16g015520
OG0000643	Bra039984	Csa16g015500, Csa05g034700
OG0000644	Bra023989	Csa11g011660
OG0000644	Bra032072	Csa09g088940
OG0000644	Bra032063	Csa16g046470
OG0000645	Bra006212	Csa13g016450, Csa08g005660, Csa20g019100
OG0000645	Bra008805, Bra008804, Bra006213	Csa20g019140, Csa08g005710, Csa20g019120, Csa13g016470, Csa20g019110, Csa08g005670, Csa13g016460
OG0000647	Bra027549, Bra027552, Bra027547	Csa20g071510, Csa11g070260, Csa18g009300
OG0000647	Bra033743	Csa11g070270, Csa20g071500
OG0000647	Bra027553	Csa11g070250, Csa18g009290, Csa20g071550
OG0000647	Bra006964	Csa20g071490
OG0000648	Bra025331, Bra025328, Bra039055, Bra027534	Csa06g009600, Csa09g018640, Csa09g018680, Csa04g016580
OG0000648	Bra025326, Bra033043	Csa06g009530
OG0000649	Bra006850	Csa18g029780, Csa11g090350, Csa02g061180
OG0000649	Bra019644	Csa06g027220, Csa04g038760, Csa09g061060
OG0000649	Bra019120, Bra013956	Csa10g016770, Csa11g018260, Csa12g025920
OG0000650	Bra040801	Csa11g041550, Csa10g033340, Csa12g063060
OG0000650	Bra015028, Bra028368	Csa15g049850
OG0000650	Bra001940	Csa15g049840, Csa16431s010
OG0000651	Bra007188	Csa09g078860, Csa16g038210, Csa04g042110, Csa06g030410, Csa09g067810
OG0000652	Bra017017, Bra017083, Bra017082, Bra000129, Bra005053	Csa04g053340, Csa06g043310, Csa13g021190, Csa05g013930, Csa05g013920, Csa06g043290
OG0000653	Bra003427, Bra014472, Bra007556	Csa11g042940, Csa10g036000
OG0000653	Bra004901, Bra040316	Csa13g057380
OG0000654	Bra014503	Csa05g092010
OG0000654	Bra007519	Csa05g092010
OG0000654	Bra003406	Csa16g005670, Csa07g004820
OG0000655	Bra001613, Bra021142	Csa19g022680
OG0000655	Bra003569	Csa07g059350
OG0000655	Bra026112, Bra026751	Csa03g019510
OG0000656	Bra006978	Csa06g027670, Csa09g061510
OG0000656	Bra005733	Csa20g003370, Csa08g061260
OG0000656	Bra001297, Bra034089, Bra029795	Csa19g013290
OG0000657	Bra003155	Csa09g062170, Csa06g028210, Csa04g039770
OG0000658	Bra012581, Bra013341, Bra020994	Csa12g043090, Csa00751s010, Csa11g029710
OG0000658	Bra021685	Csa07g011970, Csa05g030500
OG0000659	Bra001876	Csa15g039310, Csa01g025900, Csa19g031910, Csa19g031900, Csa19g031890
OG0000659	Bra001829	Csa15g031820, Csa19g029480, Csa01g024500
OG0000659	Bra034111, Bra034113	Csa13g052470
OG0000660	Bra032476, Bra032475, Bra030607, Bra030606	Csa03g006630, Csa17g008530, Csa14g006520
OG0000660	Bra015403, Bra015402, Bra032477	Csa17g008520, Csa03g006620
OG0000663	Bra011095, Bra011092	Csa11g014220, Csa10g013250, Csa12g018190
OG0000663	Bra010537, Bra010254	Csa05g081530, Csa10g043290, Csa10g027440, Csa11g014200, Csa10g013230, Csa12g018170
OG0000665	Bra011869, Bra010693	Csa12g002140, Csa11g002230, Csa10g002030
OG0000665	Bra031210	Csa07g051800, Csa16g043460, Csa09g086060
OG0000666	Bra000333	Csa05g006390, Csa06g050240, Csa04g061710
OG0000666	Bra005638	Csa07g010990
OG0000666	Bra015445, Bra030617, Bra032456	Csa14g006980
OG0000668	Bra006263	Csa13g017460, Csa20g021170, Csa08g006690
OG0000668	Bra040251, Bra001169, Bra039407	Csa15g007260, Csa19g008370, Csa01g006750
OG0000668	Bra036593, Bra009916	Csa13g034720, Csa20g054000
OG0000669	Bra006632, Bra020211, Bra020210	Csa08g015960, Csa13g026250, Csa20g036440
OG0000670	Bra028028, Bra034447, Bra000692, Bra037884	Csa14g027980, Csa08g037580, Csa13g044730
OG0000671	Bra007157, Bra003210, Bra014751	Csa09g067360, Csa06g029990, Csa04g041630
OG0000671	Bra002579	Csa11g093120, Csa18g032590, Csa02g064990
OG0000672	Bra031320, Bra031319, Bra033915, Bra031318, Bra029094, Bra031316, Bra023854, Bra023855	Csa01g025200, Csa19g031150, Csa15g033490, Csa15g033480, Csa19g031160
OG0000673	Bra009517	Csa20g003790
OG0000673	Bra019639, Bra006960	Csa09g061180, Csa06g027330
OG0000673	Bra028543	Csa05g017580, Csa04g049960
OG0000674	Bra039423	Csa01g006470, Csa15g006930, Csa19g008030
OG0000675	Bra037011	Csa11g010170, Csa12g012870, Csa11g009890, Csa12g011530, Csa10g008940, Csa11g009850, Csa12g051520, Csa11g033310
OG0000676	Bra011149, Bra011146	Csa10g044570, Csa08g048530, Csa18g030480, Csa02g072510, Csa18g037410, Csa18g030460, Csa11g100900, Csa02g061940, Csa11g091040, Csa18g030470
OG0000677	Bra039041	Csa09g021280, Csa06g010180, Csa04g018160
OG0000678	Bra012679, Bra012678	Csa11g032610
OG0000678	Bra031660	Csa13g048100, Csa16g015000, Csa05g033960
OG0000678	Bra035261, Bra028115	Csa12g049710
OG0000680	Bra030338	Csa10g030560, Csa02g017670, Csa11g034930
OG0000680	Bra028450	Csa11g057270
OG0000680	Bra028451, Bra030337, Bra028452	Csa11g057260
OG0000681	Bra003542	Csa16g050520, Csa07g059880
OG0000681	Bra038070, Bra019286, Bra021150	Csa01g018610
OG0000681	Bra030388	Csa17g092370, Csa03g059410
OG0000682	Bra010527	Csa10g006500, Csa11g006140, Csa12g007900
OG0000682	Bra011599, Bra020810	Csa11g006530
OG0000682	Bra002023	Csa01g032770, Csa19g053890, Csa15g074200
OG0000683	Bra002453	Csa11g094630, Csa02g067730
OG0000683	Bra031610, Bra018656, Bra018655, Bra031611, Bra030713	Csa03g011540, Csa14g009540, Csa17g011550, Csa17g011540
OG0000685	Bra033051, Bra025340, Bra039053	Csa06g009730, Csa09g019800
OG0000685	Bra025341	Csa06g009760, Csa09g019820, Csa09g016130, Csa04g016700, Csa04g016760, Csa09g019860
OG0000686	Bra004502, Bra040479	Csa06g053380, Csa05g002290, Csa04g065990
OG0000686	Bra037416, Bra008551	Csa02g004610, Csa08g053010, Csa13g055790
OG0000686	Bra032616	Csa14g002130, Csa17g001530
OG0000687	Bra032259	Csa20g068760, Csa20g068770, Csa15g058610, Csa14g059620, Csa05g056990, Csa16g023020, Csa07g029560
OG0000688	Bra039555	Csa11g035240, Csa12g055540
OG0000689	Bra032364	Csa03g033370, Csa17g043160, Csa14g037840
OG0000689	Bra013303	Csa06g046520, Csa10g026810, Csa11g030070
OG0000689	Bra022022, Bra025034	Csa18g003890, Csa20g078250, Csa11g065850
OG0000690	Bra022775	Csa05g033840, Csa07g013270, Csa16g014870
OG0000690	Bra015554, Bra030675, Bra031555	Csa14g008550, Csa03g010540, Csa17g010530
OG0000691	Bra032143, Bra032141	Csa03g038180
OG0000692	Bra031990, Bra031989	Csa11g051790, Csa10g042960, Csa10g042970, Csa12g076400, Csa01g003170, Csa15g003260, Csa19g005620
OG0000693	Bra032894	Csa17g039180, Csa14g035950
OG0000693	Bra022956, Bra005469	Csa07g007490, Csa05g021450, Csa16g007290
OG0000693	Bra036020	Csa18g009440, Csa11g070370, Csa20g071340
OG0000694	Bra033911, Bra023798, Bra001886	Csa19g032100, Csa01g026130, Csa15g040590
OG0000694	Bra036883	Csa12g057080, Csa12g057070, Csa12g057040, Csa12g057060, Csa11g037220, Csa11g037230, Csa09492s010, Csa11g037250, Csa10g031730, Csa10g031740, Csa11g037260, Csa10g031750, Csa12g057090
OG0000697	Bra021101, Bra027257	Csa19g022070
OG0000697	Bra028838	Csa13g003290
OG0000697	Bra031794	Csa17g016040
OG0000697	Bra019014	Csa16g036430, Csa14g063430, Csa03g060230, Csa17g093330, Csa00441s140, Csa17g083080
OG0000698	Bra036635, Bra027004	Csa09g097720
OG0000698	Bra014869	Csa13g049020, Csa02g016250
OG0000698	Bra013668	Csa10g020090, Csa12g033710, Csa11g023110
OG0000699	Bra030985	Csa03g021160, Csa14g021630, Csa17g023100
OG0000699	Bra037962, Bra030908	Csa14g064690, Csa17g094580
OG0000700	Bra022951, Bra005477	Csa05g021630, Csa16g007440, Csa16g007480, Csa01g035600, Csa15g069970, Csa15g069980, Csa19g046080, Csa07g007660, Csa16g007500, Csa05g024600, Csa07g010380, Csa16g007450, Csa15g069990, Csa01g035610, Csa19g046100
OG0000700	Bra008374	Csa09g092740, Csa07g057640, Csa16g048200, Csa07g057650
OG0000701	Bra027637, Bra027656	Csa09g097580, Csa07g064200, Csa09g097550, Csa16g055600, Csa09g097570, Csa16g056090, Csa07g064800, Csa16g031090, Csa07g064720, Csa09g098920, Csa07g065610, Csa16g056630, Csa07g065420, Csa16g056330, Csa07g065110, Csa09g098430, Csa07g064690
OG0000702	Bra022377	Csa19g026450, Csa01g021930, Csa15g026660
OG0000702	Bra022378	Csa01g021980, Csa19g026490, Csa15g026710
OG0000704	Bra007065	Csa09g062800, Csa09g064020, Csa06g028800
OG0000704	Bra005108, Bra017118, Bra000062	Csa05g014600, Csa04g052210, Csa06g041270
OG0000705	Bra000965, Bra008527, Bra037351	Csa02g001720, Csa13g056750, Csa08g001770
OG0000705	Bra039312	Csa05g003400, Csa06g052300
OG0000705	Bra007587, Bra003442	Csa07g003630, Csa05g093160, Csa16g003210
OG0000706	Bra005811	Csa08g059830, Csa13g006640, Csa20g005860, Csa05486s010
OG0000706	Bra009437	Csa08g059840, Csa20g005850
OG0000706	Bra029852	Csa01g011450, Csa19g014220
OG0000707	Bra017693, Bra034674, Bra011584	Csa12g008510, Csa10g007080, Csa11g006790
OG0000708	Bra032589	Csa03g002780, Csa14g002780, Csa17g003690
OG0000708	Bra041026, Bra003504	Csa16g002030, Csa07g002020, Csa07g053610
OG0000709	Bra007313, Bra007314, Bra007315	Csa09g069730, Csa06g033000
OG0000709	Bra003273	Csa09g069720, Csa04g043690, Csa06g032990, Csa04g043670, Csa06g032980, Csa09g069710
OG0000710	Bra037404	Csa13g056070, Csa08g053270
OG0000710	Bra029645, Bra031593	Csa14g009210, Csa17g011240, Csa03g011260, Csa17g011070, Csa14g009060, Csa03g011130
OG0000711	Bra021731	Csa16g012080
OG0000711	Bra035254	Csa05g026830, Csa16g009270, Csa07g010540, Csa05g024180, Csa05g024210, Csa07g009970, Csa16g008740, Csa07g008680, Csa16g008460, Csa14g057330, Csa17g090200, Csa05g029970, Csa05g023720, Csa05g023460
OG0000712	Bra005904, Bra005903, Bra009213, Bra009214	Csa08g058240, Csa13g008550, Csa08g057940, Csa20g008830, Csa13g008560, Csa08g062050, Csa20g006680, Csa08g061580, Csa13g003560, Csa20g003640, Csa08g060970, Csa20g003100, Csa20g005790
OG0000713	Bra029475	Csa08g047110, Csa02g013070, Csa13g051130
OG0000713	Bra028111	Csa10g040650
OG0000714	Bra024144, Bra011116, Bra010326	Csa11g014020, Csa10g013010, Csa12g017910
OG0000714	Bra010437	Csa12g025850, Csa10g016700, Csa11g018180
OG0000715	Bra038410	Csa03g034560
OG0000715	Bra005370	Csa04g047350
OG0000716	Bra011819	Csa11g003120, Csa12g003110
OG0000716	Bra011449	Csa12g011300, Csa10g008730, Csa11g009600
OG0000716	Bra016381, Bra031389	Csa14g027620, Csa17g029370
OG0000717	Bra027192, Bra030393	Csa01g018720, Csa19g022940
OG0000718	Bra026373, Bra026375, Bra026374, Bra026372, Bra006444, Bra038483, Bra010409, Bra019067, Bra019064	Csa11g017000, Csa11g017020, Csa12g024720, Csa11g017010, Csa12g024730
OG0000719	Bra013029	Csa20g038210, Csa13g027850, Csa08g017620
OG0000719	Bra018841, Bra039642	Csa17g088100
OG0000720	Bra004806, Bra037665	Csa06g050430, Csa04g061940, Csa05g006170
OG0000720	Bra024895, Bra014334, Bra017461	Csa09g001230
OG0000721	Bra000159	Csa04g054200, Csa06g044230, Csa05g012930
OG0000721	Bra029752, Bra034055, Bra001324	Csa01g009920, Csa15g014980, Csa19g015300, Csa01g012290, Csa15g010560, Csa19g012650
OG0000722	Bra006692, Bra006691, Bra002528, Bra020284	Csa02g065560, Csa11g093680, Csa18g033110
OG0000723	Bra035628	Csa19g049110
OG0000723	Bra035628	Csa01g044740
OG0000723	Bra035628	Csa12g018020
OG0000723	Bra031096	Csa00441s380
OG0000724	Bra006385, Bra006389, Bra006388, Bra006384, Bra006387, Bra006386	Csa20g025000, Csa20g025130, Csa20g025100, Csa13g019890, Csa20g025040, Csa20g024960
OG0000725	Bra034809	Csa01g035170, Csa15g071550, Csa01g030370, Csa01g030350, Csa01g030360, Csa15g050010, Csa19g036250, Csa11g041370, Csa12g062860, Csa10g033170, Csa05g035820, Csa07g015880, Csa16g016440, Csa15g015650, Csa01g012910, Csa19g015970
OG0000726	Bra035043	Csa07g051130, Csa16g042710, Csa09g085300, Csa09g085310
OG0000726	Bra037692, Bra014082	Csa05g006690, Csa05g006670, Csa04g061440, Csa06g049970, Csa06g049960, Csa05g006700, Csa04g061430
OG0000727	Bra013554	Csa01677s010, Csa11g024920, Csa11g024940, Csa12g036830, Csa10g021910
OG0000727	Bra003917	Csa08g050620, Csa12g004390, Csa10g004350, Csa12g004610, Csa11g004880, Csa07g063260, Csa09g096500, Csa16g053730
OG0000728	Bra020193, Bra002411	Csa13g025920
OG0000728	Bra012012, Bra034356	Csa16g051690, Csa07g061080, Csa05g041400
OG0000729	Bra010674, Bra033630, Bra033629, Bra011849, Bra011848	Csa16g043210, Csa07g051570, Csa16g043180, Csa07g051560, Csa16g043190, Csa09g085770, Csa09g085750
OG0000730	Bra039292, Bra004959	Csa06g052510, Csa05g003130, Csa04g065110
OG0000730	Bra000955	Csa08g001950, Csa02g001910, Csa13g056610, Csa02g001870
OG0000731	Bra007523, Bra014497	Csa05g092110, Csa07g004730, Csa16g005580
OG0000731	Bra000365	Csa04g062690, Csa05g004430, Csa06g051210
OG0000732	Bra017379	Csa11g043000, Csa10g035950, Csa12g065470, Csa12g057470
OG0000732	Bra032679, Bra034904	Csa12g065500, Csa10g035930, Csa12g065490
OG0000733	Bra010894	Csa07g017290
OG0000733	Bra017984	Csa03g034520
OG0000734	Bra008817	Csa13g016210, Csa20g018940, Csa08g005480, Csa08g005490
OG0000734	Bra005049, Bra005051, Bra005048	Csa04g053320, Csa06g043330
OG0000735	Bra028245	Csa12g081970, Csa10g047080, Csa11g055470
OG0000735	Bra025379, Bra033085, Bra033088	Csa04g016890, Csa09g022690, Csa06g012470
OG0000735	Bra039146, Bra001022	Csa15g001490, Csa19g002550
OG0000736	Bra017799, Bra011732	Csa10g004090, Csa12g004340, Csa11g004600
OG0000736	Bra011731, Bra017798, Bra011730	Csa10g004100, Csa12g004350, Csa11g004610
OG0000737	Bra018010	Csa04g028840, Csa06g019860
OG0000738	Bra003348	Csa04g046180, Csa09g071270, Csa06g035430
OG0000738	Bra039412	Csa15g007140, Csa19g008290, Csa01g006660
OG0000738	Bra036598, Bra020563	Csa07084s010, Csa08g027660, Csa20g054130, Csa13g034840
OG0000739	Bra026950	Csa14g015880, Csa17g017140
OG0000739	Bra026918, Bra016737	Csa14g015860, Csa14g015870, Csa03g016690, Csa17g017130, Csa14g015850, Csa17g017150, Csa03g016700, Csa17g018550, Csa03g014790, Csa14g013870, Csa17g015150, Csa10g031050, Csa03g017000, Csa03g017010
OG0000740	Bra027117, Bra027118	Csa02g028520, Csa13g043420, Csa09g095420, Csa16g052780
OG0000740	Bra027880	Csa07g044360, Csa16g038040, Csa09g078710
OG0000745	Bra035825	Csa17g063520, Csa03g038880, Csa17g063400, Csa14g046620, Csa03g038930, Csa14g046700, Csa14g046850, Csa14g046680, Csa03g039040, Csa17g063510, Csa17g063480, Csa24737s010
OG0000746	Bra005421, Bra021915, Bra010805, Bra001559, Bra027325	Csa05g020790, Csa06g036920, Csa04g046740
OG0000747	Bra024681	Csa11g070340, Csa14g031850, Csa14g031730, Csa03g028570, Csa17g033910, Csa03g028650, Csa17g034080, Csa17g034020, Csa14g031840, Csa20g005580
OG0000749	Bra038589, Bra031423	Csa16g053310
OG0000749	Bra035298, Bra027986, Bra024986, Bra024985	Csa03g046530, Csa14g048710, Csa17g069370, Csa11g073650, Csa18g012510
OG0000750	Bra011928, Bra035672	Csa05g035650
OG0000750	Bra020325	Csa18g032580, Csa02g064980
OG0000750	Bra006722	Csa11g093110
OG0000751	Bra001857, Bra031339, Bra036919, Bra023843, Bra037080, Bra039703	Csa00506s140, Csa10g031320, Csa11g036850, Csa16g054980, Csa01g025450, Csa15g034810, Csa19g031440
OG0000752	Bra018333	Csa05g033650, Csa16g014730, Csa05g033600, Csa07g013030, Csa07g013060
OG0000752	Bra022781, Bra018334	Csa07g013090, Csa05g033680, Csa16g014760
OG0000753	Bra016303, Bra024666	Csa03g028430, Csa14g031570
OG0000753	Bra012432	Csa14g031560, Csa17g033730
OG0000754	Bra038482	Csa11g033380, Csa12g051570, Csa10g029110
OG0000754	Bra017298	Csa04g049170
OG0000754	Bra013875, Bra019182	Csa13g057260, Csa02g001210, Csa08g001190, Csa08g001210, Csa11g019350, Csa10g017750, Csa12g028000
OG0000755	Bra037181	Csa02g076600
OG0000755	Bra017746	Csa11g005620
OG0000755	Bra024487	Csa15g076340, Csa01g039750, Csa19g054860
OG0000756	Bra002092	Csa15g076220
OG0000756	Bra036818	Csa06g025480, Csa04g037100, Csa09g058300
OG0000756	Bra015806	Csa16g039960, Csa09g080600
OG0000757	Bra039965	Csa07g015150, Csa16g015710, Csa05g035030, Csa16g015780, Csa07g015250, Csa05g035120
OG0000758	Bra026449, Bra019115, Bra010435	Csa01g040010, Csa05g072170, Csa16g024000, Csa07g030710, Csa11g018090, Csa10g016620, Csa12g025700
OG0000759	Bra032303	Csa03g032470, Csa17g042100, Csa14g036870
OG0000759	Bra022969	Csa05g021060
OG0000759	Bra022969	Csa07g007120
OG0000759	Bra005441	Csa05g021060
OG0000759	Bra005441	Csa07g007120
OG0000760	Bra005887	Csa20g008470, Csa13g008250, Csa08g058270
OG0000760	Bra005820, Bra009431, Bra028778	Csa08g059680, Csa20g005980, Csa13g006760, Csa19g014280, Csa01g011530, Csa15g014130
OG0000761	Bra008515	Csa00780s010
OG0000761	Bra033225	Csa05g009530
OG0000761	Bra014871	Csa02g016220
OG0000762	Bra037980	Csa03g061680, Csa17g094890
OG0000762	Bra027397, Bra021508	Csa19g019270, Csa01g016160, Csa19g019280, Csa15g017990
OG0000762	Bra027398	Csa15g017980, Csa01g016150, Csa19g019260
OG0000763	Bra002809	Csa11g089940, Csa18g029430, Csa02g059800
OG0000763	Bra030866	Csa17g095190
OG0000763	Bra027426	Csa19g018840, Csa01g015810, Csa15g017630
OG0000764	Bra027586, Bra025095	Csa11g068380
OG0000765	Bra020600	Csa09g032810, Csa04g022500, Csa06g015580, Csa04g022640, Csa12g051780, Csa06g015610, Csa09g061960, Csa06g015450, Csa10g029300, Csa19g027510, Csa15g027830, Csa06g046480, Csa12g051770, Csa11g033580, Csa08g029500, Csa08g029510, Csa13g037700, Csa13g034280, Csa08g024120, Csa06g005070, Csa09g008560, Csa04g009800, Csa18g020950, Csa11g081720, Csa02g037810, Csa20g056040
OG0000766	Bra027082, Bra038585	Csa09g096000, Csa07g062680, Csa16g053290
OG0000767	Bra024563	Csa14g030340, Csa17g030180
OG0000767	Bra026173	Csa14g018130, Csa17g020550, Csa03g018760, Csa03g018780, Csa06g009750
OG0000768	Bra013693, Bra019301	Csa11g022470, Csa12g032000, Csa10g019730
OG0000768	Bra027663	Csa07g065300, Csa16g056520, Csa09g098640
OG0000768	Bra025501	Csa02g054770, Csa10g049940, Csa10g049930, Csa11g059940
OG0000769	Bra039686	Csa13g030860, Csa08g022640, Csa08g022630, Csa08g022650, Csa20g046180, Csa13g030810, Csa08g022590
OG0000769	Bra002852	Csa11g089350, Csa02g058910, Csa18g028680
OG0000769	Bra035600	Csa02g058890, Csa11g089340, Csa18g028660
OG0000771	Bra004710, Bra016866	Csa05g008980
OG0000771	Bra030945	Csa17g093650
OG0000771	Bra001575, Bra027293	Csa01g017480
OG0000772	Bra017593	Csa20g077590, Csa18g005480
OG0000772	Bra016622	Csa14g021080, Csa17g022590, Csa03g020720
OG0000772	Bra038123	Csa17g093780, Csa03g060670, Csa14g063980
OG0000773	Bra003491, Bra007665, Bra014410	Csa16g002470, Csa07g002470
OG0000773	Bra040474, Bra004481, Bra000438	Csa04g066180, Csa05g002090, Csa06g053570, Csa04g066170, Csa06g053560, Csa06g053550
OG0000774	Bra002439, Bra006640	Csa13g027530, Csa08g017240, Csa20g037830
OG0000774	Bra019463	Csa09g035910
OG0000775	Bra019500, Bra018160	Csa09g046630, Csa04g030180
OG0000775	Bra024345	Csa11g102170, Csa18g038710, Csa02g073700
OG0000775	Bra006053	Csa13g011990, Csa08g054350
OG0000776	Bra039403	Csa01g031190, Csa04g051150
OG0000776	Bra012569, Bra015112	Csa12g065730, Csa15g052870, Csa19g038030
OG0000777	Bra016288	Csa03g028700
OG0000777	Bra015081, Bra038592, Bra040715	Csa10g033520, Csa12g063280, Csa11g041760
OG0000778	Bra038042	Csa10g022320
OG0000778	Bra031970, Bra031971	Csa01g036500
OG0000779	Bra003218, Bra004278, Bra007182, Bra030761	Csa06g029830, Csa05g016080, Csa09g066200, Csa09g066210, Csa06g029820, Csa09g066220, Csa04g041500
OG0000780	Bra019421	Csa04g024400, Csa02g058250, Csa06g017270, Csa09g034650
OG0000780	Bra040559, Bra014982, Bra031133	Csa19g048090, Csa15g082400
OG0000783	Bra039832	Csa15g071110, Csa01g035720
OG0000783	Bra039186	Csa07g053230, Csa09g087450
OG0000783	Bra041046	Csa12g003970
OG0000786	Bra039050	Csa04g016790, Csa09g019910, Csa06g009840, Csa06g009850, Csa06g009860, Csa09g019920
OG0000786	Bra025626	Csa11g056010
OG0000787	Bra015282	Csa17g007070, Csa14g005090, Csa03g005170
OG0000787	Bra031119, Bra036678, Bra036471	Csa15g082660, Csa01g043910, Csa19g048310, Csa10301s010
OG0000788	Bra027863	Csa05g052370, Csa16g018200
OG0000788	Bra030198	Csa16g044580, Csa07g052920
OG0000788	Bra011783	Csa12g003620, Csa10g003340, Csa11g003780
OG0000789	Bra030353	Csa11g055290
OG0000789	Bra028232	Csa11g055310, Csa10g045510, Csa12g082190, Csa12g082180
OG0000790	Bra027224, Bra027223, Bra021123	Csa01g018270, Csa19g022430, Csa02g030890, Csa15g020240
OG0000791	Bra009305	Csa20g010150, Csa13g009750, Csa08g056670
OG0000791	Bra025677	Csa17g024490, Csa14g024020, Csa03g022560
OG0000791	Bra003804, Bra015915	Csa07g045770, Csa16g038300
OG0000792	Bra019945, Bra019946	Csa17g013930, Csa03g013710, Csa14g011800
OG0000792	Bra029442, Bra000764, Bra029441, Bra023550	Csa13g050440, Csa02g015730, Csa02g015700, Csa08g044490, Csa02g015720
OG0000793	Bra039077	Csa04g015450, Csa09g014540
OG0000793	Bra002854, Bra026427	Csa10g016350, Csa12g025440
OG0000793	Bra030832	Csa14g067680, Csa03g062430
OG0000795	Bra014879	Csa17g043350
OG0000795	Bra005402	Csa05g020600
OG0000795	Bra032385, Bra010773	Csa17g043340
OG0000796	Bra002149, Bra034569	Csa02g074150, Csa11g101760, Csa18g038280
OG0000796	Bra028619, Bra009400, Bra009401, Bra028617, Bra006031	Csa08g054910, Csa08837s010, Csa20g012930, Csa13g011420, Csa13g011430, Csa08g054900, Csa20g012940
OG0000797	Bra022323	Csa19g025850, Csa15g025030, Csa01g021310, Csa01g021300
OG0000797	Bra022322	Csa01g021290, Csa19g025840, Csa15g025020
OG0000797	Bra018774	Csa03g055700, Csa14g056050
OG0000798	Bra027700	Csa16g057140, Csa07g065950, Csa09g099270
OG0000798	Bra035259, Bra033159	Csa08g043110
OG0000798	Bra013735	Csa10g019220, Csa11g021040
OG0000799	Bra034606, Bra029569	Csa08g049420, Csa02g008670, Csa13g053200
