Orthogroup	Brassica_rapa	Aethionema_arabicum
OG0002039	Bra024539, Bra012345	AA39G00477
OG0002039	Bra016133, Bra007974	AA31G00082
OG0002040	Bra003688, Bra015677, Bra008301	AA31G00247
OG0002041	Bra002209, Bra023702	AA40G00215
OG0002041	Bra001184, Bra020774	AA29G00004
OG0002042	Bra009158	AA105G00027
OG0002042	Bra005018, Bra000145	AA29G00310
OG0002043	Bra028973	AA25G00097
OG0002043	Bra026413, Bra019094	AA10G00428
OG0002044	Bra030466, Bra018878, Bra035771, Bra023943	AA26G00722
OG0002045	Bra029748, Bra033818, Bra029749	AA93G00082, AA93G00081, AA93G00080
OG0002046	Bra002513, Bra020265, Bra020264	AA25G00112, AA8G00354, AA61G00033, AA47G00018
OG0002047	Bra012334, Bra024520	AA39G00446
OG0002048	Bra021930, Bra005392	AA18G00136
OG0002048	Bra014890, Bra023131	AA30G00031
OG0002049	Bra025966, Bra016597, Bra008046, Bra016036	AA31G00663
OG0002050	Bra004587, Bra007246	AA61G00115
OG0002051	Bra003373, Bra007444, Bra014542	AA61G00323
OG0002051	Bra004752, Bra037729	AA21G00107
OG0002052	Bra016204, Bra007923	AA38G00042
OG0002053	Bra007497, Bra003397, Bra004810, Bra037664	AA21G00181
OG0002054	Bra014828, Bra007059	AA95G00011, AA159G00003
OG0002055	Bra010952, Bra032821	AA39G00769
OG0002055	Bra032819, Bra030039	AA34G00020
OG0002056	Bra034776, Bra001436	AA168G00028
OG0002057	Bra016558	AA39G00092
OG0002057	Bra003843, Bra015989	AA31G00607
OG0002059	Bra009200, Bra040529, Bra001164	AA10G00050
OG0002060	Bra009444, Bra028785	AA12G00173
OG0002060	Bra034126	AA93G00235
OG0002061	Bra030242, Bra038528, Bra011816	AA30G00337
OG0002062	Bra033483	AA87G00272, AA87G00271
OG0002062	Bra039860	AA87G00275
OG0002063	Bra028127	AA27G00068
OG0002063	Bra039754	AA53G01123
OG0002064	Bra009121	AA35G00069
OG0002064	Bra034169, Bra001393, Bra034860	AA63G00016
OG0002065	Bra026145	AA25G00046
OG0002066	Bra029954	AA13G00131
OG0002066	Bra029406	AA12G00011
OG0002067	Bra015709, Bra025890, Bra012275	AA39G00345
OG0002068	Bra010481	AA131G00053
OG0002068	Bra040863	AA28G00011
OG0002069	Bra030692	AA1016G00003
OG0002069	Bra002546, Bra006701, Bra002544	AA16G00052
OG0002071	Bra013836	AA131G00055
OG0002071	Bra038615	AA4G00054
OG0002072	Bra033745, Bra039511	AA6G00159
OG0002072	Bra013470, Bra020916, Bra038801	AA57G00286
OG0002073	Bra015814, Bra008224	AA31G00375
OG0002074	Bra018782	AA2G00066
OG0002074	Bra001723, Bra022359	AA26G00560
OG0002075	Bra016881, Bra004686, Bra004685, Bra016880, Bra004687	AA21G00033
OG0002076	Bra006415	AA40G00346
OG0002076	Bra001080, Bra021354	AA10G00252, AA10G00253
OG0002077	Bra025022	AA56G00046
OG0002077	Bra005426, Bra022975, Bra021908	AA18G00098
OG0002078	Bra002218	AA40G00204
OG0002078	Bra001182	AA10G00006
OG0002079	Bra011141, Bra024121	AA102G00126
OG0002080	Bra026546, Bra034608, Bra011490, Bra011495, Bra011492, Bra034609	AA45G00024
OG0002081	Bra013850, Bra019200	AA131G00037
OG0002081	Bra022765	AA75G00016
OG0002082	Bra041025	AA15G00135
OG0002082	Bra027344	AA26G00159
OG0002083	Bra014619, Bra007336	AA61G00207
OG0002084	Bra007373, Bra014594	AA21G00017
OG0002086	Bra036492, Bra031136, Bra026262, Bra024209	AA228G00018
OG0002087	Bra010841	AA54G00342
OG0002087	Bra005446, Bra005447, Bra021897	AA43G00022
OG0002088	Bra008240, Bra015783	AA31G00348
OG0002088	Bra025816	AA39G00285
OG0002089	Bra011747	AA30G00238
OG0002089	Bra032175	AA46G00205
OG0002090	Bra000602	AA84G00004
OG0002090	Bra019229, Bra013792	AA31G00047
OG0002091	Bra013786, Bra019231, Bra002461, Bra010498	AA31G00048
OG0002092	Bra006278	AA40G00580
OG0002092	Bra040508, Bra039129	AA10G00425
OG0002093	Bra034081	AA93G00131
OG0002093	Bra009554, Bra028854	AA19G00267
OG0002094	Bra031159, Bra030325	AA20G00069
OG0002095	Bra038249, Bra035826	AA26G00669
OG0002096	Bra021650, Bra031537, Bra015529	AA23G00077
OG0002097	Bra006234, Bra023446, Bra008784	AA40G00617
OG0002098	Bra014191	AA2G00081
OG0002098	Bra022374	AA26G00576, AA178G00002, AA69G00052
OG0002099	Bra015326, Bra005508, Bra022934	AA32G00458
OG0002100	Bra034439, Bra036744, Bra028039, Bra034436	AA54G00138
OG0002101	Bra005579, Bra021776	AA32G00479
OG0002101	Bra015415	AA19G00004
OG0002102	Bra027678, Bra027757	AA53G01325
OG0002103	Bra040288	AA29G00066
OG0002103	Bra020650, Bra037421	AA58G00001
OG0002104	Bra019167	AA273G00003
OG0002104	Bra028275, Bra022562	AA55G00066
OG0002105	Bra003362, Bra000284, Bra004737, Bra037741	AA21G00089
OG0002106	Bra029481, Bra000785	AA6G00287
OG0002106	Bra013602	AA57G00429
OG0002107	Bra009986, Bra040116, Bra040416	AA10G00129
OG0002108	Bra026110	AA37G00165
OG0002108	Bra003571, Bra035174	AA31G00878
OG0002109	Bra016214	AA3G00167
OG0002109	Bra015708, Bra003698	AA31G00281
OG0002110	Bra038098	AA15G00087
OG0002110	Bra027259, Bra021100	AA26G00242
OG0002111	Bra032623, Bra033281	AA1G00045
OG0002112	Bra035002	AA24G00042
OG0002113	Bra013670, Bra033130, Bra040996	AA3G00012
OG0002114	Bra037976	AA15G00204
OG0002114	Bra001531, Bra027386	AA26G00110
OG0002115	Bra006370, Bra008596	AA40G00430
OG0002115	Bra032028, Bra021382	AA10G00319
OG0002116	Bra000995, Bra040548, Bra008762	AA40G00648
OG0002117	Bra011398	AA320G00005
OG0002117	Bra007775	AA32G01064
OG0002118	Bra005867, Bra028748, Bra009133	AA52G00003, AA36G00009
OG0002119	Bra019732, Bra027051	AA228G00001, AA53G01435
OG0002120	Bra027782, Bra027664	AA87G00057
OG0002121	Bra028005	AA54G00177
OG0002121	Bra033194	AA3G00127
OG0002122	Bra009546, Bra028846, Bra034086, Bra029788	AA93G00140
OG0002123	Bra015471, Bra030637, Bra018250, Bra021735	AA32G00593
OG0002125	Bra003560, Bra035190	AA89G00058
OG0002126	Bra029210, Bra001172, Bra020800, Bra036587, Bra009909	AA40G00161
OG0002127	Bra011043, Bra002664, Bra006776	AA61G00133, AA198G00006
OG0002128	Bra019949, Bra019947, Bra019948, Bra030585	AA7G00137
OG0002129	Bra011386, Bra034536	AA32G01069
OG0002130	Bra016975, Bra000202, Bra014693	AA61G00111
OG0002131	Bra009665	AA33G00029
OG0002131	Bra020807, Bra011597	AA79G00013
OG0002132	Bra001144	AA10G00087
OG0002132	Bra036625, Bra009953	AA40G00092
OG0002133	Bra021039, Bra038845	AA57G00039
OG0002133	Bra024965, Bra017508	AA99G00005
OG0002134	Bra026928, Bra028427	AA65G00337
OG0002135	Bra006642, Bra002440	AA8G00302
OG0002135	Bra037611	AA72G00008
OG0002136	Bra020754	AA29G00024
OG0002136	Bra002179	AA40G00245
OG0002139	Bra034868, Bra001389	AA63G00057
OG0002139	Bra009118	AA35G00062
OG0002140	Bra036335, Bra014037, Bra027469	AA3G00241
OG0002141	Bra040638, Bra001134, Bra039471	AA10G00120
OG0002141	Bra036109	AA40G00065
OG0002142	Bra032813, Bra010956, Bra032812	AA39G00778, AA39G00777
OG0002143	Bra030660, Bra015520, Bra031534	AA23G00063
OG0002143	Bra018294	AA32G00637
OG0002144	Bra012336	AA39G00448
OG0002144	Bra008006	AA31G00131
OG0002145	Bra004494	AA21G00421
OG0002145	Bra007657, Bra014412	AA61G00558
OG0002146	Bra010528	AA30G00086
OG0002146	Bra037264	AA33G00066
OG0002147	Bra009241	AA83G00004
OG0002147	Bra038705, Bra001443, Bra034767	AA168G00010
OG0002148	Bra023898, Bra031260	AA26G00769
OG0002148	Bra030433, Bra018920	AA2G00219
OG0002150	Bra028371, Bra015053	AA85G00012
OG0002151	Bra024059	AA102G00204, AA160G00004
OG0002152	Bra026379	AA32G01119
OG0002152	Bra029006, Bra022743	AA25G00015
OG0002153	Bra012650, Bra017511, Bra024967, Bra022093	AA99G00007
OG0002154	Bra030220	AA46G00158
OG0002154	Bra010619, Bra017861	AA30G00298
OG0002156	Bra021042, Bra017498, Bra024957	AA3165G00002
OG0002157	Bra002150, Bra040151, Bra031947	AA10G00195
OG0002158	Bra009689, Bra026495	AA5G00235
OG0002158	Bra009340	AA44G00169
OG0002159	Bra024638	AA39G00580
OG0002159	Bra003965, Bra016230	AA38G00072
OG0002160	Bra010516	AA30G00101
OG0002160	Bra002078, Bra024497, Bra037258	AA33G00073
OG0002162	Bra016714	AA14G00009
OG0002163	Bra020145, Bra002357, Bra040902, Bra002356, Bra002355	AA8G00212
OG0002164	Bra009928, Bra020566	AA10G00049
OG0002165	Bra013058, Bra017683, Bra011575	AA67G00031
OG0002166	Bra034996, Bra006613, Bra020176	AA24G00040, AA24G00037
OG0002167	Bra026412	AA10G00430
OG0002167	Bra028975, Bra002900	AA25G00092
OG0002168	Bra013320, Bra021005, Bra012590	AA57G00136
OG0002170	Bra003121	AA77G00002
OG0002170	Bra013912, Bra019145	AA577G00001
OG0002171	Bra014543	AA61G00322
OG0002171	Bra003372	AA21G00103
OG0002172	Bra017430	AA53G00680
OG0002172	Bra026197	AA53G01147
OG0002174	Bra000445	AA21G00451
OG0002174	Bra003744, Bra007671	AA61G00580
OG0002175	Bra022989, Bra005396, Bra021928	AA18G00132
OG0002176	Bra029704, Bra040052	AA26G00460, AA29G00197
OG0002177	Bra020237, Bra002459	AA8G00318
OG0002178	Bra024817, Bra017415	AA53G00707
OG0002178	Bra026825, Bra016698	AA14G00049
OG0002179	Bra020098, Bra002290	AA8G00148, AA21G00422, AA34G00018
OG0002180	Bra036218	AA53G01095
OG0002180	Bra040987, Bra025661	AA9G00028
OG0002181	Bra007323, Bra004633	AA19G00462
OG0002182	Bra001192, Bra020760	AA29G00018
OG0002182	Bra023697, Bra002192	AA40G00234
OG0002183	Bra041136, Bra029997	AA13G00082
OG0002183	Bra012141	AA8G00010
OG0002184	Bra036250	AA32G00293
OG0002184	Bra032561, Bra030518, Bra033369	AA7G00049
OG0002185	Bra001035, Bra021476	AA10G00388
OG0002185	Bra023527, Bra008685	AA40G00535
OG0002186	Bra039826	AA123G00102
OG0002186	Bra036970	AA111G00003
OG0002187	Bra029922, Bra018030	AA96G00137
OG0002187	Bra022751	AA75G00043
OG0002188	Bra005437, Bra022971, Bra021902, Bra030143, Bra010824, Bra032324	AA54G00369
OG0002189	Bra009534, Bra028840	AA19G00247
OG0002189	Bra029794, Bra034088	AA93G00146
OG0002190	Bra025511	AA87G00071
OG0002190	Bra027801, Bra027642	AA53G01362
OG0002191	Bra033638	AA3G00202
OG0002192	Bra034021, Bra034022, Bra028182	AA27G00027
OG0002193	Bra009902, Bra036583, Bra020797	AA10G00025
OG0002194	Bra024235, Bra026293	AA214G00009
OG0002194	Bra003102, Bra029104	AA77G00022
OG0002195	Bra002925	AA25G00059
OG0002195	Bra010427, Bra026403	AA10G00440
OG0002196	Bra033368	AA7G00048
OG0002196	Bra000872, Bra036256, Bra018539	AA32G00287
OG0002197	Bra034666, Bra011573	AA67G00034
OG0002198	Bra031927, Bra024280	AA4G00161
OG0002198	Bra009384	AA44G00223
OG0002199	Bra032980	AA53G00912
OG0002200	Bra035659, Bra040929	AA32G00800
OG0002200	Bra031585	AA113G00011
OG0002201	Bra006731, Bra020335, Bra002590, Bra018191	AA96G00002, AA1G00182
OG0002202	Bra035821, Bra018850, Bra030490, Bra014254	AA2G00150
OG0002203	Bra035382	AA232G00005
OG0002204	Bra030575, Bra015322	AA19G00101
OG0002204	Bra005504, Bra021844	AA32G00455
OG0002205	Bra014330	AA53G00611
OG0002205	Bra026786, Bra026169	AA14G00096
OG0002206	Bra037561, Bra022355	AA26G00545
OG0002206	Bra018781, Bra014177	AA2G00065
OG0002207	Bra001771, Bra035824	AA26G00670
OG0002207	Bra018847, Bra033962	AA2G00144
OG0002208	Bra029697, Bra040049, Bra032722, Bra007201	AA61G00070
OG0002209	Bra002044, Bra034726, Bra034834, Bra032135	AA56G00002
OG0002210	Bra029826, Bra034101	AA93G00195
OG0002212	Bra014235, Bra018831	AA2G00128, AA2G00126
OG0002213	Bra017148, Bra000029, Bra005148	AA343G00005
OG0002213	Bra014848	AA124G00019
OG0002214	Bra012924, Bra017962	AA13G00111
OG0002214	Bra037829, Bra031846, Bra024420	AA4G00298
OG0002215	Bra015199, Bra022542	AA41G00036
OG0002216	Bra021760, Bra021761	AA32G00556
OG0002216	Bra015442	AA4G00028
OG0002217	Bra001011	AA10G00422
OG0002217	Bra023504, Bra006279, Bra008721	AA40G00577
OG0002218	Bra026366	AA32G01110
OG0002218	Bra022735	AA11G00001
OG0002219	Bra019084, Bra028988, Bra002927, Bra035561	AA25G00058
OG0002220	Bra040611	AA10G00320
OG0002220	Bra006367, Bra008600	AA40G00434
OG0002221	Bra022411	AA26G00603
OG0002221	Bra014209, Bra018798	AA2G00100
OG0002222	Bra035959	AA5G00203
OG0002222	Bra009328, Bra005976	AA44G00145
OG0002223	Bra009776, Bra020464	AA12G00029
OG0002223	Bra019601, Bra029960	AA13G00125
OG0002224	Bra025508	AA87G00064
OG0002224	Bra027796, Bra027653	AA53G01357
OG0002225	Bra026415, Bra010432	AA10G00457
OG0002225	Bra035582, Bra002880	AA25G00107
OG0002226	Bra016735, Bra025160, Bra017350	AA53G00816
OG0002229	Bra019669, Bra019670	AA14G00027
OG0002230	Bra034068, Bra029764, Bra033949, Bra004042, Bra004296	AA39G00698
OG0002231	Bra016162	AA38G00004
OG0002231	Bra024556, Bra012353	AA39G00495
OG0002232	Bra039023, Bra036700	AA102G00048
OG0002233	Bra017478, Bra024935, Bra017357, Bra017358, Bra022141	AA271G00009
OG0002235	Bra021995, Bra012584, Bra021000, Bra013330	AA57G00144
OG0002236	Bra027049, Bra034504	AA53G01428
OG0002236	Bra019734, Bra031798	AA65G00249
OG0002237	Bra021208	AA26G00380
OG0002237	Bra033528	AA18G00179
OG0002238	Bra014538, Bra003379	AA61G00335
OG0002238	Bra039874	AA9G00053, AA30G00059
OG0002239	Bra032097	AA205G00003
OG0002239	Bra011258, Bra024013	AA102G00283
OG0002240	Bra027110, Bra031472	AA53G00515
OG0002240	Bra018416, Bra031739, Bra019888	AA65G00152
OG0002241	Bra037750, Bra038654, Bra006008, Bra009352	AA44G00185
OG0002242	Bra033119	AA6G00330
OG0002242	Bra020832, Bra013644	AA57G00473
OG0002243	Bra024686	AA39G00624
OG0002243	Bra004392, Bra007864	AA47G00004
OG0002244	Bra014208, Bra040669	AA2G00101
OG0002244	Bra022412	AA26G00604
OG0002245	Bra039673, Bra030934, Bra001565	AA26G00195
OG0002246	Bra002608	AA1G00148
OG0002246	Bra018178	AA16G00004
OG0002248	Bra002206, Bra001185, Bra020771, Bra020770	AA302G00003, AA29G00005
OG0002249	Bra011938, Bra035685	AA30G00166
OG0002250	Bra017901, Bra035433	AA53G00428
OG0002250	Bra031707, Bra019950, Bra018449	AA65G00083
OG0002251	Bra008857, Bra006179	AA44G00516
OG0002251	Bra032810, Bra010957	AA39G00779
OG0002252	Bra013997, Bra014000, Bra037056	AA87G00348
OG0002253	Bra028994, Bra028996, Bra002936, Bra002937, Bra028995, Bra035548, Bra035549	AA25G00039, AA25G00038, AA25G00037
OG0002254	Bra017134, Bra005131	AA139G00002
OG0002254	Bra012833	AA302G00002
OG0002255	Bra007493, Bra014523, Bra003395	AA61G00368
OG0002255	Bra004805	AA21G00175
OG0002256	Bra010534, Bra017710, Bra011616	AA30G00069
OG0002257	Bra031127	AA33G00322
OG0002257	Bra024199, Bra011031	AA102G00004
OG0002258	Bra023439, Bra001451	AA34G00044, AA679G00002
OG0002259	Bra025948, Bra016586	AA39G00076
OG0002259	Bra029125, Bra008074	AA31G00632
OG0002260	Bra008491, Bra026138, Bra016662, Bra026768	AA37G00189
OG0002262	Bra040399, Bra040400	AA117G00010, AA3054G00001, AA88G00018
OG0002263	Bra028664	AA40G00195, AA40G00194
OG0002266	Bra028233, Bra017884	AA570G00001
OG0002268	Bra025831, Bra016460	AA39G00298
OG0002268	Bra015762, Bra003727	AA31G00334
OG0002269	Bra014931, Bra023740	AA17G00127
OG0002270	Bra025147	AA53G00800
OG0002270	Bra026899	AA65G00365
OG0002271	Bra026774, Bra026150	AA89G00017
OG0002272	Bra035651, Bra028392	AA32G00788
OG0002273	Bra005076, Bra021701, Bra013431	AA93G00232
OG0002274	Bra013224	AA98G00014
OG0002275	Bra001962, Bra001340, Bra040062	AA19G00415
OG0002276	Bra031772	AA65G00208
OG0002276	Bra031393	AA53G00575
OG0002277	Bra007800, Bra034252, Bra011333	AA324G00003
OG0002278	Bra017531, Bra025003	AA56G00014
OG0002278	Bra021029, Bra013266, Bra012632	AA57G00061
OG0002279	Bra036704, Bra031103	AA33G00256
OG0002279	Bra024151	AA102G00074
OG0002280	Bra014495	AA61G00399
OG0002280	Bra040336	AA21G00238
OG0002281	Bra036226	AA32G00320
OG0002281	Bra030532	AA7G00083
OG0002282	Bra005327, Bra017312	AA9G00114
OG0002282	Bra023226, Bra033863	AA53G00051
OG0002283	Bra013820, Bra010486, Bra000606	AA151G00008
OG0002284	Bra003721, Bra015752, Bra025845	AA31G00325
OG0002285	Bra016757, Bra027626, Bra039253	AA53G01377
OG0002286	Bra010999, Bra024740, Bra012472	AA39G00682
OG0002287	Bra009456, Bra028790, Bra005804, Bra034120	AA93G00231
OG0002288	Bra004382	AA47G00015
OG0002288	Bra024694	AA39G00630
OG0002289	Bra022261	AA26G00465
OG0002289	Bra018731	AA2G00005
OG0002290	Bra001241	AA29G00104
OG0002290	Bra036163, Bra037470	AA620G00001
OG0002291	Bra024431, Bra031843, Bra029976	AA4G00306
OG0002292	Bra035466, Bra027887, Bra019991	AA65G00033
OG0002293	Bra027838	AA53G00433
OG0002293	Bra018443	AA65G00089
OG0002294	Bra021905	AA43G00034
OG0002294	Bra005435, Bra021904	AA43G00032
OG0002295	Bra027824	AA53G00454
OG0002295	Bra024636	AA39G00578
OG0002296	Bra038201, Bra039746, Bra004134	AA53G01141
OG0002297	Bra015768	AA31G00335
OG0002298	Bra039516, Bra033751	AA6G00152
OG0002301	Bra022768	AA32G00721
OG0002301	Bra030676, Bra015560	AA90G00019
OG0002303	Bra040077, Bra011341	AA66G00023, AA104G00016
OG0002304	Bra036490	AA33G00326
OG0002305	Bra024417	AA4G00293
OG0002305	Bra027582, Bra003211	AA29G00323, AA61G00030
OG0002306	Bra038068	AA26G00519
OG0002306	Bra012767	AA18G00149
OG0002307	Bra013567, Bra029518	AA32G00977, AA6G00259
OG0002308	Bra025759	AA39G00241
OG0002309	Bra004600, Bra016950, Bra000215, Bra014673	AA61G00140
OG0002310	Bra016244, Bra024650	AA39G00590
OG0002311	Bra007755	AA32G01029
OG0002312	Bra016224	AA38G00058, AA38G00057
OG0002313	Bra008621, Bra006357, Bra023567	AA40G00464
OG0002314	Bra012915	AA13G00094
OG0002314	Bra024444, Bra037844	AA4G00317
OG0002315	Bra031738	AA65G00154
OG0002315	Bra027108, Bra031470	AA53G00517
OG0002316	Bra033555	AA20G00130
OG0002316	Bra011611	AA30G00064
OG0002317	Bra017384, Bra026549, Bra025114	AA53G00761
OG0002318	Bra031814, Bra037163, Bra012084	AA8G00066
OG0002318	Bra036862, Bra012887	AA13G00042
OG0002319	Bra028011, Bra010213	AA54G00161
OG0002319	Bra037899	AA3G00139
OG0002320	Bra028624, Bra009397, Bra030204	AA46G00165
OG0002321	Bra015788	AA31G00352
OG0002321	Bra025812, Bra016470, Bra012226	AA39G00283
OG0002322	Bra032124	AA22G00077, AA55G00023
OG0002322	Bra024049	AA102G00219
OG0002323	Bra037849, Bra031832	AA4G00327
OG0002324	Bra010282, Bra039220	AA22G00069
OG0002326	Bra028796	AA19G00187
OG0002326	Bra029828	AA93G00199
OG0002327	Bra039054, Bra033049, Bra025339	AA53G01054
OG0002329	Bra009954, Bra036626, Bra020587	AA40G00091
OG0002330	Bra007127	AA91G00011
OG0002332	Bra018885	AA2G00196
OG0002332	Bra032281, Bra018786	AA2G00072
OG0002333	Bra039852	AA123G00025
OG0002333	Bra017659, Bra011537	AA45G00011
OG0002334	Bra005253	AA60G00125
OG0002334	Bra040688	AA36G00027
OG0002335	Bra004799	AA21G00167
OG0002335	Bra007485	AA61G00363
OG0002336	Bra021916, Bra005420	AA18G00104
OG0002337	Bra015656, Bra003670, Bra008333	AA31G00195
OG0002338	Bra032024, Bra008594, Bra006371	AA40G00419
OG0002339	Bra005540, Bra021819	AA32G00509
OG0002339	Bra015379	AA4G00002, AA19G00047
OG0002340	Bra033900, Bra023790	AA17G00088
OG0002341	Bra021378	AA10G00312
OG0002341	Bra006376, Bra008586	AA40G00413
OG0002342	Bra002009	AA12G00195
OG0002342	Bra034141	AA93G00262
OG0002343	Bra010176	AA53G00246
OG0002343	Bra023004, Bra017329, Bra005358	AA9G00149
OG0002344	Bra010204, Bra028004	AA54G00178
OG0002344	Bra033193	AA3G00126
OG0002345	Bra029430	AA6G00340
OG0002346	Bra000435, Bra004493, Bra007658	AA61G00559
OG0002347	Bra040079, Bra011350	AA102G00250
OG0002348	Bra025011	AA56G00024
OG0002348	Bra012627	AA57G00069
OG0002349	Bra014995, Bra015066, Bra030096, Bra014911	AA53G00020
OG0002350	Bra000650	AA43G00105
OG0002351	Bra005925, Bra009291, Bra002651	AA198G00020
OG0002352	Bra027071	AA53G00584
OG0002352	Bra019837	AA65G00216
OG0002353	Bra028623	AA44G00237, AA1994G00001
OG0002353	Bra037780, Bra024308, Bra031914	AA4G00192
OG0002354	Bra018895, Bra030454	AA2G00190
OG0002355	Bra020568, Bra012114, Bra009882, Bra037139, Bra025956, Bra012116	AA8G00034
OG0002357	Bra021188	AA26G00363
OG0002357	Bra012753	AA18G00161
OG0002358	Bra016651, Bra026749, Bra026106, Bra026108	AA31G00876
OG0002359	Bra026248	AA57G00014
OG0002359	Bra004870, Bra017486	AA244G00001
OG0002360	Bra010350, Bra011057	AA102G00033
OG0002361	Bra040136	AA10G00162
OG0002361	Bra009998	AA40G00042
OG0002362	Bra017835, Bra010602, Bra032186	AA46G00187
OG0002363	Bra009510, Bra028820	AA19G00212
OG0002364	Bra005644	AA32G00569
OG0002364	Bra015450	AA7G00135
OG0002365	Bra039110	AA32G01156
OG0002365	Bra008745	AA40G00611
OG0002366	Bra009703	AA5G00249
OG0002366	Bra018031	AA96G00136, AA26G00245
OG0002367	Bra012102	AA8G00048
OG0002368	Bra031708, Bra019940	AA65G00090
OG0002369	Bra021957	AA6G00072
OG0002370	Bra023732, Bra010762	AA87G00288
OG0002371	Bra005347	AA9G00138, AA53G00234
OG0002372	Bra030820, Bra034713, Bra001480	AA26G00019
OG0002373	Bra012479	AA39G00693
OG0002374	Bra033579, Bra011891	AA20G00057
OG0002375	Bra039459, Bra009969	AA40G00075
OG0002376	Bra016607, Bra025984, Bra026675	AA39G00030
OG0002377	Bra037070	AA87G00228, AA130G00001
OG0002377	Bra039958, Bra023822, Bra001870	AA17G00057
OG0002378	Bra013949	AA81G00044
OG0002378	Bra035646, Bra006839, Bra002771	AA44G00686
OG0002380	Bra014667, Bra007277, Bra016954	AA93G00016
OG0002381	Bra037787, Bra006032	AA44G00242
OG0002382	Bra011290, Bra032080	AA128G00011
OG0002384	Bra019134, Bra013939, Bra002752, Bra020461	AA44G00668
OG0002385	Bra003455, Bra004562	AA21G00352
OG0002386	Bra025687	AA31G00491
OG0002386	Bra016541	AA39G00169
OG0002387	Bra016233	AA38G00075
OG0002387	Bra024640	AA39G00581
OG0002388	Bra011885	AA20G00048
OG0002388	Bra030304, Bra031179	AA46G00044
OG0002389	Bra013894, Bra029149, Bra028289	AA55G00051
OG0002391	Bra016639, Bra026059	AA37G00117
OG0002391	Bra035114, Bra008410	AA31G00803
OG0002392	Bra003915, Bra007984, Bra016118, Bra016371	AA31G00101
OG0002393	Bra006177	AA61G00157, AA61G00122
OG0002394	Bra011166, Bra038563, Bra038839	AA33G00199
OG0002395	Bra023704, Bra002211, Bra002212, Bra023705	AA40G00211
OG0002396	Bra001600	AA26G00274
OG0002396	Bra030367	AA15G00058
OG0002398	Bra019657, Bra026835	AA14G00039
OG0002399	Bra032508	AA19G00109
OG0002399	Bra005494, Bra021854	AA32G00441
OG0002400	Bra032507, Bra015318	AA19G00108
OG0002400	Bra022939, Bra021851	AA32G00446
OG0002401	Bra033538, Bra000808, Bra029529	AA6G00250
OG0002402	Bra015140, Bra037440, Bra020667, Bra029611	AA29G00081
OG0002403	Bra037671, Bra000338	AA21G00170
OG0002404	Bra040252	AA10G00040
OG0002405	Bra035932	AA5G00152
OG0002405	Bra009243	AA44G00043
OG0002406	Bra008438, Bra035150	AA31G00853
OG0002406	Bra026090, Bra026737	AA37G00152
OG0002407	Bra001027	AA10G00398
OG0002407	Bra023521	AA40G00543
OG0002408	Bra013563, Bra020870	AA57G00381
OG0002408	Bra029520	AA6G00256
OG0002409	Bra005505	AA32G00456
OG0002409	Bra015323	AA19G00100
OG0002410	Bra039111	AA32G01155
OG0002411	Bra024735, Bra011002, Bra038346	AA39G00678
OG0002412	Bra019889, Bra031740	AA65G00151
OG0002412	Bra031475	AA53G00514
OG0002413	Bra032584	AA7G00022
OG0002413	Bra018559, Bra036281	AA32G00261
OG0002414	Bra036043, Bra031830, Bra012158	AA4G00329
OG0002415	Bra028150	AA27G00056
OG0002416	Bra039947, Bra001866, Bra023830	AA17G00045
OG0002417	Bra006593, Bra002354	AA8G00211
OG0002418	Bra016219	AA38G00049
OG0002418	Bra024609, Bra012380	AA39G00549
OG0002421	Bra031192, Bra011874	AA20G00032
OG0002422	Bra028472	AA87G00095
OG0002422	Bra025268, Bra033003	AA53G00927
OG0002423	Bra007548	AA61G00442
OG0002423	Bra000374	AA21G00259
OG0002424	Bra032450	AA7G00148
OG0002424	Bra021721	AA32G00576
OG0002425	Bra004517, Bra039267	AA21G00397
OG0002425	Bra007636	AA61G00545
OG0002426	Bra011519, Bra017644	AA141G00001
OG0002427	Bra039525, Bra025113	AA6G00135
OG0002427	Bra013446	AA57G00254
OG0002428	Bra011713, Bra010577	AA30G00195
OG0002428	Bra039212, Bra032147	AA22G00042
OG0002429	Bra033698	AA32G00406
OG0002429	Bra032254, Bra014136	AA18G00240
OG0002430	Bra024625	AA39G00565
OG0002430	Bra016227, Bra003957	AA38G00064
OG0002431	Bra035332, Bra027456	AA3G00223
OG0002432	Bra020346, Bra006744	AA10G00482
OG0002433	Bra010700	AA20G00028
OG0002433	Bra031196	AA46G00074
OG0002434	Bra030842	AA15G00275
OG0002434	Bra034689, Bra001501	AA26G00054
OG0002435	Bra022826, Bra018278, Bra030645, Bra015486	AA23G00023
OG0002436	Bra008402	AA31G00785
OG0002437	Bra040788, Bra027723, Bra027707	AA53G01267
OG0002438	Bra007817	AA1165G00001
OG0002438	Bra011308	AA48G00044
OG0002439	Bra027430, Bra039399	AA26G00066
OG0002440	Bra032986, Bra025256, Bra025537	AA8G00219
OG0002441	Bra005280	AA60G00157
OG0002441	Bra028538, Bra019641, Bra006955	AA18G00015
OG0002442	Bra036405, Bra017641, Bra011513	AA118G00016
OG0002443	Bra038114, Bra001576, Bra027291	AA26G00208
OG0002444	Bra014684, Bra007253	AA61G00124
OG0002444	Bra000207	AA93G00045
OG0002445	Bra008520, Bra033240	AA1G00094
OG0002446	Bra013969, Bra001079	AA10G00257
OG0002447	Bra011515	AA118G00008
