Orthogroup	Brassica_rapa	Tarenaya_hassleriana
OG0003099	Bra009302, Bra034762, Bra001449	Th2v17734
OG0003100	Bra037891, Bra036738, Bra028024	Th2v17123
OG0003101	Bra029477	Th2v10811
OG0003101	Bra035794, Bra038259	Th2v24443
OG0003102	Bra015735, Bra012258	Th2v09802
OG0003103	Bra013873, Bra019183	Th2v29060, Th2v00712, Th2v00719
OG0003104	Bra030536, Bra033411, Bra034206	Th2v07989, Th2v16199
OG0003105	Bra013166, Bra035539, Bra040779	Th2v08515, Th2v25176
OG0003106	Bra030605, Bra015400	Th2v16008
OG0003107	Bra019892, Bra031742, Bra027121	Th2v04979, Th2v20717
OG0003109	Bra004601, Bra007268	Th2v28442, Th2v06774, Th2v15472
OG0003110	Bra015910, Bra016545, Bra031044	Th2v10280
OG0003111	Bra032453, Bra005650, Bra022861	Th2v15943
OG0003112	Bra039417, Bra040527	Th2v11230, Th2v18441
OG0003113	Bra010128, Bra035878, Bra029240	Th2v14015
OG0003114	Bra032536, Bra027528	Th2v16164
OG0003115	Bra004409, Bra021456	Th2v07345
OG0003116	Bra024807, Bra026223	Th2v28678
OG0003117	Bra036671, Bra013249, Bra015068	Th2v25367
OG0003118	Bra024018, Bra011251	Th2v02091
OG0003120	Bra026330, Bra022501	Th2v00636, Th2v06246, Th2v14947
OG0003121	Bra012942, Bra005948, Bra009248	Th2v13890, Th2v24057
OG0003122	Bra012607, Bra012608	Th2v07411, Th2v10667, Th2v27147
OG0003123	Bra032601, Bra000910	Th2v16332
OG0003124	Bra009422, Bra005823, Bra001371	Th2v20155
OG0003125	Bra007804, Bra011324	Th2v02057
OG0003126	Bra033845, Bra023249	Th2v01471, Th2v27770
OG0003127	Bra035709, Bra011961	Th2v01056, Th2v08328
OG0003128	Bra005771, Bra005106	Th2v17008
OG0003129	Bra029919, Bra019564, Bra019567	Th2v17338
OG0003130	Bra015977, Bra008106, Bra025926	Th2v05921, Th2v21037
OG0003131	Bra017417, Bra024820	Th2v28667
OG0003132	Bra024422, Bra017958	Th2v13563
OG0003133	Bra015976, Bra025927	Th2v09930, Th2v05919, Th2v21035
OG0003134	Bra011079, Bra010342	Th2v12511, Th2v01603, Th2v02220
OG0003135	Bra020220	Th2v00158, Th2v18874
OG0003136	Bra018332, Bra021617, Bra015545	Th2v10429, Th2v15829
OG0003137	Bra003603, Bra035125, Bra026072, Bra026726	Th2v10117, Th2v23344
OG0003138	Bra021191, Bra038057, Bra038058	Th2v18250
OG0003140	Bra030526, Bra032555	Th2v07963, Th2v16243, Th2v16244
OG0003141	Bra027129, Bra019906	Th2v20699
OG0003142	Bra008660, Bra001047	Th2v23044
OG0003145	Bra031245, Bra018906	Th2v24385, Th2v21860
OG0003146	Bra014631, Bra007322	Th2v13174, Th2v25817
OG0003147	Bra033156, Bra013384	Th2v04576, Th2v10864
OG0003148	Bra023781, Bra001895, Bra023878, Bra007931, Bra003949	Th2v25064, Th2v25709
OG0003149	Bra030465, Bra018881, Bra001793, Bra035770	Th2v21826
OG0003150	Bra028383, Bra028384, Bra031392	Th2v20634
OG0003151	Bra009306, Bra028684, Bra005952	Th2v13872, Th2v24071
OG0003152	Bra000930, Bra033284	Th2v07857
OG0003153	Bra003209, Bra017728, Bra007142	Th2v03526
OG0003154	Bra020582, Bra039439, Bra040219, Bra001147	Th2v18460, Th2v25440
OG0003155	Bra032203	Th2v17192
OG0003155	Bra003684	Th2v28018, Th2v05702, Th2v20788
OG0003156	Bra040033, Bra004140	Th2v00571, Th2v00570, Th2v00567, Th2v00569, Th2v00573, Th2v00572, Th2v07744, Th2v15556
OG0003157	Bra038477, Bra038478, Bra038479, Bra038475, Bra040651, Bra012712	Th2v21789, Th2v29518
OG0003158	Bra039552, Bra012789	Th2v23752, Th2v27412, Th2v26219
OG0003164	Bra020862, Bra038747, Bra038749, Bra038748, Bra020863	Th2v10788
OG0003167	Bra035985, Bra033693	Th2v08030, Th2v27068
OG0003168	Bra008607, Bra006363, Bra021405	Th2v22991
OG0003170	Bra028244, Bra025381	Th2v00411, Th2v05359
OG0003171	Bra019558, Bra029913, Bra029912	Th2v10978
OG0003172	Bra015288, Bra036003	Th2v27064
OG0003173	Bra018462, Bra038934, Bra035440	Th2v05037, Th2v06138, Th2v14845
OG0003174	Bra031028, Bra025911	Th2v21020, Th2v05910, Th2v21021
OG0003175	Bra005460, Bra022964	Th2v01313, Th2v10367
OG0003176	Bra012075, Bra038866, Bra012881, Bra036851	Th2v13452
OG0003178	Bra012566, Bra025063	Th2v27287
OG0003179	Bra006007, Bra029206	Th2v11839
OG0003181	Bra013503, Bra029575	Th2v04346
OG0003182	Bra013291, Bra040925	Th2v27150
OG0003183	Bra039198, Bra017808	Th2v12304
OG0003184	Bra032361, Bra010796	Th2v01373, Th2v10404
OG0003185	Bra008630, Bra006345	Th2v07029, Th2v18139, Th2v09069
OG0003186	Bra019613, Bra035913	Th2v13909, Th2v24038
OG0003187	Bra004170, Bra028154	Th2v00528, Th2v06292, Th2v14993
OG0003188	Bra038274, Bra020270	Th2v17867, Th2v17868
OG0003189	Bra013314, Bra012595	Th2v16543
OG0003191	Bra028885, Bra005698, Bra005699	Th2v14662
OG0003192	Bra012897, Bra012113	Th2v11706, Th2v13490
OG0003193	Bra027965	Th2v06196, Th2v14900, Th2v00747, Th2v23250, Th2v22830
OG0003194	Bra036885, Bra039720	Th2v18680, Th2v19366
OG0003195	Bra025908, Bra003825	Th2v09910
OG0003196	Bra003521, Bra040426	Th2v07344
OG0003197	Bra013744, Bra019257, Bra035262	Th2v04592
OG0003198	Bra005285	Th2v14661
OG0003199	Bra020456, Bra020453, Bra020454, Bra002741	Th2v09579
OG0003200	Bra025092, Bra013414	Th2v07360, Th2v10720
OG0003201	Bra011311, Bra007814	Th2v01854, Th2v02063
OG0003204	Bra024458	Th2v01737, Th2v02131
OG0003205	Bra022842	Th2v08176
OG0003206	Bra018950, Bra027179	Th2v21919
OG0003210	Bra036858, Bra012082	Th2v13458
OG0003211	Bra007321, Bra016924	Th2v03457
OG0003212	Bra031663, Bra027922	Th2v05083, Th2v24363
OG0003213	Bra008127, Bra008126, Bra015943	Th2v23512
OG0003214	Bra036395, Bra040606, Bra001068	Th2v18589, Th2v22998
OG0003215	Bra022498, Bra021160	Th2v05220, Th2v06252, Th2v14953
OG0003216	Bra025980, Bra016059	Th2v10025
OG0003218	Bra018898, Bra035740	Th2v21841
OG0003219	Bra013916, Bra022614	Th2v26923, Th2v28962
OG0003220	Bra033393, Bra036227	Th2v16225
OG0003222	Bra014868, Bra033127, Bra019341	Th2v04513, Th2v10841, Th2v16757
OG0003223	Bra023126, Bra014886	Th2v27869
OG0003225	Bra024759	Th2v24828
OG0003226	Bra013111	Th2v12022
OG0003227	Bra001310	Th2v05631
OG0003227	Bra008429, Bra035142	Th2v23385
OG0003228	Bra006068, Bra005311, Bra024402	Th2v13585
OG0003232	Bra041082	Th2v02333
OG0003233	Bra024749, Bra004034	Th2v24850, Th2v30600
OG0003234	Bra030620, Bra015448	Th2v08151, Th2v15956
OG0003235	Bra028229	Th2v06329, Th2v15027, Th2v05350, Th2v05353
OG0003237	Bra002581, Bra033806, Bra018197, Bra018196, Bra018198	Th2v17831, Th2v18757
OG0003238	Bra040057, Bra029713, Bra029712, Bra040056	Th2v14524, Th2v19863
OG0003240	Bra021081, Bra012691	Th2v01524
OG0003241	Bra037833, Bra029975	Th2v11749, Th2v26616
OG0003242	Bra039915, Bra017750, Bra011667	Th2v12223, Th2v02999, Th2v21556
OG0003243	Bra020177, Bra002396, Bra035001	Th2v17954
OG0003244	Bra034880, Bra001949, Bra015042	Th2v19542, Th2v25320
OG0003245	Bra030907, Bra027373	Th2v00940
OG0003246	Bra022188, Bra038040	Th2v18270
OG0003247	Bra014525, Bra007478, Bra003391	Th2v03314
OG0003248	Bra023802, Bra036887	Th2v18681, Th2v19365
OG0003249	Bra031522	Th2v10594, Th2v24271
OG0003250	Bra028745, Bra005872, Bra034847	Th2v08794, Th2v20250
OG0003251	Bra021291, Bra021292	Th2v20743
OG0003252	Bra013743, Bra000730	Th2v04591
OG0003253	Bra018534, Bra033373	Th2v07953
OG0003254	Bra011338, Bra023953, Bra040075	Th2v02050, Th2v01878, Th2v11120
OG0003255	Bra041037	Th2v27557, Th2v27558, Th2v27559
OG0003256	Bra020384, Bra002676, Bra006785, Bra020395	Th2v09632
OG0003257	Bra036449, Bra031982, Bra023633, Bra013957	Th2v09148, Th2v18537
OG0003258	Bra021899, Bra032309, Bra010834	Th2v01330, Th2v26541
OG0003259	Bra037432	Th2v09219
OG0003259	Bra036282	Th2v07925
OG0003260	Bra027375, Bra030905	Th2v23691
OG0003261	Bra018676, Bra015772, Bra025825	Th2v05788, Th2v20883
OG0003262	Bra011659, Bra037246, Bra024486	Th2v02445, Th2v12214, Th2v24689
OG0003263	Bra021469, Bra006323	Th2v09046, Th2v18631
OG0003264	Bra039460, Bra009970	Th2v18474
OG0003265	Bra013982	Th2v22945
OG0003266	Bra008232, Bra006350	Th2v23013
OG0003267	Bra036481, Bra031128	Th2v01565
OG0003267	Bra021698	Th2v08192, Th2v01159
OG0003269	Bra011111, Bra024158	Th2v01634
OG0003270	Bra025136, Bra015531, Bra021642	Th2v10456, Th2v15850, Th2v08225
OG0003271	Bra021492, Bra001513, Bra027412	Th2v23650, Th2v26128
OG0003272	Bra011059	Th2v02222
OG0003273	Bra019139, Bra002728	Th2v09586
OG0003274	Bra014318, Bra018957, Bra027190	Th2v21933
OG0003275	Bra035086, Bra003625	Th2v10097
OG0003276	Bra018714, Bra014117, Bra014116, Bra022215, Bra021246	Th2v18283
OG0003277	Bra023896, Bra014294, Bra030431	Th2v21875, Th2v30022
OG0003278	Bra029086, Bra003071, Bra022641	Th2v26937
OG0003279	Bra011463, Bra013126	Th2v02611
OG0003280	Bra005546, Bra015375	Th2v08093, Th2v16038
OG0003281	Bra015221, Bra039842	Th2v02560, Th2v12041, Th2v02784
OG0003282	Bra030281, Bra031214	Th2v02336, Th2v12541
OG0003283	Bra000691, Bra034444	Th2v17132
OG0003284	Bra025426	Th2v23296
OG0003285	Bra011429, Bra021545, Bra001545	Th2v00924, Th2v23712
OG0003287	Bra005598, Bra015391	Th2v08113
OG0003288	Bra000693, Bra028027, Bra034448	Th2v10926, Th2v17128
OG0003289	Bra028391, Bra031580, Bra031581	Th2v01095, Th2v07531, Th2v15747
OG0003290	Bra029784, Bra034084, Bra006994, Bra003132	Th2v03660, Th2v14632
OG0003291	Bra000679, Bra034420, Bra028085	Th2v04721
OG0003292	Bra013771, Bra035302	Th2v31563
OG0003294	Bra030724, Bra031626, Bra034332	Th2v08398, Th2v24475
OG0003296	Bra030147, Bra032325	Th2v01335
OG0003297	Bra009489, Bra029822	Th2v14425, Th2v22253
OG0003298	Bra022101, Bra040171	Th2v17055, Th2v27197
OG0003299	Bra003318, Bra004688	Th2v03503
OG0003300	Bra010289, Bra011187, Bra038813	Th2v02128, Th2v12444
OG0003301	Bra002203, Bra040232	Th2v11280, Th2v24644
OG0003302	Bra013897, Bra010458, Bra019159	Th2v28951
OG0003303	Bra015894, Bra031056	Th2v20341
OG0003304	Bra017232, Bra028544	Th2v02729
OG0003305	Bra036165, Bra029633	Th2v24802
OG0003306	Bra016163, Bra024558	Th2v25741
OG0003307	Bra032528, Bra030555	Th2v08018, Th2v16139, Th2v27065
OG0003308	Bra026036, Bra003622, Bra035091	Th2v05660
OG0003309	Bra027459, Bra010926, Bra030057	Th2v11019, Th2v17229
OG0003311	Bra035009, Bra011366	Th2v04153, Th2v30637, Th2v28012
OG0003312	Bra015392, Bra015389, Bra030604	Th2v16017
OG0003313	Bra014043, Bra033652	Th2v10309, Th2v01227, Th2v26415
OG0003314	Bra011694	Th2v12243
OG0003315	Bra035145, Bra003590	Th2v23388
OG0003316	Bra027269, Bra038106	Th2v22025, Th2v23783, Th2v27378, Th2v08510
OG0003317	Bra018377, Bra031571	Th2v01112, Th2v08262
OG0003319	Bra040078	Th2v02042, Th2v11124
OG0003320	Bra041012	Th2v07552, Th2v15732, Th2v08290
OG0003321	Bra020768, Bra002199	Th2v24647
OG0003322	Bra025951, Bra003858	Th2v05386
OG0003323	Bra028683, Bra009308, Bra012971, Bra012970	Th2v13870
OG0003324	Bra009131, Bra007320	Th2v19763, Th2v08488, Th2v25128
OG0003325	Bra019089	Th2v09441, Th2v21649
OG0003326	Bra023169	Th2v10523
OG0003326	Bra013425	Th2v10730, Th2v10731
OG0003327	Bra002849	Th2v18990
OG0003327	Bra033531	Th2v18265, Th2v26277
OG0003328	Bra011108, Bra039013	Th2v02184, Th2v12488
OG0003329	Bra024208, Bra026261, Bra010371	Th2v01557
OG0003331	Bra031031	Th2v05903, Th2v21013
OG0003332	Bra017602, Bra025077, Bra020977	Th2v04224, Th2v16582
OG0003333	Bra033264, Bra000943	Th2v16388, Th2v24539
OG0003334	Bra013572, Bra001984	Th2v17934, Th2v03234, Th2v17933
OG0003335	Bra023978, Bra007819	Th2v01841
OG0003336	Bra035541, Bra002948, Bra026385	Th2v21622
OG0003337	Bra019302, Bra035228	Th2v10851, Th2v04543, Th2v16805
OG0003338	Bra016265, Bra016301	Th2v25642
OG0003339	Bra017209, Bra023095	Th2v03659, Th2v16883
OG0003340	Bra031793, Bra003635, Bra035070	Th2v23307, Th2v05996, Th2v21123
OG0003341	Bra029174, Bra013872	Th2v23493
OG0003342	Bra026245, Bra024943	Th2v17036
OG0003343	Bra031467, Bra027106, Bra028706, Bra005927, Bra009285	Th2v24017
OG0003344	Bra013951, Bra002778	Th2v05545, Th2v09551
OG0003345	Bra021213, Bra033547	Th2v26299, Th2v27672
OG0003346	Bra018079	Th2v14027
OG0003346	Bra019530	Th2v23971, Th2v30427
OG0003347	Bra014856, Bra000023	Th2v14598
OG0003348	Bra018980, Bra021130	Th2v21974
OG0003349	Bra021872	Th2v11472, Th2v18311
OG0003350	Bra035945	Th2v11874, Th2v13855
OG0003351	Bra011726, Bra032164	Th2v03072
OG0003352	Bra027239, Bra021112, Bra013184	Th2v23811, Th2v27352
OG0003353	Bra018005	Th2v17331, Th2v21339
OG0003354	Bra009262, Bra012933	Th2v13900, Th2v24049
OG0003356	Bra002541, Bra033826, Bra018214	Th2v17852
OG0003357	Bra032436, Bra018252, Bra022836	Th2v08165
OG0003358	Bra009127, Bra034856	Th2v20228
OG0003359	Bra025604, Bra039059, Bra033040	Th2v28888
OG0003360	Bra035576	Th2v09450
OG0003361	Bra009937, Bra036609, Bra036608, Bra020571	Th2v18451, Th2v11218, Th2v25454
OG0003362	Bra004331, Bra004022	Th2v24888, Th2v30439
OG0003364	Bra011603, Bra020812	Th2v02917, Th2v12150
OG0003365	Bra021357, Bra013971	Th2v18555, Th2v22926
OG0003366	Bra010951, Bra010950	Th2v03876, Th2v03877
OG0003367	Bra013237	Th2v25285
OG0003368	Bra013633, Bra019368, Bra020837	Th2v04473, Th2v16732
OG0003369	Bra006745, Bra018162	Th2v17802
OG0003370	Bra026207, Bra026822	Th2v00071
OG0003371	Bra036595, Bra009920	Th2v18435
OG0003372	Bra026250, Bra026252	Th2v27214
OG0003373	Bra028738, Bra034829, Bra001410	Th2v20277
OG0003374	Bra007123	Th2v03533, Th2v06646, Th2v15345
OG0003375	Bra016331, Bra024618	Th2v04028, Th2v25041
OG0003376	Bra034692, Bra034693	Th2v23617, Th2v01002, Th2v26166
OG0003377	Bra036184, Bra040028	Th2v11511, Th2v08587
OG0003378	Bra012974, Bra009310	Th2v24077
OG0003379	Bra016008, Bra025939	Th2v09956
OG0003380	Bra026096, Bra035158	Th2v10184
OG0003382	Bra018958	Th2v21934
OG0003383	Bra036108, Bra001133	Th2v11158, Th2v18479
OG0003384	Bra034830, Bra009169, Bra005884	Th2v20276
OG0003385	Bra024945, Bra026247	Th2v17038
OG0003386	Bra011532, Bra015232, Bra013096	Th2v02870, Th2v12055
OG0003387	Bra019907, Bra013936, Bra019135	Th2v01486, Th2v10567
OG0003388	Bra030889, Bra030152, Bra014362	Th2v26095
OG0003389	Bra036666, Bra034572	Th2v02693
OG0003390	Bra002175, Bra023690, Bra002174	Th2v09027, Th2v18391
OG0003391	Bra040351, Bra031493, Bra027125	Th2v23612
OG0003392	Bra017018, Bra000182, Bra004970	Th2v22423
OG0003393	Bra018082, Bra019527	Th2v14022, Th2v23975
OG0003394	Bra039178, Bra008632	Th2v07032, Th2v18137
OG0003395	Bra007125, Bra003203	Th2v03531, Th2v06647, Th2v15346, Th2v22295
OG0003396	Bra019707, Bra025122	Th2v00147, Th2v28719
OG0003397	Bra029362, Bra013025	Th2v13814
OG0003398	Bra016908, Bra032734	Th2v29043, Th2v29044, Th2v11006, Th2v17280
OG0003399	Bra026056, Bra008404	Th2v23365
OG0003400	Bra009521, Bra005269	Th2v08847, Th2v20049
OG0003401	Bra016608, Bra025986	Th2v10033, Th2v05964, Th2v21086
OG0003403	Bra008654, Bra021435	Th2v23040
OG0003404	Bra013165	Th2v25182, Th2v19679, Th2v08519
OG0003405	Bra012567, Bra013361	Th2v27286, Th2v10703, Th2v07376, Th2v10702
OG0003407	Bra003486, Bra003487, Bra007663	Th2v12978, Th2v22678
OG0003408	Bra008646, Bra023551	Th2v23038, Th2v09059, Th2v23037
OG0003409	Bra004824	Th2v13135
OG0003410	Bra025953, Bra016591, Bra031002	Th2v05942, Th2v21063, Th2v29489, Th2v29488, Th2v29487, Th2v29486
OG0003411	Bra039127, Bra023497	Th2v23133
OG0003412	Bra008729, Bra006274, Bra008731	Th2v23150
OG0003413	Bra035773, Bra030472	Th2v21822
OG0003414	Bra012925, Bra024413	Th2v11759, Th2v13574
OG0003415	Bra021102	Th2v10989
OG0003416	Bra026218, Bra026590	Th2v28671
OG0003417	Bra034174, Bra009135	Th2v14366, Th2v22191
OG0003418	Bra032082, Bra023994	Th2v02074, Th2v12397
OG0003419	Bra024479, Bra017752, Bra011671	Th2v02438, Th2v03002, Th2v21553
OG0003420	Bra040960, Bra030375, Bra021132, Bra027209	Th2v21968
OG0003422	Bra027925, Bra020024	Th2v05082, Th2v24352
OG0003423	Bra007684, Bra004457	Th2v07319, Th2v13007, Th2v22712
OG0003425	Bra014937, Bra010763	Th2v19424, Th2v24572
OG0003426	Bra021636, Bra022802, Bra018311, Bra021637, Bra022803	Th2v01134, Th2v10450, Th2v15845
OG0003427	Bra022825, Bra018279, Bra021696	Th2v01157, Th2v15897, Th2v08190, Th2v08191
OG0003428	Bra010509, Bra011639, Bra024495	Th2v12197
OG0003429	Bra027377, Bra037966	Th2v00943, Th2v23689
OG0003430	Bra006239, Bra008776	Th2v23197, Th2v06970, Th2v18190
OG0003431	Bra015393	Th2v17261
OG0003432	Bra016359, Bra023403, Bra008836, Bra006194	Th2v28167, Th2v03864, Th2v28166
OG0003434	Bra035137, Bra026082	Th2v10167, Th2v23381
OG0003435	Bra021356, Bra013967	Th2v18550
OG0003436	Bra020156, Bra002369	Th2v21491
OG0003436	Bra034315	Th2v07729, Th2v15571
OG0003437	Bra015079, Bra013242, Bra013243	Th2v25372, Th2v19568, Th2v25295
OG0003438	Bra025763	Th2v19832, Th2v20936
OG0003439	Bra036884	Th2v18679
OG0003440	Bra001707, Bra022325, Bra037580	Th2v26389, Th2v27720, Th2v25569, Th2v20754
OG0003442	Bra027157, Bra027156	Th2v20732
OG0003443	Bra009782, Bra017976	Th2v17412, Th2v21369
OG0003450	Bra026986, Bra019747	Th2v20585
OG0003451	Bra016202, Bra012371, Bra016353, Bra024580	Th2v25703
OG0003452	Bra023274, Bra005352	Th2v10557
OG0003453	Bra000676, Bra028084	Th2v17156
OG0003454	Bra038333, Bra038315	Th2v03979
OG0003457	Bra036965	Th2v04794
OG0003458	Bra018437, Bra007367	Th2v05008
OG0003460	Bra029682, Bra001270	Th2v08590, Th2v08593
OG0003461	Bra023692, Bra002185	Th2v11327, Th2v09031
OG0003462	Bra000535	Th2v19742
OG0003462	Bra040782	Th2v19014
OG0003463	Bra009276, Bra010689, Bra025055	Th2v03228, Th2v12537
OG0003464	Bra025066, Bra020980	Th2v16570, Th2v27294
OG0003465	Bra010739, Bra033966, Bra004274, Bra004056	Th2v12598
OG0003466	Bra022204, Bra018700	Th2v11346, Th2v26321, Th2v27648
OG0003467	Bra031711, Bra017897, Bra035422	Th2v05017, Th2v06125, Th2v14834
OG0003468	Bra007110, Bra003199	Th2v06643, Th2v15342, Th2v22278
OG0003469	Bra037970, Bra027379, Bra021525	Th2v00948, Th2v26113
OG0003470	Bra002485, Bra020255	Th2v21251
OG0003471	Bra029361, Bra013024	Th2v13816
OG0003473	Bra036271, Bra018554	Th2v16290
OG0003474	Bra040423	Th2v07339, Th2v25798, Th2v27590
OG0003475	Bra013167, Bra014952	Th2v25172
OG0003476	Bra023072, Bra017231, Bra005261	Th2v03639, Th2v29284
OG0003477	Bra010965, Bra032797, Bra012506	Th2v03912, Th2v28244
OG0003479	Bra009847, Bra008963	Th2v17639, Th2v21442
OG0003480	Bra019762	Th2v04894, Th2v06024, Th2v14732
OG0003481	Bra019528	Th2v14024
OG0003481	Bra003781	Th2v21831
OG0003482	Bra040626, Bra028164	Th2v00506, Th2v05321
OG0003483	Bra038218, Bra018816	Th2v08443, Th2v30759
OG0003484	Bra039447, Bra040644, Bra001143	Th2v18463
OG0003485	Bra008162	Th2v10292
OG0003485	Bra023513	Th2v07021, Th2v18146
OG0003486	Bra001997, Bra037289	Th2v02508, Th2v02884
OG0003487	Bra021392, Bra004467	Th2v07268
OG0003488	Bra021649, Bra018305, Bra015530	Th2v08224, Th2v10457, Th2v15851
OG0003490	Bra028723, Bra034785	Th2v14319, Th2v22143, Th2v17702
OG0003491	Bra011211, Bra024051	Th2v01771
OG0003492	Bra030092, Bra010883	Th2v10050, Th2v23293
OG0003493	Bra016176	Th2v04053
OG0003494	Bra039956, Bra001869	Th2v24600
OG0003495	Bra034681, Bra030846	Th2v00997, Th2v26142
OG0003496	Bra023594	Th2v22970
OG0003497	Bra012876, Bra038875, Bra036844	Th2v10430, Th2v15830, Th2v14173, Th2v26712
OG0003498	Bra024108	Th2v01706, Th2v02150
OG0003499	Bra027427, Bra011915, Bra030865, Bra037996	Th2v23642
OG0003500	Bra014141, Bra022251, Bra021278	Th2v26335, Th2v27634
OG0003502	Bra003456, Bra007614	Th2v07183, Th2v12896, Th2v22591
OG0003503	Bra011601, Bra017706	Th2v12144
OG0003504	Bra016966, Bra000208	Th2v06758
OG0003505	Bra005329, Bra033862, Bra035517	Th2v01465, Th2v27781
OG0003506	Bra036466, Bra036465, Bra031116, Bra036683, Bra036684	Th2v02232, Th2v12523
OG0003507	Bra002054, Bra011613	Th2v12160
OG0003508	Bra017230, Bra005260	Th2v14650, Th2v14651
OG0003509	Bra003220, Bra007184	Th2v22360
OG0003510	Bra024693, Bra003037, Bra022673	Th2v28319
OG0003511	Bra030830, Bra037098	Th2v26187
OG0003512	Bra015492, Bra015494, Bra015491	Th2v15889
OG0003513	Bra011517	Th2v12016
OG0003516	Bra013937	Th2v09573
OG0003517	Bra002617, Bra018169, Bra019494	Th2v17806, Th2v21313
OG0003518	Bra015853	Th2v05476, Th2v05850, Th2v20948
OG0003519	Bra009114, Bra028757	Th2v08765
OG0003520	Bra007122	Th2v06645, Th2v15344, Th2v22290
OG0003521	Bra020367, Bra002648, Bra006764	Th2v18691, Th2v21329
OG0003522	Bra030245, Bra011820	Th2v12708
OG0003524	Bra011241, Bra032107	Th2v12369
OG0003525	Bra012956, Bra028687	Th2v13884
OG0003526	Bra010398, Bra022500	Th2v00634, Th2v05212
OG0003527	Bra026735, Bra003591	Th2v05630
OG0003529	Bra040140, Bra023678, Bra006462	Th2v09174
OG0003530	Bra016329, Bra024620	Th2v25037, Th2v25683
OG0003531	Bra001152, Bra040214, Bra039431	Th2v06182, Th2v14886, Th2v00794, Th2v05110
OG0003532	Bra005036, Bra000136, Bra014756	Th2v22320
OG0003533	Bra017882, Bra031483, Bra015435	Th2v15975
OG0003535	Bra024016, Bra032100, Bra007857	Th2v01810, Th2v12376
OG0003536	Bra008624, Bra023207	Th2v25346
OG0003537	Bra014137, Bra022242	Th2v22038
OG0003538	Bra025140	Th2v06469, Th2v15166
OG0003539	Bra004982, Bra007205	Th2v22407
OG0003542	Bra027921, Bra001093	Th2v00988
OG0003543	Bra001789	Th2v21807
OG0003544	Bra013742, Bra035260, Bra033163	Th2v04590, Th2v16827
OG0003545	Bra007932, Bra016355, Bra024574	Th2v25710
OG0003546	Bra017381, Bra025118, Bra026547	Th2v00142
OG0003547	Bra001936, Bra015022, Bra032716, Bra040342	Th2v25350
OG0003548	Bra017181	Th2v03674, Th2v16959
OG0003549	Bra003453, Bra007612	Th2v12889, Th2v22585
OG0003550	Bra025338	Th2v23213, Th2v06354, Th2v15053
OG0003551	Bra029966, Bra017964	Th2v13568, Th2v26622, Th2v31263, Th2v30821
OG0003552	Bra000742, Bra021618, Bra035230	Th2v10852, Th2v16807
OG0003553	Bra038695	Th2v17703
OG0003554	Bra026371, Bra022737, Bra002965	Th2v05470, Th2v28281
OG0003555	Bra005463, Bra010854	Th2v10366
OG0003556	Bra026425, Bra002855	Th2v09489
OG0003557	Bra039112, Bra008741, Bra023484	Th2v24709
OG0003558	Bra026423	Th2v05513, Th2v09488
OG0003559	Bra036246, Bra007711, Bra032050	Th2v07958, Th2v16254
OG0003560	Bra001595, Bra021111	Th2v00869, Th2v21999
OG0003561	Bra008029, Bra039699	Th2v00925
OG0003562	Bra002909, Bra037140, Bra035571	Th2v05495
OG0003563	Bra031055, Bra015896	Th2v05881, Th2v20984
OG0003564	Bra039672, Bra027308	Th2v00895, Th2v23751, Th2v27413
OG0003565	Bra021069	Th2v29211
OG0003566	Bra009656, Bra002035	Th2v19546, Th2v25313
OG0003567	Bra036699, Bra039025	Th2v01630, Th2v02197
OG0003569	Bra006918, Bra033442, Bra012809	Th2v03597, Th2v14683
OG0003570	Bra018811, Bra001738, Bra037536	Th2v29981
OG0003572	Bra008099, Bra003842	Th2v09944
OG0003574	Bra039953, Bra023826	Th2v19340
OG0003577	Bra011967	Th2v08526, Th2v19667
OG0003578	Bra015621, Bra007764	Th2v02634
OG0003579	Bra016702, Bra024809	Th2v00090, Th2v25003
OG0003581	Bra022384	Th2v30665
OG0003582	Bra033318, Bra036316	Th2v16344, Th2v27005
OG0003583	Bra017121, Bra017120, Bra000059, Bra000058	Th2v17661, Th2v19045
OG0003584	Bra011352	Th2v01850, Th2v02037
OG0003585	Bra009040, Bra037810	Th2v13615, Th2v29326
OG0003586	Bra009080, Bra037789	Th2v24215
OG0003588	Bra015697, Bra017914	Th2v30724
OG0003589	Bra002333, Bra020130, Bra006579	Th2v17995, Th2v18971
OG0003590	Bra001280, Bra001510	Th2v26136, Th2v00985, Th2v23647
OG0003591	Bra010908, Bra041077	Th2v01273
OG0003592	Bra010031	Th2v12256
OG0003593	Bra027382, Bra037974	Th2v26108
OG0003595	Bra016462, Bra015777	Th2v05791
OG0003596	Bra011793, Bra010618	Th2v02375, Th2v03148
OG0003597	Bra038079, Bra038080, Bra012780, Bra033494	Th2v26233
OG0003598	Bra037541, Bra035499	Th2v17487, Th2v17485, Th2v19113, Th2v17486
OG0003599	Bra039359, Bra001481	Th2v23594
OG0003600	Bra011464, Bra036981, Bra036988, Bra036986, Bra036982	Th2v02720, Th2v02721, Th2v02722, Th2v02723
OG0003601	Bra001663, Bra022216, Bra021248	Th2v18290
OG0003602	Bra024387	Th2v11772, Th2v29346
OG0003603	Bra025766, Bra025764, Bra016495	Th2v19831, Th2v05839, Th2v20935
OG0003604	Bra014516, Bra038008	Th2v00999, Th2v26158
OG0003605	Bra021840, Bra007048	Th2v08063
